 (Half Day),(نصف يوم)
Address and other legal information you may want to put in the footer.,العنوان وغيرها من المعلومات القانونية قد تحتاج لوضع في تذييل الصفحة.
Address to be displayed on the Contact Page,معالجة ليتم عرضها في صفحة الاتصال
Adds a custom field to a DocType,يضيف حقل مخصص لDOCTYPE
Adds a custom script (client or server) to a DocType,يضيف برنامج نصي مخصص (العميل أو الملقم) إلى DOCTYPE
Advance Amount,المبلغ مقدما
Advance amount,مقدما مبلغ
Advanced Scripting,برمجة متقدمة
Advanced Settings,إعدادات متقدمة
Advances,السلف
Advertisement,إعلان
After Sale Installations,بعد التثبيت بيع
Against,ضد
Against Account,ضد الحساب
Against Docname,ضد Docname
Against Doctype,DOCTYPE ضد
Against Document Date,تاريخ الوثيقة ضد
Against Document Detail No,تفاصيل الوثيقة رقم ضد
Against Document No,ضد الوثيقة رقم
Against Expense Account,ضد حساب المصاريف
Against Income Account,ضد حساب الدخل
Against Journal Voucher,ضد مجلة قسيمة
Against Purchase Invoice,ضد فاتورة الشراء
Against Sales Invoice,ضد فاتورة المبيعات
Against Voucher,ضد قسيمة
Against Voucher Type,ضد نوع قسيمة
Agent,وكيل
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials",إجمالي مجموعة من العناصر ** ** ** في بند آخر. ** هذا مفيد إذا كنت تجميع عناصر معينة ** ** في حزمة ويمكنك الحفاظ على المخزون من الأصناف ** ** معبأة وليس الكلي ** السلعة **. الحزمة السلعة ** ** سيكون &quot;هو المخزون السلعة&quot; ب &quot;لا&quot; و &quot;هل المبيعات السلعة&quot; ب &quot;نعم&quot; على سبيل المثال: إذا كنت تبيع أجهزة الكمبيوتر المحمولة وحقائب تحمل على الظهر بشكل منفصل ولها سعر خاص اذا كان الزبون يشتري كل ، ثم سيقوم الكمبيوتر المحمول + حقيبة الظهر تكون جديدة المبيعات BOM Item.Note: BOM = بيل المواد
Aging Date,الشيخوخة تاريخ
All Addresses.,جميع العناوين.
All Contact,جميع الاتصالات
All Contacts.,جميع جهات الاتصال.
All Customer Contact,جميع العملاء الاتصال
All Day,كل يوم
All Employee (Active),جميع الموظفين (فعالة)
All Lead (Open),جميع الرصاص (فتح)
All Products or Services.,جميع المنتجات أو الخدمات.
All Sales Partner Contact,جميع مبيعات الاتصال الشريك
All Sales Person,كل عملية بيع شخص
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,يمكن الموسومة جميع معاملات البيع متعددة ضد الأشخاص المبيعات ** ** بحيث يمكنك تعيين ورصد الأهداف.
All Supplier Contact,جميع الموردين بيانات الاتصال
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.",يجب أن تكون جميع الأعمدة حساب بعد \ الأعمدة القياسية وعلى اليمين. إذا كنت دخلت بشكل صحيح، يمكن أن المقبل من المحتمل السبب \ يكون اسم حساب خاطئ. يرجى تصحيح ذلك في ملف وحاول مرة أخرى.
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",جميع المجالات ذات الصلة مثل تصدير العملات، معدل التحويل، المجموع التصدير، تصدير الكبرى الخ مجموع المتاحة في <br> ملاحظة التسليم، POS، اقتباس، فاتورة المبيعات، والمبيعات ترتيب الخ.
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",استيراد جميع المجالات ذات الصلة مثل العملة، معدل التحويل، المجموع الاستيراد، الاستيراد الكبرى وغيرها متوفرة في مجموع <br> إيصال الشراء، مزود اقتباس، فاتورة الشراء، أمر الشراء الخ.
All items have already been transferred \				for this Production Order.,وقد تم بالفعل نقل جميع البنود \ لهذا أمر الإنتاج.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",جميع الدول سير العمل والأدوار الممكنة لسير العمل. <br> Docstatus خيارات: هو &quot;المحفوظة&quot; 0، يتم &quot;المقدمة&quot; (1) ويتم &quot;إلغاء&quot; 2
All posts by,عن المشاركات التي كتبها
Allocate,تخصيص
Allocate leaves for the year.,تخصيص الأوراق لهذا العام.
Allocated Amount,تخصيص المبلغ
Allocated Budget,تخصيص الميزانية
Allocated amount,تخصيص مبلغ
Allow Attach,تسمح إرفاق
Allow Bill of Materials,يسمح مشروع القانون للمواد
Allow Dropbox Access,تسمح قطاف الدخول
Allow Editing of Frozen Accounts For,السماح بتحرير الحسابات المجمدة لل
Allow Google Drive Access,تسمح جوجل محرك الوصول
Allow Import,تسمح استيراد
Allow Import via Data Import Tool,تسمح استيراد عبر أداة استيراد البيانات
Allow Negative Balance,تسمح الرصيد السلبي
Allow Negative Stock,تسمح الأسهم السلبية
Allow Production Order,تسمح أمر الإنتاج
Allow Rename,تسمح إعادة تسمية
Allow Samples,تسمح عينات
Allow User,تسمح للمستخدم
Allow Users,السماح للمستخدمين
Allow on Submit,السماح على تقديم
Allow the following users to approve Leave Applications for block days.,تسمح للمستخدمين التالية للموافقة على طلبات الحصول على إجازة أيام بلوك.
Allow user to edit Price List Rate in transactions,تسمح للمستخدم لتحرير الأسعار قائمة قيم في المعاملات
Allow user to login only after this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط بعد هذه الساعة (0-24)
Allow user to login only before this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط قبل هذه الساعة (0-24)
Allowance Percent,بدل النسبة
Allowed,سمح
Already Registered,مسجل بالفعل
Always use Login Id as sender,دائما استخدام معرف تسجيل الدخول ومرسل
Amend,تعديل
Amended From,عدل من
Amount,كمية
Amount (Company Currency),المبلغ (عملة الشركة)
Amount <=,المبلغ &lt;=
Amount >=,المبلغ =&gt;
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","ملف رمز التمديد مع منظمة البن الدولية. يجب أن تكون 16 × 16 بكسل. تم إنشاؤها باستخدام مولد فافيكون. [ <a href=""http://favicon-generator.org/"" target=""_blank"">فافيكون-generator.org</a> ]"
Analytics,تحليلات
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,هيكل راتب آخر &#39;٪ s&#39; غير النشطة للموظف &#39;٪ S&#39;. يرجى التأكد مكانتها &quot;غير نشطة&quot; والمضي قدما.
"Any other comments, noteworthy effort that should go in the records.",أي تعليقات أخرى، تجدر الإشارة إلى أن الجهد يجب ان تذهب في السجلات.
Applicable Holiday List,ينطبق عطلة قائمة
Applicable To (Designation),تنطبق على (تعيين)
Applicable To (Employee),تنطبق على (موظف)
Applicable To (Role),تنطبق على (الدور)
Applicable To (User),تنطبق على (المستخدم)
Applicant Name,اسم مقدم الطلب
Applicant for a Job,طالب وظيفة
Applicant for a Job.,المتقدم للحصول على الوظيفة.
Applications for leave.,طلبات الحصول على إجازة.
Applies to Company,ينطبق على شركة
Apply / Approve Leaves,تطبيق / الموافقة على أوراق
Apply Shipping Rule,تنطبق الشحن القاعدة
Apply Taxes and Charges Master,تطبيق الضرائب والرسوم ماجستير
Appraisal,تقييم
Appraisal Goal,تقييم الهدف
Appraisal Goals,تقييم الأهداف
Appraisal Template,تقييم قالب
Appraisal Template Goal,تقييم قالب الهدف
Appraisal Template Title,تقييم قالب عنوان
Approval Status,حالة القبول
Approved,وافق
Approver,الموافق
Approving Role,الموافقة على دور
Approving User,الموافقة العضو
Are you sure you want to delete the attachment?,هل أنت متأكد أنك تريد حذف المرفق؟
Arial,ارييل
Arrear Amount,متأخرات المبلغ
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",باعتبارها أفضل الممارسات، عدم تعيين نفس المجموعة من الحكم إذن لتعيين الأدوار المختلفة بدلا الأدوار المتعددة للمستخدم
As existing qty for item: ,كما الكمية الحالية للبند:
As per Stock UOM,وفقا للأوراق UOM
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'",كما أن هناك معاملات المخزون الحالي لهذا \ البند، لا يمكنك تغيير قيم &quot;لقد المسلسل لا &#39;، \&#39; هو المخزون السلعة&quot; و &quot;أسلوب التقييم&quot;
Ascending,تصاعدي
Assign To,تعيين إلى
Assigned By,يكلفه بها
Assignment,مهمة
Assignments,تعيينات
Associate a DocType to the Print Format,إقران DOCTYPE إلى تنسيق طباعة
Atleast one warehouse is mandatory,واحدة على الاقل مستودع إلزامي
Attach,تعلق
Attach Document Print,إرفاق طباعة المستند
Attached To DocType,تعلق على DOCTYPE
Attached To Name,تعلق على اسم
Attachment,التعلق
Attachments,المرفقات
Attempted to Contact,حاولت الاتصال
Attendance,الحضور
Attendance Date,تاريخ الحضور
Attendance Details,تفاصيل الحضور
Attendance From Date,الحضور من تاريخ
Attendance To Date,الحضور إلى تاريخ
Attendance can not be marked for future dates,لا يمكن أن تكون علامة لحضور تواريخ مستقبلية
Attendance for the employee: ,الحضور للموظف:
Attendance record.,سجل الحضور.
Attributions,صفات
Authorization Control,إذن التحكم
Authorization Rule,إذن القاعدة
Auto Email Id,أرسل بريد الكتروني رقم السيارات
Auto Inventory Accounting,المحاسبة الجرد السيارات
Auto Inventory Accounting Settings,إعدادات المحاسبة الجرد السيارات
Auto Material Request,السيارات مادة طلب
Auto Name,السيارات اسم
Auto generated,ولدت السيارات
Auto-raise Material Request if quantity goes below re-order level in a warehouse,لصناعة السيارات في رفع طلب المواد إذا كمية يذهب دون مستوى إعادة الطلب في مستودع
Automatically updated via Stock Entry of type Manufacture/Repack,تحديثها تلقائيا عن طريق إدخال الأسهم الصنع نوع / أعد حزم
Autoreply when a new mail is received,عندما رد تلقائي تلقي بريد جديد
Available Qty at Warehouse,الكمية المتاحة في مستودع
Available Stock for Packing Items,الأسهم المتاحة للتعبئة وحدات
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",المتاحة في BOM، مذكرة التسليم، فاتورة الشراء، أمر الإنتاج، طلب شراء، إيصال الشراء، فاتورة المبيعات، والمبيعات ترتيب، دخول الأسهم، الجدول الزمني
Avatar,الصورة الرمزية
Average Discount,متوسط ​​الخصم
B+,B +
B-,B-
BILL,BILL
BILLJ,BILLJ
BOM,BOM
BOM Detail No,BOM تفاصيل لا
BOM Explosion Item,BOM انفجار الإغلاق
BOM Item,BOM المدينة
BOM No,لا BOM
BOM No. for a Finished Good Item,BOM رقم السلعة جيدة للتشطيب
BOM Operation,BOM عملية
BOM Operations,عمليات BOM
BOM Replace Tool,BOM استبدال أداة
BOM replaced,استبدال BOM
Background Color,لون الخلفية
Background Image,صورة الخلفية
Backup Manager,مدير النسخ الاحتياطي
Backup Right Now,النسخ الاحتياطي الحق الآن
Backups will be uploaded to,وسيتم تحميلها النسخ الاحتياطي إلى
"Balances of Accounts of type ""Bank or Cash""",أرصدة الحسابات من نوع &quot;البنك أو نقدا&quot;
Bank,مصرف
Bank A/C No.,البنك A / C رقم
Bank Account,الحساب المصرفي
Bank Account No.,البنك رقم الحساب
Bank Clearance Summary,بنك ملخص التخليص
Bank Name,اسم البنك
Bank Reconciliation,البنك المصالحة
Bank Reconciliation Detail,البنك المصالحة تفاصيل
Bank Reconciliation Statement,بيان التسويات المصرفية
Bank Voucher,البنك قسيمة
Bank or Cash,البنك أو النقدية
Bank/Cash Balance,بنك / النقد وما في حكمه
Banner,راية
Banner HTML,راية HTML
Banner Image,راية صورة
Banner is above the Top Menu Bar.,راية فوق أعلى شريط القوائم.
Barcode,الباركود
Based On,وبناء على
Basic Info,معلومات أساسية
Basic Information,المعلومات الأساسية
Basic Rate,قيم الأساسية
Basic Rate (Company Currency),المعدل الأساسي (عملة الشركة)
Batch,دفعة
Batch (lot) of an Item.,دفعة (الكثير) من عنصر.
Batch Finished Date,دفعة منتهية تاريخ
Batch ID,دفعة ID
Batch No,لا دفعة
Batch Started Date,كتبت دفعة تاريخ
Batch Time Logs for Billing.,سجلات ترتبط بفترات زمنية لإعداد الفواتير.
Batch Time Logs for billing.,سجلات ترتبط بفترات زمنية لإعداد الفواتير.
Batch-Wise Balance History,دفعة الحكيم التاريخ الرصيد
Batched for Billing,دفعات عن الفواتير
Be the first one to comment,كن أول واحد للتعليق
Begin this page with a slideshow of images,تبدأ هذه الصفحة مع عرض شرائح من الصور
Better Prospects,آفاق أفضل
Bill Date,مشروع القانون تاريخ
Bill No,مشروع القانون لا
Bill of Material to be considered for manufacturing,فاتورة المواد التي سينظر فيها لتصنيع
Bill of Materials,فاتورة المواد
Bill of Materials (BOM),مشروع القانون المواد (BOM)
Billable,فوترة
Billed,توصف
Billed Amt,المنقار AMT
Billing,الفواتير
Billing Address,عنوان الفواتير
Billing Address Name,الفواتير اسم العنوان
Billing Status,الحالة الفواتير
Bills raised by Suppliers.,رفعت فواتير من قبل الموردين.
Bills raised to Customers.,رفعت فواتير للعملاء.
Bin,بن
Bio,الحيوية
Bio will be displayed in blog section etc.,سيتم عرض الحيوي في بلوق القسم الخ
Birth Date,تاريخ الميلاد
Blob,سائل
Block Date,منع تاريخ
Block Days,كتلة أيام
Block Holidays on important days.,منع الإجازات في الأيام الهامة.
Block leave applications by department.,منع مغادرة الطلبات المقدمة من الإدارة.
Blog Category,بلوق التصنيف
Blog Intro,بلوق مقدمة
Blog Introduction,بلوق مقدمة
Blog Post,بلوق وظيفة
Blog Settings,إعدادات بلوق
Blog Subscriber,بلوق المشترك
Blog Title,بلوق العنوان
Blogger,مدون
Blood Group,فصيلة الدم
Bookmarks,الإشارات المرجعية
Branch,فرع
Brand,علامة تجارية
Brand HTML,العلامة التجارية HTML
Brand Name,العلامة التجارية اسم
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",العلامة التجارية هو ما يظهر على أعلى يمين شريط الأدوات. إذا كان صورة، وجعل متأكد ithas خلفية شفافة واستخدام &lt;img /&gt; العلامة. الحفاظ على حجم و200px 30px X
Brand master.,العلامة التجارية الرئيسية.
Brands,العلامات التجارية
Breakdown,انهيار
Budget,ميزانية
Budget Allocated,الميزانية المخصصة
Budget Control,الميزانية التحكم
Budget Detail,تفاصيل الميزانية
Budget Details,تفاصيل الميزانية
Budget Distribution,توزيع الميزانية
Budget Distribution Detail,توزيع الميزانية التفاصيل
Budget Distribution Details,تفاصيل الميزانية التوزيع
Budget Variance Report,تقرير الفرق الميزانية
Build Modules,بناء وحدات
Build Pages,بناء الصفحات
Build Server API,بناء API ملقم
Build Sitemap,بناء خريطة الموقع
Bulk Email,الجزء الأكبر البريد الإلكتروني
Bulk Email records.,الجزء الأكبر البريد الإلكتروني السجلات.
Bummer! There are more holidays than working days this month.,المشكله! هناك المزيد من الإجازات أيام عمل من هذا الشهر.
Bundle items at time of sale.,حزمة البنود في وقت البيع.
Button,زر
Buyer of Goods and Services.,المشتري للسلع والخدمات.
Buying,شراء
Buying Amount,شراء المبلغ
Buying Settings,شراء إعدادات
By,بواسطة
C-FORM/,C-FORM /
C-Form,نموذج C-
C-Form Applicable,C-نموذج قابل للتطبيق
C-Form Invoice Detail,C-نموذج تفاصيل الفاتورة
C-Form No,C-الاستمارة رقم
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
