 (Half Day),(Poludnevni)
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,Dodaj Uvjete za kupnju primitka. Također možete pripremiti Uvjeti i odredbe Master i koristiti predložak.
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","Dodaj Uvjete za kotaciju poput plaćanja, trajanje ponude, itd. Također možete pripremiti Uvjeti i odredbe Master i koristiti predložak"
Add Total Row,Dodaj Ukupno Row
Add a banner to the site. (small banners are usually good),Dodaj banner na licu mjesta. (Mali banneri su obično dobar)
Add attachment,Dodaj privitak
Add code as &lt;script&gt;,Dodaj kod kao &lt;script&gt;
Add new row,Dodaj novi redak
Add or Deduct,Dodavanje ili Oduzmite
Add rows to set annual budgets on Accounts.,Dodavanje redaka postaviti godišnje proračune na računima.
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Dodaj ime <a href=""http://google.com/webfonts"" target=""_blank"">Google Web slova</a> npr. &quot;Otvoreni Sans&quot;"
Add to To Do,Dodaj u Raditi
Add to To Do List of,Dodaj u napraviti popis od
Add/Remove Recipients,Dodaj / Ukloni primatelja
Additional Info,Dodatne informacije
Address,Adresa
Address & Contact,Adresa &amp; Kontakt
Address & Contacts,Adresa i kontakti
Address Desc,Adresa Desc
Address Details,Adresa Detalji
Address HTML,Adresa HTML
Address Line 1,Adresa Linija 1
Address Line 2,Adresa Linija 2
Address Title,Adresa Naslov
Address Type,Adresa Tip
Address and other legal information you may want to put in the footer.,Adresa i druge pravne informacije koje svibanj želite staviti u podnožje.
Address to be displayed on the Contact Page,Adresa biti prikazana na Kontakt stranici
Adds a custom field to a DocType,Dodaje prilagođeni polja DOCTYPE
Adds a custom script (client or server) to a DocType,Dodaje prilagođeni scenarij (klijent ili poslužitelj) na DOCTYPE
Advance Amount,Predujam Iznos
Advance amount,Predujam iznos
Advanced Scripting,Napredna Scripting
Advanced Settings,Napredne postavke
Advances,Napredak
Advertisement,Reklama
After Sale Installations,Nakon prodaje postrojenja
Against,Protiv
Against Account,Protiv računa
Against Docname,Protiv Docname
Against Doctype,Protiv DOCTYPE
Against Document Date,Protiv dokumenta Datum
Against Document Detail No,Protiv dokumenta Detalj No
Against Document No,Protiv dokumentu nema
Against Expense Account,Protiv Rashodi račun
Against Income Account,Protiv računu dohotka
Against Journal Voucher,Protiv Journal Voucheru
Against Purchase Invoice,Protiv Kupnja fakture
Against Sales Invoice,Protiv prodaje fakture
Against Voucher,Protiv Voucheru
Against Voucher Type,Protiv voucher vrsti
Agent,Agent
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","Agregat skupina ** stavki ** u drugoj točki ** **. To je korisno ako ste vezanje određene artikle ** ** u paketu i održavanje zalihe pakiran ** stavki ** a ne agregata ** artikla **. Paket ** artikla ** će &quot;Je kataloški Stavka&quot; kao &quot;Ne&quot; i &quot;Je li prodaja artikla&quot; kao &quot;Da&quot;, na primjer:. Ako prodajete Prijenosna računala i Ruksaci odvojeno i imaju posebnu cijenu ako kupac kupuje oboje , onda laptop + ruksak će biti novi Prodaja BOM Item.Note: BOM = Bill materijala"
Aging Date,Starenje Datum
All Addresses.,Sve adrese.
All Contact,Sve Kontakt
All Contacts.,Svi kontakti.
All Customer Contact,Sve Kupac Kontakt
All Day,All Day
All Employee (Active),Sve zaposlenika (aktivna)
All Lead (Open),Sve Olovo (Otvoreno)
All Products or Services.,Svi proizvodi i usluge.
All Sales Partner Contact,Sve Kontakt Prodaja partner
All Sales Person,Sve Prodaje Osoba
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Sve transakcije prodaje mogu biti označene protiv više osoba ** prodajnim **, tako da možete postaviti i pratiti ciljeve."
All Supplier Contact,Sve Dobavljač Kontakt
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.","Svi stupovi račun bi trebao biti poslije \ standardnim stupcima, a na desnoj strani. Ako ste ga unijeli ispravno, vjerojatno iduće \ razlog može biti pogrešno ime računa. Molimo to ispraviti u spisu i pokušajte ponovno."
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Svi izvoz srodnih područja kao što su valute, stopa pretvorbe, izvoz, izvoz ukupno Sveukupno itd su dostupni u <br> Otpremnica, POS, citat, prodaja Račun, prodajnog naloga i sl."
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Sve uvozne srodnih područja kao što su valute, stopa pretvorbe, uvoz, uvoz ukupno Sveukupno itd su dostupni u <br> Kupnja Primitak, Dobavljač citat, Otkup fakture, Narudžbenica itd."
All items have already been transferred \				for this Production Order.,Svi predmeti su već prenesena \ ovoj proizvodnji Reda.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Sve moguće Workflow Države i uloge tijeka rada. <br> Docstatus Opcije: 0 je &quot;Spremljeno&quot;, jedan je &quot;Zaprimljeno&quot; i 2. &quot;Otkazano&quot;"
All posts by,Svi postovi by
Allocate,Dodijeliti
Allocate leaves for the year.,Dodjela lišće za godinu dana.
Allocated Amount,Dodijeljeni iznos
Allocated Budget,Dodijeljeni proračuna
Allocated amount,Dodijeljeni iznos
Allow Attach,Dopustite Priloži
Allow Bill of Materials,Dopustite Bill materijala
Allow Dropbox Access,Dopusti pristup Dropbox
Allow Editing of Frozen Accounts For,Dopusti uređivanje zamrznutih računa za
Allow Google Drive Access,Dopusti pristup Google Drive
Allow Import,Dopustite Uvoz
Allow Import via Data Import Tool,Dopustite uvoz preko Data Import Alat
Allow Negative Balance,Dopustite negativan saldo
Allow Negative Stock,Dopustite negativnu Stock
Allow Production Order,Dopustite proizvodnom nalogu
Allow Rename,Dopustite Preimenuj
Allow Samples,Dopustite Uzorci
Allow User,Dopusti korisnika
Allow Users,Omogućiti korisnicima
Allow on Submit,Dopusti na Submit
Allow the following users to approve Leave Applications for block days.,Dopusti sljedeći korisnici odobriti ostavite aplikacije za blok dana.
Allow user to edit Price List Rate in transactions,Dopustite korisniku da uredite Ocijenite cjeniku u prometu
Allow user to login only after this hour (0-24),Dopustite korisniku da prijavite tek nakon tog vremena (0-24)
Allow user to login only before this hour (0-24),Dopustite korisniku se prijaviti samo prije tog vremena (0-24)
Allowance Percent,Dodatak posto
Allowed,Dozvoljen
Already Registered,Već registracije
Always use Login Id as sender,Uvijek koristite lozinka za rad kao pošiljatelj
Amend,Ispraviti
Amended From,Izmijenjena Od
Amount,Iznos
Amount (Company Currency),Iznos (Društvo valuta)
Amount <=,Iznos &lt;=
Amount >=,Iznos&gt; =
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Ikona datoteke s nastavkom. Ico. Treba biti 16 x 16 px. Generirano pomoću favicon generator. [ <a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a> ]"
Analytics,Analitika
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,Drugi strukture plaća &#39;% s&#39; je aktivna zaposlenika &#39;% s&#39;. Provjerite svoj status &#39;Neaktivan&#39; za nastavak.
"Any other comments, noteworthy effort that should go in the records.","Svi ostali komentari, značajan napor da bi trebao ići u evidenciji."
Applicable Holiday List,Primjenjivo odmor Popis
Applicable To (Designation),Odnosi se na (Oznaka)
Applicable To (Employee),Odnosi se na (Radnik)
Applicable To (Role),Odnosi se na (uloga)
Applicable To (User),Odnosi se na (Upute)
Applicant Name,Podnositelj zahtjeva Ime
Applicant for a Job,Podnositelj zahtjeva za posao
Applicant for a Job.,Podnositelj prijave za posao.
Applications for leave.,Prijave za odmor.
Applies to Company,Odnosi se na Društvo
Apply / Approve Leaves,Nanesite / Odobri lišće
Apply Shipping Rule,Primijeni pravilo otprema
Apply Taxes and Charges Master,Nanesite poreze i troškove Master
Appraisal,Procjena
Appraisal Goal,Procjena gol
Appraisal Goals,Ocjenjivanje Golovi
Appraisal Template,Procjena Predložak
Appraisal Template Goal,Procjena Predložak cilja
Appraisal Template Title,Procjena Predložak Naslov
Approval Status,Status odobrenja
Approved,Odobren
Approver,Odobritelj
Approving Role,Odobravanje ulogu
Approving User,Odobravanje korisnika
Are you sure you want to delete the attachment?,Jeste li sigurni da želite izbrisati privitak?
Arial,Arial
Arrear Amount,Iznos unatrag
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","Kao najbolje prakse, ne dodijeliti isti skup dozvola pravilu se različitim ulogama umjesto postaviti više uloge Korisniku"
As existing qty for item: ,Kao postojeće Qty za stavke:
As per Stock UOM,Kao po burzi UOM
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'","Kao što već postoje zalihe transakcija za ovaj \ točke, ne možete mijenjati vrijednosti &quot;Ima Serial Ne &#39;, \&#39; Je Stock artikla &#39;i&#39; metoda vrednovanja &#39;"
Ascending,Uzlazni
Assign To,Dodijeliti
Assigned By,Dodijeljen od strane
Assignment,Dodjela
Assignments,Zadaci
Associate a DocType to the Print Format,Povežite DOCTYPE za ispis formatu
Atleast one warehouse is mandatory,Atleast jednom skladištu je obavezno
Attach,Pričvrstiti
Attach Document Print,Priloži dokument Ispis
Attached To DocType,U prilogu vrstu dokumenata
Attached To Name,U prilogu naziv
Attachment,Vezanost
Attachments,Privitci
Attempted to Contact,Pokušaj Kontakt
Attendance,Pohađanje
Attendance Date,Gledatelja Datum
Attendance Details,Gledatelja Detalji
Attendance From Date,Gledatelja Od datuma
Attendance To Date,Gledatelja do danas
Attendance can not be marked for future dates,Gledatelji ne može biti označena za budući datum
Attendance for the employee: ,Gledatelja za zaposlenika:
Attendance record.,Gledatelja rekord.
Attributions,Pripisivanje
Authorization Control,Odobrenje kontrole
Authorization Rule,Autorizacija Pravilo
Auto Email Id,Auto E-mail ID
Auto Inventory Accounting,Auto Inventar Računovodstvo
Auto Inventory Accounting Settings,Auto Inventar Računovodstvo Postavke
Auto Material Request,Auto Materijal Zahtjev
Auto Name,Auto Ime
Auto generated,Automatski generirano
Auto-raise Material Request if quantity goes below re-order level in a warehouse,Auto-podizanje Materijal zahtjev ako se količina ide ispod ponovno bi razinu u skladištu
Automatically updated via Stock Entry of type Manufacture/Repack,Automatski ažurira putem burze Unos tipa Proizvodnja / prepakirati
Autoreply when a new mail is received,Automatski kad nova pošta je dobila
Available Qty at Warehouse,Dostupno Kol na galeriju
Available Stock for Packing Items,Dostupno Stock za pakiranje artikle
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","Dostupan u BOM, otpremnici, Otkup fakture, Proizvodnja Red, Narudžbenica, Otkup Potvrda, prodaja Račun, prodajnog naloga, Stock Stupanje, timesheet"
Avatar,Avatar
Average Discount,Prosječna Popust
B+,B +
B-,B-
BILL,Bill
BILLJ,BILLJ
BOM,BOM
BOM Detail No,BOM Detalj Ne
BOM Explosion Item,BOM eksplozije artikla
BOM Item,BOM artikla
BOM No,BOM Ne
BOM No. for a Finished Good Item,BOM broj za Gotovi Dobar točki
BOM Operation,BOM Operacija
BOM Operations,BOM operacije
BOM Replace Tool,BOM Zamijenite alat
BOM replaced,BOM zamijeniti
Background Color,Boja pozadine
Background Image,Pozadina slike
Backup Manager,Backup Manager
Backup Right Now,Backup Right Now
Backups will be uploaded to,Sigurnosne kopije će biti učitane
"Balances of Accounts of type ""Bank or Cash""",Sredstva računi tipa &quot;banke ili u gotovini&quot;
Bank,Banka
Bank A/C No.,Banka / C br
Bank Account,Žiro račun
Bank Account No.,Žiro račun broj
Bank Clearance Summary,Razmak banka Sažetak
Bank Name,Ime banke
Bank Reconciliation,Banka pomirenje
Bank Reconciliation Detail,Banka Pomirenje Detalj
Bank Reconciliation Statement,Izjava banka pomirenja
Bank Voucher,Banka bon
Bank or Cash,Banka ili gotovina
Bank/Cash Balance,Banka / saldo
Banner,Zastava
Banner HTML,Banner HTML
Banner Image,Banner slika
Banner is above the Top Menu Bar.,Banner je iznad gornjem izborniku.
Barcode,Barkod
Based On,Na temelju
Basic Info,Osnovne informacije
Basic Information,Osnovne informacije
Basic Rate,Osnovna stopa
Basic Rate (Company Currency),Osnovna stopa (Društvo valuta)
Batch,Serija
Batch (lot) of an Item.,Hrpa (puno) od točke.
Batch Finished Date,Hrpa Završio Datum
Batch ID,Hrpa ID
Batch No,Hrpa Ne
Batch Started Date,Hrpa Autor Date
Batch Time Logs for Billing.,Hrpa Vrijeme Trupci za naplatu.
Batch Time Logs for billing.,Hrpa Vrijeme Trupci za naplatu.
Batch-Wise Balance History,Batch-Wise bilanca Povijest
Batched for Billing,Izmiješane za naplatu
Be the first one to comment,Budite prvi koji će komentirati
Begin this page with a slideshow of images,Počnite ovu stranicu s slideshow slika
Better Prospects,Bolji izgledi
Bill Date,Bill Datum
Bill No,Bill Ne
Bill of Material to be considered for manufacturing,Bill of material treba uzeti u obzir za proizvodnju
Bill of Materials,Bill materijala
Bill of Materials (BOM),Bill materijala (BOM)
Billable,Naplatu
Billed,Naplaćeno
Billed Amt,Naplaćeno Amt
Billing,Naplata
Billing Address,Adresa za naplatu
Billing Address Name,Adresa za naplatu Ime
Billing Status,Naplata Status
Bills raised by Suppliers.,Mjenice podigao dobavljače.
Bills raised to Customers.,Mjenice podignuta na kupce.
Bin,Kanta
Bio,Bio
Bio will be displayed in blog section etc.,Bio će biti prikazan u sekciji bloga itd.
Birth Date,Datum rođenja
Blob,Grudvica
Block Date,Blok Datum
Block Days,Blok Dani
Block Holidays on important days.,Blok Odmor o važnim dana.
Block leave applications by department.,Blok ostaviti aplikacija odjelu.
Blog Category,Blog Kategorija
Blog Intro,Blog Intro
Blog Introduction,Blog Uvod
Blog Post,Blog post
Blog Settings,Blog Postavke
Blog Subscriber,Blog Pretplatnik
Blog Title,Blog Naslov
Blogger,Blogger
Blood Group,Krv Grupa
Bookmarks,Favoriti
Branch,Grana
Brand,Marka
Brand HTML,Marka HTML
Brand Name,Brand Name
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px","Brand je ono što se pojavljuje na gornjem desnom kutu alatne trake. Ako je to slika, pobrinite ithas transparentan pozadini i koristiti &lt;img /&gt; oznaku. Držite veličinu 200px x 30px"
Brand master.,Marka majstor.
Brands,Marke
Breakdown,Slom
Budget,Budžet
Budget Allocated,Proračun Dodijeljeni
Budget Control,Proračun kontrola
Budget Detail,Proračun Detalj
Budget Details,Proračunski Detalji
Budget Distribution,Proračun Distribucija
Budget Distribution Detail,Proračun Distribucija Detalj
Budget Distribution Details,Proračun raspodjele Detalji
Budget Variance Report,Proračun varijance Prijavi
Build Modules,Izgradite modula
Build Pages,Izgradite stranice
Build Server API,Izgradite Server API
Build Sitemap,Izgradite Sitemap
Bulk Email,Bulk Email
Bulk Email records.,Bulk Email Records.
Bummer! There are more holidays than working days this month.,Sori! Postoji više od blagdana radnih dana ovog mjeseca.
Bundle items at time of sale.,Bala stavke na vrijeme prodaje.
Button,Dugme
Buyer of Goods and Services.,Kupac robe i usluga.
Buying,Kupovina
Buying Amount,Kupnja Iznos
Buying Settings,Kupnja postavki
By,Po
C-FORM/,C-FORM /
C-Form,C-Form
C-Form Applicable,C-obrascu
C-Form Invoice Detail,C-Obrazac Račun Detalj
C-Form No,C-Obrazac br
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
CSS,CSS
CUST,Cust
CUSTMUM,CUSTMUM
Calculate Based On,Izračunajte Na temelju
Calculate Total Score,Izračunajte ukupni rezultat
Calendar,Kalendar
Calendar Events,Kalendar događanja
Call,Nazvati
Campaign,Kampanja
Campaign Name,Naziv kampanje
Can only be exported by users with role 'Report Manager',Može biti samo izvoze od strane korisnika s ulogom &#39;Report Manager&#39;
Cancel,Otkazati
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,Odustani dozvola također omogućuje korisniku da izbrisati dokument (ako nije povezan s bilo kojim drugim dokumentom).
Cancelled,Otkazan
Cannot ,Ne mogu
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,Ne može odobriti ostaviti kao što nisu ovlašteni za odobravanje ostavlja na Block Datumi.
Cannot change from,Ne mogu promijeniti iz
Cannot continue.,Ne može se nastaviti.
Cannot have two prices for same Price List,Ne možete imati dvije cijene za isti Cjenika
Cannot map because following condition fails: ,Ne mogu mapirati jer sljedeći uvjet ne uspije:
Capacity,Kapacitet
Capacity Units,Kapacitet jedinice
Carry Forward,Prenijeti
Carry Forwarded Leaves,Nosi proslijeđen lišće
Case No(s) already in use. Please rectify and try again.				Recommended <b>From Case No. = %s</b>,Slučaj br (i) već u uporabi. Molimo ispraviti i pokušajte ponovno. Preporučio <b>Od Predmet br =% s</b>
Cash,Gotovina
Cash Voucher,Novac bon
Cash/Bank Account,Novac / bankovni račun
Categorize blog posts.,Kategorizacija blogu.
Category,Kategorija
Category Name,Naziv kategorije
Category of customer as entered in Customer master,Kategorija klijenta ušao u Customer gospodara
Cell Number,Mobitel Broj
Center,Centar
