(Half Day),(Halber Tag)
Actual Qty (at source/target),Tatsächliche Menge (an der Quelle / Ziel)
Actual Qty After Transaction,Tatsächliche Menge Nach Transaction
Actual Quantity,Tatsächliche Menge
Actual Start Date,Tatsächliche Startdatum
Actual Start Time,Tatsächliche Startzeit
Add,Hinzufügen
Add / Edit Taxes and Charges,Hinzufügen / Bearbeiten Steuern und Abgaben
Add A New Rule,Fügen Sie eine neue Regel
Add A Property,Fügen Sie eine Eigenschaft
Add Attachments,Anhänge hinzufügen
Add Bookmark,Lesezeichen hinzufügen
Add CSS,Fügen Sie CSS
Add Column,Spalte hinzufügen
Add Message,Nachricht hinzufügen
Add New Permission Rule,Add New Permission Rule
Add Reply,Fügen Sie Antworten
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,Hinzufügen Geschäftsbedingungen für den Kaufbeleg. Sie können auch eine AGB-Master und verwenden Sie die Vorlage.
Add Terms and Conditions for the Purchase Requisition. You can also prepare a Terms and Conditions Master and use the Template,Fügen AGB für die Bestellanforderung. Sie können auch eine AGB-Master und verwenden Sie die Vorlage
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","Fügen AGB für das Angebot wie Zahlungsbedingungen, Gültigkeit des Angebots etc. Sie können auch ein AGB-Master und verwenden Sie die Vorlage"
Add code as &lt;script&gt;,Fügen Sie Code wie <script>
Add custom code to forms,Fügen Sie benutzerdefinierte Code Formen
Add fields to forms,Hinzufügen von Feldern zu Formen
Add headers for standard print formats,Hinzufügen von Kopf für Standard-Druckformate
Add or Deduct,Hinzufügen oder abziehen
Add rows to set annual budgets on Accounts.,Fügen Sie Zeilen hinzu jährlichen Budgets für Konten festgelegt.
Add to To Do,In den To Do
Add to To Do List of,In den Um-Liste von Do
Add/Remove Recipients,Hinzufügen / Entfernen von Empfängern
"Add/remove users, set roles, passwords etc","Hinzufügen / Entfernen von Benutzern, Satz Rollen, etc. Passwörter"
Additional Columns,Zusätzliche Spalten
Additional Conditions,Zusätzliche Bedingungen
Additional Info,Zusätzliche Informationen
Additional Tables,Zusätzliche Tabellen
Address,Adresse
Address & Contacts,Adresse und Kontakte
Address Desc,Adresse Desc
Address Details,Adressdaten
Address HTML,Adresse HTML
Address Line 1,Address Line 1
Address Line 2,Address Line 2
Address Line1,Adresse Line1
Address Line2,Adresse Line2
Address Title,Anrede
Address Type,Adresse Typ
Address and other legal information you may want to put in the footer.,Adresse und weitere rechtliche Informationen möchten Sie vielleicht in der Fußzeile setzen.
Address to be displayed on the Contact Page,Adresse auf der Kontakt Seite angezeigt werden
Adds a custom field to a DocType,Fügt ein benutzerdefiniertes Feld zu einem DocType
Adds a custom script (client or server) to a DocType,Fügt ein benutzerdefiniertes Skript (Client oder Server) zu einem DocType
Advance Amount,Voraus Betrag
Advance amount,Vorschuss in Höhe
Advanced Scripting,Advanced Scripting
Advanced Settings,Erweiterte Einstellungen
Advances,Advances
Advertisement,Anzeige
After Sale Installations,After Sale Installationen
"After cancelling the Purchase Requisition, a dialog box will ask you reason for cancellation which will be reflected in this field","Nach dem Abbruch der Bestellanforderung, wird ein Dialogfeld bitten Grund für die Stornierung, die in diesem Bereich reflektiert werden"
Against,Gegen
Against Account,Vor Konto
Against Docname,Vor DocName
Against Doctype,Vor Doctype
Against Document Date,Gegen Dokument Datum
Against Document Detail No,Vor Document Detailaufnahme
Against Document No,Gegen Dokument Nr.
Against Expense Account,Vor Expense Konto
Against Income Account,Vor Income Konto
Against Journal Voucher,Vor Journal Gutschein
Against Purchase Invoice,Vor Kaufrechnung
Against Sales Invoice,Vor Sales Invoice
Against Voucher,Gegen Gutschein
Against Voucher Type,Gegen Gutschein Type
Agent,Agent
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","Aggregate Gruppe ** Artikel ** in einen anderen ** Artikel. ** Dies ist nützlich, wenn Sie bündeln eine gewisse ** Die Artikel werden ** in einem Paket und Sie behalten Lager der verpackten ** Artikel ** und nicht das Aggregat ** Artikel. ** Das Paket ** Artikel ** haben wird: ""Ist Stock Item"" als ""Nein"" und ""Ist Vertrieb Item"" als ""Ja"" Zum Beispiel:. Wenn Sie den Verkauf Laptops und Rucksäcke werden getrennt und haben einen besonderen Preis, wenn der Kunde kauft sowohl BOM = Bill of Materials:, dann wird der Laptop + Rucksack wird ein neuer Sales BOM Item.Note sein"
Aging Date,Aging Datum
All Addresses.,Alle Adressen.
All Contact,Alle Kontakt
All Contacts.,Alle Kontakte.
All Customer Contact,All Customer Contact
All Day,All Day
All Employee (Active),Alle Mitarbeiter (Active)
All Lead (Open),Alle Lead (Open)
All Products or Services.,Alle Produkte oder Dienstleistungen.
All Sales Partner Contact,Alle Vertriebspartner Kontakt
All Sales Person,Alle Sales Person
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Alle Verkäufe Transaktionen können gegen mehrere ** Umsatz Personen **, so dass Sie und überwachen Ziele können markiert werden."
All Supplier Contact,Alle Lieferanten Kontakt
All attendance dates inbetween selected Attendance From Date and Attendance To Date will come in the template with employees list.,All die Teilnahme datiert dazwischen gewählt Teilnahme ab Datum und die Teilnahme an Datum wird in der Vorlage mit den Mitarbeitern Liste kommen.
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Alle Export-verwandten Bereichen wie Währung, Conversion-Rate, Export Insgesamt Export Gesamtsumme etc sind in <br> Lieferschein, POS, Angebot, Sales Invoice, Auftragsabwicklung, etc."
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Alle Import-verwandten Bereichen wie Währung, Conversion-Rate, Import Insgesamt sind Import Gesamtsumme etc in <br> Kaufbeleg Lieferant Angebot, Auftragsbestätigung, Bestellung etc. zur Verfügung"
All items have already been transferred \				for this Production Order.,Alle Elemente wurden bereits \ für diesen Fertigungsauftrag übertragen.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alle möglichen Workflow-Status und Rollen des Workflows. <br> DocStatus Optionen: 0 wird ""Gespeichert"" wird ein ""Eingereicht"" und 2 ""Cancelled"""
Allocate,Zuweisen
Allocate leaves for the year.,Weisen Blätter für das Jahr.
Allocated (%),Zugeordnet (%)
Allocated Amount,Zugeteilten Betrag
Allocated Budget,Zugeteilten Budget
Allocated amount,Zugeteilten Betrag
Allow Attach,Lassen Befestigen
Allow Bill of Materials,Lassen Bill of Materials
Allow Negative Balance,Lassen Negative Bilanz
Allow Negative Stock,Lassen Negative Lager
Allow Production Order,Lassen Fertigungsauftrag
Allow Rename,Lassen Sie Umbenennen
Allow Samples,Lassen Proben
Allow User,Benutzer zulassen
Allow Users,Ermöglichen
Allow on Submit,Lassen Sie auf Absenden
Allow the following users to make Leave Applications for block days.,Lassen Sie die folgenden Benutzer Leave Anwendungen für Block Tag machen.
Allow this price in purchase related forms,Lassen Sie diesen Preis in Kauf verwandten Formen
Allow this price in sales related forms,Lassen Sie diesen Preis im Vertrieb verwandte Formen
Allow user to login only after this hour (0-24),"Lassen Sie Benutzer nur anmelden, nach dieser Stunde (0-24)"
Allow user to login only before this hour (0-24),"Lassen Sie Benutzer nur anmelden, bevor dieser Stunde (0-24)"
Allowance Percent,Allowance Prozent
Allowed,Erlaubt
Amend,Ändern
Amended From,Geändert von
Amendment Date,Änderung Datum
Amount,Menge
Amount <=,Betrag <=
Amount >=,Betrag> =
Amount*,Betrag *
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Ein Symbol-Datei mit. Ico. Sollte 16 x 16 px sein. Erzeugt mit ein Favicon-Generator. [<a Href=""http://favicon-generator.org/"" target=""_blank""> favicon-generator.org </ a>]"
Analytics,Analytics
Answer,Beantworten
"Any other comments, noteworthy effort that should go in the records.","Weitere Kommentare, bemerkenswerte Anstrengungen, die in den Aufzeichnungen gehen sollte."
Applicable Holiday List,Anwendbar Ferienwohnung Liste
Applicable To (Designation),Für (Bezeichnung)
Applicable To (Employee),Für (Employee)
Applicable To (Role),Anwendbar (Rolle)
Applicable To (User),Anwendbar auf (User)
Applicable only if valuation method is moving average,"Gilt nur, wenn Bewertungsmethode ist gleitenden Durchschnitt"
Applicant Name,Name des Antragstellers
Applicant for a Job,Antragsteller für einen Job
Applicant for a Job (extracted from jobs email).,Antragsteller für einen Job (extrahiert aus Jobs E-Mail).
Applications for leave.,Bei Anträgen auf Urlaub.
Applies to Company,Gilt für Unternehmen
Apply / Approve Leaves,Übernehmen / Genehmigen Leaves
Appraisal,Bewertung
Appraisal Goal,Bewertung Goal
Appraisal Goals,Bewertung Details
Appraisal Template,Bewertung Template
Appraisal Template Goal,Bewertung Template Goal
Appraisal Template Title,Bewertung Template Titel
Approval Status,Genehmigungsstatus
Approved,Genehmigt
Approver,Approver
Approving Role,Genehmigung Rolle
Approving User,Genehmigen Benutzer
Are you sure you want to delete the attachment?,"Sind Sie sicher, dass Sie den Anhang löschen?"
Arial,Arial
Arrear Amount,Nachträglich Betrag
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","Als Best Practice, nicht die gleiche Menge von Berechtigungen Vorschrift auf unterschiedliche Rollen stattdessen mehrere Rollen für den Benutzer"
As existing qty for item:,Als bestehende Menge für Artikel:
As per Stock UOM,Wie pro Lagerbestand UOM
Ascending,Aufsteigend
Assign To,Zuordnen zu
Assigned By,Zugewiesen von
Associate a DocType to the Print Format,Zuordnen eines DocType der Print Format
Atleast one warehouse is mandatory,Mindestens eines Lagers ist obligatorisch
Attach,Befestigen
Attach Document Print,Anhängen Dokument drucken
Attachments,Zubehör
Attempted to Contact,"Versucht, Kontakt"
Attendance,Teilnahme
Attendance Control Panel,Teilnahme Control Panel
Attendance Date,Teilnahme seit
Attendance Details,Teilnahme Einzelheiten
Attendance From Date,Teilnahme ab-Datum
Attendance To Date,Teilnahme To Date
Attendance record.,Zuschauerrekord.
Attributions,Zuschreibungen
Authorization Control,Authorization Control
Authorization Rule,Autorisierungsregel
Authorized Role (Frozen Entry),Autorisierte Rolle (Frozen Entry)
Authourized Role (Frozen Entry),Authourized Rolle (Frozen Entry)
Auto Email Id,Auto Email Id
Auto Name,Auto Name
Auto generated,Auto generiert
Automatically updated via Stock Entry of type Manufacture/Repack,Automatisch über Lager Eintrag vom Typ Manufacture / Repack aktualisiert
Autoreply when a new mail is received,Autoreply wenn eine neue E-Mail empfangen
Available Qty at Warehouse,Verfügbare Menge bei Warehouse
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","Erhältlich in Stücklisten, Lieferschein, Bestellung, Fertigungsauftrag, Bestellung, Kaufbeleg, Sales Invoice, Sales Order, Stock Entry, Timesheet"
Average Discount,Durchschnittliche Discount
B,B
B+,B +
B-,B-
BILL,BILL
BILLJ,BILLJ
BOM,BOM
BOM Detail No,BOM Detailaufnahme
BOM Explosion Item,Stücklistenauflösung Artikel
BOM Item,Stücklistenposition
BOM No,BOM Nein
BOM No. for a Finished Good Item,BOM-Nr für Finished Gute Artikel
BOM Operation,BOM Betrieb
BOM Operations,BOM Operationen
BOM Replace Tool,BOM Replace Tool
BOM replaced,BOM ersetzt
Background Color,Hintergrundfarbe
Background Image,Background Image
Background shade of the top menu bar,Hintergrund Schatten der oberen Menüleiste
Bank,Bank
Bank A/C No.,Bank A / C Nr.
Bank Account,Bankkonto
Bank Account No.,Bank Konto-Nr
Bank Balance,Kontostand
Bank Name,Name der Bank
Bank Reconciliation,Kontenabstimmung
Bank Reconciliation Detail,Kontenabstimmung Details
Bank Voucher,Bankgutschein
Bank or Cash,Bank oder Bargeld
Banner,Banner
Banner HTML,Banner HTML
Barcode,Strichcode
Based On,Basierend auf
Based on,Basierend auf
Basic Info,Basic Info
Basic Information,Grundlegende Informationen
Basic Rate,Basic Rate
Basic Rate*,Basic Rate *
Batch,Stapel
Batch (lot) of an Item.,Batch (Los) eines Item.
Batch Finished Date,Batch Beendet Datum
Batch ID,Batch ID
Batch No,Batch No
Batch Started Date,Batch gestartet Datum
Begin this page with a slideshow of images,Beginnen Sie diese Seite mit einer Diashow von Bildern
Better Prospects,Bessere Aussichten
Bill Date,Bill Datum
Bill No,Bill No
Bill of Material to be considered for manufacturing,"Bill of Material, um für die Fertigung berücksichtigt werden"
Bill of Materials,Bill of Materials
Bill of Materials (BOM),Bill of Materials (BOM)
Billed,Angekündigt
Billed Amt,Billed Amt
Billed Quantity,Angekündigt Menge
Billing Status,Billing-Status
Bills raised by Suppliers.,Bills erhöht durch den Lieferanten.
Bills raised to Customers.,"Bills angehoben, um Kunden."
Bin,Kasten
Bio,Bio
Birth Date,Geburtsdatum
Black,Schwarz
Blob,Klecks
Block Date,Blockieren Datum
Block Days,Block Tage
Block Holidays on important days.,Blockieren Urlaub auf wichtige Tage.
Block leave applications by department.,Block verlassen Anwendungen nach Abteilung.
Blog,Blog
Blog Subscriber,Blog Subscriber
Blog entry.,Blog-Eintrag.
Blood Group,Blutgruppe
Bookmarks,Bookmarks
Branch,Zweig
Brand,Marke
Brand HTML,Marke HTML
Brand Name,Markenname
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px","Marke ist das, was in der oberen rechten Ecke des Symbolleiste. Wenn es ein Bild ist, stellen Sie sicher, ithas einen transparenten Hintergrund und verwenden Sie die <img />-Tag. Halten Größe wie 200px x 30px"
Brand master.,Marke Meister.
Branding and Printing,Branding und Druck
Brands,Marken
Breakdown,Zusammenbruch
Budget,Budget
Budget Allocated,Budget
Budget Control,Budget Control
Budget Detail,Budget Detailansicht
Budget Details,Budget Einzelheiten
Budget Distribution,Budget Verteilung
Budget Distribution Detail,Budget Verteilung Detailansicht
Budget Distribution Details,Budget Ausschüttungsinformationen
Bulk Email,Bulk Email
Bulk Email records.,Bulk Email Datensätze.
Bundle items at time of sale.,Bundle Artikel zum Zeitpunkt des Verkaufs.
Button,Taste
Buyer of Goods and Services.,Käufer von Waren und Dienstleistungen.
Buying,Kauf
Buying Cost,Kauf Cost
Buying Cost will be updated from Purchase Orders and Purchase Receipts. <br>The buying cost will calculated by moving average method.,Buying Kosten werden von Bestellungen und Einnahmen aktualisiert werden. <br> Der Kauf Kosten werden vom gleitenden Durchschnitt berechnet.
Buying Home,Kauf Startseite
By,Durch
C,C
C-FORM/,C-FORM /
C-Form,C-Form
C-Form Applicable,"C-Form,"
C-Form Invoice Detail,C-Form Rechnungsdetails
C-Form No,C-Form nicht
CGHelp,CGHelp
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
CSS,CSS
CTC,CTC
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Charges,Berechnen Sie Gebühren
Calculate Tax,Steuer rechnen
Calculate Taxes and Charges,Berechnen Sie Steuern und Abgaben
Calculate Total Score,Berechnen Gesamtpunktzahl
Calendar,Kalender
Calendar Events,Kalendereintrag
Call,Rufen
Campaign,Kampagne
Campaign Name,Kampagnenname
Can only be exported by users with role 'Report Manager',"Kann nur von Benutzern mit der Rolle ""Report Manager"" exportiert werden"
Cancel,Kündigen
Cancel Reason,Abbrechen Reason
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,"Abbrechen Erlaubnis ermöglicht dem Benutzer auch, um ein Dokument (wenn sie nicht auf irgendeine andere Dokument verknüpft) zu löschen."
Cancelled,Abgesagt
Cannot,Kann nicht
Capacity,Kapazität
Capacity Units,Capacity Units
Career History,Karriere Geschichte
Carry Forward,Vortragen
Carry Forwarded Leaves,Carry Weitergeleitete Leaves
Cash,Bargeld
Cash Voucher,Cash Gutschein
Cash/Bank Account,Cash / Bank Account
Category,Kategorie
Category of customer as entered in Customer master,"Kategorie von Kunden, wie in Customer Master eingetragen"
Cell Number,Cell Number
Center,Zentrum
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Bestimmte Dokumente sollten nicht geändert werden, nachdem endgültig angesehen werden, wie eine Rechnung zum Beispiel. Der Endzustand für solche Dokumente wird als <b> Eingereicht </ b>. Sie können einschränken, welche Rollen können Sie auf Absenden."
Certificate,Zertifikat
Challan Date,Challan Datum
Challan No,Challan Nein
Change UOM for an Item.,Ändern UOM für ein Item.
Change background fonts etc,Ändern Sie Hintergrund-Schriftarten etc
"Change entry properties (hide fields, make mandatory etc)",Eintrag ändern Eigenschaften (hide Feldern machen obligatorischen etc)
Change the starting / current sequence number of an existing series.,Ändern Sie den Start / aktuelle Sequenznummer eines bestehenden Serie.
Channel Partner,Channel Partner
Charge,Ladung
Chargeable,Gebührenpflichtig
Chart of Accounts,Kontenplan
Chart of Cost Centers,Abbildung von Kostenstellen
Chat,Plaudern
Cheating FieldPlease do not delete,Cheating FieldPlease nicht löschen
Check,Überprüfen
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,"Aktivieren / Deaktivieren zugewiesenen Rollen der Profile. Klicken Sie auf die Rolle, um herauszufinden, welche Berechtigungen dieser Rolle hat."
Check all the items below that you want to send in this digest.,"Überprüfen Sie alle Artikel unten, dass Sie in diesem Digest senden."
Check how the newsletter looks in an email by sending it to your email.,"Prüfen Sie, wie der Newsletter in einer E-Mail aussieht, indem es an deine E-Mail."
"Check if recurring invoice, uncheck to stop recurring or put proper End Date","Prüfen Sie, ob wiederkehrende Rechnung, deaktivieren zu stoppen wiederkehrende oder legen richtigen Enddatum"
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.","Überprüfen Sie, ob Sie die automatische wiederkehrende Rechnungen benötigen. Nach dem Absenden eine Rechnung über den Verkauf wird Recurring Abschnitt sichtbar sein."
Check if you want to send salary slip in mail to each employee while submitting salary slip,"Überprüfen Sie, ob Sie Gehaltsabrechnung in Mail an jeden Mitarbeiter wollen, während Einreichung Gehaltsabrechnung"
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Aktivieren Sie diese Option, wenn Sie den Benutzer zwingen, eine Reihe vor dem Speichern auswählen möchten. Es wird kein Standard sein, wenn Sie dies zu überprüfen."
Check this if you want to show in website,"Aktivieren Sie diese Option, wenn Sie in der Website zeigen wollen"
Check this to make this the default letter head in all prints,"Aktivieren Sie diese Option, um es als Standard-Briefkopf in allen Ausdrucke"
Check this to pull emails from your mailbox,"Aktivieren Sie diese Option, um E-Mails aus Ihrer Mailbox ziehen"
Check to activate,Überprüfen Sie aktivieren
Check to make Shipping Address,"Überprüfen Sie, Liefer-Adresse machen"
Check to make primary address,Überprüfen primäre Adresse machen
Checked,Geprüft
"Checking Operator (To Fld, Operator, From Fld)","Überprüfen Operator (Um Fld, Operator, Von Fld)"
Cheque,Scheck
Cheque Date,Scheck Datum
Cheque Number,Scheck-Nummer
