 (Half Day),(ครึ่งวัน)
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">การจัดการดินแดนคลิกที่นี่</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">จัดการกลุ่มสินค้า</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">อาณาเขต</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">การจัดการดินแดนคลิกที่นี่</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">ตัวเลือกการตั้งชื่อ</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>ช่วยให้คุณสามารถยกเลิกการเปลี่ยนแปลงเอกสารที่ยื่นโดยการยกเลิกพวกเขาและพวกเขาแก้</b>
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">ในการติดตั้งโปรดไปที่การตั้งค่า&gt; ตั้งชื่อซีรีส์</span>"
A Customer exists with same name,ลูกค้าที่มีอยู่ที่มีชื่อเดียวกัน
A Lead with this email id should exist,ตะกั่วที่มี id อีเมลนี้ควรมีอยู่
"A Product or a Service that is bought, sold or kept in stock.",สินค้าหรือบริการที่มีการซื้อขายหรือเก็บไว้ในสต็อก
A Supplier exists with same name,ผู้ผลิตที่มีอยู่ที่มีชื่อเดียวกัน
A condition for a Shipping Rule,เงื่อนไขในการกฎการจัดส่งสินค้า
A logical Warehouse against which stock entries are made.,คลังสินค้าตรรกะกับที่รายการสต็อกจะทำ
A new popup will open that will ask you to select further conditions.,ป๊อปอัพใหม่จะเปิดที่จะขอให้คุณเลือกเงื่อนไขเพิ่มเติม
A symbol for this currency. For e.g. $,สัญลักษณ์สกุลเงินนี้ สำหรับเช่น $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ตัวแทนจำหน่ายของบุคคลที่สามตัวแทนจำหน่าย / / คณะกรรมการพันธมิตร / / ผู้ค้าปลีกที่ขายผลิตภัณฑ์ของ บริษัท ให้คณะกรรมาธิการ
A user can have multiple values for a property.,ผู้ใช้สามารถมีค่าหลายค่าสำหรับสถานที่ให้บริการ
A+,+
A-,-
AB+,AB +
AB-,AB-
AMC Expiry Date,วันที่หมดอายุ AMC
ATT,ATT
Abbr,abbr
About,เกี่ยวกับ
About Us Settings,เกี่ยวกับการตั้งค่าเรา
About Us Team Member,เกี่ยวกับสมาชิกในทีมเรา
Above Value,สูงกว่าค่า
Absent,ไม่อยู่
Acceptance Criteria,เกณฑ์การยอมรับ
Accepted,ได้รับการยอมรับ
Accepted Quantity,จำนวนที่ยอมรับ
Accepted Warehouse,คลังสินค้าได้รับการยอมรับ
Account,บัญชี
Account Balance,ยอดเงินในบัญชี
Account Details,รายละเอียดบัญชี
Account Head,หัวหน้าบัญชี
Account Id,หมายเลขบัญชีที่
Account Name,ชื่อบัญชี
Account Type,ประเภทบัญชี
Account for this ,บัญชีนี้
Accounting,การบัญชี
Accounting Year.,ปีบัญชี
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",รายการบัญชีแช่แข็งถึงวันนี้ไม่มีใครสามารถทำ / แก้ไขรายการยกเว้นบทบาทที่ระบุไว้ด้านล่าง
Accounting journal entries.,รายการบัญชีวารสาร
Accounts,บัญชี
Accounts Frozen Upto,บัญชี Frozen เกิน
Accounts Payable,บัญชีเจ้าหนี้
Accounts Receivable,ลูกหนี้
Accounts Settings,การตั้งค่าบัญชี
Action,การกระทำ
Active,คล่องแคล่ว
Active: Will extract emails from ,ใช้งานล่าสุด: จะดึงอีเมลจาก
Activity,กิจกรรม
Activity Log,เข้าสู่ระบบกิจกรรม
Activity Type,ประเภทกิจกรรม
Actual,ตามความเป็นจริง
Actual Budget,งบประมาณที่เกิดขึ้นจริง
Actual Completion Date,วันที่เสร็จสมบูรณ์จริง
Actual Date,วันที่เกิดขึ้นจริง
Actual End Date,วันที่สิ้นสุดจริง
Actual Invoice Date,วันที่ใบแจ้งหนี้ที่เกิดขึ้นจริง
Actual Posting Date,วันที่โพสต์กระทู้ที่เกิดขึ้นจริง
Actual Qty,จำนวนที่เกิดขึ้นจริง
Actual Qty (at source/target),จำนวนที่เกิดขึ้นจริง (ที่มา / เป้าหมาย)
Actual Qty After Transaction,จำนวนที่เกิดขึ้นจริงหลังทำรายการ
Actual Quantity,จำนวนที่เกิดขึ้นจริง
Actual Start Date,วันที่เริ่มต้นจริง
Add,เพิ่ม
Add / Edit Taxes and Charges,เพิ่ม / แก้ไขภาษีและค่าธรรมเนียม
Add A New Rule,เพิ่มกฎใหม่
Add A Property,เพิ่มสถานที่ให้บริการ
Add Attachments,เพิ่มสิ่งที่แนบ
Add Bookmark,เพิ่มบุ๊คมาร์ค
Add CSS,เพิ่ม CSS
Add Column,เพิ่มคอลัมน์
Add Comment,เพิ่มความเห็น
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,เพิ่ม Google Analytics ID: เช่น UA-89XXX57-1 กรุณาค้นหาความช่วยเหลือใน Google Analytics สำหรับข้อมูลเพิ่มเติม
Add Message,เพิ่มข้อความ
Add New Permission Rule,เพิ่มกฎการอนุญาตใหม่
Add Reply,เพิ่มตอบ
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,เพิ่มข้อตกลงและเงื่อนไขในการขอวัสดุ นอกจากนี้คุณยังสามารถเตรียมความพร้อมข้อกำหนดเงื่อนไขและปริญญาโทและใช้แม่แบบ
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,เพิ่มข้อตกลงและเงื่อนไขในการรับซื้อ นอกจากนี้คุณยังสามารถเตรียมความพร้อมข้อกำหนดเงื่อนไขและปริญญาโทและใช้แม่แบบ
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template",เพิ่มข้อตกลงและเงื่อนไขในการขอใบเสนอราคาเช่นเงื่อนไขการชำระเงินถูกต้องของข้อเสนอที่คุณ ฯลฯ นอกจากนี้ยังสามารถเตรียมความพร้อมข้อกำหนดเงื่อนไขและปริญญาโทและใช้แม่แบบ
Add Total Row,เพิ่มแถวผลรวม
Add a banner to the site. (small banners are usually good),เพิ่มแบนเนอร์ไปยังเว็บไซต์ (ป้ายขนาดเล็กมักจะดี)
Add attachment,เพิ่มสิ่งที่แนบมา
Add code as &lt;script&gt;,เพิ่มรหัสเป็น &lt;script&gt;
Add new row,เพิ่มแถวใหม่
Add or Deduct,เพิ่มหรือหัก
Add rows to set annual budgets on Accounts.,เพิ่มแถวตั้งงบประมาณประจำปีเกี่ยวกับบัญชี
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","เพิ่มชื่อของ <a href=""http://google.com/webfonts"" target=""_blank"">Google Font เว็บ</a> เช่น &quot;Sans เปิด&quot;"
Add to To Do,เพิ่มสิ่งที่ต้องทำ
Add to To Do List of,เพิ่มไป To Do List ของ
Add/Remove Recipients,Add / Remove ผู้รับ
Additional Info,ข้อมูลเพิ่มเติม
Address,ที่อยู่
Address & Contact,ที่อยู่และติดต่อ
Address & Contacts,ที่อยู่ติดต่อ &amp;
Address Desc,ที่อยู่รายละเอียด
Address Details,รายละเอียดที่อยู่
Address HTML,ที่อยู่ HTML
Address Line 1,ที่อยู่บรรทัดที่ 1
Address Line 2,ที่อยู่บรรทัดที่ 2
Address Title,หัวข้อที่อยู่
Address Type,ประเภทของที่อยู่
Address and other legal information you may want to put in the footer.,ที่อยู่และข้อมูลทางกฎหมายอื่น ๆ ที่คุณอาจต้องการที่จะนำในส่วนท้าย
Address to be displayed on the Contact Page,ที่อยู่ที่จะปรากฏบนหน้าติดต่อ
Adds a custom field to a DocType,เพิ่มเขตข้อมูลที่กำหนดเองเพื่อ DocType
Adds a custom script (client or server) to a DocType,เพิ่มสคริปต์ที่กำหนดเอง (ไคลเอ็นต์หรือเซิร์ฟเวอร์) เพื่อ DocType
Advance Amount,จำนวนล่วงหน้า
Advance amount,จำนวนเงิน
Advanced Scripting,การเขียนสคริปต์ขั้นสูง
Advanced Settings,ตั้งค่าขั้นสูง
Advances,ความก้าวหน้า
Advertisement,การโฆษณา
After Sale Installations,หลังจากการติดตั้งขาย
Against,กับ
Against Account,กับบัญชี
Against Docname,กับ Docname
Against Doctype,กับ Doctype
Against Document Date,กับวันที่เอกสาร
Against Document Detail No,กับรายละเอียดเอกสารไม่มี
Against Document No,กับเอกสารไม่มี
Against Expense Account,กับบัญชีค่าใช้จ่าย
Against Income Account,กับบัญชีรายได้
Against Journal Voucher,กับบัตรกำนัลวารสาร
Against Purchase Invoice,กับใบกำกับซื้อ
Against Sales Invoice,กับขายใบแจ้งหนี้
Against Voucher,กับบัตรกำนัล
Against Voucher Type,กับประเภทบัตร
Agent,ตัวแทน
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials",กลุ่มรวมของรายการ ** ** เข้าไปอีกรายการ ** ** นี้จะเป็นประโยชน์ถ้าคุณกำลัง bundling รายการ ** ** บางเป็นแพคเกจและคุณรักษาสต็อกของบรรจุรายการ ** ** และไม่รวมรายการ ** ** แพคเกจสินค้า ** ** จะมี &quot;รายการสินค้า&quot; ขณะที่ &quot;ไม่มี&quot; และ &quot;รายการขาย&quot; เป็น &quot;ใช่&quot; ตัวอย่าง:. ถ้าคุณกำลังขายแล็ปท็อปและเป้สะพายหลังแยกและมีราคาพิเศษหากลูกค้าซื้อทั้ง แล้วแล็ปท็อปกระเป๋าเป้สะพายหลัง + จะขายใหม่ BOM Item.Note: BOM บิลของวัสดุ =
Aging Date,Aging วันที่
All Addresses.,ที่อยู่ทั้งหมด
All Contact,ติดต่อทั้งหมด
All Contacts.,ติดต่อทั้งหมด
All Customer Contact,ติดต่อลูกค้าทั้งหมด
All Day,วันทั้งหมด
All Employee (Active),พนักงาน (Active) ทั้งหมด
All Lead (Open),ตะกั่ว (เปิด) ทั้งหมด
All Products or Services.,ผลิตภัณฑ์หรือบริการ
All Sales Partner Contact,ทั้งหมดติดต่อพันธมิตรการขาย
All Sales Person,คนขายทั้งหมด
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,ทั้งหมดธุรกรรมการขายสามารถติดแท็กกับหลายคน ** ขาย ** เพื่อให้คุณสามารถตั้งค่าและตรวจสอบเป้าหมาย
All Supplier Contact,ติดต่อผู้ผลิตทั้งหมด
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.",ทั้งหมดคอลัมน์บัญชีควรจะเป็นหลังจากที่คอลัมน์มาตรฐาน \ และด้านขวา หากคุณเข้ามามันถูกต้อง \ เหตุผลต่อไปน่าจะเป็นอาจจะเป็นชื่อบัญชีที่ไม่ถูกต้อง กรุณาแก้ไขไว้ในไฟล์และลองอีกครั้ง
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","สาขาที่เกี่ยวข้องทั้งหมดเช่นการส่งออกสกุลเงินอัตราการแปลงรวมการส่งออก ฯลฯ การส่งออกรวมทั้งสิ้นที่มีอยู่ใน <br> หมายเหตุจัดส่งสินค้า, POS, ใบเสนอราคา, ใบแจ้งหนี้การขาย, การสั่งซื้อการขาย ฯลฯ"
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","สาขาที่เกี่ยวข้องทั้งหมดนำเข้าเช่นสกุลเงินอัตราการแปลงรวมการนำเข้าและอื่น ๆ นำเข้าแกรนด์รวมที่มีอยู่ใน <br> รับซื้อ, ใบเสนอราคาผู้ผลิต, ใบกำกับซื้อ, ซื้อสั่งซื้อ ฯลฯ"
All items have already been transferred \				for this Production Order.,รายการทั้งหมดได้รับการโอนแล้ว \ สำหรับการสั่งซื้อการผลิตนี้
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","ทุกประเทศที่เป็นไปได้เวิร์กโฟลว์และบทบาทของเวิร์กโฟลว์ <br> Docstatus ตัวเลือก: 0 ถูก &quot;บันทึก&quot;, 1 คือ &quot;Submitted&quot; และ 2 คือ &quot;ยกเลิก&quot;"
All posts by,โพสต์ทั้งหมดโดย
Allocate,จัดสรร
Allocate leaves for the year.,จัดสรรใบสำหรับปี
Allocated Amount,จำนวนที่จัดสรร
Allocated Budget,งบประมาณที่จัดสรร
Allocated amount,จำนวนที่จัดสรร
Allow Attach,อนุญาตให้แนบ
Allow Bill of Materials,อนุญาตให้ Bill of Materials
Allow Dropbox Access,ที่อนุญาตให้เข้าถึง Dropbox
Allow Editing of Frozen Accounts For,อนุญาตให้แก้ไขบัญชีสำหรับแช่แข็ง
Allow Google Drive Access,ที่อนุญาตให้เข้าถึงใน Google Drive
Allow Import,อนุญาตให้นำเข้า
Allow Import via Data Import Tool,อนุญาตให้นำเข้าได้ดูผ่านเครื่องมือนำเข้าข้อมูล
Allow Negative Balance,อนุญาตให้ยอดคงเหลือติดลบ
Allow Negative Stock,อนุญาตให้สต็อกเชิงลบ
Allow Production Order,อนุญาตให้สั่งซื้อการผลิต
Allow Rename,อนุญาตให้เปลี่ยนชื่อ
Allow Samples,อนุญาตให้ตัวอย่าง
Allow User,อนุญาตให้ผู้ใช้
Allow Users,อนุญาตให้ผู้ใช้งาน
Allow on Submit,อนุญาตให้ส่ง
Allow the following users to approve Leave Applications for block days.,อนุญาตให้ผู้ใช้ต่อไปเพื่อขออนุมัติการใช้งานออกวันบล็อก
Allow user to edit Price List Rate in transactions,ช่วยให้ผู้ใช้ในการแก้ไขอัตราราคาปกติในการทำธุรกรรม
Allow user to login only after this hour (0-24),อนุญาตให้ผู้ใช้เข้าสู่ระบบเท่านั้นหลังจากชั่วโมงนี้ (0-24)
Allow user to login only before this hour (0-24),อนุญาตให้ผู้ใช้เข้าสู่ระบบก่อนที่จะชั่วโมงนี้ (0-24)
Allowance Percent,ร้อยละค่าเผื่อ
Allowed,อนุญาต
Already Registered,ลงทะเบียนเรียบร้อยแล้ว
Always use Login Id as sender,มักจะใช้รหัสเข้าสู่ระบบเป็นผู้ส่ง
Amend,แก้ไข
Amended From,แก้ไขเพิ่มเติม
Amount,จำนวน
Amount (Company Currency),จำนวนเงิน (สกุลเงิน บริษัท )
Amount <=,จำนวนเงินที่ &lt;=
Amount >=,จำนวนเงินที่&gt; =
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","file icon มี. ขยาย ICO ควรจะขนาด 16 x 16 px สร้างขึ้นโดยใช้เครื่องกำเนิดไฟฟ้า favicon [ <a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a> ]"
Analytics,Analytics
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,&#39;% s&#39; โครงสร้างเงินเดือนก็คือการใช้งานสำหรับพนักงาน &#39;% s&#39; กรุณาให้ &#39;ใช้งาน&#39; สถานะของการดำเนินการ
"Any other comments, noteworthy effort that should go in the records.",ความเห็นอื่น ๆ ความพยายามที่น่าสังเกตว่าควรจะไปในบันทึก
Applicable Holiday List,รายการวันหยุดที่ใช้บังคับ
Applicable To (Designation),ที่ใช้บังคับกับ (จุด)
Applicable To (Employee),ที่ใช้บังคับกับ (พนักงาน)
Applicable To (Role),ที่ใช้บังคับกับ (Role)
Applicable To (User),ที่ใช้บังคับกับ (User)
Applicant Name,ชื่อผู้ยื่นคำขอ
Applicant for a Job,ขอรับงาน
Applicant for a Job.,ผู้สมัครงาน
Applications for leave.,โปรแกรมประยุกต์สำหรับการลา
Applies to Company,นำไปใช้กับ บริษัท
Apply / Approve Leaves,ใช้ / อนุมัติใบ
Apply Shipping Rule,ใช้กฎการจัดส่งสินค้า
Apply Taxes and Charges Master,รับสมัครปริญญาโทและภาษีค่าใช้จ่าย
Appraisal,การตีราคา
Appraisal Goal,เป้าหมายการประเมิน
Appraisal Goals,เป้าหมายการประเมิน
Appraisal Template,แม่แบบการประเมิน
Appraisal Template Goal,เป้าหมายเทมเพลทประเมิน
Appraisal Template Title,หัวข้อแม่แบบประเมิน
Approval Status,สถานะการอนุมัติ
Approved,ได้รับการอนุมัติ
Approver,อนุมัติ
Approving Role,อนุมัติบทบาท
Approving User,อนุมัติผู้ใช้
Are you sure you want to delete the attachment?,คุณแน่ใจหรือว่าต้องการลบสิ่งที่แนบมา?
Arial,Arial
Arrear Amount,จำนวน Arrear
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",เป็นวิธีที่ดีที่สุดไม่ได้กำหนดชุดเดียวกันของกฎอนุญาตให้บทบาทที่แตกต่างกันแทนที่จะตั้งหลายบทบาทให้กับผู้ใช้
As existing qty for item: ,เป็นจำนวนที่มีอยู่สำหรับรายการ:
As per Stock UOM,เป็นต่อสต็อก UOM
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'",เนื่องจากมีการทำธุรกรรมหุ้นที่มีอยู่สำหรับรายการ \ นี้คุณไม่สามารถเปลี่ยนค่าของ &#39;มีซีเรียลไม่&#39; \ &#39;เป็นรายการสินค้า&#39; และ &#39;วิธีประเมิน&#39;
Ascending,Ascending
Assign To,กำหนดให้
Assigned By,ได้รับมอบหมายจาก
Assignment,การมอบหมาย
Assignments,ที่ได้รับมอบหมาย
Associate a DocType to the Print Format,เชื่อมโยง DocType รูปแบบการพิมพ์
Atleast one warehouse is mandatory,อย่างน้อยหนึ่งคลังสินค้ามีผลบังคับใช้
Attach,แนบ
Attach Document Print,แนบเอกสารพิมพ์
Attached To DocType,ที่แนบมากับ DOCTYPE
Attached To Name,ที่แนบมากับชื่อ
Attachment,ความผูกพัน
Attachments,สิ่งที่แนบมา
Attempted to Contact,พยายามที่จะติดต่อ
Attendance,การดูแลรักษา
Attendance Date,วันที่เข้าร่วม
Attendance Details,รายละเอียดการเข้าร่วมประชุม
Attendance From Date,ผู้เข้าร่วมจากวันที่
Attendance To Date,วันที่เข้าร่วมประชุมเพื่อ
Attendance can not be marked for future dates,ผู้เข้าร่วมไม่สามารถทำเครื่องหมายสำหรับวันที่ในอนาคต
Attendance for the employee: ,สำหรับพนักงานที่เข้าร่วม:
Attendance record.,บันทึกการเข้าร่วมประชุม
Attributions,เหตุผล
Authorization Control,ควบคุมการอนุมัติ
Authorization Rule,กฎการอนุญาต
Auto Email Id,รหัสอีเมล์อัตโนมัติ
Auto Inventory Accounting,บัญชีสินค้าคงคลังอัตโนมัติ
Auto Inventory Accounting Settings,อัตโนมัติการตั้งค่าบัญชีสินค้าคงคลัง
Auto Material Request,ขอวัสดุอัตโนมัติ
Auto Name,ชื่ออัตโนมัติ
Auto generated,ออโต้สร้าง
Auto-raise Material Request if quantity goes below re-order level in a warehouse,Auto-ยกคำขอถ้าปริมาณวัสดุไปต่ำกว่าระดับใหม่สั่งในคลังสินค้า
Automatically updated via Stock Entry of type Manufacture/Repack,ปรับปรุงโดยอัตโนมัติผ่านทางรายการในสต็อกการผลิตประเภท / Repack
Autoreply when a new mail is received,autoreply เมื่อมีอีเมลใหม่ได้รับ
Available Qty at Warehouse,จำนวนที่คลังสินค้า
Available Stock for Packing Items,สต็อกสำหรับการบรรจุรายการ
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","ที่มีจำหน่ายใน BOM, หมายเหตุจัดส่งใบแจ้งหนี้ซื้อสั่งซื้อการผลิตการสั่งซื้อ, รับซื้อ, ขายใบแจ้งหนี้, สั่งซื้อขายรายการสต็อก, Timesheet"
Avatar,Avatar
Average Discount,ส่วนลดเฉลี่ย
B+,B +
B-,B-
BILL,BILL
BILLJ,BILLJ
BOM,BOM
BOM Detail No,รายละเอียด BOM ไม่มี
BOM Explosion Item,รายการระเบิด BOM
BOM Item,รายการ BOM
BOM No,BOM ไม่มี
BOM No. for a Finished Good Item,หมายเลข BOM สำหรับรายการที่ดีสำเร็จรูป
BOM Operation,การดำเนินงาน BOM
BOM Operations,การดำเนินงาน BOM
BOM Replace Tool,เครื่องมือแทนที่ BOM
BOM replaced,BOM แทนที่
Background Color,สีพื้นหลัง
