 (Half Day),(Demi-journée)
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.","»Ne peut pas être géré à l&#39;aide de réconciliation Droits. \ Vous pouvez ajouter / supprimer des N ° de série directement, \ à modifier le bilan de cet article."
' in Company: ,»Dans l&#39;entreprise:
'To Case No.' cannot be less than 'From Case No.',«L&#39;affaire no &#39; ne peut pas être inférieure à &#39;De Cas n °&#39;
* Will be calculated in the transaction.,* Sera calculé de la transaction.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","Répartition du budget ** ** vous permet de distribuer votre budget à travers les mois si vous avez la saisonnalité dans votre business.To distribuer un budget en utilisant cette distribution, réglez ce Répartition du budget ** ** ** Coût du Centre **"
**Currency** Master,Monnaie ** ** Maître
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,Exercice ** ** représente un exercice financier. Toutes les écritures comptables et autres opérations importantes sont comparés à l&#39;exercice ** **.
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. Exceptionnelle ne peut pas être inférieur à zéro. \ S&#39;il vous plaît correspondre exactement exceptionnel.
. Please set status of the employee as 'Left',. S&#39;il vous plaît définir le statut de l&#39;employé comme de «gauche»
. You can not mark his attendance as 'Present',. Vous ne pouvez pas marquer sa présence comme «Présent»
"000 is black, fff is white","000 est noir, fff est blanc"
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 Monnaie = [?] FractionFor exemple 1 USD = 100 Cent
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. Pour maintenir le code de référence du client sage et de les rendre consultables en fonction de leur code d&#39;utiliser cette option
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2 days ago,Il ya 2 jours
: Duplicate row from same ,: Double rangée de même
: It is linked to other active BOM(s),: Elle est liée à d&#39;autres actifs BOM (s)
: Mandatory for a Recurring Invoice.,: Obligatoire pour une facture récurrente.
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">Pour gérer les groupes de clients, cliquez ici</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">Gérer les groupes du lot</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">Pour gérer le territoire, cliquez ici</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">Gérer les groupes de clients</a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">Pour gérer le territoire, cliquez ici</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">Gérer les groupes de l&#39;article</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">Territoire</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">Pour gérer le territoire, cliquez ici</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Options de nommage</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>Annuler</b> vous permet de modifier des documents présentés par les annuler et de les modifier.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">Pour la configuration, s&#39;il vous plaît allez dans Réglages&gt; Séries de nommage</span>"
A Customer exists with same name,Une clientèle existe avec le même nom
A Lead with this email id should exist,Un responsable de cette id e-mail doit exister
"A Product or a Service that is bought, sold or kept in stock.","Un produit ou un service qui est acheté, vendu ou conservé en stock."
A Supplier exists with same name,Un Fournisseur existe avec le même nom
A condition for a Shipping Rule,A condition d&#39;une règle de livraison
A logical Warehouse against which stock entries are made.,Un Entrepôt logique contre laquelle les entrées en stocks sont faits.
A new popup will open that will ask you to select further conditions.,Une fenêtre va s&#39;ouvrir qui vous demandera de sélectionner d&#39;autres conditions.
A symbol for this currency. For e.g. $,Un symbole de cette monnaie. Pour exemple $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un tiers distributeur / revendeur / commissionnaire / filiale / distributeur vend les produits de l&#39;entreprise pour une commission.
A user can have multiple values for a property.,Un utilisateur peut avoir plusieurs valeurs pour une propriété.
A+,A +
A-,A-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC Date d&#39;expiration
ATT,ATT
Abbr,Abbr
About,Sur
About Us Settings,À propos de nous Réglages
About Us Team Member,À propos membre de l&#39;équipe-nous
Above Value,Au-dessus de la valeur
Absent,Absent
Acceptance Criteria,Critères d&#39;acceptation
Accepted,Accepté
Accepted Quantity,Quantité acceptés
Accepted Warehouse,Entrepôt acceptés
Account,Compte
Account Balance,Solde du compte
Account Details,Détails du compte
Account Head,Chef du compte
Account Id,Id compte
Account Name,Nom du compte
Account Type,Type de compte
Account for this ,Tenir compte de cette
Accounting,Comptabilité
Accounting Year.,Année de la comptabilité.
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Saisie comptable gelé jusqu&#39;à cette date, personne ne peut faire / modifier entrée sauf rôle spécifié ci-dessous."
Accounting journal entries.,Les écritures comptables.
Accounts,Comptes
Accounts Frozen Upto,Jusqu&#39;à comptes gelés
Accounts Payable,Comptes à payer
Accounts Receivable,Débiteurs
Accounts Settings,Paramètres des comptes
Action,Action
Active,Actif
Active: Will extract emails from ,Actif: va extraire des emails à partir de
Activity,Activité
Activity Log,Journal d&#39;activité
Activity Type,Type d&#39;activité
Actual,Réel
Actual Budget,Budget Réel
Actual Completion Date,Date d&#39;achèvement réelle
Actual Date,Date Réelle
Actual End Date,Date de fin réelle
Actual Invoice Date,Date de la facture réelle
Actual Posting Date,Date réelle d&#39;affichage
Actual Qty,Quantité réelle
Actual Qty (at source/target),Quantité réelle (à la source / cible)
Actual Qty After Transaction,Qté réel Après Transaction
Actual Quantity,Quantité réelle
Actual Start Date,Date de début réelle
Add,Ajouter
Add / Edit Taxes and Charges,Ajouter / Modifier Taxes et frais
Add A New Rule,Ajouter une nouvelle règle
Add A Property,Ajouter une propriété
Add Attachments,Ajouter des pièces jointes
Add Bookmark,Ajouter un signet
Add CSS,Ajouter CSS
Add Column,Ajouter une colonne
Add Comment,Ajouter un commentaire
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Ajouter Google Analytics ID: par ex. UA-89XXX57-1. S&#39;il vous plaît chercher de l&#39;aide sur Google Analytics pour plus d&#39;informations.
Add Message,Ajouter un message
Add New Permission Rule,Ajouter une règle d&#39;autorisation New
Add Reply,Ajouter une réponse
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,Ajouter des termes et conditions de la Demande de Matériel. Vous pouvez aussi préparer une Termes et Conditions maîtriser et à utiliser le modèle
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,Ajouter Modalités et conditions visant le reçu d&#39;achat. Vous pouvez également préparer un cadre et une maîtrise de l&#39;état et utiliser le modèle.
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","Ajouter des termes et conditions de la soumission comme Conditions de paiement, la validité de l&#39;offre, etc Vous pouvez également préparer un cadre et une maîtrise de l&#39;état et utiliser le modèle de"
Add Total Row,Ajouter une ligne totale
Add a banner to the site. (small banners are usually good),Ajouter une bannière sur le site. (Petites bannières sont généralement bien)
Add attachment,Ajouter une pièce jointe
Add code as &lt;script&gt;,Ajoutez le code que &lt;script&gt;
Add new row,Ajouter une nouvelle ligne
Add or Deduct,Ajouter ou déduire
Add rows to set annual budgets on Accounts.,Ajoutez des lignes d&#39;établir des budgets annuels des comptes.
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Ajoutez le nom de <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> Ex: &quot;Sans ouvertes&quot;"
Add to To Do,Ajouter à To Do
Add to To Do List of,Ajouter à To Do List des
Add/Remove Recipients,Ajouter / supprimer des destinataires
Additional Info,Informations additionnelles à
Address,Adresse
Address & Contact,Adresse et coordonnées
Address & Contacts,Adresse &amp; Contacts
Address Desc,Adresse Desc
Address Details,Détails de l&#39;adresse
Address HTML,Adresse HTML
Address Line 1,Adresse ligne 1
Address Line 2,Adresse ligne 2
Address Title,Titre Adresse
Address Type,Type d&#39;adresse
Address and other legal information you may want to put in the footer.,Adresse et autres informations juridiques que vous voulez mettre dans le pied de page.
Address to be displayed on the Contact Page,L&#39;adresse doit être affichée sur la page de contact
Adds a custom field to a DocType,Ajoute un champ personnalisé à un DocType
Adds a custom script (client or server) to a DocType,Ajoute un script personnalisé (client ou serveur) à un DocType
Advance Amount,Montant de l&#39;avance
Advance amount,Montant de l&#39;avance
Advanced Scripting,Scripting avancée
Advanced Settings,Paramètres avancés
Advances,Avances
Advertisement,Publicité
After Sale Installations,Après Installations Vente
Against,Contre
Against Account,Contre compte
Against Docname,Contre docName
Against Doctype,Contre Doctype
Against Document Date,Contre Date du document
Against Document Detail No,Contre Détail document n
Against Document No,Contre le document n °
Against Expense Account,Contre compte de dépenses
Against Income Account,Contre compte le revenu
Against Journal Voucher,Contre Bon Journal
Against Purchase Invoice,Contre facture d&#39;achat
Against Sales Invoice,Contre facture de vente
Against Voucher,Bon contre
Against Voucher Type,Contre Type de Bon
Agent,Agent
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","Groupe global de ** ** Articles dans un autre article **. ** Ceci est utile si vous mettez en place un certains articles ** ** dans un paquet et vous maintenir le stock des articles emballés ** ** et non pas le total ** Article **. Le paquet ** ** Point aura «Est Produit en stock&quot; comme &quot;No&quot; et &quot;Est Point de vente&quot; que &quot;Oui&quot; Par exemple:. Si vous vendez des ordinateurs portables et sacs à dos séparément et un prix spécial si le client achète à la fois , puis l&#39;ordinateur portable Sac à dos + sera une nouvelle nomenclature des ventes Item.Note: BOM = Bill of Materials"
Aging Date,Vieillissement Date
All Addresses.,Toutes les adresses.
All Contact,Tout contact
All Contacts.,Tous les contacts.
All Customer Contact,Tout contact avec la clientèle
All Day,Toute la journée
All Employee (Active),Tous les employés (Actif)
All Lead (Open),Tous plomb (Ouvert)
All Products or Services.,Tous les produits ou services.
All Sales Partner Contact,Tout contact Sales Partner
All Sales Person,Tout Sales Person
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Toutes les opérations de vente peuvent être marqués contre plusieurs personnes ** ** Ventes de sorte que vous pouvez définir et suivre les objectifs.
All Supplier Contact,Toutes Contacter le fournisseur
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.","Toutes les colonnes de compte devraient être après \ colonnes standard et sur la droite. Si vous avez entré correctement, suivant raison probable \ pourrait être mauvais nom de compte. S&#39;il vous plaît corriger dans le fichier et essayez à nouveau."
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Tous les champs d&#39;exportation connexes tels que la monnaie, taux de conversion, le total des exportations, l&#39;exportation, etc totale grands sont disponibles en <br> Remarque livraison, POS, devis, facture de vente, Sales Order etc"
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Tous les champs connexes, comme l&#39;importation de devises, taux de conversion, le total des importations, l&#39;importation, etc totale grands sont disponibles en <br> Reçu d&#39;achat, devis fournisseur, facture d&#39;achat, bon de commande, etc"
All items have already been transferred \				for this Production Order.,Tous les articles ont déjà été transférés \ de cet arrêté la production.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Tous les Etats de flux de travail et les rôles possibles du flux de travail. <br> Options de Docstatus: 0 est &quot;Saved&quot;, 1 signifie «soumis» et 2 est «annulé»"
All posts by,Tous les messages de
Allocate,Allouer
Allocate leaves for the year.,Allouer des feuilles de l&#39;année.
Allocated Amount,Montant alloué
Allocated Budget,Budget alloué
Allocated amount,Montant alloué
Allow Attach,Laissez Fixez
Allow Bill of Materials,Laissez Bill of Materials
Allow Dropbox Access,Autoriser l&#39;accès Dropbox
Allow Editing of Frozen Accounts For,Autoriser la modification de comptes gelés
Allow Google Drive Access,Autoriser Google Drive accès
Allow Import,Autoriser l&#39;importation
Allow Import via Data Import Tool,Autoriser l&#39;importation via l&#39;outil d&#39;importation de données
Allow Negative Balance,Laissez solde négatif
Allow Negative Stock,Laissez Stock Négatif
Allow Production Order,Laissez un ordre de fabrication
Allow Rename,Laissez Renommez
Allow Samples,Permettez-échantillons
Allow User,Permettre à l&#39;utilisateur
Allow Users,Autoriser les utilisateurs
Allow on Submit,Permettez sur Soumettre
Allow the following users to approve Leave Applications for block days.,Autoriser les utilisateurs suivants d&#39;approuver demandes d&#39;autorisation pour les jours de bloc.
Allow user to edit Price List Rate in transactions,Permettre à l&#39;utilisateur d&#39;éditer Prix List Noter dans les transactions
Allow user to login only after this hour (0-24),Permettre à l&#39;utilisateur de se connecter seulement après cette heure (0-24)
Allow user to login only before this hour (0-24),Permettre à l&#39;utilisateur de se connecter seulement avant cette heure (0-24)
Allowance Percent,Pourcentage allocation
Allowed,Permis
Already Registered,Déjà inscrit
Always use Login Id as sender,Toujours Connexion Id comme expéditeur
Amend,Modifier
Amended From,De modifiée
Amount,Montant
Amount (Company Currency),Montant (Société Monnaie)
Amount <=,Montant &lt;=
Amount >=,Montant&gt; =
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Un fichier d&#39;icône avec l&#39;extension. Ico. Doit être de 16 x 16 px. Généré à l&#39;aide d&#39;un générateur de favicon. [ <a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a> ]"
Analytics,Analytique
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,Une autre structure salariale &#39;% s&#39; est actif pour l&#39;employé &#39;% s&#39;. Veuillez faire son statut inactif »pour continuer.
"Any other comments, noteworthy effort that should go in the records.","D&#39;autres commentaires, l&#39;effort remarquable qui devrait aller dans les dossiers."
Applicable Holiday List,Liste de vacances applicable
Applicable To (Designation),Applicable à (désignation)
Applicable To (Employee),Applicable aux (Employé)
Applicable To (Role),Applicable à (Rôle)
Applicable To (User),Applicable aux (Utilisateur)
Applicant Name,Nom du demandeur
Applicant for a Job,Demandeur d&#39;une offre d&#39;emploi
Applicant for a Job.,Candidat à un emploi.
Applications for leave.,Les demandes de congé.
Applies to Company,S&#39;applique à l&#39;entreprise
Apply / Approve Leaves,Appliquer / Approuver les feuilles
Apply Shipping Rule,Appliquer la règle de livraison
Apply Taxes and Charges Master,Appliquer les taxes et charges Maître
Appraisal,Évaluation
Appraisal Goal,Objectif d&#39;évaluation
Appraisal Goals,Objectifs d&#39;évaluation
Appraisal Template,Modèle d&#39;évaluation
Appraisal Template Goal,Objectif modèle d&#39;évaluation
Appraisal Template Title,Titre modèle d&#39;évaluation
Approval Status,Statut d&#39;approbation
Approved,Approuvé
Approver,Approbateur
Approving Role,Approuver rôle
Approving User,Approuver l&#39;utilisateur
Are you sure you want to delete the attachment?,Êtes-vous sûr de vouloir supprimer la pièce jointe?
Arial,Arial
Arrear Amount,Montant échu
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","En guise de meilleure pratique, ne pas attribuer le même ensemble de règle d&#39;autorisation à des rôles différents au lieu fixés rôles multiples de l&#39;utilisateur"
As existing qty for item: ,Comme quantité existante pour objet:
As per Stock UOM,Selon Stock UDM
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'","Comme il ya des transactions sur actions existants à ce point de \, vous ne pouvez pas modifier les valeurs de &#39;possède de série No&#39;, \ &#39;est-Stock Item »et« Méthode d&#39;évaluation »"
Ascending,Ascendant
Assign To,Attribuer à
Assigned By,Affecté par
Assignment,Cession
Assignments,Affectations
Associate a DocType to the Print Format,Associer un DocType au format d&#39;impression
Atleast one warehouse is mandatory,Atleast un entrepôt est obligatoire
Attach,Joindre
Attach Document Print,Fixez Imprimer le document
Attached To DocType,Attaché à DOCTYPE
Attached To Name,Accolé au nom
Attachment,Attachment
Attachments,Pièces jointes
Attempted to Contact,Tenté de contacter
Attendance,Présence
Attendance Date,Date de Participation
Attendance Details,Détails de présence
Attendance From Date,Participation De Date
Attendance To Date,La participation à ce jour
Attendance can not be marked for future dates,La participation ne peut pas être marqué pour les dates à venir
Attendance for the employee: ,La participation de l&#39;employé:
Attendance record.,Record de fréquentation.
Attributions,Attributions
Authorization Control,Contrôle d&#39;autorisation
Authorization Rule,Règle d&#39;autorisation
Auto Email Id,Identification d&#39;email automatique
Auto Inventory Accounting,Auto Inventory Accounting
Auto Inventory Accounting Settings,Paramètres de comptabilisation des stocks de l&#39;automobile
Auto Material Request,Auto Demande de Matériel
Auto Name,Nom Auto
Auto generated,Généré automatiquement
Auto-raise Material Request if quantity goes below re-order level in a warehouse,Auto-raise Demande de Matériel si la quantité va en dessous du niveau de re-commande dans un entrepôt
Automatically updated via Stock Entry of type Manufacture/Repack,Automatiquement mis à jour via l&#39;entrée de fabrication de type Stock / Repack
Autoreply when a new mail is received,Autoreply quand un nouveau message est reçu
Available Qty at Warehouse,Qté disponible à l&#39;entrepôt
Available Stock for Packing Items,Disponible en stock pour l&#39;emballage Articles
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","Disponible dans la nomenclature, bon de livraison, facture d&#39;achat, ordres de fabrication, de commande, de réception, de la facture, commande client, Entrée Stock, feuille de temps"
Avatar,Avatar
Average Discount,D&#39;actualisation moyen
B+,B +
B-,B-
BILL,PROJET DE LOI
BILLJ,BILLJ
BOM,BOM
BOM Detail No,Détail BOM Non
BOM Explosion Item,Article éclatement de la nomenclature
BOM Item,Article BOM
BOM No,Aucune nomenclature
BOM No. for a Finished Good Item,N ° nomenclature pour un produit fini Bonne
BOM Operation,Opération BOM
BOM Operations,Opérations de nomenclature
BOM Replace Tool,Outil Remplacer BOM
BOM replaced,BOM remplacé
Background Color,Couleur de fond
Background Image,Image de fond
Backup Manager,Gestionnaire de sauvegarde
Backup Right Now,Sauvegarde Right Now
Backups will be uploaded to,Les sauvegardes seront téléchargées sur
"Balances of Accounts of type ""Bank or Cash""",Soldes des comptes de type «bancaire ou en espèces&quot;
Bank,Banque
Bank A/C No.,Bank A / C No.
Bank Account,Compte bancaire
Bank Account No.,N ° de compte bancaire
Bank Clearance Summary,Banque Résumé de dégagement
Bank Name,Nom de la banque
Bank Reconciliation,Rapprochement bancaire
Bank Reconciliation Detail,Détail de rapprochement bancaire
Bank Reconciliation Statement,État de rapprochement bancaire
Bank Voucher,Bon Banque
Bank or Cash,Bancaire ou en espèces
Bank/Cash Balance,Banque / Balance trésorerie
Banner,Bannière
Banner HTML,HTML Bannière
Banner Image,Banner Image
Banner is above the Top Menu Bar.,Banner est au-dessus de la barre de menu supérieure.
Barcode,Barcode
Based On,Basé sur
Basic Info,Informations de base
Basic Information,Renseignements de base
Basic Rate,Taux de base
Basic Rate (Company Currency),Taux de base (Société Monnaie)
Batch,Lot
Batch (lot) of an Item.,Batch (lot) d&#39;un élément.
Batch Finished Date,Date de lot fini
Batch ID,ID du lot
Batch No,Aucun lot
Batch Started Date,Date de démarrage du lot
Batch Time Logs for Billing.,Temps de lots des journaux pour la facturation.
Batch Time Logs for billing.,Temps de lots des journaux pour la facturation.
Batch-Wise Balance History,Discontinu Histoire de la balance
Batched for Billing,Par lots pour la facturation
Be the first one to comment,Soyez le premier à commenter
Begin this page with a slideshow of images,Commencez cette page avec un diaporama des images
Better Prospects,De meilleures perspectives
Bill Date,Bill Date
Bill No,Le projet de loi no
Bill of Material to be considered for manufacturing,Bill of Material être considéré pour la fabrication
Bill of Materials,Bill of Materials
Bill of Materials (BOM),Nomenclature (BOM)
Billable,Facturable
Billed,Facturé
Billed Amt,Bec Amt
Billing,Facturation
Billing Address,Adresse de facturation
Billing Address Name,Facturation Nom Adresse
Billing Status,Statut de la facturation
Bills raised by Suppliers.,Factures soulevé par les fournisseurs.
Bills raised to Customers.,Factures aux clients soulevé.
Bin,Boîte
Bio,Bio
Bio will be displayed in blog section etc.,"Bio sera affiché dans la section de blog, etc"
Birth Date,Date de naissance
Blob,Goutte
Block Date,Date de bloquer
Block Days,Bloquer les jours
Block Holidays on important days.,Bloquer les jours fériés importants.
Block leave applications by department.,Bloquer les demandes d&#39;autorisation par le ministère.
Blog Category,Blog Catégorie
Blog Intro,Blog Intro
Blog Introduction,Blog Présentation
Blog Post,Blog
Blog Settings,Blog Paramètres
Blog Subscriber,Abonné Blog
Blog Title,Titre du blog
Blogger,Blogger
Blood Group,Groupe sanguin
Bookmarks,Favoris
Branch,Branche
Brand,Marque
Brand HTML,Marque HTML
Brand Name,Nom de marque
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px","La marque est ce qui apparaît en haut à droite de la barre d&#39;outils. Si c&#39;est une image, assurez-vous que ithas un fond transparent et utilisez la balise &lt;img /&gt;. Conserver la taille 200px x 30px comme"
Brand master.,Marque maître.
Brands,Marques
Breakdown,Panne
Budget,Budget
Budget Allocated,Budget alloué
Budget Control,Contrôle budgétaire
Budget Detail,Détail du budget
Budget Details,Détails du budget
Budget Distribution,Répartition du budget
Budget Distribution Detail,Détail Répartition du budget
Budget Distribution Details,Détails de la répartition du budget
Budget Variance Report,Rapport sur les écarts de budget
Build Modules,Construire des modules
Build Pages,Construire des pages
Build Server API,Construire Server API
Build Sitemap,Construire Plan du site
Bulk Email,Bulk Email
Bulk Email records.,Bulk Email enregistrements.
Bummer! There are more holidays than working days this month.,Déception! Il ya plus de vacances que les jours ouvrables du mois.
Bundle items at time of sale.,Regrouper des envois au moment de la vente.
Button,Bouton
Buyer of Goods and Services.,Lors de votre achat de biens et services.
Buying,Achat
Buying Amount,Montant d&#39;achat
Buying Settings,Réglages d&#39;achat
By,Par
C-FORM/,C-FORM /
C-Form,C-Form
C-Form Applicable,C-Form applicable
C-Form Invoice Detail,C-Form Détail Facture
C-Form No,C-formulaire n °
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
CSS,CSS
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Based On,Calculer en fonction
Calculate Total Score,Calculer Score total
Calendar,Calendrier
Calendar Events,Calendrier des événements
Call,Appeler
Campaign,Campagne
Campaign Name,Nom de la campagne
Can only be exported by users with role 'Report Manager',Ne peuvent être exportés par les utilisateurs avec &quot;Gestionnaire de rapports&quot; rôle
Cancel,Annuler
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,Annuler autorisation permet aussi à l&#39;utilisateur de supprimer un document (si elle n&#39;est pas liée à un autre document).
Cancelled,Annulé
Cannot ,Ne peut pas
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,Impossible d&#39;approuver les congés que vous n&#39;êtes pas autorisé à approuver les congés sur les dates de bloc.
Cannot change from,Impossible de changer de
Cannot continue.,Impossible de continuer.
Cannot have two prices for same Price List,Vous ne pouvez pas avoir deux prix pour même liste de prix
Cannot map because following condition fails: ,Impossible de mapper parce condition suivante échoue:
Capacity,Capacité
Capacity Units,Unités de capacité
Carry Forward,Reporter
Carry Forwarded Leaves,Effectuer Feuilles Transmises
Case No(s) already in use. Please rectify and try again.				Recommended <b>From Case No. = %s</b>,Cas No (s) déjà en cours d&#39;utilisation. S&#39;il vous plaît corriger et essayer à nouveau. Recommandé <b>De Cas n ° =% s</b>
Cash,Espèces
Cash Voucher,Bon trésorerie
Cash/Bank Account,Trésorerie / Compte bancaire
Categorize blog posts.,Catégoriser les messages de blog.
Category,Catégorie
Category Name,Nom de la catégorie
Category of customer as entered in Customer master,Catégorie de client comme entrée en master à la clientèle
Cell Number,Nombre de cellules
Center,Centre
