 (Half Day),（半天）
%(conversion_rate_label)s is mandatory. Maybe Currency Exchange \			record is not created for %(from_currency)s to %(to_currency)s,％（conversion_rate_label）s是強制性的。也許外幣兌換\記錄沒有創建％（from_currency）s到％（to_currency）■
' in Company: ,“在公司名稱：
'To Case No.' cannot be less than 'From Case No.',“要案件編號”不能少於&#39;從案號“
(Total) Net Weight value. Make sure that Net Weight of each item is,（總）淨重值。確保每個項目的淨重是
* Will be calculated in the transaction.,*將被計算在該交易。
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**",**預算分配**可以幫助你發布你的預算橫跨個月，如果你有季節性你business.To使用這種分配分配預算，設置這個**預算分配**的**成本中心**
**Currency** Master,*貨幣**大師
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**財政年度**代表財政年度。所有的會計分錄和其他重大交易進行跟踪打擊**財政年度**。
. Max allowed ,。最大允許的
. Outstanding cannot be less than zero. \			 	Please match exact outstanding.,。傑出不能小於零。 \請精確匹配突出。
. Please set status of the employee as 'Left',。請將僱員的地位，“左”
. You can not mark his attendance as 'Present',。你不能紀念他的出席情況“出席”
"000 is black, fff is white",000是黑色的，FFF是白色的
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1貨幣= [？] FractionFor如1美元= 100美分
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1。為了保持客戶明智的項目代碼，並使其搜索根據自己的代碼中使用這個選項
12px,12px的
13px,13px的
14px,14px的
15px,15px的
16px,16px的
2 days ago,3天前
: Duplicate row from same ,：從相同的重複行
: Mandatory for a Recurring Invoice.,：強制性的經常性發票。
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer Group"">添加/編輯</a>"
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","<a href=""#Sales Browser/Item Group"">添加/編輯</a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory"">添加/編輯</a>"
"<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[?]</a>","<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[？]</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">命名選項</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>取消</b>允許你通過取消他們和修改他們改變提交的文件。
A Customer exists with same name,一位顧客存在具有相同名稱
A Lead with this email id should exist,與此電子郵件id一個鉛應該存在
"A Product or a Service that is bought, sold or kept in stock.",A產品或者是買入，賣出或持有的股票服務。
A Supplier exists with same name,A供應商存在具有相同名稱
A condition for a Shipping Rule,對於送貨規則的條件
A logical Warehouse against which stock entries are made.,一個合乎邏輯的倉庫抵銷股票條目進行。
A new popup will open that will ask you to select further conditions.,一個新的彈出窗口將打開，將要求您選擇其他條件。
A symbol for this currency. For e.g. $,符號的這種貨幣。對於如$
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,第三方分銷商/經銷商/代理商/分支機構/經銷商誰銷售公司產品的佣金。
A user can have multiple values for a property.,一個用戶可以有一個屬性的多個值。
A+,A +
A-,A-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC到期時間
AMC expiry date and maintenance status mismatched,AMC的到期日及維護狀態不匹配
ATT,ATT
Abbr,縮寫
About,關於
About ERPNext,關於ERPNext
About Us Settings,關於我們設置
About Us Team Member,關於我們團隊成員
Above Value,上述值
Absent,缺席
Acceptance Criteria,驗收標準
Accepted,接受
Accepted Quantity,接受數量
Accepted Warehouse,接受倉庫
Account,帳戶
Account Balance,賬戶餘額
Account Details,帳戶明細
Account Head,帳戶頭
Account Id,帳戶ID
Account Name,帳戶名稱
Account Type,賬戶類型
Account expires on,帳戶到期
Account for the warehouse (Perpetual Inventory) will be created under this Account.,賬戶倉庫（永續盤存）將在該帳戶下創建。
Account for this ,佔本
Accounting,會計
Accounting Entries are not allowed against groups.,會計分錄是不允許反對團體。
"Accounting Entries can be made against leaf nodes, called",會計分錄可以對葉節點進行，稱為
Accounting Ledger,總賬會計
Accounting Year.,會計年度。
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",會計分錄凍結截至目前為止，沒有人可以做/修改除以下指定角色條目。
Accounting journal entries.,會計日記帳分錄。
Accounts,賬戶
Accounts Frozen Upto,賬戶被凍結到...為止
Accounts Payable,應付帳款
Accounts Receivable,應收帳款
Accounts Settings,賬戶設置
Action,行動
Actions,操作
Active,活躍
Active: Will extract emails from ,主動：請問從郵件中提取
Activity,活動
Activity Log,活動日誌
Activity Type,活動類型
Actual,實際
Actual Budget,實際預算
Actual Completion Date,實際完成日期
Actual Date,實際日期
Actual End Date,實際結束日期
Actual Invoice Date,實際發票日期
Actual Posting Date,實際發布日期
Actual Qty,實際數量
Actual Qty (at source/target),實際的數量（在源/目標）
Actual Qty After Transaction,實際數量交易後
Actual Qty: Quantity available in the warehouse.,實際的數量：在倉庫可用數量。
Actual Quantity,實際數量
Actual Start Date,實際開始日期
Add,加
Add / Edit Taxes and Charges,添加/編輯稅金及費用
Add A New Rule,添加新的規則
Add A Property,添加屬性
Add Attachments,添加附件
Add Bookmark,添加書籤
Add CSS,添加CSS
Add Child,添加子
Add Column,添加列
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,添加谷歌Analytics（分析）ID：例如。 UA-89XXX57-1。請搜索在谷歌Analytics（分析）幫助以獲取更多信息。
Add Message,發表留言
Add New Permission Rule,添加新的權限規則
Add Reply,添加回复
Add Serial No,添加序列號
Add Taxes,加稅
Add Taxes and Charges,增加稅收和收費
Add Total Row,添加總計行
Add a banner to the site. (small banners are usually good),添加一個橫幅掛在了網站上。 （小橫幅通常是很好的）
Add attachment,添加附件
Add code as &lt;script&gt;,添加代碼為&lt;SCRIPT&gt;
Add new row,添加新行
Add or Deduct,添加或扣除
Add rows to set annual budgets on Accounts.,添加行上的帳戶設置年度預算。
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","新增的名稱<a href=""http://google.com/webfonts"" target=""_blank"">谷歌網頁字體</a>如“打開三世”"
Add to To Do,添加到待辦事項
Add to To Do List of,添加到待辦事項列表
Add to calendar on this date,添加到日曆在此日期
Add/Remove Recipients,添加/刪除收件人
Additional Info,附加信息
Address,地址
Address & Contact,地址及聯繫方式
Address & Contacts,地址及聯繫方式
Address Desc,地址倒序
Address Details,詳細地址
Address HTML,地址HTML
Address Line 1,地址行1
Address Line 2,地址行2
Address Title,地址名稱
Address Type,地址類型
Address and other legal information you may want to put in the footer.,地址和其他法律信息，你可能要放在頁腳。
Address to be displayed on the Contact Page,地址作為聯繫頁面上顯示
Adds a custom field to a DocType,添加一個自定義字段，以一個DOCTYPE
Adds a custom script (client or server) to a DocType,添加一個自定義腳本（客戶端或服務器），以一個DOCTYPE
Advance Amount,提前量
Advance amount,提前量
Advanced Settings,高級設置
Advances,進展
Advertisement,廣告
After Sale Installations,銷售後安裝
Against,針對
Against Account,針對帳戶
Against Docname,可採用DocName反對
Against Doctype,針對文檔類型
Against Document Detail No,對文件詳細說明暫無
Against Document No,對文件無
Against Expense Account,對費用帳戶
Against Income Account,對收入賬戶
Against Journal Voucher,對日記帳憑證
Against Purchase Invoice,對採購發票
Against Sales Invoice,對銷售發票
Against Sales Order,對銷售訂單
Against Voucher,反對券
Against Voucher Type,對憑證類型
Ageing Based On,老齡化基於
Agent,代理人
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials",總組**項目**到另一個**項目**。如果你是捆綁一定的**項目**成一個包，你保持包裝的**項目的股票**，而不是總**項目**這是有用的。包**項目**將有“是庫存項目”為“否”和“是銷售項目”為“是”，例如：如果你是賣筆記本電腦和背包分開，並有一個特殊的價格，如果客戶購買兩個，那麼筆記本電腦+背包將是一個新的銷售BOM Item.Note：物料BOM =比爾
Aging Date,老化時間
All Addresses.,所有地址。
All Contact,所有聯繫
All Contacts.,所有聯繫人。
All Customer Contact,所有的客戶聯繫
All Day,全日
All Employee (Active),所有員工（活動）
All Lead (Open),所有鉛（開放）
All Products or Services.,所有的產品或服務。
All Sales Partner Contact,所有的銷售合作夥伴聯繫
All Sales Person,所有的銷售人員
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,所有銷售交易，可以用來標記針對多個銷售** **的人，這樣你可以設置和監控目標。
All Supplier Contact,所有供應商聯繫
All Supplier Types,所有供應商類型
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",在所有可像貨幣，轉換率，進出口總額，出口總計出口等相關領域<br>送貨單，POS機，報價單，銷售發票，銷售訂單等。
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",在所有可像貨幣，轉換率，總進口，進口總計進口等相關領域<br>外購入庫單，供應商報價單，採購發票，採購訂單等。
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流程狀態和工作流的角色。 <br> Docstatus選項：0是“保存”，1“已提交”和2“取消”
Allocate,分配
Allocate leaves for the year.,分配葉子的一年。
Allocated Amount,分配金額
Allocated Budget,分配預算
Allocated amount,分配量
Allow Attach,允許連接
Allow Bill of Materials,材料讓比爾
Allow Dropbox Access,讓Dropbox的訪問
Allow For Users,允許用戶
Allow Google Drive Access,允許谷歌驅動器訪問
Allow Import,允許進口
Allow Import via Data Import Tool,允許通過數據導入工具導入
Allow Negative Balance,允許負平衡
Allow Negative Stock,允許負庫存
Allow Production Order,讓生產訂單
Allow Rename,允許重新命名
Allow User,允許用戶
Allow Users,允許用戶
Allow on Submit,允許在提交
Allow the following users to approve Leave Applications for block days.,允許以下用戶批准許可申請的區塊天。
Allow user to edit Price List Rate in transactions,允許用戶編輯價目表率的交易
Allow user to login only after this hour (0-24),允許用戶僅這一小時後登陸（0-24）
Allow user to login only before this hour (0-24),允許用戶僅在此之前登錄小時（0-24）
Allowance Percent,津貼百分比
Allowed,寵物
Allowed Role to Edit Entries Before Frozen Date,寵物角色來編輯文章前冷凍日期
Already Registered,已註冊
Always use above Login Id as sender,請務必使用上述登錄ID作為發件人
Amend,修改
Amended From,從修訂
Amount,量
Amount (Company Currency),金額（公司貨幣）
Amount <=,量&lt;=
Amount >=,金額&gt; =
Amount to Bill,帳單數額
"An active Salary Structure already exists. \						If you want to create new one, please ensure that no active \						Salary Structure exists for this Employee. \						Go to the active Salary Structure and set \",一個積極的薪酬結構已經存在。 \如果你想創建新的，請確保沒有主動\薪酬結構存在此員工。 \進入活躍薪酬結構和設置\
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","一個圖標文件，擴展名為。ico。應該是16×16像素。使用的favicon生成器生成。 [ <a href=""http://favicon-generator.org/"" target=""_blank"">網站圖標- generator.org</a> ]"
Analytics,Analytics（分析）
Another Period Closing Entry,另一個期末入口
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,另一種薪酬結構&#39;％s&#39;的活躍員工&#39;％s&#39;的。請其狀態“無效”繼續。
"Any other comments, noteworthy effort that should go in the records.",任何其他意見，值得注意的努力，應該在記錄中。
Applicable Holiday List,適用假期表
Applicable Territory,適用領地
Applicable To (Designation),適用於（指定）
Applicable To (Employee),適用於（員工）
Applicable To (Role),適用於（角色）
Applicable To (User),適用於（用戶）
Applicant Name,申請人名稱
Applicant for a Job,申請人的工作
Applicant for a Job.,申請人的工作。
Applications for leave.,申請許可。
Applies to Company,適用於公司
Apply / Approve Leaves,申請/審批葉
Appraisal,評價
Appraisal Goal,考核目標
Appraisal Goals,考核目標
Appraisal Template,評估模板
Appraisal Template Goal,考核目標模板
Appraisal Template Title,評估模板標題
Approval Status,審批狀態
Approved,批准
Approver,贊同者
Approving Role,審批角色
Approving User,批准用戶
Are you sure you want to STOP ,您確定要停止
Are you sure you want to UNSTOP ,您確定要UNSTOP
Are you sure you want to delete the attachment?,您確定要刪除的附件？
Arial,宋體
Arrear Amount,欠款金額
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",作為最佳實踐，不要在同一組的權限規則分配給不同的角色，而不是設置多個角色的用戶
As existing qty for item: ,至於項目現有數量：
As per Stock UOM,按庫存計量單位
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'",由於有現有的股票交易這個\項目，你不能改變的&#39;有序列號“的價值觀，\&#39;是庫存項目”和“評估方法”
Ascending,升序
Assign To,分配給
Assigned By,通過分配
Assigned To,分配給
Atleast one warehouse is mandatory,ATLEAST一間倉庫是強制性的
Attach Document Print,附加文檔打印
Attach as web link,附加為網站鏈接
Attached To DocType,附著的DocType
Attached To Name,單身者姓名
Attachments,附件
Attendance,護理
Attendance Date,考勤日期
Attendance Details,考勤詳情
Attendance From Date,考勤起始日期
Attendance From Date and Attendance To Date is mandatory,考勤起始日期和出席的日期，是強制性的
Attendance To Date,出席會議日期
Attendance can not be marked for future dates,考勤不能標記為未來的日期
Attendance for the employee: ,出席的員工：
Attendance record.,考勤記錄。
Attributions,歸屬
Authorization Control,授權控制
Authorization Rule,授權規則
Auto Accounting For Stock Settings,汽車佔股票設置
Auto Email Id,自動電子郵件Id
Auto Material Request,汽車材料要求
Auto Name,自動名稱
Auto generated,自動生成
Auto-raise Material Request if quantity goes below re-order level in a warehouse,自動加註材料要求，如果數量低於再訂購水平在一個倉庫
Automatically extract Leads from a mail box e.g.,從一個信箱，例如自動提取信息
Automatically updated via Stock Entry of type Manufacture/Repack,通過股票輸入型製造/重新包裝的自動更新
Autoreply when a new mail is received,在接收到新郵件時自動回复
Available,可用的
Available Qty at Warehouse,有貨數量在倉庫
Available Stock for Packing Items,可用庫存包裝項目
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",可在物料清單，送貨單，採購發票，生產訂單，採購訂單，採購入庫單，銷售發票，銷售訂單，股票入門，時間表
Avatar,阿凡達
Average Age,平均年齡
Average Commission Rate,平均佣金率
Average Discount,平均折扣
B+,B +
B-,B-
BILL,條例草案
BILLJ,BILLJ
BOM,BOM
BOM Detail No,BOM表詳細說明暫無
BOM Explosion Item,BOM爆炸物品
BOM Item,BOM項目
BOM No,BOM無
BOM No. for a Finished Good Item,BOM編號為成品產品
BOM Operation,BOM的操作
BOM Operations,BOM的操作
BOM Replace Tool,BOM替換工具
BOM replaced,BOM取代
Background Color,背景顏色
Background Image,背景圖片
Backup Manager,備份管理器
Backup Right Now,備份即刻
Backups will be uploaded to,備份將被上傳到
Balance Qty,餘額數量
Balance Value,平衡值
"Balances of Accounts of type ""Bank or Cash""",鍵入“銀行或現金”的賬戶餘額
Bank,銀行
Bank A/C No.,銀行A / C號
Bank Account,銀行帳戶
Bank Account No.,銀行賬號
Bank Accounts,銀行賬戶
Bank Clearance Summary,銀行結算摘要
Bank Name,銀行名稱
Bank Reconciliation,銀行對帳
Bank Reconciliation Detail,銀行對帳詳細
Bank Reconciliation Statement,銀行對帳表
Bank Voucher,銀行券
Bank or Cash,銀行或現金
Bank/Cash Balance,銀行/現金結餘
Banner,旗幟
Banner HTML,橫幅的HTML
Banner Image,橫幅圖片
Banner is above the Top Menu Bar.,旗幟就是上面的頂部菜單欄。
Barcode,條碼
Based On,基於
Basic Info,基本信息
Basic Information,基本信息
Basic Rate,基礎速率
Basic Rate (Company Currency),基本速率（公司貨幣）
Batch,批量
Batch (lot) of an Item.,一批該產品的（很多）。
Batch Finished Date,批完成日期
Batch ID,批次ID
Batch No,批號
Batch Started Date,批處理開始日期
Batch Time Logs for Billing.,批處理的時間記錄進行計費。
Batch Time Logs for billing.,批處理的時間記錄進行計費。
Batch-Wise Balance History,間歇式平衡歷史
Batched for Billing,批量計費
"Before proceeding, please create Customer from Lead",在繼續操作之前，請從鉛創建客戶
Begin this page with a slideshow of images,開始這個頁面圖像的幻燈片
Belongs to,屬於
Better Prospects,更好的前景
Bill Date,比爾日期
Bill No,匯票否
Bill of Material to be considered for manufacturing,物料清單被視為製造
Bill of Materials,材料清單
Bill of Materials (BOM),材料清單（BOM）
Billable,計費
Billed,計費
Billed Amount,賬單金額
Billed Amt,已結算額
Billing,計費
Billing Address,帳單地址
Billing Address Name,帳單地址名稱
Billing Status,計費狀態
Bills raised by Suppliers.,由供應商提出的法案。
Bills raised to Customers.,提高對客戶的賬單。
Bin,箱子
Bio,生物
Birth Date,出生日期
Birthday,生日
Block Date,座日期
Block Days,天座
Block Holidays on important days.,塊上重要的日子假期。
Block leave applications by department.,按部門封鎖許可申請。
Blog Category,博客分類
Blog Intro,博客介紹
Blog Introduction,博客簡介
Blog Post,博客公告
Blog Settings,博客設置
Blog Subscriber,博客用戶
Blog Title,博客標題
Blogger,博客
Blood Group,血型
Bookmarks,書籤
Both Income and Expense balances are zero. \				No Need to make Period Closing Entry.,收入和支出結餘為零。 \沒有必要讓時間截止報名。
Both Warehouse must belong to same Company,這兩個倉庫必須屬於同一個公司
Branch,支
Brand,牌
Brand HTML,品牌的HTML
Brand Name,商標名稱
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",品牌是什麼出現在工具欄的右上角。如果它是一個形象，確保它的身體透明背景，並使用&lt;img /&gt;標籤。保持大小為200px x 30像素
Brand master.,品牌大師。
Brands,品牌
Breakdown,擊穿
Budget,預算
Budget Allocated,分配的預算
Budget Detail,預算案詳情
Budget Details,預算案詳情
Budget Distribution,預算分配
Budget Distribution Detail,預算分配明細
Budget Distribution Details,預算分配詳情
Budget Variance Report,預算差異報告
Build Modules,構建模塊
Build Pages,構建頁面
Build Report,建立舉報
Build Server API,建立服務器API
Build Sitemap,建立網站地圖
Bulk Email,大量電子郵件
Bulk Email records.,大量電子郵件記錄。
Bulk Rename,批量重命名
Bummer! There are more holidays than working days this month.,壞消息！還有比這個月工作日更多的假期。
Bundle items at time of sale.,捆綁項目在銷售時。
Button,鈕
Buyer of Goods and Services.,採購貨物和服務。
Buying,求購
Buying Amount,客戶買入金額
Buying Settings,求購設置
By,通過
C-FORM/,C-FORM /
C-Form,C-表
C-Form Applicable,C-表格適用
C-Form Invoice Detail,C-形式發票詳細信息
C-Form No,C-表格編號
C-Form records,C-往績紀錄
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
CSS,CSS
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Based On,計算的基礎上
Calculate Total Score,計算總分
Calendar,日曆
Calendar Events,日曆事件
Call,通話
Campaign,運動
Campaign Name,活動名稱
Can only be exported by users with role 'Report Manager',只能由用戶與角色“報表管理器”導出
Cancel,取消
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,取消許可還允許用戶刪除一個文件（如果它不與任何其他文件）。
Cancelled,註銷
Cancelling this Stock Reconciliation will nullify its effect.,取消這個股票和解將抵消其影響。
Cannot ,不能
Cannot Cancel Opportunity as Quotation Exists,無法取消的機遇，報價存在
Cannot Update: Incorrect / Expired Link.,無法更新：不正確的/過期的鏈接。
Cannot Update: Incorrect Password,無法更新：不正確的密碼
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,因為你無權批准樹葉座日期不能批准休假。
Cannot change Year Start Date and Year End Date \					once the Fiscal Year is saved.,不能改變年開學日期，一旦財政年度保存年度日期\。
Cannot change from,不能改變
Cannot continue.,無法繼續。
"Cannot declare as lost, because Quotation has been made.",不能聲明為丟失，因為報價已經取得進展。
"Cannot delete Serial No in warehouse. \				First remove from warehouse, then delete.",無法刪除序列號的倉庫。 \首先從倉庫中取出，然後將其刪除。
Cannot edit standard fields,不能編輯標準字段
Cannot map because following condition fails: ,無法對應，因為以下條件失敗：
Cannot set as Lost as Sales Order is made.,不能設置為失落的銷售訂單而成。
"Cannot update a non-exiting record, try inserting.",無法更新非退出記錄，請嘗試插入。
Capacity,容量
Capacity Units,容量單位
Carry Forward,發揚
Carry Forwarded Leaves,進行轉發葉
Case No. cannot be 0,案號不能為0
Cash,現金
Cash Voucher,現金券
Cash/Bank Account,現金/銀行賬戶
Category,類別
Category Name,分類名稱
Cell Number,手機號碼
Center,中心
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.",某些文件不應該改變最後一次，像發票為例。對這些文件的最後狀態被稱為<b>提交</b> 。您可以限制哪些角色可以提交。
Change UOM for an Item.,更改為計量單位的商品。
Change the starting / current sequence number of an existing series.,更改現有系列的開始/當前的序列號。
Channel Partner,渠道合作夥伴
Charge,收費
Chargeable,收費
Chart of Accounts,科目表
Chart of Cost Centers,成本中心的圖
Chat,聊天
Check,查
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,查看/取消選中分配給個人的角色。點擊角色，找出哪些權限的角色了。
Check all the items below that you want to send in this digest.,檢查下面要發送此摘要中的所有項目。
Check how the newsletter looks in an email by sending it to your email.,如何檢查的通訊通過其發送到您的郵箱中查找電子郵件。
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",檢查經常性發票，取消，停止經常性或將適當的結束日期
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",檢查是否需要自動週期性發票。提交任何銷售發票後，經常性部分可見。
Check if you want to send salary slip in mail to each employee while submitting salary slip,檢查您要發送工資單郵件給每個員工，同時提交工資單
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,如果要強制用戶在保存之前選擇了一系列檢查。將不會有默認的，如果你檢查這個。
Check this if you want to send emails as this id only (in case of restriction by your email provider).,如果您要發送的郵件，因為這ID只（如果限制您的電子郵件提供商）進行檢查。
Check this if you want to show in website,檢查這一點，如果你想在顯示網頁
Check this to disallow fractions. (for Nos),選中此選項禁止分數。 （對於NOS）
Check this to make this the default letter head in all prints,勾選這個來讓這個默認的信頭中的所有打印
Check this to pull emails from your mailbox,檢查這從你的郵箱的郵件拉
Check to activate,檢查啟動
Check to make Shipping Address,檢查並送貨地址
Check to make primary address,檢查以主地址
Checked,檢查
Cheque,支票
Cheque Date,支票日期
Cheque Number,支票號碼
Child Tables are shown as a Grid in other DocTypes.,子表中顯示為其他文檔類型的Grid。
City,城市
City/Town,市/鎮
Claim Amount,索賠金額
Claims for company expense.,索賠費用由公司負責。
Class / Percentage,類/百分比
Classic,經典
Classification of Customers by region,客戶按地區分類
Clear Cache & Refresh,清除緩存和刷新
Clear Table,明確表
Clearance Date,清拆日期
Click here to buy subscription.,點擊這裡購買訂閱。
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,單擊“製作銷售發票”按鈕來創建一個新的銷售發票。
Click on a link to get options to expand get options ,點擊一個鏈接以獲取股權以擴大獲取選項
Click on button in the 'Condition' column and select the option 'User is the creator of the document',點擊在“條件”列按鈕，並選擇選項“用戶是文件的創建者”
Click on row to edit.,單擊要編輯的行。
Click to Expand / Collapse,點擊展開/折疊
Client,客戶
Close,關閉
Close Balance Sheet and book Profit or Loss.,關閉資產負債表和賬面利潤或虧損。
Closed,關閉
Closing (Cr),關閉（CR）
Closing (Dr),關閉（博士）
Closing Account Head,關閉帳戶頭
Closing Date,截止日期
Closing Fiscal Year,截止會計年度
Closing Qty,期末庫存
Closing Value,收盤值
CoA Help,輔酶幫助
Code,碼
Cold Calling,自薦
Color,顏色
Column Break,分欄符
Comma separated list of email addresses,逗號分隔的電子郵件地址列表
Comment,評論
Comment By,評論人
Comment By Fullname,評論人全名
Comment Date,評論日期
Comment Docname,可採用DocName評論
Comment Doctype,註釋文檔類型
Comment Time,評論時間
Comments,評論
Commission Rate,佣金率
Commission Rate (%),佣金率（％）
Commission partners and targets,委員會的合作夥伴和目標
Commit Log,提交日誌
Communication,通訊
Communication HTML,溝通的HTML
Communication History,通信歷史記錄
Communication Medium,通信介質
Communication log.,通信日誌。
Communications,通訊
Company,公司
Company Abbreviation,公司縮寫
Company Details,公司詳細信息
Company Email,企業郵箱
Company History,公司歷史
Company Info,公司信息
Company Introduction,公司簡介
Company Master.,公司碩士學位。
Company Name,公司名稱
Company Settings,公司設置
Company branches.,公司分支機構。
Company departments.,公司各部門。
