 (Half Day),（半天）
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**财政年度**代表财政年度。所有的会计分录和其他重大交易进行跟踪打击**财政年度**。
. Max allowed ,。最大允许的
. Outstanding cannot be less than zero. \			 	Please match exact outstanding.,。杰出不能小于零。 \请精确匹配突出。
. Please set status of the employee as 'Left',。请将雇员的地位，“左”
. You can not mark his attendance as 'Present',。你不能纪念他的出席情况“出席”
"000 is black, fff is white",000是黑色的，FFF是白色的
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1货币= [？] FractionFor如1美元= 100美分
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1。为了保持客户明智的项目代码，并使其搜索根据自己的代码中使用这个选项
12px,12px的
13px,13px的
14px,14px的
15px,15px的
16px,16px的
2 days ago,3天前
: Duplicate row from same ,：从相同的重复行
: Mandatory for a Recurring Invoice.,：强制性的经常性发票。
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer Group"">添加/编辑</a>"
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","<a href=""#Sales Browser/Item Group"">添加/编辑</a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory"">添加/编辑</a>"
"<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[?]</a>","<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[？]</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">命名选项</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>取消</b>允许你通过取消他们和修改他们改变提交的文件。
A Customer exists with same name,一位顾客存在具有相同名称
A Lead with this email id should exist,与此电子邮件id一个铅应该存在
"A Product or a Service that is bought, sold or kept in stock.",A产品或者是买入，卖出或持有的股票服务。
A Supplier exists with same name,A供应商存在具有相同名称
A condition for a Shipping Rule,对于送货规则的条件
A logical Warehouse against which stock entries are made.,一个合乎逻辑的仓库抵销股票条目进行。
A new popup will open that will ask you to select further conditions.,一个新的弹出窗口将打开，将要求您选择其他条件。
A symbol for this currency. For e.g. $,符号的这种货币。对于如$
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,第三方分销商/经销商/代理商/分支机构/经销商谁销售公司产品的佣金。
A user can have multiple values for a property.,一个用户可以有一个属性的多个值。
A+,A +
A-,A-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC到期时间
AMC expiry date and maintenance status mismatched,AMC的到期日及维护状态不匹配
ATT,ATT
Abbr,缩写
About,关于
About ERPNext,关于ERPNext
About Us Settings,关于我们设置
About Us Team Member,关于我们团队成员
Above Value,上述值
Absent,缺席
Acceptance Criteria,验收标准
Accepted,接受
Accepted Quantity,接受数量
Accepted Warehouse,接受仓库
Account,帐户
Account Balance,账户余额
Account Details,帐户明细
Account Head,帐户头
Account Id,帐户ID
Account Name,帐户名称
Account Type,账户类型
Account expires on,帐户到期
Account for the warehouse (Perpetual Inventory) will be created under this Account.,账户仓库（永续盘存）将在该帐户下创建。
Account for this ,占本
Accounting,会计
Accounting Entries are not allowed against groups.,会计分录是不允许反对团体。
"Accounting Entries can be made against leaf nodes, called",会计分录可以对叶节点进行，称为
Accounting Ledger,总账会计
Accounting Year.,会计年度。
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",会计分录冻结截至目前为止，没有人可以做/修改除以下指定角色条目。
Accounting journal entries.,会计记账分录。
Accounts,账户
Accounts Frozen Upto,账户被冻结到...为止
Accounts Payable,应付帐款
Accounts Receivable,应收帐款
Accounts Settings,账户设置
Action,行动
Actions,操作
Active,活跃
Active: Will extract emails from ,主动：请问从邮件中提取
Activity,活动
Activity Log,活动日志
Activity Type,活动类型
Actual,实际
Actual Budget,实际预算
Actual Completion Date,实际完成日期
Actual Date,实际日期
Actual End Date,实际结束日期
Actual Invoice Date,实际发票日期
Actual Posting Date,实际发布日期
Actual Qty,实际数量
Actual Qty (at source/target),实际的数量（在源/目标）
Actual Qty After Transaction,实际数量交易后
Actual Qty: Quantity available in the warehouse.,实际的数量：在仓库可用数量。
Actual Quantity,实际数量
Actual Start Date,实际开始日期
Add,加
Add / Edit Taxes and Charges,添加/编辑税金及费用
Add A New Rule,添加新的规则
Add A Property,添加属性
Add Attachments,添加附件
Add Bookmark,添加书签
Add CSS,添加CSS
Add Child,添加子
Add Column,添加列
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,添加谷歌Analytics（分析）ID：例如。 UA-89XXX57-1。请搜索在谷歌Analytics（分析）帮助以获取更多信息。
Add Message,发表留言
Add New Permission Rule,添加新的权限规则
Add Reply,添加回复
Add Serial No,添加序列号
Add Taxes,加税
Add Taxes and Charges,增加税收和收费
Add Total Row,添加总计行
Add a banner to the site. (small banners are usually good),添加一个横幅挂在了网站上。 （小横幅通常是很好的）
Add attachment,添加附件
Add code as &lt;script&gt;,添加代码为&lt;SCRIPT&gt;
Add new row,添加新行
Add or Deduct,添加或扣除
Add rows to set annual budgets on Accounts.,添加行上的帐户设置年度预算。
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","新增的名称<a href=""http://google.com/webfonts"" target=""_blank"">谷歌网页字体</a> ，例如“开放三世”"
Add to To Do,添加到待办事项
Add to To Do List of,添加到待办事项列表
Add to calendar on this date,添加到日历在此日期
Add/Remove Recipients,添加/删除收件人
Additional Info,附加信息
Address,地址
Address & Contact,地址及联系方式
Address & Contacts,地址及联系方式
Address Desc,地址倒序
Address Details,详细地址
Address HTML,地址HTML
Address Line 1,地址行1
Address Line 2,地址行2
Address Title,地址名称
Address Type,地址类型
Address and other legal information you may want to put in the footer.,地址和其他法律信息，你可能要放在页脚。
Address to be displayed on the Contact Page,地址作为联系页面上显示
Adds a custom field to a DocType,添加一个自定义字段，以一个DOCTYPE
Adds a custom script (client or server) to a DocType,添加一个自定义脚本（客户端或服务器），以一个DOCTYPE
Advance Amount,提前量
Advance amount,提前量
Advanced Settings,高级设置
Advances,进展
Advertisement,广告
After Sale Installations,销售后安装
Against,针对
Against Account,针对帐户
Against Docname,可采用DocName反对
Against Doctype,针对文档类型
Against Document Detail No,对文件详细说明暂无
Against Document No,对文件无
Against Expense Account,对费用帐户
Against Income Account,对收入账户
Against Journal Voucher,对日记帐凭证
Against Purchase Invoice,对采购发票
Against Sales Invoice,对销售发票
Against Sales Order,对销售订单
Against Voucher,反对券
Against Voucher Type,对凭证类型
Ageing Based On,老龄化基于
Agent,代理人
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials",总组**项目**到另一个**项目**。如果你是捆绑一定的**项目**成一个包，你保持包装的**项目的股票**，而不是总**项目**这是有用的。包**项目**将有“是库存项目”为“否”和“是销售项目”为“是”，例如：如果你是卖笔记本电脑和背包分开，并有一个特殊的价格，如果客户购买两个，那么笔记本电脑+背包将是一个新的销售BOM Item.Note：物料BOM =比尔
Aging Date,老化时间
All Addresses.,所有地址。
All Contact,所有联系
All Contacts.,所有联系人。
All Customer Contact,所有的客户联系
All Day,全日
All Employee (Active),所有员工（活动）
All Lead (Open),所有铅（开放）
All Products or Services.,所有的产品或服务。
All Sales Partner Contact,所有的销售合作伙伴联系
All Sales Person,所有的销售人员
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,所有销售交易，可以用来标记针对多个销售** **的人，这样你可以设置和监控目标。
All Supplier Contact,所有供应商联系
All Supplier Types,所有供应商类型
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",在所有可像货币，转换率，进出口总额，出口总计出口等相关领域<br>送货单，POS机，报价单，销售发票，销售订单等。
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",在所有可像货币，转换率，总进口，进口总计进口等相关领域<br>外购入库单，供应商报价单，采购发票，采购订单等。
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流程状态和工作流的角色。 <br> Docstatus选项：0是“保存”，1“已提交”和2“取消”
Allocate,分配
Allocate leaves for the year.,分配叶子的一年。
Allocated Amount,分配金额
Allocated Budget,分配预算
Allocated amount,分配量
Allow Attach,允许连接
Allow Bill of Materials,材料让比尔
Allow Dropbox Access,让Dropbox的访问
Allow For Users,允许用户
Allow Google Drive Access,允许谷歌驱动器访问
Allow Import,允许进口
Allow Import via Data Import Tool,允许通过数据导入工具导入
Allow Negative Balance,允许负平衡
Allow Negative Stock,允许负库存
Allow Production Order,让生产订单
Allow Rename,允许重新命名
Allow User,允许用户
Allow Users,允许用户
Allow on Submit,允许在提交
Allow the following users to approve Leave Applications for block days.,允许以下用户批准许可申请的区块天。
Allow user to edit Price List Rate in transactions,允许用户编辑价目表率的交易
Allow user to login only after this hour (0-24),允许用户仅这一小时后登陆（0-24）
Allow user to login only before this hour (0-24),允许用户仅在此之前登录小时（0-24）
Allowance Percent,津贴百分比
Allowed,宠物
Allowed Role to Edit Entries Before Frozen Date,宠物角色来编辑文章前冷冻日期
Already Registered,已注册
Always use above Login Id as sender,请务必使用上述登录ID作为发件人
Amend,修改
Amended From,从修订
Amount,量
Amount (Company Currency),金额（公司货币）
Amount <=,量&lt;=
Amount >=,金额&gt; =
Amount to Bill,帐单数额
"An active Salary Structure already exists. \						If you want to create new one, please ensure that no active \						Salary Structure exists for this Employee. \						Go to the active Salary Structure and set \",一个积极的薪酬结构已经存在。 \如果你想创建新的，请确保没有主动\薪酬结构存在此员工。 \进入活跃薪酬结构和设置\
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","一个图标文件，扩展名为。ico。应该是16×16像素。使用的favicon生成器生成。 [ <a href=""http://favicon-generator.org/"" target=""_blank"">网站图标- generator.org</a> ]"
Analytics,Analytics（分析）
Another Period Closing Entry,另一个期末入口
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,另一种薪酬结构&#39;％s&#39;的活跃员工&#39;％s&#39;的。请其状态“无效”继续。
"Any other comments, noteworthy effort that should go in the records.",任何其他意见，值得注意的努力，应该在记录中。
Applicable Holiday List,适用假期表
Applicable Territory,适用领地
Applicable To (Designation),适用于（指定）
Applicable To (Employee),适用于（员工）
Applicable To (Role),适用于（角色）
Applicable To (User),适用于（用户）
Applicant Name,申请人名称
Applicant for a Job,申请人的工作
Applicant for a Job.,申请人的工作。
Applications for leave.,申请许可。
Applies to Company,适用于公司
Apply / Approve Leaves,申请/审批叶
Appraisal,评价
Appraisal Goal,考核目标
Appraisal Goals,考核目标
Appraisal Template,评估模板
Appraisal Template Goal,考核目标模板
Appraisal Template Title,评估模板标题
Approval Status,审批状态
Approved,批准
Approver,赞同者
Approving Role,审批角色
Approving User,批准用户
Are you sure you want to STOP ,您确定要停止
Are you sure you want to UNSTOP ,您确定要UNSTOP
Are you sure you want to delete the attachment?,您确定要删除的附件？
Arial,宋体
Arrear Amount,欠款金额
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",作为最佳实践，不要在同一组的权限规则分配给不同的角色，而不是设置多个角色的用户
As existing qty for item: ,至于项目现有数量：
As per Stock UOM,按库存计量单位
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'",由于有现有的股票交易这个\项目，你不能改变的&#39;有序列号“的价值观，\&#39;是库存项目”和“评估方法”
Ascending,升序
Assign To,分配给
Assigned By,通过分配
Assigned To,分配给
Atleast one warehouse is mandatory,ATLEAST一间仓库是强制性的
Attach Document Print,附加文档打印
Attach as web link,附加为网站链接
Attached To DocType,附着的DocType
Attached To Name,单身者姓名
Attachments,附件
Attendance,护理
Attendance Date,考勤日期
Attendance Details,考勤详情
Attendance From Date,考勤起始日期
Attendance From Date and Attendance To Date is mandatory,考勤起始日期和出席的日期，是强制性的
Attendance To Date,出席会议日期
Attendance can not be marked for future dates,考勤不能标记为未来的日期
Attendance for the employee: ,出席的员工：
Attendance record.,考勤记录。
Attributions,归属
Authorization Control,授权控制
Authorization Rule,授权规则
Auto Accounting For Stock Settings,汽车占股票设置
Auto Email Id,自动电子邮件Id
Auto Material Request,汽车材料要求
Auto Name,自动名称
Auto generated,自动生成
Auto-raise Material Request if quantity goes below re-order level in a warehouse,自动加注材料要求，如果数量低于再订购水平在一个仓库
Automatically extract Leads from a mail box e.g.,从一个信箱，例如自动提取信息
Automatically updated via Stock Entry of type Manufacture/Repack,通过股票输入型制造/重新包装的自动更新
Autoreply when a new mail is received,在接收到新邮件时自动回复
Available,可用的
Available Qty at Warehouse,有货数量在仓库
Available Stock for Packing Items,可用库存包装项目
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",可在物料清单，送货单，采购发票，生产订单，采购订单，采购入库单，销售发票，销售订单，股票入门，时间表
Avatar,阿凡达
Average Age,平均年龄
Average Commission Rate,平均佣金率
Average Discount,平均折扣
B+,B +
B-,B-
BILL,条例草案
BILLJ,BILLJ
BOM,BOM
BOM Detail No,BOM表详细说明暂无
BOM Explosion Item,BOM爆炸物品
BOM Item,BOM项目
BOM No,BOM无
BOM No. for a Finished Good Item,BOM编号为成品产品
BOM Operation,BOM的操作
BOM Operations,BOM的操作
BOM Replace Tool,BOM替换工具
BOM replaced,BOM取代
Background Color,背景颜色
Background Image,背景图片
Backup Manager,备份管理器
Backup Right Now,备份即刻
Backups will be uploaded to,备份将被上传到
Balance Qty,余额数量
Balance Value,平衡值
"Balances of Accounts of type ""Bank or Cash""",键入“银行或现金”的账户余额
Bank,银行
Bank A/C No.,银行A / C号
Bank Account,银行帐户
Bank Account No.,银行账号
Bank Accounts,银行账户
Bank Clearance Summary,银行结算摘要
Bank Name,银行名称
Bank Reconciliation,银行对帐
Bank Reconciliation Detail,银行对帐详细
Bank Reconciliation Statement,银行对帐表
Bank Voucher,银行券
Bank or Cash,银行或现金
Bank/Cash Balance,银行/现金结余
Banner,旗帜
Banner HTML,横幅的HTML
Banner Image,横幅图片
Banner is above the Top Menu Bar.,旗帜就是上面的顶部菜单栏。
Barcode,条码
Based On,基于
Basic Info,基本信息
Basic Information,基本信息
Basic Rate,基础速率
Basic Rate (Company Currency),基本速率（公司货币）
Batch,批量
Batch (lot) of an Item.,一批该产品的（很多）。
Batch Finished Date,批完成日期
Batch ID,批次ID
Batch No,批号
Batch Started Date,批处理开始日期
Batch Time Logs for Billing.,批处理的时间记录进行计费。
Batch Time Logs for billing.,批处理的时间记录进行计费。
Batch-Wise Balance History,间歇式平衡历史
Batched for Billing,批量计费
"Before proceeding, please create Customer from Lead",在继续操作之前，请从铅创建客户
Begin this page with a slideshow of images,开始这个页面图像的幻灯片
Belongs to,属于
Better Prospects,更好的前景
Bill Date,比尔日期
Bill No,汇票否
Bill of Material to be considered for manufacturing,物料清单被视为制造
Bill of Materials,材料清单
Bill of Materials (BOM),材料清单（BOM）
Billable,计费
Billed,计费
Billed Amount,账单金额
Billed Amt,已结算额
Billing,计费
Billing Address,帐单地址
Billing Address Name,帐单地址名称
Billing Status,计费状态
Bills raised by Suppliers.,由供应商提出的法案。
Bills raised to Customers.,提高对客户的账单。
Bin,箱子
Bio,生物
Birth Date,出生日期
Birthday,生日
Block Date,座日期
Block Days,天座
Block Holidays on important days.,块上重要的日子假期。
Block leave applications by department.,按部门封锁许可申请。
Blog Category,博客分类
Blog Intro,博客介绍
Blog Introduction,博客简介
Blog Post,博客公告
Blog Settings,博客设置
Blog Subscriber,博客用户
Blog Title,博客标题
Blogger,博客
Blood Group,血型
Bookmarks,书签
Both Income and Expense balances are zero. \				No Need to make Period Closing Entry.,收入和支出结余为零。 \没有必要让时间截止报名。
Both Warehouse must belong to same Company,这两个仓库必须属于同一个公司
Branch,支
Brand,牌
Brand HTML,品牌的HTML
Brand Name,商标名称
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",品牌是什么出现在工具栏的右上角。如果它是一个形象，确保它的身体透明背景，并使用&lt;img /&gt;标签。保持大小为200px x 30像素
Brand master.,品牌大师。
Brands,品牌
Breakdown,击穿
Budget,预算
Budget Allocated,分配的预算
Budget Detail,预算案详情
Budget Details,预算案详情
Budget Distribution,预算分配
Budget Distribution Detail,预算分配明细
Budget Distribution Details,预算分配详情
Budget Variance Report,预算差异报告
Build Modules,构建模块
Build Pages,构建页面
Build Report,建立举报
Build Server API,建立服务器API
Build Sitemap,建立网站地图
Bulk Email,大量电子邮件
Bulk Email records.,大量电子邮件记录。
Bulk Rename,批量重命名
Bummer! There are more holidays than working days this month.,坏消息！还有比这个月工作日更多的假期。
Bundle items at time of sale.,捆绑项目在销售时。
Button,钮
Buyer of Goods and Services.,采购货物和服务。
Buying,求购
Buying Amount,客户买入金额
Buying Settings,求购设置
By,通过
C-FORM/,C-FORM /
C-Form,C-表
C-Form Applicable,C-表格适用
C-Form Invoice Detail,C-形式发票详细信息
C-Form No,C-表格编号
C-Form records,C-往绩纪录
CI/2010-2011/,CI/2010-2011 /
COMM-,COMM-
CSS,CSS
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Based On,计算的基础上
Calculate Total Score,计算总分
Calendar,日历
Calendar Events,日历事件
Call,通话
Campaign,运动
Campaign Name,活动名称
Can only be exported by users with role 'Report Manager',只能由用户与角色“报表管理器”导出
Cancel,取消
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,取消许可还允许用户删除一个文件（如果它不与任何其他文件）。
Cancelled,注销
Cancelling this Stock Reconciliation will nullify its effect.,取消这个股票和解将抵消其影响。
Cannot ,不能
Cannot Cancel Opportunity as Quotation Exists,无法取消的机遇，报价存在
Cannot Update: Incorrect / Expired Link.,无法更新：不正确的/过期的链接。
Cannot Update: Incorrect Password,无法更新：不正确的密码
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,因为你无权批准树叶座日期不能批准休假。
Cannot change Year Start Date and Year End Date \					once the Fiscal Year is saved.,不能改变年开学日期，一旦财政年度保存年度日期\。
Cannot change from,不能改变
Cannot continue.,无法继续。
"Cannot declare as lost, because Quotation has been made.",不能声明为丢失，因为报价已经取得进展。
"Cannot delete Serial No in warehouse. \				First remove from warehouse, then delete.",无法删除序列号的仓库。 \首先从仓库中取出，然后将其删除。
Cannot edit standard fields,不能编辑标准字段
Cannot map because following condition fails: ,无法对应，因为以下条件失败：
Cannot set as Lost as Sales Order is made.,不能设置为失落的销售订单而成。
"Cannot update a non-exiting record, try inserting.",无法更新非退出记录，请尝试插入。
Capacity,容量
Capacity Units,容量单位
Carry Forward,发扬
Carry Forwarded Leaves,进行转发叶
Case No. cannot be 0,案号不能为0
Cash,现金
Cash Voucher,现金券
Cash/Bank Account,现金/银行账户
Category,类别
Category Name,分类名称
Cell Number,手机号码
Center,中心
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.",某些文件不应该改变最后一次，像发票为例。对这些文件的最后状态被称为<b>提交</b> 。您可以限制哪些角色可以提交。
Change UOM for an Item.,更改为计量单位的商品。
Change the starting / current sequence number of an existing series.,更改现有系列的开始/当前的序列号。
Channel Partner,渠道合作伙伴
Charge,收费
Chargeable,收费
Chart of Accounts,科目表
Chart of Cost Centers,成本中心的图
Chat,聊天
Check,查
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,查看/取消选中分配给个人的角色。点击角色，找出哪些权限的角色了。
Check all the items below that you want to send in this digest.,检查下面要发送此摘要中的所有项目。
Check how the newsletter looks in an email by sending it to your email.,如何检查的通讯通过其发送到您的邮箱中查找电子邮件。
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",检查经常性发票，取消，停止经常性或将适当的结束日期
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",检查是否需要自动周期性发票。提交任何销售发票后，经常性部分可见。
Check if you want to send salary slip in mail to each employee while submitting salary slip,检查您要发送工资单邮件给每个员工，同时提交工资单
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,如果要强制用户在保存之前选择了一系列检查。将不会有默认的，如果你检查这个。
Check this if you want to send emails as this id only (in case of restriction by your email provider).,如果您要发送的邮件，因为这ID只（如果限制您的电子邮件提供商）进行检查。
Check this if you want to show in website,检查这一点，如果你想在显示网页
Check this to disallow fractions. (for Nos),选中此选项禁止分数。 （对于NOS）
Check this to make this the default letter head in all prints,勾选这个来让这个默认的信头中的所有打印
Check this to pull emails from your mailbox,检查这从你的邮箱的邮件拉
Check to activate,检查启动
Check to make Shipping Address,检查并送货地址
Check to make primary address,检查以主地址
Checked,检查
Cheque,支票
Cheque Date,支票日期
Cheque Number,支票号码
Child Tables are shown as a Grid in other DocTypes.,子表中显示为其他文档类型的Grid。
City,城市
City/Town,市/镇
Claim Amount,索赔金额
Claims for company expense.,索赔费用由公司负责。
Class / Percentage,类/百分比
Classic,经典
Classification of Customers by region,客户按地区分类
Clear Cache & Refresh,清除缓存和刷新
Clear Table,明确表
Clearance Date,清拆日期
Click here to buy subscription.,点击这里购买订阅。
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,单击“制作销售发票”按钮来创建一个新的销售发票。
Click on a link to get options to expand get options ,点击一个链接以获取股权以扩大获取选项
Click on button in the 'Condition' column and select the option 'User is the creator of the document',点击在“条件”列按钮，并选择选项“用户是文件的创建者”
Click on row to edit.,单击要编辑的行。
Click to Expand / Collapse,点击展开/折叠
Client,客户
Close,关闭
Close Balance Sheet and book Profit or Loss.,关闭资产负债表和账面利润或亏损。
Closed,关闭
Closing (Cr),关闭（CR）
Closing (Dr),关闭（博士）
Closing Account Head,关闭帐户头
Closing Date,截止日期
Closing Fiscal Year,截止会计年度
Closing Qty,期末库存
Closing Value,收盘值
CoA Help,辅酶帮助
Code,码
Cold Calling,自荐
Color,颜色
Column Break,分栏符
Comma separated list of email addresses,逗号分隔的电子邮件地址列表
Comment,评论
Comment By,评论人
Comment By Fullname,评论人全名
Comment Date,评论日期
Comment Docname,可采用DocName评论
Comment Doctype,注释文档类型
Comment Time,评论时间
Comments,评论
Commission Rate,佣金率
Commission Rate (%),佣金率（％）
Commission partners and targets,委员会的合作伙伴和目标
Commit Log,提交日志
Communication,通讯
Communication HTML,沟通的HTML
Communication History,通信历史记录
Communication Medium,通信介质
Communication log.,通信日志。
Communications,通讯
Company,公司
Company Abbreviation,公司缩写
Company Details,公司详细信息
Company Email,企业邮箱
Company History,公司历史
Company Info,公司信息
Company Introduction,公司简介
Company Master.,公司硕士学位。
Company Name,公司名称
Company Settings,公司设置
Company branches.,公司分支机构。
Company departments.,公司各部门。
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,公司注册号码，供大家参考。例如：增值税注册号码等
Company registration numbers for your reference. Tax numbers etc.,公司注册号码，供大家参考。税务号码等
Complaint,抱怨
Complete,完整
Complete By,完成
Completed,已完成
Completed Production Orders,完成生产订单
Completed Qty,完成数量
Completion Date,完成日期
Completion Status,完成状态
Condition Field,条件字段
Confirmation Date,确认日期
Confirmed orders from Customers.,确认订单的客户。
Consider Tax or Charge for,考虑税收或收费
Considered as Opening Balance,视为期初余额
Considered as an Opening Balance,视为期初余额
Consultant,顾问
Consumable Cost,耗材成本
Consumable cost per hour,每小时可消耗成本
Consumed Qty,消耗的数量
Contact,联系
Contact Control,接触控制
Contact Desc,联系倒序
Contact Details,联系方式
Contact Email,联络电邮
Contact HTML,联系HTML
Contact Info,联系方式
Contact Mobile No,联系手机号码
Contact Name,联系人姓名
Contact No.,联络电话
Contact Person,联系人
