 (Half Day),(आधे दिन)
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">ग्राहक समूहों को प्रबंधित करने के लिए, यहाँ क्लिक करें</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">आइटम समूह का प्रबंधन</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">क्षेत्र का प्रबंधन करने के लिए, यहाँ क्लिक करें</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">ग्राहक समूह का प्रबंधन</a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">क्षेत्र का प्रबंधन करने के लिए, यहाँ क्लिक करें</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">आइटम समूह का प्रबंधन</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">क्षेत्र</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">क्षेत्र का प्रबंधन करने के लिए, यहाँ क्लिक करें</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">नामकरण विकल्प</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>रद्द</b> आप उन्हें रद्द करने और उन्हें में संशोधन प्रस्तुत दस्तावेजों को बदलने की अनुमति देता है.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">सेटअप करने के लिए, जाने के लिए कृपया सेटअप&gt; नामकरण सीरीज</span>"
A Customer exists with same name,एक ग्राहक एक ही नाम के साथ मौजूद है
A Lead with this email id should exist,इस ईमेल आईडी के साथ एक लीड मौजूद होना चाहिए
"A Product or a Service that is bought, sold or kept in stock.","एक उत्पाद या सेवा है कि खरीदा है, बेचा या स्टॉक में रखा."
A Supplier exists with same name,एक सप्लायर के एक ही नाम के साथ मौजूद है
A condition for a Shipping Rule,एक नौवहन नियम के लिए एक शर्त
A logical Warehouse against which stock entries are made.,एक तार्किक वेयरहाउस के खिलाफ जो शेयर प्रविष्टियों बना रहे हैं.
A new popup will open that will ask you to select further conditions.,एक नया पॉपअप खुल जाएगा कि आप से पूछना आगे शर्तों का चयन करेंगे.
A symbol for this currency. For e.g. $,इस मुद्रा के लिए एक प्रतीक है. उदाहरण के लिए $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,एक तीसरे पक्ष के वितरक / डीलर / कमीशन एजेंट / सहबद्ध / पुनर्विक्रेता जो एक आयोग के लिए कंपनियों के उत्पादों को बेचता है.
A user can have multiple values for a property.,एक उपयोगकर्ता एक संपत्ति के लिए एकाधिक मान हो सकते हैं.
A+,A +
A-,A-
AB+,AB +
AB-,अटल बिहारी
AMC Expiry Date,एएमसी समाप्ति तिथि
ATT,ATT
Abbr,Abbr
About,के बारे में
About Us Settings,हमारे बारे में सेटिंग्स
About Us Team Member,हमारे दल के सदस्य के बारे में
Above Value,मूल्य से ऊपर
Absent,अनुपस्थित
Acceptance Criteria,स्वीकृति मानदंड
Accepted,स्वीकार किया
Accepted Quantity,स्वीकार किए जाते हैं मात्रा
Accepted Warehouse,स्वीकार किए जाते हैं वेअरहाउस
Account,खाता
Account Balance,खाता शेष
Account Details,खाता विवरण
Account Head,लेखाशीर्ष
Account Id,खाता आईडी
Account Name,खाते का नाम
Account Type,खाता प्रकार
Account for this ,इस के लिए खाता
Accounting,लेखांकन
Accounting Year.,लेखा वर्ष.
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","इस तारीख तक कर जम लेखा प्रविष्टि, कोई नहीं / नीचे निर्दिष्ट भूमिका छोड़कर प्रविष्टि को संशोधित कर सकते हैं."
Accounting journal entries.,लेखा पत्रिका प्रविष्टियों.
Accounts,लेखा
Accounts Frozen Upto,लेखा तक जमे हुए
Accounts Payable,लेखा देय
Accounts Receivable,लेखा प्राप्य
Accounts Settings,लेखा सेटिंग्स
Action,कार्रवाई
Active,सक्रिय
Active: Will extract emails from ,सक्रिय: से ईमेल निकालने विल
Activity,सक्रियता
Activity Log,गतिविधि लॉग
Activity Type,गतिविधि प्रकार
Actual,वास्तविक
Actual Budget,वास्तविक बजट
Actual Completion Date,वास्तविक पूरा करने की तिथि
Actual Date,वास्तविक तारीख
Actual End Date,वास्तविक समाप्ति तिथि
Actual Invoice Date,वास्तविक चालान तिथि
Actual Posting Date,वास्तविक पोस्टिंग तिथि
Actual Qty,वास्तविक मात्रा
Actual Qty (at source/target),वास्तविक मात्रा (स्रोत / लक्ष्य पर)
Actual Qty After Transaction,लेन - देन के बाद वास्तविक मात्रा
Actual Quantity,वास्तविक मात्रा
Actual Start Date,वास्तविक प्रारंभ दिनांक
Add,जोड़ना
Add / Edit Taxes and Charges,कर और प्रभार जोड़ें / संपादित करें
Add A New Rule,एक नया नियम जोड़ें
Add A Property,एक संपत्ति जोड़ें
Add Attachments,अनुलग्नकों को जोड़
Add Bookmark,बुकमार्क जोड़ें
Add CSS,सीएसएस जोड़ें
Add Column,कॉलम जोड़ें
Add Comment,टिप्पणी जोड़ें
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,उदाहरण के लिए: गूगल एनालिटिक्स आईडी जोड़ें. यूए-89XXX57-1. अधिक जानकारी के लिए गूगल एनालिटिक्स पर मदद की खोज करें.
Add Message,संदेश जोड़ें
Add New Permission Rule,नई अनुमति नियम जोड़ें
Add Reply,प्रत्युत्तर जोड़ें
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,सामग्री अनुरोध के लिए नियम और शर्तों को जोड़ें. तुम भी एक नियम और शर्तें मास्टर को तैयार करने और टेम्पलेट का उपयोग कर सकते हैं
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,खरीद रसीद के लिए नियम और शर्तों को जोड़ें. तुम भी एक नियम और शर्तें मास्टर को तैयार कर सकते हैं और टेम्पलेट का उपयोग करें.
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","कोटेशन के लिए नियम और शर्तों को जोड़ें प्रस्ताव आदि के भुगतान, नियम की वैधता की तरह आप भी एक नियम और शर्तें मास्टर तैयार कर सकते हैं और टेम्पलेट का उपयोग करें"
Add Total Row,कुल पंक्ति जोड़ें
Add a banner to the site. (small banners are usually good),साइट के लिए एक बैनर जोड़ें. (छोटे बैनर आमतौर पर अच्छा कर रहे हैं)
Add attachment,लगाव जोड़ें
Add code as &lt;script&gt;,&lt;script&gt; कोड के रूप में जोड़ें
Add new row,नई पंक्ति जोड़ें
Add or Deduct,जोड़ें या घटा
Add rows to set annual budgets on Accounts.,पंक्तियाँ जोड़ें लेखा पर वार्षिक बजट निर्धारित.
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","के नाम जोड़ें <a href=""http://google.com/webfonts"" target=""_blank"">Google वेब फ़ॉन्ट</a> उदाहरण के लिए &quot;ओपन सेन्स&quot;"
Add to To Do,जोड़ें करने के लिए क्या
Add to To Do List of,को जोड़ने के लिए की सूची
Add/Remove Recipients,प्राप्तकर्ता जोड़ें / निकालें
Additional Info,अतिरिक्त जानकारी
Address,पता
Address & Contact,पता और संपर्क
Address & Contacts,पता और संपर्क
Address Desc,जानकारी पता करने के लिए
Address Details,पते की जानकारी
Address HTML,HTML पता करने के लिए
Address Line 1,पता पंक्ति 1
Address Line 2,पता पंक्ति 2
Address Title,पता शीर्षक
Address Type,पता प्रकार
Address and other legal information you may want to put in the footer.,पता और अन्य कानूनी जानकारी आप पाद लेख में डाल सकते हैं.
Address to be displayed on the Contact Page,पता संपर्क पृष्ठ पर प्रदर्शित किया
Adds a custom field to a DocType,एक DOCTYPE एक कस्टम फ़ील्ड जोड़ता है
Adds a custom script (client or server) to a DocType,एक DOCTYPE के लिए एक कस्टम स्क्रिप्ट (क्लाइंट या सर्वर) जोड़ता है
Advance Amount,अग्रिम राशि
Advance amount,अग्रिम राशि
Advanced Scripting,उन्नत स्क्रीप्टिंग
Advanced Settings,उन्नत सेटिंग्स
Advances,अग्रिम
Advertisement,विज्ञापन
After Sale Installations,बिक्री के प्रतिष्ठान के बाद
Against,के खिलाफ
Against Account,खाते के खिलाफ
Against Docname,Docname खिलाफ
Against Doctype,Doctype के खिलाफ
Against Document Date,दस्तावेज़ तारीख के खिलाफ
Against Document Detail No,दस्तावेज़ विस्तार नहीं के खिलाफ
Against Document No,दस्तावेज़ के खिलाफ कोई
Against Expense Account,व्यय खाते के खिलाफ
Against Income Account,आय खाता के खिलाफ
Against Journal Voucher,जर्नल वाउचर के खिलाफ
Against Purchase Invoice,खरीद चालान के खिलाफ
Against Sales Invoice,बिक्री चालान के खिलाफ
Against Voucher,वाउचर के खिलाफ
Against Voucher Type,वाउचर प्रकार के खिलाफ
Agent,एजेंट
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","** आइटम के सकल समूह में एक और आइटम ** **. यह उपयोगी है अगर आप एक पैकेज में ** कुछ ** आइटम bundling हैं और आप पैक ** और नहीं कुल ** आइटम ** ** आइटम के स्टॉक को बनाए रखने. पैकेज ** आइटम ** है &quot;स्टॉक आइटम है&quot; &quot;नहीं&quot; के रूप में और के रूप में &quot;हाँ&quot; &quot;बिक्री आइटम है,&quot; उदाहरण के लिए: यदि आप लैपटॉप और Backpacks बेच रहे हैं और अलग से एक विशेष मूल्य है अगर ग्राहक दोनों खरीदता BOM = विधेयक की सामग्री:, तो एक नया लैपटॉप + बैग बिक्री बीओएम Item.Note होगा"
Aging Date,तिथि एजिंग
All Addresses.,सभी पते.
All Contact,सभी संपर्क
All Contacts.,सभी संपर्क.
All Customer Contact,सभी ग्राहक संपर्क
All Day,सभी दिन
All Employee (Active),सभी कर्मचारी (सक्रिय)
All Lead (Open),सभी लीड (ओपन)
All Products or Services.,सभी उत्पादों या सेवाओं.
All Sales Partner Contact,सभी बिक्री साथी संपर्क
All Sales Person,सभी बिक्री व्यक्ति
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,सभी बिक्री लेनदेन कई ** बिक्री व्यक्तियों ** इतनी है कि आप सेट और लक्ष्यों की निगरानी कर सकते हैं के खिलाफ चिह्नित किया जा सकता है.
All Supplier Contact,सभी आपूर्तिकर्ता संपर्क
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.","सभी खाते कॉलम \ मानक कॉलम के बाद और सही पर होना चाहिए. आप इसे ठीक से प्रवेश किया, तो अगले संभावित कारण \ गलत खाते का नाम हो सकता है. फाइल में इसे सुधारने और पुन: प्रयास करें."
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","मुद्रा, रूपांतरण दर, निर्यात कुल निर्यात महायोग आदि की तरह सभी के निर्यात से संबंधित क्षेत्रों में उपलब्ध हैं <br> डिलिवरी नोट, स्थिति, कोटेशन, बिक्री चालान, विक्रय आदेश आदि"
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","मुद्रा, रूपांतरण दर, आयात कुल आयात भव्य कुल आदि की तरह सभी के आयात से संबंधित क्षेत्रों में उपलब्ध हैं <br> खरीद रसीद, प्रदायक कोटेशन, खरीद चालान, आदेश आदि खरीद"
All items have already been transferred \				for this Production Order.,सभी आइटम पहले से ही इस आदेश के लिए उत्पादन किया गया है \ स्थानांतरित कर दिया.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","सभी संभव कार्यप्रवाह राज्यों और कार्यप्रवाह की भूमिका. <br> Docstatus विकल्प: 0 &quot;बच&quot;, 1 &quot;प्रस्तुत&quot; है और 2 &quot;रद्द&quot;"
All posts by,द्वारा सभी पदों
Allocate,आवंटित
Allocate leaves for the year.,वर्ष के लिए पत्तियों आवंटित.
Allocated Amount,आवंटित राशि
Allocated Budget,आवंटित बजट
Allocated amount,आवंटित राशि
Allow Attach,अनुमति देते
Allow Bill of Materials,सामग्री के बिल की अनुमति दें
Allow Dropbox Access,ड्रॉपबॉक्स पहुँच की अनुमति
Allow Editing of Frozen Accounts For,के लिए जमे हुए खातों के संपादन की अनुमति दें
Allow Google Drive Access,गूगल ड्राइव पहुँच की अनुमति
Allow Import,आयात की अनुमति दें
Allow Import via Data Import Tool,डेटा आयात उपकरण के माध्यम से आयात करने की अनुमति दें
Allow Negative Balance,ऋणात्मक शेष की अनुमति दें
Allow Negative Stock,नकारात्मक स्टॉक की अनुमति दें
Allow Production Order,उत्पादन का आदेश दें
Allow Rename,नाम बदलें की अनुमति दें
Allow Samples,नमूने की अनुमति दें
Allow User,उपयोगकर्ता की अनुमति
Allow Users,उपयोगकर्ताओं को अनुमति दें
Allow on Submit,भेजें पर अनुमति दें
Allow the following users to approve Leave Applications for block days.,निम्नलिखित उपयोगकर्ता ब्लॉक दिनों के लिए छोड़ एप्लीकेशन को स्वीकृत करने की अनुमति दें.
Allow user to edit Price List Rate in transactions,उपयोगकर्ता लेनदेन में मूल्य सूची दर को संपादित करने की अनुमति दें
Allow user to login only after this hour (0-24),उपयोगकर्ता इस घंटे के बाद ही प्रवेश करने की अनुमति दें (0-24)
Allow user to login only before this hour (0-24),उपयोगकर्ता इस घंटे से पहले ही प्रवेश करने की अनुमति दें (0-24)
Allowance Percent,भत्ता प्रतिशत
Allowed,रख सकते है
Already Registered,पहले से पंजीकृत है
Always use Login Id as sender,हमेशा प्रेषक के रूप में लॉग इन आईडी का उपयोग
Amend,संशोधन करना
Amended From,से संशोधित
Amount,राशि
Amount (Company Currency),राशि (कंपनी मुद्रा)
Amount <=,राशि &lt;=
Amount >=,राशि&gt; =
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Ico विस्तार के साथ एक आइकन फ़ाइल. 16 x 16 पिक्सल होना चाहिए. एक favicon जनरेटर का उपयोग करते हुए उत्पन्न. [ <a href=""http://favicon-generator.org/"" target=""_blank"">favicon generator.org</a> ]"
Analytics,विश्लेषिकी
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,एक और वेतन संरचना में &#39;% s&#39; कर्मचारी &#39;% s&#39; के लिए सक्रिय है. अपनी स्थिति को &#39;निष्क्रिय&#39; आगे बढ़ने के लिए करें.
"Any other comments, noteworthy effort that should go in the records.","किसी भी अन्य टिप्पणी, उल्लेखनीय प्रयास है कि रिकॉर्ड में जाना चाहिए."
Applicable Holiday List,लागू अवकाश सूची
Applicable To (Designation),के लिए लागू (पद)
Applicable To (Employee),के लिए लागू (कर्मचारी)
Applicable To (Role),के लिए लागू (रोल)
Applicable To (User),के लिए लागू (उपयोगकर्ता)
Applicant Name,आवेदक के नाम
Applicant for a Job,एक नौकरी के लिए आवेदक
Applicant for a Job.,एक नौकरी के लिए आवेदक.
Applications for leave.,छुट्टी के लिए आवेदन.
Applies to Company,कंपनी के लिए लागू होता है
Apply / Approve Leaves,पत्तियां लागू / स्वीकृत
Apply Shipping Rule,नौवहन नियम लागू करें
Apply Taxes and Charges Master,करों और शुल्कों मास्टर लागू करें
Appraisal,मूल्यांकन
Appraisal Goal,मूल्यांकन लक्ष्य
Appraisal Goals,मूल्यांकन लक्ष्य
Appraisal Template,मूल्यांकन टेम्पलेट
Appraisal Template Goal,मूल्यांकन टेम्पलेट लक्ष्य
Appraisal Template Title,मूल्यांकन टेम्पलेट शीर्षक
Approval Status,स्वीकृति स्थिति
Approved,अनुमोदित
Approver,सरकारी गवाह
Approving Role,रोल की स्वीकृति
Approving User,उपयोगकर्ता के स्वीकृति
Are you sure you want to delete the attachment?,क्या आप सुनिश्चित करें कि आप अनुलग्नक हटाना चाहते हैं?
Arial,Arial
Arrear Amount,बकाया राशि
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","एक सबसे अच्छा अभ्यास के रूप में, अलग भूमिकाओं बजाय उपयोगकर्ता को कई भूमिकाएं निर्धारित अनुमति शासन के एक ही सेट प्रदान नहीं करते"
As existing qty for item: ,: आइटम के लिए मौजूदा मात्रा के रूप में
As per Stock UOM,स्टॉक UOM के अनुसार
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'","इस \ मद के लिए मौजूदा शेयर लेनदेन कर रहे हैं, आप &#39;नहीं सीरियल है&#39; के मूल्यों को बदल नहीं सकते, \ &#39;और मूल्यांकन पद्धति&#39; स्टॉक आइटम है &#39;"
Ascending,आरोही
Assign To,करने के लिए निरुपित
Assigned By,द्वारा सौंपा
Assignment,असाइनमेंट
Assignments,एसाइनमेंट
Associate a DocType to the Print Format,प्रिंट प्रारूप एक DOCTYPE संबद्ध
Atleast one warehouse is mandatory,कम से कम एक गोदाम अनिवार्य है
Attach,संलग्न करना
Attach Document Print,दस्तावेज़ प्रिंट संलग्न
Attached To DocType,टैग से जुड़ी
Attached To Name,नाम से जुड़ी
Attachment,आसक्ति
Attachments,किए गए अनुलग्नकों के
Attempted to Contact,संपर्क करने का प्रयास
Attendance,उपस्थिति
Attendance Date,उपस्थिति तिथि
Attendance Details,उपस्थिति विवरण
Attendance From Date,दिनांक से उपस्थिति
Attendance To Date,तिथि उपस्थिति
Attendance can not be marked for future dates,उपस्थिति भविष्य तारीखों के लिए चिह्नित नहीं किया जा सकता
Attendance for the employee: ,कर्मचारी के लिए उपस्थिति:
Attendance record.,उपस्थिति रिकॉर्ड.
Attributions,Attributions
Authorization Control,प्राधिकरण नियंत्रण
Authorization Rule,प्राधिकरण नियम
Auto Email Id,ऑटो ईमेल आईडी
Auto Inventory Accounting,ऑटो सूची लेखा
Auto Inventory Accounting Settings,ऑटो सूची लेखा सेटिंग्स
Auto Material Request,ऑटो सामग्री अनुरोध
Auto Name,ऑटो नाम
Auto generated,उत्पन्न ऑटो
Auto-raise Material Request if quantity goes below re-order level in a warehouse,मात्रा एक गोदाम में फिर से आदेश के स्तर से नीचे चला जाता है तो सामग्री अनुरोध ऑटो बढ़ा
Automatically updated via Stock Entry of type Manufacture/Repack,स्वतः प्रकार निर्माण / Repack स्टॉक प्रविष्टि के माध्यम से अद्यतन
Autoreply when a new mail is received,स्वतः जब एक नया मेल प्राप्त होता है
Available Qty at Warehouse,गोदाम में उपलब्ध मात्रा
Available Stock for Packing Items,आइटम पैकिंग के लिए उपलब्ध स्टॉक
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","बीओएम, डिलिवरी नोट, खरीद चालान, उत्पादन का आदेश, खरीद आदेश, खरीद रसीद, बिक्री चालान, विक्रय आदेश, स्टॉक एंट्री, Timesheet में उपलब्ध"
Avatar,अवतार
Average Discount,औसत छूट
B+,B +
B-,बी
BILL,विधेयक
BILLJ,BILLJ
BOM,बीओएम
BOM Detail No,बीओएम विस्तार नहीं
BOM Explosion Item,बीओएम धमाका आइटम
BOM Item,बीओएम आइटम
BOM No,नहीं बीओएम
BOM No. for a Finished Good Item,एक समाप्त अच्छा आइटम के लिए बीओएम सं.
BOM Operation,बीओएम ऑपरेशन
BOM Operations,बीओएम संचालन
BOM Replace Tool,बीओएम बदलें उपकरण
BOM replaced,बीओएम प्रतिस्थापित
Background Color,पृष्ठभूमि रंग
Background Image,पृष्ठभूमि छवि
Backup Manager,बैकअप प्रबंधक
Backup Right Now,अभी बैकअप
Backups will be uploaded to,बैकअप के लिए अपलोड किया जाएगा
"Balances of Accounts of type ""Bank or Cash""",प्रकार &quot;बैंक या नकद&quot; के खातों का शेष
Bank,बैंक
Bank A/C No.,बैंक ए / सी सं.
Bank Account,बैंक खाता
Bank Account No.,बैंक खाता नहीं
Bank Clearance Summary,बैंक क्लीयरेंस सारांश
Bank Name,बैंक का नाम
Bank Reconciliation,बैंक समाधान
Bank Reconciliation Detail,बैंक सुलह विस्तार
Bank Reconciliation Statement,बैंक समाधान विवरण
Bank Voucher,बैंक वाउचर
Bank or Cash,बैंक या कैश
Bank/Cash Balance,बैंक / नकद शेष
Banner,बैनर
Banner HTML,बैनर HTML
Banner Image,बैनर छवि
Banner is above the Top Menu Bar.,बैनर शीर्ष मेनू बार से ऊपर है.
Barcode,बारकोड
Based On,के आधार पर
Basic Info,मूल जानकारी
Basic Information,बुनियादी जानकारी
Basic Rate,मूल दर
Basic Rate (Company Currency),बेसिक रेट (कंपनी मुद्रा)
Batch,बैच
Batch (lot) of an Item.,एक आइटम के बैच (बहुत).
Batch Finished Date,बैच तिथि समाप्त
Batch ID,बैच आईडी
Batch No,कोई बैच
Batch Started Date,बैच तिथि शुरू किया
Batch Time Logs for Billing.,बैच समय बिलिंग के लिए लॉग.
Batch Time Logs for billing.,बैच समय बिलिंग के लिए लॉग.
Batch-Wise Balance History,बैच वार शेष इतिहास
Batched for Billing,बिलिंग के लिए batched
Be the first one to comment,टिप्पणी करने के लिए सबसे पहले एक रहो
Begin this page with a slideshow of images,छवियों का एक स्लाइड शो के साथ शुरू इस पृष्ठ
Better Prospects,बेहतर संभावनाओं
