 (Half Day),(Полудневни)
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,Додавање правила и услове за куповину пријем. Такође можете припремити Услови пословања мастер и коришћење шаблона.
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","Додајте Услове за котацију као услови плаћања, важења понуда, итд Такође можете припремити Услови пословања мастер и коришћење шаблона"
Add Total Row,Додај реду Укупно
Add a banner to the site. (small banners are usually good),Додајте банер на сајт. (Мали банери су обично добри)
Add attachment,Додај прилог
Add code as &lt;script&gt;,Додајте код као &lt;сцрипт&gt;
Add new row,Додавање новог реда
Add or Deduct,Додавање или Одузмите
Add rows to set annual budgets on Accounts.,Додајте редове одређује годишње буџете на рачунима.
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Додајте име <a href=""http://google.com/webfonts"" target=""_blank"">Гоогле Веб Фонт</a> Санс нпр. &quot;Отвори&quot;"
Add to To Do,Адд то То До
Add to To Do List of,Адд то То До листу
Add/Remove Recipients,Адд / Ремове прималаца
Additional Info,Додатни подаци
Address,Адреса
Address & Contact,Адреса и контакт
Address & Contacts,Адреса и контакти
Address Desc,Адреса Десц
Address Details,Адреса Детаљи
Address HTML,Адреса ХТМЛ
Address Line 1,Аддресс Лине 1
Address Line 2,Аддресс Лине 2
Address Title,Адреса Наслов
Address Type,Врста адресе
Address and other legal information you may want to put in the footer.,Адреса и друге правне информације можда желите да ставите у подножје.
Address to be displayed on the Contact Page,Адреса се приказује на контакт страници
Adds a custom field to a DocType,Додаје прилагођеног поља у ДОЦТИПЕ
Adds a custom script (client or server) to a DocType,Додаје прилагођени сценарио (клијент или сервер) на ДОЦТИПЕ
Advance Amount,Унапред Износ
Advance amount,Унапред износ
Advanced Scripting,Напредна Сцриптинг
Advanced Settings,Напредна подешавања
Advances,Аванси
Advertisement,Реклама
After Sale Installations,Након инсталације продају
Against,Против
Against Account,Против налога
Against Docname,Против Доцнаме
Against Doctype,Против ДОЦТИПЕ
Against Document Date,Против докумената Дате
Against Document Detail No,Против докумената детаља Нема
Against Document No,Против документу Нема
Against Expense Account,Против трошковником налог
Against Income Account,Против приход
Against Journal Voucher,Против Јоурнал ваучер
Against Purchase Invoice,Против фактури
Against Sales Invoice,Против продаје фактура
Against Voucher,Против ваучер
Against Voucher Type,Против Вауцер Типе
Agent,Агент
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","Агрегат група ** ** јединице у другу ** ** тачке. Ово је корисно ако сте груписање одређене ставке ** ** у пакету и да одржи залихе упакованих ** ** ставки, а не агрегат ** ** тачка. Пакет ** ** шифра ће &quot;Да ли је берза Ставка&quot; као &quot;не&quot; и &quot;Да ли је продаје Ставка&quot; као &quot;Да&quot; За Пример: Ако се продаје лаптоп и ранчеви одвојено и имају посебну цену уколико купац купује обоје. , онда лаптоп + Ранац ће бити нови Продаја БОМ Итем.Ноте: БОМ = Саставнице"
Aging Date,Старење Дате
All Addresses.,Све адресе.
All Contact,Све Контакт
All Contacts.,Сви контакти.
All Customer Contact,Све Кориснички Контакт
All Day,Целодневни
All Employee (Active),Све Запослени (активна)
All Lead (Open),Све Олово (Опен)
All Products or Services.,Сви производи или услуге.
All Sales Partner Contact,Све продаје партнер Контакт
All Sales Person,Све продаје Особа
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Све продаје Трансакције могу бити означена против више лица ** ** продаје, тако да можете пратити и постављених циљева."
All Supplier Contact,Све Снабдевач Контакт
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.","Сви рачуни колоне треба да буду после \ стандардним колонама и на десној страни. Ако сте га унели правилно, следећи могући разлог \ погрешио име налога. Молимо отклоните га у датотеку и покушајте поново."
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Све извозне сродних поља као валуту, стопа конверзије, извоза укупно, извоза гранд тотал итд су на располагању у <br> Испорука Напомена, ПОС, цитат, продаје Рачун, Салес Ордер итд"
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Све увозне сродних поља као валуту, стопа конверзије, увоз, увоз укупно гранд тотал итд су на располагању у <br> Куповина Потврда, добављач котацију, фактури, налог за куповину итд"
All items have already been transferred \				for this Production Order.,Све ставке су већ пребачена \ за ову производњу Поретка.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Сви могући Воркфлов Државе и улоге током посла. <br> Доцстатус Опције: 0 је &quot;Савед&quot;, ​​1 је &quot;Послао&quot; и 2 је &quot;отказан&quot;"
All posts by,Све поруке аутора
Allocate,Доделити
Allocate leaves for the year.,Додела лишће за годину.
Allocated Amount,Издвојена Износ
Allocated Budget,Издвојена буџета
Allocated amount,Издвојена износ
Allow Attach,Дозволи Аттацх
Allow Bill of Materials,Дозволи Саставнице
Allow Dropbox Access,Дозволи Дропбок Аццесс
Allow Editing of Frozen Accounts For,Дозволи уређивање замрзнутих рачуна за
Allow Google Drive Access,Дозволи Гоогле Дриве Аццесс
Allow Import,Дозволи Увоз
Allow Import via Data Import Tool,Дозволи Увоз података преко Импорт Тоол
Allow Negative Balance,Дозволи негативан салдо
Allow Negative Stock,Дозволи Негативно Стоцк
Allow Production Order,Дозволи Ордер Производња
Allow Rename,Дозволи Преименовање
Allow Samples,Дозволи Самплес
Allow User,Дозволите кориснику
Allow Users,Дозволи корисницима
Allow on Submit,Дозволи на Субмит
Allow the following users to approve Leave Applications for block days.,Дозволи следеће корисницима да одобри Апликације оставити за блок дана.
Allow user to edit Price List Rate in transactions,Дозволите кориснику да измените Рате Ценовник у трансакцијама
Allow user to login only after this hour (0-24),Дозволи кориснику да тек пријавите након овог часа (0-24)
Allow user to login only before this hour (0-24),Дозволи кориснику да само пријави пре него што овај час (0-24)
Allowance Percent,Исправка Проценат
Allowed,Дозвољен
Already Registered,Већ регистрације
Always use Login Id as sender,Увек користите као корисничко име пошиљаоца
Amend,Изменити
Amended From,Измењена од
Amount,Износ
Amount (Company Currency),Износ (Друштво валута)
Amount <=,Износ &lt;=
Amount >=,Износ&gt; =
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Икона датотеке са екстензијом. Ицо. Требало би да буде 16 к 16 пк. Генерисано помоћу иконе омиљеног генератор. [ <a href=""http://favicon-generator.org/"" target=""_blank"">фавицон-генератор.орг</a> ]"
Analytics,Аналитика
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,Још једна структура плата &#39;% с&#39; је активан за запосленог &#39;% с&#39;. Молимо вас да &quot;неактивне&quot; свој статус у настави.
"Any other comments, noteworthy effort that should go in the records.","Било који други коментар, истаћи напор који би требало да иде у евиденцији."
Applicable Holiday List,Важећи Холидаи Листа
Applicable To (Designation),Важећи Да (Именовање)
Applicable To (Employee),Важећи Да (запослених)
Applicable To (Role),Важећи Да (улога)
Applicable To (User),Важећи Да (Корисник)
Applicant Name,Подносилац захтева Име
Applicant for a Job,Кандидат за посао
Applicant for a Job.,Подносилац захтева за посао.
Applications for leave.,Пријаве за одмор.
Applies to Company,Примењује се на предузећа
Apply / Approve Leaves,Примени / Одобрити Леавес
Apply Shipping Rule,Примени правило испорука
Apply Taxes and Charges Master,Примена такси и накнада Мастер
Appraisal,Процена
Appraisal Goal,Процена Гол
Appraisal Goals,Циљеви процене
Appraisal Template,Процена Шаблон
Appraisal Template Goal,Процена Шаблон Гол
Appraisal Template Title,Процена Шаблон Наслов
Approval Status,Статус одобравања
Approved,Одобрен
Approver,Одобраватељ
Approving Role,Одобравање улоге
Approving User,Одобравање корисника
Are you sure you want to delete the attachment?,Да ли сте сигурни да желите да избришете прилог?
Arial,Ариал
Arrear Amount,Заостатак Износ
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","Као пример добре праксе, не доделите исти скуп дозвола владавине различитих улога, уместо постављеним вишеструке улоге Кориснику"
As existing qty for item: ,Као постојеће Кол за ставку:
As per Stock UOM,По берза ЗОЦГ
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'","Као што се у њему већ Стоцк трансакције за овај \ итем, не можете да промените вредности &#39;има серијски Не&#39;, \ &#39;Да ли лагеру предмета&#39; и &#39;метод вредновања&#39;"
Ascending,Растући
Assign To,Додели
Assigned By,Доделио
Assignment,Задатак
Assignments,Задаци
Associate a DocType to the Print Format,Сарадник ДОЦТИПЕ на Принт Формат
Atleast one warehouse is mandatory,Атлеаст једно складиште је обавезно
Attach,Лепити
Attach Document Print,Приложите Принт документа
Attached To DocType,Везан ДОЦТИПЕ
Attached To Name,Везан Име
Attachment,Приврженост
Attachments,Прилози
Attempted to Contact,Покушај да се Контакт
Attendance,Похађање
Attendance Date,Гледалаца Датум
Attendance Details,Гледалаца Детаљи
Attendance From Date,Гледалаца Од датума
Attendance To Date,Присуство Дате
Attendance can not be marked for future dates,Гледалаца не може бити означен за будуће датуме
Attendance for the employee: ,Гледалаца за запосленог:
Attendance record.,Гледалаца рекорд.
Attributions,Атрибуције
Authorization Control,Овлашћење за контролу
Authorization Rule,Овлашћење Правило
Auto Email Id,Ауто-маил Ид
Auto Inventory Accounting,Ауто Инвентар Рачуноводство
Auto Inventory Accounting Settings,Ауто Инвентар Рачуноводство подешавања
Auto Material Request,Ауто Материјал Захтев
Auto Name,Ауто Име
Auto generated,Аутоматски генерисано
Auto-raise Material Request if quantity goes below re-order level in a warehouse,Аутоматско подизање Захтева материјал уколико количина падне испод нивоа поново би у складишту
Automatically updated via Stock Entry of type Manufacture/Repack,Аутоматски ажурира путем берзе Унос типа Производња / препаковати
Autoreply when a new mail is received,Ауторепли када нова порука стигне
Available Qty at Warehouse,Доступно Кол у складишту
Available Stock for Packing Items,На располагању лагер за паковање ставке
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","Доступан у БОМ, отпремнице, фактури, Производња Налог, налог за куповину, продају пријем, Продаја фактура, продаје Налог, берза Улазак, Тимесхеет"
Avatar,Аватар
Average Discount,Просечна дисконтна
B+,Б +
B-,Б-
BILL,БИЛЛ
BILLJ,БИЛЉ
BOM,БОМ
BOM Detail No,БОМ Детаљ Нема
BOM Explosion Item,БОМ Експлозија шифра
BOM Item,БОМ шифра
BOM No,БОМ Нема
BOM No. for a Finished Good Item,БОМ Но за готових добре тачке
BOM Operation,БОМ Операција
BOM Operations,БОМ Операције
BOM Replace Tool,БОМ Замена алата
BOM replaced,БОМ заменио
Background Color,Боја позадине
Background Image,Позадина Слика
Backup Manager,Бацкуп Манагер
Backup Right Now,Бацкуп Ригхт Нов
Backups will be uploaded to,Резервне копије ће бити отпремљени
"Balances of Accounts of type ""Bank or Cash""",Ваге рачуна типа &quot;банке или у готовом&quot;
Bank,Банка
Bank A/C No.,Банка / Ц бр
Bank Account,Банковни рачун
Bank Account No.,Банковни рачун бр
Bank Clearance Summary,Банка Чишћење Резиме
Bank Name,Име банке
Bank Reconciliation,Банка помирење
Bank Reconciliation Detail,Банка помирење Детаљ
Bank Reconciliation Statement,Банка помирење Изјава
Bank Voucher,Банка ваучера
Bank or Cash,Банка или Готовина
Bank/Cash Balance,Банка / стање готовине
Banner,Барјак
Banner HTML,Банер ХТМЛ
Banner Image,Слика банера
Banner is above the Top Menu Bar.,Банер је изнад горњој траци менија.
Barcode,Баркод
Based On,На Дана
Basic Info,Основне информације
Basic Information,Основне информације
Basic Rate,Основна стопа
Basic Rate (Company Currency),Основни курс (Друштво валута)
Batch,Серија
Batch (lot) of an Item.,Групно (много) од стране јединице.
Batch Finished Date,Групно Завршено Дате
Batch ID,Батцх ИД
Batch No,Групно Нема
Batch Started Date,Групно Стартед Дате
Batch Time Logs for Billing.,Групно време Протоколи за наплату.
Batch Time Logs for billing.,Групно време Протоколи за наплату.
Batch-Wise Balance History,Групно-Висе Стање Историја
Batched for Billing,Дозирана за наплату
Be the first one to comment,Будите први коментар
Begin this page with a slideshow of images,Почните ову страницу са слајдова слика
Better Prospects,Бољи изгледи
Bill Date,Бил Датум
Bill No,Бил Нема
Bill of Material to be considered for manufacturing,Саставници да се сматра за производњу
Bill of Materials,Саставнице
Bill of Materials (BOM),Саставнице (БОМ)
Billable,Уплатилац
Billed,Изграђена
Billed Amt,Фактурисане Амт
Billing,Обрачун
Billing Address,Адреса за наплату
Billing Address Name,Адреса за наплату Име
Billing Status,Обрачун статус
Bills raised by Suppliers.,Рачуни подигао Добављачи.
Bills raised to Customers.,Рачуни подигао купцима.
Bin,Бункер
Bio,Био
Bio will be displayed in blog section etc.,Биографија ће бити приказан у блог секцији итд
Birth Date,Датум рођења
Blob,Груменчић
Block Date,Блоцк Дате
Block Days,Блок Дана
Block Holidays on important days.,Блок одмор на важним данима.
Block leave applications by department.,Блок оставите апликације по одељењу.
Blog Category,Категорија блог
Blog Intro,Блог Интро
Blog Introduction,Блог Увод
Blog Post,Блог пост
Blog Settings,Блог Подешавања
Blog Subscriber,Блог Претплатник
Blog Title,Наслов блога
Blogger,Блоггер
Blood Group,Крв Група
Bookmarks,Боокмаркс
Branch,Филијала
Brand,Марка
Brand HTML,Бренд ХТМЛ
Brand Name,Бранд Наме
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure ithas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px","Бренд је оно што се појављује на врху десно на траци са алаткама. Ако је слика, уверите итхас транспарентан позадини и користили &lt;имг /&gt; ознаку. Држите величину као 200пк к 30пк"
Brand master.,Бренд господар.
Brands,Брендови
Breakdown,Слом
Budget,Буџет
Budget Allocated,Буџет Издвојена
Budget Control,Буџет контрола
Budget Detail,Буџет Детаљ
Budget Details,Буџетски Детаљи
Budget Distribution,Буџет Дистрибуција
Budget Distribution Detail,Буџет Дистрибуција Детаљ
Budget Distribution Details,Буџетски Дистрибуција Детаљи
Budget Variance Report,Буџет Разлика извештај
Build Modules,Буилд модуле
Build Pages,Буилд Странице
Build Server API,Буилд Сервер АПИ
Build Sitemap,Буилд Ситемап
Bulk Email,Булк маил
Bulk Email records.,Булк Емаил рекорда.
Bummer! There are more holidays than working days this month.,Штета! Постоји више празника него радних дана овог месеца.
Bundle items at time of sale.,Бундле ставке у време продаје.
Button,Дугме
Buyer of Goods and Services.,Купац робе и услуга.
Buying,Куповина
Buying Amount,Куповина Износ
Buying Settings,Куповина Сеттингс
By,По
C-FORM/,Ц-ФОРМУЛАР /
C-Form,Ц-Форм
C-Form Applicable,Ц-примењује
C-Form Invoice Detail,Ц-Форм Рачун Детаљ
C-Form No,Ц-Образац бр
CI/2010-2011/,ЦИ/2010-2011 /
COMM-,ЦОММ-
CSS,ЦСС
CUST,Корисничка
CUSTMUM,ЦУСТМУМ
Calculate Based On,Израчунајте Басед Он
Calculate Total Score,Израчунајте Укупна оцена
Calendar,Календар
Calendar Events,Календар догађаја
Call,Позив
Campaign,Кампања
Campaign Name,Назив кампање
Can only be exported by users with role 'Report Manager',Може се извозити корисници са &quot;Пријави Манагер&quot; улогом
Cancel,Отказати
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,Цанцел дозвола такође омогућава кориснику да обришете документ (ако није везан за било који други документ).
Cancelled,Отказан
Cannot ,Не могу
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,Не могу одобрити оставити као што се није овлашћен да одобри оставља на Блоку датума.
Cannot change from,Не може се мењати из
Cannot continue.,Не може наставити.
Cannot have two prices for same Price List,Није могуће имати две цене за исти ценовнику
Cannot map because following condition fails: ,Не могу мапирати јер следећи услов не успе:
Capacity,Капацитет
Capacity Units,Капацитет јединице
Carry Forward,Пренети
Carry Forwarded Leaves,Царри Форвардед Леавес
Case No(s) already in use. Please rectify and try again.				Recommended <b>From Case No. = %s</b>,Предмет бр (а) је већ у употреби. Молимо исправи и покушајте поново. Препоручени <b>Из предмет бр =% с</b>
Cash,Готовина
Cash Voucher,Готовина ваучера
Cash/Bank Account,Готовина / банковног рачуна
Categorize blog posts.,Категоризација постова на блогу.
Category,Категорија
Category Name,Име категорије
Category of customer as entered in Customer master,Категорија купца као ушао у Цустомер мајстора
Cell Number,Мобилни број
Center,Центар
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Одређене документи не треба мењати једном финалу, као фактура за пример. Коначно стање таквих докумената зове <b>Поднет.</b> Можете да ограничите које улоге могу да поднесу."
Change UOM for an Item.,Промена УОМ за артикал.
Change the starting / current sequence number of an existing series.,Промена стартовања / струја број редни постојеће серије.
Channel Partner,Цханнел Партнер
Charge,Пуњење
Chargeable,Наплатив
Chart of Accounts,Контни
Chart of Cost Centers,Дијаграм трошкова центара
Chat,Ћаскање
Check,Проверити
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,Проверите / поништите улоге додељене профил. Кликните на улогу да сазнате шта дозволе које улога.
Check all the items below that you want to send in this digest.,Проверите све ставке испод које желите да пошаљете на овом сварити.
Check how the newsletter looks in an email by sending it to your email.,Проверите колико билтен изгледа у емаил тако да шаљете е-пошту.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date","Проверите да ли понавља фактура, поништите да се заустави или да се понавља правилан датум завршетка"
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.","Проверите да ли вам је потребна аутоматским понављајућих рачуне. Након подношења било продаје фактуру, понавља одељак ће бити видљив."
Check if you want to send salary slip in mail to each employee while submitting salary slip,"Проверите да ли желите да пошаљете листић плате у пошти сваком запосленом, а подношење плата листић"
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Проверите ово ако желите да натера кориснику да одабере серију пре чувања. Неће бити подразумевано ако проверите ово.
