Pension Funds,Pensionifondid
"Charges will be distributed proportionately based on item qty or amount, as per your selection",Tasud jaotatakse proportsionaalselt vastavalt elemendi kogusele või kogusele vastavalt teie valikule
Pending activities for today,Praegu toimuvad tegevused
Student Batch,Õpilase partii
Valuation Rate required for Item in row {0},{0} reas olevale üksusele nõutav hindamismäär
Base Hour Rate(Company Currency),Baashinna määr (ettevõtte valuuta)
Printing Details,Printimise üksikasjad
Manufacturing Manager,Tootmishaldur
Job Card,Töökaart
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.","Süsteemi kasutaja (sisselogimise) ID. Kui see on seatud, muutub see kõigi HR vormide jaoks vaikimisi."
All Item Groups,Kõik üksuste rühmad
Select Status,Valige Olek
Fixed rate,Fikseeritud määr
Airline,Lennufirma
Term Details,Tähtaja andmed
Acquisition Date,Omandamise kuupäev
Send To,Saada
Average Rate,Keskmine määr
Set Qty in Transactions based on Serial No Input,"Määra Kogus tehingutes, mis põhinevad seerianumbrite sisendil"
Advance account currency should be same as company currency {0},Eelmise konto valuuta peaks olema sama kui ettevõtte valuuta {0}
Customize Homepage Sections,Kohanda kodulehe sektsioone
October,Oktoober
Hide Customer's Tax Id from Sales Transactions,Peida Kliendi maksutunnus müügitehingutest
Invalid GSTIN! A GSTIN must have 15 characters.,Kehtetu GSTIN! GSTINil peab olema 15 tähemärki.
Pricing Rule {0} is updated,Hinnakujunduse reegel {0} on uuendatud
Contract Fulfilment Checklist,Lepingu täitmise kontrollnimekiri
All Products,Kõik tooted
Product Search,Tooteotsing
Net Pay,Netomaks
Total Invoiced Amt,Arve kogusumma kokku
Consumables Invoice Separately,Kulumaterjalide arve eraldi
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Eelarvet ei saa määrata grupikonto {0} vastu
Rate and Amount,Hind ja summa
Check availability,Kontrolli saadavust
Cannot find Item with this barcode,Selle vöötkoodiga üksust ei leitud
Default Invoice Naming Series,Vaikimisi arve nimetamise seeria
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Kui {0} {1} kogust <b>{2}</b> , rakendatakse elemendile skeemi <b>{3}</b> ."
Student Siblings,Õpilaste õed-vennad
Journal Entry {0} does not have account {1} or already matched against other voucher,Ajakirje kirje {0} ei oma kontot {1} ega ole juba vastuolus teise kviitungiga
Legal Expenses,Õiguslikud kulud
Checkout,Checkout
Membership Details,Liikmesuse üksikasjad
Please set the Customer Address,Palun määrake kliendi aadress
List your products or services that you buy or sell.,"Loetlege oma tooteid või teenuseid, mida ostate või müüte."
Income,Tulu
Rate at which this tax is applied,"Hind, millega seda maksu rakendatakse"
Payment Receipt Note,Maksekviitungi märkus
In Percentage,Protsentides
Quotations received from Suppliers.,Tarnijadelt saadud pakkumised.
Reference Due Date,Viiteaeg
Lead Time Days,Lead Time Days
Revision and Revised On,Läbivaatamine ja parandamine on sisse lülitatud
{0} against Purchase Order {1},{0} ostutellimuse vastu {1}
Fee Records Created - {0},Loodud tasu kirjed - {0}
Note: {0},Märkus: {0}
Serial No {0} has already been received,Seerianumber {0} on juba laekunud
Leave Settings,Jäta sätted välja
Issue Credit Note,Krediidi märkuse väljastamine
Batch Item Expiry Status,Partii kirje aegumise staatus
Stock Transactions,Varude tehingud
Event Location,Sündmuse asukoht
Motion Picture & Video,Liikuv pilt ja video
Row Spacing,Rida vahe
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Konto {0} konto number pole saadaval. <br> Palun seadistage oma kontoplaan õigesti.
Starting location from left edge,Asukoha algus vasakust servast
HR Settings,HR seaded
Appointments,Kohtumised
Asset {0} created,Loodud vara {0}
Select Batch,Valige partii
Item Description,Toote kirjeldus
Account Name,Kasutaja nimi
Please enter API Consumer Key,Sisestage API tarbijaklahv
Products per Page,Tooted lehekülje kohta
Duplicate {0} found in the table,Dubleerige tabelis {0}
Default Distance Unit,Vaikimisi kaugusühik
Consume Stock,Tarbige varu
Key Performance Area,Peamised toimivusvaldkonnad
S.O. No.,SO nr
{0} not found for item {1},{0} elementi {1} ei leitud
Set Source Warehouse,Määra lähtekood
Out Patient Settings,Väljas patsiendi sätted
Insurance End Date,Kindlustuse lõppkuupäev
Branch Code,Filiaali kood
Time To Respond,Vastamise aeg
User Forum,Kasutajafoorum
Landed Cost Item,Landed Cost Item
The seller and the buyer cannot be the same,Müüja ja ostja ei saa olla samad
Copied From,Kopeeritud alates
Available,Saadaval
Sales Person Targets,Müügipersonali eesmärgid
BOM Operation,BOM operatsioon
O-,O-
Interest Amount,Intressi summa
Origin,Päritolu
Add a new address,Lisage uus aadress
Write Off Account,Kirjutage konto välja
Proposal/Price Quote,Ettepanek / hinnapakkumine
Associate,Associate
Please input all required Result Value(s),Sisestage kõik nõutud tulemuse väärtus (ed)
Purchase Order Item Supplied,Ostutellimuse toode tarnitakse
Item {0} is not a serialized Item,Üksus {0} ei ole serialiseeritud element
GoCardless Customer,GoCardless klient
Leave Balance,Jäta tasakaal
Maintenance Schedule {0} exists against {1},Hoolduskava {0} on {1} vastu
Supervisor Name,Juhendaja nimi
Campaign Naming By,Kampaania nimetamine
Course Code,Kursuse kood
Aerospace,Aerospace
Distribute Charges Based On,Jaotage tasud vastavalt sellele
Supplier Scorecard Scoring Criteria,Tarnija tulemustabelite hindamiskriteeriumid
Stock,Varud
Receipt Document Type,Kviitungi dokumendi tüüp
Classification of Customers by region,Klientide klassifikatsioon piirkonniti
Billable,Arvestatav
Government,Valitsus
"Create Employee records to manage leaves, expense claims and payroll","Looge lehtede, kulukandjate ja palgaarvestuse haldamiseks töötajate dokumente"
Point-of-Sale,Müügipunkt
User {0} is already assigned to Healthcare Practitioner {1},Kasutaja {0} on juba määratud tervishoiutöötajale {1}
Standard Buying,Standard ostmine
Apprentice,Õpipoiss
Add Timesheets,Lisa lehed
"Number of new Account, it will be included in the account name as a prefix","Uute kontode arv, see lisatakse konto nimele prefiksina"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Tarnija lao kohustuslik alltöövõtulepingu sõlmimiseks
Please enter Preferred Contact Email,Palun sisestage eelistatud kontaktisik
Normal,Tavaline
Customer POS Id,Kliendi POS ID
Weight Per Unit,Kaal ühiku kohta
Child nodes can be only created under 'Group' type nodes,Laste sõlme saab luua ainult grupitüüpi sõlmedes
(including),(kaasa arvatud)
Requested,Taotletud
Item {0} is not a stock Item,Üksus {0} ei ole varude kirje
Multi Currency,Multi valuuta
Write Off Difference Amount,Kirjutage maha vahe summa
Item {0} is disabled,Üksus {0} on keelatud
Last Completion Date,Viimane lõpetamise kuupäev
Fulfillment,Täitmine
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Ülesanne on tehtud tausttööks. Juhul, kui taustal töötlemisel tekib probleem, lisab süsteem selle laoseisu vastavusse viimise kohta kommentaari ja pöördu tagasi mustandi etapi juurde"
Total Order Considered,Kogutud tellimus kokku
Optimize Route,Optimeeri marsruuti
Discount Percentage can be applied either against a Price List or for all Price List.,Allahindluse protsenti saab rakendada kas hinnakirja või hinnakirja suhtes.
Trainer Email,Treeneri e-post
Get from Patient Encounter,Hangi patsiendi kokkupõrge
Software Developer,Tarkvara arendaja
Sample Collection,Proovi kogumine
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Palun jaga oma tagasisidet koolitusele, klõpsates &#39;Koolituse tagasiside&#39; ja seejärel &#39;Uus&#39;"
Connecting to QuickBooks,Ühendamine QuickBooksiga
Enrolling student,Õpilase registreerimine
Claimed,Nõutud
Leaves,Lehed
Salary breakup based on Earning and Deduction.,Palkade katkestamine töötasu ja mahaarvamise alusel.
Salary Structure Missing,Palkade struktuur puudub
Action Field,Tegevuste väli
Quotation Trends,Tsitaatide suundumused
Connect Amazon with ERPNext,Ühendage Amazon ERPNextiga
Response and Resolution Time,Vastus ja eraldusvõime aeg
Collection Tier,Kogumise tase
Guardian Of ,Guardian Of
Payment Gateway Details,Maksete lüüsi üksikasjad
Staffing Plan {0} already exist for designation {1},{1} on juba olemas personali plaan {0}
Website Warehouse,Veebilehe ladu
Rate With Margin,Hinda marginaaliga
Salary Structure must be submitted before submission of Tax Ememption Declaration,Palga struktuur tuleb esitada enne maksusoodustuse deklaratsiooni esitamist
Add Leads,Lisa pliidid
Reserve Warehouse,Broneeri ladu
Payment Term Name,Makse tähtaja nimi
No Permission,Luba puudub
Select Company...,Valige ettevõte ...
Use Naming Series,Kasutage nimesarja
Formula,Valem
Action if Accumulated Monthly Budget Exceeded on Actual,"Tegevus, kui akumuleeritud kuueelarve ületati tegelikust"
Allow Encashment,Luba Encashment
Project activity / task.,Projekti tegevus / ülesanne.
Bank Statement Transaction Invoice Item,Panga väljavõtte tehingu arve kirje
Total Operating Cost,Kogu tegevuskulud
Employee Onboarding Template,Töötajate pardal olev mall
Same Item,Sama kirje
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Ühe tehingu summa ületab maksimaalse lubatud summa, loob tehingute jagamise teel eraldi maksekorralduse"
Salary Slips Created,Palgatõendid Loodud
Lab Test(s) ,Lab-test (id)
Party Details,Partei andmed
Cost of Purchased Items,Ostetud kaupade maksumus
All communications including and above this shall be moved into the new Issue,"Kõik teatised, mis sisaldavad ja ületavad seda, viiakse uude väljaandesse"
Material Consumption for Manufacture,Materjali tarbimine valmistamiseks
Table for Item that will be shown in Web Site,Veebilehel kuvatav kirje tabel
Restaurant Menu,Restorani menüü
Purpose,Eesmärk
Salary Structure Assignment for Employee already exists,Palga struktuuri määramine töötajatele on juba olemas
Service Unit,Teenindusüksus
Identification Document Number,Identifitseerimisdokumendi number
Additional Costs,Täiendavad kulud
"Parent Course (Leave blank, if this isn't part of Parent Course)","Vanemekursus (jätke tühjaks, kui see ei kuulu vanemate kursuste hulka)"
Employee Education,Töötajate haridus
Number of positions cannot be less then current count of employees,Positsioonide arv ei tohi olla väiksem kui töötajate arv
All Customer Groups,Kõik kliendirühmad
Buying Price List,Hinnakiri
Finished Good Item Code,Lõpetatud Hea Koodikood
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Kuupäeva {0} jaoks on mitu eelarveaastat. Palun määrake ettevõte eelarveaastal
Available for use date is required,Kasutamiseks on vaja kuupäeva
Training Date,Koolituse kuupäev
Reading Uploaded File,Üleslaaditud faili lugemine
Material Request,Materiaalne taotlus
Total Allocated Amount (Company Currency),Jaotatud kogusumma (ettevõtte valuuta)
Restaurant Order Entry Item,Restorani tellimuse kirje
Distance,Kaugus
Get financial breakup of Taxes and charges data by Amazon ,Võta Amazon maksud ja tasud andmete eest rahaliselt
Mileage,Läbisõit
"For an item {0}, quantity must be positive number",Üksuse {0} puhul peab kogus olema positiivne
Item Cart,Toote ostukorvi
Payment Entries {0} are un-linked,Makse kirjed {0} on sidumata
Open Notifications,Avatud teatised
Successfully created payment entries,Edukalt loodud makse kirjed
Mg/K,Mg / K
Has Serial No,Kas on seerianumber
Manufacturing User,Tootmiskasutaja
Ledger,Ledger
Loan,Laen
Fuel UOM,Kütuse UOM
Support,Toetus
Invalid Company for Inter Company Transaction.,Kehtetu äriühing ettevõtte vahelise tehingu jaoks.
Fixed Asset Depreciation Settings,Fikseeritud vara amortisatsiooni seaded
Department and Grade,Osakond ja klass
Cheques Required,Nõutavad kontrollid
Do Not Contact,Ärge võtke ühendust
Update Billed Amount in Sales Order,Uuenda arveldatud summa müügikorralduses
Meal Preference,Toidu eelistus
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Isegi kui on olemas mitu hinnakujunduse reeglit, millel on kõrgeim prioriteet, rakendatakse järgmisi sisemisi prioriteete:"
Employee {0} is not active or does not exist,Töötaja {0} ei ole aktiivne või puudub
List of all share transactions,Kõigi aktsia tehingute loend
Sales Defaults,Müügireeglid
Overlap in scoring between {0} and {1},Kattuvad punktides {0} kuni {1}
Weightage,Kaal
Create New Payment/Journal Entry,Loo uus makse / päeviku kirje
HR-ATT-.YYYY.-,HR-ATT-AAAA.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Kui ülaltoodud tingimuste alusel leitakse kaks või enam hinnakujunduse reeglit, rakendatakse prioriteeti. Prioriteet on number vahemikus 0 kuni 20, samas kui vaikeväärtus on null (tühi). Kõrgem number tähendab, et kui hinnakujunduse reeglid on samad tingimused, on see ülimuslik."
Row {0}: Qty is mandatory,Rida {0}: Kogus on kohustuslik
Against Income Account,Tulukonto vastu
