Pension Funds,ಪಿಂಚಣಿ ನಿಧಿಗಳು
"{0} is mandatory for generating remittance payments, set the field and try again","ರವಾನೆ ಪಾವತಿಗಳನ್ನು ಉತ್ಪಾದಿಸಲು {0} ಕಡ್ಡಾಯವಾಗಿದೆ, ಕ್ಷೇತ್ರವನ್ನು ಹೊಂದಿಸಿ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ"
Some emails are invalid,ಕೆಲವು ಇಮೇಲ್ಗಳು ಅಮಾನ್ಯವಾಗಿವೆ
Calculate Depreciation,ಸವಕಳಿ ಲೆಕ್ಕಾಚಾರ
Term Name,ಅವಧಿ ಹೆಸರು
Question,ಪ್ರಶ್ನೆ
Exemption Sub Category,ವಿನಾಯಿತಿ ಉಪ ವರ್ಗ
More Details,ಹೆಚ್ಚಿನ ವಿವರಗಳಿಗಾಗಿ
Earning,ಗಳಿಸುತ್ತಿದೆ
Click Enter To Add,ಸೇರಿಸಲು ನಮೂದಿಸಿ ಕ್ಲಿಕ್ ಮಾಡಿ
Employee Group,ಉದ್ಯೋಗಿಗಳ ಗುಂಪು
Specify Exchange Rate to convert one currency into another,ಒಂದು ಕರೆನ್ಸಿಯನ್ನು ಇನ್ನೊಂದಕ್ಕೆ ಪರಿವರ್ತಿಸಲು ವಿನಿಮಯ ದರವನ್ನು ಸೂಚಿಸಿ
Ageing Range 4,ಏಜಿಂಗ್ ರೇಂಜ್ 4
Warehouse required for stock Item {0},ಸ್ಟಾಕ್ ಐಟಂಗಾಗಿ ವೇರ್ಹೌಸ್ ಅಗತ್ಯವಿರುತ್ತದೆ {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,{0} ಗಾಗಿ ಮಾನದಂಡ ಸ್ಕೋರ್ ಕಾರ್ಯವನ್ನು ಪರಿಹರಿಸಲಾಗಲಿಲ್ಲ. ಸೂತ್ರವು ಮಾನ್ಯವಾಗಿದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
Include Reconciled Entries,ಹೊಂದಾಣಿಕೆಯ ನಮೂದುಗಳನ್ನು ಸೇರಿಸಿ
Allow Zero Valuation Rate,ಶೂನ್ಯ ಮೌಲ್ಯಾಂಕನ ದರವನ್ನು ಅನುಮತಿಸಿ
Nothing more to show.,ತೋರಿಸಲು ಏನೂ ಇಲ್ಲ.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",ತೆರಿಗೆ ವರ್ಗವನ್ನು &quot;ಒಟ್ಟು&quot; ಎಂದು ಬದಲಿಸಲಾಗಿದೆ ಏಕೆಂದರೆ ಎಲ್ಲಾ ಐಟಂಗಳು ಸ್ಟಾಕ್ ಐಟಂಗಳು
Tax on flexible benefit,ಹೊಂದಿಕೊಳ್ಳುವ ಲಾಭದ ಮೇಲೆ ತೆರಿಗೆ
This is based on the Time Sheets created against this project,ಇದು ಈ ಯೋಜನೆಯ ವಿರುದ್ಧ ರಚಿಸಲಾದ ಟೈಮ್ ಶೀಟ್ಗಳನ್ನು ಆಧರಿಸಿದೆ
Buying Rate,ಖರೀದಿ ದರ
Type of Sample,ಮಾದರಿ ಮಾದರಿ
Budget Accounts,ಬಜೆಟ್ ಖಾತೆಗಳು
Serial No {0} quantity {1} cannot be a fraction,ಸೀರಿಯಲ್ ಯಾವುದೇ {0} ಪ್ರಮಾಣ {1} ಭಿನ್ನರಾಶಿಯಂತಿಲ್ಲ
Stock In Hand,ಕೈಯಲ್ಲಿ ಸ್ಟಾಕ್
Wages,ವೇತನಗಳು
No leave record found for employee {0} for {1},ಉದ್ಯೋಗಿ {0} ಗಾಗಿ {1} ಗಾಗಿ ಯಾವುದೇ ರಜೆಯ ದಾಖಲೆ ಕಂಡುಬಂದಿಲ್ಲ
Accounts Receivable Unpaid Account,ಸ್ವೀಕರಿಸದ ಖಾತೆಗೆ ಸ್ವೀಕರಿಸುವ ಖಾತೆಗಳು
SGST Account,ಎಸ್ಜಿಎಸ್ಟಿ ಖಾತೆ
Half Day Date should be in between Work From Date and Work End Date,ಹಾಫ್ ಡೇ ದಿನಾಂಕವು ದಿನಾಂಕ ಮತ್ತು ಕೆಲಸದ ಕೊನೆಯ ದಿನಾಂಕದಿಂದ ಕೆಲಸದ ನಡುವೆ ಇರಬೇಕು
Applicable in the case of Employee Onboarding,ಉದ್ಯೋಗಿ ಆನ್ಬೋರ್ಡಿಂಗ್ ಸಂದರ್ಭದಲ್ಲಿ ಅನ್ವಯವಾಗುತ್ತದೆ
Specified BOM {0} does not exist for Item {1},ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ BOM {0} ಐಟಂ {1} ಗಾಗಿ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ
Company (not Customer or Supplier) master.,ಕಂಪನಿ (ಗ್ರಾಹಕ ಅಥವಾ ಸರಬರಾಜುದಾರನಲ್ಲ) ಮಾಸ್ಟರ್.
Sales Invoice Series,ಮಾರಾಟ ಸರಕುಪಟ್ಟಿ ಸರಣಿ
Asset Movement record {0} created,ಆಸ್ತಿ ಚಳುವಳಿಯ ದಾಖಲೆ {0} ರಚಿಸಲಾಗಿದೆ
Test Created,ಪರೀಕ್ಷೆ ರಚಿಸಲಾಗಿದೆ
Term Start Date,ಟರ್ಮ್ ಪ್ರಾರಂಭ ದಿನಾಂಕ
Appointment {0} and Sales Invoice {1} cancelled,ನೇಮಕಾತಿ {0} ಮತ್ತು ಮಾರಾಟದ ಸರಕುಪಟ್ಟಿ {1} ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ
Vehicle Number,ವಾಹನ ಸಂಖ್ಯೆ
Your email address...,ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸ ...
Include Default Book Entries,ಡೀಫಾಲ್ಟ್ ಬುಕ್ ನಮೂದುಗಳನ್ನು ಸೇರಿಸಿ
Activity Type,ಚಟುವಟಿಕೆ ಪ್ರಕಾರ
Get Advances Paid,ಅಡ್ವಾನ್ಸ್ ಪಾವತಿಸಿ
Gain/Loss Account on Asset Disposal,ಸ್ವತ್ತು ವಿಲೇವಾರಿ ಮೇಲೆ ಲಾಭ / ನಷ್ಟ ಖಾತೆ
Voucher No,ಚೀಟಿ ಸಂಖ್ಯೆ
Reorder level based on Warehouse,ವೇರ್ಹೌಸ್ ಆಧರಿಸಿ ಮಟ್ಟದ ಮರುಕ್ರಮಗೊಳಿಸಿ
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","ನಿಲ್ಲಿಸಿರುವ ಕೆಲಸ ಆದೇಶವನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗುವುದಿಲ್ಲ, ಅನ್ಸ್ಟಪ್ ಅದನ್ನು ಮೊದಲು ರದ್ದುಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} ಐಟಂಗೆ ಸೀರಿಯಲ್ ಸಂಖ್ಯೆಗಳು ಅಗತ್ಯವಿದೆ {1}. ನೀವು {2} ಒದಗಿಸಿದ್ದೀರಿ.
Customer Primary Contact,ಗ್ರಾಹಕರ ಪ್ರಾಥಮಿಕ ಸಂಪರ್ಕ
BOM Detail No,ಬೊಮ್ ವಿವರ ಸಂಖ್ಯೆ
Cash In Hand,ಕೈಯಲ್ಲಿ ನಗದು
The holiday on {0} is not between From Date and To Date,{0} ರ ರಜಾದಿನವು ದಿನಾಂಕ ಮತ್ತು ದಿನಾಂಕದ ನಡುವೆ ಇಲ್ಲ
Lead must be set if Opportunity is made from Lead,ಅವಕಾಶವನ್ನು ಲೀಡ್ನಿಂದ ತಯಾರಿಸಿದರೆ ಲೀಡ್ ಅನ್ನು ಹೊಂದಿಸಬೇಕು
Account with existing transaction can not be converted to group.,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ವ್ಯವಹಾರದೊಂದಿಗಿನ ಖಾತೆಗೆ ಗುಂಪಿಗೆ ಪರಿವರ್ತಿಸಲಾಗುವುದಿಲ್ಲ.
Timesheet {0} is already completed or cancelled,ಟೈಮ್ಸ್ಶೀಟ್ {0} ಈಗಾಗಲೇ ಮುಗಿದಿದೆ ಅಥವಾ ರದ್ದುಗೊಂಡಿದೆ
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","ಮಾರಾಟ ಮತ್ತು ಖರೀದಿಗಳಿಗೆ ಸೇರಿಸಬಹುದಾದ ಪ್ರಮಾಣಿತ ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು. ಉದಾಹರಣೆಗಳು: ಪ್ರಸ್ತಾಪದ ಮಾನ್ಯತೆ. 1. ಪಾವತಿ ನಿಯಮಗಳು (ಅಡ್ವಾನ್ಸ್, ಕ್ರೆಡಿಟ್, ಭಾಗ ಮುಂಗಡ ಇತ್ಯಾದಿ). 1. ಹೆಚ್ಚುವರಿ ಏನು (ಅಥವಾ ಗ್ರಾಹಕರು ಪಾವತಿಸಬೇಕಾಗುತ್ತದೆ). 1. ಸುರಕ್ಷತೆ / ಬಳಕೆ ಎಚ್ಚರಿಕೆ. 1. ಯಾವುದೇ ವೇಳೆ ಖಾತರಿ. 1. ರಿಟರ್ನ್ಸ್ ಪಾಲಿಸಿ. 1. ಸಾಗಣೆ ನಿಯಮಗಳು, ಅನ್ವಯಿಸಿದರೆ. 1. ವಿವಾದಗಳು, ನಷ್ಟ ಪರಿಹಾರ, ಹೊಣೆಗಾರಿಕೆ, ಇತ್ಯಾದಿಗಳನ್ನು ತಿಳಿಸುವ ಮಾರ್ಗಗಳು. 1. ನಿಮ್ಮ ಕಂಪನಿಯ ವಿಳಾಸ ಮತ್ತು ಸಂಪರ್ಕ."
Leave Status Notification,ಸ್ಥಿತಿ ಅಧಿಸೂಚನೆಯನ್ನು ಬಿಡಿ
Designation Skill,ಸ್ಥಾನಿಕ ನೈಪುಣ್ಯ
Quantity required for Item {0} in row {1},ಸಾಲು {1} ನಲ್ಲಿ ಐಟಂ {0} ಗೆ ಅಗತ್ಯವಿರುತ್ತದೆ
"To filter based on Party, select Party Type first","ಪಾರ್ಟಿಯನ್ನು ಆಧರಿಸಿ ಫಿಲ್ಟರ್ ಮಾಡಲು, ಮೊದಲು ಪಾರ್ಟಿ ಕೌಟುಂಬಿಕತೆ ಆಯ್ಕೆಮಾಡಿ"
Number,ಸಂಖ್ಯೆ
Separate course based Group for every Batch,ಪ್ರತಿ ಬ್ಯಾಚ್ಗೆ ಪ್ರತ್ಯೇಕ ಕೋರ್ಸ್ ಆಧಾರಿತ ಗುಂಪು
Require Lab Test Approval,ಲ್ಯಾಬ್ ಟೆಸ್ಟ್ ಅನುಮೋದನೆ ಅಗತ್ಯವಿದೆ
Update Clearance Date,ಕ್ಲಿಯರೆನ್ಸ್ ದಿನಾಂಕ ನವೀಕರಿಸಿ
Import Chart of Accounts from a csv file,CSV ಫೈಲ್ನಿಂದ ಖಾತೆಗಳ ಆಮದು ಚಾರ್ಟ್
"Support for public app is deprecated. Please setup private app, for more details refer user manual","ಸಾರ್ವಜನಿಕ ಅಪ್ಲಿಕೇಶನ್ಗೆ ಬೆಂಬಲವನ್ನು ಅಸಮ್ಮತಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಖಾಸಗಿ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಹೊಂದಿಸಿ, ಹೆಚ್ಚಿನ ವಿವರಗಳಿಗಾಗಿ ಬಳಕೆದಾರ ಕೈಪಿಡಿಯನ್ನು ನೋಡಿ"
Signed,ಸಹಿ
Terms and Conditions1,ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು 1
Please select Employee Record first.,ದಯವಿಟ್ಟು ನೌಕರರ ರೆಕಾರ್ಡ್ ಅನ್ನು ಮೊದಲು ಆಯ್ಕೆಮಾಡಿ.
Password policy for Salary Slips is not set,ವೇತನದ ಸ್ಲಿಪ್ಗಳಿಗಾಗಿ ಪಾಸ್ವರ್ಡ್ ನೀಡುವುದಿಲ್ಲ
Result HTML,ಫಲಿತಾಂಶ HTML
Ignore holidays,ರಜಾದಿನಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ
Linked Soil Texture,ಲಿಂಕ್ಡ್ ಮಣ್ಣಿನ ಟೆಕ್ಸ್ಚರ್
This is based on logs against this Vehicle. See timeline below for details,ಇದು ಈ ವಾಹನ ವಿರುದ್ಧ ಲಾಗ್ಗಳನ್ನು ಆಧರಿಸಿದೆ. ವಿವರಗಳಿಗಾಗಿ ಕೆಳಗೆ ಟೈಮ್ಲೈನ್ ನೋಡಿ
ACC-PAY-.YYYY.-,ACC- ಪೇ - .YYYY.-
Emergency Contact,ತುರ್ತು ಸಂಪರ್ಕ
Authorization URL,ದೃಢೀಕರಣ URL
On Leave,ರಜೆಯ ಮೇಲೆ
Show a slideshow at the top of the page,ಪುಟದ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಸ್ಲೈಡ್ಶೋ ತೋರಿಸಿ
Payer Settings,ಪಾವತಿಸುವ ಸೆಟ್ಟಿಂಗ್ಗಳು
Set Tax Rule for shopping cart,ಶಾಪಿಂಗ್ ಕಾರ್ಟ್ಗಾಗಿ ತೆರಿಗೆ ನಿಯಮವನ್ನು ಹೊಂದಿಸಿ
In Production,ಉತ್ಪಾದನೆಯಲ್ಲಿ
Payment References,ಪಾವತಿ ಉಲ್ಲೇಖಗಳು
Valid Till,ಮಾನ್ಯ ಟಿಲ್
{0}: From {0} of type {1},{0}: {0} ರೀತಿಯಿಂದ {1}
Project Name,ಯೋಜನೆಯ ಹೆಸರು
Stock Qty,ಸ್ಟಾಕ್ ಕ್ವಿಟಿ
Child Item should not be a Product Bundle. Please remove item `{0}` and save,ಮಕ್ಕಳ ಐಟಂ ಉತ್ಪನ್ನ ಬಂಡಲ್ ಆಗಿರಬಾರದು. ದಯವಿಟ್ಟು ಐಟಂ ಅನ್ನು {{0} ತೆಗೆದುಹಾಕಿ ಮತ್ತು ಉಳಿಸಿ
Response Result Key Path,ಪ್ರತಿಕ್ರಿಯೆ ಫಲಿತಾಂಶ ಕೀ ಪಾಥ್
Fully Sponsored,ಸಂಪೂರ್ಣವಾಗಿ ಪ್ರಾಯೋಜಿಸಲಾಗಿದೆ
Not permitted. Please disable the Service Unit Type,ಅನುಮತಿಸಲಾಗಿಲ್ಲ. ದಯವಿಟ್ಟು ಸೇವೆಯ ಘಟಕ ಪ್ರಕಾರವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
Offline POS Settings,ಆಫ್ಲೈನ್ ಪಿಓಎಸ್ ಸೆಟ್ಟಿಂಗ್ಗಳು
Calculations,ಲೆಕ್ಕಾಚಾರಗಳು
Material Requested,ಮೆಟೀರಿಯಲ್ ವಿನಂತಿಸಲಾಗಿದೆ
Reference Row,ಉಲ್ಲೇಖ ಸಾಲು
Annual Allocation,ವಾರ್ಷಿಕ ಹಂಚಿಕೆ
Subcontract,ಉಪಗುತ್ತಿಗೆ
Valuation type charges can not marked as Inclusive,ಮೌಲ್ಯಮಾಪನ ವಿಧದ ಶುಲ್ಕಗಳು ಅಂತರ್ಗತವೆಂದು ಗುರುತಿಸುವುದಿಲ್ಲ
Account {0}: Parent account {1} does not belong to company: {2},ಖಾತೆ {0}: ಪೋಷಕ ಖಾತೆ {1} ಕಂಪನಿಗೆ ಸೇರಿಲ್ಲ: {2}
Failed to login,ಲಾಗಿನ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ
Items and Pricing,ವಸ್ತುಗಳು ಮತ್ತು ಬೆಲೆ ನಿಗದಿ
Payment Terms Template,ಪಾವತಿ ನಿಯಮಗಳು ಟೆಂಪ್ಲೇಟು
Previous Work Experience,ಹಿಂದಿನ ಕೆಲಸ ಅನುಭವ
Program,ಕಾರ್ಯಕ್ರಮ
Healthcare,ಹೆಲ್ತ್ಕೇರ್
Complaint,ದೂರು
Restrict to Countries,ದೇಶಗಳಿಗೆ ನಿರ್ಬಂಧಿಸಿ
Item Manager,ಐಟಂ ಮ್ಯಾನೇಜರ್
Currency of the Closing Account must be {0},ಮುಚ್ಚುವ ಖಾತೆಯ ಕರೆನ್ಸಿ {0} ಆಗಿರಬೇಕು
Opening Invoice Item,ಸರಕುಪಟ್ಟಿ ಐಟಂ ತೆರೆಯಲಾಗುತ್ತಿದೆ
Plan material for sub-assemblies,ಉಪ-ಸಭೆಗಳಿಗೆ ಯೋಜನಾ ವಸ್ತು
Hardware,ಹಾರ್ಡ್ವೇರ್
Action if Annual Budget Exceeded on MR,ಎಮ್ಆರ್ನಲ್ಲಿ ವಾರ್ಷಿಕ ಬಜೆಟ್ ಮೀರಿದರೆ ಕ್ರಿಯೆ
Advance Amount,ಅಡ್ವಾನ್ಸ್ ಮೊತ್ತ
Against Sales Invoice Item,ಮಾರಾಟದ ಸರಕುಪಟ್ಟಿ ಐಟಂ ವಿರುದ್ಧ
HR-EXP-.YYYY.-,HR-EXP - YYYY.-
Include Item In Manufacturing,ಉತ್ಪಾದನೆಯಲ್ಲಿ ಐಟಂ ಅನ್ನು ಸೇರಿಸಿ
Check in (group),ಚೆಕ್ ಇನ್ (ಗುಂಪು)
Do not show any symbol like $ etc next to currencies.,ಕರೆನ್ಸಿಗಳ ಬಳಿ $ ನಂತಹ ಯಾವುದೇ ಚಿಹ್ನೆಯನ್ನು ತೋರಿಸಬೇಡಿ.
Salary Component Type,ಸಂಬಳ ಕಾಂಪೊನೆಂಟ್ ಕೌಟುಂಬಿಕತೆ
The shareholder does not belong to this company,ಷೇರುದಾರನು ಈ ಕಂಪನಿಗೆ ಸೇರಿಲ್ಲ
Day(s) after the end of the invoice month,ಸರಕುಪಟ್ಟಿ ತಿಂಗಳ ನಂತರ ದಿನದ (ರು)
Vehicle Type,ವಾಹನ ಪ್ರಕಾರ
Healthcare Administrator,ಹೆಲ್ತ್ಕೇರ್ ನಿರ್ವಾಹಕ
Single Transaction Threshold,ಏಕ ವಹಿವಾಟು ಥ್ರೆಶ್ಹೋಲ್ಡ್
Broadcasting,ಬ್ರಾಡ್ಕಾಸ್ಟಿಂಗ್
Post Title Key,ಪೋಸ್ಟ್ ಶೀರ್ಷಿಕೆಯ ಕೀ
Customer Primary Address,ಗ್ರಾಹಕ ಪ್ರಾಥಮಿಕ ವಿಳಾಸ
Please select batches for batched item ,ಬ್ಯಾಟ್ ಮಾಡಿದ ಐಟಂಗಾಗಿ ಬ್ಯಾಚ್ಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Min Qty,ಕನಿಷ್ಠ Qty
Payment Deductions or Loss,ಪಾವತಿ ಕಡಿತ ಅಥವಾ ನಷ್ಟ
On Item Quantity,ಐಟಂ ಪ್ರಮಾಣದಲ್ಲಿ
Replace BOM and update latest price in all BOMs,BOM ಅನ್ನು ಬದಲಾಯಿಸಿ ಮತ್ತು ಎಲ್ಲಾ BOM ಗಳಲ್ಲಿ ಇತ್ತೀಚಿನ ಬೆಲೆಯನ್ನು ನವೀಕರಿಸಿ
Both Trial Period Start Date and Trial Period End Date must be set,ಪ್ರಾಯೋಗಿಕ ಅವಧಿಯ ಪ್ರಾರಂಭ ದಿನಾಂಕ ಮತ್ತು ಪ್ರಯೋಗ ಅವಧಿ ಅಂತ್ಯ ದಿನಾಂಕವನ್ನು ಹೊಂದಿಸಬೇಕು
No time sheets,ಸಮಯದ ಹಾಳೆಗಳು ಇಲ್ಲ
Statement Header Mapping,ಸ್ಟೇಟ್ಮೆಂಟ್ ಹೆಡರ್ ಮ್ಯಾಪಿಂಗ್
Mark Half Day,ಮಾರ್ಕ್ ಹಾಫ್ ಡೇ
Material Transfer for Manufacture,ಉತ್ಪಾದನೆಗಾಗಿ ಮೆಟೀರಿಯಲ್ ಟ್ರಾನ್ಸ್ಫರ್
Block Supplier,ಬ್ಲಾಕ್ ಸರಬರಾಜುದಾರ
Please enter Woocommerce Server URL,ದಯವಿಟ್ಟು Woocommerce ಸರ್ವರ್ URL ಅನ್ನು ನಮೂದಿಸಿ
From Place,ಸ್ಥಳದಿಂದ
No contacts with email IDs found.,ಇಮೇಲ್ ID ಗಳೊಂದಿಗಿನ ಯಾವುದೇ ಸಂಪರ್ಕಗಳು ಕಂಡುಬಂದಿಲ್ಲ.
Consumption Invoiced,ಬಳಕೆ ಇನ್ವಾಯ್ಸ್ಡ್
Requested Quantity,ವಿನಂತಿಸಲಾದ ಪ್ರಮಾಣ
Exit,ನಿರ್ಗಮನ
Dispatch Information,ಡಿಸ್ಪ್ಯಾಚ್ ಮಾಹಿತಿ
Basic Amount (Company Currency),ಮೂಲಭೂತ ಮೊತ್ತ (ಕಂಪನಿ ಕರೆನ್ಸಿ)
Selling Settings,ಸೆಟ್ಟಿಂಗ್ಗಳನ್ನು ಮಾರಾಟ ಮಾಡಲಾಗುತ್ತಿದೆ
A question must have more than one options,ಒಂದು ಪ್ರಶ್ನೆಯು ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಆಯ್ಕೆಗಳನ್ನು ಹೊಂದಿರಬೇಕು
Please set the Date Of Joining for employee {0},ಉದ್ಯೋಗಿಗೆ ಸೇರುವ ದಿನಾಂಕವನ್ನು ದಯವಿಟ್ಟು ಹೊಂದಿಸಿ {0}
About your company,ನಿಮ್ಮ ಕಂಪನಿಯ ಬಗ್ಗೆ
Fiscal Year {0} does not exist,ಹಣಕಾಸಿನ ವರ್ಷ {0} ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ
Leave Application,ರಜಾ ಅರ್ಜಿ
Maintenance Log,ನಿರ್ವಹಣೆ ಲಾಗ್
Invalid Posting Time,ಅಮಾನ್ಯ ಪೋಸ್ಟ್ ಸಮಯ
Discount,ರಿಯಾಯಿತಿ
Redeem Loyalty Points,ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟುಗಳನ್ನು ಪುನಃ ಪಡೆದುಕೊಳ್ಳಿ
Quotation Series,ಉದ್ಧರಣ ಸರಣಿ
Occupation,ಉದ್ಯೋಗ
Opening Stock,ಆರಂಭಿಕ ಸ್ಟಾಕ್
Supplier Score,ಪೂರೈಕೆದಾರ ಸ್ಕೋರ್
Only show Items from these Item Groups,ಈ ಐಟಂ ಗುಂಪುಗಳಿಂದ ಮಾತ್ರ ಐಟಂಗಳನ್ನು ತೋರಿಸು
Time In Mins,ಟೈಮ್ ಇನ್ ಮಿನ್ಸ್
Item {0} does not exist in the system or has expired,ಐಟಂ {0} ಸಿಸ್ಟಮ್ನಲ್ಲಿ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ ಅಥವಾ ಅವಧಿ ಮೀರಿದೆ
Price Discount Scheme,ಬೆಲೆ ರಿಯಾಯಿತಿ ಯೋಜನೆ
Hyper,ಹೈಪರ್
What does it do?,ಅದು ಏನು ಮಾಡುತ್ತದೆ?
Sales Invoice Trends,ಮಾರಾಟದ ಸರಕುಪಟ್ಟಿ ಟ್ರೆಂಡ್ಗಳು
Payment Entries,ಪಾವತಿ ನಮೂದುಗಳು
Class / Percentage,ವರ್ಗ / ಶೇಕಡಾವಾರು
Electronic Invoice Register,ವಿದ್ಯುನ್ಮಾನ ಸರಕುಪಟ್ಟಿ ನೋಂದಣಿ
Is Return (Credit Note),ರಿಟರ್ನ್ (ಕ್ರೆಡಿಟ್ ಗಮನಿಸಿ)
Lab Test Sample,ಲ್ಯಾಬ್ ಪರೀಕ್ಷಾ ಮಾದರಿ
status html,ಸ್ಥಿತಿ html
"For e.g. 2012, 2012-13","ಉದಾಹರಣೆಗೆ 2012, 2012-13"
disabled user,ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ ಬಳಕೆದಾರ
ES,ಇಎಸ್
