DocType: Accounting Period,Period Name,期间名称
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),延迟支付（天）
DocType: Payment Terms Template Detail,Payment Terms Template Detail,付款条款模板细节
DocType: Hotel Room Reservation,Guest Name,客人姓名
DocType: Delivery Note,Issue Credit Note,发行信用票据
DocType: Lab Prescription,Lab Prescription,实验室处方
,Delay Days,延迟天数
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,服务费用
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},序号：{0}已在销售费用清单中引用：{1}
DocType: Bank Statement Transaction Invoice Item,Invoice,费用清单
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,最高豁免金额
DocType: Purchase Invoice Item,Item Weight Details,物料重量
DocType: Asset Maintenance Log,Periodicity,周期性
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,会计年度{0}是必需的
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,净利润/亏损
DocType: Employee Group Table,ERPNext User ID,ERPNext用户ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,植株之间的最小距离，以获得最佳生长
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,请选择患者以获得规定的程序
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Defense
DocType: Salary Component,Abbr,缩写
DocType: Appraisal Goal,Score (0-5),得分（0-5）
DocType: Tally Migration,Tally Creditors Account,理货债权人账户
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},行{0}：{1} {2}不相匹配{3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,行＃{0}：
DocType: Timesheet,Total Costing Amount,总成本计算金额
DocType: Sales Invoice,Vehicle No,车辆编号
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,请选择价格清单
DocType: Accounts Settings,Currency Exchange Settings,外币汇率设置
DocType: Work Order Operation,Work In Progress,在制品
DocType: Leave Control Panel,Branch (optional),分支（可选）
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,请选择日期
DocType: Item Price,Minimum Qty ,最低数量
DocType: Finance Book,Finance Book,账簿
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,假期列表
apps/erpnext/erpnext/config/quality_management.py,Review and Action,审查和行动
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},此员工已有一个具有相同时间戳的日志。{0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,会计
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,销售价格清单
DocType: Patient,Tobacco Current Use,烟草当前使用
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,销售价
DocType: Cost Center,Stock User,库存用户
DocType: Soil Analysis,(Ca+Mg)/K,（钙+镁）/ K
DocType: Delivery Stop,Contact Information,联系信息
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,搜索任何东西......
DocType: Company,Phone No,电话号码
DocType: Delivery Trip,Initial Email Notification Sent,初始电子邮件通知已发送
DocType: Bank Statement Settings,Statement Header Mapping,对帐单抬头对照关系
,Sales Partners Commission,销售合作伙伴佣金
DocType: Soil Texture,Sandy Clay Loam,桑迪粘土壤土
DocType: Purchase Invoice,Rounding Adjustment,舍入调整
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,缩写不能超过5个字符
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,付款申请
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,查看分配给客户的忠诚度积分的日志。
DocType: Asset,Value After Depreciation,折旧后值
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry",未在工作订单{1}中找到转移的项目{0}，该项目未在库存条目中添加
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,有关
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,考勤日期不得早于员工入职日期
DocType: Grading Scale,Grading Scale Name,分级标准名称
DocType: Employee Training,Training Date,培训日期
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,将用户添加到市场
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,这是一个顶层（根）科目，不能被编辑。
DocType: POS Profile,Company Address,公司地址
DocType: BOM,Operations,操作
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},不能为{0}设置折扣授权
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,到目前为止，无法为销售回报生成电子方式账单JSON
DocType: Subscription,Subscription Start Date,订阅开始日期
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,如果未在患者中设置预约费用，则使用默认应收帐户。
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name",附加.csv文件有两列，一为旧名称，一个用于新名称
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,来自地址2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,从宣言中获取细节
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} 不在任一激活的财务年度中。
DocType: Packed Item,Parent Detail docname,上级详细文件名
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}",参考：{0}，物料代号：{1}和顾客：{2}
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,母公司中不存在{0} {1}
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,试用期结束日期不能在试用期开始日期之前
apps/erpnext/erpnext/utilities/user_progress.py,Kg,千克
DocType: Tax Withholding Category,Tax Withholding Category,预扣税类别
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,首先取消日记条目{0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},没有为行{1}的转包商品{0}指定物料清单
DocType: Vital Signs,Reflexes,反射
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0}结果提交
DocType: Item Attribute,Increment,增量
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,帮助结果
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,选择仓库...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,广告
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,公司代码在另一行已输入过，重复了
DocType: Patient,Married,已婚
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},不允许{0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,从...获取物料
DocType: Stock Entry,Send to Subcontractor,发送给分包商
DocType: Purchase Invoice,Apply Tax Withholding Amount,申请预扣税金额
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,完成的总数量不能大于数量
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},销售出货单{0}不能更新库存
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,记入贷方的总金额
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,没有物料
DocType: Asset Repair,Error Description,错误说明
DocType: Payment Reconciliation,Reconcile,核消（对帐）
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,杂货
DocType: Quality Inspection Reading,Reading 1,检验结果1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,养老基金
DocType: Exchange Rate Revaluation Account,Gain/Loss,收益/损失
DocType: Crop,Perennial,多年生
DocType: Program,Is Published,已发布
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,显示送货单
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",要允许超额结算，请在“帐户设置”或“项目”中更新“超额结算限额”。
DocType: Patient Appointment,Procedure,程序
DocType: Accounts Settings,Use Custom Cash Flow Format,使用自定义现金流量格式
DocType: SMS Center,All Sales Person,所有的销售人员
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**帮助你分配预算/目标跨越几个月，如果你在你的业务有季节性。
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,未找到物料
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,未分配薪资结构
DocType: Lead,Person Name,姓名
,Supplier Ledger Summary,供应商分类帐摘要
DocType: Sales Invoice Item,Sales Invoice Item,销售费用清单项目
DocType: Quality Procedure Table,Quality Procedure Table,质量程序表
DocType: Account,Credit,贷方
DocType: POS Profile,Write Off Cost Center,销帐成本中心
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",如“小学”或“大学”
apps/erpnext/erpnext/config/stock.py,Stock Reports,库存报表
DocType: Warehouse,Warehouse Detail,仓库详细信息
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,最后的碳检查日期不能是未来的日期
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,该期限结束日期不能晚于学年年终日期到这个词联系在一起（学年{}）。请更正日期，然后再试一次。
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",是固定资产不能被反选，因为存在资产记录的项目
DocType: Delivery Trip,Departure Time,出发时间
DocType: Vehicle Service,Brake Oil,刹车油
DocType: Tax Rule,Tax Type,税收类型
,Completed Work Orders,完成的工单
DocType: Support Settings,Forum Posts,论坛帖子
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",该任务已被列入后台工作。如果在后台处理有任何问题，系统将在此库存对帐中添加有关错误的注释并恢复到草稿阶段
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started",抱歉，优惠券代码有效期尚未开始
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,应税金额
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},你没有权限在{0}前添加或更改分录。
DocType: Leave Policy,Leave Policy Details,休假政策信息
DocType: BOM,Item Image (if not slideshow),物料图片(如果没有演示文稿)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,行＃{0}：对于工作订单{3}中的{2}数量的成品，未完成操作{1}。请通过工作卡{4}更新操作状态。
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,（小时率/ 60）*实际操作时间
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,行＃{0}：参考文档类型必须是费用报销或手工凭证之一
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,选择BOM
DocType: SMS Log,SMS Log,短信日志
DocType: Call Log,Ringing,铃声
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,出货物料成本
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,在{0}这个节日之间没有从日期和结束日期
DocType: Inpatient Record,Admission Scheduled,计划的准入时间
DocType: Student Log,Student Log,学生登录
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,供应商榜单。
DocType: Lead,Interested,当事的
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,开帐
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,程序：
DocType: Item,Copy From Item Group,从物料组复制
DocType: Journal Entry,Opening Entry,开帐凭证
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,账户仅用于支付
DocType: Loan,Repay Over Number of Periods,偿还期的超过数
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,生产数量不能少于零
DocType: Stock Entry,Additional Costs,额外费用
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,有交易的科目不能被转换为组。
DocType: Lead,Product Enquiry,产品查询
DocType: Education Settings,Validate Batch for Students in Student Group,验证学生组学生的批次
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},未找到员工的休假记录{0} {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,未实现汇兑损益科目
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,请先输入公司
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,请首先选择公司
DocType: Employee Education,Under Graduate,本科
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,请在人力资源设置中设置离职状态通知的默认模板。
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,目标类型
DocType: BOM,Total Cost,总成本
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,分配已过期！
DocType: Soil Analysis,Ca/K,钙/钾
DocType: Leave Type,Maximum Carry Forwarded Leaves,最大携带转发叶
DocType: Salary Slip,Employee Loan,员工贷款
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-。MM.-
DocType: Fee Schedule,Send Payment Request Email,发送付款申请电子邮件
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,物料{0}不存在于系统中或已过期
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,如果供应商被无限期封锁，请留空
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,房地产
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,对账单
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,制药
DocType: Purchase Invoice Item,Is Fixed Asset,是固定的资产
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,显示未来付款
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,此银行帐户已同步
DocType: Homepage,Homepage Section,主页部分
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},工单已{0}
DocType: Budget,Applicable on Purchase Order,适用于采购订单
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,未设置Salary Slips的密码策略
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,在CUTOMER组表中找到重复的客户群
DocType: Location,Location Name,地点名称
DocType: Quality Procedure Table,Responsible Individual,负责任的个人
DocType: Naming Series,Prefix,字首
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,活动地点
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,可用库存
DocType: Asset Settings,Asset Settings,资产设置
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,耗材
DocType: Student,B-,B-
DocType: Assessment Result,Grade,职级
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,物料代码&gt;物料组&gt;品牌
DocType: Restaurant Table,No of Seats,座位数
DocType: Sales Invoice,Overdue and Discounted,逾期和折扣
