DocType: Accounting Period,Period Name,Nom de période
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Ligne #{0} : Le Prix doit être le même que {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Statut d'Expiration d'Article du Lot
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Traite Bancaire
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Nombre total d&#39;entrées en retard
DocType: Mode of Payment Account,Mode of Payment Account,Compte du Mode de Paiement
apps/erpnext/erpnext/config/healthcare.py,Consultation,Consultation
DocType: Accounts Settings,Show Payment Schedule in Print,Afficher le calendrier de paiement dans Imprimer
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Variantes d&#39;article mises à jour
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Ventes et retours
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Afficher les Variantes
DocType: Academic Term,Academic Term,Terme Académique
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Sous-catégorie d'exemption de taxe
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Veuillez définir une adresse sur la société &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Matériel
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",La prestation sociale maximal de l'employé {0} est supérieure à {1} par la somme {2} du prorata du montant de la demande d'aide et du montant réclamé précédemment
DocType: Opening Invoice Creation Tool Item,Quantity,Quantité
,Customers Without Any Sales Transactions,Clients sans transactions de vente
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Le tableau de comptes ne peut être vide.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Utiliser l&#39;API Google Maps Direction pour calculer les heures d&#39;arrivée estimées
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Prêts (Passif)
DocType: Patient Encounter,Encounter Time,Heure de la consultation
DocType: Staffing Plan Detail,Total Estimated Cost,Coût total estimé
DocType: Employee Education,Year of Passing,Année de Passage
DocType: Routing,Routing Name,Nom d&#39;acheminement
DocType: Item,Country of Origin,Pays d'Origine
DocType: Soil Texture,Soil Texture Criteria,Critères de texture du sol
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,En Stock
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Détails du contact principal
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Tickets ouverts
DocType: Production Plan Item,Production Plan Item,Article du Plan de Production
DocType: Leave Ledger Entry,Leave Ledger Entry,Quitter le grand livre
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Utilisateur {0} est déjà attribué à l'Employé {1}
DocType: Lab Test Groups,Add new line,Ajouter une nouvelle ligne
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Créer une piste
DocType: Production Plan,Projected Qty Formula,Formule de quantité projetée
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Soins de Santé
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Retard de paiement (jours)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Détail du modèle de conditions de paiement
DocType: Hotel Room Reservation,Guest Name,Nom de l&#39;invité
DocType: Delivery Note,Issue Credit Note,Note de crédit d&#39;émission
DocType: Lab Prescription,Lab Prescription,Prescription de laboratoire
,Delay Days,Jours de retard
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Frais de Service
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Numéro de Série: {0} est déjà référencé dans la Facture de Vente: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Facture
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Montant maximum exonéré
DocType: Purchase Invoice Item,Item Weight Details,Détails du poids de l&#39;article
DocType: Asset Maintenance Log,Periodicity,Périodicité
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Exercice Fiscal {0} est nécessaire
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Résultat net
DocType: Employee Group Table,ERPNext User ID,ID utilisateur ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,La distance minimale entre les rangées de plantes pour une croissance optimale
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Veuillez sélectionner un patient pour obtenir la procédure prescrite
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Défense
DocType: Salary Component,Abbr,Abré
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Compte de créanciers
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Ligne {0} : {1} {2} ne correspond pas à {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Ligne # {0} :
DocType: Timesheet,Total Costing Amount,Montant Total des Coûts
DocType: Sales Invoice,Vehicle No,N° du Véhicule
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Veuillez sélectionner une Liste de Prix
DocType: Accounts Settings,Currency Exchange Settings,Paramètres d&#39;échange de devises
DocType: Work Order Operation,Work In Progress,Travaux En Cours
DocType: Leave Control Panel,Branch (optional),Branche (optionnel)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Ligne {0}: l&#39;utilisateur n&#39;a pas appliqué la règle <b>{1}</b> à l&#39;élément <b>{2}.</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Veuillez sélectionner une date
DocType: Item Price,Minimum Qty ,Quantité minimum
DocType: Finance Book,Finance Book,Livre comptable
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Liste de Vacances
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Révision et action
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Cet employé a déjà un journal avec le même horodatage. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Comptable
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Liste de prix de vente
DocType: Patient,Tobacco Current Use,Consommation actuelle de tabac
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Prix de vente
DocType: Cost Center,Stock User,Chargé des Stocks
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Informations de contact
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Rechercher n&#39;importe quoi ...
DocType: Company,Phone No,N° de Téléphone
DocType: Delivery Trip,Initial Email Notification Sent,Notification initiale par e-mail envoyée
DocType: Bank Statement Settings,Statement Header Mapping,Mapping d'en-tête de déclaration
,Sales Partners Commission,Commission des Partenaires de Vente
DocType: Soil Texture,Sandy Clay Loam,Limon argilo-sableux
DocType: Purchase Invoice,Rounding Adjustment,Arrondi
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,L'abbréviation ne peut pas avoir plus de 5 caractères
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Requête de Paiement
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Pour afficher les journaux des points de fidélité attribués à un client.
DocType: Asset,Value After Depreciation,Valeur Après Amortissement
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","L&#39;élément transféré {0} n&#39;a pas été trouvé dans l&#39;ordre de travail {1}, l&#39;élément n&#39;a pas été ajouté dans l&#39;entrée de stock."
DocType: Student,O+,O+
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,En Relation
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Date de présence ne peut pas être antérieure à la date d'embauche de l'employé
DocType: Grading Scale,Grading Scale Name,Nom de l'Échelle de Notation
DocType: Employee Training,Training Date,Date de formation
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Ajouter des utilisateurs à la Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Il s'agit d'un compte racine qui ne peut être modifié.
DocType: POS Profile,Company Address,Adresse de la Société
DocType: BOM,Operations,Opérations
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Impossible de définir l'autorisation sur la base des Prix Réduits pour {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,La facture e-Way JSON ne peut pas être générée pour le retour de vente à partir de maintenant
DocType: Subscription,Subscription Start Date,Date de début de l&#39;abonnement
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Compte de tiers par défaut à utiliser s'il n'est pas défini dans la fiche du patient pour comptabiliser les rendez-vous.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Attacher un fichier .csv avec deux colonnes, une pour l'ancien nom et une pour le nouveau nom"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Ligne d'addresse 2 (Origine)
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Obtenir des détails de la déclaration
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} dans aucun Exercice actif.
DocType: Packed Item,Parent Detail docname,Nom de Document du Détail Parent
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Référence: {0}, Code de l&#39;article: {1} et Client: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} n&#39;est pas présent dans la société mère
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,La date de fin de la période d'évaluation ne peut pas précéder la date de début de la période d'évaluation
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Catégorie de taxation à la source
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Annuler d'abord l'écriture de journal {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},La LDM n'est pas spécifiée pour l'article sous-traité {0} sur la ligne {1}
DocType: Vital Signs,Reflexes,Les réflexes
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,Résultat {0} soumis
DocType: Item Attribute,Increment,Incrément
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Aide Résultats pour
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Sélectionner l'Entrepôt ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Publicité
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,La même Société a été entrée plus d'une fois
DocType: Patient,Married,Marié
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Non autorisé pour {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Obtenir les articles de
DocType: Stock Entry,Send to Subcontractor,Envoyer au sous-traitant
DocType: Purchase Invoice,Apply Tax Withholding Amount,Appliquer le montant de la retenue d&#39;impôt
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,La quantité totale complétée ne peut pas être supérieure à la quantité
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Stock ne peut pas être mis à jour pour le Bon de Livraison {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Montant total crédité
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Aucun article référencé
DocType: Asset Repair,Error Description,Erreur de description
DocType: Payment Reconciliation,Reconcile,Réconcilier
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Épicerie
DocType: Quality Inspection Reading,Reading 1,Lecture 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Fonds de Pension
DocType: Exchange Rate Revaluation Account,Gain/Loss,Profit/perte
DocType: Crop,Perennial,Vivace
DocType: Program,Is Published,Est publié
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Afficher les notes de livraison
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Pour autoriser la facturation excédentaire, mettez à jour &quot;Provision de facturation excédentaire&quot; dans les paramètres de compte ou le poste."
DocType: Patient Appointment,Procedure,Procédure
DocType: Accounts Settings,Use Custom Cash Flow Format,Utiliser le format de flux de trésorerie personnalisé
DocType: SMS Center,All Sales Person,Tous les Commerciaux
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Répartition Mensuelle** vous aide à diviser le Budget / la Cible sur plusieurs mois si vous avez de la saisonnalité dans votre entreprise.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Pas d'objets trouvés
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Grille des Salaires Manquante
DocType: Lead,Person Name,Nom de la Personne
,Supplier Ledger Summary,Récapitulatif du grand livre des fournisseurs
DocType: Sales Invoice Item,Sales Invoice Item,Article de la Facture de Vente
DocType: Quality Procedure Table,Quality Procedure Table,Tableau des procédures de qualité
DocType: Account,Credit,Crédit
DocType: POS Profile,Write Off Cost Center,Centre de Coûts des Reprises
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""","e.g. ""École Primaire"" ou ""Université"""
apps/erpnext/erpnext/config/stock.py,Stock Reports,Rapports de Stock
DocType: Warehouse,Warehouse Detail,Détail de l'Entrepôt
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,La date du dernier bilan carbone ne peut pas être une date future
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,La Date de Fin de Terme ne peut pas être postérieure à la Date de Fin de l'Année Académique à laquelle le terme est lié (Année Académique {}). Veuillez corriger les dates et essayer à nouveau.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",'Est un Actif Immobilisé’ doit être coché car il existe une entrée d’Actif pour cet article
DocType: Delivery Trip,Departure Time,Heure de départ
DocType: Vehicle Service,Brake Oil,Liquide de Frein
DocType: Tax Rule,Tax Type,Type de Taxe
,Completed Work Orders,Ordres de travail terminés
DocType: Support Settings,Forum Posts,Messages du forum
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","La tâche a été mise en file d&#39;attente en tant que tâche en arrière-plan. En cas de problème de traitement en arrière-plan, le système ajoute un commentaire concernant l&#39;erreur sur ce rapprochement des stocks et revient au stade de brouillon."
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Désolé, la validité du code promo n&#39;a pas commencé"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Montant Taxable
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Vous n'êtes pas autorisé à ajouter ou faire une mise à jour des écritures avant le {0}
DocType: Leave Policy,Leave Policy Details,Détails de la politique de congé
DocType: BOM,Item Image (if not slideshow),Image de l'Article (si ce n'est diaporama)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Ligne n ° {0}: l&#39;opération {1} n&#39;est pas terminée pour {2} quantité de produits finis dans l&#39;ordre de travail {3}. Veuillez mettre à jour le statut de l&#39;opération via la carte de travail {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Tarif Horaire / 60) * Temps Réel d’Opération
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Ligne {0}: Le Type de Document de Référence doit être soit une Note de Frais soit une Écriture de Journal
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Sélectionner LDM
DocType: SMS Log,SMS Log,Journal des SMS
DocType: Call Log,Ringing,Sonnerie
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Coût des Articles Livrés
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Le jour de vacances {0} n’est pas compris entre la Date Initiale et la Date Finale
DocType: Inpatient Record,Admission Scheduled,Admission prévue
DocType: Student Log,Student Log,Journal des Étudiants
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Modèles de Classements Fournisseurs.
DocType: Lead,Interested,Intéressé
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Ouverture
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Programme:
DocType: Item,Copy From Item Group,Copier Depuis un Groupe d'Articles
DocType: Journal Entry,Opening Entry,Écriture d'Ouverture
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Compte Bénéficiaire Seulement
DocType: Loan,Repay Over Number of Periods,Rembourser Sur le Nombre de Périodes
