DocType: Accounting Period,Period Name,Időszak neve
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Érvénytelen hitelesítő adatok
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC elérhető (teljes opcióban)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS beállítások
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Kuponok feldolgozása
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Sor # {0}: Árnak eggyeznie kell {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Kötegelt tétel Lejárat állapota
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank tervezet
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Összes kései bejegyzés
DocType: Mode of Payment Account,Mode of Payment Account,Fizetési számla módja
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konzultáció
DocType: Accounts Settings,Show Payment Schedule in Print,Fizetési ütemezés megjelenítése a nyomtatásban
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Elemváltozatok frissítve
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Értékesítés és visszatérítés
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Jelenítse meg a változatokat
DocType: Academic Term,Academic Term,Akadémia szemeszter
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Munkavállalói adókedvezmény alcsoportja
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',"Kérjük, állítson be egy címet a (z) &#39;% s&#39; cégnél"
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Anyag
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount","A {0} munkavállaló legmagasabb haszna meghaladja ezt:  {1} , a juttatási kérelem arányos komponens\mennyiség hasznának összegével {2} és az előző igényelt összeggel"
DocType: Opening Invoice Creation Tool Item,Quantity,Mennyiség
,Customers Without Any Sales Transactions,Vevők bármilyen értékesítési tranzakció nélkül
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Számlák tábla nem lehet üres.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,A becsült érkezési idő kiszámításához használja a Google Maps Direction API-t
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Hitelek (kötelezettségek)
DocType: Patient Encounter,Encounter Time,Találkozó ideje
DocType: Staffing Plan Detail,Total Estimated Cost,Teljes becsült költség
DocType: Employee Education,Year of Passing,Elmúlt Év
DocType: Routing,Routing Name,Útvonal neve
DocType: Item,Country of Origin,Származási ország
DocType: Soil Texture,Soil Texture Criteria,Talaj textúra kritériumai
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Készletben
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Elsődleges kapcsolattartási adatok
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,"Problémák, Ügyek megnyitása"
DocType: Production Plan Item,Production Plan Item,Gyártási terv tétele
DocType: Leave Ledger Entry,Leave Ledger Entry,Hagyja el a főkönyvi bejegyzést
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Felhasználó {0} már hozzá van rendelve ehhez az Alkalmazotthoz {1}
DocType: Lab Test Groups,Add new line,Új sor hozzáadása
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Hozzon létre ólomot
DocType: Production Plan,Projected Qty Formula,Várható mennyiségű képlet
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Egészségügyi ellátás
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Fizetési késedelem (napok)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Fizetési feltételek sablonjának részletei
DocType: Hotel Room Reservation,Guest Name,Vendég neve
DocType: Delivery Note,Issue Credit Note,Kiadási hiteljegyzés
DocType: Lab Prescription,Lab Prescription,Labor rendelvények
,Delay Days,Késedelem napokban
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Szolgáltatás költsége
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Sorozat szám: {0} már hivatkozott ezen az Értékesítési számlán: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Számla
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Legmagasabb mentesített összeg
DocType: Purchase Invoice Item,Item Weight Details,Tétel súly részletei
DocType: Asset Maintenance Log,Periodicity,Időszakosság
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Pénzügyi év {0} szükséges
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Nettó nyereség / veszteség
DocType: Employee Group Table,ERPNext User ID,ERPNext felhasználói azonosító
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Minimális távolság a növények sorai között az optimális növekedés érdekében
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Válassza ki a Páciens elemet az előírt eljárás megkezdéséhez
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Védelem
DocType: Salary Component,Abbr,Röv.
DocType: Appraisal Goal,Score (0-5),Pontszám (0-5)
DocType: Tally Migration,Tally Creditors Account,Tally Hitelezők számla
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Sor {0}: {1} {2} nem egyezik a {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Row # {0}:
DocType: Timesheet,Total Costing Amount,Összes Költség összege
DocType: Sales Invoice,Vehicle No,Jármű sz.
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,"Kérjük, válasszon árjegyzéket"
DocType: Accounts Settings,Currency Exchange Settings,Valutaváltási beállítások
DocType: Work Order Operation,Work In Progress,Dolgozunk rajta
DocType: Leave Control Panel,Branch (optional),Ág (választható)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,{0} sor: a felhasználó nem alkalmazta a (z) <b>{1}</b> szabályt a <b>(z)</b> <b>{2}</b> elemre
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,"Kérjük, válasszon dátumot"
DocType: Item Price,Minimum Qty ,Minimális mennyiség
DocType: Finance Book,Finance Book,Pénzügyi könyv
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Szabadnapok listája
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Felülvizsgálat és cselekvés
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Ennek az alkalmazottnak már van naplója ugyanazon időbélyeggel. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Könyvelő
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Értékesítési ár-lista
DocType: Patient,Tobacco Current Use,Dohányzás jelenlegi felhasználása
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Értékesítési ár
DocType: Cost Center,Stock User,Készlet Felhasználó
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg)/K
DocType: Delivery Stop,Contact Information,Elérhetőség
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Bármi keresése ...
DocType: Company,Phone No,Telefonszám
DocType: Delivery Trip,Initial Email Notification Sent,Kezdeti e-mail értesítés elküldve
DocType: Bank Statement Settings,Statement Header Mapping,Nyilvántartó fejléc feltérképezése
,Sales Partners Commission,Vevő partner jutaléka
DocType: Soil Texture,Sandy Clay Loam,Homokos agyag termőföld
DocType: Purchase Invoice,Rounding Adjustment,Kerekítés beállítása
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,"Rövidítés nem lehet több, mint 5 karakter"
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Fizetési kérelem
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Az ügyfélhez rendelt Loyalty Pontok naplóinak megtekintése.
DocType: Asset,Value After Depreciation,Eszközök értékcsökkenés utáni
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Nem találtam átadott {0} cikket a (z) {1} munkarendelésben, az elem nem került hozzáadásra a készletbejegyzéshez"
DocType: Student,O+,ALK+
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Kapcsolódó
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,"Részvétel dátuma nem lehet kisebb, mint a munkavállaló belépési dátuma"
DocType: Grading Scale,Grading Scale Name,Osztályozás időszak neve
DocType: Employee Training,Training Date,Képzés dátuma
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Felhasználók hozzáadása a piactéren
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Ez egy forrás fiók és nem lehet szerkeszteni.
DocType: POS Profile,Company Address,Vállalkozás címe
DocType: BOM,Operations,Műveletek
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Nem lehet beállítani engedélyt a kedvezmény alapján erre: {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,Az e-Way Bill JSON egyelőre nem generálható az értékesítés visszatérítésére
DocType: Subscription,Subscription Start Date,Előfizetés kezdő dátuma
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Az alapértelmezett követelések, amelyeket akkor kell használni, ha nem a betegen van beállítva a találkozó költségeinek könyvelése."
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Mellékeljen .csv fájlt két oszloppal, egyik a régi névvel, a másik az új névvel"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Kiindulási cím 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,További részletek a nyilatkozatból
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} egyik aktív pénzügyi évben sem.
DocType: Packed Item,Parent Detail docname,Fő  docname részletek
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Referencia: {0}, pont kód: {1} és az ügyfél: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} nincs jelen ebben az anyavállalatban
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,A próbaidőszak befejezési dátuma nem lehet a próbaidőszak kezdete előtti
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Adó-visszatartási kategória
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Először törölje a {0} napló bejegyzést
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},ANYAGJ nincs megadva az alvállalkozó {0} tételéhez a(z) {1} sorban
DocType: Vital Signs,Reflexes,Reflexek
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Eredmény benyújtva
DocType: Item Attribute,Increment,Növekmény
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,A találatok forrása
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Válasszon Raktárat...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Reklám
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Ugyanez a vállalat szerepel többször
DocType: Patient,Married,Házas
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Nem engedélyezett erre {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Tételeket kér le innen
DocType: Stock Entry,Send to Subcontractor,Küldés alvállalkozónak
DocType: Purchase Invoice,Apply Tax Withholding Amount,Adja meg az adóvisszatérítés összegét
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,"A teljes kitöltött mennyiség nem lehet nagyobb, mint a mennyiség"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Készlet nem frissíthető ezzel a szállítólevéllel {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Összesen jóváírt összeg
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Nincsenek listázott tételek
DocType: Asset Repair,Error Description,Hiba leírás
DocType: Payment Reconciliation,Reconcile,Összeegyeztetni
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Élelmiszerbolt
DocType: Quality Inspection Reading,Reading 1,Olvasás 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Nyugdíjpénztárak
DocType: Exchange Rate Revaluation Account,Gain/Loss,Nyereség/Veszteség
DocType: Crop,Perennial,Állandó
DocType: Program,Is Published,Megjelent
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Szállítási jegyzetek megjelenítése
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",A túlzott számlázás engedélyezéséhez frissítse a &quot;Fiókbeállítások felett&quot; pontot a &quot;Túlfizetési támogatás&quot; alatt.
DocType: Patient Appointment,Procedure,Eljárás
DocType: Accounts Settings,Use Custom Cash Flow Format,Használja az egyéni pénzforgalom formátumot
DocType: SMS Center,All Sales Person,Összes értékesítő
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"* Havi Felbontás** segít felbontani a Költségvetést / Célt a hónapok között, ha vállalkozásod szezonális."
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Nem talált tételeket
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Bérrendszer Hiányzó
DocType: Lead,Person Name,Személy neve
,Supplier Ledger Summary,Beszállítói könyvelés összefoglalása
DocType: Sales Invoice Item,Sales Invoice Item,Kimenő értékesítési számla tételei
DocType: Quality Procedure Table,Quality Procedure Table,Minőségi eljárás táblázat
DocType: Account,Credit,Tőlünk követelés
DocType: POS Profile,Write Off Cost Center,Leíró Költséghely
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""","pl. ""általános iskola"" vagy ""egyetem"""
apps/erpnext/erpnext/config/stock.py,Stock Reports,Készlet jelentések
DocType: Warehouse,Warehouse Detail,Raktár részletek
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Az utolsó szén-dioxid-ellenőrzési dátum nem lehet jövőbeli dátum
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"A feltétel végső dátuma nem lehet későbbi, mint a tanév év végi időpontja, amelyhez a kifejezés kapcsolódik (Tanév {}). Kérjük javítsa ki a dátumot, és próbálja újra."
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Ez álló-eszköz"" nem lehet kijelöletlen, mert Tárgyi eszköz rekord bejegyzés létezik ellen tételként"
DocType: Delivery Trip,Departure Time,Indulás ideje
DocType: Vehicle Service,Brake Oil,Fékolaj
DocType: Tax Rule,Tax Type,Adónem
,Completed Work Orders,Elvégzett munka rendelések
DocType: Support Settings,Forum Posts,Fórum hozzászólások
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","A feladat hátteret kapott. Ha a háttérben történő feldolgozás kérdése merül fel, a rendszer megjegyzést fűz a készlet-egyeztetés hibájához, és visszatér a Piszkozat szakaszba"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started",Sajnos a kuponkód érvényessége még nem kezdődött meg
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Adóalap
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Nincs engedélye bejegyzés hozzáadására és frissítésére előbb mint: {0}
DocType: Leave Policy,Leave Policy Details,Távollét szabályok részletei
DocType: BOM,Item Image (if not slideshow),Tétel Kép (ha nem slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,"{0} sor: A (z) {1} művelet a (z) {3} munkarenden lévő {2} mennyiségű készterméknél nem fejeződött be. Kérjük, frissítse a működési állapotot a (z) {4} Job Card segítségével."
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Óra érték / 60) * aktuális üzemidő
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,#{0} sor: A referencia dokumentum típusának a Költség igény vagy Jóváírás bejegyzések egyikének kell lennie
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Válasszon Anyagj
DocType: SMS Log,SMS Log,SMS napló
DocType: Call Log,Ringing,gyűrűzés
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Költségét a szállított tételeken
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Ez az ünnep: {0} nincs az induló és a végső dátum közt
DocType: Inpatient Record,Admission Scheduled,Felvétel ütemezve
DocType: Student Log,Student Log,Tanuló Belépés
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Beszállító állományainak sablonjai.
DocType: Lead,Interested,Érdekelt
