DocType: Accounting Period,Period Name,ชื่อช่วงเวลา
DocType: Department,Leave Approvers,ผู้อนุมัติการลา
DocType: Employee,Bio / Cover Letter,จดหมายชีวภาพ / หนังสือปกอ่อน
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,ค้นหารายการ ...
DocType: Patient Encounter,Investigations,สืบสวน
DocType: Restaurant Order Entry,Click Enter To Add,คลิก Enter เพื่อเพิ่ม
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL",ไม่มีค่าสำหรับรหัสผ่านรหัส API หรือ Shopify URL
DocType: Employee,Rented,เช่า
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,บัญชีทั้งหมด
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,ไม่สามารถโอนพนักงานที่มีสถานะเหลือ
DocType: Vehicle Service,Mileage,ระยะทาง
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,คุณไม่อยากที่จะทิ้งสินทรัพย์นี้?
DocType: Drug Prescription,Update Schedule,อัปเดตตารางเวลา
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,เลือกผู้ผลิตเริ่มต้น
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,แสดงพนักงาน
DocType: Payroll Period,Standard Tax Exemption Amount,จำนวนยกเว้นภาษีมาตรฐาน
DocType: Exchange Rate Revaluation Account,New Exchange Rate,อัตราแลกเปลี่ยนใหม่
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},สกุลเงินเป็นสิ่งจำเป็นสำหรับราคา {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* จะถูกคำนวณในขณะทำรายการ
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,ติดต่อลูกค้า
DocType: Shift Type,Enable Auto Attendance,เปิดใช้งานการเข้าร่วมอัตโนมัติ
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,กรุณาใส่คลังสินค้าและวันที่
DocType: Lost Reason Detail,Opportunity Lost Reason,โอกาสสูญเสียเหตุผล
DocType: Patient Appointment,Check availability,ตรวจสอบความพร้อมใช้งาน
DocType: Retention Bonus,Bonus Payment Date,วันที่ชำระเงินโบนัส
DocType: Employee,Job Applicant,ผู้สมัครงาน
DocType: Job Card,Total Time in Mins,เวลาทั้งหมดเป็นนาที
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,นี้ขึ้นอยู่กับการทำธุรกรรมกับผู้จัดหาสินค้านี้ ดูระยะเวลารายละเอียดด้านล่าง
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,เปอร์เซ็นต์การผลิตมากเกินไปสำหรับใบสั่งงาน
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,กฎหมาย
DocType: Sales Invoice,Transport Receipt Date,วันที่รับใบเสร็จการขนส่ง
DocType: Shopify Settings,Sales Order Series,ซีรี่ส์ใบสั่งขาย
DocType: Vital Signs,Tongue,ลิ้น
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},ประเภทภาษีที่เกิดขึ้นจริงไม่สามารถรวมอยู่ในราคาสินค้าในแถว {0}
DocType: Allowed To Transact With,Allowed To Transact With,อนุญาตให้ดำเนินการด้วย
DocType: Bank Guarantee,Customer,ลูกค้า
DocType: Purchase Receipt Item,Required By,ที่จำเป็นโดย
DocType: Delivery Note,Return Against Delivery Note,กลับไปกับใบส่งมอบ
DocType: Asset Category,Finance Book Detail,การเงิน Book Detail
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,การคิดค่าเสื่อมราคาทั้งหมดได้รับการจอง
DocType: Purchase Order,% Billed,% เรียกเก็บแล้ว
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,หมายเลขบัญชีเงินเดือน
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),อัตราแลกเปลี่ยนจะต้องเป็นเช่นเดียวกับ {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,ยกเว้น HRA
DocType: Sales Invoice,Customer Name,ชื่อลูกค้า
DocType: Vehicle,Natural Gas,ก๊าซธรรมชาติ
DocType: Project,Message will sent to users to get their status on the project,ข้อความจะถูกส่งไปยังผู้ใช้เพื่อรับสถานะของพวกเขาในโครงการ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},บัญชีธนาคารไม่สามารถตั้งชื่อเป็น {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA ตามโครงสร้างเงินเดือน
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,หัว (หรือกลุ่ม) กับบัญชีรายการที่จะทำและจะรักษายอด
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),ที่โดดเด่นสำหรับ {0} ไม่ สามารถน้อยกว่า ศูนย์ ( {1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,วันหยุดบริการต้องเป็นวันที่เริ่มบริการ
DocType: Manufacturing Settings,Default 10 mins,เริ่มต้น 10 นาที
DocType: Leave Type,Leave Type Name,ฝากชื่อประเภท
apps/erpnext/erpnext/templates/pages/projects.js,Show open,แสดงเปิด
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,ชุด ล่าสุด ที่ประสบความสำเร็จ
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,เช็คเอาท์
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} ในแถว {1}
DocType: Asset Finance Book,Depreciation Start Date,ค่าเสื่อมราคาวันที่เริ่มต้น
DocType: Pricing Rule,Apply On,สมัคร เมื่อวันที่
DocType: Item Price,Multiple Item prices.,ราคา หลายรายการ
,Purchase Order Items To Be Received,รายการสั่งซื้อที่จะได้รับ
DocType: SMS Center,All Supplier Contact,ติดต่อผู้ผลิตทั้งหมด
DocType: Support Settings,Support Settings,การตั้งค่าการสนับสนุน
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},เพิ่มบัญชี {0} ใน บริษัท ย่อย {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,ข้อมูลประจำตัวที่ไม่ถูกต้อง
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC ว่าง (ไม่ว่าจะอยู่ในส่วน op แบบเต็ม)
DocType: Amazon MWS Settings,Amazon MWS Settings,การตั้งค่า Amazon MWS
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,กำลังประมวลผลบัตรกำนัล
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,แถว # {0}: ให้คะแนนจะต้องเป็นเช่นเดียวกับ {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Batch รายการสถานะหมดอายุ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,ตั๋วแลกเงิน
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,ผลงานล่าช้าทั้งหมด
DocType: Mode of Payment Account,Mode of Payment Account,โหมดของการบัญชีการชำระเงิน
apps/erpnext/erpnext/config/healthcare.py,Consultation,การปรึกษาหารือ
DocType: Accounts Settings,Show Payment Schedule in Print,แสดงกำหนดการชำระเงินในการพิมพ์
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,อัพเดตรายการตัวแปร
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,การขายและการคืนสินค้า
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,แสดงหลากหลายรูปแบบ
DocType: Academic Term,Academic Term,ระยะทางวิชาการ
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,ประเภทยกเว้นภาษีของพนักงาน
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',กรุณาตั้งที่อยู่ใน บริษัท &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,วัสดุ
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",ผลประโยชน์สูงสุดของพนักงาน {0} เกิน {1} โดยผลรวม {2} ของแอ็พพลิเคชัน pro-rata component \ amount และจำนวนที่อ้างสิทธิ์ก่อนหน้านี้
DocType: Opening Invoice Creation Tool Item,Quantity,จำนวน
,Customers Without Any Sales Transactions,ลูกค้าที่ไม่มียอดขาย
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,ตารางบัญชีต้องไม่ว่างเปล่า
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,ใช้ Google Maps Direction API เพื่อคำนวณเวลามาถึงโดยประมาณ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),เงินให้กู้ยืม ( หนี้สิน )
DocType: Patient Encounter,Encounter Time,พบเวลา
DocType: Staffing Plan Detail,Total Estimated Cost,ค่าใช้จ่ายโดยรวม
DocType: Employee Education,Year of Passing,ปีที่ผ่าน
DocType: Routing,Routing Name,ชื่อเส้นทาง
DocType: Item,Country of Origin,ประเทศแหล่งกำเนิดสินค้า
DocType: Soil Texture,Soil Texture Criteria,เกณฑ์พื้นผิวดิน
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,ในสต็อก
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,รายละเอียดการติดต่อหลัก
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,เปิดประเด็น
DocType: Production Plan Item,Production Plan Item,สินค้าแผนการผลิต
DocType: Leave Ledger Entry,Leave Ledger Entry,ออกจากรายการบัญชีแยกประเภท
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},ผู้ใช้ {0} จะถูก กำหนดให้กับ พนักงาน {1}
DocType: Lab Test Groups,Add new line,เพิ่มบรรทัดใหม่
apps/erpnext/erpnext/utilities/activation.py,Create Lead,สร้างลูกค้าเป้าหมาย
DocType: Production Plan,Projected Qty Formula,สูตรปริมาณที่คาดการณ์
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,การดูแลสุขภาพ
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),ความล่าช้าในการชำระเงิน (วัน)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,รายละเอียดเทมเพลตการชำระเงิน
DocType: Hotel Room Reservation,Guest Name,ชื่อแขก
DocType: Delivery Note,Issue Credit Note,ออกใบลดหนี้
DocType: Lab Prescription,Lab Prescription,การกําหนด Lab
,Delay Days,Delay Days
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,ค่าใช้จ่ายในการให้บริการ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},หมายเลขซีเรียล: {0} มีการอ้างถึงในใบแจ้งหนี้การขายแล้ว: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,ใบกำกับสินค้า
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,จำนวนเงินที่ได้รับการยกเว้นสูงสุด
DocType: Purchase Invoice Item,Item Weight Details,รายละเอียดน้ำหนักรายการ
DocType: Asset Maintenance Log,Periodicity,การเป็นช่วง ๆ
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,ปีงบประมาณ {0} จะต้อง
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,กำไร / ขาดทุนสุทธิ
DocType: Employee Group Table,ERPNext User ID,ERPNext ID ผู้ใช้
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,ระยะห่างระหว่างแถวของพืชน้อยที่สุดสำหรับการเจริญเติบโตที่ดีที่สุด
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,กรุณาเลือกผู้ป่วยที่จะได้รับขั้นตอนที่กำหนด
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,ฝ่ายจำเลย
DocType: Salary Component,Abbr,ตัวอักษรย่อ
DocType: Appraisal Goal,Score (0-5),คะแนน (0-5)
DocType: Tally Migration,Tally Creditors Account,บัญชีเจ้าหนี้
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},แถว {0}: {1} {2} ไม่ตรงกับ {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,แถว # {0}:
DocType: Timesheet,Total Costing Amount,จํานวนต้นทุนรวม
DocType: Sales Invoice,Vehicle No,เลขยานพาหนะ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,เลือกรายชื่อราคา
DocType: Accounts Settings,Currency Exchange Settings,การตั้งค่าสกุลเงิน
DocType: Work Order Operation,Work In Progress,ทำงานในความคืบหน้า
DocType: Leave Control Panel,Branch (optional),สาขา (ไม่จำเป็น)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,แถว {0}: ผู้ใช้ไม่ได้ใช้กฎ <b>{1}</b> กับรายการ <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,กรุณาเลือกวันที่
DocType: Item Price,Minimum Qty ,จำนวนขั้นต่ำ
DocType: Finance Book,Finance Book,หนังสือการเงิน
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,รายการวันหยุด
apps/erpnext/erpnext/config/quality_management.py,Review and Action,ตรวจสอบและดำเนินการ
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},พนักงานนี้มีบันทึกที่มีการประทับเวลาเดียวกันอยู่แล้ว {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,นักบัญชี
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,รายการราคาขาย
DocType: Patient,Tobacco Current Use,การใช้ในปัจจุบันของยาสูบ
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,ราคาขาย
DocType: Cost Center,Stock User,หุ้นผู้ใช้
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,ข้อมูลติดต่อ
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,ค้นหาอะไรก็ได้ ...
DocType: Company,Phone No,โทรศัพท์ไม่มี
DocType: Delivery Trip,Initial Email Notification Sent,ส่งอีเมลแจ้งเตือนครั้งแรกแล้ว
DocType: Bank Statement Settings,Statement Header Mapping,การทำแผนที่ส่วนหัวของคำแถลง
,Sales Partners Commission,สำนักงานคณะกรรมการกำกับการขายหุ้นส่วน
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,การปรับการปัดเศษ
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,ตัวอักษรย่อ ห้ามมีความยาวมากกว่า 5 ตัวอักษร
DocType: Amazon MWS Settings,AU,฿
DocType: Payment Order,Payment Request,คำขอชำระเงิน
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,หากต้องการดูบันทึกของคะแนนความภักดีที่กำหนดให้กับลูกค้า
DocType: Asset,Value After Depreciation,ค่าหลังจากค่าเสื่อมราคา
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry",ไม่พบรายการที่โอน {0} ในใบสั่งงาน {1} รายการที่ไม่ได้เพิ่มในรายการบันทึก
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,ที่เกี่ยวข้อง
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,วันที่เข้าร่วมประชุมไม่น้อยกว่าวันที่เข้าร่วมของพนักงาน
DocType: Grading Scale,Grading Scale Name,การวัดผลการศึกษาชื่อชั่ง
DocType: Employee Training,Training Date,วันที่อบรม
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,เพิ่มผู้ใช้ลงใน Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,นี่คือบัญชี รากและ ไม่สามารถแก้ไขได้
DocType: POS Profile,Company Address,ที่อยู่ บริษัท
DocType: BOM,Operations,การดำเนินงาน
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},ไม่สามารถตั้งค่า การอนุญาต บนพื้นฐานของ ส่วนลดพิเศษสำหรับ {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,ไม่สามารถสร้าง e-Way Bill JSON เพื่อรับคืนสินค้าได้ในตอนนี้
DocType: Subscription,Subscription Start Date,วันที่เริ่มต้นการสมัคร
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,บัญชีลูกหนี้ผิดนัดที่จะใช้หากไม่ได้ระบุไว้ในสมุดรายชื่อผู้ป่วยเพื่อสำรองค่าใช้จ่ายในการนัดหมาย
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name",แนบไฟล์ csv ที่มีสองคอลัมน์หนึ่งชื่อเก่าและหนึ่งสำหรับชื่อใหม่
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,จากที่อยู่ 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,รับรายละเอียดจากประกาศ
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} ไม่ได้อยู่ในปีงบประมาณใดๆ
DocType: Packed Item,Parent Detail docname,docname รายละเอียดผู้ปกครอง
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}",ข้อมูลอ้างอิง: {0} รหัสรายการ: {1} และลูกค้า: {2}
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} ไม่มีอยู่ใน บริษัท แม่
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,วันสิ้นสุดของรอบระยะทดลองไม่สามารถเป็นได้ก่อนวันที่เริ่มทดลองใช้
apps/erpnext/erpnext/utilities/user_progress.py,Kg,กิโลกรัม
DocType: Tax Withholding Category,Tax Withholding Category,ประเภทหัก ณ ที่จ่ายภาษี
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,ยกเลิกรายการบันทึกประจำวัน {0} ก่อน
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},ไม่ได้ระบุ BOM สำหรับรายการรับเหมาช่วง {0} ที่แถว {1}
DocType: Vital Signs,Reflexes,การตอบสนอง
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} ผลลัพธ์ที่ส่งมา
DocType: Item Attribute,Increment,การเพิ่มขึ้น
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,ผลลัพธ์ความช่วยเหลือสำหรับ
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,เลือกคลังสินค้า ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,การโฆษณา
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,บริษัท เดียวกันจะเข้ามามากกว่าหนึ่งครั้ง
DocType: Patient,Married,แต่งงาน
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},ไม่อนุญาตสำหรับ {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,รับรายการจาก
DocType: Stock Entry,Send to Subcontractor,ส่งให้ผู้รับเหมาช่วง
DocType: Purchase Invoice,Apply Tax Withholding Amount,สมัครหักภาษี ณ ที่จ่าย
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,ปริมาณทั้งหมดที่เสร็จสมบูรณ์ต้องไม่เกินปริมาณ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},หุ้น ไม่สามารถปรับปรุง กับ การจัดส่งสินค้า หมายเหตุ {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,ยอดรวมเครดิต
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,ไม่มีรายการที่ระบุไว้
DocType: Asset Repair,Error Description,คำอธิบายข้อผิดพลาด
DocType: Payment Reconciliation,Reconcile,คืนดี
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,ร้านขายของชำ
DocType: Quality Inspection Reading,Reading 1,Reading 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,กองทุน บำเหน็จบำนาญ
DocType: Exchange Rate Revaluation Account,Gain/Loss,กำไร / ขาดทุน
DocType: Crop,Perennial,ตลอดกาล
DocType: Program,Is Published,เผยแพร่แล้ว
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,แสดงใบส่งมอบ
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",หากต้องการอนุญาตให้เรียกเก็บเงินเกินอัปเดต &quot;การอนุญาตการเรียกเก็บเงินเกิน&quot; ในการตั้งค่าบัญชีหรือรายการ
DocType: Patient Appointment,Procedure,ขั้นตอน
DocType: Accounts Settings,Use Custom Cash Flow Format,ใช้รูปแบบกระแสเงินสดที่กำหนดเอง
DocType: SMS Center,All Sales Person,คนขายทั้งหมด
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** การกระจายรายเดือน ** จะช่วยให้คุณแจกจ่ายงบประมาณ / เป้าหมายข้ามเดือนถ้าคุณมีฤดูกาลในธุรกิจของคุณ
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,ไม่พบรายการ
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,โครงสร้างเงินเดือนที่ขาดหายไป
DocType: Lead,Person Name,คนที่ชื่อ
,Supplier Ledger Summary,สรุปบัญชีแยกประเภทผู้ผลิต
DocType: Sales Invoice Item,Sales Invoice Item,รายการใบแจ้งหนี้การขาย
DocType: Quality Procedure Table,Quality Procedure Table,ตารางขั้นตอนคุณภาพ
DocType: Account,Credit,เครดิต
DocType: POS Profile,Write Off Cost Center,เขียนปิดศูนย์ต้นทุน
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",เช่น &quot;โรงเรียนประถม&quot; หรือ &quot;มหาวิทยาลัย&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,รายงานสต็อกสินค้า
DocType: Warehouse,Warehouse Detail,รายละเอียดคลังสินค้า
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,วันที่ตรวจสอบคาร์บอนครั้งสุดท้ายไม่สามารถเป็นวันที่ในอนาคตได้
