DocType: Accounting Period,Period Name,Име периода
DocType: Journal Entry,ACC-JV-.YYYY.-,АЦЦ-ЈВ-ИИИИ.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Укупно касних уноса
DocType: Mode of Payment Account,Mode of Payment Account,Начин плаћања налог
apps/erpnext/erpnext/config/healthcare.py,Consultation,Консултације
DocType: Accounts Settings,Show Payment Schedule in Print,Прикажи распоред плаћања у штампању
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Варијанте предмета су ажуриране
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Продаја и повратак
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Схов Варијанте
DocType: Academic Term,Academic Term,akademski Рок
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Под категорију изузећа за порез на запослене
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Молимо вас да поставите адресу компаније &#39;% с&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Материјал
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Максимална корист запосленог {0} прелази {1} за суму {2} компоненту про-рата компоненте \ износ и износ претходног износа
DocType: Opening Invoice Creation Tool Item,Quantity,Количина
,Customers Without Any Sales Transactions,Купци без продајних трансакција
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Рачуни сто не мозе бити празна.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Користите АПИ мапе Гоогле Мапс Дирецтион да бисте израчунали процењено време доласка
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Кредиты ( обязательства)
DocType: Patient Encounter,Encounter Time,Вријеме сусрета
DocType: Staffing Plan Detail,Total Estimated Cost,Укупни процењени трошкови
DocType: Employee Education,Year of Passing,Година Пассинг
DocType: Routing,Routing Name,Име рутирања
DocType: Item,Country of Origin,Земља порекла
DocType: Soil Texture,Soil Texture Criteria,Критеријуми за текстуру земље
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,На складишту
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Примарне контактне информације
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Отворених питања
DocType: Production Plan Item,Production Plan Item,Производња план шифра
DocType: Leave Ledger Entry,Leave Ledger Entry,Оставите унос књиге
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Пользователь {0} уже назначен Employee {1}
DocType: Lab Test Groups,Add new line,Додајте нову линију
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Креирајте олово
DocType: Production Plan,Projected Qty Formula,Пројектирана Количина формуле
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,здравство
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Кашњење у плаћању (Дани)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Детаил Темплате Темплате
DocType: Hotel Room Reservation,Guest Name,Име госта
DocType: Delivery Note,Issue Credit Note,Издајте кредитну поруку
DocType: Lab Prescription,Lab Prescription,Лаб рецепт
,Delay Days,Дани одлагања
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,сервис Трошкови
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Серијски број: {0} је већ наведено у продаји фактуре: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Фактура
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Максимални изузети износ
DocType: Purchase Invoice Item,Item Weight Details,Детаљна тежина артикла
DocType: Asset Maintenance Log,Periodicity,Периодичност
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Фискална година {0} је потребно
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Нето добитак / губитак
DocType: Employee Group Table,ERPNext User ID,ЕРПНект Усер ИД
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Минимално растојање између редова биљака за оптималан раст
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Молимо одаберите пацијента да бисте добили прописани поступак
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,одбрана
DocType: Salary Component,Abbr,Аббр
DocType: Appraisal Goal,Score (0-5),Оцена (0-5)
DocType: Tally Migration,Tally Creditors Account,Рачун повериоца Талли
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Ров {0}: {1} {2} не поклапа са {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Ров # {0}:
DocType: Timesheet,Total Costing Amount,Укупно Цостинг Износ
DocType: Sales Invoice,Vehicle No,Нема возила
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Изаберите Ценовник
DocType: Accounts Settings,Currency Exchange Settings,Поставке размене валута
DocType: Work Order Operation,Work In Progress,Ворк Ин Прогресс
DocType: Leave Control Panel,Branch (optional),Филијала (необвезно)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Ред {0}: корисник није применио правило <b>{1}</b> на ставку <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Молимо одаберите датум
DocType: Item Price,Minimum Qty ,Минимални количина
DocType: Finance Book,Finance Book,Финансијска књига
DocType: Patient Encounter,HLC-ENC-.YYYY.-,ХЛЦ-ЕНЦ-ИИИИ.-
DocType: Daily Work Summary Group,Holiday List,Холидаи Листа
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Преглед и радња
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Овај запослени већ има дневник са истим временским жигом. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,рачуновођа
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Продајна цена
DocType: Patient,Tobacco Current Use,Употреба дувана
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Продајна стопа
DocType: Cost Center,Stock User,Сток Корисник
DocType: Soil Analysis,(Ca+Mg)/K,(Ца + Мг) / К
DocType: Delivery Stop,Contact Information,Контакт информације
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Тражи било шта ...
DocType: Company,Phone No,Тел
DocType: Delivery Trip,Initial Email Notification Sent,Послато је обавештење о почетној е-пошти
DocType: Bank Statement Settings,Statement Header Mapping,Мапирање заглавља извода
,Sales Partners Commission,Продаја Партнери Комисија
DocType: Soil Texture,Sandy Clay Loam,Санди Цлаи Лоам
DocType: Purchase Invoice,Rounding Adjustment,Прилагођавање заокруживања
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Аббревиатура не может иметь более 5 символов
DocType: Amazon MWS Settings,AU,АУ
DocType: Payment Order,Payment Request,Плаћање Упит
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Да бисте видели евиденције о Лојалним Тачкама додељеним Кориснику.
DocType: Asset,Value After Depreciation,Вредност Након Амортизација
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Није пронађен пребачени предмет {0} у радном налогу {1}, ставка није додата у унос залиха"
DocType: Student,O+,А +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,повезан
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Датум Присуство не може бити мањи од уласку датума запосленог
DocType: Grading Scale,Grading Scale Name,Скала оцењивања Име
DocType: Employee Training,Training Date,Датум обуке
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Додајте кориснике у Маркетплаце
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,То јекорен рачун и не може се мењати .
DocType: POS Profile,Company Address,Адреса предузећа
DocType: BOM,Operations,Операције
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Не удается установить разрешение на основе Скидка для {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,е-Ваи Билл ЈСОН од сада се не може генерисати за поврат продаје
DocType: Subscription,Subscription Start Date,Датум почетка претплате
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Подразумевани рачуни потраживања који ће се користити ако нису постављени у Пацијенту да резервишу трошкове наплате.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Причврстите .цсв датотеку са две колоне, једна за старим именом и један за ново име"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Од наслова 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Добијте детаље из декларације
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} ни у ком активном фискалној години.
DocType: Packed Item,Parent Detail docname,Родитељ Детаљ доцнаме
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Референца: {0}, Код товара: {1} Цустомер: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} није присутан у матичној компанији
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Датум завршетка пробног периода не може бити пре почетка пробног периода
apps/erpnext/erpnext/utilities/user_progress.py,Kg,кг
DocType: Tax Withholding Category,Tax Withholding Category,Категорија опозивања пореза
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Поништите унос текста {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,АЦЦ-ПИНВ-.ИИИИ.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},БОМ није наведен за ставку подизвођача {0} на реду {1}
DocType: Vital Signs,Reflexes,Рефлекси
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Резултат је поднет
DocType: Item Attribute,Increment,Повећање
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Помоћ резултата за
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Изабери Варехоусе ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,оглашавање
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Иста компанија је ушла у више наврата
DocType: Patient,Married,Ожењен
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Није дозвољено за {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Гет ставке из
DocType: Stock Entry,Send to Subcontractor,Пошаљите подизвођачу
DocType: Purchase Invoice,Apply Tax Withholding Amount,Примијенити износ порезних средстава
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Укупни испуњени број не може бити већи него за количину
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Фото не могут быть обновлены против накладной {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Укупан износ кредита
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Но итемс листед
DocType: Asset Repair,Error Description,Опис грешке
DocType: Payment Reconciliation,Reconcile,помирити
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,бакалница
DocType: Quality Inspection Reading,Reading 1,Читање 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Пензиони фондови
DocType: Exchange Rate Revaluation Account,Gain/Loss,Добитак / губитак
DocType: Crop,Perennial,Перенниал
DocType: Program,Is Published,Објављено
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Прикажи белешке о испоруци
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Да бисте омогућили прекомерно наплаћивање, ажурирајте „Преко дозволе за наплату“ у подешавањима налога или ставке."
DocType: Patient Appointment,Procedure,Процедура
DocType: Accounts Settings,Use Custom Cash Flow Format,Користите Цустом Флов Флов Формат
DocType: SMS Center,All Sales Person,Све продаје Особа
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Месечни Дистрибуција ** помаже да дистрибуирате буџет / Таргет преко месеци ако имате сезонски у свом послу.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Није пронађено ставки
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Плата Структура Недостаје
DocType: Lead,Person Name,Особа Име
,Supplier Ledger Summary,Резиме књиге добављача
DocType: Sales Invoice Item,Sales Invoice Item,Продаја Рачун шифра
DocType: Quality Procedure Table,Quality Procedure Table,Табела са процедуром квалитета
DocType: Account,Credit,Кредит
DocType: POS Profile,Write Off Cost Center,Отпис Центар трошкова
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",нпр &quot;Основна школа&quot; или &quot;Универзитет&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,stock Извештаји
DocType: Warehouse,Warehouse Detail,Магацин Детаљ
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Последњи датум провере угљеника не може бити будући датум
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Рок Датум завршетка не може бити касније од годину завршити Датум школске године у којој је термин везан (академска година {}). Молимо исправите датуме и покушајте поново.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Да ли је основних средстава&quot; не може бити неконтролисано, као средствима запис постоји у односу на ставке"
DocType: Delivery Trip,Departure Time,Време поласка
DocType: Vehicle Service,Brake Oil,кочница уље
DocType: Tax Rule,Tax Type,Пореска Тип
,Completed Work Orders,Завршени радни налоги
DocType: Support Settings,Forum Posts,Форум Постс
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Задатак је замишљен као позадински посао. У случају да у позадини постоји проблем са обрадом, систем ће додати коментар о грешци на овом усклађивању залиха и вратити се у фазу нацрта"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Нажалост, валидност кода купона није започела"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,опорезиви износ
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},"Вы не авторизованы , чтобы добавить или обновить записи до {0}"
DocType: Leave Policy,Leave Policy Details,Оставите детаље о политици
DocType: BOM,Item Image (if not slideshow),Артикал слика (ако не слидесхов)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Ред # {0}: Операција {1} није завршена за {2} Количина готових производа у радном налогу {3}. Ажурирајте статус рада путем Јоб Цард {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Час курс / 60) * Пуна Операција време
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Ред # {0}: Референтни тип документа мора бити један од потраживања трошкова или уноса дневника
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Избор БОМ
DocType: SMS Log,SMS Log,СМС Пријава
DocType: Call Log,Ringing,Звоњење
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Трошкови уручене пошиљке
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Празник на {0} није између Од датума и до сада
DocType: Inpatient Record,Admission Scheduled,Пријем заказан
DocType: Student Log,Student Log,студент се
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Предлошци табеле добављача.
DocType: Lead,Interested,Заинтересован
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Отварање
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Програм:
DocType: Item,Copy From Item Group,Копирање из ставке групе
DocType: Journal Entry,Opening Entry,Отварање Ентри
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Рачун плаћате само
DocType: Loan,Repay Over Number of Periods,Отплатити Овер број периода
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Количина за производњу не може бити мања од нуле
DocType: Stock Entry,Additional Costs,Додатни трошкови
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Счет с существующей сделки не могут быть преобразованы в группы .
DocType: Lead,Product Enquiry,Производ Енкуири
DocType: Education Settings,Validate Batch for Students in Student Group,Потврди Батцх за студенте у Студентском Групе
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Но одсуство запис фоунд фор запосленом {0} за {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Нереализовани рачун за добитак / губитак
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Молимо унесите прва компанија
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Одредите прво Компанија
DocType: Employee Education,Under Graduate,Под Дипломац
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Молимо подесите подразумевани образац за обавештење о статусу Леаве Статус у ХР поставкама.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Циљна На
