Pension Funds,Fons de pensions
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",La categoria d’impostos s’ha canviat a &quot;Total&quot; perquè tots els elements són articles que no són d’acció
Tax on flexible benefit,Impost sobre beneficis flexibles
This is based on the Time Sheets created against this project,Això es basa en els fulls de temps creats amb aquest projecte
Buying Rate,Taxa de compra
Type of Sample,Tipus de mostra
Budget Accounts,Comptes pressupostaris
Stock In Hand,Estoc a la mà
Wages,Salaris
No leave record found for employee {0} for {1},No s’ha trobat cap registre de permís per al treballador {0} per a {1}
Accounts Receivable Unpaid Account,Compte pendent de cobrament de comptes
SGST Account,Compte SGST
Half Day Date should be in between Work From Date and Work End Date,La data de mig dia hauria d&#39;estar entre la data de treball i la data de finalització del treball
Applicable in the case of Employee Onboarding,Aplicable en el cas d’Empleat Onboarding
Specified BOM {0} does not exist for Item {1},El BOM {0} especificat no existeix per a l’element {1}
Company (not Customer or Supplier) master.,Empresa principal (no client o proveïdor).
Sales Invoice Series,Sèrie de factures de vendes
Asset Movement record {0} created,S&#39;ha creat el registre del moviment d’actius {0}
Test Created,Prova creada
Term Start Date,Data d&#39;inici del termini
Appointment {0} and Sales Invoice {1} cancelled,Cita {0} i factura de vendes {1} cancel·lades
Vehicle Number,Número de vehicle
Your email address...,La teva adreça de correu electrònic...
Include Default Book Entries,Inclou entrades de llibre predeterminades
Activity Type,Tipus d&#39;activitat
Get Advances Paid,Obtén avanços pagats
Gain/Loss Account on Asset Disposal,Compte de guanys / pèrdues en l’eliminació d’actius
Voucher No,Vale nº
Reorder level based on Warehouse,Reordena el nivell basat en Magatzem
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","L’ordre de treball aturat no es pot cancel·lar, primer desactiveu-la per cancel·lar-la"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Números de sèrie necessaris per a l&#39;article {1}. Heu proporcionat {2}.
Customer Primary Contact,Contacte principal del client
BOM Detail No,Detall BOM núm
Cash In Hand,Diners en efectiu
The holiday on {0} is not between From Date and To Date,Les vacances a {0} no es troben entre la data i la data
Lead must be set if Opportunity is made from Lead,El plom ha d&#39;estar configurat si l&#39;Oportunitat es fa amb plom
Account with existing transaction can not be converted to group.,El compte amb una transacció existent no es pot convertir en grup.
Timesheet {0} is already completed or cancelled,El full de temps {0} ja està completat o cancel·lat
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Termes i condicions estàndard que es poden afegir a vendes i compres. Exemples: 1. Validesa de l&#39;oferta. 1. Condicions de pagament (anticipadament, de crèdit, avanç de part, etc). 1. Què és extra (o pagable pel client). 1. Avís de seguretat / ús. 1. Garantia si n&#39;hi ha. 1. Política de devolucions. 1. Condicions d&#39;enviament, si escau. 1. Formes de fer front a les disputes, la indemnització, la responsabilitat, etc. 1. Adreça i contacte de la vostra empresa."
Leave Status Notification,Deixa la notificació d&#39;estat
Designation Skill,Habilitat de designació
Quantity required for Item {0} in row {1},Quantitat necessària per a l’article {0} de la fila {1}
"To filter based on Party, select Party Type first","Per filtrar en funció de Party, primer seleccioneu Party Type"
No Salary Structure assigned for Employee {0} on given date {1},No s’ha assignat cap estructura salarial per a l’empleat {0} en una data concreta {1}
Number,Nombre
Separate course based Group for every Batch,Grup basat en cursos separats per a cada lot
Require Lab Test Approval,Requereix l’aprovació de les proves de laboratori
Update Clearance Date,Data d&#39;actualització de l&#39;actualització
Import Chart of Accounts from a csv file,Importeu el gràfic de comptes des d&#39;un fitxer csv
"Support for public app is deprecated. Please setup private app, for more details refer user manual","El suport per a aplicacions públiques està en desús. Configureu l&#39;aplicació privada, per obtenir més informació, consulteu el manual d&#39;usuari"
Signed,Signat
Terms and Conditions1,Termes i condicions1
Please select Employee Record first.,Seleccioneu primer el registre dels empleats.
Password policy for Salary Slips is not set,No s’ha establert la política de contrasenyes per a desplaçaments de salaris
Result HTML,HTML del resultat
Ignore holidays,Ignora els dies festius
Linked Soil Texture,Textura de sòl enllaçada
This is based on logs against this Vehicle. See timeline below for details,"Això es basa en els registres contra aquest vehicle. Per a més detalls, vegeu la línia de temps a continuació"
ACC-PAY-.YYYY.-,ACC-PAY-.AAAA.-
Emergency Contact,Contacte d&#39;emergència
Authorization URL,URL de l’autorització
On Leave,De baixa
Show a slideshow at the top of the page,Mostra una presentació de diapositives a la part superior de la pàgina
Payer Settings,Configuració del pagador
Set Tax Rule for shopping cart,Establiu la regla fiscal per al carret de la compra
In Production,En producció
Payment References,Referències de pagament
Valid Till,Vàlid fins a
{0}: From {0} of type {1},{0}: de {0} de tipus {1}
Project Name,nom del projecte
Stock Qty,Quantitat de valors
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Child Item no ha de ser un paquet de productes. Elimineu l’element `{0}` i deseu-lo
Response Result Key Path,Camí d&#39;accés de la clau del resultat de la resposta
Fully Sponsored,Completament patrocinat
Not permitted. Please disable the Service Unit Type,No permès. Desactiveu el tipus d’unitat de servei
Offline POS Settings,Paràmetres del punt de venda fora de línia
Calculations,Càlculs
Material Requested,Material sol·licitat
Reference Row,Fila de referència
Annual Allocation,Assignació anual
Subcontract,Subcontracte
Valuation type charges can not marked as Inclusive,Els càrrecs per tipus de valoració no es poden marcar com a inclosos
Account {0}: Parent account {1} does not belong to company: {2},Compte {0}: el compte principal {1} no pertany a l&#39;empresa: {2}
Failed to login,No s&#39;ha pogut iniciar la sessió
Items and Pricing,Elements i preus
Payment Terms Template,Plantilla de condicions de pagament
Previous Work Experience,Experiència laboral anterior
Program,Programa
Healthcare,Atenció sanitària
Complaint,Queixa
Restrict to Countries,Restringir als països
Item Manager,Gestor d&#39;articles
Currency of the Closing Account must be {0},La moneda del compte de tancament ha de ser {0}
Opening Invoice Item,Obertura del document de factura
Plan material for sub-assemblies,Planifiqueu material per a subconjunts
Hardware,Maquinari
Action if Annual Budget Exceeded on MR,Acció sobrepassat el pressupost anual
Advance Amount,Import anticipat
Against Sales Invoice Item,Contra l&#39;article de factura de vendes
HR-EXP-.YYYY.-,HR-EXP-.AAAA.-
Include Item In Manufacturing,Inclou l’element en la fabricació
Check in (group),Entrada (grup)
Do not show any symbol like $ etc next to currencies.,No mostris cap símbol com $ etc al costat de les monedes.
Salary Component Type,Tipus de component salarial
The shareholder does not belong to this company,L’accionista no pertany a aquesta empresa
Day(s) after the end of the invoice month,Dia (s) després del final del mes de la factura
Vehicle Type,Tipus de vehicle
Healthcare Administrator,Administrador de la salut
Single Transaction Threshold,Llindar de transacció únic
Broadcasting,Difusió
Post Title Key,Tecla del títol de publicació
Customer Primary Address,Adreça principal del client
Please select batches for batched item ,Seleccioneu els lots per a articles lot
Min Qty,Quantitat mínima
Payment Deductions or Loss,Deduccions o pèrdues de pagament
On Item Quantity,Quantitat de l’element
Replace BOM and update latest price in all BOMs,Substituïu la llista de materials i actualitzeu els preus més recents en totes les llistes de materials
Both Trial Period Start Date and Trial Period End Date must be set,Cal definir la data de començament del període de prova i la data de finalització del període de prova
No time sheets,Sense fulls de temps
Statement Header Mapping,Cartografia de capçalera de declaració
Mark Half Day,Marca el mig dia
Material Transfer for Manufacture,Transferència de material per a fabricació
Block Supplier,Bloqueja el proveïdor
Please enter Woocommerce Server URL,Introduïu l’URL del servidor Woocommerce
From Place,Des del lloc
No contacts with email IDs found.,No s’ha trobat cap contacte amb identificadors de correu electrònic.
Consumption Invoiced,Consum facturat
Requested Quantity,Quantitat sol·licitada
Exit,Sortir
Dispatch Information,Informació d&#39;enviament
Basic Amount (Company Currency),Import bàsic (moneda de la companyia)
Selling Settings,Configuració de venda
A question must have more than one options,Una pregunta ha de tenir més d’una opció
Please set the Date Of Joining for employee {0},"Si us plau, configureu la data de l’entrada al treballador {0}"
About your company,Sobre la vostra empresa
Fiscal Year {0} does not exist,L’any fiscal {0} no existeix
Leave Application,Abandona la sol·licitud
Maintenance Log,Registre de manteniment
Invalid Posting Time,Temps d’enviament no vàlid
Discount,Descompte
Redeem Loyalty Points,Canvia els punts de fidelitat
Quotation Series,Sèries de cotitzacions
Occupation,Ocupació
Opening Stock,Acció d’obertura
Supplier Score,Puntuació del proveïdor
Only show Items from these Item Groups,Mostra només els elements d’aquests grups d’elements
Time In Mins,Time In Mins
Item {0} does not exist in the system or has expired,L’element {0} no existeix al sistema o ha caducat
Price Discount Scheme,Esquema de descompte de preus
Hyper,Hyper
What does it do?,Què fa?
Sales Invoice Trends,Tendències de factura de vendes
Payment Entries,Entrades de pagament
Class / Percentage,Classe / Percentatge
Electronic Invoice Register,Registre de factures electròniques
Is Return (Credit Note),Torna (nota de crèdit)
Lab Test Sample,Mostra de prova de laboratori
status html,estat html
"For e.g. 2012, 2012-13","Per exemple, 2012, 2012-13"
disabled user,usuari deshabilitat
ES,ES
Warehouse Type,Tipus de magatzem
Quick Journal Entry,Entrada ràpida de diari
Consumed Amount,Import consumit
Already completed,Ja completat
Pending Amount,Import pendent
Warn RFQs,Aviseu les RFQ
Lab Prescription,Prescripció de laboratori
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Línia d’amortització {0}: la següent data d’amortització no pot ser abans de la data disponible per a l’ús
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","L’actiu {0} no es pot eliminar, ja que ja és {1}"
Departure Time,Hora de sortida
Donor Type,Tipus de donant
Monthly Sales Target,Objectiu de vendes mensual
Redemption Date,Data de reemborsament
Approving User cannot be same as user the rule is Applicable To,L&#39;usuari que aprova no pot ser el mateix que l&#39;usuari. La regla és aplicable a
Fee Schedule Student Group,Grup d’estudiants de tarifa
 From Date can not be greater than To Date,Des de Data no pot ser superior a la data
Please specify a {0},Especifiqueu un {0}
To GSTIN,A GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,La data de finalització del termini no pot ser anterior a la data d&#39;inici del termini. Corregiu les dates i torneu-ho a provar.
No Employee Found,Cap empleat trobat
Exemption Category,Categoria d&#39;exempció
Create Disbursement Entry,Crea una entrada de desemborsament
Purpose must be one of {0},El propòsit ha de ser un de {0}
Last Activity ,Última activitat
A link to all the Locations in which the Crop is growing,Un enllaç a totes les ubicacions en què creix el cultiu
Course Enrollment {0} does not exists,La inscripció al curs {0} no existeix
Maximum leave allowed in the leave type {0} is {1},El permís màxim permès en el tipus de permís {0} és {1}
Qty to Transfer,Quantitat de transferència
Please identify/create Account (Group) for type - {0},Identifiqueu / creeu un compte (grup) per al tipus - {0}
Please set default customer group and territory in Selling Settings,Establiu el grup de clients i el territori predeterminats a Configuració de venda
There isn't any item variant for the selected item,No hi ha cap variant d’element per l’element seleccionat
Contract Details,Detalls del contracte
"Select, to make the customer searchable with these fields","Seleccioneu, per fer que el client es pugui cercar amb aquests camps"
Total Actual,Total real
Change Code,Canvia el codi
Planting Area,Àrea de plantació
Employee Grade (optional),Grau per a empleats (opcional)
Cost Center For Item with Item Code ',Centre de costos per a l&#39;element amb el codi d&#39;ítem &#39;
Default Stock UOM,Stock per omissió per omissió
Rent Cost,Cost de lloguer
Training Result,Resultat d’entrenament
Work Order not created,Ordre de treball no creada
Meter,Metre
Hero Image,Imatge de l’heroi
No Items to pack,No hi ha articles per empaquetar
Delivery warehouse required for stock item {0},Es requereix un magatzem de lliurament per a l’element d’estoc {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,El magatzem reservat és obligatori per a l’article {0} de les matèries primeres subministrades
Target Location is required for the asset {0},La ubicació de l’objectiu s’exigeix per al bé {0}
SGST Amount,Import SGST
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","El saldo del compte ja està en Crèdit, no teniu permís per establir &quot;Saldo ha de ser&quot; com a &quot;dèbit&quot;"
GSTR 3B Report,Informe GSTR 3B
Rate & Amount,Taxa i import
Debit To is required,Es requereix un deute
Item Name,Nom de l&#39;ítem
Cost of New Purchase,Cost de la compra nova
Additional information regarding the customer.,Informació addicional sobre el client.
Wrong,Mal
Batch Inventory,Inventari per lots
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","El full de pagament enviat per correu electrònic a l&#39;empleat estarà protegit per contrasenya, es generarà la contrasenya segons la política de contrasenyes."
Received Amount,Import rebut
Is Sales Item,És un article de venda
Generate Text File,Generar fitxer de text
Variants,Variants
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Els càrrecs es distribuiran proporcionalment segons la quantitat o la quantitat de l’article, segons la vostra selecció"
Pending activities for today,Activitats pendents d’avui
Student Batch,Lot d&#39;estudiants
Valuation Rate required for Item in row {0},Taxa de valoració necessària per a l&#39;element en fila {0}
Base Hour Rate(Company Currency),Tarifa d&#39;hores base (moneda de la companyia)
Printing Details,Detalls d&#39;impressió
Manufacturing Manager,Director de fabricació
Job Card,Targeta de treball
Prorate,Prorrateu
"System User (login) ID. If set, it will become default for all HR forms.","Identificador de l&#39;usuari del sistema (inici de sessió). Si s&#39;estableix, serà predeterminat per a tots els formularis HR."
All Item Groups,Tots els grups d&#39;articles
Select Status,Seleccioneu Estat
Fixed rate,Taxa fixa
Airline,Companyia aèria
Term Details,Detalls del terme
Acquisition Date,Data d’adquisició
Send To,Envia a
Average Rate,Tarifa mitjana
Set Qty in Transactions based on Serial No Input,Estableix la quantitat en transaccions basades en entrada de sèrie
Advance account currency should be same as company currency {0},La moneda del compte anticipat ha de ser la mateixa que la moneda de la companyia {0}
Customize Homepage Sections,Personalitza les seccions de la pàgina web
October,Octubre
Hide Customer's Tax Id from Sales Transactions,Amaga l’identificador de l’impost del client a les transaccions comercials
Invalid GSTIN! A GSTIN must have 15 characters.,GSTIN no vàlid! Un GSTIN ha de tenir 15 caràcters.
Pricing Rule {0} is updated,S&#39;ha actualitzat la regla de preus {0}
Contract Fulfilment Checklist,Llista de control de compliment del contracte
All Products,Tots els productes
Product Search,Cerca de productes
Net Pay,Pagament net
Total Invoiced Amt,Total de quantitats facturades
Consumables Invoice Separately,Factura consumible per separat
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},No es pot assignar el pressupost al compte del grup {0}
Rate and Amount,Taxa i import
Check availability,Comprova disponibilitat
Cannot find Item with this barcode,No es pot trobar l’article amb aquest codi de barres
Default Invoice Naming Series,Sèries de noms de factures per defecte
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Si {0} {1} quantitats de l’article <b>{2}</b> , l’esquema <b>{3}</b> s’aplicarà al document."
Student Siblings,Germans estudiants
Journal Entry {0} does not have account {1} or already matched against other voucher,L&#39;entrada de diari {0} no té un compte {1} o ja no coincideix amb un altre val
Legal Expenses,Despeses legals
Checkout,Comanda
Membership Details,Detalls de pertinença
Please set the Customer Address,Configureu l’adreça del client
List your products or services that you buy or sell.,Enumereu els vostres productes o serveis que compres o vengueu.
Income,Ingressos
Rate at which this tax is applied,Taxa a la qual s&#39;aplica aquest impost
Payment Receipt Note,Nota de rebut de pagament
In Percentage,En percentatge
Quotations received from Suppliers.,Cotitzacions rebudes dels proveïdors.
Reference Due Date,Data de venciment de referència
Lead Time Days,Dies de lliurament
Revision and Revised On,Revisió i revisió actualitzada
{0} against Purchase Order {1},{0} contra la comanda de compra {1}
Fee Records Created - {0},Creació de registres de taxes - {0}
Note: {0},Nota: {0}
Serial No {0} has already been received,Ja s&#39;ha rebut el número de sèrie {0}
Leave Settings,Sortiu de la configuració
Issue Credit Note,Emet nota de crèdit
Batch Item Expiry Status,Estat de caducitat de l’article de lot
Stock Transactions,Transaccions en accions
Event Location,Ubicació de l&#39;esdeveniment
Motion Picture & Video,Pel·lícula i vídeo
Row Spacing,Espai entre files
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,El número de compte del compte {0} no està disponible. <br> Configureu el vostre diagrama de comptes correctament.
Starting location from left edge,Inici de la ubicació des de la vora esquerra
HR Settings,Configuració de recursos humans
Appointments,Cites
Asset {0} created,S&#39;ha creat l’actiu {0}
Please enter Planned Qty for Item {0} at row {1},Introduïu la quantitat programada de l’article {0} a la fila {1}
Select Batch,Seleccioneu Lots
Item Description,Descripció de l&#39;Article
Account Name,Nom del compte
Please enter API Consumer Key,Introduïu la clau de consum de l&#39;API
Products per Page,Productes per pàgina
Duplicate {0} found in the table,Es troba duplicat {0} a la taula
Default Distance Unit,Unitat de distància predeterminada
Consume Stock,Consumir estoc
Key Performance Area,Àrea de rendiment clau
S.O. No.,NO
{0} not found for item {1},{0} no s&#39;ha trobat per a l&#39;article {1}
Set Source Warehouse,Definiu el magatzem de fonts
Out Patient Settings,Sortir de la configuració del pacient
Insurance End Date,Data de finalització de l’assegurança
Branch Code,Codi de sucursal
Time To Respond,Temps per respondre
User Forum,Fòrum d&#39;usuaris
Landed Cost Item,Article sobre cost desembarcat
The seller and the buyer cannot be the same,El venedor i el comprador no poden ser els mateixos
Copied From,Copiat des de
Available,Disponible
Sales Person Targets,Objectius de vendes
BOM Operation,Operació BOM
O-,O-
Interest Amount,Import d&#39;interès
Origin,Origen
Add a new address,Afegiu una nova adreça
Write Off Account,Escriviu el compte
Proposal/Price Quote,Proposta / cotització de preus
Associate,Associada
Please input all required Result Value(s),Introduïu tots els valors de resultats requerits
Purchase Order Item Supplied,Es subministra l’ordre de compra
Item {0} is not a serialized Item,L’element {0} no és un element serialitzat
GoCardless Customer,Client de GoCardless
Leave Balance,Deixa l’equilibri
Maintenance Schedule {0} exists against {1},Hi ha programació de manteniment {0} contra {1}
Supervisor Name,Nom del supervisor
Campaign Naming By,Nom de la campanya per
Course Code,Codi del curs
Aerospace,Aeroespacial
Distribute Charges Based On,Distribuïu càrrecs basats en
Supplier Scorecard Scoring Criteria,Criteris de puntuació del quadre de comandament del proveïdor
Stock,Stock
Receipt Document Type,Tipus de document de rebut
Classification of Customers by region,Classificació dels clients per regió
Billable,Facturable
Government,Govern
"Create Employee records to manage leaves, expense claims and payroll","Creeu els registres dels empleats per gestionar les fulles, les reclamacions de despesa i la nòmina"
Point-of-Sale,Punt de venda
User {0} is already assigned to Healthcare Practitioner {1},L&#39;usuari {0} ja està assignat a un metge de la salut {1}
Standard Buying,Compra estàndard
Apprentice,Aprenent
Add Timesheets,Afegeix fulls de temps
"Number of new Account, it will be included in the account name as a prefix",Nombre de compte nou; s’inclourà al nom del compte com a prefix
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,El magatzem de proveïdors és obligatori per al rebut de compra sub-contractat
Please enter Preferred Contact Email,Introduïu el correu electrònic de contacte preferit
Normal,Normal
Customer POS Id,Identificador de TPV del client
Weight Per Unit,Pes per unitat
Child nodes can be only created under 'Group' type nodes,Els nodes fills només es poden crear sota els nodes de tipus &quot;Grup&quot;
(including),(incloent)
Requested,Demanat
Item {0} is not a stock Item,L’element {0} no és un article amb valors
Multi Currency,Moneda múltiple
Write Off Difference Amount,Escriviu la quantitat de diferència
Item {0} is disabled,L’element {0} està desactivat
Last Completion Date,Data d’última finalització
Fulfillment,Realització
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","La tasca s&#39;ha instal·lat com a treball de fons. En cas que hi hagi algun problema en el processament en segon pla, el sistema afegirà un comentari sobre l’error d’aquesta reconciliació de valors i tornarà a la fase d’elaboració"
Total Order Considered,Consideració de l’ordre total
Optimize Route,Optimitzar la ruta
Discount Percentage can be applied either against a Price List or for all Price List.,El percentatge de descompte es pot aplicar tant a la llista de preus com a la llista de preus.
Trainer Email,Email d&#39;entrenador
Get from Patient Encounter,Arribar-te a Trobada de pacients
Software Developer,Desenvolupador de programari
Sample Collection,Col·lecció d&#39;exemples
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Si us plau, comparteix els teus comentaris sobre l’entrenament fent clic a &quot;Feedback de formació&quot; i després a &quot;Nou&quot;."
Connecting to QuickBooks,Connexió a QuickBooks
Enrolling student,Estudiant d’inscripció
Claimed,Reclamat
Leaves,Fulles
Salary breakup based on Earning and Deduction.,La ruptura salarial basada en el rendiment i la deducció.
Salary Structure Missing,Estructura del salari que falta
Action Field,Camp d’acció
Quotation Trends,Tendències de cotització
Connect Amazon with ERPNext,Connecteu Amazon amb ERPNext
Response and Resolution Time,Temps de resposta i resolució
Collection Tier,Nivell de col·lecció
Guardian Of ,Guardià de
Payment Gateway Details,Detalls de la passarel·la de pagaments
Staffing Plan {0} already exist for designation {1},El pla de personal {0} ja existeix per a la designació {1}
Website Warehouse,Magatzem del lloc web
Rate With Margin,Tarifa amb marge
Salary Structure must be submitted before submission of Tax Ememption Declaration,L’estructura salarial s’ha de presentar abans de presentar la Declaració d’Emissió Tributària
Add Leads,Afegeix Leads
Reserve Warehouse,Magatzem de reserva
Payment Term Name,Nom del terme de pagament
No Permission,Sense permís
Select Company...,Seleccioneu l&#39;empresa ...
Use Naming Series,Utilitzeu les sèries de noms
Formula,Fórmula
Action if Accumulated Monthly Budget Exceeded on Actual,Acció si s&#39;ha superat el pressupost acumulat acumulat en real
Allow Encashment,Permet l’enregistrament
Project activity / task.,Activitat / tasca del projecte.
Bank Statement Transaction Invoice Item,Document de facturació de les transaccions de declaració bancària
Total Operating Cost,Cost total d’operació
Employee Onboarding Template,Plantilla d’embalatge per a empleats
Same Item,El mateix article
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","L&#39;import d&#39;una sola transacció supera la quantitat màxima permesa, creeu una ordre de pagament separada dividint les transaccions"
Salary Slips Created,Desplaçaments salarials creats
Lab Test(s) ,Prova de laboratori
Party Details,Detalls de la festa
Cost of Purchased Items,Cost dels articles adquirits
All communications including and above this shall be moved into the new Issue,Totes les comunicacions incloses i per sobre d’aquest comunicat es traslladaran a la nova edició
Material Consumption for Manufacture,Consum de materials per a fabricació
Table for Item that will be shown in Web Site,Taula per a l&#39;element que es mostrarà al lloc web
Restaurant Menu,Menú del restaurant
Purpose,Propòsit
Salary Structure Assignment for Employee already exists,L&#39;estructura salarial La tasca per a empleat ja existeix
Service Unit,Unitat de servei
Identification Document Number,Número de document d’identificació
Additional Costs,Costos addicionals
"Parent Course (Leave blank, if this isn't part of Parent Course)","Curs de pares (deixeu en blanc, si no forma part del curs de pares)"
Employee Education,Educació per a empleats
Number of positions cannot be less then current count of employees,El nombre de posicions no pot ser inferior al nombre de treballadors actuals
All Customer Groups,Tots els grups de clients
Buying Price List,Compra de llista de preus
Finished Good Item Code,Finalitzat el codi dels bons articles
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,"Hi ha diversos anys fiscals per a la data {0}. Si us plau, posa l’empresa en l’any fiscal"
Available for use date is required,Es requereix la data d’ús disponible
Training Date,Data de formació
Reading Uploaded File,Llegir el fitxer carregat
Material Request,Sol·licitud de material
Total Allocated Amount (Company Currency),Import total assignat (moneda de la companyia)
Restaurant Order Entry Item,Article de l&#39;entrada de la comanda al restaurant
Distance,Distància
Get financial breakup of Taxes and charges data by Amazon ,Obtingueu una ruptura financera de les dades de Impostos i despeses per part d&#39;Amazon
Mileage,Quilometratge
"For an item {0}, quantity must be positive number","Per a un element {0}, la quantitat ha de ser un nombre positiu"
Item Cart,Cistella d&#39;articles
Payment Entries {0} are un-linked,Les entrades de pagament {0} no estan enllaçades
Open Notifications,Obre les notificacions
Successfully created payment entries,Entrades de pagament creades correctament
Mg/K,Mg / K
Has Serial No,Té número de sèrie
Manufacturing User,Usuari de fabricació
Ledger,Llibre major
Loan,Préstec
Fuel UOM,Combustible UOM
Support,Suport
Invalid Company for Inter Company Transaction.,Empresa no vàlida per a transaccions interempresarials.
Fixed Asset Depreciation Settings,Configuració d’amortització d’actius corregida
Department and Grade,Departament i grau
Cheques Required,Comprovacions necessàries
Do Not Contact,No contactar
Update Billed Amount in Sales Order,Actualitzeu l&#39;import facturat en ordre de venda
Meal Preference,Preferència de menjar
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Fins i tot si hi ha diverses regles de fixació de preus amb major prioritat, s&#39;apliquen les prioritats internes següents:"
Employee {0} is not active or does not exist,L&#39;empleat {0} no està actiu o no existeix
List of all share transactions,Llista de totes les transaccions compartides
Sales Defaults,Valors predeterminats de vendes
Overlap in scoring between {0} and {1},Superposició de puntuació entre {0} i {1}
Weightage,Ponderació
Create New Payment/Journal Entry,Crea un nou pagament / entrada de diari
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Si es troben dues o més normes de preus en funció de les condicions anteriors, s&#39;aplicarà la prioritat. La prioritat és un nombre entre 0 i 20, mentre que el valor per defecte és zero (en blanc). Un nombre més alt vol dir que tindrà prioritat si hi ha diverses regles de preus amb les mateixes condicions."
Row {0}: Qty is mandatory,La fila {0}: la quantitat és obligatòria
Against Income Account,Contingut del compte d’ingressos
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Fila # {0}: la factura de compra no es pot fer contra un actiu existent {1}
UOM coversion factor required for UOM: {0} in Item: {1},Cal tenir en compte el factor de cobertura de la UOM per a la UOM: {0} a l’element: {1}
