Pension Funds,Pensiju fondi
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Nolietojuma rinda {0}: nākamais nolietojuma datums nevar būt pirms lietošanai paredzētā datuma
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Aktīvu {0} nevar noņemt, jo tas jau ir {1}"
Departure Time,Izbraukšanas laiks
Donor Type,Donora veids
Monthly Sales Target,Mēneša pārdošanas mērķis
Redemption Date,Atpirkšanas datums
Approving User cannot be same as user the rule is Applicable To,"Apstiprinošais lietotājs nevar būt tāds pats kā lietotājs, kas ir piemērojams"
Fee Schedule Student Group,Maksa grafiks Studentu grupa
 From Date can not be greater than To Date,No datuma nevar būt lielāka par datumu
Please specify a {0},"Lūdzu, norādiet {0}"
To GSTIN,GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,"Termiņa beigu datums nevar būt ātrāks par termiņa sākuma datumu. Lūdzu, izlabojiet datumus un mēģiniet vēlreiz."
No Employee Found,Nav atrasts neviens darbinieks
Exemption Category,Atbrīvojuma kategorija
Create Disbursement Entry,Izveidot izmaksu ierakstu
Purpose must be one of {0},Mērķim jābūt vienam no {0}
Last Activity ,Pēdējā darbība
A link to all the Locations in which the Crop is growing,"Saite uz visām vietām, kurās audzē kultūraugu"
Course Enrollment {0} does not exists,Kursa reģistrācija {0} nepastāv
Maximum leave allowed in the leave type {0} is {1},Atvaļinājuma tipa {0} maksimālais atvaļinājums ir {1}
Qty to Transfer,Pārskaitījuma daudzums
Please identify/create Account (Group) for type - {0},"Lūdzu, identificējiet / izveidojiet kontu (grupa) tipam - {0}"
Please set default customer group and territory in Selling Settings,Pārdošanas iestatījumos iestatiet noklusējuma klientu grupu un teritoriju
There isn't any item variant for the selected item,Izvēlētajam vienumam nav neviena vienuma varianta
Contract Details,Informācija par līgumu
"Select, to make the customer searchable with these fields","Izvēlieties, lai klients meklētu ar šiem laukiem"
Total Actual,Kopējais faktiskais
Change Code,Mainīt kodu
Planting Area,Stādīšanas platība
Employee Grade (optional),Darbinieku pakāpe (pēc izvēles)
Cost Center For Item with Item Code ',Izmaksu centrs vienumam ar vienumu kodu
Default Stock UOM,Noklusējuma akciju cena
Rent Cost,Nomas maksa
Training Result,Apmācības rezultāts
Work Order not created,Darba pasūtījums nav izveidots
Meter,Meter
Hero Image,Hero attēls
No Items to pack,Nav iepakojamo vienumu
Delivery warehouse required for stock item {0},Piegādes noliktava nepieciešama {0} akciju vienībai
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Rezervētā noliktava ir obligāta priekšmetam {0} piegādātajās izejvielās
Target Location is required for the asset {0},Mērķa atrašanās vieta ir nepieciešama {0} aktīvam
SGST Amount,SGST summa
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Konta atlikums, kas jau ir kredīts, jums nav atļauts iestatīt &quot;Bilance Must Be&quot; kā &quot;Debit&quot;"
GSTR 3B Report,GSTR 3B ziņojums
Rate & Amount,Likme un summa
Debit To is required,Nepieciešama debeta summa
Item Name,Priekšmeta nosaukums
Cost of New Purchase,Jaunas iegādes izmaksas
Additional information regarding the customer.,Papildu informācija par klientu.
Wrong,Nepareizi
Batch Inventory,Partijas inventarizācija
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Darbiniekam nosūtītais atalgojuma loks būs aizsargāts ar paroli, parole tiks ģenerēta, pamatojoties uz paroles politiku."
Received Amount,Saņemtā summa
Is Sales Item,Vai pārdošanas vienums
Generate Text File,Izveidot teksta failu
Variants,Variants
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Maksa tiks sadalīta proporcionāli, pamatojoties uz vienības daudzumu vai summu, atbilstoši jūsu izvēlei"
Pending activities for today,Līdz šim notiekošās darbības
Student Batch,Studentu partija
Valuation Rate required for Item in row {0},"Vērtības likme, kas nepieciešama postenim {0}"
Base Hour Rate(Company Currency),Pamatstundu likme (uzņēmuma valūta)
Printing Details,Drukāšanas informācija
Manufacturing Manager,Ražošanas vadītājs
Job Card,Darba karte
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.","Sistēmas lietotājs (pieteikšanās) ID. Ja tas ir iestatīts, tas tiks noklusēts visām HR formām."
All Item Groups,Visas vienumu grupas
Select Status,Atlasiet Statuss
Fixed rate,Fiksēta likme
Airline,Aviosabiedrība
Term Details,Termiņa dati
Acquisition Date,Iegādes datums
Send To,Nosūtīt
Average Rate,Vidējā likme
Set Qty in Transactions based on Serial No Input,"Iestatiet kvantitāti darījumos, kuru pamatā ir sērijas Nr"
Advance account currency should be same as company currency {0},Avansa konta valūtai jābūt vienādai ar uzņēmuma valūtu {0}
Customize Homepage Sections,Pielāgot mājas lapas sadaļas
October,Oktobris
Hide Customer's Tax Id from Sales Transactions,Paslēpt Klienta nodokļu ID no pārdošanas darījumiem
Invalid GSTIN! A GSTIN must have 15 characters.,Nederīgs GSTIN! GSTIN jābūt 15 rakstzīmēm.
Pricing Rule {0} is updated,Tiek atjaunināta cenu noteikšanas kārtība {0}
Contract Fulfilment Checklist,Līgumu izpildes kontrolsaraksts
All Products,Visi produkti
Product Search,Produktu meklēšana
Net Pay,Neto maksājums
Total Invoiced Amt,Kopā rēķinā iekļautā summa
Consumables Invoice Separately,Izejmateriālu rēķins atsevišķi
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},"Budžetu nevar piešķirt, izmantojot grupas kontu {0}"
Rate and Amount,Likme un summa
Check availability,Pārbaudīt pieejamību
Cannot find Item with this barcode,Nevar atrast vienumu ar šo svītrkodu
Default Invoice Naming Series,Noklusējuma rēķinu nosaukumu sērija
Student Siblings,Studentu brāļi un māsas
Journal Entry {0} does not have account {1} or already matched against other voucher,Žurnāla ierakstam {0} nav konta {1} vai jau saskaņots ar citu kuponu
Legal Expenses,Juridiskie izdevumi
Checkout,Izrakstīšanās
Membership Details,Informācija par dalību
Please set the Customer Address,"Lūdzu, iestatiet Klienta adresi"
List your products or services that you buy or sell.,"Uzskaitiet savus produktus vai pakalpojumus, ko pērkat vai pārdodat."
Income,Ienākumi
Rate at which this tax is applied,"Likme, kurā šis nodoklis tiek piemērots"
Payment Receipt Note,Maksājuma saņemšanas piezīme
In Percentage,Procentos
Quotations received from Suppliers.,No piegādātājiem saņemtās cenas.
Reference Due Date,Atsauces termiņš
Lead Time Days,Svina laika dienas
Revision and Revised On,Pārskatīšana un pārskatīšana
{0} against Purchase Order {1},{0} pret pirkuma pasūtījumu {1}
Fee Records Created - {0},Izveidoti maksas ieraksti - {0}
Note: {0},Piezīme: {0}
Serial No {0} has already been received,Sērijas Nr. {0} jau ir saņemts
Leave Settings,Atstājiet iestatījumus
Issue Credit Note,Izsniegt kredīta piezīmi
Batch Item Expiry Status,Sērijas posteņa derīguma statuss
Stock Transactions,Krājumu darījumi
Event Location,Notikuma vieta
Motion Picture & Video,Kustīgais attēls un video
Row Spacing,Rindu atstatums
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Konta numurs kontam {0} nav pieejams. <br> Lūdzu, pareizi iestatiet savu kontu diagrammu."
Starting location from left edge,Sākuma vieta no kreisās malas
HR Settings,HR iestatījumi
Appointments,Tikšanās
Asset {0} created,Izveidots {0} aktīvs
Please enter Planned Qty for Item {0} at row {1},"Lūdzu, ievadiet {0} pozīcijā Plānotais daudzums rindā {1}"
Select Batch,Izvēlieties Partiju
Item Description,Lietas apraksts
Account Name,Konta vārds
Please enter API Consumer Key,"Lūdzu, ievadiet API patērētāju atslēgu"
Products per Page,Produkti lapā
Duplicate {0} found in the table,Dublikāts {0} atrodams tabulā
Default Distance Unit,Noklusējuma attāluma vienība
Consume Stock,Patērēt krājumus
Key Performance Area,Galvenā darbības joma
S.O. No.,SO Nr.
{0} not found for item {1},{0} nav atrasts vienumam {1}
Set Source Warehouse,Iestatiet avota noliktavu
Out Patient Settings,Pacienta iestatījumi
Insurance End Date,Apdrošināšanas beigu datums
Branch Code,Filiāles kods
Time To Respond,Laiks atbildēt
User Forum,Lietotāja forums
Landed Cost Item,Izkrauto izmaksu postenis
The seller and the buyer cannot be the same,Pārdevējs un pircējs nevar būt vienādi
Copied From,Kopēts no
Available,Pieejams
Sales Person Targets,Pārdošanas personu mērķi
BOM Operation,BOM darbība
O-,O-
Interest Amount,Procentu summa
Origin,Izcelsme
Add a new address,Pievienojiet jaunu adresi
Write Off Account,Norakstīt kontu
Proposal/Price Quote,Priekšlikuma / cenas piedāvājums
Associate,Asociētais
Please input all required Result Value(s),"Lūdzu, ievadiet visu nepieciešamo rezultātu vērtību"
Purchase Order Item Supplied,Pasūtījuma prece tiek piegādāta
Item {0} is not a serialized Item,{0} vienums nav serializēts vienums
GoCardless Customer,Bez kartes bez klienta
Leave Balance,Atstājiet atlikumu
Maintenance Schedule {0} exists against {1},Uzturēšanas grafiks {0} pastāv pret {1}
Supervisor Name,Vadītāja vārds
Campaign Naming By,Kampaņas nosaukšana pēc
Course Code,Kursa kods
Aerospace,Aerospace
Distribute Charges Based On,"Izplatīt maksas, pamatojoties uz"
Supplier Scorecard Scoring Criteria,Piegādātājs Scorecard rādītāju kritēriji
Stock,Krājumi
Receipt Document Type,Saņemšanas dokumenta veids
Classification of Customers by region,Klientu klasifikācija pēc reģiona
Billable,Rēķins
Government,Valdība
"Create Employee records to manage leaves, expense claims and payroll","Izveidot darbinieku ierakstus, lai pārvaldītu lapas, izdevumu prasības un algas"
Point-of-Sale,Tirdzniecības vieta
User {0} is already assigned to Healthcare Practitioner {1},Lietotājs {0} jau ir piešķirts veselības aprūpes speciālistam {1}
Standard Buying,Standarta pirkšana
Apprentice,Māceklis
Add Timesheets,Pievienot laika lapas
"Number of new Account, it will be included in the account name as a prefix","Jaunā konta numurs, tas tiks iekļauts konta nosaukumā kā prefikss"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Piegādātāja noliktava obligāta apakšuzņēmuma pirkuma saņemšanai
Please enter Preferred Contact Email,"Lūdzu, ievadiet vēlamo kontaktu e-pastu"
Normal,Normāls
Customer POS Id,Klienta POS ID
Weight Per Unit,Svars uz vienību
Child nodes can be only created under 'Group' type nodes,Bērnu mezglus var izveidot tikai “Grupas” tipa mezglos
(including),(ieskaitot)
Requested,Pieprasīta
Item {0} is not a stock Item,{0} vienums nav krājuma vienums
Multi Currency,Multi valūta
Write Off Difference Amount,Norakstiet starpību
Item {0} is disabled,{0} vienums ir atspējots
Last Completion Date,Pēdējais pabeigšanas datums
Fulfillment,Izpilde
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Uzdevums ir izveidots kā fona darbs. Gadījumā, ja rodas problēmas saistībā ar apstrādi fonā, sistēma pievienos komentāru par kļūdu šajā krājumu saskaņošanā un atgriezīsies pie projekta posma"
Total Order Considered,Kopējais Rīkojums uzskatāms
Optimize Route,Optimizējiet maršrutu
Discount Percentage can be applied either against a Price List or for all Price List.,"Atlaides procentuālo daļu var piemērot vai nu attiecībā uz Cenrādi, vai arī par visu Cenrādi."
Trainer Email,Trenera e-pasts
Get from Patient Encounter,Nokļūt no pacienta sastapšanās
Software Developer,Programmatūras izstrādātājs
Sample Collection,Paraugu kolekcija
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Lūdzu, dalieties ar atsauksmēm par apmācību, noklikšķinot uz &#39;Apmācības atsauksmes&#39; un pēc tam uz &#39;Jauns&#39;"
Connecting to QuickBooks,Savienojuma izveide ar QuickBooks
Enrolling student,Reģistrējot studentu
Claimed,Apgalvots
Leaves,Lapas
Salary breakup based on Earning and Deduction.,"Algu sadalīšana, pamatojoties uz peļņu un atskaitīšanu."
Salary Structure Missing,Algu struktūra Trūkst
Action Field,Darbības lauks
Quotation Trends,Citātu tendences
Connect Amazon with ERPNext,Savienojiet Amazon ar ERPNext
Response and Resolution Time,Atbilde un izšķirtspējas laiks
Collection Tier,Kolekcijas līmenis
Guardian Of ,Guardian Of
Payment Gateway Details,Maksājuma vārtejas dati
Staffing Plan {0} already exist for designation {1},"Personāla plāns {0} jau ir paredzēts, lai apzīmētu {1}"
Website Warehouse,Tīmekļa vietnes noliktava
Rate With Margin,Likme ar rezervi
Salary Structure must be submitted before submission of Tax Ememption Declaration,Algu struktūra jāiesniedz pirms Nodokļu atbrīvošanas deklarācijas iesniegšanas
Add Leads,Pievienot vadus
Reserve Warehouse,Rezerves noliktava
Payment Term Name,Maksājuma termiņa nosaukums
No Permission,Nav atļaujas
Select Company...,Atlasiet uzņēmumu ...
Use Naming Series,Izmantojiet nosaukumu sēriju
Formula,Formula
Action if Accumulated Monthly Budget Exceeded on Actual,"Rīcība, ja aktualizēts ikmēneša budžets pārsniedzis faktisko"
Allow Encashment,Atļaut kodējumu
Project activity / task.,Projekta darbība / uzdevums.
Bank Statement Transaction Invoice Item,Bankas konta izraksta rēķina postenis
Total Operating Cost,Kopējās ekspluatācijas izmaksas
Employee Onboarding Template,Darbinieku borta veidne
Same Item,Tas pats
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Summa vienam darījumam pārsniedz maksimāli pieļaujamo summu, izveidojiet atsevišķu maksājuma rīkojumu, sadalot darījumus"
Salary Slips Created,Algu veidnes izveidotas
Lab Test(s) ,Laboratorijas tests (-i)
Party Details,Partijas informācija
Cost of Purchased Items,Iegādātu preču izmaksas
All communications including and above this shall be moved into the new Issue,"Visus paziņojumus, tostarp šo informāciju, pārceļ uz jauno jautājumu"
Material Consumption for Manufacture,Materiālu patēriņš ražošanai
Table for Item that will be shown in Web Site,"Tabula vienumam, kas tiks parādīts tīmekļa vietnē"
Restaurant Menu,Restorāna ēdienkarte
Purpose,Mērķis
Salary Structure Assignment for Employee already exists,Algu struktūras piešķiršana darbiniekam jau pastāv
Service Unit,Pakalpojumu vienība
Identification Document Number,Identifikācijas dokumenta numurs
Additional Costs,Papildu izmaksas
"Parent Course (Leave blank, if this isn't part of Parent Course)","Vecāku kurss (atstājiet tukšu, ja tas nav daļa no vecāku kursa)"
Employee Education,Darbinieku izglītība
Number of positions cannot be less then current count of employees,Pozīciju skaits nedrīkst būt mazāks par pašreizējo darbinieku skaitu
All Customer Groups,Visas klientu grupas
Buying Price List,Cenu saraksts
Finished Good Item Code,Pabeigts labas preces kods
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,"Datumam {0} pastāv vairāki fiskālie gadi. Lūdzu, iestatiet uzņēmumu fiskālajā gadā"
Available for use date is required,Nepieciešams lietošanai paredzētais datums
Training Date,Apmācības datums
Reading Uploaded File,Augšupielādētā faila lasīšana
Material Request,Materiāls pieprasījums
Total Allocated Amount (Company Currency),Kopā piešķirtā summa (uzņēmuma valūta)
Restaurant Order Entry Item,Restorāna pasūtījuma ieraksta postenis
Distance,Attālums
