DocType: Accounting Period,Period Name,Nama Tempoh
DocType: Item,Publish Item to hub.erpnext.com,Terbitkan Perkara untuk hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Tidak dapat mencari Tempoh Cuti aktif
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,penilaian
DocType: Item,Default Unit of Measure,Unit keingkaran Langkah
DocType: SMS Center,All Sales Partner Contact,Semua Jualan Rakan Hubungi
DocType: Department,Leave Approvers,Tinggalkan Approvers
DocType: Employee,Bio / Cover Letter,Surat Bio / Cover
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Item Carian ...
DocType: Patient Encounter,Investigations,Siasatan
DocType: Restaurant Order Entry,Click Enter To Add,Klik Masukkan Ke Tambah
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Nilai yang hilang untuk Kata Laluan, Kunci API atau URL Shopify"
DocType: Employee,Rented,Disewa
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Semua Akaun
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Tidak dapat memindahkan Pekerja dengan status Kiri
DocType: Vehicle Service,Mileage,Jarak tempuh
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Adakah anda benar-benar mahu menghapuskan aset ini?
DocType: Drug Prescription,Update Schedule,Kemas kini Jadual
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Pilih Pembekal Lalai
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Tunjukkan Pekerja
DocType: Payroll Period,Standard Tax Exemption Amount,Jumlah Pengecualian Cukai Standard
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Kadar Pertukaran Baru
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Mata wang diperlukan untuk Senarai Harga {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Akan dikira dalam urus niaga.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Pelanggan Hubungi
DocType: Shift Type,Enable Auto Attendance,Dayakan Auto Kehadiran
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Sila masukkan Gudang dan Tarikh
DocType: Lost Reason Detail,Opportunity Lost Reason,Peluang Hilang Peluang
DocType: Patient Appointment,Check availability,Semak ketersediaan
DocType: Retention Bonus,Bonus Payment Date,Tarikh Pembayaran Bonus
DocType: Employee,Job Applicant,Kerja Pemohon
DocType: Job Card,Total Time in Mins,Jumlah Masa dalam Mins
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Ini adalah berdasarkan kepada urus niaga terhadap Pembekal ini. Lihat garis masa di bawah untuk maklumat
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Peratus Overproduction untuk Perintah Kerja
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Undang-undang
DocType: Sales Invoice,Transport Receipt Date,Tarikh Penerimaan Pengangkutan
DocType: Shopify Settings,Sales Order Series,Siri Perintah Jualan
DocType: Vital Signs,Tongue,Lidah
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Jenis cukai sebenar tidak boleh dimasukkan dalam kadar Perkara berturut-turut {0}
DocType: Allowed To Transact With,Allowed To Transact With,Dibenarkan untuk Berurusan Dengan
DocType: Bank Guarantee,Customer,Pelanggan
DocType: Purchase Receipt Item,Required By,Diperlukan oleh
DocType: Delivery Note,Return Against Delivery Note,Kembali Terhadap Penghantaran Nota
DocType: Asset Category,Finance Book Detail,Detail Buku Kewangan
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Semua susut nilai telah ditempah
DocType: Purchase Order,% Billed,% Dibilkan
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Nombor Gaji
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Kadar pertukaran mestilah sama dengan {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Pengecualian HRA
DocType: Sales Invoice,Customer Name,Nama Pelanggan
DocType: Vehicle,Natural Gas,Gas asli
DocType: Project,Message will sent to users to get their status on the project,Mesej akan dihantar kepada pengguna untuk mendapatkan status mereka pada projek itu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Akaun bank tidak boleh dinamakan sebagai {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA mengikut Struktur Gaji
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Kepala (atau kumpulan) terhadap yang Penyertaan Perakaunan dibuat dan baki dikekalkan.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Cemerlang untuk {0} tidak boleh kurang daripada sifar ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Tarikh Henti Perkhidmatan tidak boleh sebelum Tarikh Mula Perkhidmatan
DocType: Manufacturing Settings,Default 10 mins,Default 10 minit
DocType: Leave Type,Leave Type Name,Tinggalkan Nama Jenis
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Tunjukkan terbuka
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Siri Dikemaskini Berjaya
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Checkout
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} dalam baris {1}
DocType: Asset Finance Book,Depreciation Start Date,Tarikh Permulaan Susutnilai
DocType: Pricing Rule,Apply On,Memohon Pada
DocType: Item Price,Multiple Item prices.,Harga Item berbilang.
,Purchase Order Items To Be Received,Item Pesanan Belian Akan Diterima
DocType: SMS Center,All Supplier Contact,Semua Pembekal Contact
DocType: Support Settings,Support Settings,Tetapan sokongan
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Akaun {0} ditambahkan dalam syarikat anak {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Kelayakan tidak sah
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Tersedia (sama ada dalam bahagian penuh)
DocType: Amazon MWS Settings,Amazon MWS Settings,Tetapan MWS Amazon
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Baucer Pemprosesan
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Kadar mestilah sama dengan {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Batch Perkara Status luput
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Draf
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Jumlah Penyertaan Lewat
DocType: Mode of Payment Account,Mode of Payment Account,Cara Pembayaran Akaun
apps/erpnext/erpnext/config/healthcare.py,Consultation,Perundingan
DocType: Accounts Settings,Show Payment Schedule in Print,Tunjukkan Jadual Pembayaran dalam Cetak
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varian Item dikemas kini
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Jualan dan Pulangan
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Show Kelainan
DocType: Academic Term,Academic Term,Jangka akademik
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Subkategori Pengecualian Cukai Pekerja
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Sila tetapkan alamat di Syarikat &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,bahan
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Faedah maksimum pekerja {0} melebihi {1} oleh jumlah {2} komponen pro-rata faedah aplikasi \ jumlah dan jumlah yang dituntut sebelumnya
DocType: Opening Invoice Creation Tool Item,Quantity,Kuantiti
,Customers Without Any Sales Transactions,Pelanggan Tanpa Urus Niaga Jualan
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Jadual account tidak boleh kosong.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Gunakan API Arah Arah Google untuk mengira anggaran masa ketibaan
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Pinjaman (Liabiliti)
DocType: Patient Encounter,Encounter Time,Masa Pertemuan
DocType: Staffing Plan Detail,Total Estimated Cost,Jumlah Anggaran Kos
DocType: Employee Education,Year of Passing,Tahun Pemergian
DocType: Routing,Routing Name,Nama Penghalaan
DocType: Item,Country of Origin,Negara asal
DocType: Soil Texture,Soil Texture Criteria,Kriteria Tekanan Tanah
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,In Stock
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Butiran Hubungan Utama
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Isu Terbuka
DocType: Production Plan Item,Production Plan Item,Rancangan Pengeluaran Item
DocType: Leave Ledger Entry,Leave Ledger Entry,Meninggalkan Entry Lejar
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Pengguna {0} telah diberikan kepada Pekerja {1}
DocType: Lab Test Groups,Add new line,Tambah barisan baru
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Buat Lead
DocType: Production Plan,Projected Qty Formula,Digambarkan Formula Qty
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Penjagaan Kesihatan
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Kelewatan dalam pembayaran (Hari)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Butiran Templat Terma Pembayaran
DocType: Hotel Room Reservation,Guest Name,Nama tetamu
DocType: Delivery Note,Issue Credit Note,Nota Kredit Terbitan
DocType: Lab Prescription,Lab Prescription,Preskripsi Lab
,Delay Days,Hari Kelewatan
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Perbelanjaan perkhidmatan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Nombor siri: {0} sudah dirujuk dalam Sales Invoice: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Invois
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Jumlah Dikecualikan Maksimum
DocType: Purchase Invoice Item,Item Weight Details,Butiran Butiran Butiran
DocType: Asset Maintenance Log,Periodicity,Jangka masa
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Tahun fiskal {0} diperlukan
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Keuntungan / Kerugian Bersih
DocType: Employee Group Table,ERPNext User ID,ID pengguna ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Jarak minimum antara barisan tumbuhan untuk pertumbuhan optimum
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Sila pilih Pesakit untuk mendapatkan prosedur yang ditetapkan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Pertahanan
DocType: Salary Component,Abbr,Abbr
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Akaun Tally Creditors
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Row {0}: {1} {2} tidak sepadan dengan {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Row # {0}:
DocType: Timesheet,Total Costing Amount,Jumlah Kos
DocType: Sales Invoice,Vehicle No,Kenderaan Tiada
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Sila pilih Senarai Harga
DocType: Accounts Settings,Currency Exchange Settings,Tetapan Pertukaran Mata Wang
DocType: Work Order Operation,Work In Progress,Kerja Dalam Kemajuan
DocType: Leave Control Panel,Branch (optional),Cawangan (pilihan)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Baris {0}: pengguna tidak menggunakan peraturan <b>{1}</b> pada item <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Sila pilih tarikh
DocType: Item Price,Minimum Qty ,Qty Minimum
DocType: Finance Book,Finance Book,Buku Kewangan
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Senarai Holiday
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Kajian dan Tindakan
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Pekerja ini sudah mempunyai log dengan timestamp yang sama. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Akauntan
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Senarai Harga Jualan
DocType: Patient,Tobacco Current Use,Penggunaan Semasa Tembakau
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Kadar Jualan
DocType: Cost Center,Stock User,Saham pengguna
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Maklumat perhubungan
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Cari apa ...
DocType: Company,Phone No,Telefon No
DocType: Delivery Trip,Initial Email Notification Sent,Pemberitahuan E-mel Awal Dihantar
DocType: Bank Statement Settings,Statement Header Mapping,Pemetaan Tajuk Pernyataan
,Sales Partners Commission,Pasangan Jualan Suruhanjaya
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Pelarasan Membulat
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Singkatan tidak boleh mempunyai lebih daripada 5 aksara
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Permintaan Bayaran
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Untuk melihat log Mata Ganjaran yang diberikan kepada Pelanggan.
DocType: Asset,Value After Depreciation,Nilai Selepas Susutnilai
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Tidak menemui item yang dipindahkan {0} dalam Perintah Kerja {1}, item yang tidak ditambahkan dalam Entry Saham"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Berkaitan
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Tarikh kehadirannya tidak boleh kurang daripada tarikh pendaftaran pekerja
DocType: Grading Scale,Grading Scale Name,Grading Nama Skala
DocType: Employee Training,Training Date,Tarikh Latihan
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Tambah Pengguna ke Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Ini adalah akaun akar dan tidak boleh diedit.
DocType: POS Profile,Company Address,Alamat syarikat
DocType: BOM,Operations,Operasi
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Tidak boleh menetapkan kebenaran secara Diskaun untuk {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,Bil JSON e-Way tidak dapat dijana untuk Pulangan Jualan sehingga sekarang
DocType: Subscription,Subscription Start Date,Tarikh Mula Langganan
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Akaun boleh terima lalai untuk digunakan jika tidak ditetapkan dalam Pesakit untuk menempah caj Pelantikan.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Lampirkan fail csv dengan dua lajur, satu untuk nama lama dan satu untuk nama baru"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Dari Alamat 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Dapatkan Butiran Dari Perisytiharan
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} tidak dalam apa-apa aktif Tahun Anggaran.
DocType: Packed Item,Parent Detail docname,Detail Ibu Bapa docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Rujukan: {0}, Kod Item: {1} dan Pelanggan: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} tidak terdapat di syarikat induk
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Tarikh Akhir Tempoh Percubaan Tidak boleh sebelum Tarikh Mula Tempoh Percubaan
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Kategori Pemotongan Cukai
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Batalkan kemasukan jurnal {0} dahulu
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM tidak dinyatakan untuk subkontrak item {0} pada baris {1}
DocType: Vital Signs,Reflexes,Refleks
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,Keputusan {0} diserahkan
DocType: Item Attribute,Increment,Kenaikan
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Bantuan Keputusan untuk
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Pilih Warehouse ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Pengiklanan
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Syarikat yang sama memasuki lebih daripada sekali
DocType: Patient,Married,Berkahwin
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Tidak dibenarkan untuk {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Mendapatkan barangan dari
DocType: Stock Entry,Send to Subcontractor,Hantar ke Subkontraktor
DocType: Purchase Invoice,Apply Tax Withholding Amount,Memohon Jumlah Pegangan Cukai
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Jumlah qty yang lengkap tidak boleh melebihi kuantiti
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Saham tidak boleh dikemaskini terhadap Penghantaran Nota {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Jumlah Jumlah Dikreditkan
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Tiada perkara yang disenaraikan
DocType: Asset Repair,Error Description,Ralat Penerangan
DocType: Payment Reconciliation,Reconcile,Mendamaikan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Barang runcit
DocType: Quality Inspection Reading,Reading 1,Membaca 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Dana pencen
DocType: Exchange Rate Revaluation Account,Gain/Loss,Keuntungan / Kerugian
DocType: Crop,Perennial,Perennial
DocType: Program,Is Published,Telah Diterbitkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Tunjukkan Nota Penghantaran
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Untuk membenarkan pengebilan, kemas kini &quot;Lebihan Elaun Penagihan&quot; dalam Tetapan Akaun atau Item."
DocType: Patient Appointment,Procedure,Prosedur
DocType: Accounts Settings,Use Custom Cash Flow Format,Gunakan Format Aliran Tunai Kastam
DocType: SMS Center,All Sales Person,Semua Orang Jualan
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Pengagihan Bulanan ** membantu anda mengedarkan Bajet / sasaran seluruh bulan jika anda mempunyai bermusim dalam perniagaan anda.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Bukan perkakas yang terdapat
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Struktur Gaji Hilang
DocType: Lead,Person Name,Nama Orang
,Supplier Ledger Summary,Ringkasan Ledger Pembekal
DocType: Sales Invoice Item,Sales Invoice Item,Perkara Invois Jualan
DocType: Quality Procedure Table,Quality Procedure Table,Jadual Prosedur Kualiti
DocType: Account,Credit,Kredit
DocType: POS Profile,Write Off Cost Center,Tulis Off PTJ
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",contohnya &quot;Sekolah Rendah&quot; atau &quot;Universiti&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Laporan saham
DocType: Warehouse,Warehouse Detail,Detail Gudang
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Tarikh pemeriksaan karbon terakhir tidak boleh menjadi tarikh yang akan datang
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Tarikh Akhir Term tidak boleh lewat daripada Tarikh Akhir Tahun Akademik Tahun yang istilah ini dikaitkan (Akademik Tahun {}). Sila betulkan tarikh dan cuba lagi.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Adakah Aset Tetap&quot; tidak boleh dibiarkan, kerana rekod aset wujud terhadap item"
DocType: Delivery Trip,Departure Time,Masa berlepas
DocType: Vehicle Service,Brake Oil,Brek Minyak
DocType: Tax Rule,Tax Type,Jenis Cukai
,Completed Work Orders,Perintah Kerja yang telah selesai
DocType: Support Settings,Forum Posts,Forum Posts
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Tugas itu telah dipenuhi sebagai pekerjaan latar belakang. Sekiranya terdapat sebarang masalah dalam pemprosesan di latar belakang, sistem akan menambah komen mengenai kesilapan pada Penyelesaian Stok ini dan kembali ke peringkat Draf"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Maaf, kesahihan kod kupon belum bermula"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Amaun yang dikenakan cukai
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Anda tidak dibenarkan untuk menambah atau update entri sebelum {0}
DocType: Leave Policy,Leave Policy Details,Tinggalkan Butiran Dasar
DocType: BOM,Item Image (if not slideshow),Perkara imej (jika tidak menayang)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Baris # {0}: Operasi {1} tidak siap untuk {2} qty barangan siap dalam Perintah Kerja {3}. Sila kemas kini status operasi melalui Job Job {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Kadar sejam / 60) * Masa Operasi Sebenar
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Baris # {0}: Jenis Dokumen Rujukan mestilah salah satu Tuntutan Perbelanjaan atau Kemasukan Jurnal
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Pilih BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,Ringing
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Kos Item Dihantar
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Cuti pada {0} bukan antara Dari Tarikh dan To Date
DocType: Inpatient Record,Admission Scheduled,Kemasukan Dijadualkan
DocType: Student Log,Student Log,Log pelajar
