DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: Patient Encounter,Investigations,Uchunguzi
DocType: Restaurant Order Entry,Click Enter To Add,Bonyeza Ingia Kuongeza
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Thamani ya Hifadhi ya Nenosiri, Muhimu wa API au Duka la Duka"
DocType: Employee,Rented,Ilipangwa
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Akaunti zote
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Haiwezi kuhamisha Mfanyakazi na hali ya kushoto
DocType: Vehicle Service,Mileage,Mileage
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Je! Kweli unataka kugawa kipengee hiki?
DocType: Drug Prescription,Update Schedule,Sasisha Ratiba
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Chagua Mtoa Default
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Onyesha Mfanyakazi
DocType: Payroll Period,Standard Tax Exemption Amount,Kiwango cha Msamaha wa Ushuru
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Kiwango cha New Exchange
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Fedha inahitajika kwa Orodha ya Bei {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Itahesabiwa katika shughuli.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT -YYYY.-
DocType: Purchase Order,Customer Contact,Mawasiliano ya Wateja
DocType: Shift Type,Enable Auto Attendance,Washa Kuhudhuria Moja kwa moja
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Tafadhali ingiza Ghala na Tarehe
DocType: Lost Reason Detail,Opportunity Lost Reason,Fursa waliopotea Sababu
DocType: Patient Appointment,Check availability,Angalia upatikanaji
DocType: Retention Bonus,Bonus Payment Date,Tarehe ya Malipo ya Bonasi
DocType: Employee,Job Applicant,Mwombaji wa Ayubu
DocType: Job Card,Total Time in Mins,Jumla ya Muda katika Pesa
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Hii inategemea mashirikiano dhidi ya Wasambazaji huu. Tazama kalenda ya chini kwa maelezo zaidi
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Asilimia ya upungufu kwa Kazi ya Kazi
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV -YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Kisheria
DocType: Sales Invoice,Transport Receipt Date,Tarehe ya Rekodi ya Usafiri
DocType: Shopify Settings,Sales Order Series,Mipango ya Utaratibu wa Mauzo
DocType: Vital Signs,Tongue,Lugha
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Kodi halisi ya aina haiwezi kuingizwa katika kiwango cha kipengee kwenye mstari {0}
DocType: Allowed To Transact With,Allowed To Transact With,Imeruhusiwa Kufanikisha Na
DocType: Bank Guarantee,Customer,Wateja
DocType: Purchase Receipt Item,Required By,Inahitajika
DocType: Delivery Note,Return Against Delivery Note,Kurudi dhidi ya Kumbuka utoaji
DocType: Asset Category,Finance Book Detail,Maelezo ya Kitabu cha Fedha
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Uchakavu wote umehifadhiwa
DocType: Purchase Order,% Billed,Imelipwa
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Nambari ya malipo
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Kiwango cha Exchange lazima iwe sawa na {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Ufafanuzi wa HRA
DocType: Sales Invoice,Customer Name,Jina la Wateja
DocType: Vehicle,Natural Gas,Gesi ya asili
DocType: Project,Message will sent to users to get their status on the project,Ujumbe utatumwa kwa watumiaji kupata hali yao kwenye mradi huo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Akaunti ya benki haiwezi kuitwa jina la {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA kwa Muundo wa Mshahara
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Viongozi (au makundi) ambayo Maingilio ya Uhasibu hufanywa na mizani huhifadhiwa.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Bora kwa {0} haiwezi kuwa chini ya sifuri ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Tarehe ya Kuacha Huduma haiwezi kuwa kabla ya Tarehe ya Huduma ya Huduma
DocType: Manufacturing Settings,Default 10 mins,Default 10 mins
DocType: Leave Type,Leave Type Name,Acha Jina Aina
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Onyesha wazi
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Mfululizo umehifadhiwa kwa ufanisi
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Angalia
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} mfululizo {1}
DocType: Asset Finance Book,Depreciation Start Date,Tarehe ya kuanza ya kushuka kwa thamani
DocType: Pricing Rule,Apply On,Tumia Ombi
DocType: Item Price,Multiple Item prices.,Vipengee vya Bidhaa nyingi.
,Purchase Order Items To Be Received,Vitu vya Utaratibu wa Ununuzi Ili Kupokea
DocType: SMS Center,All Supplier Contact,Mawasiliano Yote ya Wasambazaji
DocType: Support Settings,Support Settings,Mipangilio ya Kusaidia
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Akaunti {0} imeongezwa katika kampuni ya watoto {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Uthibitishaji batili
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Inapatikana (iwe katika sehemu kamili)
DocType: Amazon MWS Settings,Amazon MWS Settings,Mipangilio ya MWS ya Amazon
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Inashughulikia Vocha
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Kiwango lazima kiwe sawa na {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Kipengee cha Muhtasari wa Kipengee Hali
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Rasimu ya Benki
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV -YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Jumla ya Marekebisho ya Marehemu
DocType: Mode of Payment Account,Mode of Payment Account,Akaunti ya Akaunti ya Malipo
apps/erpnext/erpnext/config/healthcare.py,Consultation,Ushauri
DocType: Accounts Settings,Show Payment Schedule in Print,Onyesha Ratiba ya Malipo katika Chapisha
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Bidhaa anuwai imesasishwa
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Mauzo na Kurudi
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Onyesha Mabadiliko
DocType: Academic Term,Academic Term,Muda wa Elimu
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Kutolewa kwa Wafanyakazi wa Ushuru Jamii Kundi
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Tafadhali weka Anwani kwenye Kampuni &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Nyenzo
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Ufikiaji mkubwa wa mfanyakazi {0} unaozidi {1} kwa jumla ya {2} ya sehemu ya faida ya programu ya faida ya kiasi na kiasi cha awali cha kudai
DocType: Opening Invoice Creation Tool Item,Quantity,Wingi
,Customers Without Any Sales Transactions,Wateja bila Shughuli Zote za Mauzo
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Jedwali la Akaunti hawezi kuwa tupu.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Tumia API ya Uelekezaji wa Ramani za Google kuhesabu nyakati za kuwasili zinazokadiriwa
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Mikopo (Madeni)
DocType: Patient Encounter,Encounter Time,Kukutana Muda
DocType: Staffing Plan Detail,Total Estimated Cost,Jumla ya Gharama zilizohesabiwa
DocType: Employee Education,Year of Passing,Mwaka wa Kupitisha
DocType: Routing,Routing Name,Jina la Routing
DocType: Item,Country of Origin,Nchi ya asili
DocType: Soil Texture,Soil Texture Criteria,Vigezo vya Maandishi ya Udongo
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Katika Stock
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Maelezo ya Mawasiliano ya Msingi
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Masuala ya Fungua
DocType: Production Plan Item,Production Plan Item,Kipengee cha Mpango wa Uzalishaji
DocType: Leave Ledger Entry,Leave Ledger Entry,Acha Kuingia kwa Ledger
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Mtumiaji {0} tayari amepewa Wafanyakazi {1}
DocType: Lab Test Groups,Add new line,Ongeza mstari mpya
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Unda Kiongozi
DocType: Production Plan,Projected Qty Formula,Mfumo wa Qty uliyotarajiwa
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Huduma ya afya
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Kuchelewa kwa malipo (Siku)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Masharti ya Malipo Kigezo Maelezo
DocType: Hotel Room Reservation,Guest Name,Jina la Wageni
DocType: Delivery Note,Issue Credit Note,Suala la Mikopo
DocType: Lab Prescription,Lab Prescription,Dawa ya Dawa
,Delay Days,Siku za kuchelewa
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Gharama za Huduma
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Nambari ya Serial: {0} tayari imeelezea katika Invoice ya Mauzo: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Invoice
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Kiasi cha juu cha Msamaha
DocType: Purchase Invoice Item,Item Weight Details,Kipengee Maelezo ya Uzito
DocType: Asset Maintenance Log,Periodicity,Periodicity
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Mwaka wa Fedha {0} inahitajika
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Faida / Upotezaji wa jumla
DocType: Employee Group Table,ERPNext User ID,Kitambulisho cha Mtumiaji cha ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Umbali wa chini kati ya safu ya mimea kwa ukuaji bora
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Tafadhali chagua Mgonjwa kupata utaratibu uliowekwa
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Ulinzi
DocType: Salary Component,Abbr,Abbr
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Akaunti ya Wahasibu wa Tally
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Row {0}: {1} {2} hailingani na {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Row # {0}:
DocType: Timesheet,Total Costing Amount,Kiasi cha jumla ya gharama
DocType: Sales Invoice,Vehicle No,Hakuna Gari
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Tafadhali chagua Orodha ya Bei
DocType: Accounts Settings,Currency Exchange Settings,Mipangilio ya Kubadilisha Fedha
DocType: Work Order Operation,Work In Progress,Kazi inaendelea
DocType: Leave Control Panel,Branch (optional),Tawi (hiari)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Row {0}: Mtumiaji hajatumia sheria <b>{1}</b> kwenye bidhaa <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Tafadhali chagua tarehe
DocType: Item Price,Minimum Qty ,Uchina cha Chini
DocType: Finance Book,Finance Book,Kitabu cha Fedha
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC -YYYY.-
DocType: Daily Work Summary Group,Holiday List,Orodha ya likizo
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Mapitio na Kitendo
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Mfanyikazi huyu tayari ana logi na alama ya muda sawa. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Mhasibu
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Orodha ya Bei ya Kuuza
DocType: Patient,Tobacco Current Use,Tabibu Matumizi ya Sasa
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Kiwango cha Mauzo
DocType: Cost Center,Stock User,Mtumiaji wa hisa
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Maelezo ya Mawasiliano
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Tafuta chochote ...
DocType: Company,Phone No,No Simu
DocType: Delivery Trip,Initial Email Notification Sent,Arifa ya awali ya barua pepe iliyotumwa
DocType: Bank Statement Settings,Statement Header Mapping,Maelezo ya Ramani ya kichwa
,Sales Partners Commission,Tume ya Washirika wa Mauzo
DocType: Soil Texture,Sandy Clay Loam,Mchanga wa Clay Mchanga
DocType: Purchase Invoice,Rounding Adjustment,Marekebisho ya Upangaji
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Hali haiwezi kuwa na wahusika zaidi ya 5
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Ombi la Malipo
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Kuangalia kumbukumbu za Uaminifu Pointi zilizopewa Wateja.
DocType: Asset,Value After Depreciation,Thamani Baada ya kushuka kwa thamani
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Kuhusiana
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Tarehe ya kuhudhuria haiwezi kuwa chini ya tarehe ya kujiunga na mfanyakazi
DocType: Grading Scale,Grading Scale Name,Kuweka Jina la Scale
DocType: Employee Training,Training Date,Tarehe ya Mafunzo
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Ongeza Watumiaji kwenye Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Hii ni akaunti ya mizizi na haiwezi kuhaririwa.
DocType: POS Profile,Company Address,Anwani ya Kampuni
DocType: BOM,Operations,Uendeshaji
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Haiwezi kuweka idhini kulingana na Punguzo la {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,E-Way Bill JSON haiwezi kuzalishwa kwa Uuzaji wa Uuzaji kama wa sasa
DocType: Subscription,Subscription Start Date,Tarehe ya Kuanza ya Usajili
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Akaunti zilizopatikana zinazotumiwa kutumiwa ikiwa haziwekwa katika Mgonjwa ili uweze kulipa gharama za Uteuzi.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Weka faili ya .csv na nguzo mbili, moja kwa jina la zamani na moja kwa jina jipya"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Kutoka kwenye Anwani ya 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Pata Maelezo Kutoka kwa Azimio
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} sio mwaka wowote wa Fedha.
DocType: Packed Item,Parent Detail docname,Jina la jina la Mzazi
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Rejea: {0}, Msimbo wa Item: {1} na Wateja: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} haipo katika kampuni ya mzazi
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Tarehe ya mwisho ya kipindi cha majaribio Haiwezi kuwa kabla ya Tarehe ya Kuanza ya Kipindi
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kilo
DocType: Tax Withholding Category,Tax Withholding Category,Jamii ya Kuzuia Ushuru
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Futa kuingia kwa gazeti {0} kwanza
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV -YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM haijainishwa kwa kipengee cha kutenganisha {0} katika mfululizo {1}
DocType: Vital Signs,Reflexes,Reflexes
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,Matokeo ya {0} yaliyotolewa
DocType: Item Attribute,Increment,Uingizaji
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Matokeo ya Msaada kwa
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Chagua Warehouse ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Matangazo
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Kampuni sawa imeingia zaidi ya mara moja
DocType: Patient,Married,Ndoa
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Hairuhusiwi kwa {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Pata vitu kutoka
DocType: Stock Entry,Send to Subcontractor,Tuma kwa Subcontractor
DocType: Purchase Invoice,Apply Tax Withholding Amount,Tumia Kizuizi cha Ushuru wa Kuomba
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Jumla ya qty iliyokamilishwa haiwezi kuwa kubwa kuliko kwa wingi
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Hifadhi haiwezi kurekebishwa dhidi ya Kumbuka Utoaji {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Jumla ya Kizuizi
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Hakuna vitu vilivyoorodheshwa
DocType: Asset Repair,Error Description,Maelezo ya Hitilafu
DocType: Payment Reconciliation,Reconcile,Kuunganishwa
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Kula
DocType: Quality Inspection Reading,Reading 1,Kusoma 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Mfuko wa Pensheni
DocType: Exchange Rate Revaluation Account,Gain/Loss,Kupata / Kupoteza
DocType: Crop,Perennial,Kudumu
DocType: Program,Is Published,Imechapishwa
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Onyesha Vidokezo vya Uwasilishaji
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Ili kuruhusu malipo zaidi, sasisha &quot;Idhini ya malipo ya juu ya bili&quot; katika Mipangilio ya Akaunti au Bidhaa."
DocType: Patient Appointment,Procedure,Utaratibu
DocType: Accounts Settings,Use Custom Cash Flow Format,Tumia Format ya Msajili wa Fedha ya Desturi
DocType: SMS Center,All Sales Person,Mtu wa Mauzo wote
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Usambazaji wa kila mwezi ** husaidia kusambaza Bajeti / Target miezi miwili ikiwa una msimu katika biashara yako.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Si vitu vilivyopatikana
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Mfumo wa Mshahara Ukosefu
DocType: Lead,Person Name,Jina la Mtu
,Supplier Ledger Summary,Muhtasari wa Ledger
DocType: Sales Invoice Item,Sales Invoice Item,Bidhaa Invoice Bidhaa
DocType: Quality Procedure Table,Quality Procedure Table,Jedwali la Utaratibu wa Ubora
DocType: Account,Credit,Mikopo
DocType: POS Profile,Write Off Cost Center,Andika Kituo cha Gharama
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",mfano &quot;Shule ya Msingi&quot; au &quot;Chuo Kikuu&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Ripoti za hisa
DocType: Warehouse,Warehouse Detail,Maelezo ya Ghala
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Tarehe ya mwisho ya kuangalia kaboni haiwezi kuwa tarehe ya baadaye
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Tarehe ya Mwisho wa Mwisho haiwezi kuwa baadaye kuliko Tarehe ya Mwisho wa Mwaka wa Mwaka wa Chuo ambazo neno hilo limeunganishwa (Mwaka wa Chuo {}). Tafadhali tengeneza tarehe na jaribu tena.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Je, Mali isiyohamishika&quot; hawezi kufunguliwa, kama rekodi ya Malipo ipo dhidi ya kipengee"
DocType: Delivery Trip,Departure Time,Wakati wa Kuondoka
DocType: Vehicle Service,Brake Oil,Mafuta ya Brake
DocType: Tax Rule,Tax Type,Aina ya Kodi
,Completed Work Orders,Maagizo ya Kazi Iliyokamilishwa
DocType: Support Settings,Forum Posts,Ujumbe wa Vikao
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Kazi imejumuishwa kama kazi ya msingi. Ila ikiwa kuna suala lolote juu ya usindikaji nyuma, mfumo utaongeza maoni juu ya kosa kwenye Maridhiano haya ya Hisa na kurudi kwenye hatua ya Rasimu."
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Samahani, uhalali wa msimbo wa kuponi haujaanza"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Kiwango cha Ushuru
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Huna mamlaka ya kuongeza au kusasisha safu kabla ya {0}
DocType: Leave Policy,Leave Policy Details,Acha maelezo ya Sera
DocType: BOM,Item Image (if not slideshow),Image Image (kama si slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Njia # {0}: Operesheni {1} haijakamilika kwa {2} qty ya bidhaa kumaliza katika Agizo la Kazi {3}. Tafadhali sasisha hali ya operesheni kupitia Kadi ya kazi {4}.
