Pension Funds,ஓய்வூதிய நிதி
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","விற்பனை மற்றும் கொள்முதல் செய்யக்கூடிய நிலையான விதிமுறைகள் மற்றும் நிபந்தனைகள். எடுத்துக்காட்டுகள்: 1. சலுகையின் செல்லுபடியாகும். 1. பணம் செலுத்தும் விதிமுறைகள் (முன்கூட்டியே, கடன், பகுதி முன்கூட்டியே). 1. கூடுதல் என்ன (அல்லது வாடிக்கையாளரால் செலுத்தப்படுகிறது). 1. பாதுகாப்பு / பயன்பாட்டு எச்சரிக்கை. 1. உத்தரவாதத்தை ஏதேனும் இருந்தால். 1. Returns கொள்கை. 1. கப்பல் விதிமுறைகள், பொருந்தினால். 1. மோதல்கள், இழப்பீடு, பொறுப்பு, முதலியன 1. உங்கள் நிறுவனத்தின் முகவரி மற்றும் தொடர்பு."
Leave Status Notification,நிலை அறிவிப்பை விடு
Designation Skill,பதவி திறன்
Quantity required for Item {0} in row {1},{0} வரிசையில் {0} பொருள் தேவை
"To filter based on Party, select Party Type first","கட்சி அடிப்படையில் வடிகட்ட, முதலில் கட்சி வகை தேர்ந்தெடுக்கவும்"
No Salary Structure assigned for Employee {0} on given date {1},கொடுக்கப்பட்ட தேதியில் பணியாளர் {0} க்கு ஒதுக்கப்படும் சம்பள அமைப்பு {1}
Number,எண்
Separate course based Group for every Batch,ஒவ்வொரு தொகுதிக்குமான பிரிவு அடிப்படையிலான குழு
Require Lab Test Approval,லேப் சோதனை ஒப்புதல் தேவை
Update Clearance Date,புதுப்பித்தல் தேதி புதுப்பிக்கவும்
Import Chart of Accounts from a csv file,ஒரு csv கோப்பில் இருந்து கணக்குகளின் இறக்குமதி அட்டவணை
"Support for public app is deprecated. Please setup private app, for more details refer user manual","பொது பயன்பாட்டிற்கான ஆதரவு மறுக்கப்பட்டது. தயவுசெய்து தனிப்பட்ட பயன்பாட்டை அமைக்கவும், மேலும் விவரங்களுக்கு பயனர் கையேட்டைப் பார்க்கவும்"
Signed,கையொப்பமிடப்பட்ட
Terms and Conditions1,விதிமுறைகள் மற்றும் நிபந்தனைகள் 1
Please select Employee Record first.,முதலில் பணியாளர் பதிவைத் தேர்ந்தெடுக்கவும்.
Password policy for Salary Slips is not set,சம்பள சரிவுகளுக்கான கடவுச்சொல் கொள்கை அமைக்கப்படவில்லை
Result HTML,முடிவு HTML
Ignore holidays,விடுமுறையை புறக்கணியுங்கள்
Linked Soil Texture,இணைக்கப்பட்ட மண் தோற்றம்
This is based on logs against this Vehicle. See timeline below for details,இந்த வாகனத்திற்கு எதிரான பதிவுகள் அடிப்படையாகக் கொண்டவை. விபரங்களுக்கு கீழே காலவரிசைப் பார்க்கவும்
ACC-PAY-.YYYY.-,ஏசிசி-பே-.YYYY.-
Emergency Contact,அவசர தொடர்பு
Authorization URL,அங்கீகார URL
On Leave,விட்டு விடு
Show a slideshow at the top of the page,பக்கத்தில் மேலே ஒரு ஸ்லைடுஷோ காட்ட
Payer Settings,கொடுப்பனவு அமைப்புகள்
Set Tax Rule for shopping cart,வணிக வண்டிக்கு வரி விதி அமைக்கவும்
In Production,தயாரிப்பில்
Payment References,பணம் குறிப்புகள்
Valid Till,செல்லுபடியாகாத காலம்
{0}: From {0} of type {1},{0}: {0} வகை {0}
Project Name,திட்டப்பணி பெயர்
Stock Qty,பங்குச்சந்தை
Child Item should not be a Product Bundle. Please remove item `{0}` and save,குழந்தை பொருள் ஒரு தயாரிப்பு மூட்டை இருக்க கூடாது. தயவுசெய்து பொருளை `{0}` நீக்கு மற்றும் சேமி
Response Result Key Path,பதில் முடிவு விசை பாதை
Fully Sponsored,முழுமையாக ஸ்பான்சர்
Not permitted. Please disable the Service Unit Type,அனுமதி இல்லை. சேவை பிரிவு வகை முடக்கவும்
Offline POS Settings,ஆஃப்லைன் POS அமைப்புகள்
Calculations,கணக்கீடுகள்
Material Requested,பொருள் கோரப்பட்டது
Reference Row,குறிப்பு வரிசை
Annual Allocation,ஆண்டு ஒதுக்கீடு
Subcontract,துணை ஒப்பந்தம்
Valuation type charges can not marked as Inclusive,மதிப்பீட்டு வகை கட்டணங்கள் உள்ளடக்கியது என குறிக்க முடியாது
Account {0}: Parent account {1} does not belong to company: {2},கணக்கு {0}: பெற்றோர் கணக்கு {1} நிறுவனத்திற்கு சொந்தமானது அல்ல: {2}
Failed to login,உள்நுழைய முடியவில்லை
Items and Pricing,பொருட்கள் மற்றும் விலை
Payment Terms Template,கொடுப்பனவு விதிமுறைகள் வார்ப்புரு
Previous Work Experience,முந்தைய வேலை அனுபவம்
Program,திட்டம்
Healthcare,ஹெல்த்கேர்
Complaint,புகார்
Restrict to Countries,நாடுகளுக்கு கட்டுப்படுத்து
Item Manager,பொருள் மேலாளர்
Currency of the Closing Account must be {0},மூடிய கணக்குகளின் நாணயம் {0}
Opening Invoice Item,விலைப்பட்டியல் பொருள் திறக்கிறது
Plan material for sub-assemblies,துணை கூட்டங்களுக்கு திட்டமிட்ட பொருள்
Hardware,வன்பொருள்
Action if Annual Budget Exceeded on MR,வருடாந்த வரவு செலவுத் திட்டம் எம்.ஆர்
Advance Amount,அட்வான்ஸ் தொகை
Against Sales Invoice Item,விற்பனை விலைப்பட்டியல் பொருள் எதிராக
HR-EXP-.YYYY.-,மனிதவள-ஓ-.YYYY.-
Include Item In Manufacturing,உற்பத்தியில் பொருள் அடங்கும்
Check in (group),சரிபார்க்கவும் (குழு)
Do not show any symbol like $ etc next to currencies.,நாணயங்களுக்கு அடுத்ததாக $ போன்ற எந்த குறியையும் காண்பிக்க வேண்டாம்.
Salary Component Type,சம்பள உபகரண வகை
The shareholder does not belong to this company,பங்குதாரர் இந்த நிறுவனத்திற்கு சொந்தமானவர் அல்ல
Day(s) after the end of the invoice month,விலைப்பட்டியல் மாதத்தின் முடிவிற்குப் பிறகு நாள் (கள்)
Vehicle Type,வாகன வகை
Healthcare Administrator,சுகாதார நிர்வாகி
Single Transaction Threshold,ஒற்றை பரிவர்த்தனை புழக்கம்
Broadcasting,ஒலிபரப்பு
Post Title Key,இடுகை தலைப்பு விசை
Customer Primary Address,வாடிக்கையாளர் முதன்மை முகவரி
Please select batches for batched item ,பாக்கெட் உருப்படிக்கு பாட்சிகளைத் தேர்ந்தெடுக்கவும்
Min Qty,Min Qty
Payment Deductions or Loss,கட்டணம் விலக்குகள் அல்லது இழப்பு
On Item Quantity,பொருள் அளவு மீது
Replace BOM and update latest price in all BOMs,BOM ஐ மாற்றவும் மற்றும் அனைத்து BOM களில் சமீபத்திய விலையை மேம்படுத்தவும்
Both Trial Period Start Date and Trial Period End Date must be set,சோதனை காலம் இரு தொடக்க தேதி மற்றும் சோதனை காலம் முடிவு தேதி அமைக்கப்பட வேண்டும்
No time sheets,நேரம் தாள்கள் இல்லை
Statement Header Mapping,அறிக்கை தலைப்பு மேப்பிங்
Mark Half Day,மார்க் அரை நாள்
Material Transfer for Manufacture,தயாரிப்பிற்கான பொருள் மாற்றம்
Block Supplier,பிளாக் சப்ளையர்
Please enter Woocommerce Server URL,Woocommerce Server URL ஐ உள்ளிடுக
From Place,இடம் இருந்து
No contacts with email IDs found.,மின்னஞ்சல் ID களுடன் தொடர்புகள் இல்லை.
Consumption Invoiced,நுகர்வோர் Invoiced
Requested Quantity,கோரப்பட்ட அளவு
Exit,வெளியேறு
Dispatch Information,டிஸ்பாட்ச் தகவல்
Basic Amount (Company Currency),அடிப்படை தொகை (நிறுவனத்தின் நாணய)
Selling Settings,அமைப்புகள் விற்பனை
A question must have more than one options,ஒரு கேள்விக்கு ஒன்றுக்கு மேற்பட்ட விருப்பங்கள் இருக்க வேண்டும்
Please set the Date Of Joining for employee {0},தயவுசெய்து ஊழியருக்கான சேர தேதி அமைக்கவும் {0}
About your company,உங்கள் நிறுவனம் பற்றி
Fiscal Year {0} does not exist,நிதி ஆண்டு {0} இல்லை
Leave Application,விடுமுறை விண்ணப்பம்
Maintenance Log,பராமரிப்பு பதிவு
Invalid Posting Time,தவறான இடுகை நேரம்
Discount,தள்ளுபடி
Redeem Loyalty Points,விசுவாச புள்ளிகளைக் குறைக்கவும்
Quotation Series,மேற்கோள் தொடர்
Occupation,தொழில்
Opening Stock,பங்கு திறக்கிறது
Supplier Score,சப்ளையர் ஸ்கோர்
Only show Items from these Item Groups,இந்த பொருள் குழுக்களில் உள்ள உருப்படிகளை மட்டும் காண்பி
Time In Mins,நிமிடங்களில் நேரம்
Item {0} does not exist in the system or has expired,பொருள் {0} கணினியில் இல்லை அல்லது காலாவதியானது
Price Discount Scheme,விலை தள்ளுபடி திட்டம்
Hyper,உயர்
What does it do?,அது என்ன செய்யும்?
Sales Invoice Trends,விற்பனை விலைப்பட்டியல் போக்குகள்
Payment Entries,கட்டணம் உள்ளீடு
Class / Percentage,வகுப்பு / சதவீதம்
Electronic Invoice Register,மின்னணு விலைப்பட்டியல் பதிவு
Is Return (Credit Note),திரும்ப (கடன் குறிப்பு)
Lab Test Sample,லேப் டெஸ்ட் மாதிரி
status html,நிலை HTML
"For e.g. 2012, 2012-13","எ.கா. 2012, 2012-13 க்கு"
disabled user,முடக்கப்பட்ட பயனர்
ES,இஎஸ்
Warehouse Type,கிடங்கு வகை
Quick Journal Entry,விரைவு பத்திரிகை நுழைவு
Consumed Amount,நுகர்வோர் தொகை
Already completed,ஏற்கனவே முடிந்தது
Pending Amount,நிலுவை தொகை
Warn RFQs,RFQ களை எச்சரிக்கவும்
Lab Prescription,ஆய்வக ஆய்வகம்
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,தேய்மானம் வரிசை {0}: அடுத்த தேதியற்ற தேதி கிடைக்கக்கூடிய தேதிக்கு முன்பாக இருக்க முடியாது
USD,அமெரிக்க டாலர்
Departure Time,புறப்படும் நேரம்
Donor Type,நன்கொடை வகை
Monthly Sales Target,மாதாந்திர விற்பனை இலக்கு
Redemption Date,மீட்பு தேதி
Approving User cannot be same as user the rule is Applicable To,விதிமுறை பொருந்தக்கூடிய பயனர் ஏற்றுக்கொள்ள முடியாது
Fee Schedule Student Group,கட்டணம் அட்டவணை மாணவர் குழு
 From Date can not be greater than To Date,தேதி முதல் தேதி வரை இருக்க முடியாது
Please specify a {0},தயவுசெய்து ஒரு {0}
To GSTIN,GSTIN க்கு
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,காலவரையறை தேதிக்கு முந்தைய காலவரையிலான தேதி முடிவடையாது. தேதியை சரிசெய்து மீண்டும் முயற்சிக்கவும்.
No Employee Found,பணியாளர் இல்லை
Exemption Category,விலக்கு பிரிவு
Create Disbursement Entry,அனுப்புதல் நுழைவு உருவாக்கவும்
Purpose must be one of {0},நோக்கம் {0}
Last Activity ,கடந்த செயல்பாடு
A link to all the Locations in which the Crop is growing,பயிர் வளரும் அனைத்து இடங்களுக்கும் ஒரு இணைப்பு
Maximum leave allowed in the leave type {0} is {1},விடுப்பு வகை {0} இல் அனுமதிக்கப்படும் அதிகபட்ச விடுப்பு {1}
Qty to Transfer,இடமாற்றம் செய்ய Qty
Please identify/create Account (Group) for type - {0},வகைப்படுத்தவும் / கணக்கை உருவாக்கவும் (குழு) - {0}
Please set default customer group and territory in Selling Settings,அமைப்புகளை விற்பதில் இயல்புநிலை வாடிக்கையாளர் குழு மற்றும் பிரதேசத்தை அமைக்கவும்
There isn't any item variant for the selected item,தேர்ந்தெடுக்கப்பட்ட உருப்படிக்கு ஏதேனும் உருப்படியை மாற்று இல்லை
Contract Details,ஒப்பந்த விவரங்கள்
"Select, to make the customer searchable with these fields","தேர்ந்தெடுக்கவும், இந்த துறைகள் வாடிக்கையாளரை தேடச் செய்ய"
Total Actual,மொத்த உண்மை
Change Code,குறியீட்டை மாற்றவும்
Planting Area,நடவு பகுதி
Employee Grade (optional),பணியாளர் வகுப்பு (விரும்பினால்)
Cost Center For Item with Item Code ',பொருள் கோட் கொண்ட பொருள் விலை மையம் &#39;
Default Stock UOM,இயல்புநிலை பங்கு UOM
Rent Cost,வாடகைக்கு வாடகை
Training Result,பயிற்சி முடிவு
Work Order not created,வேலை ஆணை உருவாக்கப்படவில்லை
Meter,மீட்டர்
Hero Image,ஹீரோ இமேஜ்
No Items to pack,பேக் எதுவும் இல்லை
Delivery warehouse required for stock item {0},பங்கு உருப்படிக்கு டெலிவரி கிடங்கை தேவை {0}
SGST Amount,SGST தொகை
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","கிரெடிட் கார்டில் ஏற்கனவே உள்ள கணக்கு சமநிலை, &#39;டெலிட்&#39; ஆக &#39;சமநிலை மெய்நிகர்&#39;"
GSTR 3B Report,GSTR 3B அறிக்கை
Rate & Amount,விகிதம் &amp; தொகை
Debit To is required,டெபிட் தேவைப்படுகிறது
Item Name,பொருளின் பெயர்
Cost of New Purchase,புதிய கொள்முதல் செலவு
Additional information regarding the customer.,வாடிக்கையாளர் பற்றிய கூடுதல் தகவல்.
Wrong,தவறான
Batch Inventory,பேட்ச் இன்வெஸ்டரி
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","பணியாளருக்கு மின்னஞ்சல் அனுப்பப்படும் சம்பள ஸ்லிப் கடவுச்சொல் பாதுகாக்கப்படும், கடவுச்சொல் பாஸ்வேர்டின் அடிப்படையில் கடவுச்சொல் உருவாக்கப்படும்."
Received Amount,பெறப்பட்ட தொகை
Is Sales Item,விற்பனை பொருள்
Generate Text File,உரை கோப்பை உருவாக்குக
Variants,வகைகளில்
"Charges will be distributed proportionately based on item qty or amount, as per your selection","உங்கள் தேர்வு படி, உருப்படிகளை qty அல்லது அளவு அடிப்படையில் விகிதங்கள் விநியோகிக்கப்படும்"
Pending activities for today,இன்று நிலுவையிலுள்ள நடவடிக்கைகள்
Student Batch,மாணவர் பேட்ச்
Valuation Rate required for Item in row {0},உருப்படிக்கு மதிப்பீட்டு விகிதம் {0}
Base Hour Rate(Company Currency),பேஸ் ஹவர் ரேட் (நிறுவனத்தின் நாணயம்)
Printing Details,அச்சிடும் விவரங்கள்
Manufacturing Manager,உற்பத்தி மேலாளர்
Job Card,வேலை அட்டை
Prorate,prorate
"System User (login) ID. If set, it will become default for all HR forms.","கணினி பயனர் (உள்நுழைவு) ஐடி. அமைக்கப்பட்டால், அது அனைத்து HR வடிவங்களுக்கும் இயல்புநிலையாக மாறும்."
All Item Groups,அனைத்து பொருள் குழுக்கள்
Select Status,நிலைமையைத் தேர்ந்தெடுக்கவும்
Fixed rate,நிலையான விகிதம்
Airline,விமான நிறுவனம்
Term Details,கால விவரங்கள்
Acquisition Date,கையகப்படுத்தல் தேதி
Send To,அனுப்புங்கள்
Average Rate,சராசரி விகிதம்
Set Qty in Transactions based on Serial No Input,வரிசை இல்லை உள்ளீடு அடிப்படையிலான பரிமாற்றங்களில் Qty ஐ அமைக்கவும்
Advance account currency should be same as company currency {0},அட்வான்ஸ் கணக்கு நாணய நிறுவனம் நாணயமாக இருக்க வேண்டும் {0}
Customize Homepage Sections,முகப்பு பிரிவுகள் தனிப்பயனாக்கலாம்
October,அக்டோபர்
Hide Customer's Tax Id from Sales Transactions,விற்பனை பரிவர்த்தனையிலிருந்து வாடிக்கையாளரின் வரி ஐடியை மறைக்கவும்
Invalid GSTIN! A GSTIN must have 15 characters.,தவறான GSTIN! GSTIN க்கு 15 எழுத்துகள் இருக்க வேண்டும்.
Pricing Rule {0} is updated,விலை விதி {0} புதுப்பிக்கப்பட்டது
Contract Fulfilment Checklist,ஒப்பந்த பூர்த்திச் சரிபார்ப்பு பட்டியல்
All Products,அனைத்து தயாரிப்புகள்
Product Search,தயாரிப்புத் தேடல்
Net Pay,நிகர ஊதியம்
Total Invoiced Amt,மொத்த விலைமதிப்பற்ற அட்
Consumables Invoice Separately,தனிபயன் விலைப்பட்டியல் தனித்தனியாக
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},குழு கணக்கில் {0}
Rate and Amount,விகிதம் மற்றும் தொகை
Check availability,கிடைக்கும் என்பதை சரிபார்க்கவும்
Cannot find Item with this barcode,இந்த பார்கோடு பொருளைக் கண்டுபிடிக்க முடியவில்லை
Default Invoice Naming Series,இயல்புநிலை விலைப்பட்டியல் பெயரிடும் தொடர்
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","நீங்கள் {0} {1} உருப்படியை அளவில் <b>{2},</b> திட்டம் <b>{3}</b> உருப்படியை பயன்படுத்தப்படும் என்றால்."
Student Siblings,மாணவர் உடன்பிறப்புகள்
Journal Entry {0} does not have account {1} or already matched against other voucher,ஜர்னல் நுழைவு {0} க்கு கணக்கில் {1} இல்லை அல்லது ஏற்கனவே வேறு ரசீதுக்கு எதிராக பொருந்தவில்லை
Legal Expenses,சட்ட செலவுகள்
Checkout,வெளியேறுதல்
Membership Details,உறுப்பினர் விவரங்கள்
Please set the Customer Address,தயவுசெய்து வாடிக்கையாளரின் முகவரி அமைக்கவும்
List your products or services that you buy or sell.,நீங்கள் வாங்க அல்லது விற்கிற உங்கள் தயாரிப்புகள் அல்லது சேவைகளை பட்டியலிடுங்கள்.
Income,வருமான
Rate at which this tax is applied,இந்த வரி பயன்படுத்தப்படும் எந்த விகிதம்
Payment Receipt Note,கட்டணம் ரசீது குறிப்பு
In Percentage,சதவீதம்
Quotations received from Suppliers.,சப்ளையர்கள் இருந்து மேற்கோள்கள் பெறப்பட்டது.
Reference Due Date,குறிப்பு தேதி தேதி
Lead Time Days,டைம் டேஸ் முன்னணி
Revision and Revised On,திருத்த மற்றும் திருத்தப்பட்டது
{0} against Purchase Order {1},{0} கொள்முதல் ஆணை {0}
Fee Records Created - {0},கட்டணம் பதிவுகள் உருவாக்கப்பட்டது - {0}
Note: {0},குறிப்பு: {0}
Serial No {0} has already been received,சீரியல் இல்லை {0} ஏற்கனவே பெற்றுள்ளது
Leave Settings,அமைப்புகளை விடு
Issue Credit Note,வெளியீடு கடன் குறிப்பு
Batch Item Expiry Status,தொகுதி பொருள் காலாவதி நிலை
Stock Transactions,பங்கு பரிவர்த்தனைகள்
Event Location,நிகழ்வு இருப்பிடம்
Motion Picture & Video,மோஷன் பிக்சர் &amp; வீடியோ
Row Spacing,வரிசை இடைவெளி
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,கணக்கிற்கான கணக்கு எண் {0} கிடைக்கவில்லை. <br> தயவுசெய்து சரியாக உங்கள் கணக்கு வரைபடத்தை அமைக்கவும்.
Starting location from left edge,இடது முனை இடத்திலிருந்து தொடங்குகிறது
HR Settings,HR அமைப்புகள்
Appointments,சந்திப்புகளைப்
Asset {0} created,சொத்து {0} உருவாக்கப்பட்டது
Please enter Planned Qty for Item {0} at row {1},{0} வரிசையில் {0} பொருள் குறித்த திட்டமிடப்பட்ட Qty ஐ உள்ளிடுக
Select Batch,தொகுதி தேர்ந்தெடு
Item Description,பொருள் விளக்கம்
Account Name,கணக்கின் பெயர்
Please enter API Consumer Key,ஏபிஐ நுகர்வோர் விசை உள்ளிடவும்
Products per Page,பக்கத்திற்கு தயாரிப்புகள்
Duplicate {0} found in the table,மேஜையில் {0} நகல் உள்ளது
Default Distance Unit,இயல்புநிலை தொலைவு அலகு
Consume Stock,பங்கு எடுத்துக்கொள்ளுங்கள்
Key Performance Area,முக்கிய செயல்திறன் பகுதி
S.O. No.,எஸ்.ஓ.ஓ.
{0} not found for item {1},{0} உருப்படிக்கு {0}
Set Source Warehouse,அமை மூல கிடங்கு
Out Patient Settings,நோயாளி அமைப்புகள் வெளியே
Insurance End Date,காப்பீடு முடிவு தேதி
Branch Code,கிளை கோட்
Time To Respond,பதில் நேரம்
User Forum,பயனர் கருத்துக்களம்
Landed Cost Item,விலை பொருள் தரப்பட்டது
The seller and the buyer cannot be the same,விற்பனையாளர் மற்றும் வாங்குபவர் அதே இருக்க முடியாது
Copied From,இருந்து நகல்
Available,கிடைக்கும்
Sales Person Targets,விற்பனை நபர் இலக்குகள்
BOM Operation,BOM ஆபரேஷன்
O-,O-
Interest Amount,வட்டி தொகை
Origin,தோற்றம்
Add a new address,புதிய முகவரியைச் சேர்க்கவும்
Write Off Account,கணக்கை எழுதுங்கள்
Proposal/Price Quote,திட்டம் / விலைக் கோட்
Associate,இணை
Please input all required Result Value(s),தயவு செய்து அனைத்து தேவையான முடிவு மதிப்பு (கள்)
Purchase Order Item Supplied,ஆர்டர் பொருளை வாங்கியது
Item {0} is not a serialized Item,பொருள் {0} என்பது தொடரியல் பொருள் அல்ல
GoCardless Customer,GoCardless வாடிக்கையாளர்
Leave Balance,இருப்பு விட்டு
Maintenance Schedule {0} exists against {1},{1} க்கு எதிராக பராமரிப்பு அட்டவணை {0}
