Pension Funds,Пенсійні фонди
"Stopped Work Order cannot be cancelled, Unstop it first to cancel",Зупинений робочий порядок не може бути скасований
{0} Serial Numbers required for Item {1}. You have provided {2}.,"{0} Послідовних номерів, необхідних для елемента {1}. Ви вказали {2}."
Customer Primary Contact,Основний контакт клієнта
BOM Detail No,Деталізація специфікації №
Cash In Hand,Готівка в руці
The holiday on {0} is not between From Date and To Date,Свято на {0} не знаходиться між датою та датою
Lead must be set if Opportunity is made from Lead,"Свинець повинен бути встановлений, якщо можливість виготовлена з Lead"
Account with existing transaction can not be converted to group.,Обліковий запис з існуючою транзакцією не можна конвертувати в групу.
Timesheet {0} is already completed or cancelled,Таблиця {0} вже завершена або скасована
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Стандартні умови та положення, які можна додати до продажу та купівлі. Приклади: 1. Термін дії пропозиції. 1. Умови оплати (заздалегідь, в кредит, частина авансу і т.д.). 1. Що є додатковим (або оплачується Клієнтом). 1. Попередження щодо безпеки / використання. 1. Гарантія, якщо така є. 1. Політика повернення. 1. Умови доставки, якщо є. 1. Способи вирішення спорів, відшкодування збитків, відповідальності тощо. 1. Адреса та контакт Вашої компанії."
Leave Status Notification,Залишити сповіщення про стан
Designation Skill,Позначення майстерності
Quantity required for Item {0} in row {1},"Кількість, необхідна для елемента {0} у рядку {1}"
"To filter based on Party, select Party Type first","Щоб фільтрувати на основі Партії, спочатку виберіть Тип партії"
No Salary Structure assigned for Employee {0} on given date {1},"Структура заробітної плати, призначена для працівника {0} на вказану дату {1}"
Number,Номер
Separate course based Group for every Batch,Окремий груповий курс для кожної партії
Require Lab Test Approval,Потрібно схвалення лабораторного тесту
Update Clearance Date,Дата оновлення оновлення
Import Chart of Accounts from a csv file,Імпортувати графік облікових записів із файлу csv
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Підтримка загальнодоступних додатків застаріла. Будь ласка, налаштуйте приватну програму, щоб дізнатися більше про інструкцію користувача"
Signed,Підписано
Terms and Conditions1,Умови та умови1
Please select Employee Record first.,Спочатку виберіть Запис працівника.
Password policy for Salary Slips is not set,Політику паролів для затримки зарплати не встановлено
Result HTML,Результат HTML
Ignore holidays,Ігнорувати свята
Linked Soil Texture,Пов&#39;язана текстура грунту
This is based on logs against this Vehicle. See timeline below for details,Це базується на журналах проти цього автомобіля. Докладніше див
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Для екстреного зв&#39;язку
Authorization URL,URL-адреса авторизації
On Leave,У відпустці
Show a slideshow at the top of the page,Показати слайд-шоу у верхній частині сторінки
Payer Settings,Налаштування платника
Set Tax Rule for shopping cart,Встановіть податкове правило для кошика для покупок
In Production,У виробництві
Payment References,Посилання на оплату
Valid Till,Дійсний до
{0}: From {0} of type {1},{0}: з {0} типу {1}
Project Name,Назва проекту
Stock Qty,Кількість запасів
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Дитячий елемент не повинен бути пакетом продуктів. Видаліть елемент `{0} &#39;та збережіть
Response Result Key Path,Ключовий шлях результату відповіді
Fully Sponsored,Повністю спонсорується
Not permitted. Please disable the Service Unit Type,Не дозволено. Вимкніть тип блоку обслуговування
Offline POS Settings,Offline POS налаштування
Calculations,Розрахунки
Material Requested,Запит матеріалу
Reference Row,Довідковий рядок
Annual Allocation,Річний розподіл
Subcontract,Субконтракт
Valuation type charges can not marked as Inclusive,Оцінка типу оцінки не може бути позначена як інклюзивна
Account {0}: Parent account {1} does not belong to company: {2},Обліковий запис {0}: головний обліковий запис {1} не належить компанії: {2}
Failed to login,Не вдалося ввійти
Items and Pricing,Елементи та ціноутворення
Payment Terms Template,Шаблон умов оплати
Previous Work Experience,Попередній досвід роботи
Program,Програма
Healthcare,Охорона здоров&#39;я
Complaint,Скарга
Restrict to Countries,Обмежити для країн
Item Manager,Пункт Менеджер
Currency of the Closing Account must be {0},Валюта рахунку закриття має бути {0}
Opening Invoice Item,Відкриття рахунку-фактури
Plan material for sub-assemblies,Плануйте матеріал для вузлів
Hardware,Устаткування
Action if Annual Budget Exceeded on MR,"Дія, якщо щорічний бюджет перевищено на ЗМ"
Advance Amount,Попередня сума
Against Sales Invoice Item,Проти рахунку-фактури
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Включіть предмет у виробництво
Check in (group),Реєстрація (група)
Do not show any symbol like $ etc next to currencies.,Не показувати символи типу $ і т.д. поруч із валютами.
Salary Component Type,Тип компонента заробітної плати
The shareholder does not belong to this company,Акціонер не належить цій компанії
Day(s) after the end of the invoice month,День (и) після закінчення місяця рахунку-фактури
Vehicle Type,Тип транспортного засобу
Healthcare Administrator,Адміністратор охорони здоров&#39;я
Single Transaction Threshold,Поріг одиночної транзакції
Broadcasting,Трансляція
Post Title Key,Ключ заголовка повідомлення
Customer Primary Address,Первинна адреса клієнта
Please select batches for batched item ,"Виберіть партії для елемента, який було надіслано"
Min Qty,Мінімальна кількість
Payment Deductions or Loss,Відрахування або втрати платежу
On Item Quantity,На об&#39;єкті Кількість
Replace BOM and update latest price in all BOMs,Замініть специфікацію та оновіть останню ціну у всіх специфікаціях
Both Trial Period Start Date and Trial Period End Date must be set,"Потрібно встановити як початкову дату пробного періоду, так і дату завершення пробного періоду"
No time sheets,Немає часових аркушів
Statement Header Mapping,Зіставлення заголовків
Mark Half Day,Позначити півдня
Material Transfer for Manufacture,Передача матеріалу для виробництва
Block Supplier,Постачальник блоків
Please enter Woocommerce Server URL,Введіть URL-адресу сервера Woocommerce
From Place,З місця
No contacts with email IDs found.,Не знайдено жодного контакту з ідентифікаторами електронної пошти.
Consumption Invoiced,Споживання Зараховано
Requested Quantity,Запитувана кількість
Exit,Вхід
Dispatch Information,Інформація про відправлення
Basic Amount (Company Currency),Базова сума (валюта компанії)
Selling Settings,Налаштування продажу
A question must have more than one options,Запитання має мати більше ніж один варіант
Please set the Date Of Joining for employee {0},Установіть дату приєднання для співробітника {0}
About your company,Про вашу компанію
Fiscal Year {0} does not exist,Фіскальний рік {0} не існує
Leave Application,Залишити програму
Maintenance Log,Журнал обслуговування
Invalid Posting Time,Недійсний час проводки
Discount,Знижка
Redeem Loyalty Points,Викуп бонусних очок
Quotation Series,Серія котирувань
Occupation,Професія
Opening Stock,Відкриття акцій
Supplier Score,Оцінка постачальника
Only show Items from these Item Groups,Показувати лише елементи з цих груп елементів
Time In Mins,Час у хв
Item {0} does not exist in the system or has expired,Елемент {0} не існує в системі або минув
Price Discount Scheme,Схема знижок ціни
Hyper,Гіпер
What does it do?,Що це робить?
Sales Invoice Trends,Тенденції фактури продажів
Payment Entries,Платіжні записи
Class / Percentage,Клас / Відсоток
Electronic Invoice Register,Електронний реєстр рахунків-фактур
Is Return (Credit Note),Є повернення (кредитна нотатка)
Lab Test Sample,Лабораторний тестовий зразок
status html,статус html
"For e.g. 2012, 2012-13","Наприклад, 2012, 2012-13"
disabled user,інвалід
ES,ES
Warehouse Type,Тип складу
Quick Journal Entry,Швидкий запис журналу
Consumed Amount,Споживана сума
Already completed,Вже завершено
Pending Amount,Сума очікувань
Warn RFQs,Попереджайте RFQ
Lab Prescription,Лабораторний рецепт
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,"Рядок амортизації {0}: наступна дата амортизації не може бути до дати, доступної для використання"
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Актив {0} не може бути списаний, оскільки він уже {1}"
Departure Time,Час відправлення
Donor Type,Тип донора
Monthly Sales Target,Щомісячна мета продажу
Redemption Date,Дата погашення
Approving User cannot be same as user the rule is Applicable To,"Затвердження Користувача не може бути таким самим, як правило, що застосовується"
Fee Schedule Student Group,Розклад плати студентської групи
 From Date can not be greater than To Date,"Від дати не може бути більше, ніж Дата"
Please specify a {0},Укажіть {0}
To GSTIN,До GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,"Дата закінчення терміну не може бути раніше, ніж дата початку терміну. Виправте дати та повторіть спробу."
No Employee Found,Не знайдено жодного працівника
Exemption Category,Категорія звільнення
Create Disbursement Entry,Створити запис про виплату
Purpose must be one of {0},Призначення має бути однією з {0}
Last Activity ,Остання активність
A link to all the Locations in which the Crop is growing,"Посилання на всі локації, в яких культура зростає"
Course Enrollment {0} does not exists,Запис на курс {0} не існує
Maximum leave allowed in the leave type {0} is {1},Максимально допустима кількість відпусток: {0} {1}
Qty to Transfer,Кількість передачі
Please identify/create Account (Group) for type - {0},Ідентифікуйте / створіть обліковий запис (група) для типу - {0}
Please set default customer group and territory in Selling Settings,У налаштуваннях продажу виберіть стандартну групу клієнтів і територію
There isn't any item variant for the selected item,Немає жодного варіанту для вибраного елемента
Contract Details,Деталі контракту
"Select, to make the customer searchable with these fields","Виберіть, щоб зробити клієнта доступним для пошуку з цих полів"
Total Actual,Загальна кількість фактичних
Change Code,Змінити код
Planting Area,Площа посадки
Employee Grade (optional),Оцінка працівника (необов&#39;язково)
Cost Center For Item with Item Code ',Центр витрат для елемента з кодом позиції &quot;
Default Stock UOM,UOM за умовчанням
Rent Cost,Вартість оренди
Training Result,Результат навчання
Work Order not created,Робочий порядок не створено
Meter,Метр
Hero Image,Зображення героя
No Items to pack,Немає елементів для упаковки
Delivery warehouse required for stock item {0},"Склад поставки, необхідний для товару {0}"
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Зарезервоване сховище є обов&#39;язковим для елемента {0} у поданій сировині
Target Location is required for the asset {0},Цільове розташування потрібно для активу {0}
SGST Amount,Сума SGST
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс облікового запису вже в кредит, вам не дозволено встановлювати &quot;Баланс повинен бути&quot; як &quot;Дебет&quot;"
GSTR 3B Report,Звіт GSTR 3B
Rate & Amount,Оцінка та сума
Debit To is required,Потрібно дебетувати To
Item Name,Назва виробу
Cost of New Purchase,Вартість нової покупки
Additional information regarding the customer.,Додаткова інформація щодо клієнта.
Wrong,Неправильно
Batch Inventory,Пакетний інвентар
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Копіювання заробітної плати, надіслане співробітникові, буде захищено паролем, пароль буде створено на основі політики паролів."
Received Amount,Отримана сума
Is Sales Item,Це пункт продажу
Generate Text File,Створення текстового файлу
Variants,Варіанти
"Charges will be distributed proportionately based on item qty or amount, as per your selection",Тарифи розподілятимуться пропорційно на основі кількості або кількості товару відповідно до вашого вибору
Pending activities for today,Наразі очікувані заходи
Student Batch,Студентська партія
Valuation Rate required for Item in row {0},"Швидкість оцінки, необхідна для елемента в рядку {0}"
Base Hour Rate(Company Currency),Базовий часовий коефіцієнт (валюта компанії)
Printing Details,Друк деталей
Manufacturing Manager,Менеджер з виробництва
Job Card,Робота картки
Prorate,Прорати
"System User (login) ID. If set, it will become default for all HR forms.","ID користувача системи (логін). Якщо вона встановлена, вона стане стандартною для всіх форм кадрової політики."
All Item Groups,Усі групи елементів
Select Status,Виберіть Статус
Fixed rate,Фіксована ставка
Airline,Авіакомпанія
Term Details,Деталі терміну
Acquisition Date,Дата придбання
Send To,Відправити
Average Rate,Середня ставка
Set Qty in Transactions based on Serial No Input,Встановіть кількість операцій на основі серійного вводу
Advance account currency should be same as company currency {0},"Попередня валюта рахунку повинна бути такою ж, як і валюта компанії {0}"
Customize Homepage Sections,Налаштувати розділи домашньої сторінки
October,Жовтень
Hide Customer's Tax Id from Sales Transactions,Приховати податковий ідентифікатор клієнта від операцій продажу
Invalid GSTIN! A GSTIN must have 15 characters.,Недійсний GSTIN! GSTIN має містити 15 символів.
Pricing Rule {0} is updated,Правило ціноутворення {0} оновлено
Contract Fulfilment Checklist,Контрольний перелік виконання контракту
All Products,Усі продукти
Product Search,Пошук продукту
Net Pay,Чистий платіж
Total Invoiced Amt,Загальна сума рахунків-фактур
Consumables Invoice Separately,Витратні матеріали Фактура окремо
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Бюджет не може бути призначений для облікового запису групи {0}
Rate and Amount,Тариф і сума
Check availability,Перевірте наявність
Cannot find Item with this barcode,Не вдається знайти елемент із цим штрих-кодом
Default Invoice Naming Series,Серія назв рахунків за замовчуванням
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Якщо ви {0} {1} кількості елемента <b>{2}</b> , на елемент буде застосовано схему <b>{3}</b> ."
Student Siblings,Студентські брати і сестри
Journal Entry {0} does not have account {1} or already matched against other voucher,Запис журналу {0} не має облікового запису {1} або вже відповідає іншим ваучерам
Legal Expenses,Витрати на право
Checkout,Перевіряти
Membership Details,Інформація про членство
Please set the Customer Address,Вкажіть адресу клієнта
List your products or services that you buy or sell.,"Перелічіть свою продукцію або послуги, які ви купуєте або продаєте."
Income,Дохід
Rate at which this tax is applied,"Ставка, за якою застосовується цей податок"
Payment Receipt Note,Примітка про отримання платежу
In Percentage,У відсотках
Quotations received from Suppliers.,"Котирування, отримані від постачальників."
Reference Due Date,Довідкова дата завершення
Lead Time Days,Дні проведення часу
Revision and Revised On,Перегляд і переглянуто
{0} against Purchase Order {1},{0} проти замовлення на купівлю {1}
Fee Records Created - {0},Створені платіжні доручення - {0}
Note: {0},Примітка: {0}
Serial No {0} has already been received,Послідовний номер {0} вже отримано
Leave Settings,Залишити налаштування
Issue Credit Note,Кредитна записка про випуск
Batch Item Expiry Status,Стан закінчення періодичної партії
Stock Transactions,Операції з акціями
Event Location,Місце проведення
Motion Picture & Video,Відео та відео
Row Spacing,Відстань між рядками
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Номер облікового запису для облікового запису {0} недоступний. <br> Будь ласка, налаштуйте свій План рахунків правильно."
Starting location from left edge,Початкове розташування з лівого краю
HR Settings,Параметри HR
Appointments,Призначення
Asset {0} created,Актив {0} створено
Please enter Planned Qty for Item {0} at row {1},Введіть планову кількість для елемента {0} у рядку {1}
Select Batch,Виберіть Пакет
Item Description,Опис товару
Account Name,Назва облікового запису
Please enter API Consumer Key,Введіть ключ споживача API
Products per Page,Продукти на сторінку
Duplicate {0} found in the table,Дублікат {0} знаходиться в таблиці
Default Distance Unit,Стандартний блок відстані
Consume Stock,Споживають запас
Key Performance Area,Ключова область ефективності
S.O. No.,SO №
{0} not found for item {1},{0} не знайдено для елемента {1}
Set Source Warehouse,Встановити сховище джерела
Out Patient Settings,Налаштування пацієнта
Insurance End Date,Дата закінчення страхування
Branch Code,Кодекс відділення
Time To Respond,Час для відповіді
User Forum,Форум користувачів
Landed Cost Item,Позиція вартості приземлення
The seller and the buyer cannot be the same,Продавець і покупець не можуть бути однаковими
Copied From,Скопійовано з
Available,Доступно
Sales Person Targets,Цілі продавця
BOM Operation,Операція BOM
O-,O-
Interest Amount,Сума відсотків
Origin,Походження
Add a new address,Додати нову адресу
Write Off Account,Списати рахунок
Proposal/Price Quote,Пропозиція / цінова пропозиція
Associate,Юрист
Please input all required Result Value(s),"Будь ласка, введіть усі необхідні значення результатів"
Purchase Order Item Supplied,Постачання замовлення на купівлю
Item {0} is not a serialized Item,Елемент {0} не є серійним елементом
GoCardless Customer,Клієнт GoCardless
Leave Balance,Залишити баланс
Maintenance Schedule {0} exists against {1},Графік обслуговування {0} існує проти {1}
Supervisor Name,Ім&#39;я керівника
Campaign Naming By,Назва кампанії
Course Code,Код курсу
Aerospace,Аерокосмічна
Distribute Charges Based On,Розподіляйте заряд на основі
Supplier Scorecard Scoring Criteria,Критерії підрахунку рахунків постачальників
Stock,Запас
Receipt Document Type,Тип документа отримання
Classification of Customers by region,Класифікація клієнтів за регіонами
Billable,Оплачується
Government,Уряд
"Create Employee records to manage leaves, expense claims and payroll","Створіть записи працівників, щоб керувати листами, вимогами до витрат і нарахуванням заробітної плати"
Point-of-Sale,Касовий термінал
User {0} is already assigned to Healthcare Practitioner {1},Користувач {0} вже призначений для лікаря охорони здоров&#39;я {1}
Standard Buying,Стандартна покупка
Apprentice,Учень
Add Timesheets,Додати розклади
"Number of new Account, it will be included in the account name as a prefix","Номер нового облікового запису, він буде включений до імені облікового запису як префікс"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Склад постачальника є обов&#39;язковим для отримання контракту з субпідрядниками
Please enter Preferred Contact Email,Введіть бажану електронну адресу контакту
Normal,Звичайний
Customer POS Id,ID клієнта POS
Weight Per Unit,Вага на одиницю
Child nodes can be only created under 'Group' type nodes,Дочірні вузли можуть створюватися тільки під вузлами типу &quot;Група&quot;
(including),(у тому числі)
Requested,Запитано
Item {0} is not a stock Item,Елемент {0} не є товаром
Multi Currency,Багато валюти
Write Off Difference Amount,Списати різницю Сума
Item {0} is disabled,Елемент {0} вимкнено
Last Completion Date,Дата останнього завершення
Fulfillment,Виконання
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Завдання було підписано як фонове завдання. У разі виникнення будь-якої проблеми з обробкою у фоновому режимі, система додасть коментар про помилку на цьому примиренні акцій і повернеться до етапу проекту"
Total Order Considered,Всього розглянуто замовлення
Optimize Route,Оптимізуйте маршрут
Discount Percentage can be applied either against a Price List or for all Price List.,"Відсоток знижок можна застосовувати або до прайс-листа, або до всього прайс-листа."
Trainer Email,Тренер електронної пошти
Get from Patient Encounter,Отримати повідомлення від пацієнта
Software Developer,Розробник програмного забезпечення
Sample Collection,Збір зразків
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Будь ласка, поділіться своїми відгуками на тренінг, натиснувши &quot;Зворотній зв&#39;язок навчання&quot;, а потім &quot;Новий&quot;"
Connecting to QuickBooks,Підключення до QuickBooks
Enrolling student,Зарахування студента
Claimed,Заявлено
Leaves,Листя
Salary breakup based on Earning and Deduction.,Розподіл заробітної плати на основі заробітку та відрахування.
Salary Structure Missing,Структура заробітної плати відсутня
Action Field,Поле дій
Quotation Trends,Тенденції котирування
Connect Amazon with ERPNext,Підключіть Amazon до ERPNext
Response and Resolution Time,Час відповіді та дозволу
Collection Tier,Колекція Tier
Guardian Of ,Опікун
Payment Gateway Details,Деталі платіжного шлюзу
Staffing Plan {0} already exist for designation {1},Кадровий план {0} вже існує для позначення {1}
Website Warehouse,Склад сайту
Rate With Margin,Оцінити маржу
Salary Structure must be submitted before submission of Tax Ememption Declaration,Структура заробітної плати повинна бути подана до подання декларації про податкову виплату
Add Leads,Додати довідники
Reserve Warehouse,Резервний склад
Payment Term Name,Назва терміну оплати
No Permission,Немає дозволу
Select Company...,Виберіть компанію ...
Use Naming Series,Використовуйте серію назв
Formula,Формула
Action if Accumulated Monthly Budget Exceeded on Actual,"Дія, якщо накопичений щомісячний бюджет перевищено на фактичний"
Allow Encashment,Дозволити інкасацію
Project activity / task.,Діяльність / завдання проекту.
Bank Statement Transaction Invoice Item,Виписка з рахунку за операціями з рахунком
Total Operating Cost,Загальні операційні витрати
Employee Onboarding Template,Працівник Onboarding шаблон
Same Item,Той же пункт
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Сума для однієї операції перевищує максимально допустимий розмір, створюючи окреме платіжне доручення шляхом розбиття транзакцій"
Salary Slips Created,Створено заробітну плату
Lab Test(s) ,Лабораторні тести
Party Details,Деталі партії
Cost of Purchased Items,Вартість придбаних товарів
All communications including and above this shall be moved into the new Issue,"Всі повідомлення, в тому числі і вище, повинні бути перенесені в новий випуск"
Material Consumption for Manufacture,Витрата матеріалу на виробництво
Table for Item that will be shown in Web Site,"Таблиця для елемента, яка буде показана на веб-сайті"
Restaurant Menu,Меню ресторану
Purpose,Призначення
Salary Structure Assignment for Employee already exists,Розподіл структури заробітної плати для працівника вже існує
Service Unit,Відділ обслуговування
Identification Document Number,Номер ідентифікаційного документа
Additional Costs,Додаткові витрати
"Parent Course (Leave blank, if this isn't part of Parent Course)","Батьківський курс (Залиште порожнім, якщо це не є частиною батьківського курсу)"
Employee Education,Освіта працівників
Number of positions cannot be less then current count of employees,Кількість позицій не може бути меншою за поточну кількість працівників
All Customer Groups,Усі групи клієнтів
Buying Price List,Купівля прайс-листа
Finished Good Item Code,Готовий код товару
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,"На дату {0} існує кілька фінансових років. Будь ласка, встановіть компанію у фінансовий рік"
Available for use date is required,"Необхідна дата, доступна для використання"
Training Date,Дата навчання
Reading Uploaded File,Читання завантаженого файлу
Material Request,Запит на матеріал
Total Allocated Amount (Company Currency),Загальна виділена сума (валюта компанії)
Restaurant Order Entry Item,Ресторан Замовлення вхідного пункту
Distance,Відстань
Get financial breakup of Taxes and charges data by Amazon ,Отримати фінансовий розрив даних податків і зборів Amazon
Mileage,Пробіг
"For an item {0}, quantity must be positive number",Для елемента {0} кількість повинна бути позитивним числом
Item Cart,Елемент кошика
Payment Entries {0} are un-linked,Платіжні записи {0} не пов&#39;язані між собою
Open Notifications,Відкрити сповіщення
Successfully created payment entries,Платіжні записи успішно створено
Mg/K,Mg / K
Has Serial No,Має серійний номер
Manufacturing User,Користувач-виробник
Ledger,Книга
Loan,Кредит
Fuel UOM,Паливо UOM
Support,Підтримка
Invalid Company for Inter Company Transaction.,Недійсна компанія для міжопераційної транзакції.
Fixed Asset Depreciation Settings,Параметри амортизації фіксованого активу
Department and Grade,Відділ і клас
Cheques Required,Необхідні перевірки
Do Not Contact,Не контактуйте
Update Billed Amount in Sales Order,Оновити суму виставленого рахунку в замовленні на продаж
Meal Preference,Перевага їжі
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Навіть якщо існують кілька правил ціноутворення з найвищим пріоритетом, застосовуються такі внутрішні пріоритети:"
Employee {0} is not active or does not exist,Співробітник {0} не є активним або не існує
List of all share transactions,Список всіх операцій з акціями
Sales Defaults,За замовчуванням продажу
Overlap in scoring between {0} and {1},Перекривати оцінку між {0} і {1}
Weightage,Вага
Create New Payment/Journal Entry,Створити новий запис / запис журналу
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Якщо встановлено два або більше Правил ціноутворення на основі зазначених вище умов, застосовується Пріоритет. Пріоритет - це число від 0 до 20, тоді як значення за замовчуванням дорівнює нулю (порожнім). Більша кількість означає, що вона матиме перевагу, якщо існують кілька правил ціноутворення з однаковими умовами."
Row {0}: Qty is mandatory,Рядок {0}: Кількість обов&#39;язкова
Against Income Account,Рахунок доходів
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Рядок # {0}: рахунок-фактуру не може бути зроблено проти існуючого активу {1}
