Pension Funds,연금 기금
Include Default Book Entries,기본 도서 항목 포함
Activity Type,활동 유형
Get Advances Paid,급여 지불
Gain/Loss Account on Asset Disposal,자산 처분 이익 / 손실 계정
Voucher No,바우처 번호
Reorder level based on Warehouse,웨어 하우스를 기준으로 재정렬 수준
"Stopped Work Order cannot be cancelled, Unstop it first to cancel",작업 지시 중단을 취소 할 수 없습니다. 취소하려면 먼저 취소하십시오.
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} 품목 {1}에 필요한 일련 번호. 귀하는 {2}를 제공했습니다.
Customer Primary Contact,고객 기본 연락처
BOM Detail No,BOM 상세 번호
Cash In Hand,손에 현금
The holiday on {0} is not between From Date and To Date,{0}의 휴일은 시작일과 종료일 사이가 아닙니다.
Lead must be set if Opportunity is made from Lead,리드가 기회 인 경우 리드를 설정해야합니다.
Account with existing transaction can not be converted to group.,기존 거래가있는 계정은 그룹으로 변환 할 수 없습니다.
Timesheet {0} is already completed or cancelled,작업 표 {0}이 (가) 이미 완료되거나 취소되었습니다.
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","판매 및 구매에 추가 할 수있는 표준 이용 약관. 예 : 1. 오퍼의 유효 기간. 1. 지불 조건 (사전, 신용, 부품 사전 등). 1. 여분의 것 (또는 고객이 지불하는 것)은 무엇입니까? 1. 안전 / 사용 경고. 1. 보증이있는 경우. 1. 정책을 반환합니다. 1. 해당되는 경우 운송 약관. 1. 분쟁, 면책, 책임 등을 다루는 방법 1. 귀하의 회사 주소와 연락처."
Leave Status Notification,상태 알림 남기기
Designation Skill,지정 기술
Quantity required for Item {0} in row {1},{1} 행의 {0} 항목에 필요한 수량
"To filter based on Party, select Party Type first",파티를 기준으로 필터링하려면 먼저 파티 유형을 선택하십시오.
No Salary Structure assigned for Employee {0} on given date {1},주어진 날짜 {1}에 직원 {0}에게 할당 된 급여 구조가 없습니다.
Number,번호
Separate course based Group for every Batch,일괄 처리를위한 별도의 과정 기반 그룹
Require Lab Test Approval,실험실 테스트 승인 필요
Update Clearance Date,업데이트 허가 날짜
Import Chart of Accounts from a csv file,csv 파일에서 계정 차트 가져 오기
"Support for public app is deprecated. Please setup private app, for more details refer user manual",공개 앱에 대한 지원이 중단되었습니다. 개인 앱을 설치하십시오. 자세한 내용은 사용자 설명서를 참조하십시오.
Signed,서명 됨
Terms and Conditions1,이용 약관 1
Please select Employee Record first.,직원 기록을 먼저 선택하십시오.
Password policy for Salary Slips is not set,급여 전표 암호 정책이 설정되지 않았습니다.
Result HTML,결과 HTML
Ignore holidays,휴일을 무시하십시오.
Linked Soil Texture,연결된 토양 질감
This is based on logs against this Vehicle. See timeline below for details,이것은이 차량에 대한 로그를 기반으로합니다. 자세한 내용은 아래 일정을 참조하십시오.
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,긴급 연락처
Authorization URL,승인 URL
On Leave,On Leave
Show a slideshow at the top of the page,페이지 상단에 슬라이드 쇼 표시
Payer Settings,지불 자 설정
Set Tax Rule for shopping cart,장바구니에 대한 세금 규칙 설정
In Production,생산 방식
Payment References,지불 참조
Valid Till,까지 유효
{0}: From {0} of type {1},{0} : {1} 유형의 {0}에서
Project Name,프로젝트 이름
Stock Qty,재고 수량
Child Item should not be a Product Bundle. Please remove item `{0}` and save,하위 항목은 제품 번들이 아니어야합니다. 항목`{0} &#39;을 (를) 제거하고 저장하십시오.
Response Result Key Path,응답 결과 키 경로
Fully Sponsored,후원사
Not permitted. Please disable the Service Unit Type,허용되지 않습니다. 서비스 단위 유형을 비활성화하십시오.
Offline POS Settings,오프라인 POS 설정
Calculations,계산
Material Requested,요청 된 자료
Reference Row,참조 행
Annual Allocation,연간 할당
Subcontract,하청
Valuation type charges can not marked as Inclusive,평가 유형 요금은 포괄적 인 것으로 표시 할 수 없습니다.
Account {0}: Parent account {1} does not belong to company: {2},계정 {0} : 부모 계정 {1}이 (가) 회사에 속해 있지 않습니다 : {2}
Failed to login,로그인 실패
Items and Pricing,품목 및 가격
Payment Terms Template,지불 조건 템플릿
Previous Work Experience,이전 직장 경험
Program,프로그램
Healthcare,건강 관리
Complaint,불평
Restrict to Countries,국가 제한
Item Manager,품목 관리자
Currency of the Closing Account must be {0},결산 계정의 통화는 {0}이어야합니다.
Opening Invoice Item,인보이스 항목 열기
Plan material for sub-assemblies,하위 어셈블리의 재료 계획
Hardware,하드웨어
Action if Annual Budget Exceeded on MR,연간 예산이 MR을 초과하는 경우의 조치
Advance Amount,대출 금액
Against Sales Invoice Item,판매 송장 품목 반대
HR-EXP-.YYYY.-,HR-EXP- .YYYY.-
Include Item In Manufacturing,제조시 항목 포함
Check in (group),체크인 (그룹)
Do not show any symbol like $ etc next to currencies.,통화 옆에 $ etc와 같은 기호는 표시하지 마십시오.
Salary Component Type,급여 구성 요소 유형
The shareholder does not belong to this company,주주는이 회사에 속하지 않습니다.
Day(s) after the end of the invoice month,인보이스 월 결산일
Vehicle Type,차량 종류
Healthcare Administrator,의료 관리자
Single Transaction Threshold,단일 거래 기준 액
Broadcasting,방송
Post Title Key,게시물 제목 키
Customer Primary Address,고객 기본 주소
Please select batches for batched item ,배치 항목에 대한 배치를 선택하십시오.
Min Qty,최소 수량
Payment Deductions or Loss,지불 공제액 또는 손실
On Item Quantity,품목 수량
Replace BOM and update latest price in all BOMs,모든 BOM에서 BOM 교체 및 최신 가격 업데이트
Both Trial Period Start Date and Trial Period End Date must be set,평가판 기간 시작일과 평가판 종료일을 모두 설정해야합니다.
No time sheets,시간 집계 없음
Statement Header Mapping,명령문 헤더 매핑
Mark Half Day,반나절을 표시하십시오.
Material Transfer for Manufacture,제조를위한 자재 이전
Block Supplier,공급 업체 차단
Please enter Woocommerce Server URL,Woocommerce Server URL을 입력하십시오.
From Place,장소에서
No contacts with email IDs found.,이메일 ID가있는 연락처가 없습니다.
Consumption Invoiced,인보이스 발행 된 소비
Requested Quantity,요청 수량
Exit,출구
Dispatch Information,파견 정보
Basic Amount (Company Currency),기본 금액 (회사 통화)
Selling Settings,판매 설정
A question must have more than one options,질문에 하나 이상의 옵션이 있어야합니다.
Please set the Date Of Joining for employee {0},직원 {0}의 가입 날짜를 설정하십시오.
About your company,회사 소개
Fiscal Year {0} does not exist,회계 연도 {0}이 (가) 없습니다.
Leave Application,신청서 남기기
Maintenance Log,유지 관리 로그
Invalid Posting Time,잘못된 전기 시간
Discount,할인
Redeem Loyalty Points,로열티 포인트 사용
Quotation Series,견적 시리즈
Occupation,직업
Opening Stock,주식 공개
Supplier Score,공급자 점수
Only show Items from these Item Groups,이 항목 그룹의 항목 만 표시
Time In Mins,분당의 시간
Item {0} does not exist in the system or has expired,항목 {0}이 (가) 시스템에 없거나 만료되었습니다.
Price Discount Scheme,가격 할인 제도
Hyper,하이퍼
What does it do?,그것은 무엇을합니까?
Sales Invoice Trends,판매 송장 동향
Payment Entries,지불 항목
Class / Percentage,클래스 / 백분율
Electronic Invoice Register,전자 인보이스 등록
Is Return (Credit Note),돌아온다 (신용 정보)
Lab Test Sample,실험실 테스트 샘플
status html,상태 HTML
"For e.g. 2012, 2012-13","예 : 2012, 2012-13"
disabled user,비활성화 된 사용자
ES,ES
Warehouse Type,창고 유형
Quick Journal Entry,빠른 분개 항목
Consumed Amount,소비 된 금액
Already completed,이미 완료되었습니다.
Pending Amount,계류중인 금액
Warn RFQs,RFQ 경고
Lab Prescription,실험실 처방전
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,감가 상각 행 {0} : 다음 감가 상각 날짜는 사용 가능일 이전 일 수 없습니다.
USD,미화
"Asset {0} cannot be scrapped, as it is already {1}",애셋 {0}은 (는) 이미 {1}이므로 폐기 될 수 없습니다.
Departure Time,출발 시각
Donor Type,기부자 유형
Monthly Sales Target,월간 판매 목표
Redemption Date,사용 날짜
Approving User cannot be same as user the rule is Applicable To,사용자 승인은 해당 규칙이 적용 할 수있는 사용자와 같을 수 없습니다.
Fee Schedule Student Group,수업 일정 학생 그룹
 From Date can not be greater than To Date,From Date는 To Date보다 클 수 없습니다.
Please specify a {0},{0}을 (를) 지정하십시오.
To GSTIN,하려면 GSTIN하려면
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,학기 종료 날짜는 학기 시작 날짜보다 빠를 수 없습니다. 날짜를 수정하고 다시 시도하십시오.
No Employee Found,직원을 찾을 수 없음
Exemption Category,면제 범주
Create Disbursement Entry,지급 항목 작성
Purpose must be one of {0},목적은 {0} 중 하나 여야합니다.
Last Activity ,마지막 활동
A link to all the Locations in which the Crop is growing,작물이 성장하고있는 모든 위치에 대한 링크
Course Enrollment {0} does not exists,코스 등록 {0}이 (가) 없습니다.
Maximum leave allowed in the leave type {0} is {1},탈퇴 유형 {0}에 허용되는 최대 휴가 시간은 {1}입니다.
Qty to Transfer,양도 할 금액
Please identify/create Account (Group) for type - {0},유형 - {0}에 대한 계정 (그룹)을 식별 / 생성하십시오.
Please set default customer group and territory in Selling Settings,판매 설정에서 기본 고객 그룹 및 지역을 설정하십시오.
There isn't any item variant for the selected item,선택한 항목에 대한 변형 된 항목이 없습니다.
Contract Details,계약 세부 정보
"Select, to make the customer searchable with these fields",고객을이 필드로 검색 가능하게하려면 선택하십시오.
Total Actual,총 실제
Change Code,코드 변경
Planting Area,심기 지역
Employee Grade (optional),직원 급 (선택)
Cost Center For Item with Item Code ',품목 코드가있는 품목의 원가 센터 &#39;
Default Stock UOM,기본 주식 UOM
Rent Cost,임대 비용
Training Result,교육 결과
Work Order not created,작업 지시가 생성되지 않았습니다.
Meter,미터
Hero Image,영웅 이미지
No Items to pack,포장 할 품목 없음
Delivery warehouse required for stock item {0},재고 품목 {0}에 필요한 납품 창고
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,예비 창고는 공급 된 원자재에서 {0} 품목에 대해 필수 항목입니다.
Target Location is required for the asset {0},자산 {0}에 대상 위치가 필요합니다.
SGST Amount,SGST 금액
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",계정 잔액이 이미 신용 상태 인 경우 &#39;잔액을&#39;차변 &#39;으로 설정할 수 없습니다.
GSTR 3B Report,GSTR 3B 보고서
Rate & Amount,요금 및 금액
Debit To is required,직불 카드는 필수 항목입니다.
Item Name,상품명
Cost of New Purchase,신규 구매 비용
Additional information regarding the customer.,고객에 관한 추가 정보.
Wrong,잘못된
Batch Inventory,일괄 인벤토리
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","직원에게 이메일로 발송 된 급여 전표는 암호로 보호되며, 암호는 암호 정책에 따라 생성됩니다."
Received Amount,받은 금액
Is Sales Item,영업 품목
Generate Text File,텍스트 파일 생성
Variants,변형
"Charges will be distributed proportionately based on item qty or amount, as per your selection",요금은 귀하의 선택에 따라 항목 수량 또는 금액에 따라 비례 배분됩니다.
Pending activities for today,오늘 진행중인 활동
Student Batch,학생 배치
Valuation Rate required for Item in row {0},행 {0}의 항목에 필요한 평가 율
Base Hour Rate(Company Currency),기본 시간 요금 (회사 통화)
Printing Details,인쇄 세부 사항
Manufacturing Manager,제조 관리자
Job Card,직업 카드
Prorate,비례 배당
"System User (login) ID. If set, it will become default for all HR forms.",시스템 사용자 (로그인) ID. 설정된 경우 모든 HR 양식에 대해 기본값이됩니다.
All Item Groups,모든 품목 그룹
Select Status,상태 선택
Fixed rate,고정 비율
Airline,공기 호스
Term Details,학기 세부 정보
Acquisition Date,취득일
Send To,보내기
Average Rate,평균 속도
Set Qty in Transactions based on Serial No Input,일련 번호가없는 입력을 기준으로 트랜잭션의 수량 설정
Advance account currency should be same as company currency {0},선급 계정 통화는 회사 통화 {0}과 같아야합니다.
Customize Homepage Sections,홈페이지 섹션 맞춤 설정
October,십월
Hide Customer's Tax Id from Sales Transactions,판매 거래에서 고객의 세금 ID 숨기기
Invalid GSTIN! A GSTIN must have 15 characters.,GSTIN이 잘못되었습니다! GSTIN은 15 자 여야합니다.
Pricing Rule {0} is updated,가격 규칙 {0}이 (가) 업데이트되었습니다.
Contract Fulfilment Checklist,계약 이행 점검표
All Products,모든 제품
Product Search,제품 검색
Net Pay,순 유료
Total Invoiced Amt,총 청구 금액
Consumables Invoice Separately,소모품 송장 별도
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},그룹 계정 {0}에 예산을 할당 할 수 없습니다.
Rate and Amount,요금 및 금액
Check availability,이용 가능 여부 확인
Cannot find Item with this barcode,이 바코드가있는 항목을 찾을 수 없습니다.
Default Invoice Naming Series,기본 송장 이름 지정 시리즈
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.",항목 <b>{2}</b> 의 수량이 {0} {1}이면 <b>{3}</b> 스키마에 항목이 적용됩니다.
Student Siblings,학생 형제 자매
Journal Entry {0} does not have account {1} or already matched against other voucher,저널 항목 {0}에 {1}의 계정이 없거나 다른 바우처와 이미 일치했습니다
Legal Expenses,법적 비용
Checkout,점검
Membership Details,회원 세부 정보
Please set the Customer Address,고객 주소를 설정하십시오.
List your products or services that you buy or sell.,구매 또는 판매하는 제품 또는 서비스를 나열하십시오.
Income,수입
Rate at which this tax is applied,이 세금 적용 비율
Payment Receipt Note,지불 영수증 메모
In Percentage,백분율
Quotations received from Suppliers.,견적은 공급 업체로부터 받았습니다.
Reference Due Date,참고 마감일
Lead Time Days,리드 타임 일
Revision and Revised On,개정 및 개정
{0} against Purchase Order {1},구매 오더 {1}에 대한 {0}
Fee Records Created - {0},생성 된 수수료 기록 - {0}
Note: {0},참고 : {0}
Serial No {0} has already been received,일련 번호 {0}이 (가) 이미 수신되었습니다.
Leave Settings,나가기 설정
Issue Credit Note,신용 기록 발행
Batch Item Expiry Status,배치 항목 만료 상태
Stock Transactions,주식 거래
Event Location,이벤트 위치
Motion Picture & Video,영화 및 비디오
Row Spacing,행 간격
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,계정 {0}의 계정 번호를 사용할 수 없습니다. <br> 차트 계정을 올바르게 설정하십시오.
Starting location from left edge,왼쪽 끝에서 시작 위치
HR Settings,HR 설정
Appointments,설비
Asset {0} created,저작물 {0}이 생성되었습니다.
Please enter Planned Qty for Item {0} at row {1},{1} 행의 항목 {0}에 대한 계획 수량을 입력하십시오.
Select Batch,배치 선택
Item Description,항목 설명
Account Name,계정 이름
Please enter API Consumer Key,API 소비자 키를 입력하십시오.
Products per Page,페이지 당 제품 수
Duplicate {0} found in the table,테이블에 중복 된 {0}이 (가) 있습니다.
Default Distance Unit,기본 거리 단위
Consume Stock,주식 소비
Key Performance Area,주요 실적 분야
S.O. No.,그래서 아니야.
{0} not found for item {1},{1} 항목에 대해 {0}을 (를) 찾을 수 없습니다.
Set Source Warehouse,원본 창고 설정
Out Patient Settings,환자 설정
Insurance End Date,보험 종료일
Branch Code,지점 코드
Time To Respond,응답 할 시간
User Forum,사용자 포럼
Landed Cost Item,상륙 비용 항목
The seller and the buyer cannot be the same,판매자와 구매자는 같을 수 없습니다.
Copied From,에서 복사 됨
Available,유효한
Sales Person Targets,영업 사원 대상
BOM Operation,BOM 연산
O-,영형-
Interest Amount,이자 금액
Origin,유래
Add a new address,새 주소를 추가해
Write Off Account,계정 해지
Proposal/Price Quote,제안 / 가격 견적
Associate,동무
Please input all required Result Value(s),모든 필요한 결과 값을 입력하십시오.
Purchase Order Item Supplied,제공되는 구매 주문 항목
Item {0} is not a serialized Item,{0} 항목은 직렬화 된 항목이 아닙니다.
GoCardless Customer,GoCardless 고객
Leave Balance,잔액을 남겨주세요.
Maintenance Schedule {0} exists against {1},{1}에 대한 유지 관리 일정 {0}이 (가) 있습니다.
Supervisor Name,감독자 이름
Campaign Naming By,캠페인 이름 지정 기준
Course Code,강좌 코드
Aerospace,항공 우주
Distribute Charges Based On,기반으로 요금 분배
Supplier Scorecard Scoring Criteria,공급 업체 성과표 채점 기준
Stock,스톡
Receipt Document Type,수령 문서 유형
Classification of Customers by region,지역별 고객 분류
Billable,청구 가능
Government,정부
"Create Employee records to manage leaves, expense claims and payroll","나뭇잎, 경비 청구 및 급여 관리를위한 직원 레코드 생성"
Point-of-Sale,POS (Point-of-Sale)
User {0} is already assigned to Healthcare Practitioner {1},사용자 {0}이 (가) 건강 관리사 {1}에게 이미 지정되었습니다.
Standard Buying,표준 구매
Apprentice,도제
Add Timesheets,작업 표 추가
"Number of new Account, it will be included in the account name as a prefix",새 계정 번호입니다. 계정 이름에 접두어로 포함됩니다.
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,하위 계약 구매 영수증에 필수적인 공급 업체 창고
Please enter Preferred Contact Email,Preferred Contact Email을 입력하십시오.
Normal,표준
Customer POS Id,고객 POS ID
Weight Per Unit,단위 중량
Child nodes can be only created under 'Group' type nodes,하위 노드는 &#39;그룹&#39;유형 노드에서만 생성 될 수 있습니다.
(including),(포함)
Requested,요청 됨
Item {0} is not a stock Item,{0} 품목이 재고 품목이 아닙니다.
Multi Currency,복수 통화
Write Off Difference Amount,차이 차감 금액 쓴다.
Item {0} is disabled,항목 {0}이 (가) 사용 중지되었습니다.
Last Completion Date,마지막 완료일
Fulfillment,이행
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",작업이 백그라운드 작업으로 대기열에 포함되었습니다. 백그라운드에서 처리하는 데 문제가있는 경우 시스템에서이 주식 조정의 오류에 대한 설명을 추가하고 초안 단계로 되돌립니다.
Total Order Considered,총 주문 수
Optimize Route,경로 최적화
Discount Percentage can be applied either against a Price List or for all Price List.,할인율은 가격표 또는 모든 가격표에 적용 할 수 있습니다.
Trainer Email,강사 이메일
Get from Patient Encounter,환자 조우
Software Developer,소프트웨어 개발자
Sample Collection,샘플 수집
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',&#39;교육 피드백&#39;을 클릭 한 다음 &#39;새로 만들기&#39;를 클릭하여 의견을 공유하십시오.
Connecting to QuickBooks,QuickBooks에 연결하기
Enrolling student,등록 학생
Claimed,청구 됨
Leaves,이파리
Salary breakup based on Earning and Deduction.,적립 및 공제에 기초한 급여 균등.
Salary Structure Missing,급여 구조 누락
Action Field,액션 필드
Quotation Trends,견적 동향
Connect Amazon with ERPNext,Amazon과 ERPNext 연결
Response and Resolution Time,응답 및 해결 시간
Collection Tier,컬렉션 계층
Guardian Of ,후견인
Payment Gateway Details,지불 게이트웨이 세부 정보
Staffing Plan {0} already exist for designation {1},지정 계획 {0}은 (는) 지정 {1}에 이미 존재합니다.
Website Warehouse,웹 사이트 창고
Rate With Margin,이익률
Salary Structure must be submitted before submission of Tax Ememption Declaration,세금 감면 선언서를 제출하기 전에 급여 구조를 제출해야합니다.
Add Leads,리드 추가
Reserve Warehouse,예비 창고
Payment Term Name,지불 기간 이름
No Permission,비허가
Select Company...,회사 선택 ...
Use Naming Series,이름 지정 시리즈 사용
Formula,공식
Action if Accumulated Monthly Budget Exceeded on Actual,실제 누적 월 예산이 초과 된 경우의 조치
Allow Encashment,암호화 허용
Project activity / task.,프로젝트 활동 / 작업.
Bank Statement Transaction Invoice Item,은행 계좌 거래 송장 품목
Total Operating Cost,총 운영 비용
Employee Onboarding Template,직원 온 보딩 템플릿
Same Item,같은 항목
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions",단일 거래 금액이 최대 허용 금액을 초과하는 경우 거래를 분할하여 별도의 지급 주문 생성
Salary Slips Created,생성 된 급여 전표
Lab Test(s) ,실험실 테스트
Party Details,파티 세부 정보
Cost of Purchased Items,구입 항목 비용
All communications including and above this shall be moved into the new Issue,이 내용을 포함한 모든 통신은 새로운 문제로 옮겨집니다.
Material Consumption for Manufacture,제조를위한 재료 소비량
Table for Item that will be shown in Web Site,웹 사이트에 표시 될 항목 테이블
Restaurant Menu,레스토랑 메뉴
Purpose,목적
Salary Structure Assignment for Employee already exists,직원에 대한 급여 구조 지정이 이미 있습니다.
Service Unit,서비스 단위
Identification Document Number,신분 확인 번호
Additional Costs,추가 비용
"Parent Course (Leave blank, if this isn't part of Parent Course)",학부모 과정 (학부모 과정에 포함되지 않은 경우 비워 둡니다)
Employee Education,직원 교육
Number of positions cannot be less then current count of employees,직위 수는 현재 직원 수보다 적을 수 없습니다.
All Customer Groups,모든 고객 그룹
Buying Price List,구매 가격표
Finished Good Item Code,완성 된 상품 코드
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,{0} 날짜에는 여러 회계 연도가 있습니다. 회계 연도에 회사를 설정하십시오.
Available for use date is required,사용 가능 날짜 필요
Training Date,교육 날짜
Reading Uploaded File,업로드 된 파일 읽기
Material Request,자료 요청
Total Allocated Amount (Company Currency),할당 된 총 금액 (회사 통화)
Restaurant Order Entry Item,식당 주문 입력 항목
Distance,거리
Get financial breakup of Taxes and charges data by Amazon ,아마존에 의한 세금 및 요금 데이터의 재정적 인 해체
Mileage,사용량
"For an item {0}, quantity must be positive number",{0} 항목의 경우 수량은 양수 여야합니다.
Item Cart,장바구니
Payment Entries {0} are un-linked,지불 항목 {0}이 (가) 연결 해제되었습니다.
Open Notifications,열린 알림
Successfully created payment entries,지불 항목을 생성했습니다.
Mg/K,Mg / K
Has Serial No,일련 번호 없음
Manufacturing User,제조 사용자
Ledger,원장
Loan,차관
Fuel UOM,연료 UOM
Support,지원하다
Invalid Company for Inter Company Transaction.,회사 간 거래를위한 회사가 유효하지 않습니다.
Fixed Asset Depreciation Settings,고정 자산 감가 상각 설정
Department and Grade,학과 및 학년
Cheques Required,필요한 수표
Do Not Contact,연락하지 마라.
Update Billed Amount in Sales Order,판매 오더에서 대금 청구 금액 갱신
Meal Preference,음식 선호도
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",우선 순위가 가장 높은 여러 가격 책정 규칙이 있더라도 다음과 같은 내부 우선 순위가 적용됩니다.
Employee {0} is not active or does not exist,직원 {0}이 (가) 활성화되지 않았거나 존재하지 않습니다.
List of all share transactions,모든 주식 거래 목록
Sales Defaults,판매 기본값
Overlap in scoring between {0} and {1},{0}에서 {1} 사이의 득점에서 겹침
Weightage,가중치
Create New Payment/Journal Entry,새 지급 / 분개 생성
HR-ATT-.YYYY.-,HR-ATT- .YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",위 조건에 따라 둘 이상의 가격 결정 규칙이 발견되면 우선 순위가 적용됩니다. 우선 순위는 0에서 20 사이의 숫자이며 기본값은 0입니다 (공백). 숫자가 높으면 동일한 조건의 가격 책정 규칙이 여러 개있는 경우 우선 순위가 높아집니다.
Row {0}: Qty is mandatory,행 {0} : 수량은 필수 항목입니다.
Against Income Account,소득 계정 반대
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},행 # {0} : 기존 자산 {1}에 대한 구매 송장을 만들 수 없습니다.
UOM coversion factor required for UOM: {0} in Item: {1},UOM에 필요한 UOM 변환 요소 : {0} 항목 : {1}
Please enter quantity for Item {0},아이템 {0}의 수량을 입력하십시오.
Electricity Cost,전기 비용
Vehicle Service,차량 서비스
Making Stock Entries,재고 항목 만들기
Fixed Deposit Number,고정 예금 번호
Very Coated,매우 코팅
Initial Email Notification Sent,보낸 초기 전자 메일 알림
For Warehouse,창고 용
"{0}: Employee email not found, hence email not sent",{0} : 직원 전자 메일을 찾을 수 없으므로 전자 메일이 보내지지 않습니다.
From Currency,통화부터
Return / Debit Note,반품 / 직불 카드
"Order in which sections should appear. 0 is first, 1 is second and so on.",섹션이 표시 될 순서. 0이 먼저오고 1이 두 번째 등입니다.
Create Sales Orders to help you plan your work and deliver on-time,작업 계획 및 정시 제공에 도움이되는 판매 주문 작성
