'Opening','Početno stanje'
Timesheet for tasks.,Potrošeno vrijeme za zadatke,
Remark,Napomena,
Tree of Item Groups.,Stablo Vrste artikala,
Users who can approve a specific employee's leave applications,Korisnici koji konkretnom Zaposlenom mogu odobriti odsustvo,
Accounts Receivable Summary,Pregled potraživanja od kupaca,
From Delivery Note,Iz otpremnice,
Tax,Porez,
Account Currency,Valuta računa,
Y,Y,
Open Projects,Otvoreni projekti,
Price List,Cjenovnik,
Rate (Company Currency),Cijena sa rabatom (Valuta preduzeća)
Projects,Projekti,
Supplier Name,Naziv dobavljača,
Closing (Opening + Total),Ukupno (P.S + promet u periodu)
Supplier Invoice Date cannot be greater than Posting Date,Datum fakture dobavljača ne može biti veći od datuma otvaranja fakture,
Sales Orders,Prodajni nalozi,
Manufacturer Part Number,Proizvođačka šifra,
Discount and Margin,Popust i marža,
Avg. Buying Rate,Prosječna vrijednost nabavke,
Gross Profit,Bruto dobit,
Group by Account,Grupiši po računu.
Item Name,Naziv artikla,
Salary Structure Employee,Struktura plata Zaposlenih,
Will also apply for variants,Biće primijenjena i na varijante,
Total Advance,Ukupno Avans,
Sales Order to Payment,Prodajni nalog za plaćanje,
Serial No {0} does not belong to any Warehouse,Serijski broj {0} ne pripada ni jednom skladištu,
Sales Analytics,Prodajna analitika,
`Freeze Stocks Older Than` should be smaller than %d days.,"""Zamrzni akcije starije"" trebalo bi da budu manje %d dana."
Patient Age,Starost pacijenta,
Employee cannot report to himself.,Zaposleni ne može izvještavati sebi,
Customer Address,Adresa kupca,
Total Amount {0},Ukupan iznos {0}
Total (Credit),Ukupno bez PDV-a (duguje)
In Words (Export) will be visible once you save the Delivery Note.,Slovima (izvoz) će biti vidljiv onda kad sačuvate otpremnicu,
Opportunity Date,Datum prilike,
Delivery Note Item,Pozicija otpremnice,
Customer's Purchase Order,Porudžbenica kupca,
Get items from,Dodaj stavke iz,
From {0} to {1},Od {0} do {1}
Total Invoiced Amount,Ukupno fakturisano,
Supplier Invoice Date,Datum fakture dobavljača,
Journal Entry {0} does not have account {1} or already matched against other voucher,Knjiženje {0} nema nalog {1} ili je već povezan sa drugim izvodom,
Lab Test,Lab test,
-Above,- Iznad,
{0} {1} is cancelled or stopped,{0} {1} je otkazan ili stopiran,
Taxes and Charges Added (Company Currency),Porezi i naknade dodate (valuta preduzeća)
Please enter Employee Id of this sales person,Molimo Vas da unesete ID zaposlenog prodavca,
"Emails will be sent to all Active Employees of the company at the given hour, if they do not have holiday. Summary of responses will be sent at midnight.","Email će biti poslat svim Aktivnim Zaposlenima preduzeća u određeno vrijeme, ako nisu na odmoru. Presjek odziva biće poslat u ponoć."
Note: {0},Bilješka: {0}
Activity Cost exists for Employee {0} against Activity Type - {1},Troškovi aktivnosti zaposlenog {0} na osnovu vrste aktivnosti - {1}
Lost Quotation,Izgubljen Predračun,
Account,Račun,
Default Employee Advance Account,Podrazumjevani račun zaposlenog,
Account: {0} can only be updated via Stock Transactions,Računovodstvo: {0} može samo da se ažurira u dijelu Promjene na zalihama,
Leave Approver,Odobrava izlaske s posla,
Customer or Item,Kupac ili proizvod,
Requested Qty,Tražena kol,
Attendance Freeze Date,Datum zamrzavanja prisustva,
No Item with Serial No {0},Ne postoji artikal sa serijskim brojem {0}
Taxes and Charges,Porezi i naknade,
Serial Number Series,Serijski broj serije,
Delivered,Isporučeno,
Default Territory,Podrazumijevana država,
Asset Category,Grupe osnovnih sredstava,
Customer Warehouse (Optional),Skladište kupca (opciono)
From Warehouse,Iz skladišta,
Show closed,Prikaži zatvorene,
You have already selected items from {0} {1},Већ сте изабрали ставке из {0} {1}
Receive,Prijem,
Additional information regarding the customer.,Dodatne informacije o kupcu,
Warehouse required for stock Item {0},Skladište je potrebno unijeti za artikal {0}
Payment Entry already exists,Uplata već postoji,
Customer Details,Korisnički detalji,
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Primjer:. ABCD ##### 
 Ако Радња је смештена i serijski broj se ne pominje u transakcijama, onda će automatski serijski broj biti kreiran na osnovu ove serije. Ukoliko uvijek želite da eksplicitno spomenete serijski broj ove šifre, onda je ostavite praznu."
Customer and Supplier,Kupac i dobavljač
% Completed,% završen,
Sales Invoice,Faktura prodaje,
Accounting Entries,Računovodstveni unosi,
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Red # {0}: Knjiženje {1} nema kreiran nalog {2} ili je već povezan sa drugim izvodom.
Print Language,Jezik za štampu,
'Based On' and 'Group By' can not be same,"""Na osnovu"" и ""Grupiši po"" ne mogu biti identični"
Healthcare Administrator,Administrator klinike,
Track this Sales Order against any Project,Prati ovaj prodajni nalog na bilo kom projektu,
Stock Balance,Pregled trenutne zalihe,
[Error],[Greška]
Supplier Details,Detalji o dobavljaču,
Community Forum,Forum zajednice,
Batch Item Expiry Status,Pregled artikala sa rokom trajanja,
Payment,Plaćanje,
Sales Partners Commission,Provizija za prodajne partnere,
Territory,Teritorija,
Sales Order Message,Poruka prodajnog naloga,
Employee Leave Balance,Pregled odsustva Zaposlenih,
Minute,Minut,
Litre,Litar,
Opening (Cr),Početno stanje (Po)
Academics User,Akademski korisnik,
Blood Group,Krvna grupa,
Statement of Account,Izjava o računu,
Billing Address,Adresa za naplatu,
All Territories,Sve države,
Received Amount (Company Currency),Iznos uplate (Valuta preduzeća)
Ordered Quantity,Poručena količina,
Standard Selling Rate,Standarna prodajna cijena,
Total Outstanding: {0},Ukupno preostalo: {0}
Human Resources,Ljudski resursi,
Rate With Margin,Cijena sa popustom,
Student Attendance,Prisustvo učenika,
Add Timesheets,Dodaj potrošeno vrijeme,
Collapse All,Skupi sve,
User Forum,Korisnički portal,
Stock UOM,JM zalihe,
Valid Till,Važi do,
Select or add new customer,Izaberite ili dodajte novog kupca,
Employee and Attendance,Zaposleni i prisustvo,
Leave and Attendance,Odsustvo i prisustvo,
Trial Balance for Party,Struktura dugovanja,
New Program,Novi program,
Taxable Amount,Oporezivi iznos,
Product Bundle Item,Sastavljeni proizvodi,
Select Employees,Odaberite Zaposlene,
"Create Employee records to manage leaves, expense claims and payroll","Kreiraj evidenciju o Zaposlenom kako bi upravljali odsustvom, potraživanjima za troškove i platnim spiskovima"
Address & Contact,Adresa i kontakt,
Reserved Qty for Production,Rezervisana kol. za proizvodnju,
This is based on stock movement. See {0} for details,Ovo praćenje je zasnovano na kretanje zaliha. Pogledajte {0} za više detalja,
All Contacts.,Svi kontakti,
Sales Person,Prodajni agent,
Default Warehouse,Podrazumijevano skladište,
 Currently no stock available in any warehouse,Тренутно не постоје залихе у складишту
Default Letter Head,Podrazumijevano zaglavlje,
Sales Order {0} is not valid,Prodajni nalog {0} nije validan,
Year start date or end date is overlapping with {0}. To avoid please set company,Датум почетка или краја године се преклапа са {0}.  Да бисте избегли молимо поставите компанију
Credit,Potražuje,
Grand Total,Za plaćanje,
Human Resource,Ljudski resursi,
Delivery Note Required,Otpremnica je obavezna,
Type of Payment,Vrsta plaćanja,
UOM,JM,
Difference Amount must be zero,Razlika u iznosu mora biti nula,
Not Delivered,Nije isporučeno,
Sales campaigns.,Prodajne kampanje,
Auto re-order,Automatska porudžbina,
Profit and Loss Statement,Bilans uspjeha,
Meter,Metar,
Pair,Par,
Profitability Analysis,Analiza profitabilnosti,
HR Manager,Menadžer za ljudske resurse,
Total Taxes and Charges (Company Currency),Porez (valuta preduzeća)
Quality Manager,Menadžer za kvalitet,
Sales Invoice {0} has already been submitted,Faktura prodaje {0} je već potvrđena,
Weight,Težina,
Timesheet Detail,Detalji potrošenog vremena,
Is Return,Da li je povratak,
Material Receipt,Prijem robe,
Supplier Invoice No exists in Purchase Invoice {0},Broj fakture dobavljača već postoji u fakturi nabavke {0}
Source Warehouse,Izvorno skladište,
Managing Projects,Upravljanje projektima,
Pricing,Kalkulacija,
Name and Type,Ime i tip,
Customs Tariff Number,Carinska tarifa,
"You can claim only an amount of {0}, the rest amount {1} should be in the application \
				as pro-rata component","Можете тражити само износ од {0}, остатак од {1} би требао бити у апликацији \ као про-рата компонента."
Yield UOM,Јединица мере приноса
Default Supplier,Podrazumijevani dobavljač
Select Patient,Izaberite pacijenta,
Opening,Početno stanje,
Customer Groups,Grupe kupaca,
Item Manager,Menadžer artikala,
Fiscal Year Company,Fiskalna godina preduzeća,
Patient Appointment,Zakazivanje pacijenata,
Show In Website,Prikaži na web sajtu,
Paid Amount,Uplaćeno,
Total Paid Amount,Ukupno plaćeno,
Purchase Receipt {0} is not submitted,Prijem robe {0} nije potvrđen,
Items and Pricing,Proizvodi i cijene,
Account Paid From,Račun plaćen preko,
Create customer quotes,Kreirajte bilješke kupca,
Supplier Warehouse,Skladište dobavljača,
Customer is required,Kupac je obavezan podatak,
Manufacturer,Proizvođač
Selling Amount,Prodajni iznos,
Allow over delivery or receipt upto this percent,Dozvolite isporukuili prijem robe ukoliko ne premaši ovaj procenat,
Orders,Porudžbine,
Stock Transactions,Promjene na zalihama,
Daily Timesheet Summary,Pregled dnevnog potrošenog vremena,
View Timesheet,Pogledaj potrošeno vrijeme,
Rounded Total (Company Currency),Zaokruženi ukupan iznos (valuta preduzeća)
"If this item has variants, then it cannot be selected in sales orders etc.","Ako ovaj artikal ima varijante, onda ne može biti biran u prodajnom nalogu."
You can only redeem max {0} points in this order.,Можете унети највише {0} поена у овој наруџбини.
No leave record found for employee {0} for {1},Nije nađena evidancija o odsustvu Zaposlenog {0} za {1}
Discount on Price List Rate (%),Popust na cijene iz cjenovnika (%)
Groups,Grupe,
Item Attribute,Atribut artikla,
Amount in customer's currency,Iznos u valuti kupca,
Warehouse is mandatory,Skladište je obavezan podatak,
Stock Ageing,Starost zaliha,
New Sales Orders,Novi prodajni nalozi,
Invoice Created,Kreirana faktura,
Employee Internal Work History,Interna radna istorija Zaposlenog,
Cart is Empty,Korpa je prazna,
Patient Details,Detalji o pacijentu,
Stock Entry {0} is not submitted,Unos zaliha {0} nije potvrđen,
Rest Of The World,Ostatak svijeta,
Additional Operating Cost,Dodatni operativni troškovi,
Rejected Warehouse,Odbijeno skladište,
Manufacturing Manager,Menadžer proizvodnje,
Is Fixed Asset,Artikal je osnovno sredstvo,
POS,POS,
Timesheet {0} is already completed or cancelled,Potrošeno vrijeme {0} je već potvrđeno ili otkazano,
 (Half Day),(Pola dana)
Net Weight,Neto težina,
Attendance Record {0} exists against Student {1},Zapis o prisustvu {0} постоји kod studenata {1}
Outstanding,Preostalo,
Discount (%) on Price List Rate with Margin,Popust (%)
Select Shipping Address,Odaberite adresu isporuke,
Amount to Bill,Iznos za fakturisanje,
Make Sales Orders to help you plan your work and deliver on-time,Kreiranje prodajnog naloga će vam pomoći da isplanirate svoje vrijeme i dostavite robu na vrijeme,
Sync Offline Invoices,Sinhronizuj offline fakture,
Manufacturing,Proizvodnja,
{0}% Delivered,{0}% Isporučeno,
Customer's Purchase Order No,Broj porudžbenice kupca,
Please enter Sales Orders in the above table,U tabelu iznad unesite prodajni nalog,
Report Date,Datum izvještaja,
Item Groups,Vrste artikala,
Discount Percentage,Procenat popusta,
Gross Profit %,Bruto dobit%
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Овде можете дефинисати све задатке које је потребно извршити за ову жетву. Поље Дан говори дан на који је задатак потребно извршити, 1 је 1. дан, итд."
Payment Request,Upit za plaćanje,
Purchase Analytics,Analiza nabavke,
Tree Details,Detalji stabla,
Against,Povezano sa,
Requested Amount,Traženi iznos,
"Record of all communications of type email, phone, chat, visit, etc.","Snimanje svih komunikacija tipa email, telefon, poruke, posjete, itd."
Customer Contact Email,Kontakt e-mail kupca,
Primary Address Details,Detalji o primarnoj adresi,
Above,Iznad,
Variant Based On,Varijanta zasnovana na,
Task Weight,Težina zadataka,
Transaction ID,Transakcije,
Allocated,Dodijeljeno,
Add more items or open full form,Dodaj još stavki ili otvori kompletan prozor,
Reserved for sale,Rezervisana za prodaju,
Item Group,Vrste artikala,
Age (Days),Starost (Dani)
Opening (Dr),Početno stanje (Du)
Total Outstanding Amt,Preostalo za plaćanje,
Go to the Desktop and start using ERPNext,Idite na radnu površinu i krenite sa radom u programu,
You can only have Plans with the same billing cycle in a Subscription,Сви Планови у Претплати морају имати исти циклус наплате
Name and Employee ID,Ime i ID Zaposlenog,
Invoice,Faktura,
Invoice Date,Datum fakture,
From Lead,Od Lead-a,
Database of potential customers.,Baza potencijalnih kupaca,
Project Status,Status Projekta,
All Item Groups,Sve vrste artikala,
Serial No {0} does not exist,Serijski broj {0} ne postoji,
Ageing Range 3,Opseg dospijeća 3,
Request for Quotation,Zahtjev za ponudu,
Account Paid To,Račun plaćen u,
Attendance can not be marked for future dates,Učesnik ne može biti označen za buduće datume,
Sales Invoice No,Broj fakture prodaje,
Timesheet,Potrošeno vrijeme,
Don't send Employee Birthday Reminders,Nemojte slati podsjetnik o rođendanima Zaposlenih,
Available Qty at Warehouse,Dostupna količina na skladištu,
Foreign Trade Details,Spoljnotrgovinski detalji,
Minimum Order Qty,Minimalna količina za poručivanje,
No employees for the mentioned criteria,Za traženi kriterijum nema Zaposlenih,
Fiscal Year,Fiskalna godina,
Repack,Prepakovati,
Please select a warehouse,Izaberite skladište,
Received and Accepted,Primio i prihvatio,
Project will be accessible on the website to these users,Projekat će biti dostupan na sajtu sledećim korisnicima,
Services,Usluge,
Item Cart,Korpa sa artiklima,
Total Paid Amt,Ukupno plaćeno,
Warehouse Detail,Detalji o skldištu,
Quotation Item,Stavka sa ponude,
Employee Advance,Napredak Zaposlenog,
Warehouse and Reference,Skladište i veza,
{0} {1}: Account {2} is inactive,{0} {1}: Nalog {2} je neaktivan,
No Remarks,Nema napomene,
Purchase Receipt Message,Poruka u Prijemu robe,
Taxes and Charges Deducted,Umanjeni porezi i naknade,
Include Payment (POS),Uključi POS plaćanje,
Customer PO Details,Pregled porudžbine kupca,
Total Invoiced Amt,Ukupno fakturisano,
Select Brand...,Izaberite brend,
Default Unit of Measure,Podrazumijevana jedinica mjere,
Serial No,Serijski broj,
Supplier Type,Tip dobavljača,
Actual Qty {0} / Waiting Qty {1},Trenutna kol. {0} / Na čekanju {1}
Individual,Fizičko lice,
Partially Ordered,Djelimično poručeno,
Posting Date,Datum dokumenta,
Date Settings,Podešavanje datuma,
Total Allocated Amount (Company Currency),Ukupan povezani iznos (Valuta)
Income,Prihod,
Add Items,Dodaj stavke,
Price List not found or disabled,Cjenovnik nije pronađen ili je zaključan,
Weight (In Kilogram),Težina (u kg)
New Sales Invoice,Nova faktura,
New Company,Novo preduzeće,
Support Team,Tim za podršku,
Valuation Method,Način vrednovanja,
Project Type,Tip Projekta,
Returned Qty,Vraćena kol.
Additional Discount Amount (Company Currency),Iznos dodatnog popusta (valuta preduzeća)
Employee Information,Informacije o Zaposlenom,
'Days Since Last Order' must be greater than or equal to zero,"""Dana od poslednje porudžbine"" mora biti veće ili jednako nuli"
Maintenance,Održavanje,
Multiple Item prices.,Više cijena artikala,
Received From,je primljen od,
Write Off Difference Amount,Otpis razlike u iznosu,
Closing Date,Datum zatvaranja,
Cheque/Reference Date,Datum izvoda,
Planned Qty,Planirana količina,
Additional Details,Dodatni detalji,
Create Chart Of Accounts Based On,Kreiraj kontni plan prema,
You can not change rate if BOM mentioned agianst any item,Не можете променити цену ако постоји Саставница за било коју ставку.
Open To Do,Otvori To Do,
Average Discount,Prosječan popust,
Material Issue,Reklamacija robe,
Billed Amt,Fakturisani iznos,
Supplier Quotation {0} created,Ponuda dobavljaču {0} је kreirana,
Not allowed to update stock transactions older than {0},Nije dozvoljeno mijenjati Promjene na zalihama starije od {0}
Add Employees,Dodaj Zaposlenog,
Setting up Employees,Podešavanja Zaposlenih,
Warehouse not found in the system,Skladište nije pronađeno u sistemu,
 Shipping Bill Number,Broj isporuke,
Lab Test Report,Izvještaj labaratorijskog testa,
You cannot credit and debit same account at the same time,Не можете кредитирати и дебитовати исти налог у исто време.
Customer Name,Naziv kupca,
Current Address,Trenutna adresa,
Upcoming Calendar Events,Predstojeći događaji u kalendaru,
Make Payment via Journal Entry,Kreiraj uplatu kroz knjiženje,
Paid,Plaćeno,
Buying,Nabavka,
Default Item Group,Podrazumijevana vrsta artikala,
In Stock Qty,Na zalihama,
Taxes and Charges Deducted (Company Currency),Umanjeni porezi i naknade (valuta preduzeća)
Additional Costs,Dodatni troškovi,
Pending Review,Čeka provjeru,
Default Selling Cost Center,Podrazumijevani centar troškova,
No Customers yet!,Još uvijek nema kupaca!
Sales Return,Povraćaj prodaje,
No Items added to cart,Nema dodatih artikala na računu,
This is based on transactions against this Customer. See timeline below for details,Ovo je zasnovano na transkcijama ovog klijenta. Pogledajte vremensku liniju ispod za dodatne informacije,
Make Timesheet,Kreiraj potrošeno vrijeme,
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Upozorenje: Prodajni nalog {0}već postoji veza sa porudžbenicom kupca {1}
Healthcare Settings,Podešavanje klinike,
Accounting Ledger,Analitička kartica,
Total Outgoing Value,Ukupna vrijednost isporuke,
Sales Order {0} is {1},Prodajni nalog {0} је {1}
Automatically Set Serial Nos based on FIFO,Podesi automatski serijski broj da koristi FIFO,
New Customers,Novi kupci,
Pre Sales,Prije prodaje,
POS Customer Group,POS grupa kupaca,
Shopping Cart,Korpa sa sajta,
Reserved for manufacturing,Rezervisana za proizvodnju,
Pricing Rule Help,Pravilnik za cijene pomoć
Ageing Range 2,Opseg dospijeća 2,
POS Item Group,POS Vrsta artikala,
Lead,Lead,
View All Products,Pogledajte sve proizvode,
Patient Medical Record,Medicinski karton pacijenta,
Batch,Serija,
Purchase Receipt,Prijem robe,
Warranty Period (in days),Garantni rok (u danima)
Customer database.,Korisnička baza podataka,
Notify Employee,Obavijestiti Zaposlenog,
User ID not set for Employee {0},Korisnički ID nije podešen za Zaposlenog {0}
Stock Projected Qty,Projektovana količina na zalihama,
Make Payment,Kreiraj plaćanje,
You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,Ne možete obrisati fiskalnu godinu {0}. Fiskalna  {0} godina je označena kao trenutna u globalnim podešavanjima.
{0} units of {1} needed in {2} to complete this transaction.,Željenu količinu {0} za artikal {1} je potrebno dodati na {2} da bi dovršili transakciju..
Item-wise Sales Register,Prodaja po artiklima,
Tax Rate,Poreska stopa,
Remarks,Napomena,
Sales,Prodaja,
Pricing Rule,Pravilnik za cijene,
Products Settings,Podešavanje proizvoda,
Mobile,Mobilni,
Price List Rate,Cijena,
Discount Amount,Vrijednost popusta,
Sales Invoice Trends,Trendovi faktura prodaje,
You don't have enough Loyalty Points to redeem,Немате довољно Бодова Лојалности.
Tax Breakup,Porez po pozicijama,
Task,Zadatak,
Add / Edit Prices,Dodaj / Izmijeni cijene,
Item Prices,Cijene artikala,
Customer's Purchase Order Date,Datum porudžbenice kupca,
Country of Origin,Zemlja porijekla,
Please select Employee Record first.,Molimo izaberite registar Zaposlenih prvo,
Order Type,Vrsta porudžbine,
Rate & Amount,Cijena i iznos sa rabatom,
For Price List,Za cjenovnik,
Tax ID,Poreski broj,
WIP Warehouse,Wip skladište,
Itemwise Recommended Reorder Level,Pregled preporučenih nivoa dopune,
{0} against Bill {1} dated {2},{0} veza sa računom {1} na datum {2}
You are not authorized to set Frozen value,Немате дозволу да постављате замрзнуту вредност
Requested Items To Be Ordered,Tražene stavke za isporuku,
Sales Order {0} is not submitted,Prodajni nalog {0} nije potvrđen,
Default Material Request Type,Podrazumijevani zahtjev za tip materijala,
Sales Pipeline,Prodajna linija,
Already completed,Već završen,
Ordered Qty,Poručena kol,
Sales Details,Detalji prodaje,
Navigating,Navigacija,
Your Products or Services,Vaši artikli ili usluge,
CRM,CRM,
The Brand,Brend,
Quotation {0} is cancelled,Ponuda {0} je otkazana,
Item Code,Šifra artikla,
Customer Mobile No,Broj telefona kupca,
Reorder Qty,Kol. za dopunu,
Move Item,Premještanje artikala,
Buying Settings,Podešavanja nabavke,
From Employee,Od Zaposlenog,
Fleet Manager,Menadžer transporta,
Stock Levels,Nivoi zalihe,
Rate With Margin (Company Currency),Cijena sa popustom (Valuta preduzeća)
Closing (Cr),Saldo (Po)
Product Bundle,Sastavnica,
Sales and Returns,Prodaja i povraćaji,
Sync Master Data,Sinhronizuj podatke iz centrale,
Sales Person Name,Ime prodajnog agenta,
Purchase Receipts,Prijemi robe,
Customizing Forms,Prilagođavanje formi,
Attendance for employee {0} is already marked,Prisustvo zaposlenog {0} je već označeno,
% Complete Method,% metod vrednovanja završetka projekta,
Overdue,Istekao,
Posting Time,Vrijeme izrade računa,
Purchase Receipt No,Broj prijema robe,
Expected End Date,Očekivani datum završetka,
Expected End Date can not be less than Expected Start Date,Očekivani datum završetka ne može biti manji od očekivanog dana početka,
Customer Primary Contact,Primarni kontakt kupca,
Expected Start Date,Očekivani datum početka,
Credit Limit,Kreditni limit,
Item Tax,Porez,
Selling,Prodaja,
Customer Contact,Kontakt kupca,
Item {0} does not exist,Artikal {0} ne postoji,
Add Users,Dodaj korisnike,
Select Serial Numbers,Izaberite serijske brojeve,
Payment Entry,Uplate,
In Words,Riječima,
Employee record is created using selected field. ,Izvještaj o Zaposlenom se kreira korišćenjem izabranog polja.
Serial No {0} does not belong to Delivery Note {1},Serijski broj {0} ne pripada otpremnici {1}
Support,Podrška,
Get Sales Orders,Pregledaj prodajne naloge,
Stock Ledger Entry,Unos zalihe robe,
Gantt chart of all tasks.,Gantov grafikon svih zadataka,
Price List Rate (Company Currency),Cijena (Valuta preduzeća)
Address Name,Naziv adrese,
Another Sales Person {0} exists with the same Employee id,Postoji još jedan Prodavac {0} sa istim ID zaposlenog,
Item Group Name,Naziv vrste artikala,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Isto ime grupe kupca već postoji. Promijenite ime kupca ili izmijenite grupu kupca,
Warning: Another {0} # {1} exists against stock entry {2},Upozorenje: Još jedan  {0} # {1} postoji u vezanom Unosu zaliha {2}
Suplier,Dobavljač
Has Serial No,Ima serijski broj,
Difference Amount (Company Currency),Razlika u iznosu (Valuta)
Add Serial No,Dodaj serijski broj,
Company and Accounts,Preduzeće i računi,
Current Address Is,Trenutna adresa je,
Unallocated Amount,Nepovezani iznos,
Show zero values,Prikaži vrijednosti sa nulom,
Address and Contact,Adresa i kontakt,
Supplier-Wise Sales Analytics,Analiza Dobavljačeve pametne prodaje,
Payment Entry is already created,Uplata je već kreirana,
Item,Artikal,
Unpaid,Neplaćen,
Net Rate,Neto cijena sa rabatom,
Project User,Projektni user,
Customer Items,Proizvodi kupca,
Item {0} is cancelled,Stavka {0} je otkazana,
Balance Value,Stanje vrijed.
Sales Order required for Item {0},Prodajni nalog je obavezan za artikal {0}
Patient,Pacijent,
Default Target Warehouse,Prijemno skladište,
Voucher No,Br. dokumenta,
Attendance has been marked successfully.,Prisustvo je uspješno obilježeno.
Serial No {0} created,Serijski broj {0} kreiran,
Asset,Osnovna sredstva,
Received Amount,Iznos uplate,
You cannot edit root node.,Не можете уређивати коренски чвор.
Sales Funnel,Prodajni lijevak,
Payment Due Date,Datum dospijeća fakture,
Consultation,Pregled,
Related,Povezan,
Warehouse Name,Naziv skladišta,
Customer / Item Name,Kupac / Naziv proizvoda,
Total Billed Amount,Ukupno fakturisano,
In Value,Prijem vrije.
Tree Type,Tip stabla,
Update Rate and Availability,Izmijenite cijenu i dostupnost,
Supplier Quotation,Ponuda dobavljača,
Quantity and Warehouse,Količina i skladište,
Taxes and Charges Added,Porezi i naknade dodate,
Warehouses,Skladišta,
All Customer Contact,Svi kontakti kupca,
Ledger,Skladišni karton,
Quotation Lost Reason,Razlog gubitka ponude,
