DocType: Accounting Period,Period Name,കാലാവധി നാമം
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,സജീവ അവധി കാലാവധി കണ്ടെത്താനായില്ല
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,മൂല്യനിർണ്ണയം
DocType: Item,Default Unit of Measure,അളവു സ്ഥിരസ്ഥിതി യൂണിറ്റ്
DocType: SMS Center,All Sales Partner Contact,എല്ലാ സെയിൽസ് പങ്കാളി കോണ്ടാക്ട്
DocType: Department,Leave Approvers,Approvers വിടുക
DocType: Employee,Bio / Cover Letter,ബയോ / കവർ ലെറ്റർ
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,ഇനങ്ങൾ തിരയുക ...
DocType: Patient Encounter,Investigations,അന്വേഷണം
DocType: Restaurant Order Entry,Click Enter To Add,Add to Enter ക്ലിക്ക് ചെയ്യുക
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","പാസ്വേഡ്, API കീ അല്ലെങ്കിൽ Shopify URL എന്നിവയ്ക്കായി മൂല്യം നഷ്ടമായിരിക്കുന്നു"
DocType: Employee,Rented,വാടകയ്ക്ക് എടുത്തത്
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,എല്ലാ അക്കൗണ്ടുകളും
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,ജീവനക്കാരനെ സ്റ്റാറ്റസ് ഇടത്തേക്ക് കൈമാറാനാകില്ല
DocType: Vehicle Service,Mileage,മൈലേജ്
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,ശരിക്കും ഈ അസറ്റ് മുൻസർക്കാരിന്റെ ആഗ്രഹിക്കുന്നുണ്ടോ?
DocType: Drug Prescription,Update Schedule,ഷെഡ്യൂൾ അപ്ഡേറ്റുചെയ്യുക
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,സ്വതേ വിതരണക്കാരൻ തിരഞ്ഞെടുക്കുക
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,ജീവനക്കാരനെ കാണിക്കുക
DocType: Payroll Period,Standard Tax Exemption Amount,സ്റ്റാൻഡേർഡ് ടാക്സ് എക്സംപ്ഷൻ തുക
DocType: Exchange Rate Revaluation Account,New Exchange Rate,പുതിയ എക്സ്ചേഞ്ച് നിരക്ക്
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},കറൻസി വില പട്ടിക {0} ആവശ്യമാണ്
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* ഇടപാടിലും കണക്കു കൂട്ടുക.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,കസ്റ്റമർ കോൺടാക്റ്റ്
DocType: Shift Type,Enable Auto Attendance,യാന്ത്രിക ഹാജർ പ്രാപ്‌തമാക്കുക
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,വെയർഹ house സും തീയതിയും നൽകുക
DocType: Lost Reason Detail,Opportunity Lost Reason,അവസരം നഷ്ടപ്പെട്ട കാരണം
DocType: Patient Appointment,Check availability,ലഭ്യത ഉറപ്പു വരുത്തുക
DocType: Retention Bonus,Bonus Payment Date,ബോണസ് പേയ്മെന്റ് തീയതി
DocType: Employee,Job Applicant,ഇയ്യോബ് അപേക്ഷകന്
DocType: Job Card,Total Time in Mins,മിനിറ്റിലെ ആകെ സമയം
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,ഇത് ഈ വിതരണക്കാരൻ നേരെ ഇടപാടുകൾ അടിസ്ഥാനമാക്കിയുള്ളതാണ്. വിശദാംശങ്ങൾക്ക് ടൈംലൈൻ കാണുക
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,ഓവർപ്രൊഡ്ഷൻ വർക്ക് ഓർഡറിന്
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV -YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,നിയമ
DocType: Sales Invoice,Transport Receipt Date,ട്രാൻസ്ഫർ രസീത് തീയതി
DocType: Shopify Settings,Sales Order Series,സെൽസ് ഓർഡർ സീരീസ്
DocType: Vital Signs,Tongue,നാവ്
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},യഥാർത്ഥ തരം നികുതി വരി {0} ൽ ഇനം നിരക്ക് ഉൾപ്പെടുത്തിയിട്ടുണ്ട് ചെയ്യാൻ കഴിയില്ല
DocType: Allowed To Transact With,Allowed To Transact With,കൈമാറാൻ അനുവദിച്ചിരിക്കുന്നു
DocType: Bank Guarantee,Customer,കസ്റ്റമർ
DocType: Purchase Receipt Item,Required By,നിബന്ധനകൾ
DocType: Delivery Note,Return Against Delivery Note,ഡെലിവറി കുറിപ്പ് മടങ്ങുക
DocType: Asset Category,Finance Book Detail,ധനകാര്യം പുസ്തക വിശദാംശം
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,എല്ലാ മൂല്യത്തകർച്ചകളും ബുക്ക് ചെയ്തു
DocType: Purchase Order,% Billed,% വസതി
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,ശമ്പള നമ്പർ
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),വിനിമയ നിരക്ക് {1} {0} അതേ ആയിരിക്കണം ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA ഒഴിവാക്കൽ
DocType: Sales Invoice,Customer Name,ഉപഭോക്താവിന്റെ പേര്
DocType: Vehicle,Natural Gas,പ്രകൃതി വാതകം
DocType: Project,Message will sent to users to get their status on the project,ഉപയോക്താക്കൾക്ക് പ്രോജക്റ്റിൽ അവരുടെ സ്റ്റാറ്റസ് ലഭിക്കുന്നതിന് സന്ദേശം അയയ്ക്കും
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},ബാങ്ക് അക്കൗണ്ട് {0} എന്ന് നാമകരണം ചെയ്യാൻ കഴിയില്ല
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,ശമ്പളം ഘടന പ്രകാരം എച്ച്ആർഎ
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,മേധാവികൾ (അല്ലെങ്കിൽ ഗ്രൂപ്പുകൾ) അക്കൗണ്ടിംഗ് വിഭാഗരേഖകൾ തീർത്തതു നീക്കിയിരിപ്പും സൂക്ഷിക്കുന്ന ഏത് നേരെ.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),പ്രമുഖ {0} പൂജ്യം ({1}) കുറവായിരിക്കണം കഴിയില്ല വേണ്ടി
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,സേവനം ആരംഭ തീയതിക്ക് മുമ്പുള്ള സേവന നിർത്തൽ തീയതി ദൈർഘ്യമുള്ളതായിരിക്കരുത്
DocType: Manufacturing Settings,Default 10 mins,10 മിനിറ്റ് സ്വതേ സ്വതേ
DocType: Leave Type,Leave Type Name,ടൈപ്പ് പേര് വിടുക
apps/erpnext/erpnext/templates/pages/projects.js,Show open,തുറക്കുക കാണിക്കുക
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,സീരീസ് വിജയകരമായി അപ്ഡേറ്റ്
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,ചെക്ക് ഔട്ട്
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} വരിയിൽ {0}
DocType: Asset Finance Book,Depreciation Start Date,ഡിസ്രിരിസേഷൻ ആരംഭ തീയതി
DocType: Pricing Rule,Apply On,പുരട്ടുക
DocType: Item Price,Multiple Item prices.,മൾട്ടിപ്പിൾ ഇനം വില.
,Purchase Order Items To Be Received,പ്രാപിക്കേണ്ട ഓർഡർ ഇനങ്ങൾ വാങ്ങുക
DocType: SMS Center,All Supplier Contact,എല്ലാ വിതരണക്കാരൻ കോൺടാക്റ്റ്
DocType: Support Settings,Support Settings,പിന്തുണ സജ്ജീകരണങ്ങൾ
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,അസാധുവായ ക്രെഡൻഷ്യലുകൾ
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ഐടിസി ലഭ്യമാണ് (പൂർണ്ണമായ ഭാഗമാണെങ്കിലും)
DocType: Amazon MWS Settings,Amazon MWS Settings,ആമസോൺ MWS സജ്ജീകരണങ്ങൾ
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,പ്രോസസ്സിംഗ് വൗച്ചറുകൾ
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,വരി # {0}: {2} ({3} / {4}): റേറ്റ് {1} അതേ ആയിരിക്കണം
,Batch Item Expiry Status,ബാച്ച് ഇനം കാലഹരണപ്പെടൽ അവസ്ഥ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,ബാങ്ക് ഡ്രാഫ്റ്റ്
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV- .YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,ആകെ വൈകി എൻ‌ട്രികൾ
DocType: Mode of Payment Account,Mode of Payment Account,പേയ്മെന്റ് അക്കൗണ്ട് മോഡ്
apps/erpnext/erpnext/config/healthcare.py,Consultation,കൺസൾട്ടേഷൻ
DocType: Accounts Settings,Show Payment Schedule in Print,അച്ചടിക്കുള്ള പേയ്മെന്റ് ഷെഡ്യൂൾ കാണിക്കുക
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,ഇന വ്യതിയാനങ്ങൾ അപ്‌ഡേറ്റുചെയ്‌തു
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,വിൽപ്പനയും വരുമാനവും
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,ഷോ രൂപഭേദങ്ങൾ
DocType: Academic Term,Academic Term,അക്കാദമിക് ടേം
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,സബ്സെക്ഷൻ ടാക്സ് എക്സംപ്ഷൻ സബ് വിഭാഗം
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',കമ്പനിയുടെ &#39;% s&#39; ൽ ഒരു വിലാസം സജ്ജമാക്കുക
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,മെറ്റീരിയൽ
DocType: Opening Invoice Creation Tool Item,Quantity,ക്വാണ്ടിറ്റി
,Customers Without Any Sales Transactions,ഏതെങ്കിലും സെയിൽ ഇടപാടുകളില്ലാത്ത ഉപഭോക്താക്കൾ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,അക്കൗണ്ടുകൾ മേശ ശൂന്യമായിടരുത്.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,കണക്കാക്കിയ വരവ് സമയം കണക്കാക്കാൻ Google മാപ്‌സ് ദിശ API ഉപയോഗിക്കുക
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),വായ്പകൾ (ബാദ്ധ്യതകളും)
DocType: Patient Encounter,Encounter Time,സമയം ഏറ്റുമുട്ടുന്നു
DocType: Staffing Plan Detail,Total Estimated Cost,ആകെ കണക്കാക്കപ്പെട്ട ചെലവ്
DocType: Employee Education,Year of Passing,പാസ് ആയ വര്ഷം
DocType: Routing,Routing Name,റൂട്ടിംഗ് പേര്
DocType: Item,Country of Origin,മാതൃരാജ്യം
DocType: Soil Texture,Soil Texture Criteria,മണ്ണ് ടെക്സ്ച്ചർ മാനദണ്ഡം
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,സ്റ്റോക്കുണ്ട്
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,പ്രാഥമിക കോൺടാക്റ്റ് വിശദാംശങ്ങൾ
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,തുറന്ന പ്രശ്നങ്ങൾ
DocType: Production Plan Item,Production Plan Item,പ്രൊഡക്ഷൻ പ്ലാൻ ഇനം
DocType: Leave Ledger Entry,Leave Ledger Entry,ലെഡ്ജർ എൻ‌ട്രി വിടുക
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},ഉപയോക്താവ് {0} ഇതിനകം എംപ്ലോയിസ് {1} നിയോഗിക്കുന്നു
DocType: Lab Test Groups,Add new line,പുതിയ വരി ചേർക്കുക
apps/erpnext/erpnext/utilities/activation.py,Create Lead,ലീഡ് സൃഷ്ടിക്കുക
DocType: Production Plan,Projected Qty Formula,പ്രൊജക്റ്റ് ചെയ്ത ക്യൂട്ടി ഫോർമുല
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,ആരോഗ്യ പരിരക്ഷ
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),പേയ്മെന്റ് കാലതാമസം (ദിവസം)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,പേയ്മെന്റ് നിബന്ധനകൾ ടെംപ്ലേറ്റ് വിശദാംശം
DocType: Hotel Room Reservation,Guest Name,അതിഥിയുടെ പേര്
DocType: Delivery Note,Issue Credit Note,ഇഷ്യു ക്രെഡിറ്റ് നോട്ട്
DocType: Lab Prescription,Lab Prescription,പ്രിസ്ക്രിപ്ഷൻ ലാബ്
,Delay Days,കാലതാമസം ഒഴിവാക്കുക
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,സേവന ചിലവേറിയ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},സീരിയൽ നമ്പർ: {0} ഇതിനകം സെയിൽസ് ഇൻവോയ്സ് പരാമർശിച്ചിരിക്കുന്ന ആണ്: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,വികയപതം
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,പരമാവധി ഒഴിവാക്കിയ തുക
DocType: Purchase Invoice Item,Item Weight Details,ഇനം ഭാരം വിശദാംശങ്ങൾ
DocType: Asset Maintenance Log,Periodicity,ഇതേ
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,സാമ്പത്തിക വർഷത്തെ {0} ആവശ്യമാണ്
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,അറ്റ ലാഭം / നഷ്ടം
DocType: Employee Group Table,ERPNext User ID,ERPNext ഉപയോക്തൃ ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,പരമാവധി വളർച്ചയ്ക്ക് സസ്യങ്ങളുടെ വരികൾ തമ്മിലുള്ള ഏറ്റവും കുറഞ്ഞ ദൂരം
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,നിർദ്ദിഷ്ട നടപടിക്രമങ്ങൾ ലഭിക്കുന്നതിന് ദയവായി രോഗിയെ തിരഞ്ഞെടുക്കുക
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,പ്രതിരോധ
DocType: Salary Component,Abbr,Abbr
DocType: Appraisal Goal,Score (0-5),സ്കോർ (0-5)
DocType: Tally Migration,Tally Creditors Account,ടാലി ക്രെഡിറ്റേഴ്സ് അക്കൗണ്ട്
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},വരി {0}: {1} {2} {3} കൂടെ പൊരുത്തപ്പെടുന്നില്ല
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,വരി # {0}:
DocType: Timesheet,Total Costing Amount,ആകെ ആറെണ്ണവും തുക
DocType: Sales Invoice,Vehicle No,വാഹനം ഇല്ല
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,വില ലിസ്റ്റ് തിരഞ്ഞെടുക്കുക
DocType: Accounts Settings,Currency Exchange Settings,കറൻസി വിനിമയ ക്രമീകരണങ്ങൾ
DocType: Work Order Operation,Work In Progress,പ്രവൃത്തി പുരോഗതിയിലാണ്
DocType: Leave Control Panel,Branch (optional),ബ്രാഞ്ച് (ഓപ്ഷണൽ)
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,തീയതി തിരഞ്ഞെടുക്കുക
DocType: Item Price,Minimum Qty ,മിനിമം ക്യൂട്ടി
DocType: Finance Book,Finance Book,ഫിനാൻസ് ബുക്ക്
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC -YYYY.-
DocType: Daily Work Summary Group,Holiday List,ഹോളിഡേ പട്ടിക
apps/erpnext/erpnext/config/quality_management.py,Review and Action,അവലോകനവും പ്രവർത്തനവും
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},ഈ ജീവനക്കാരന് ഇതിനകം സമാന ടൈംസ്റ്റാമ്പുള്ള ഒരു ലോഗ് ഉണ്ട്. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,കണക്കെഴുത്തുകാരന്
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,വില ലിസ്റ്റ് വിൽക്കുന്നു
DocType: Patient,Tobacco Current Use,പുകയില നിലവിലുളള ഉപയോഗം
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,വിൽക്കുന്ന നിരക്ക്
DocType: Cost Center,Stock User,സ്റ്റോക്ക് ഉപയോക്താവ്
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,എന്തിനും തിരയുക ...
DocType: Company,Phone No,ഫോൺ ഇല്ല
DocType: Delivery Trip,Initial Email Notification Sent,പ്രാരംഭ ഇമെയിൽ അറിയിപ്പ് അയച്ചു
DocType: Bank Statement Settings,Statement Header Mapping,ഹെഡ്ഡർ മാപ്പിംഗ് സ്റ്റേഷൻ
,Sales Partners Commission,സെയിൽസ് പങ്കാളികൾ കമ്മീഷൻ
DocType: Soil Texture,Sandy Clay Loam,സാൻഡി ക്ലേ ലോം
DocType: Purchase Invoice,Rounding Adjustment,റൌണ്ടിംഗ് അഡ്ജസ്റ്റ്മെന്റ്
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,ചുരുക്കെഴുത്ത് ലധികം 5 പ്രതീകങ്ങൾ കഴിയില്ല
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,പേയ്മെന്റ് അഭ്യർത്ഥന
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,ഒരു ഉപഭോക്താവിലേക്ക് നിയുക്തമായിട്ടുള്ള വിശ്വസ്തന പോയിൻറുകളുടെ ലോഗുകൾ കാണാൻ.
DocType: Asset,Value After Depreciation,മൂല്യത്തകർച്ച ശേഷം മൂല്യം
DocType: Student,O+,അവളുടെ O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,ബന്ധപ്പെട്ട
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,ഹാജർ തീയതി ജീവനക്കാരന്റെ ചേരുന്ന തീയതി കുറവ് പാടില്ല
DocType: Grading Scale,Grading Scale Name,ഗ്രേഡിംഗ് സ്കെയിൽ പേര്
DocType: Employee Training,Training Date,പരിശീലന തീയതി
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Marketplace- ലേക്ക് ഉപയോക്താക്കളെ ചേർക്കുക
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,ഇത് ഒരു റൂട്ട് അക്കൌണ്ട് ആണ് എഡിറ്റ് ചെയ്യാൻ കഴിയില്ല.
DocType: POS Profile,Company Address,കമ്പനി വിലാസം
DocType: BOM,Operations,പ്രവര്ത്തനങ്ങള്
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},{0} വേണ്ടി ഡിസ്കൗണ്ട് അടിസ്ഥാനത്തിൽ അധികാരപ്പെടുത്തൽ സജ്ജമാക്കാൻ കഴിയില്ല
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,സെയിൽസ് റിട്ടേണിനായി ഇ-വേ ബിൽ JSON സൃഷ്ടിക്കാൻ ഇപ്പോൾ കഴിയില്ല
DocType: Subscription,Subscription Start Date,സബ്സ്ക്രിപ്ഷൻ ആരംഭ തീയതി
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,അപ്പോയിന്റ്മെന്റ് ചാർജുകൾ ബുക്കുചെയ്യാൻ രോഗിയിൽ സജ്ജമാക്കാതിരിക്കുകയാണെങ്കിൽ സ്വീകാര്യമായ സ്വീകാര്യമായ അക്കൗണ്ടുകൾ ഉപയോഗിക്കേണ്ടതാണ്.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","രണ്ടു നിരകൾ, പഴയ പേര് ഒന്നു പുതിയ പേര് ഒന്നു കൂടി .csv ഫയൽ അറ്റാച്ച്"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,വിലാസം 2 മുതൽ
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,പ്രഖ്യാപനത്തിൽ നിന്ന് വിശദാംശങ്ങൾ നേടുക
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} അല്ല സജീവമായ സാമ്പത്തിക വർഷത്തിൽ.
DocType: Packed Item,Parent Detail docname,പാരന്റ് വിശദാംശം docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","പരാമർശം: {2}: {0}, ഇനം കോഡ്: {1} ഉപഭോക്തൃ"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} മാതാപിതാക്കളുടെ കമ്പനിയിൽ ഇല്ല
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,ട്രയൽ കാലാവധി അവസാന തീയതി ട്രയൽ കാലയളവ് ആരംഭിക്കുന്ന തീയതിക്ക് മുമ്പായിരിക്കരുത്
apps/erpnext/erpnext/utilities/user_progress.py,Kg,കി. ഗ്രാം
DocType: Tax Withholding Category,Tax Withholding Category,നികുതി പിരിച്ചെടുത്ത വിഭാഗം
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,ആദ്യം ലേഖകന്റെ എൻട്രി റദ്ദാക്കുക {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV -YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},{0} വരിയിൽ {0} സബ് കൺട്രോൾ ചെയ്യുന്നതിനായി BOM നിർദ്ദേശിക്കപ്പെട്ടിട്ടില്ല.
DocType: Vital Signs,Reflexes,റിഫ്ലക്സുകൾ
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} ഫലം സമർപ്പിച്ചു
DocType: Item Attribute,Increment,വർദ്ധന
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,നുള്ള തിരയൽ ഫലങ്ങൾ
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,വെയർഹൗസ് തിരഞ്ഞെടുക്കുക ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,അഡ്വർടൈസിങ്
