Pension Funds,Пенсионные фонды
Invalid Posting Time,Неверное время отправки
Discount,скидка
Redeem Loyalty Points,Погасить очки лояльности
Quotation Series,Цитата серии
Occupation,оккупация
Opening Stock,Открытие запаса
Supplier Score,Оценка поставщиков
Only show Items from these Item Groups,Показывать только предметы из этих групп товаров
Time In Mins,Время в мин
Item {0} does not exist in the system or has expired,Элемент {0} не существует в системе или срок его действия истек
Price Discount Scheme,Цена со скидкой Схема
Hyper,Hyper
What does it do?,Что оно делает?
Sales Invoice Trends,Тенденции в продажах
Payment Entries,Платежные записи
Class / Percentage,Класс / Процент
Electronic Invoice Register,Электронный реестр счетов
Is Return (Credit Note),Возврат (Кредитная нота)
Lab Test Sample,Образец лабораторного теста
status html,статус HTML
"For e.g. 2012, 2012-13","Например, 2012, 2012-13"
disabled user,отключенный пользователь
ES,ES
Warehouse Type,Тип склада
Quick Journal Entry,Быстрая запись в журнале
Consumed Amount,Потребляемая сумма
Already completed,Уже закончено
Pending Amount,Ожидающая сумма
Warn RFQs,Предупредить запросы
Lab Prescription,Рецепт лаборатории
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Строка амортизации {0}: следующая дата амортизации не может быть раньше даты доступности для использования
USD,доллар США
"Asset {0} cannot be scrapped, as it is already {1}","Актив {0} нельзя удалить, поскольку он уже {1}"
Departure Time,Время отправления
Donor Type,Тип донора
Monthly Sales Target,Ежемесячная цель продаж
Redemption Date,Дата погашения
Approving User cannot be same as user the rule is Applicable To,"Утверждающий пользователь не может совпадать с пользователем, к которому применяется правило"
Fee Schedule Student Group,Расписание занятий Студенческая группа
 From Date can not be greater than To Date,"С даты не может быть больше, чем до даты"
Please specify a {0},"Пожалуйста, укажите {0}"
To GSTIN,Чтобы GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,"Дата окончания срока не может быть раньше даты начала срока. Пожалуйста, исправьте даты и попробуйте снова."
No Employee Found,Сотрудник не найден
Exemption Category,Категория освобождения
Create Disbursement Entry,Создать расходную запись
Purpose must be one of {0},Цель должна быть одной из {0}
Last Activity ,Последняя активность
A link to all the Locations in which the Crop is growing,"Ссылка на все места, в которых растет урожай"
Course Enrollment {0} does not exists,Зачисление на курс {0} не существует
Maximum leave allowed in the leave type {0} is {1},Максимальный разрешенный отпуск в типе отпуска {0} равен {1}
Qty to Transfer,Кол-во для перевода
Please identify/create Account (Group) for type - {0},Укажите / создайте учетную запись (группу) для типа - {0}
Please set default customer group and territory in Selling Settings,"Пожалуйста, установите группу клиентов и территорию по умолчанию в настройках продаж"
There isn't any item variant for the selected item,Для выбранного товара нет варианта
Contract Details,Детали контракта
"Select, to make the customer searchable with these fields","Выберите, чтобы сделать клиента доступным для поиска в этих полях"
Total Actual,Всего фактических
Change Code,Изменить код
Planting Area,Площадь посадки
Employee Grade (optional),Оценка сотрудника (необязательно)
Cost Center For Item with Item Code ',МВЗ для позиции с кодом товара &#39;
Default Stock UOM,Стандартные акции UOM
Rent Cost,Стоимость аренды
Training Result,Результат обучения
Work Order not created,Заказ на работу не создан
Meter,метр
Hero Image,Образ героя
No Items to pack,Нет предметов для упаковки
Delivery warehouse required for stock item {0},Для складской позиции необходим склад {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Зарезервированный склад является обязательным для позиции {0} в поставляемом сырье
Target Location is required for the asset {0},Целевое местоположение требуется для актива {0}
SGST Amount,SGST Сумма
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Остаток на счете уже в кредите, вам не разрешено устанавливать «Баланс должен быть» как «Дебет»"
GSTR 3B Report,Отчет GSTR 3B
Rate & Amount,Оценить и сумма
Debit To is required,Требуется дебет до
Item Name,Имя элемента
Cost of New Purchase,Стоимость новой покупки
Additional information regarding the customer.,Дополнительная информация о клиенте.
Wrong,Неправильно
Batch Inventory,Пакетный инвентарь
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Письмо с зарплатой сотруднику будет защищено паролем, пароль будет сгенерирован на основе политики паролей."
Received Amount,Полученная сумма
Is Sales Item,Товар
Generate Text File,Создать текстовый файл
Variants,Варианты
"Charges will be distributed proportionately based on item qty or amount, as per your selection",Сборы будут распределяться пропорционально количеству или количеству товара согласно вашему выбору.
Pending activities for today,Ожидающие мероприятия на сегодня
Student Batch,Студенческая партия
Valuation Rate required for Item in row {0},Коэффициент оценки требуется для элемента в строке {0}
Base Hour Rate(Company Currency),Базовый тариф (валюта компании)
Printing Details,Печать деталей
Manufacturing Manager,Производственный менеджер
Job Card,Job Card
Prorate,пропорциональная доля
"System User (login) ID. If set, it will become default for all HR forms.","Идентификатор пользователя системы (логин). Если установлено, оно станет значением по умолчанию для всех форм HR."
All Item Groups,Все группы товаров
Select Status,Выберите статус
Fixed rate,Фиксированная ставка
Airline,авиакомпания
Term Details,Срок Детали
Acquisition Date,Дата Приобретения
Send To,Отправить
Average Rate,Средняя оценка
Set Qty in Transactions based on Serial No Input,Установите кол-во транзакций на основе последовательного ввода
Advance account currency should be same as company currency {0},Валюта авансового счета должна совпадать с валютой компании {0}
Customize Homepage Sections,Настроить разделы главной страницы
October,октября
Hide Customer's Tax Id from Sales Transactions,Скрыть идентификатор клиента из транзакций продажи
Invalid GSTIN! A GSTIN must have 15 characters.,Неверный GSTIN! GSTIN должен иметь 15 символов.
Pricing Rule {0} is updated,Правило ценообразования {0} обновлено
Contract Fulfilment Checklist,Контрольный список выполнения контракта
All Products,Все продукты
Product Search,Поиск продукта
Net Pay,Чистая оплата
Total Invoiced Amt,Общая сумма счета
Consumables Invoice Separately,Расходные материалы отдельно
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Бюджет нельзя назначить для учетной записи группы {0}
Rate and Amount,Оценить и сумма
Check availability,Проверить наличие свободных мест
Cannot find Item with this barcode,Не удается найти товар с этим штрих-кодом
Default Invoice Naming Series,Серия именования счетов по умолчанию
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Если у вас {0} {1} количество товара <b>{2}</b> , схема <b>{3}</b> будет применена к товару."
Student Siblings,Братья и сестры
Journal Entry {0} does not have account {1} or already matched against other voucher,Запись в журнале {0} не имеет учетной записи {1} или уже сопоставлена с другим ваучером
Legal Expenses,Юридические расходы
Checkout,"Проверять, выписываться"
Membership Details,Детали членства
Please set the Customer Address,"Пожалуйста, установите адрес клиента"
List your products or services that you buy or sell.,"Перечислите свои товары или услуги, которые вы покупаете или продаете."
Income,доход
Rate at which this tax is applied,"Ставка, по которой применяется этот налог"
Payment Receipt Note,Квитанция об оплате
In Percentage,В процентах
Quotations received from Suppliers.,"Расценки, полученные от поставщиков."
Reference Due Date,Срок выполнения ссылки
Lead Time Days,Сроки выполнения Дней
Revision and Revised On,Пересмотр и пересмотр
{0} against Purchase Order {1},{0} по заказу на поставку {1}
Fee Records Created - {0},Созданы записи комиссии - {0}
Note: {0},Примечание: {0}
Serial No {0} has already been received,Серийный номер {0} уже получен
Leave Settings,Оставить настройки
Issue Credit Note,Выдать кредитную ноту
Batch Item Expiry Status,Состояние истечения партии товара
Stock Transactions,Сделки с акциями
Event Location,Место проведения
Motion Picture & Video,Кино и видео
Row Spacing,Расстояние между рядами
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Номер учетной записи для учетной записи {0} недоступен. <br> Пожалуйста, настройте свой План счетов правильно."
Starting location from left edge,Исходное местоположение от левого края
HR Settings,Настройки HR
Appointments,Назначения
Asset {0} created,Актив {0} создан
Please enter Planned Qty for Item {0} at row {1},"Пожалуйста, введите плановое количество для позиции {0} в строке {1}"
Select Batch,Выберите пакет
Item Description,описание предмета
Account Name,Имя пользователя
Please enter API Consumer Key,"Пожалуйста, введите API Consumer Key"
Products per Page,Продукты на странице
Duplicate {0} found in the table,Дубликат {0} найден в таблице
Default Distance Unit,Единица расстояния по умолчанию
Consume Stock,Потреблять запас
Key Performance Area,Основная область деятельности
S.O. No.,ТАК Нет.
{0} not found for item {1},{0} не найден для элемента {1}
Set Source Warehouse,Установить исходный склад
Out Patient Settings,Настройки амбулаторного пациента
Insurance End Date,Дата окончания страхования
Branch Code,Код филиала
Time To Respond,Время ответить
User Forum,Пользовательский форум
Landed Cost Item,Стоимость товара
The seller and the buyer cannot be the same,Продавец и покупатель не могут быть одинаковыми
Copied From,Скопировано из
Available,Имеется в наличии
Sales Person Targets,Цели продавца
BOM Operation,Эксплуатация спецификации
O-,O-
Interest Amount,Сумма процентов
Origin,происхождения
Add a new address,добавить новый адрес
Write Off Account,Снять аккаунт
Proposal/Price Quote,Предложение / Ценовое предложение
Associate,ассоциированный
Please input all required Result Value(s),"Пожалуйста, введите все необходимые значения результата (ов)"
Purchase Order Item Supplied,Поставка заказа на поставку
Item {0} is not a serialized Item,Элемент {0} не является сериализованным элементом
GoCardless Customer,GoCardless Клиент
Leave Balance,Оставь Баланс
Maintenance Schedule {0} exists against {1},График обслуживания {0} существует для {1}
Supervisor Name,Имя руководителя
Campaign Naming By,Название кампании
Course Code,Код курса
Aerospace,авиационно-космический
Distribute Charges Based On,Распределить расходы на основе
Supplier Scorecard Scoring Criteria,Критерии оценки поставщиков
Stock,Склад
Receipt Document Type,Тип документа квитанции
Classification of Customers by region,Классификация клиентов по регионам
Billable,Оплачиваемый
Government,Правительство
"Create Employee records to manage leaves, expense claims and payroll","Создание записей о сотрудниках для управления отпусками, расходами и расчетами заработной платы."
Point-of-Sale,Торговая точка
User {0} is already assigned to Healthcare Practitioner {1},Пользователь {0} уже назначен практикующему врачу {1}
Standard Buying,Стандартная покупка
Apprentice,подмастерье
Add Timesheets,Добавить расписания
"Number of new Account, it will be included in the account name as a prefix","Номер новой учетной записи, он будет включен в имя учетной записи в качестве префикса"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Склад поставщика обязателен для получения контракта на покупку по субподряду
Please enter Preferred Contact Email,"Пожалуйста, введите предпочитаемый контактный адрес электронной почты"
Normal,Нормальный
Customer POS Id,Идентификатор клиента POS
Weight Per Unit,Вес на единицу
Child nodes can be only created under 'Group' type nodes,Дочерние узлы могут быть созданы только под узлами типа «Группа»
(including),(в том числе)
Requested,запрошенный
Item {0} is not a stock Item,Товар {0} не является товаром на складе
Multi Currency,Мульти валюта
Write Off Difference Amount,Сумма списания разницы
Item {0} is disabled,Элемент {0} отключен
Last Completion Date,Дата последнего завершения
Fulfillment,выполнение
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",Задача была поставлена в качестве фонового задания. В случае возникновения каких-либо проблем с обработкой в фоновом режиме система добавит комментарий об ошибке в этой сверке запасов и вернется к этапу черновика.
Total Order Considered,Общий заказ рассмотрен
Optimize Route,Оптимизировать маршрут
Discount Percentage can be applied either against a Price List or for all Price List.,"Процент скидки может быть применен либо к прайс-листу, либо ко всему прайс-листу."
Trainer Email,Электронная почта тренера
Get from Patient Encounter,Получить от встречи с пациентом
Software Developer,Разработчик программного обеспечения
Sample Collection,Сбор образцов
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Пожалуйста, поделитесь своим мнением о тренинге, нажав «Обратная связь», а затем «Новый»"
Connecting to QuickBooks,Подключение к QuickBooks
Enrolling student,Поступающий студент
Claimed,Заявленное
Leaves,Листья
Salary breakup based on Earning and Deduction.,Распределение заработной платы на основе заработка и удержания.
Salary Structure Missing,Структура зарплаты отсутствует
Action Field,Поле действия
Quotation Trends,Котировки Тенденции
Connect Amazon with ERPNext,Подключите Amazon с ERPNext
Response and Resolution Time,Время отклика и разрешения
Collection Tier,Уровень коллекции
Guardian Of ,Хранитель О
Payment Gateway Details,Платежный шлюз
Staffing Plan {0} already exist for designation {1},Штатное расписание {0} уже существует для назначения {1}
Website Warehouse,Склад сайтов
Rate With Margin,Оценить с маржой
Salary Structure must be submitted before submission of Tax Ememption Declaration,Структура заработной платы должна быть представлена до подачи декларации об освобождении от налогов
Add Leads,Добавить потенциальных клиентов
Reserve Warehouse,Резервный Склад
Payment Term Name,Название срока оплаты
No Permission,Отсутствует разрешение
Select Company...,Выберите компанию ...
Use Naming Series,Используйте серию имен
Formula,формула
Action if Accumulated Monthly Budget Exceeded on Actual,"Действие, если накопленный ежемесячный бюджет превышен на фактическом"
Allow Encashment,Разрешить инкассацию
Project activity / task.,Деятельность проекта / задача.
Bank Statement Transaction Invoice Item,Позиция счета-фактуры по банковской выписке
Total Operating Cost,Общая стоимость эксплуатации
Employee Onboarding Template,Шаблон адаптации сотрудника
Same Item,Тот же пункт
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Сумма за одну транзакцию превышает максимально допустимую сумму, создайте отдельное платежное поручение, разделив транзакции"
Salary Slips Created,Слайп зарплаты создан
Lab Test(s) ,Лабораторный тест (ы)
Party Details,Детали вечеринки
Cost of Purchased Items,Стоимость приобретенных предметов
All communications including and above this shall be moved into the new Issue,"Все сообщения, включая и выше этого, должны быть перенесены в новый выпуск"
Material Consumption for Manufacture,Расход материалов на производство
Table for Item that will be shown in Web Site,"Таблица для элемента, который будет показан на веб-сайте"
Restaurant Menu,Меню ресторана
Purpose,Цель
Salary Structure Assignment for Employee already exists,Присвоение структуры зарплаты сотруднику уже существует
Service Unit,Сервисный блок
Identification Document Number,Идентификационный номер документа
Additional Costs,Дополнительные расходы
"Parent Course (Leave blank, if this isn't part of Parent Course)","Курс для родителей (оставьте пустым, если это не является частью курса для родителей)"
Employee Education,Обучение сотрудников
Number of positions cannot be less then current count of employees,Количество должностей не может быть меньше текущего количества сотрудников
All Customer Groups,Все группы клиентов
Buying Price List,Прайс-лист на покупку
Finished Good Item Code,Готовый товарный код
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,"Для даты {0} существует несколько финансовых лет. Пожалуйста, укажите компанию в финансовом году"
Available for use date is required,Доступно для использования требуется дата
Training Date,Дата обучения
Reading Uploaded File,Чтение загруженного файла
Material Request,Запрос материала
Total Allocated Amount (Company Currency),Общая выделенная сумма (валюта компании)
Restaurant Order Entry Item,Заказ на вход в ресторан
Distance,Расстояние
Get financial breakup of Taxes and charges data by Amazon ,Получите финансовую разбивку налогов и сборов с помощью Amazon
Mileage,Пробег
"For an item {0}, quantity must be positive number",Для позиции {0} количество должно быть положительным числом
Item Cart,Товар Корзина
Payment Entries {0} are un-linked,Платежные записи {0} не связаны
Open Notifications,Открытые уведомления
Successfully created payment entries,Успешно созданные платежные записи
Mg/K,Мг / К
Has Serial No,Имеет серийный номер
Manufacturing User,Пользователь производства
Ledger,гроссбух
Loan,ссуда
Fuel UOM,Топливо УОМ
Support,Служба поддержки
Invalid Company for Inter Company Transaction.,Неправильная компания для межфирменной сделки.
Fixed Asset Depreciation Settings,Фиксированные настройки амортизации активов
Department and Grade,Отдел и класс
Cheques Required,Требуется проверка
Do Not Contact,Не связываться
Update Billed Amount in Sales Order,Обновление выставленной суммы в заказе клиента
Meal Preference,Предпочтение в еде
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Даже если существует несколько правил ценообразования с наивысшим приоритетом, применяются следующие внутренние приоритеты:"
Employee {0} is not active or does not exist,Сотрудник {0} не активен или не существует
List of all share transactions,Список всех операций с акциями
Sales Defaults,Продажи по умолчанию
Overlap in scoring between {0} and {1},Перекрытие в оценке между {0} и {1}
Weightage,Weightage
Create New Payment/Journal Entry,Создать новую оплату / запись в журнале
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Если на основе вышеуказанных условий найдено два или более Правил ценообразования, применяется Приоритет. Приоритет - это число от 0 до 20, а значение по умолчанию - ноль (пусто). Более высокое число означает, что оно будет иметь приоритет, если существует несколько правил ценообразования с одинаковыми условиями."
