DocType: Accounting Period,Period Name,সময়কালের নাম
DocType: Patient Appointment,Check availability,গ্রহণযোগ্যতা যাচাই
DocType: Retention Bonus,Bonus Payment Date,বোনাস প্রদানের তারিখ
DocType: Employee,Job Applicant,কাজ আবেদনকারী
DocType: Job Card,Total Time in Mins,মিনসে মোট সময়
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,এই সরবরাহকারী বিরুদ্ধে লেনদেনের উপর ভিত্তি করে তৈরি. বিস্তারিত জানার জন্য নিচের টাইমলাইনে দেখুন
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,কাজের আদেশের জন্য প্রযোজক শতাংশ
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,Mat-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,আইনগত
DocType: Sales Invoice,Transport Receipt Date,পরিবহন রসিদ তারিখ
DocType: Shopify Settings,Sales Order Series,বিক্রয় আদেশ সিরিজ
DocType: Vital Signs,Tongue,জিহ্বা
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},প্রকৃত টাইপ ট্যাক্স সারিতে আইটেম রেট অন্তর্ভুক্ত করা যাবে না {0}
DocType: Allowed To Transact With,Allowed To Transact With,সঙ্গে লেনদেন অনুমোদিত
DocType: Bank Guarantee,Customer,ক্রেতা
DocType: Purchase Receipt Item,Required By,ক্সসে
DocType: Delivery Note,Return Against Delivery Note,হুণ্ডি বিরুদ্ধে ফিরে
DocType: Asset Category,Finance Book Detail,ফাইন্যান্স বুক বিস্তারিত
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,সমস্ত অবমূল্যায়ন বুক করা হয়েছে
DocType: Purchase Order,% Billed,% চালান করা হয়েছে
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,বেতন সংখ্যা
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),এক্সচেঞ্জ রেট হিসাবে একই হতে হবে {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,এইচআরএ অব্যাহতি
DocType: Sales Invoice,Customer Name,ক্রেতার নাম
DocType: Vehicle,Natural Gas,প্রাকৃতিক গ্যাস
DocType: Project,Message will sent to users to get their status on the project,ব্যবহারকারীদের প্রকল্পের স্থিতি পেতে বার্তা প্রেরণ করা হবে
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},ব্যাংক অ্যাকাউন্ট হিসেবে নামকরণ করা যাবে না {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,বেতন কাঠামো অনুযায়ী এইচআরএ
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,"প্রধান (বা গ্রুপ), যার বিরুদ্ধে হিসাব থেকে তৈরি করা হয় এবং উদ্বৃত্ত বজায় রাখা হয়."
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),বিশিষ্ট {0} হতে পারে না শূন্য কম ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,সার্ভিস স্টপ তারিখ সার্ভিস শুরু হওয়ার আগে হতে পারে না
DocType: Manufacturing Settings,Default 10 mins,10 মিনিট ডিফল্ট
DocType: Leave Type,Leave Type Name,প্রকার নাম ত্যাগ
apps/erpnext/erpnext/templates/pages/projects.js,Show open,খোলা দেখাও
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,সিরিজ সফলভাবে আপডেট
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,চেকআউট
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{1} সারিতে {1}
DocType: Asset Finance Book,Depreciation Start Date,ঘনত্ব শুরু তারিখ
DocType: Pricing Rule,Apply On,উপর প্রয়োগ
DocType: Item Price,Multiple Item prices.,একাধিক আইটেম মূল্য.
,Purchase Order Items To Be Received,ক্রয় আদেশ আইটেম গ্রহন করা
DocType: SMS Center,All Supplier Contact,সমস্ত সরবরাহকারী যোগাযোগ
DocType: Support Settings,Support Settings,সাপোর্ট সেটিং
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,অবৈধ প্রশংসাপত্র
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),আইটিসি উপলব্ধ (সম্পূর্ণ বিকল্প অংশে থাকুক না কেন)
DocType: Amazon MWS Settings,Amazon MWS Settings,আমাজন MWS সেটিংস
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,প্রক্রিয়াকরণ ভাউচার
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,সারি # {0}: হার হিসাবে একই হতে হবে {1}: {2} ({3} / {4})
,Batch Item Expiry Status,ব্যাচ আইটেম মেয়াদ শেষ হওয়ার স্থিতি
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,ব্যাংক খসড়া
DocType: Journal Entry,ACC-JV-.YYYY.-,দুদক-জেভি-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,মোট দেরী এন্ট্রি
DocType: Mode of Payment Account,Mode of Payment Account,পেমেন্ট একাউন্ট এর মোড
apps/erpnext/erpnext/config/healthcare.py,Consultation,পরামর্শ
DocType: Accounts Settings,Show Payment Schedule in Print,প্রিন্ট ইন পেমেন্ট শেল্ড দেখান
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,আইটেমের রূপগুলি আপডেট হয়েছে
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,বিক্রয় এবং রিটার্নস
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,দেখান রুপভেদ
DocType: Academic Term,Academic Term,একাডেমিক টার্ম
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,কর্মচারী ট্যাক্স মোছা সাব ক্যাটাগরি
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',দয়া করে সংস্থার &#39;% s&#39; তে একটি ঠিকানা সেট করুন
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,উপাদান
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",কর্মী {0} এর সর্বোচ্চ বেনিফিট {1} বকেয়া আবেদন প্রো-রাটা উপাদান \ পরিমাণ এবং পূর্ববর্তী দাবি পরিমাণ দ্বারা সমষ্টি {2} অতিক্রম করেছে
DocType: Opening Invoice Creation Tool Item,Quantity,পরিমাণ
,Customers Without Any Sales Transactions,কোন বিক্রয় লেনদেন ছাড়া গ্রাহক
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,অ্যাকাউন্ট টেবিল খালি রাখা যাবে না.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,আনুমানিক আগমনের সময় গণনা করতে Google মানচিত্র নির্দেশনা API ব্যবহার করুন
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),ঋণ (দায়)
DocType: Patient Encounter,Encounter Time,সময় এনকাউন্টার
DocType: Staffing Plan Detail,Total Estimated Cost,মোট আনুমানিক খরচ
DocType: Employee Education,Year of Passing,পাসের সন
DocType: Routing,Routing Name,রাউটিং নাম
DocType: Item,Country of Origin,মাত্রিভূমি
DocType: Soil Texture,Soil Texture Criteria,মৃত্তিকা টেক্সচারের মানদণ্ড
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,স্টক ইন
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,প্রাথমিক যোগাযোগের বিবরণ
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,এমনকি আপনি যদি
DocType: Production Plan Item,Production Plan Item,উৎপাদন পরিকল্পনা আইটেম
DocType: Leave Ledger Entry,Leave Ledger Entry,লেজার এন্ট্রি ছেড়ে দিন
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},ব্যবহারকারী {0} ইতিমধ্যে কর্মচারী নির্ধারিত হয় {1}
DocType: Lab Test Groups,Add new line,নতুন লাইন যোগ করুন
apps/erpnext/erpnext/utilities/activation.py,Create Lead,লিড তৈরি করুন
DocType: Production Plan,Projected Qty Formula,প্রজেক্টড কিউটি ফর্মুলা
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,স্বাস্থ্যের যত্ন
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),পেমেন্ট মধ্যে বিলম্ব (দিন)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,অর্থপ্রদান শর্তাদি বিস্তারিত বিস্তারিত
DocType: Hotel Room Reservation,Guest Name,অতিথির নাম
DocType: Delivery Note,Issue Credit Note,ইস্যু ক্রেডিট নোট
DocType: Lab Prescription,Lab Prescription,ল্যাব প্রেসক্রিপশন
,Delay Days,বিলম্বিত দিনগুলি
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,পরিষেবা ব্যায়ের
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},ক্রমিক সংখ্যা: {0} ইতিমধ্যে বিক্রয় চালান উল্লেখ করা হয়: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,চালান
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,সর্বোচ্চ ছাড়ের পরিমাণ
DocType: Purchase Invoice Item,Item Weight Details,আইটেম ওজন বিশদ
DocType: Asset Maintenance Log,Periodicity,পর্যাবৃত্তি
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,অর্থবছরের {0} প্রয়োজন বোধ করা হয়
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,নেট লাভ / ক্ষতি
DocType: Employee Group Table,ERPNext User ID,ERPNext ব্যবহারকারী আইডি
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,সর্বোত্তম বৃদ্ধির জন্য উদ্ভিদের সারিগুলির মধ্যে সর্বনিম্ন দূরত্ব
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,নির্ধারিত পদ্ধতি পেতে দয়া করে রোগীকে নির্বাচন করুন
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,প্রতিরক্ষা
DocType: Salary Component,Abbr,সংক্ষিপ্তকরণ
DocType: Appraisal Goal,Score (0-5),স্কোর (0-5)
DocType: Tally Migration,Tally Creditors Account,টেলি ক্রেডিটর অ্যাকাউন্ট
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},সারি {0}: {1} {2} সঙ্গে মেলে না {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,সারি # {0}:
DocType: Timesheet,Total Costing Amount,মোট খোয়াতে পরিমাণ
DocType: Sales Invoice,Vehicle No,যানবাহন কোন
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,মূল্য তালিকা নির্বাচন করুন
DocType: Accounts Settings,Currency Exchange Settings,মুদ্রা বিনিময় সেটিংস
DocType: Work Order Operation,Work In Progress,কাজ চলছে
DocType: Leave Control Panel,Branch (optional),শাখা (alচ্ছিক)
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,দয়া করে তারিখ নির্বাচন
DocType: Item Price,Minimum Qty ,ন্যূনতম Qty
DocType: Finance Book,Finance Book,ফাইন্যান্স বুক
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,ছুটির তালিকা
apps/erpnext/erpnext/config/quality_management.py,Review and Action,পর্যালোচনা এবং কর্ম
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},এই কর্মচারীর ইতিমধ্যে একই টাইমস্ট্যাম্পের একটি লগ রয়েছে {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,হিসাবরক্ষক
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,মূল্য তালিকা বিক্রি
DocType: Patient,Tobacco Current Use,তামাক বর্তমান ব্যবহার
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,বিক্রি হার
DocType: Cost Center,Stock User,স্টক ইউজার
DocType: Soil Analysis,(Ca+Mg)/K,(CA ম্যাগনেসিয়াম + +) / কে
DocType: Delivery Stop,Contact Information,যোগাযোগের তথ্য
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,যে কোনও কিছুর সন্ধান করুন ...
DocType: Company,Phone No,ফোন নম্বর
DocType: Delivery Trip,Initial Email Notification Sent,প্রাথমিক ইমেল বিজ্ঞপ্তি পাঠানো
DocType: Bank Statement Settings,Statement Header Mapping,বিবৃতি হেডার ম্যাপিং
,Sales Partners Commission,সেলস পার্টনার্স কমিশন
DocType: Soil Texture,Sandy Clay Loam,স্যান্ডী ক্লে লোম
DocType: Purchase Invoice,Rounding Adjustment,রাউন্ডিং সামঞ্জস্য
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,অধিক 5 অক্ষর থাকতে পারে না সমাহার
DocType: Amazon MWS Settings,AU,এইউ
DocType: Payment Order,Payment Request,পরিশোধের অনুরোধ
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,একটি গ্রাহককে নিযুক্ত আনুগত্য পয়েন্টের লগগুলি দেখতে
DocType: Asset,Value After Depreciation,মূল্য অবচয় পর
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","ওয়ার্ক অর্ডার {1} এ স্থানান্তরিত আইটেমটি {0} পাওয়া যায় নি, আইটেমটি স্টক এন্ট্রিতে যোগ করা হয়নি"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,সংশ্লিষ্ট
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,এ্যাটেনডেন্স তারিখ কর্মচারী এর যোগদান তারিখের কম হতে পারে না
DocType: Grading Scale,Grading Scale Name,শূন্য স্কেল নাম
DocType: Employee Training,Training Date,প্রশিক্ষণের তারিখ
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,বাজারে ব্যবহারকারীদের যোগ করুন
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,এটি একটি root অ্যাকাউন্ট এবং সম্পাদনা করা যাবে না.
DocType: POS Profile,Company Address,প্রতিস্থান এর ঠিকানা
DocType: BOM,Operations,অপারেশনস
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},জন্য ছাড়ের ভিত্তিতে অনুমোদন সেট করা যায় না {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,ই-ওয়ে বিল জেএসএন এখন পর্যন্ত বিক্রয় রিটার্নের জন্য উত্পন্ন করা যাবে না
DocType: Subscription,Subscription Start Date,সাবস্ক্রিপশন শুরু তারিখ
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,আপত্তিমূলক চার্জ বইয়ের জন্য রোগীর মধ্যে সেট না হলে ডিফল্ট গ্রহনযোগ্য অ্যাকাউন্ট ব্যবহার করা।
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","দুই কলাম, পুরাতন নাম জন্য এক এবং নতুন নামের জন্য এক সঙ্গে CSV ফাইল সংযুক্ত"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,ঠিকানা থেকে 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,ঘোষণা থেকে বিশদ পান Get
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} কোনো সক্রিয় অর্থবছরে না.
DocType: Packed Item,Parent Detail docname,মূল বিস্তারিত docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","রেফারেন্স: {0}, আইটেম কোড: {1} এবং গ্রাহক: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} মূল কোম্পানির মধ্যে উপস্থিত নেই
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,ট্রায়ালের মেয়াদ শেষের তারিখটি ট্রায়ালের মেয়াদ শুরু তারিখের আগে হতে পারে না
apps/erpnext/erpnext/utilities/user_progress.py,Kg,কেজি
DocType: Tax Withholding Category,Tax Withholding Category,ট্যাক্স আটকানোর বিভাগ
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,জার্নাল এন্ট্রি বাতিল {0} প্রথম
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,দুদক-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},{1} সারি {1} এ উপসম্পাদক আইটেমের জন্য BOM নির্দিষ্ট করা হয়নি
DocType: Vital Signs,Reflexes,প্রতিবর্তী ক্রিয়া
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} ফলাফল জমা দেওয়া হয়েছে
DocType: Item Attribute,Increment,বৃদ্ধি
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,জন্য সাহায্য ফলাফল
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,ওয়ারহাউস নির্বাচন ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,বিজ্ঞাপন
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,একই কোম্পানীর একবারের বেশি প্রবেশ করানো হয়
DocType: Patient,Married,বিবাহিত
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},অনুমোদিত নয় {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,থেকে আইটেম পান
DocType: Stock Entry,Send to Subcontractor,সাবকন্ট্রাক্টরকে প্রেরণ করুন
DocType: Purchase Invoice,Apply Tax Withholding Amount,কর আটকানোর পরিমাণ প্রয়োগ করুন
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,মোট সম্পূর্ণ পরিমাণ পরিমাণ পরিমাণের চেয়ে বড় হতে পারে না
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},শেয়ার হুণ্ডি বিরুদ্ধে আপডেট করা যাবে না {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,মোট পরিমাণ কৃতিত্ব
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,তালিকাভুক্ত কোনো আইটেম
DocType: Asset Repair,Error Description,ত্রুটি বর্ণনা
DocType: Payment Reconciliation,Reconcile,মিলনসাধন করা
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,মুদিখানা
DocType: Quality Inspection Reading,Reading 1,1 পঠন
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,অবসর বৃত্তি পেনশন ভাতা তহবিল
DocType: Exchange Rate Revaluation Account,Gain/Loss,লাভ ক্ষতি
DocType: Crop,Perennial,বহুবর্ষজীবী
DocType: Program,Is Published,প্রকাশিত হয়
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,বিতরণ নোটগুলি প্রদর্শন করুন
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",অতিরিক্ত বিলিংয়ের অনুমতি দেওয়ার জন্য অ্যাকাউন্টস সেটিংস বা আইটেমটিতে &quot;ওভার বিলিং ভাতা&quot; আপডেট করুন।
DocType: Patient Appointment,Procedure,কার্যপ্রণালী
DocType: Accounts Settings,Use Custom Cash Flow Format,কাস্টম ক্যাশ ফ্লো বিন্যাস ব্যবহার করুন
DocType: SMS Center,All Sales Person,সব বিক্রয় ব্যক্তি
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** মাসিক বিতরণ ** আপনি যদি আপনার ব্যবসার মধ্যে ঋতু আছে আপনি মাস জুড়ে বাজেট / উদ্দিষ্ট বিতরণ করতে সাহায্য করে.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,না আইটেম পাওয়া যায়নি
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,বেতন কাঠামো অনুপস্থিত
DocType: Lead,Person Name,ব্যক্তির নাম
,Supplier Ledger Summary,সরবরাহকারী লেজারের সংক্ষিপ্তসার
DocType: Sales Invoice Item,Sales Invoice Item,বিক্রয় চালান আইটেম
DocType: Quality Procedure Table,Quality Procedure Table,মান প্রক্রিয়া সারণী
DocType: Account,Credit,জমা
DocType: POS Profile,Write Off Cost Center,খরচ কেন্দ্র বন্ধ লিখুন
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""","যেমন, &quot;প্রাথমিক স্কুল&quot; বা &quot;বিশ্ববিদ্যালয়&quot;"
apps/erpnext/erpnext/config/stock.py,Stock Reports,স্টক রিপোর্ট
