Pension Funds,Pensionsmidler
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standardvilkår og betingelser, der kan tilføjes til salg og køb. Eksempler: 1. Tilbudets gyldighed. 1. Betalingsbetingelser (på forhånd, på kredit, delforskud osv.). 1. Hvad er ekstra (eller betales af kunden). 1. Advarsel om sikkerhed / brug. 1. Garanti hvis nogen. 1. Returpolitik. 1. Leveringsbetingelser, hvis det er relevant. 1. Måder at behandle tvister, skadesløsholdelse, ansvar mv 1. Adresse og Kontakt til din virksomhed."
Leave Status Notification,Forlad statusmeddelelse
Designation Skill,Betegnelse Færdighed
Quantity required for Item {0} in row {1},"Mængde, der kræves for vare {0} i række {1}"
"To filter based on Party, select Party Type first","For at filtrere baseret på Party, skal du først vælge Partitur"
No Salary Structure assigned for Employee {0} on given date {1},Ingen lønstrukturer tildelt medarbejder {0} på en given dato {1}
Number,Nummer
Separate course based Group for every Batch,Separat kursusbaseret gruppe for hver batch
Require Lab Test Approval,Kræv labtestgodkendelse
Update Clearance Date,Opdateringsdato for opdatering
Import Chart of Accounts from a csv file,Importer diagram af konti fra en csv-fil
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Støtten til offentlig app er afskediget. Opsæt venligst privat app, for flere detaljer, se brugervejledningen"
Signed,Underskrevet
Terms and Conditions1,Vilkår og betingelser1
Please select Employee Record first.,Vælg venligst medarbejderoptegnelse først.
Password policy for Salary Slips is not set,Adgangskode for Lønningslister er ikke angivet
Result HTML,Resultat HTML
Ignore holidays,Ignorer helligdage
Linked Soil Texture,Sammenknyttet jordstruktur
This is based on logs against this Vehicle. See timeline below for details,Dette er baseret på logfiler mod dette køretøj. Se tidslinjen nedenfor for detaljer
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Kontakt i nødstilfælde
Authorization URL,Autorisations-URL
On Leave,På orlov
Show a slideshow at the top of the page,Vis et diasshow øverst på siden
Payer Settings,Betalingsindstillinger
Set Tax Rule for shopping cart,Indstil skatteregler for indkøbskurv
In Production,I produktion
Payment References,Betalingsreferencer
Valid Till,Gyldig til
{0}: From {0} of type {1},{0}: Fra {0} af typen {1}
Project Name,Projekt navn
Stock Qty,Lager Antal
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Børnelementet bør ikke være en produktpakke. Fjern venligst elementet `{0}` og gem
Response Result Key Path,Response Result Key Path
Fully Sponsored,Fuldt sponsoreret
Not permitted. Please disable the Service Unit Type,Ikke tilladt. Deaktiver venligst serviceenhedstypen
Offline POS Settings,Offline POS-indstillinger
Calculations,Beregninger
Material Requested,Materiale krævet
Reference Row,Reference Row
Annual Allocation,Årlig tildeling
Subcontract,underleverance
Valuation type charges can not marked as Inclusive,Værdiansættelsestypeafgifter kan ikke markeres som Inklusiv
Account {0}: Parent account {1} does not belong to company: {2},Konto {0}: Moderselskab {1} tilhører ikke firma: {2}
Failed to login,Kunne ikke logge ind
Items and Pricing,Varer og priser
Payment Terms Template,Betalingsbetingelser skabelon
Previous Work Experience,Tidligere Arbejdsoplevelse
Program,Program
Healthcare,Healthcare
Complaint,Klage
Restrict to Countries,Begræns til lande
Item Manager,Item Manager
Currency of the Closing Account must be {0},Valuta for afslutningskonto skal være {0}
Opening Invoice Item,Åbning af fakturaelement
Plan material for sub-assemblies,Planlæg materiale til underenheder
Hardware,Hardware
Action if Annual Budget Exceeded on MR,Handling hvis årligt budget oversteg MR
Advance Amount,Forskudsbeløb
Against Sales Invoice Item,Mod salgsfaktura
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Inkluder vare i fremstilling
Check in (group),Check ind (gruppe)
Do not show any symbol like $ etc next to currencies.,Vis ikke noget symbol som $ etc ved siden af valutaer.
Salary Component Type,Løn Komponent Type
The shareholder does not belong to this company,Aktionæren tilhører ikke dette selskab
Day(s) after the end of the invoice month,Dag (er) efter faktura månedens afslutning
Vehicle Type,Køretøjstype
Healthcare Administrator,Sundhedsadministrator
Single Transaction Threshold,Single Transaction Threshold
Broadcasting,Broadcasting
Post Title Key,Posttitelnøgle
Customer Primary Address,Kunde primære adresse
Please select batches for batched item ,Vælg venligst batches for batched item
Min Qty,Min. Antal
Payment Deductions or Loss,Betaling fradrag eller tab
On Item Quantity,På varenummer
Replace BOM and update latest price in all BOMs,Udskift BOM og opdater seneste pris i alle BOM&#39;er
Both Trial Period Start Date and Trial Period End Date must be set,Begge prøveperiodens startdato og prøveperiode Slutdato skal indstilles
No time sheets,Ingen tidsskemaer
Statement Header Mapping,Statement Header Mapping
Mark Half Day,Mark halv dag
Material Transfer for Manufacture,Materialeoverførsel til fremstilling
Block Supplier,Bloker leverandør
Please enter Woocommerce Server URL,Indtast venligst Woocommerce Server URL
From Place,Fra Sted
No contacts with email IDs found.,Der blev ikke fundet nogen kontakter med e-mail-id&#39;er.
Consumption Invoiced,Forbrug faktureres
Requested Quantity,Ønsket mængde
Exit,Afslut
Dispatch Information,Dispatch Information
Basic Amount (Company Currency),Grundbeløb (Virksomhedsvaluta)
Selling Settings,Sælger indstillinger
A question must have more than one options,Et spørgsmål skal have mere end en mulighed
Please set the Date Of Joining for employee {0},Angiv datoen for tilslutning til medarbejder {0}
About your company,Om din virksomhed
Fiscal Year {0} does not exist,Regnskabsår {0} eksisterer ikke
Leave Application,Forlad ansøgning
Maintenance Log,Vedligeholdelseslog
Invalid Posting Time,Ugyldig postetid
Discount,Rabat
Redeem Loyalty Points,Indløs loyalitetspoint
Quotation Series,Citat Serie
Occupation,Beskæftigelse
Opening Stock,Åbning Lager
Supplier Score,Leverandør score
Only show Items from these Item Groups,Vis kun elementer fra disse varegrupper
Time In Mins,Tid i min
Item {0} does not exist in the system or has expired,Vare {0} findes ikke i systemet eller er udløbet
Price Discount Scheme,Pris Discount Scheme
Hyper,Hyper
What does it do?,Hvad gør den?
Sales Invoice Trends,Salgsfakturaudvikling
Payment Entries,Betalingsindlæg
Class / Percentage,Klasse / Procentdel
Electronic Invoice Register,Elektronisk Faktura Register
Is Return (Credit Note),Er retur (kredit notat)
Lab Test Sample,Lab Test prøve
status html,status html
"For e.g. 2012, 2012-13","For eksempel 2012, 2012-13"
disabled user,deaktiveret bruger
ES,ES
Warehouse Type,Lager type
Quick Journal Entry,Quick Journal Entry
Consumed Amount,Forbrugt beløb
Already completed,Allerede afsluttet
Pending Amount,Afventende beløb
Warn RFQs,Advar RFQ&#39;er
Lab Prescription,Lab Prescription
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Afskrivningsrække {0}: Næste afskrivningsdato kan ikke være før tilgængelig dato
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Asset {0} kan ikke slettes, da det allerede er {1}"
Departure Time,Afgangstid
Donor Type,Donor Type
Monthly Sales Target,Månedligt salgsmål
Redemption Date,Indløsningsdato
Approving User cannot be same as user the rule is Applicable To,Godkendende Bruger kan ikke være den samme som bruger Reglen gælder for
Fee Schedule Student Group,Fee Schedule Student Group
 From Date can not be greater than To Date,Fra Dato kan ikke være større end Til dato
Please specify a {0},Angiv venligst en {0}
To GSTIN,Til GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Termens slutdato kan ikke være tidligere end Termens startdato. Ret venligst datoerne og prøv igen.
No Employee Found,Ingen medarbejder fundet
Exemption Category,Fritagelseskategori
Create Disbursement Entry,Opret udbetalingsindtastning
Purpose must be one of {0},Formålet skal være en af {0}
Last Activity ,Sidste aktivitet
A link to all the Locations in which the Crop is growing,"Et link til alle de steder, hvor afgrøden vokser"
Course Enrollment {0} does not exists,Kursusmelding {0} eksisterer ikke
Maximum leave allowed in the leave type {0} is {1},Maksimal tilladelse tilladt i orlovstypen {0} er {1}
Qty to Transfer,Antal til overførsel
Please identify/create Account (Group) for type - {0},Venligst identificer / opret konto (gruppe) for type - {0}
Please set default customer group and territory in Selling Settings,Angiv standard kundegruppe og område i Sælgerindstillinger
There isn't any item variant for the selected item,Der er ikke nogen varianter for det valgte emne
Contract Details,Kontrakt Detaljer
"Select, to make the customer searchable with these fields","Vælg, for at gøre kunden søgbar med disse felter"
Total Actual,I alt Faktisk
Change Code,Skift kode
Planting Area,Planteområde
Employee Grade (optional),Medarbejderklasse (valgfrit)
Cost Center For Item with Item Code ',Omkostningscenter for vare med varekode &#39;
Default Stock UOM,Standard lager UOM
Rent Cost,Lejeomkostninger
Training Result,Træningsresultat
Work Order not created,Arbejdsordre er ikke oprettet
Meter,Måler
Hero Image,Hero Image
No Items to pack,Ingen emner at pakke
Delivery warehouse required for stock item {0},Leveringslager kræves til lager vare {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Reserveret lager er obligatorisk for vare {0} i råvarer leveret
Target Location is required for the asset {0},Målplacering er påkrævet for aktivet {0}
SGST Amount,SGST Beløb
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Kontosaldo allerede i Credit, er du ikke tilladt at indstille &#39;Balance Must Be&#39; som &#39;Debit&#39;"
GSTR 3B Report,GSTR 3B Rapport
Rate & Amount,Pris &amp; Beløb
Debit To is required,Debit til er påkrævet
Item Name,Tingens navn
Cost of New Purchase,Omkostninger ved ny køb
Additional information regarding the customer.,Yderligere oplysninger om kunden.
Wrong,Forkert
Batch Inventory,Batch Inventory
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Lønsedlen, der sendes til medarbejderen, vil være beskyttet med adgangskode, passwordet vil blive genereret ud fra kodeordets politik."
Received Amount,Modtaget beløb
Is Sales Item,Er salgspost
Generate Text File,Generer tekstfil
Variants,Varianter
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Afgifterne vil blive fordelt forholdsmæssigt baseret på varenummer eller beløb, som du vælger"
Pending activities for today,Afventer aktiviteter for i dag
Student Batch,Student Batch
Valuation Rate required for Item in row {0},Værdiansættelsesfrekvensen kræves for varen i række {0}
Base Hour Rate(Company Currency),Base Hour Rate (Virksomhedsvaluta)
Printing Details,Udskrivningsdetaljer
Manufacturing Manager,Manufacturing Manager
Job Card,Jobkort
Prorate,prorate
"System User (login) ID. If set, it will become default for all HR forms.","System Bruger (login) ID. Hvis den er indstillet, vil den blive standard for alle HR-formularer."
All Item Groups,Alle varegrupper
Select Status,Vælg Status
Fixed rate,Fast pris
Airline,Flyselskab
Term Details,Term detaljer
Acquisition Date,Købsdato
Send To,Send til
Average Rate,Gennemsnitlig sats
Set Qty in Transactions based on Serial No Input,Indstil antal i transaktioner baseret på serienummerindgang
Advance account currency should be same as company currency {0},Forskudskursen skal være den samme som virksomhedens valuta {0}
Customize Homepage Sections,Tilpas Hjemmeside sektioner
October,oktober
Hide Customer's Tax Id from Sales Transactions,Skjul kundens skatte-id fra salgstransaktioner
Invalid GSTIN! A GSTIN must have 15 characters.,Ugyldig GSTIN! En GSTIN skal have 15 tegn.
Pricing Rule {0} is updated,Prissætning Regel {0} er opdateret
Contract Fulfilment Checklist,Kontrol Fulfillment Checklist
All Products,Alle produkter
Product Search,Produktsøgning
Net Pay,Net betaling
Total Invoiced Amt,Samlet Faktureret Amt
Consumables Invoice Separately,Forbrugsvarer Faktura Separat
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Budgettet kan ikke tildeles mod gruppekonto {0}
Rate and Amount,Pris og beløb
Check availability,Tjek tilgængelighed
Cannot find Item with this barcode,Kan ikke finde vare med denne stregkode
Default Invoice Naming Series,Standard faktura navngivningsserie
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Hvis du {0} {1} mængder af elementet <b>{2}</b> , vil ordningen <b>{3}</b> blive anvendt på elementet."
Student Siblings,Student søskende
Journal Entry {0} does not have account {1} or already matched against other voucher,Journal entry {0} har ikke konto {1} eller allerede matchet med andre voucher
Legal Expenses,Juridiske udgifter
Checkout,bestilling
Membership Details,Medlemskab Detaljer
Please set the Customer Address,Indtast venligst Kundeadressen
List your products or services that you buy or sell.,"Skriv dine produkter eller tjenester, som du køber eller sælger."
Income,Indkomst
Rate at which this tax is applied,Sats på hvilken denne afgift finder anvendelse
Payment Receipt Note,Betalingsbevis Bemærk
In Percentage,I Procent
Quotations received from Suppliers.,Tilbud modtaget fra Leverandører.
Reference Due Date,Reference Due Date
Lead Time Days,Lead Time Days
Revision and Revised On,Revision og Revideret On
{0} against Purchase Order {1},{0} imod indkøbsordre {1}
Fee Records Created - {0},Gebyroptegnelser oprettet - {0}
Note: {0},Bemærk: {0}
Serial No {0} has already been received,Serienummer {0} er allerede modtaget
Leave Settings,Forlad indstillinger
Issue Credit Note,Udstedelse af kreditnota
Batch Item Expiry Status,Batch Item Expiry Status
Stock Transactions,Stock Transaktioner
Event Location,Event Location
Motion Picture & Video,Motion Picture &amp; Video
Row Spacing,Rækkevidde
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Kontonummer for konto {0} er ikke tilgængeligt. <br> Opsæt venligst dit kontoplan korrekt.
Starting location from left edge,Startsted fra venstre kant
HR Settings,HR indstillinger
Appointments,Udnævnelser
Asset {0} created,Aktet {0} oprettet
Please enter Planned Qty for Item {0} at row {1},Indtast planlagt antal for vare {0} i række {1}
Select Batch,Vælg Batch
Item Description,Varebeskrivelse
Account Name,Kontonavn
Please enter API Consumer Key,Indtast venligst API forbrugernøgle
Products per Page,Produkter pr. Side
Duplicate {0} found in the table,Duplicate {0} fundet i tabellen
Default Distance Unit,Standard Distance Unit
Consume Stock,Forbruge lager
Key Performance Area,Key Performance Area
S.O. No.,SO nr.
{0} not found for item {1},{0} ikke fundet for punkt {1}
Set Source Warehouse,Indstil Source Warehouse
Out Patient Settings,Ud patientindstillinger
Insurance End Date,Forsikrings Slutdato
Branch Code,Branchkode
Time To Respond,Tid til at svare
User Forum,Brugerforum
Landed Cost Item,Landed Cost Item
The seller and the buyer cannot be the same,Sælgeren og køberen kan ikke være det samme
Copied From,Kopieret fra
Available,Ledig
Sales Person Targets,Salgspersonale mål
BOM Operation,BOM Operation
O-,O-
Interest Amount,Rentebeløb
Origin,Oprindelse
Add a new address,Tilføj en ny adresse
Write Off Account,Skriv af konto
Proposal/Price Quote,Forslag / pris citat
Associate,Medarbejder
Please input all required Result Value(s),Indtast alle nødvendige Resultatværdier (r)
Purchase Order Item Supplied,Indkøbsordre medfølger
Item {0} is not a serialized Item,Vare {0} er ikke et serielement
GoCardless Customer,GoCardless kunde
Leave Balance,Forlad balance
Maintenance Schedule {0} exists against {1},Vedligeholdelsesplan {0} eksisterer imod {1}
Supervisor Name,Supervisor Name
Campaign Naming By,Kampagne navngivning af
Course Code,Kursuskode
Aerospace,Aerospace
Distribute Charges Based On,Fordel gebyrer baseret på
Supplier Scorecard Scoring Criteria,Leverandør Scorecard Scoring Criteria
Stock,lager
Receipt Document Type,Modtagelsesdokumenttype
Classification of Customers by region,Klassificering af kunder efter region
Billable,faktureres
Government,Regering
"Create Employee records to manage leaves, expense claims and payroll","Opret medarbejderposter til at administrere blade, udgiftskrav og lønningsliste"
Point-of-Sale,Salgsstedet
User {0} is already assigned to Healthcare Practitioner {1},Bruger {0} er allerede tildelt Healthcare Practitioner {1}
Standard Buying,Standard Køb
Apprentice,Lærling
Add Timesheets,Tilføj Timesheets
"Number of new Account, it will be included in the account name as a prefix","Antal nye konti, det vil blive inkluderet i kontonavnet som et præfiks"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Leverandørlager obligatorisk til underleverandør købs kvittering
Please enter Preferred Contact Email,Indtast venligst Preferred Contact Email
Normal,Normal
Customer POS Id,Kundens POS-id
Weight Per Unit,Vægt pr. Enhed
Child nodes can be only created under 'Group' type nodes,Børneknuder kan kun oprettes under &quot;Gruppe&quot; -type noder
(including),(inklusive)
Requested,Anmodet
Item {0} is not a stock Item,Vare {0} er ikke en vare
Multi Currency,Multi Valuta
Write Off Difference Amount,Skriv ud forskelbeløb
Item {0} is disabled,Vare {0} er deaktiveret
Last Completion Date,Sidste sluttidspunkt
Fulfillment,Opfyldelse
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Opgaven er blevet kalkuleret som et baggrundsarbejde. Hvis der er noget problem med behandling i baggrunden, vil systemet tilføje en kommentar om fejlen på denne lagerafstemning og vende tilbage til udkastet"
Total Order Considered,Samlet ordre overvejet
Optimize Route,Optimer ruten
Discount Percentage can be applied either against a Price List or for all Price List.,Rabatprocent kan anvendes enten mod en prisliste eller for alle prislister.
Trainer Email,Trainer Email
Get from Patient Encounter,Få fra Patient Encounter
Software Developer,Softwareudvikler
Sample Collection,Prøveindsamling
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Del venligst din feedback til træningen ved at klikke på &#39;Træningsfejl&#39; og derefter &#39;Ny&#39;
Connecting to QuickBooks,Tilslutning til QuickBooks
Enrolling student,Tilmelding studerende
Claimed,hævdede
Leaves,Blade
Salary breakup based on Earning and Deduction.,Lønningsbrud baseret på indtjening og fradrag.
Salary Structure Missing,Lønstruktur mangler
Action Field,Handlingsfelt
Quotation Trends,Citat Trends
Connect Amazon with ERPNext,Forbind Amazon med ERPNext
Response and Resolution Time,Svar og Opløsningstid
Collection Tier,Collection Tier
Guardian Of ,Guardian Of
Payment Gateway Details,Betalings gatewaydetaljer
Staffing Plan {0} already exist for designation {1},Bemanningsplan {0} findes allerede til betegnelse {1}
Website Warehouse,Website Warehouse
Rate With Margin,Vurder med margen
Salary Structure must be submitted before submission of Tax Ememption Declaration,Lønstruktur skal indsendes inden indgivelse af skattelettelseserklæring
Add Leads,Tilføj Leads
Reserve Warehouse,Reserve Warehouse
Payment Term Name,Betalingsbetegnelsens navn
No Permission,Ingen tilladelse
Select Company...,Vælg firma ...
Use Naming Series,Brug navngivningsserien
Formula,Formel
Action if Accumulated Monthly Budget Exceeded on Actual,Handling hvis akkumuleret månedlig budget oversteg faktisk
Allow Encashment,Tillad Encashment
Project activity / task.,Projektaktivitet / opgave.
Bank Statement Transaction Invoice Item,Bankoversigt Transaktionsfaktura
Total Operating Cost,Samlede driftsomkostninger
Employee Onboarding Template,Medarbejder Onboarding Skabelon
Same Item,Samme vare
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Beløb for en enkelt transaktion overstiger det maksimalt tilladte beløb, opret en separat betalingsordre ved at opdele transaktionerne"
Salary Slips Created,Lønningslister oprettes
Lab Test(s) ,Lab Test (s)
Party Details,Fest Detaljer
Cost of Purchased Items,Omkostninger ved købte varer
All communications including and above this shall be moved into the new Issue,Alle meddelelser inklusive og over dette skal flyttes til det nye udgave
Material Consumption for Manufacture,Materialeforbrug til fremstilling
Table for Item that will be shown in Web Site,"Tabel for emne, der vil blive vist på hjemmesiden"
Restaurant Menu,Restaurant Menu
Purpose,Formål
Salary Structure Assignment for Employee already exists,Løn Structure Assignment for Employee eksisterer allerede
Service Unit,Serviceenhed
Identification Document Number,Identifikationsdokumentnummer
Additional Costs,Ekstra omkostninger
"Parent Course (Leave blank, if this isn't part of Parent Course)","Moderskurs (Forlad blank, hvis dette ikke er en del af Moders kursus)"
Employee Education,Medarbejderuddannelse
Number of positions cannot be less then current count of employees,Antal stillinger kan ikke være mindre end nuværende antal medarbejdere
All Customer Groups,Alle kundegrupper
Buying Price List,Købsprisliste
Finished Good Item Code,Færdig god varekode
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Flere regnskabsår eksisterer for datoen {0}. Vær venlig at indstille firmaet i Skatteår
Available for use date is required,Tilgængelig til brug dato er påkrævet
Training Date,Træningsdato
Reading Uploaded File,Læsning af uploadet fil
Material Request,Materialeanmodning
Total Allocated Amount (Company Currency),Samlet tildelt beløb (selskabsvaluta)
Restaurant Order Entry Item,Restaurant Bestillingsartikel
Distance,Afstand
Get financial breakup of Taxes and charges data by Amazon ,Få økonomisk opsplitning af skatter og afgifter data fra Amazon
Mileage,Kilometertal
"For an item {0}, quantity must be positive number",For et punkt {0} skal mængden være positivt tal
Item Cart,Varekurv
Payment Entries {0} are un-linked,Betalingsindlæg {0} er ikke forbundet
Open Notifications,Åbn meddelelser
Successfully created payment entries,Vellykket oprettet betalingsposter
Mg/K,Mg / K
Has Serial No,Har serienummer
Manufacturing User,Produktion Bruger
Ledger,Ledger
Loan,Lån
Fuel UOM,Brændstof UOM
Support,Support
Invalid Company for Inter Company Transaction.,Ugyldigt firma til inter virksomhedstransaktion.
Fixed Asset Depreciation Settings,Afskrivninger på faste aktiver
Department and Grade,Afdeling og Grade
Cheques Required,Checks påkrævet
Do Not Contact,Kontakt ikke
Update Billed Amount in Sales Order,Opdater faktureret beløb i salgsordre
Meal Preference,Måltidspræference
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Selvom der er flere prissætningsregler med højeste prioritet, anvendes følgende interne prioriteter:"
Employee {0} is not active or does not exist,Medarbejder {0} er ikke aktiv eller eksisterer ikke
List of all share transactions,Liste over alle aktietransaktioner
Sales Defaults,Salgsstandarder
Overlap in scoring between {0} and {1},Overlappe i scoring mellem {0} og {1}
Weightage,weightage
Create New Payment/Journal Entry,Opret ny betaling / journal indtastning
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Hvis der findes to eller flere prisregler baseret på ovenstående betingelser, anvendes prioritet. Prioritet er et tal mellem 0 og 20, mens standardværdien er nul (tom). Højere tal betyder, at det vil have forrang, hvis der er flere prissætningsregler med samme betingelser."
Row {0}: Qty is mandatory,Række {0}: Antal er obligatoriske
Against Income Account,Mod indkomst konto
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Række nr. {0}: Indkøbsfaktura kan ikke foretages mod et eksisterende aktiv {1}
UOM coversion factor required for UOM: {0} in Item: {1},UOM coverion faktor kræves for UOM: {0} i Item: {1}
Please enter quantity for Item {0},Indtast venligst antal for vare {0}
Electricity Cost,Elektricitet omkostninger
Vehicle Service,Køretøjsservice
Making Stock Entries,Gør lagerindgange
Fixed Deposit Number,Fast indbetalingsnummer
Very Coated,Meget belagt
Initial Email Notification Sent,Indledende Email Notification Sent
For Warehouse,Til lager
"{0}: Employee email not found, hence email not sent","{0}: Medarbejder email ikke fundet, derfor e-mail ikke sendt"
From Currency,Fra Valuta
Return / Debit Note,Retur / Debet Note
"Order in which sections should appear. 0 is first, 1 is second and so on.","Bestil i hvilke sektioner der skal vises. 0 er først, 1 er anden og så videre."
Create Sales Orders to help you plan your work and deliver on-time,Opret salgsordrer til at hjælpe dig med at planlægge dit arbejde og levere til tiden
Something went wrong!,Noget gik galt!
