DocType: Accounting Period,Period Name,Periode Naam
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Wettelijk
DocType: Sales Invoice,Transport Receipt Date,Datum transportontvangst
DocType: Shopify Settings,Sales Order Series,Verkooporderreeks
DocType: Vital Signs,Tongue,Tong
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Werkelijke soort belasting kan niet worden opgenomen in post tarief in rij {0}
DocType: Allowed To Transact With,Allowed To Transact With,Toegestaan om mee te handelen
DocType: Bank Guarantee,Customer,Klant
DocType: Purchase Receipt Item,Required By,Benodigd op
DocType: Delivery Note,Return Against Delivery Note,Terug Tegen Delivery Note
DocType: Asset Category,Finance Book Detail,Financiën Boek Detail
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Alle afschrijvingen zijn geboekt
DocType: Purchase Order,% Billed,% Gefactureerd
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Loonnummer
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Wisselkoers moet hetzelfde zijn als zijn {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA Vrijstelling
DocType: Sales Invoice,Customer Name,Klantnaam
DocType: Vehicle,Natural Gas,Natuurlijk gas
DocType: Project,Message will sent to users to get their status on the project,Bericht wordt verzonden naar gebruikers om hun status op het project te krijgen
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Bankrekening kan niet worden genoemd als {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA volgens Salarisstructuur
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Hoofden (of groepen) waartegen de boekingen worden gemaakt en saldi worden gehandhaafd.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Openstaand bedrag voor {0} mag niet kleiner zijn dan nul ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,De service-einddatum mag niet vóór de startdatum van de service liggen
DocType: Manufacturing Settings,Default 10 mins,Standaard 10 min
DocType: Leave Type,Leave Type Name,Verlof Type Naam
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Toon geopend
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Reeks succesvol bijgewerkt
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Uitchecken
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} in rij {1}
DocType: Asset Finance Book,Depreciation Start Date,Startdatum afschrijving
DocType: Pricing Rule,Apply On,toepassing op
DocType: Item Price,Multiple Item prices.,Meerdere Artikelprijzen .
,Purchase Order Items To Be Received,Inkooporder Artikelen nog te ontvangen
DocType: SMS Center,All Supplier Contact,Alle Leverancier Contact
DocType: Support Settings,Support Settings,ondersteuning Instellingen
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Account {0} is toegevoegd in het onderliggende bedrijf {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Ongeldige inloggegevens
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC beschikbaar (al dan niet volledig)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS-instellingen
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Vouchers verwerken
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Rij # {0}: Beoordeel moet hetzelfde zijn als zijn {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Batch Item Vervaldatum Status
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bankcheque
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Totaal aantal late inzendingen
DocType: Mode of Payment Account,Mode of Payment Account,Modus van Betaalrekening
apps/erpnext/erpnext/config/healthcare.py,Consultation,Overleg
DocType: Accounts Settings,Show Payment Schedule in Print,Toon betalingsschema in Print
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Artikelvarianten bijgewerkt
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Verkoop en retourneren
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Toon Varianten
DocType: Academic Term,Academic Term,Academisch semester
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Belastingvrijstelling werknemer Subcategorie
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Stel een adres in op de &#39;% s&#39; van het bedrijf
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Materiaal
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Het maximale voordeel van werknemer {0} overschrijdt {1} met de som {2} van het pro-rata component \ bedrag en vorige geclaimde bedrag van de uitkeringsaanvraag
DocType: Opening Invoice Creation Tool Item,Quantity,Hoeveelheid
,Customers Without Any Sales Transactions,Klanten zonder enige verkooptransacties
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Rekeningtabel mag niet leeg zijn.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Gebruik Google Maps Direction API om geschatte aankomsttijden te berekenen
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Leningen (Passiva)
DocType: Patient Encounter,Encounter Time,Encounter Time
DocType: Staffing Plan Detail,Total Estimated Cost,Totale geschatte kosten
DocType: Employee Education,Year of Passing,Voorbije Jaar
DocType: Routing,Routing Name,Naam van routering
DocType: Item,Country of Origin,Land van herkomst
DocType: Soil Texture,Soil Texture Criteria,Bodemtextuurcriteria
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Op Voorraad
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Primaire contactgegevens
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Open Issues
DocType: Production Plan Item,Production Plan Item,Productie Plan Artikel
DocType: Leave Ledger Entry,Leave Ledger Entry,Grootboekinvoer verlaten
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Gebruiker {0} is al aan Werknemer toegewezen {1}
DocType: Lab Test Groups,Add new line,Voeg een nieuwe regel toe
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Creëer Lead
DocType: Production Plan,Projected Qty Formula,Verwachte hoeveelheid formule
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Gezondheidszorg
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Vertraging in de betaling (Dagen)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Betalingsvoorwaarden sjabloondetail
DocType: Hotel Room Reservation,Guest Name,Gast naam
DocType: Delivery Note,Issue Credit Note,Kredietnota uitgifte
DocType: Lab Prescription,Lab Prescription,Lab Prescription
,Delay Days,Vertragingen dagen
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,dienst Expense
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Serienummer: {0} is reeds verwezen in de verkoopfactuur: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Factuur
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Maximaal vrijgesteld bedrag
DocType: Purchase Invoice Item,Item Weight Details,Item Gewicht Details
DocType: Asset Maintenance Log,Periodicity,Periodiciteit
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Boekjaar {0} is vereist
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Nettowinst (verlies
DocType: Employee Group Table,ERPNext User ID,ERPNext gebruikers-ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,De minimale afstand tussen rijen planten voor optimale groei
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Selecteer Patiënt om de voorgeschreven procedure te krijgen
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Defensie
DocType: Salary Component,Abbr,Afk
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Tally crediteurenrekening
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Rij {0}: {1} {2} niet overeenkomt met {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Rij # {0}:
DocType: Timesheet,Total Costing Amount,Totaal bedrag Costing
DocType: Sales Invoice,Vehicle No,Voertuig nr.
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Selecteer Prijslijst
DocType: Accounts Settings,Currency Exchange Settings,Valutaveursinstellingen
DocType: Work Order Operation,Work In Progress,Onderhanden Werk
DocType: Leave Control Panel,Branch (optional),Branch (optioneel)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Rij {0}: gebruiker heeft regel <b>{1}</b> niet toegepast op item <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Kies een datum
DocType: Item Price,Minimum Qty ,Minimum aantal
DocType: Finance Book,Finance Book,Finance Book
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Holiday Lijst
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Beoordeling en actie
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Deze werknemer heeft al een logboek met hetzelfde tijdstempel. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Accountant
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Verkoopprijslijst
DocType: Patient,Tobacco Current Use,Tabaksgebruik
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Verkoopcijfers
DocType: Cost Center,Stock User,Aandeel Gebruiker
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Contactgegevens
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Zoek naar alles ...
DocType: Company,Phone No,Telefoonnummer
DocType: Delivery Trip,Initial Email Notification Sent,E-mailkennisgeving verzonden
DocType: Bank Statement Settings,Statement Header Mapping,Statement Header Mapping
,Sales Partners Commission,Verkoop Partners Commissie
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Afrondingsaanpassing
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Afkorting kan niet meer dan 5 tekens lang zijn
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Betalingsverzoek
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Logboeken bekijken van Loyalty Points die aan een klant zijn toegewezen.
DocType: Asset,Value After Depreciation,Restwaarde
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Geen overgedragen artikel {0} gevonden in werkorder {1}, het artikel is niet toegevoegd aan voorraadinvoer"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Verwant
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Aanwezigheid datum kan niet lager zijn dan het samenvoegen van de datum werknemer zijn
DocType: Grading Scale,Grading Scale Name,Grading Scale Naam
DocType: Employee Training,Training Date,Trainingsdatum
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Gebruikers toevoegen aan Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Dit is een basisrekening en kan niet worden bewerkt.
DocType: POS Profile,Company Address,bedrijfsadres
DocType: BOM,Operations,Bewerkingen
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Kan de autorisatie niet instellen op basis van korting voor {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON kan vanaf nu niet worden gegenereerd voor Sales Return
DocType: Subscription,Subscription Start Date,Begindatum abonnement
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Standaard te ontvangen rekeningen die moeten worden gebruikt als ze niet zijn ingesteld bij Patiënt om Afspraken te boeken.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Bevestig .csv-bestand met twee kolommen, één voor de oude naam en één voor de nieuwe naam"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Van adres 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Krijg details van de verklaring
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} in geen enkel actief fiscale jaar.
DocType: Packed Item,Parent Detail docname,Bovenliggende Detail docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Referentie: {0}, Artikelcode: {1} en klant: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} is niet aanwezig in het moederbedrijf
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Einddatum van proefperiode Mag niet vóór Startdatum proefperiode zijn
apps/erpnext/erpnext/utilities/user_progress.py,Kg,kg
DocType: Tax Withholding Category,Tax Withholding Category,Belastinginhouding Categorie
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Annuleer eerst de journaalboeking {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},Stuklijst is niet gespecificeerd voor uitbesteding van item {0} in rij {1}
DocType: Vital Signs,Reflexes,reflexen
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Resultaat ingediend
DocType: Item Attribute,Increment,Aanwas
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Help resultaten voor
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Kies Warehouse ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Adverteren
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Hetzelfde bedrijf is meer dan één keer ingevoerd
DocType: Patient,Married,Getrouwd
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Niet toegestaan voor {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Krijgen items uit
DocType: Stock Entry,Send to Subcontractor,Verzenden naar onderaannemer
DocType: Purchase Invoice,Apply Tax Withholding Amount,Belastingvergoeding toepassen
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Het totale voltooide aantal kan niet groter zijn dan voor de hoeveelheid
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Voorraad kan niet worden bijgewerkt obv Vrachtbrief {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Totaal gecrediteerd bedrag
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Geen artikelen vermeld
DocType: Asset Repair,Error Description,Foutbeschrijving
DocType: Payment Reconciliation,Reconcile,Afletteren
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Kruidenierswinkel
DocType: Quality Inspection Reading,Reading 1,Meting 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,pensioenfondsen
DocType: Exchange Rate Revaluation Account,Gain/Loss,Winst / verlies
DocType: Crop,Perennial,eeuwigdurend
DocType: Program,Is Published,Is gepubliceerd
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Toon leveringsbonnen
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Als u overfacturering wilt toestaan, werkt u &quot;Overfactureringstoeslag&quot; bij in Accountinstellingen of het item."
DocType: Patient Appointment,Procedure,Procedure
DocType: Accounts Settings,Use Custom Cash Flow Format,Gebruik aangepaste kasstroomindeling
DocType: SMS Center,All Sales Person,Alle Sales Person
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Maandelijkse Distributie ** helpt u om de begroting / Target verdelen over maanden als u de seizoensgebondenheid in uw bedrijf.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Niet artikelen gevonden
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Salarisstructuur Missing
DocType: Lead,Person Name,Persoon Naam
,Supplier Ledger Summary,Overzicht leveranciersboek
DocType: Sales Invoice Item,Sales Invoice Item,Verkoopfactuur Artikel
DocType: Quality Procedure Table,Quality Procedure Table,Kwaliteitsprocedure tabel
DocType: Account,Credit,Krediet
DocType: POS Profile,Write Off Cost Center,Afschrijvingen kostenplaats
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",bijvoorbeeld &quot;Primary School&quot; of &quot;University&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Stock Reports
DocType: Warehouse,Warehouse Detail,Magazijn Detail
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,De laatste carbon check-datum kan geen toekomstige datum zijn
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,De Term Einddatum kan niet later dan het jaar Einddatum van het studiejaar waarop de term wordt gekoppeld zijn (Academisch Jaar {}). Corrigeer de data en probeer het opnieuw.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Is vaste activa"" kan niet worden uitgeschakeld, als Asset record bestaat voor dit item"
DocType: Delivery Trip,Departure Time,Vertrektijd
DocType: Vehicle Service,Brake Oil,remolie
DocType: Tax Rule,Tax Type,Belasting Type
,Completed Work Orders,Voltooide werkorders
DocType: Support Settings,Forum Posts,Forum berichten
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","De taak is in de wacht gezet als achtergrondtaak. Als er een probleem is met de verwerking op de achtergrond, zal het systeem een opmerking toevoegen over de fout bij deze voorraadafstemming en terugkeren naar de conceptfase"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Sorry, de geldigheid van de couponcode is niet gestart"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Belastbaar bedrag
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},U bent niet bevoegd om items toe te voegen of bij te werken voor {0}
DocType: Leave Policy,Leave Policy Details,Laat beleidsdetails achter
DocType: BOM,Item Image (if not slideshow),Artikel Afbeelding (indien niet diashow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Rij # {0}: bewerking {1} is niet voltooid voor {2} aantal voltooide goederen in werkorder {3}. Werk de bedieningsstatus bij via opdrachtkaart {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Uurtarief / 60) * Werkelijk Gepresteerde Tijd
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Rij # {0}: Referentiedocumenttype moet één van de kostenrekening of het journaalboekje zijn
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Select BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,rinkelen
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Kosten van geleverde zaken
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,De vakantie op {0} is niet tussen Van Datum en To Date
DocType: Inpatient Record,Admission Scheduled,Toelating gepland
DocType: Student Log,Student Log,student Log
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Sjablonen van leveranciers standings.
DocType: Lead,Interested,Geïnteresseerd
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Opening
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Programma:
DocType: Item,Copy From Item Group,Kopiëren van Item Group
DocType: Journal Entry,Opening Entry,Opening Entry
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Rekening betalen enkel
DocType: Loan,Repay Over Number of Periods,Terug te betalen gedurende een aantal perioden
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Te produceren hoeveelheid mag niet minder zijn dan nul
DocType: Stock Entry,Additional Costs,Bijkomende kosten
