DocType: Accounting Period,Period Name,Periode Navn
DocType: Employee,Job Applicant,Jobbsøker
DocType: Job Card,Total Time in Mins,Total tid i minutter
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Dette er basert på transaksjoner mot denne leverandøren. Se tidslinjen nedenfor for detaljer
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Overproduksjonsprosent for arbeidsordre
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Juridisk
DocType: Sales Invoice,Transport Receipt Date,Transportkvitteringsdato
DocType: Shopify Settings,Sales Order Series,Salgsordre Serie
DocType: Vital Signs,Tongue,Tunge
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Faktiske typen skatt kan ikke inkluderes i Element rente i rad {0}
DocType: Allowed To Transact With,Allowed To Transact With,Tillat å transaksere med
DocType: Bank Guarantee,Customer,Kunde
DocType: Purchase Receipt Item,Required By,Kreves av
DocType: Delivery Note,Return Against Delivery Note,Tilbake mot følgeseddel
DocType: Asset Category,Finance Book Detail,Finansbokdetaljer
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Alle avskrivningene er booket
DocType: Purchase Order,% Billed,% Fakturert
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Lønnsnummer
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Exchange Rate må være samme som {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA-fritak
DocType: Sales Invoice,Customer Name,Kundenavn
DocType: Vehicle,Natural Gas,Naturgass
DocType: Project,Message will sent to users to get their status on the project,Melding vil bli sendt til brukere for å få status på prosjektet
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Bankkonto kan ikke bli navngitt som {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA som per lønnsstruktur
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Hoder (eller grupper) mot hvilke regnskapspostene er laget og balanserer opprettholdes.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Enestående for {0} kan ikke være mindre enn null ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Service Stop Date kan ikke være før service startdato
DocType: Manufacturing Settings,Default 10 mins,Standard 10 minutter
DocType: Leave Type,Leave Type Name,La Type Navn
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Vis åpen
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Serien er oppdatert
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Sjekk ut
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} i rad {1}
DocType: Asset Finance Book,Depreciation Start Date,Avskrivning Startdato
DocType: Pricing Rule,Apply On,Påfør på
DocType: Item Price,Multiple Item prices.,Flere varepriser.
,Purchase Order Items To Be Received,Purchase Order Elementer som skal mottas
DocType: SMS Center,All Supplier Contact,All Leverandør Kontakt
DocType: Support Settings,Support Settings,støtte~~POS=TRUNC Innstillinger
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Konto {0} legges til i barneselskapet {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Ugyldige legitimasjon
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC tilgjengelig (om fullstendig del)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Innstillinger
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Behandler bilag
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Pris må være samme som {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Batch Element Utløps Status
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Draft
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Totalt antall sene oppføringer
DocType: Mode of Payment Account,Mode of Payment Account,Modus for betaling konto
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konsultasjon
DocType: Accounts Settings,Show Payment Schedule in Print,Vis betalingsplan i utskrift
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varevariasjoner oppdatert
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Salg og retur
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Vis Varianter
DocType: Academic Term,Academic Term,semester
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Deltakelsesavgift for arbeidstakere
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Angi en adresse på firmaet &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Materiale
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Maksimal nytte av arbeidstakeren {0} overstiger {1} med summen {2} av fordelingsprogrammet pro rata komponent \ beløp og tidligere påkrevd beløp
DocType: Opening Invoice Creation Tool Item,Quantity,Antall
,Customers Without Any Sales Transactions,Kunder uten salgstransaksjoner
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Regnskap bordet kan ikke være tomt.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Bruk Google Maps Direction API for å beregne estimerte ankomsttider
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Lån (gjeld)
DocType: Patient Encounter,Encounter Time,Møtetid
DocType: Staffing Plan Detail,Total Estimated Cost,Totalt estimert kostnad
DocType: Employee Education,Year of Passing,Year of Passing
DocType: Routing,Routing Name,Rutingsnavn
DocType: Item,Country of Origin,Opprinnelsesland
DocType: Soil Texture,Soil Texture Criteria,Kriterier for jordstruktur
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,På Lager
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Primær kontaktdetaljer
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,åpne spørsmål
DocType: Production Plan Item,Production Plan Item,Produksjonsplan Sak
DocType: Leave Ledger Entry,Leave Ledger Entry,La Ledger Entry
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Bruker {0} er allerede tildelt Employee {1}
DocType: Lab Test Groups,Add new line,Legg til ny linje
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Lag bly
DocType: Production Plan,Projected Qty Formula,Prosjektert antall formler
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Helsevesen
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Forsinket betaling (dager)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Betalingsvilkår Maledetaljer
DocType: Hotel Room Reservation,Guest Name,Gjestenavn
DocType: Delivery Note,Issue Credit Note,Utstedelseskreditnotat
DocType: Lab Prescription,Lab Prescription,Lab Prescription
,Delay Days,Forsinkelsesdager
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,tjenesten Expense
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Serienummer: {0} er allerede referert i salgsfaktura: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Faktura
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Maksimalt unntatt beløp
DocType: Purchase Invoice Item,Item Weight Details,Vektdetaljer
DocType: Asset Maintenance Log,Periodicity,Periodisitet
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Regnskapsår {0} er nødvendig
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Netto fortjeneste / tap
DocType: Employee Group Table,ERPNext User ID,ERPNeste Bruker-ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Minimumsavstanden mellom rader av planter for optimal vekst
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Velg pasient for å få forskrevet prosedyre
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Forsvars
DocType: Salary Component,Abbr,Abbr
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Tally Kredittkonto
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Rad {0}: {1} {2} samsvarer ikke med {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Row # {0}:
DocType: Timesheet,Total Costing Amount,Total koster Beløp
DocType: Sales Invoice,Vehicle No,Vehicle Nei
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Vennligst velg Prisliste
DocType: Accounts Settings,Currency Exchange Settings,Valutavekslingsinnstillinger
DocType: Work Order Operation,Work In Progress,Arbeid På Går
DocType: Leave Control Panel,Branch (optional),Gren (valgfritt)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Rad {0}: bruker har ikke brukt regel <b>{1}</b> på elementet <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Vennligst velg dato
DocType: Item Price,Minimum Qty ,Minimum antall
DocType: Finance Book,Finance Book,Finansbok
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Holiday List
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Gjennomgang og handling
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Denne ansatte har allerede en logg med samme tidsstempel. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Accountant
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Selge prisliste
DocType: Patient,Tobacco Current Use,Nåværende bruk av tobakk
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Selgingsfrekvens
DocType: Cost Center,Stock User,Stock User
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Kontaktinformasjon
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Søk etter noe ...
DocType: Company,Phone No,Telefonnr
DocType: Delivery Trip,Initial Email Notification Sent,Innledende e-postvarsling sendt
DocType: Bank Statement Settings,Statement Header Mapping,Statement Header Mapping
,Sales Partners Commission,Sales Partners Commission
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Avrundingsjustering
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Forkortelse kan ikke ha mer enn fem tegn
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Betaling Request
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,For å vise logger over lojalitetspoeng som er tilordnet en kunde.
DocType: Asset,Value After Depreciation,Verdi etter avskrivninger
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Fant ikke overført vare {0} i arbeidsordre {1}, varen ble ikke lagt til i lageroppføringen"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,I slekt
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Oppmøte dato kan ikke være mindre enn ansattes bli dato
DocType: Grading Scale,Grading Scale Name,Grading Scale Name
DocType: Employee Training,Training Date,Treningsdato
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Legg til brukere på markedsplassen
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Dette er en rot konto og kan ikke redigeres.
DocType: POS Profile,Company Address,Firma adresse
DocType: BOM,Operations,Operasjoner
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Kan ikke sette autorisasjon på grunnlag av Rabatt for {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON kan ikke genereres for salgsavkastning per nå
DocType: Subscription,Subscription Start Date,Abonnements startdato
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Standardfordelbare kontoer som skal brukes hvis ikke satt inn i pasienten for å bestille avtalekostnader.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Fest CSV-fil med to kolonner, en for det gamle navnet og en for det nye navnet"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Fra adresse 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Få detaljer fra erklæringen
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} ikke i noen aktiv regnskapsåret.
DocType: Packed Item,Parent Detail docname,Parent Detail docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Henvisning: {0}, Varenummer: {1} og kunde: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} er ikke til stede i morselskapet
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Prøveperiode Sluttdato kan ikke være før startdato for prøveperiode
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Skattelettende kategori
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Avbryt journalinngangen {0} først
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM er ikke spesifisert for underleverandørelementet {0} på rad {1}
DocType: Vital Signs,Reflexes,reflekser
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Resultat sendt
DocType: Item Attribute,Increment,Tilvekst
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Hjelpresultater for
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Velg Warehouse ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Annonsering
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Samme firma er angitt mer enn én gang
DocType: Patient,Married,Gift
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Ikke tillatt for {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Få elementer fra
DocType: Stock Entry,Send to Subcontractor,Send til underleverandør
DocType: Purchase Invoice,Apply Tax Withholding Amount,Påfør gjeldsbeløp
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Totalt fullført antall kan ikke være større enn for mengde
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Stock kan ikke oppdateres mot følgeseddel {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Totalt beløp krevet
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Ingen elementer oppført
DocType: Asset Repair,Error Description,Feilbeskrivelse
DocType: Payment Reconciliation,Reconcile,Forsone
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Dagligvare
DocType: Quality Inspection Reading,Reading 1,Lesing 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Pensjonsfondene
DocType: Exchange Rate Revaluation Account,Gain/Loss,Gevinst / tap
DocType: Crop,Perennial,Flerårig
DocType: Program,Is Published,Publiseres
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Vis leveringsmerknader
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","For å tillate overfakturering, oppdater &quot;Over Billing Allowance&quot; i Kontoinnstillinger eller elementet."
DocType: Patient Appointment,Procedure,Fremgangsmåte
DocType: Accounts Settings,Use Custom Cash Flow Format,Bruk tilpasset kontantstrømformat
DocType: SMS Center,All Sales Person,All Sales Person
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Månedlig Distribusjon ** hjelper deg distribuere Budsjett / Target over måneder hvis du har sesongvariasjoner i din virksomhet.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Ikke elementer funnet
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Lønn Struktur Missing
DocType: Lead,Person Name,Person Name
,Supplier Ledger Summary,Leverandør Ledger Sammendrag
DocType: Sales Invoice Item,Sales Invoice Item,Salg Faktura Element
DocType: Quality Procedure Table,Quality Procedure Table,Kvalitetsprosedyretabell
DocType: Account,Credit,Credit
DocType: POS Profile,Write Off Cost Center,Skriv Av kostnadssted
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",for eksempel &quot;Primary School&quot; eller &quot;University&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,lager rapporter
DocType: Warehouse,Warehouse Detail,Warehouse Detalj
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Siste dato for karbonkontroll kan ikke være en fremtidig dato
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Begrepet Sluttdato kan ikke være senere enn året sluttdato av studieåret som begrepet er knyttet (studieåret {}). Korriger datoene, og prøv igjen."
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Er Fixed Asset&quot; ikke kan være ukontrollert, som Asset post eksisterer mot elementet"
DocType: Delivery Trip,Departure Time,Avgangstid
DocType: Vehicle Service,Brake Oil,bremse~~POS=TRUNC Oil
DocType: Tax Rule,Tax Type,Skatt Type
,Completed Work Orders,Fullførte arbeidsordrer
DocType: Support Settings,Forum Posts,Foruminnlegg
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Oppgaven er blitt pålagt som bakgrunnsjobb. I tilfelle det er noe problem med behandlingen i bakgrunnen, vil systemet legge til en kommentar om feilen på denne aksjeavstemmingen og gå tilbake til utkaststrinnet"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Beklager, gyldigheten av kupongkoden har ikke startet"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Skattepliktig beløp
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Du er ikke autorisert til å legge til eller oppdatere bloggen før {0}
DocType: Leave Policy,Leave Policy Details,Legg til policyinformasjon
DocType: BOM,Item Image (if not slideshow),Sak Image (hvis ikke show)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Rad # {0}: Betjening {1} er ikke fullført for {2} antall ferdige varer i arbeidsordre {3}. Oppdater driftsstatus via Jobbkort {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Timepris / 60) * Faktisk Operation Tid
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Row # {0}: Referansedokumenttype må være en av kostnadskrav eller journaloppføring
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Velg BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,ringing
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Kostnad for leverte varer
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Ferien på {0} er ikke mellom Fra dato og Til dato
DocType: Inpatient Record,Admission Scheduled,Opptak planlagt
DocType: Student Log,Student Log,student Log
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Maler av leverandørstillinger.
DocType: Lead,Interested,Interessert
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Åpning
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Kopier fra varegruppe
DocType: Journal Entry,Opening Entry,Åpning Entry
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Bare konto Pay
DocType: Loan,Repay Over Number of Periods,Betale tilbake over antall perioder
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Mengde å produsere kan ikke være mindre enn null
DocType: Stock Entry,Additional Costs,Tilleggskostnader
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Konto med eksisterende transaksjon kan ikke konverteres til gruppen.
DocType: Lead,Product Enquiry,Produkt Forespørsel
DocType: Education Settings,Validate Batch for Students in Student Group,Valider batch for studenter i studentgruppen
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Ingen forlater plate funnet for ansatt {0} og {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Urealisert Exchange Gain / Loss-konto
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Skriv inn et selskap først
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Vennligst velg selskapet først
DocType: Employee Education,Under Graduate,Under Graduate
