Pension Funds,Lífeyrissjóðir
Lead must be set if Opportunity is made from Lead,Leiða verður að vera stillt ef tækifæri er gerður úr blýi
Account with existing transaction can not be converted to group.,Ekki er hægt að breyta reikningi við núverandi viðskipti í hóp.
Timesheet {0} is already completed or cancelled,Tímarit {0} er þegar lokið eða hætt
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Staðall Skilmálar og skilyrði sem hægt er að bæta við sölu og kaup. Dæmi: 1. Gildistími tilboðsins. 1. Greiðsluskilmálar (fyrirfram, á lánshæfiseinkunn, fyrirframgreiðsla osfrv.). 1. Hvað er aukalega (eða greitt af viðskiptavininum). 1. Viðvörun um öryggi / notkun. 1. Ábyrgð ef einhver er. 1. Skilaréttur. 1. Skilmálar á skipum, ef við á. 1. Leiðir til að takast á við deilur, skaðabótaskyldu, ábyrgð osfrv. 1. Heimilisfang og samskipti fyrirtækisins."
Leave Status Notification,Leyfi Tilkynning um leyfi
Designation Skill,Tilnefningarleikur
Quantity required for Item {0} in row {1},Magn sem krafist er fyrir lið {0} í röð {1}
"To filter based on Party, select Party Type first",Til að sía á grundvelli samnings skaltu velja Aðgerðartegund fyrst
No Salary Structure assigned for Employee {0} on given date {1},Engin launastig úthlutað fyrir starfsmann {0} á tilteknum degi {1}
Number,Númer
Separate course based Group for every Batch,Aðskilja námskeið byggt fyrir hverja lotu
Require Lab Test Approval,Krefjast samþykki Lab Test
Update Clearance Date,Uppfæra hreinsunardag
Import Chart of Accounts from a csv file,Flytja inn reikning reikninga úr CSV skrá
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Stuðningur við opinbera forritið er úrelt. Vinsamlegast settu upp einkaforrit, til að fá frekari upplýsingar, sjáðu notendahandbók"
Signed,Undirritaður
Terms and Conditions1,Skilmálar og skilyrði1
Please select Employee Record first.,Vinsamlegast veldu Starfsmannataka fyrst.
Password policy for Salary Slips is not set,Lykilorð stefnu fyrir Launasala er ekki sett
Result HTML,Niðurstaða HTML
Ignore holidays,Hunsa frí
Linked Soil Texture,Tengd jarðvegur áferð
This is based on logs against this Vehicle. See timeline below for details,Þetta er byggt á logs gegn þessu ökutæki. Sjá tímalínu fyrir neðan til að fá nánari upplýsingar
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Neyðartengiliður
Authorization URL,Leyfisveitandi URL
On Leave,Í leyfi
Show a slideshow at the top of the page,Sýna myndasýningu efst á síðunni
Payer Settings,Greiðslumiðlar
Set Tax Rule for shopping cart,Setja skattaregla fyrir innkaupakörfu
In Production,Í framleiðslu
Payment References,Greiðsla Tilvísanir
Valid Till,Gildir til
{0}: From {0} of type {1},{0}: Frá {0} af gerðinni {1}
Project Name,nafn verkefnis
Stock Qty,Fjöldi hluta
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Barnalag ætti ekki að vera vörulisti. Vinsamlegast fjarlægðu hlutinn `{0}` og vista
Response Result Key Path,Svörunarleiðarleið
Fully Sponsored,Fully Sponsored
Not permitted. Please disable the Service Unit Type,Ekki leyfilegt. Vinsamlegast slökkva á þjónustueiningartegundinni
Offline POS Settings,Ónettengd POS stillingar
Calculations,Útreikningar
Material Requested,Efni sem óskað er eftir
Reference Row,Tilvísunarlína
Annual Allocation,Árleg úthlutun
Subcontract,Undirverktaka
Valuation type charges can not marked as Inclusive,Verðmæti virðisrýrnunar getur ekki merkt sem innifalið
Account {0}: Parent account {1} does not belong to company: {2},Reikningur {0}: Móðurreikningur {1} tilheyrir ekki fyrirtæki: {2}
Failed to login,Mistókst að skrá þig inn
Items and Pricing,Atriði og verðlagning
Payment Terms Template,Sniðmát greiðsluskilmála
Previous Work Experience,Fyrri starfsreynsla
Program,Forrit
Healthcare,Heilbrigðisþjónusta
Complaint,Kvörtun
Restrict to Countries,Takmarka við lönd
Item Manager,Vara Stjórnun
Currency of the Closing Account must be {0},Gjaldmiðill lokunarreiknings verður að vera {0}
Opening Invoice Item,Opna Reikningsatriði
Plan material for sub-assemblies,Skipuleggja efni fyrir undirbúninga
Hardware,Vélbúnaður
Action if Annual Budget Exceeded on MR,Aðgerð ef ársáætlun fór yfir MR
Advance Amount,Fyrirframgreiðsla
Against Sales Invoice Item,Gegn sölureikningi
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Taka þátt í framleiðslu
Check in (group),Skoðaðu (hópur)
Do not show any symbol like $ etc next to currencies.,Ekki sýna nein tákn eins og $ etc við hliðina á gjaldmiðlum.
Salary Component Type,Launakomponentategund
The shareholder does not belong to this company,Hluthafi er ekki tilheyrandi þessu fyrirtæki
Day(s) after the end of the invoice month,Dagur / dagar eftir lok reiknings mánaðarins
Vehicle Type,Gerð ökutækis
Healthcare Administrator,Heilbrigðisstarfsmaður
Single Transaction Threshold,Einstaklingsviðmiðunarmörk
Broadcasting,Broadcasting
Post Title Key,Póstur Titill lykill
Customer Primary Address,Aðalnafn viðskiptavinar
Please select batches for batched item ,Vinsamlegast veldu lotur í lotuðum hlutum
Min Qty,Mín
Payment Deductions or Loss,Greiðsla frádráttar eða tap
On Item Quantity,Á vöru Magn
Replace BOM and update latest price in all BOMs,Skiptu um BOM og uppfærðu nýjustu verð í öllum BOMs
Both Trial Period Start Date and Trial Period End Date must be set,Bæði upphafsdagur og upphafsdagur Prófunartímans verður að vera stilltur
No time sheets,Engin tímaröð
Statement Header Mapping,Yfirlit Header Kortlagning
Mark Half Day,Merkja helmingur dagur
Material Transfer for Manufacture,Efni flytja til framleiðslu
Block Supplier,Block Birgir
Please enter Woocommerce Server URL,Vinsamlegast sláðu inn slóðina á Woocommerce Server
From Place,Frá stað
No contacts with email IDs found.,Engar tengiliðir við auðkenni tölvupósts fundust.
Consumption Invoiced,Neysla innheimt
Requested Quantity,Óskað Magn
Exit,Hætta
Dispatch Information,Sendingarupplýsingar
Basic Amount (Company Currency),Grunnliður (Gjaldmiðill félagsins)
Selling Settings,Selja stillingar
A question must have more than one options,Spurning verður að hafa fleiri en einn valkost
Please set the Date Of Joining for employee {0},Vinsamlegast settu Dagsetning Tengingar fyrir starfsmann {0}
About your company,Um fyrirtækið þitt
Fiscal Year {0} does not exist,Reikningsár {0} er ekki til
Leave Application,Leyfi umsókn
Maintenance Log,Viðhaldsskrá
Invalid Posting Time,Ógildur póstur
Discount,Afsláttur
Redeem Loyalty Points,Losaðu hollusta stig
Quotation Series,Tilvitnun Series
Occupation,Starf
Opening Stock,Opnun lager
Supplier Score,Birgir Skora
Only show Items from these Item Groups,Sýna aðeins hluti úr þessum vöruflokkum
Time In Mins,Tími í mín
Item {0} does not exist in the system or has expired,Vara {0} er ekki til í kerfinu eða er útrunnið
Price Discount Scheme,Verðskráarkerfi
Hyper,Hyper
What does it do?,Hvað gerir það?
Sales Invoice Trends,Sala Reikningarstölur
Payment Entries,Greiðslur
Class / Percentage,Flokkur / Hlutfall
Electronic Invoice Register,Rafræn reikningsskrá
Is Return (Credit Note),Er afturábak (lánshæfiseinkunn)
Lab Test Sample,Lab Test Dæmi
status html,stöðu html
"For e.g. 2012, 2012-13","Fyrir td 2012, 2012-13"
disabled user,fatlaður notandi
ES,ES
Warehouse Type,Vörugeymsla
Quick Journal Entry,Quick Journal Entry
Consumed Amount,Neytt magn
Already completed,Already lokið
Pending Amount,Veltufjárhæð
Warn RFQs,Varið RFQs
Lab Prescription,Lab Prescription
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Afskriftir Rauða {0}: Næsta Afskriftir Dagsetning má ekki vera fyrr en hægt er að nota Dagsetning
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Eignin {0} er ekki hægt að eyða, eins og það er nú þegar {1}"
Departure Time,Brottfaratími
Donor Type,Gerð gjafa
Monthly Sales Target,Mánaðarlegt sölumarkmið
Redemption Date,Innlausnardagur
Approving User cannot be same as user the rule is Applicable To,Samþykkja notandi getur ekki verið eins og notandi reglan gildir um
Fee Schedule Student Group,Gjaldskrá Stúdentahópur
 From Date can not be greater than To Date,Frá Dagsetning má ekki vera meiri en Til Dagsetning
Please specify a {0},Vinsamlegast tilgreindu {0}
To GSTIN,Til GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Lokadagsetningin má ekki vera fyrr en upphafsdagsetningin. Vinsamlegast leiðréttu dagsetningar og reyndu aftur.
No Employee Found,Engin starfsmaður fannst
Exemption Category,Undanþáguflokkur
Create Disbursement Entry,Búðu til greiðslufærslu
Purpose must be one of {0},Tilgangur verður að vera {0}
Last Activity ,Síðasta virkni
A link to all the Locations in which the Crop is growing,Tengill til allra staða þar sem skógurinn er að vaxa
Course Enrollment {0} does not exists,Námskeiðaskráning {0} er ekki til
Maximum leave allowed in the leave type {0} is {1},Hámarks leyfi sem leyfður er í orlofstegundinni {0} er {1}
Qty to Transfer,Magn til að flytja
Please identify/create Account (Group) for type - {0},Vinsamlega auðkenna / búa til reikning (Group) fyrir gerð - {0}
Please set default customer group and territory in Selling Settings,Vinsamlegast settu sjálfgefna viðskiptavinarhóp og landsvæði í Sölustillingar
There isn't any item variant for the selected item,Það er ekkert hlutarafbrigði fyrir valið atriði
Contract Details,Samningsupplýsingar
"Select, to make the customer searchable with these fields","Veldu, til að gera viðskiptavininum kleift að leita að þessum reitum"
Total Actual,Samtals Raunverulegt
Change Code,Breyta kóða
Planting Area,Gróðursetningarsvæði
Employee Grade (optional),Starfsmaður Grade (valfrjálst)
Cost Center For Item with Item Code ',Kostnaðurarmiðstöð fyrir lið með vörulínu &#39;
Default Stock UOM,Sjálfgefið lager UOM
Rent Cost,Leigja kostnað
Training Result,Þjálfunarniðurstaða
Work Order not created,Vinna Order ekki búið til
Meter,Meter
Hero Image,Hero Image
No Items to pack,Engar vörur til að pakka
Delivery warehouse required for stock item {0},Afhending vörugeymsla krafist fyrir hlutabréfa {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Frátekið vörugeymsla er skylt að skila vöru {0} í hráefni
Target Location is required for the asset {0},Markmið Staðsetning er krafist fyrir eignina {0}
SGST Amount,SGST upphæð
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Reikningsjafnvægi þegar í Credit, þú mátt ekki setja &#39;Balance Must Be&#39; sem &#39;Debit&#39;"
GSTR 3B Report,GSTR 3B Report
Rate & Amount,Röð og upphæð
Debit To is required,Greiðsla Til er krafist
Item Name,Nafn hlutar
Cost of New Purchase,Kostnaður við nýjan kaup
Additional information regarding the customer.,Viðbótarupplýsingar um viðskiptavininn.
Wrong,Rangt
Batch Inventory,Batch Inventory
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Launasala send til starfsmannsins verður varið með lykilorði, lykilorðið verður búið til byggt á lykilorði."
Received Amount,Móttekið magn
Is Sales Item,Er sölutilboð
Generate Text File,Búðu til textaskrá
Variants,Variants
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Gjöld verða dreift hlutfallslega miðað við hlutatölu eða upphæð, eins og á val þitt"
Pending activities for today,Víkjandi starfsemi í dag
Student Batch,Námsmaður
Valuation Rate required for Item in row {0},Verðmat sem þarf fyrir hlut í röð {0}
Base Hour Rate(Company Currency),Base Hour Rate (Fyrirtæki Gjaldmiðill)
Printing Details,Prentunarupplýsingar
Manufacturing Manager,Framleiðsla Framkvæmdastjóri
Job Card,Atvinna kort
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.",Kerfisnotandi (innskráningar) auðkenni. Ef það er stillt verður það sjálfgefið fyrir allar HR-eyðublöð.
All Item Groups,Allir hlutahópar
Select Status,Veldu stöðu
Fixed rate,Fast gjald
Airline,Flugfélag
Term Details,Upplýsingar um tíma
Acquisition Date,Kaupardagur
Send To,Senda til
Average Rate,Meðaltal
Set Qty in Transactions based on Serial No Input,Setja magn í viðskiptum sem byggjast á raðnúmerum inntaki
Advance account currency should be same as company currency {0},Forgangsreikningur gjaldmiðill ætti að vera eins og fyrirtæki gjaldmiðill {0}
Customize Homepage Sections,Sérsníða heimasíðuna
October,október
Hide Customer's Tax Id from Sales Transactions,Fela viðskiptavinarskírteinið frá söluviðskiptum
Invalid GSTIN! A GSTIN must have 15 characters.,Ógild GSTIN! GSTIN verður að hafa 15 stafi.
Pricing Rule {0} is updated,Verðlagning regla {0} er uppfærð
Contract Fulfilment Checklist,Samningur Uppfylling Checklist
All Products,Allar vörur
Product Search,Vara leit
Net Pay,Nettó greiðsla
Total Invoiced Amt,Samtals innheimt Amt
Consumables Invoice Separately,Rekstrarvörur Reikningur Sérstaklega
HR-APR-.YY.-.MM.,HR-APR-.YY.-MM.
Budget cannot be assigned against Group Account {0},Ekki er hægt að úthluta fjárhagsáætlun gegn hópreikningi {0}
Rate and Amount,Verð og upphæð
Check availability,Athuga framboð
Cannot find Item with this barcode,Get ekki fundið Vara með þessari barcode
Default Invoice Naming Series,Sjálfgefin innheimtuheiti
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.",Ef þú {0} {1} magn af hlutnum <b>{2}</b> verður kerfið <b>{3}</b> beitt á hlutinn.
Student Siblings,Nemendur systkini
Journal Entry {0} does not have account {1} or already matched against other voucher,Dagbókarfærsla {0} hefur ekki reikning {1} eða þegar verið er að passa við aðra voucher
Legal Expenses,Lagaleg kostnaður
Checkout,Athuga
Membership Details,Upplýsingar um aðild
Please set the Customer Address,Vinsamlegast stilltu viðskiptavinaraðilinn
List your products or services that you buy or sell.,Skráðu vörur þínar eða þjónustu sem þú kaupir eða selur.
Income,Tekjur
Rate at which this tax is applied,Vextir þar sem þessi skattur er beittur
Payment Receipt Note,Greiðsluskilmálar
In Percentage,Í prósentu
Quotations received from Suppliers.,Tilvitnanir sem berast frá birgja.
Reference Due Date,Tilvísunardagsetning
Lead Time Days,Lead Time Days
Revision and Revised On,Endurskoðun og endurskoðun á
{0} against Purchase Order {1},{0} gegn innkaupapöntun {1}
Fee Records Created - {0},Gjaldskrár búin til - {0}
Note: {0},Athugaðu: {0}
Serial No {0} has already been received,Raðnúmer {0} hefur þegar verið móttekið
Leave Settings,Skildu eftir Stillingar
Issue Credit Note,Gefa út lánshæfiseinkunn
Batch Item Expiry Status,Stöðupunktur lokadagur
Stock Transactions,Verðbréfaviðskipti
Event Location,Event Location
Motion Picture & Video,Hreyfimynd og myndband
Row Spacing,Row Spacing
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Reikningsnúmer fyrir reikning {0} er ekki tiltækt. <br> Vinsamlega settu upp reikningsskýrsluna þína rétt.
Starting location from left edge,Byrjunarstaður frá vinstri brún
HR Settings,HR stillingar
Appointments,Tilnefningar
Asset {0} created,Eignin {0} búin til
Please enter Planned Qty for Item {0} at row {1},Vinsamlegast sláðu inn áætlað magn fyrir lið {0} í röð {1}
Select Batch,Veldu hópur
Item Description,Lýsing á hlut
Account Name,Reikningsheiti
Please enter API Consumer Key,Vinsamlegast sláðu inn API neytenda lykil
Products per Page,Vörur á síðu
Duplicate {0} found in the table,Afrit {0} í töflunni
Default Distance Unit,Sjálfgefin fjarlægðareining
Consume Stock,Neyta lager
Key Performance Area,Helstu árangurssvæði
S.O. No.,SO nr.
{0} not found for item {1},{0} fannst ekki fyrir lið {1}
Set Source Warehouse,Setja Source Warehouse
Out Patient Settings,Úthreinsun sjúklinga
Insurance End Date,Tryggingar lokadagur
Branch Code,Útibúarkóði
Time To Respond,Tími til að svara
User Forum,User Forum
Landed Cost Item,Landed Kostnaður Item
The seller and the buyer cannot be the same,Seljandi og kaupandi má ekki vera það sama
Copied From,Afritað frá
Available,Laus
Sales Person Targets,Markmið sölumanns
BOM Operation,BOM aðgerð
O-,O-
Interest Amount,Vextir
Origin,Uppruni
Add a new address,Bæta við nýtt netfang
Write Off Account,Skrifa burt reikning
Proposal/Price Quote,Tillaga / Verðtilboð
Associate,Félagi
Please input all required Result Value(s),Vinsamlegast settu inn allar nauðsynlegar niðurstöður gildi (s)
Purchase Order Item Supplied,Innkaupapöntunartilboð fylgir
Item {0} is not a serialized Item,Vara {0} er ekki raðnúmer
GoCardless Customer,GoCardless viðskiptavinur
Leave Balance,Skildu jafnvægi
Maintenance Schedule {0} exists against {1},Viðhaldsáætlun {0} er til staðar gegn {1}
Supervisor Name,Umsjónarmaður Nafn
Campaign Naming By,Heiti herferðar við
Course Code,Námskeiðskóði
Aerospace,Aerospace
Distribute Charges Based On,Dreifa gjöldum sem eru byggðar á
Supplier Scorecard Scoring Criteria,Birgir Scorecard Scoring Criteria
Stock,Lager
Receipt Document Type,Kvittunarskjal Tegund
Classification of Customers by region,Flokkun viðskiptavina eftir svæðum
Billable,Innheimt
Government,Ríkisstjórn
"Create Employee records to manage leaves, expense claims and payroll","Búðu til starfsmannaskrár til að stjórna leyfi, kostnaðarkröfum og launaskrá"
Point-of-Sale,Sölustaður
User {0} is already assigned to Healthcare Practitioner {1},Notandi {0} er þegar úthlutað heilbrigðisstarfsmanni {1}
Standard Buying,Standard Kaup
Apprentice,Lærlingur
Add Timesheets,Bæta við tímatöflum
"Number of new Account, it will be included in the account name as a prefix","Fjöldi nýrra reikninga, það verður innifalið í reikningsnafninu sem forskeyti"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Birgir Vörugeymsla skylda fyrir undirverktaka kaup kvittun
Please enter Preferred Contact Email,Vinsamlegast sláðu inn Preferred Contact Email
Normal,Venjulegt
Customer POS Id,Viðskiptavinur POS-auðkenni
Weight Per Unit,Þyngd á hverja einingu
Child nodes can be only created under 'Group' type nodes,Barnhnútar geta aðeins verið búnar til undir &quot;Hópur&quot; tegundir hnúður
(including),(þ.mt)
Requested,Óskað eftir
Item {0} is not a stock Item,Vara {0} er ekki birgðir
Multi Currency,Multi Gjaldmiðill
Write Off Difference Amount,Skrifa burt munur
Item {0} is disabled,Atriði {0} er óvirk
Last Completion Date,Síðasti lokadagur
Fulfillment,Uppfylling
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",Verkefnið hefur verið metqueued sem bakgrunnsvinna. Ef um er að ræða mál í vinnslu í bakgrunni mun kerfið bæta við athugasemdum um villuna á þessari birgðirsamkomu og fara aftur í drög að stigi
Total Order Considered,Samanburður á heildarfjölda
Optimize Route,Bjartsýni leið
Discount Percentage can be applied either against a Price List or for all Price List.,Afsláttarhlutfall má beita annaðhvort gegn verðskrá eða fyrir alla verðskrá.
Trainer Email,Trainer Email
Get from Patient Encounter,Komdu frá sjúklingaþingi
Software Developer,Forritari
Sample Collection,Sýnishorn
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Vinsamlegast deildu viðbrögðunum þínum við þjálfunina með því að smella á &#39;Þjálfunarniðurstaða&#39; og síðan &#39;Nýtt&#39;
Connecting to QuickBooks,Tengist við QuickBooks
Enrolling student,Skráning nemandi
Claimed,Krafist
Leaves,Leaves
Salary breakup based on Earning and Deduction.,Launasala byggt á tekjum og frádrátt.
Salary Structure Missing,Launastyrkur vantar
Action Field,Aðgerðarsvæði
Quotation Trends,Tilvitnun Stefna
Connect Amazon with ERPNext,Tengdu Amazon með ERPNext
Response and Resolution Time,Svar og upplausnartími
Collection Tier,Collection Tier
Guardian Of ,Forráðamaður Of
Payment Gateway Details,Greiðsla Gateway Upplýsingar
Staffing Plan {0} already exist for designation {1},Mönnunarmátaáætlun {0} er þegar til tilnefningar {1}
Website Warehouse,Website Warehouse
Rate With Margin,Meta með brún
Salary Structure must be submitted before submission of Tax Ememption Declaration,Launastyrkur verður að leggja fram áður en skattyfirlýsingin er lögð fram
Add Leads,Bæta við Vísbendingum
Reserve Warehouse,Reserve Vörugeymsla
Payment Term Name,Nafn greiðslukorta
No Permission,Engin heimild
Select Company...,Veldu fyrirtæki ...
Use Naming Series,Notaðu nafngiftaröð
Formula,Formúla
Action if Accumulated Monthly Budget Exceeded on Actual,Aðgerð ef uppsafnað mánaðarlegt fjárhagsáætlun fór yfir raunverulegt
Allow Encashment,Leyfa Encashment
Project activity / task.,Verkefnastarfsemi / verkefni.
Bank Statement Transaction Invoice Item,Bank Yfirlit Viðskiptareikning Atriði
Total Operating Cost,Samtals rekstrarkostnaður
Employee Onboarding Template,Starfsmaður um borðsmiðju
Same Item,Sama liður
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Upphæð fyrir eina viðskipti fer yfir hámarks leyfilegt magn, búið til sérstakan greiðslufyrirmæli með því að skipta viðskiptunum"
Salary Slips Created,Launasalar búin til
Lab Test(s) ,Lab próf (ir)
Party Details,Upplýsingar um aðila
Cost of Purchased Items,Kostnaður við kaupin
All communications including and above this shall be moved into the new Issue,"Öll samskipti, þ.mt og yfir þetta, skulu flutt í nýju útgáfuna"
Material Consumption for Manufacture,Efni neysla til framleiðslu
Table for Item that will be shown in Web Site,Tafla fyrir lið sem verður sýnd á vefsíðu
Restaurant Menu,Veitingahús Valmynd
Purpose,Tilgangur
Salary Structure Assignment for Employee already exists,Launaskiptaverkefni fyrir starfsmann er þegar til
Service Unit,Þjónustudeild
Identification Document Number,Kennitölu númer
Additional Costs,Viðbótarkostnaður
"Parent Course (Leave blank, if this isn't part of Parent Course)","Foreldraforrit (Leyfi blank, ef þetta er ekki hluti af foreldradeild)"
Employee Education,Starfsmenntun
Number of positions cannot be less then current count of employees,Fjöldi stöður má ekki vera minna en núverandi fjöldi starfsmanna
All Customer Groups,Allir viðskiptavinahópar
Buying Price List,Kaupverðskrá
Finished Good Item Code,Lokið góðan hlutakóða
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Margar reikningsár eru fyrir daginn {0}. Vinsamlegast settu fyrirtæki í reikningsár
Available for use date is required,Til staðar er hægt að nota dagsetninguna
Training Date,Þjálfunardagur
Reading Uploaded File,Lestur hlaðið skrá
Material Request,Efnisbeiðni
Total Allocated Amount (Company Currency),Samtals Úthlutað upphæð (Gjaldmiðill félagsins)
Restaurant Order Entry Item,Veitingahús Order Entry Item
Distance,Fjarlægð
Get financial breakup of Taxes and charges data by Amazon ,Fá fjárhagslegt brot á skattar og gjöld gagna af Amazon
Mileage,Mílufjöldi
"For an item {0}, quantity must be positive number",Fyrir hlut {0} skal magn vera jákvætt númer
Item Cart,Vara körfu
Payment Entries {0} are un-linked,Greiðslusendingar {0} eru ótengdir
Open Notifications,Opna tilkynningar
Successfully created payment entries,Búið til greiðslufærslur með góðum árangri
Mg/K,Mg / K
Has Serial No,Hefur raðnúmer
Manufacturing User,Framleiðandi Notandi
Ledger,Ledger
Loan,Lán
Fuel UOM,Eldsneyti UOM
Support,Stuðningur
