DocType: Accounting Period,Period Name,Numele perioadei
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Nu se poate transfera angajatul cu starea Stânga
DocType: Vehicle Service,Mileage,distanță parcursă
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Chiar vrei să resturi acest activ?
DocType: Drug Prescription,Update Schedule,Actualizați programul
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Selectați Furnizor implicit
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Afișați angajatul
DocType: Payroll Period,Standard Tax Exemption Amount,Suma standard de scutire de impozit
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Noul curs de schimb valutar
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Moneda este necesară pentru lista de prețuri {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Va fi calculat în cadrul tranzacției.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Clientul A lua legatura
DocType: Shift Type,Enable Auto Attendance,Activați prezența automată
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Vă rugăm să introduceți Depozitul și data
DocType: Lost Reason Detail,Opportunity Lost Reason,Motivul pierdut din oportunitate
DocType: Patient Appointment,Check availability,Verifică Disponibilitate
DocType: Retention Bonus,Bonus Payment Date,Data de plată Bonus
DocType: Employee,Job Applicant,Solicitant loc de muncă
DocType: Job Card,Total Time in Mins,Timp total în mină
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Aceasta se bazează pe tranzacțiile împotriva acestui furnizor. A se vedea calendarul de mai jos pentru detalii
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Procentul de supraproducție pentru comanda de lucru
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Juridic
DocType: Sales Invoice,Transport Receipt Date,Data primirii transportului
DocType: Shopify Settings,Sales Order Series,Seria de comandă de vânzări
DocType: Vital Signs,Tongue,Limbă
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Taxa efectivă de tip nu poate fi inclusă în tariful articolului din rândul {0}
DocType: Allowed To Transact With,Allowed To Transact With,Permis pentru a tranzacționa cu
DocType: Bank Guarantee,Customer,Client
DocType: Purchase Receipt Item,Required By,Cerute de
DocType: Delivery Note,Return Against Delivery Note,Reveni Împotriva livrare Nota
DocType: Asset Category,Finance Book Detail,Detaliile cărții de finanțe
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Toate amortizările au fost înregistrate
DocType: Purchase Order,% Billed,% Facurat
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Număr de salarizare
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Cursul de schimb trebuie să fie același ca și {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Excepție HRA
DocType: Sales Invoice,Customer Name,Nume client
DocType: Vehicle,Natural Gas,Gaz natural
DocType: Project,Message will sent to users to get their status on the project,Mesajul va fi trimis utilizatorilor pentru a obține starea lor în proiect
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Contul bancar nu poate fi numit ca {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA conform structurii salariale
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Heads (sau grupuri) față de care înregistrările contabile sunt făcute și soldurile sunt menținute.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Restante pentru {0} nu poate fi mai mică decât zero ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Data de începere a serviciului nu poate fi înaintea datei de începere a serviciului
DocType: Manufacturing Settings,Default 10 mins,Implicit 10 minute
DocType: Leave Type,Leave Type Name,Denumire Tip Concediu
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Afișați deschis
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Seria Actualizat cu succes
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Verifică
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} în rândul {1}
DocType: Asset Finance Book,Depreciation Start Date,Data de începere a amortizării
DocType: Pricing Rule,Apply On,Se aplică pe
DocType: Item Price,Multiple Item prices.,Mai multe prețuri element.
,Purchase Order Items To Be Received,Achiziția comandă elementele de încasat
DocType: SMS Center,All Supplier Contact,Toate contactele furnizorului
DocType: Support Settings,Support Settings,Setări de sprijin
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Contul {0} este adăugat în compania copil {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Credențe nevalide
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Disponibil (fie în opțiune integrală)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Settings
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Procesarea voucherelor
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Rata trebuie să fie aceeași ca și {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Lot Articol Stare de expirare
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Ciorna bancară
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Total intrări târzii
DocType: Mode of Payment Account,Mode of Payment Account,Modul de cont de plăți
apps/erpnext/erpnext/config/healthcare.py,Consultation,Consultare
DocType: Accounts Settings,Show Payment Schedule in Print,Afișați programul de plată în Tipărire
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Variante de articol actualizate
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Vânzări și returnări
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Arată Variante
DocType: Academic Term,Academic Term,Termen Academic
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Scutirea de impozit pe categorii de angajați
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Vă rugăm să setați o adresă pe compania „% s”
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Material
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Beneficiul maxim al angajatului {0} depășește {1} cu suma {2} a componentei pro-rata a cererii de beneficii \ suma și suma revendicată anterior
DocType: Opening Invoice Creation Tool Item,Quantity,Cantitate
,Customers Without Any Sales Transactions,Clienții fără tranzacții de vânzare
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Planul de conturi nu poate fi gol.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Utilizați Google Maps Direction API pentru a calcula orele de sosire estimate
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Imprumuturi (Raspunderi)
DocType: Patient Encounter,Encounter Time,Întâlniți timpul
DocType: Staffing Plan Detail,Total Estimated Cost,Costul total estimat
DocType: Employee Education,Year of Passing,Ani de la promovarea
DocType: Routing,Routing Name,Numele de rutare
DocType: Item,Country of Origin,Tara de origine
DocType: Soil Texture,Soil Texture Criteria,Criterii de textură a solului
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,În Stoc
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Detalii de contact primare
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Probleme deschise
DocType: Production Plan Item,Production Plan Item,Planul de producție Articol
DocType: Leave Ledger Entry,Leave Ledger Entry,Lăsați intrarea în evidență
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Utilizatorul {0} este deja alocat Angajat {1}
DocType: Lab Test Groups,Add new line,Adăugați o linie nouă
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Creați Lead
DocType: Production Plan,Projected Qty Formula,Formula Qty proiectată
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Servicii de Sanatate
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Întârziere de plată (zile)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Plata detaliilor privind termenii de plată
DocType: Hotel Room Reservation,Guest Name,Numele oaspetelui
DocType: Delivery Note,Issue Credit Note,Eliberați nota de credit
DocType: Lab Prescription,Lab Prescription,Lab prescription
,Delay Days,Zilele întârziate
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Cheltuieli de serviciu
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Numărul de serie: {0} este deja menționat în factura de vânzare: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Factură
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Suma maximă scutită
DocType: Purchase Invoice Item,Item Weight Details,Greutate Detalii articol
DocType: Asset Maintenance Log,Periodicity,Periodicitate
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Anul fiscal {0} este necesară
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Profit / Pierdere Netă
DocType: Employee Group Table,ERPNext User ID,ID utilizator ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Distanța minimă dintre rânduri de plante pentru creștere optimă
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Vă rugăm să selectați Pacientul pentru a obține procedura prescrisă
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Apărare
DocType: Salary Component,Abbr,Presc
DocType: Appraisal Goal,Score (0-5),Scor (0-5)
DocType: Tally Migration,Tally Creditors Account,Contul creditorilor Tally
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Rând {0}: {1} {2} nu se potrivește cu {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Rând # {0}:
DocType: Timesheet,Total Costing Amount,Suma totală Costing
DocType: Sales Invoice,Vehicle No,Vehicul Nici
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Vă rugăm să selectați lista de prețuri
DocType: Accounts Settings,Currency Exchange Settings,Setările de schimb valutar
DocType: Work Order Operation,Work In Progress,Lucrări în curs
DocType: Leave Control Panel,Branch (optional),Sucursală (opțional)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Rândul {0}: utilizatorul nu a aplicat regula <b>{1}</b> pe articolul <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Vă rugăm să selectați data
DocType: Item Price,Minimum Qty ,Cantitatea minimă
DocType: Finance Book,Finance Book,Cartea de finanțe
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Lista de Vacanță
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Revizuire și acțiune
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Acest angajat are deja un jurnal cu aceeași oră de timp. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Contabil
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Listă Prețuri de Vânzare
DocType: Patient,Tobacco Current Use,Utilizarea curentă a tutunului
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Rată de Vânzare
DocType: Cost Center,Stock User,Stoc de utilizare
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Informatii de contact
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Căutați orice ...
DocType: Company,Phone No,Nu telefon
DocType: Delivery Trip,Initial Email Notification Sent,Notificarea inițială de e-mail trimisă
DocType: Bank Statement Settings,Statement Header Mapping,Afișarea antetului de rutare
,Sales Partners Commission,Comision Agenţi Vânzări
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Ajustare Rotunjire
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Prescurtarea nu poate conține mai mult de 5 caractere
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Cerere de plata
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Pentru a vizualiza jurnalele punctelor de loialitate atribuite unui client.
DocType: Asset,Value After Depreciation,Valoarea după amortizare
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Nu s-a găsit articolul transferat {0} în Ordinul de lucru {1}, elementul care nu a fost adăugat la intrarea în stoc"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Legate de
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Data de prezență nu poate fi anteriara datii angajarii salariatului
DocType: Grading Scale,Grading Scale Name,Standard Nume Scala
DocType: Employee Training,Training Date,Data formării
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Adăugă Utilizatori la Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Acesta este un cont de rădăcină și nu pot fi editate.
DocType: POS Profile,Company Address,Adresă Companie
DocType: BOM,Operations,Operatii
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Nu se poate seta autorizare pe baza de Discount pentru {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON nu poate fi generat pentru Returnarea vânzărilor de acum
DocType: Subscription,Subscription Start Date,Data de începere a abonamentului
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Conturile implicite de încasat pentru a fi utilizate dacă nu sunt stabilite în pacient pentru a rezerva taxele de numire.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Atașați fișier .csv cu două coloane, una pentru denumirea veche și una pentru denumirea nouă"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Din adresa 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Obțineți detalii din declarație
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} nu se gaseste in niciun an fiscal activ.
DocType: Packed Item,Parent Detail docname,Părinte Detaliu docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Referință: {0}, Cod articol: {1} și Client: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} nu este prezentă în compania mamă
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Perioada de încheiere a perioadei de încercare nu poate fi înainte de data începerii perioadei de încercare
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Categoria de reținere fiscală
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Anulați mai întâi înregistrarea jurnalului {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM nu este specificat pentru subcontractarea elementului {0} la rândul {1}
DocType: Vital Signs,Reflexes,reflexe
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Rezultat transmis
DocType: Item Attribute,Increment,Creștere
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Rezultate de ajutor pentru
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Selectați Depozit ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Publicitate
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Aceeași societate este înscris de mai multe ori
DocType: Patient,Married,Căsătorit
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Nu este permisă {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Obține elemente din
DocType: Stock Entry,Send to Subcontractor,Trimiteți către subcontractant
DocType: Purchase Invoice,Apply Tax Withholding Amount,Aplicați suma de reținere fiscală
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Cantitatea totală finalizată nu poate fi mai mare decât cantitatea
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Stock nu poate fi actualizat împotriva livrare Nota {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Suma totală creditată
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Nu sunt enumerate elemente
DocType: Asset Repair,Error Description,Descrierea erorii
DocType: Payment Reconciliation,Reconcile,Reconcilierea
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Băcănie
DocType: Quality Inspection Reading,Reading 1,Lectura 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Fondurile de pensii
DocType: Exchange Rate Revaluation Account,Gain/Loss,Gain / Pierdere
DocType: Crop,Perennial,peren
DocType: Program,Is Published,Este publicat
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Afișare note de livrare
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Pentru a permite facturarea excesivă, actualizați „Indemnizație de facturare” în Setări conturi sau element."
DocType: Patient Appointment,Procedure,Procedură
DocType: Accounts Settings,Use Custom Cash Flow Format,Utilizați formatul fluxului de numerar personalizat
DocType: SMS Center,All Sales Person,Toate persoanele de vânzăril
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Lunar Distribuție ** vă ajută să distribuie bugetul / Target peste luni dacă aveți sezonier în afacerea dumneavoastră.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Nu au fost găsite articole
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Structura de salarizare lipsă
DocType: Lead,Person Name,Nume persoană
,Supplier Ledger Summary,Rezumat evidență furnizor
DocType: Sales Invoice Item,Sales Invoice Item,Factură de vânzări Postul
DocType: Quality Procedure Table,Quality Procedure Table,Tabelul procedurilor de calitate
DocType: Account,Credit,Credit
DocType: POS Profile,Write Off Cost Center,Scrie Off cost Center
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""","de exemplu, &quot;Școala primară&quot; sau &quot;Universitatea&quot;"
apps/erpnext/erpnext/config/stock.py,Stock Reports,Rapoarte de stoc
DocType: Warehouse,Warehouse Detail,Detaliu Depozit
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Ultima dată de verificare a carbonului nu poate fi o dată viitoare
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Pe termen Data de încheiere nu poate fi mai târziu de Anul Data de încheiere a anului universitar la care este legat termenul (anului universitar {}). Vă rugăm să corectați datele și încercați din nou.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Este activ fix"" nu poate fi debifată deoarece există informații împotriva produsului"
DocType: Delivery Trip,Departure Time,Timp de plecare
DocType: Vehicle Service,Brake Oil,Ulei de frână
DocType: Tax Rule,Tax Type,Tipul de impozitare
,Completed Work Orders,Ordine de lucru finalizate
DocType: Support Settings,Forum Posts,Mesaje pe forum
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Sarcina a fost considerată ca o lucrare de fond. În cazul în care există vreo problemă cu privire la procesare în fundal, sistemul va adăuga un comentariu despre eroarea la această reconciliere a stocului și va reveni la etapa de proiectare."
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Ne pare rău, validitatea codului cupon nu a început"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Sumă impozabilă
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Nu ești autorizat să adăugi sau să actualizezi intrări înainte de {0}
DocType: Leave Policy,Leave Policy Details,Lăsați detaliile politicii
DocType: BOM,Item Image (if not slideshow),Imagine Articol (dacă nu exista prezentare)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Rândul # {0}: Operația {1} nu este finalizată pentru {2} cantitate de mărfuri finite în Ordinul de lucru {3}. Vă rugăm să actualizați starea operației prin intermediul cărții de lucru {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Tarif orar / 60) * Timp efectiv de operare
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Rândul # {0}: Tipul de document de referință trebuie să fie una dintre revendicările de cheltuieli sau intrări în jurnal
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Selectați BOM
DocType: SMS Log,SMS Log,SMS Conectare
DocType: Call Log,Ringing,țiuit
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Costul de articole livrate
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Vacanta pe {0} nu este între De la data si pana in prezent
DocType: Inpatient Record,Admission Scheduled,Admiterea programată
DocType: Student Log,Student Log,Jurnal de student
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Modele de clasificare a furnizorilor.
DocType: Lead,Interested,Interesat
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Deschidere
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Copiere din Grupul de Articole
DocType: Journal Entry,Opening Entry,Deschiderea de intrare
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Contul Plătiți numai
DocType: Loan,Repay Over Number of Periods,Rambursa Peste Număr de Perioade
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Cantitatea de produs nu poate fi mai mică decât Zero
DocType: Stock Entry,Additional Costs,Costuri suplimentare
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Un cont cu tranzacții existente nu poate fi transformat în grup.
DocType: Lead,Product Enquiry,Intrebare produs
