Pension Funds,Emeklilik fonları
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} {1} Maddesi için Seri Numaraları gerekli. {2} değerini verdiniz.
Customer Primary Contact,Müşteri Birincil İletişim
BOM Detail No,Ürün Detayı No
Cash In Hand,Elinde nakit
The holiday on {0} is not between From Date and To Date,"{0} tarihinde tatil, Tarih ve Tarih arasında değil"
Lead must be set if Opportunity is made from Lead,"Fırsat Kurşun&#39;tan yapılmışsa, Kurşun ayarlanmalıdır."
Account with existing transaction can not be converted to group.,Mevcut işlem içeren hesap gruba dönüştürülemez.
Timesheet {0} is already completed or cancelled,{0} zaman çizelgesi zaten tamamlandı veya iptal edildi
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Satış ve Satın Almalara Eklenebilecek Standart Şartlar ve Koşullar. Örnekler: 1. Teklifin geçerliliği. 1. Ödeme Koşulları (Önceden, Krediyle, peşin vb.). 1. Ekstra olan (veya Müşteri tarafından ödenmesi gereken). 1. Güvenlik / kullanım uyarısı. 1. Varsa garanti. 1. Politika döndürür. 1. Varsa, gönderim koşulları. 1. Anlaşmazlık, tazminat, sorumluluk vb. Gibi hitap etme yolları. 1. Şirketinizin Adres ve İrtibat Bilgileri."
Leave Status Notification,Durum Bildirimini Bırak
Designation Skill,Atama Becerisi
Quantity required for Item {0} in row {1},{1} satırındaki {0} öğesi için gereken miktar
"To filter based on Party, select Party Type first",Partiye göre filtrelemek için önce Parti Tipini seçin.
Number,Numara
Separate course based Group for every Batch,Her parti için ayrı kurs bazlı Grup
Require Lab Test Approval,Laboratuar Test Onayı İste
Update Clearance Date,Güncelleme Tarihini Güncelle
Import Chart of Accounts from a csv file,Bir csv dosyasından Hesap Planını İçe Aktar
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Genel uygulama için destek kullanımdan kaldırılmıştır. Lütfen özel uygulamayı kurun, daha fazla ayrıntı için kullanım kılavuzuna bakın"
Signed,İmzalanmış
Terms and Conditions1,Şartlar ve Koşullar1
Please select Employee Record first.,Lütfen önce Çalışan Kaydı&#39;nı seçin.
Password policy for Salary Slips is not set,Maaş Fişleri için şifre politikası belirlenmedi
Result HTML,Sonuç HTML
Ignore holidays,Tatilleri yoksay
Linked Soil Texture,Bağlantılı Zemin Dokusu
This is based on logs against this Vehicle. See timeline below for details,"Bu, bu Araca karşı kütüklere dayanmaktadır. Ayrıntılar için aşağıdaki zaman çizelgesine bakın"
ACC-PAY-.YYYY.-,ACC-ÖDE .YYYY.-
Emergency Contact,Acil iletişim
Authorization URL,Yetkilendirme URL&#39;si
On Leave,İzinli
Show a slideshow at the top of the page,Sayfanın en üstünde bir slayt gösterisi göster
Payer Settings,Ödeme Yapan Ayarlar
Set Tax Rule for shopping cart,Alışveriş sepeti için vergi kuralını ayarla
In Production,Üretimde
Payment References,Ödeme Referansları
Valid Till,Kadar geçerli
{0}: From {0} of type {1},{0}: {1} tipindeki {0} tipinden
Project Name,proje Adı
Stock Qty,Stok Adet
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Alt Öğe bir Ürün Paketi olmamalıdır. Lütfen `{0}` öğesini kaldır ve kaydet
Response Result Key Path,Yanıt Sonucu Anahtar Yolu
Fully Sponsored,Tamamen Sponsorlu
Not permitted. Please disable the Service Unit Type,İzin verilmedi. Lütfen Servis Birimi Türünü devre dışı bırakın
Offline POS Settings,Çevrimdışı POS Ayarları
Calculations,Hesaplamalar
Material Requested,Talep Edilen Malzeme
Reference Row,Referans Satırı
Annual Allocation,Yıllık Tahsis
Subcontract,alt sözleşme
Valuation type charges can not marked as Inclusive,Değerleme türü masrafları Kapsayıcı olarak işaretlenemez
Account {0}: Parent account {1} does not belong to company: {2},Hesap {0}: {1} ana hesabı şirkete ait değil: {2}
Failed to login,Giriş yapılamadı
Items and Pricing,Öğeler ve Fiyatlandırma
Payment Terms Template,Ödeme Koşulları Şablonu
Previous Work Experience,Önceki İş Deneyimi
Program,program
Healthcare,Sağlık hizmeti
Complaint,şikâyet
Restrict to Countries,Ülkelere Sınırla
Item Manager,Öğe Yöneticisi
Currency of the Closing Account must be {0},Kapanış Hesabının para birimi {0} olmalıdır
Opening Invoice Item,Fatura Öğesinin Açılması
Plan material for sub-assemblies,Alt montajlar için malzeme planı
Hardware,Donanım
Action if Annual Budget Exceeded on MR,MR’da Yıllık Bütçe Aşıldıysa Eylem
Advance Amount,Peşin Tutar
Against Sales Invoice Item,Satış faturasına karşı ürün
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,İmalattaki Ürünü Dahil Et
Check in (group),Check-in (grup)
Do not show any symbol like $ etc next to currencies.,Para birimlerinin yanında $ etc gibi bir sembol göstermeyin.
Salary Component Type,Maaş Bileşeni Türü
The shareholder does not belong to this company,Hissedar bu şirkete ait değildir
Day(s) after the end of the invoice month,Fatura ayının bitiminden sonraki gün (ler)
Vehicle Type,araç tipi
Healthcare Administrator,Sağlık Yöneticisi
Single Transaction Threshold,Tek İşlem Eşiği
Broadcasting,yayın
Post Title Key,Mesaj Başlığı Anahtarı
Customer Primary Address,Müşteri Birincil Adresi
Please select batches for batched item ,Lütfen toplu öğe için gruplar seçin
Min Qty,Min Adet
Payment Deductions or Loss,Ödeme Kesintileri veya Kaybı
On Item Quantity,Öğe Miktarı
Replace BOM and update latest price in all BOMs,Malzeme Listesini değiştirin ve tüm Malzeme Listesi&#39;ndeki son fiyatı güncelleyin
Both Trial Period Start Date and Trial Period End Date must be set,Hem Deneme Süresi Hem Başlangıç Tarihi hem Deneme Süresi Bitiş Tarihi ayarlanmalıdır
No time sheets,Zaman çizelgesi yok
Statement Header Mapping,İfade Üstbilgisi Eşlemesi
Mark Half Day,Mark Yarım Gün
Material Transfer for Manufacture,Üretim İçin Malzeme Transferi
Block Supplier,Blok Tedarikçisi
Please enter Woocommerce Server URL,Lütfen Woocommerce Server URL’sini girin
From Place,Yerden
No contacts with email IDs found.,E-posta kimliği olan hiçbir kişi bulunamadı.
Consumption Invoiced,Tüketim Faturalandırıldı
Requested Quantity,İstenilen Miktar
Exit,çıkış
Dispatch Information,Sevk Bilgisi
Basic Amount (Company Currency),Temel Tutar (Şirket Para Birimi)
Selling Settings,Satış ayarları
A question must have more than one options,Bir sorunun birden fazla seçeneği olmalı
Please set the Date Of Joining for employee {0},Lütfen {0} çalışanı için Katılım Tarihini ayarlayın
About your company,Şirketiniz hakkında
Fiscal Year {0} does not exist,Mali Yıl {0} mevcut değil
Leave Application,Uygulamayı terket
Maintenance Log,Bakım Günlüğü
Invalid Posting Time,Geçersiz Gönderme Süresi
Discount,İndirim
Redeem Loyalty Points,Sadakat Puanlarını Kullan
Quotation Series,Tırnak serisi
Occupation,Meslek
Opening Stock,Açılış Stoku
Supplier Score,Tedarikçi Puanı
Only show Items from these Item Groups,Sadece bu Öğe Gruplarındaki Öğeleri göster
Time In Mins,Dakikadaki Süre
Item {0} does not exist in the system or has expired,{0} öğesi sistemde mevcut değil veya süresi dolmuş
Price Discount Scheme,Fiyat İndirim Şeması
Hyper,Aşırı
What does it do?,Bu ne işe yarıyor?
Sales Invoice Trends,Satış Fatura Trendleri
Payment Entries,Ödeme Girişleri
Class / Percentage,Sınıf / Yüzde
Electronic Invoice Register,Elektronik Fatura Kaydı
Is Return (Credit Note),İade Edilir (Kredi Notu)
Lab Test Sample,Laboratuar Test Örneği
status html,status html
"For e.g. 2012, 2012-13","Örneğin, 2012, 2012-13"
disabled user,engelli kullanıcı
ES,ES
Warehouse Type,Depo türü
Quick Journal Entry,Hızlı Dergi Girişi
Consumed Amount,Tüketilen Tutar
Already completed,Zaten tamamlandı
Pending Amount,Bekleyen miktar
Warn RFQs,Teklif taleplerini uyar
Lab Prescription,Laboratuvar Reçetesi
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,"{0} Amortisman Satırı: Sonraki Amortisman Tarihi, Kullanıma Uygun Tarihten önce olamaz"
USD,Amerikan Doları
"Asset {0} cannot be scrapped, as it is already {1}","{0} kıymeti, zaten {1} olduğu gibi hurdaya çekilemez"
Departure Time,Hareket saati
Donor Type,Donör türü
Monthly Sales Target,Aylık Satış Hedefi
Redemption Date,Ödeme Tarihi
Approving User cannot be same as user the rule is Applicable To,"Kullanıcının Onaylanması, kullanıcı ile aynı olamaz, Kural Uygulanabilir"
Fee Schedule Student Group,Ücret Programı Öğrenci Grubu
 From Date can not be greater than To Date,Başlangıç tarihinden itibaren büyük olamaz
Please specify a {0},Lütfen bir {0} belirtin
To GSTIN,GSTIN’e
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,"Terim Bitiş Tarihi, Terim Başlangıç Tarihinden önce olamaz Lütfen tarihleri düzeltip tekrar deneyin."
No Employee Found,Çalışan Bulunamadı
Exemption Category,Muafiyet Kategorisi
Create Disbursement Entry,Ödeme Girişi Oluştur
Purpose must be one of {0},Amaç {0} &#39;dan biri olmalı
Last Activity ,son Aktivite
A link to all the Locations in which the Crop is growing,Mahsulün büyüdüğü tüm Yerlerin bağlantısı
Course Enrollment {0} does not exists,{0} ders kaydı mevcut değil
Maximum leave allowed in the leave type {0} is {1},{0} izin türünde izin verilen maksimum izin: {1}
Qty to Transfer,Transfer Miktarı
Please identify/create Account (Group) for type - {0},Lütfen türü için Hesap (Grup) tanımla / oluştur - {0}
Please set default customer group and territory in Selling Settings,Lütfen Satış Ayarları&#39;nda varsayılan müşteri grubunu ve bölgesini ayarlayın
There isn't any item variant for the selected item,Seçilen öğe için herhangi bir öğe çeşidi yok
Contract Details,Sözleşme Detayları
"Select, to make the customer searchable with these fields",Müşteriyi bu alanlarla aranabilir hale getirmek için seçin
Total Actual,Toplam Fiili
Change Code,Kodu değiştir
Planting Area,Dikim alanı
Employee Grade (optional),Çalışan Sınıfı (isteğe bağlı)
Cost Center For Item with Item Code ',Ürün Kodlu Ürün Masraf Yeri &#39;
Default Stock UOM,Varsayılan Stok UOM
Rent Cost,Kira bedeli
Training Result,Eğitim Sonucu
Work Order not created,İş Emri oluşturulmadı
Meter,Metre
Hero Image,Kahraman Resmi
No Items to pack,Paketlenecek öğe yok
Delivery warehouse required for stock item {0},{0} stok kalemi için teslimat deposu gerekiyor
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Tedarik Edilen Hammaddelerde {0} Maddesi için Ayrılmış Depo zorunludur
Target Location is required for the asset {0},{0} varlığı için Hedef Konum gerekli
SGST Amount,SGST Tutarı
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Hesap bakiyesi zaten Kredi’de, Balance Bakiye ’seçeneğini“ Borç ’olarak ayarlamanıza izin verilmiyor"
GSTR 3B Report,GSTR 3B Raporu
Rate & Amount,Oran ve Tutar
Debit To is required,Borçlanma gerekli
Item Name,Öğe adı
Cost of New Purchase,Yeni Satın Alma Maliyeti
Additional information regarding the customer.,Müşteriyle ilgili ek bilgiler.
Wrong,Yanlış
Batch Inventory,Toplu Envanter
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Çalışana gönderilen maaş bordrosu şifre korumalı olacak, şifre şifre politikasına göre üretilecektir."
Received Amount,Alınan miktar
Is Sales Item,Satış Öğesi
Generate Text File,Metin Dosyası Oluştur
Variants,Varyantlar
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Masraflar, seçiminize göre, adet veya miktar bazında orantılı olarak dağıtılacaktır."
Pending activities for today,Bugün için bekleyen etkinlikler
Student Batch,Öğrenci Grubu
Valuation Rate required for Item in row {0},{0} satırındaki Öğe için Değerleme Oranı gerekli
Base Hour Rate(Company Currency),Baz Saat Ücreti (Şirket Para Birimi)
Printing Details,Baskı detayları
Manufacturing Manager,üretim Müdürü
Job Card,İş kartı
Prorate,eşit olarak dağıtmak
"System User (login) ID. If set, it will become default for all HR forms.","Sistem Kullanıcısı (giriş) kimliği. Ayarlanırsa, tüm İK formları için varsayılan olacaktır."
All Item Groups,Tüm Öğe Grupları
Select Status,Durum Seç
Fixed rate,Sabit oran
Airline,Havayolu
Term Details,Terim Detayları
Acquisition Date,Satın Alma Tarihi
Send To,Gönderildi
Average Rate,Ortalama oran
Set Qty in Transactions based on Serial No Input,Seri No Girişine Göre İşlemlerde Miktar Belirleme
Advance account currency should be same as company currency {0},"Peşin hesap para birimi, {0} şirket para birimi ile aynı olmalıdır"
Customize Homepage Sections,Ana Sayfa Bölümlerini Özelleştir
October,Ekim
Hide Customer's Tax Id from Sales Transactions,Müşterinin Vergi İdresini Satış İşlemlerinden Gizle
Invalid GSTIN! A GSTIN must have 15 characters.,Geçersiz GSTIN! Bir GSTIN 15 karakterden oluşmalıdır.
Pricing Rule {0} is updated,{0} Fiyatlandırma Kuralı güncellendi
Contract Fulfilment Checklist,Sözleşme Tamamlama Kontrol Listesi
All Products,Tüm ürünler
Product Search,Ürün Arama
Net Pay,Net ödeme
Total Invoiced Amt,Fatura Edilen Toplam Tutar
Consumables Invoice Separately,Tüketici Faturaları Ayrı Ayrı
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},{0} Grup Hesaplarına göre bütçe atanamıyor
Rate and Amount,Oran ve Tutar
Check availability,Kullanılabilirliği kontrol et
Cannot find Item with this barcode,Bu barkodla Öğe bulunamıyor
Default Invoice Naming Series,Varsayılan Fatura Adlandırma Serisi
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Eğer {0} {1} öğesinin miktarları <b>{2},</b> şema <b>{3}</b> kalemlerinde uygulanan edilecektir."
Student Siblings,Öğrenci kardeşleri
Journal Entry {0} does not have account {1} or already matched against other voucher,{0} günlüğü girişi {1} hesabına sahip değil veya daha önce başka bir kuponla eşleştirilmiş
Legal Expenses,Yasal giderler
Checkout,Çıkış yapmak
Membership Details,Üyelik Detayları
Please set the Customer Address,Lütfen Müşteri Adresinizi ayarlayın
List your products or services that you buy or sell.,Satın aldığınız veya sattığınız ürünlerinizi veya hizmetlerinizi listeleyin.
Income,Gelir
Rate at which this tax is applied,Bu verginin uygulanma oranı
Payment Receipt Note,Ödeme Makbuzu Notu
In Percentage,Yüzde olarak
Quotations received from Suppliers.,Tedarikçilerden alınan teklifler.
Reference Due Date,Referans Son Tarihi
Lead Time Days,Kurşun zamanı gün
Revision and Revised On,Düzeltme ve Düzeltme Tarihi
{0} against Purchase Order {1},{0} Satınalma Siparişine Karşı {1}
Fee Records Created - {0},Ücret Kayıtları Oluşturuldu - {0}
Note: {0},Not: {0}
Serial No {0} has already been received,{0} seri numarası zaten alınmış
Leave Settings,Ayarları Bırak
Issue Credit Note,Kredi Notunu Verin
Batch Item Expiry Status,Parti Öğesinin Sona Erme Durumu
Stock Transactions,Hisse Senedi İşlemleri
Event Location,Olay yeri
Motion Picture & Video,Hareketli Görüntü ve Video
Row Spacing,Satır Aralığı
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,{0} hesabı için hesap numarası mevcut değil. <br> Lütfen Hesap Planınızı doğru şekilde kurun.
Starting location from left edge,Sol kenardan başlangıç konumu
HR Settings,İK Ayarları
Appointments,randevular
Asset {0} created,{0} kıymet yaratıldı
Please enter Planned Qty for Item {0} at row {1},Lütfen {1} satırına {0} Maddesi için Planlanan Miktarı girin
Select Batch,Toplu iş seç
Item Description,Ürün Açıklaması
Account Name,Hesap adı
Please enter API Consumer Key,Lütfen API Tüketici Anahtarını girin
Products per Page,Sayfa başına ürünler
Duplicate {0} found in the table,Tabloda {0} yinelenen kopya
Default Distance Unit,Varsayılan Mesafe Birimi
Consume Stock,Stok Tüket
Key Performance Area,Anahtar Performans Alanı
S.O. No.,SO No
{0} not found for item {1},{1} öğesi için {0} bulunamadı
Set Source Warehouse,Kaynak Deposunu Ayarla
Out Patient Settings,Dışarı Hasta Ayarları
Insurance End Date,Sigorta Bitiş Tarihi
Branch Code,Şube Kodu
Time To Respond,Cevap Verme Zamanı
User Forum,Kullanıcı Forumu
Landed Cost Item,Landed Cost Item
The seller and the buyer cannot be the same,Satıcı ve alıcı aynı olamaz
Copied From,Kopyalandı
Available,Mevcut
Sales Person Targets,Satış Personeli Hedefleri
BOM Operation,Malzeme Listesi Çalışması
O-,O-
Interest Amount,Faiz tutarı
Origin,Menşei
Add a new address,yeni bir adres ekleyin
Write Off Account,Hesap Yazma
Proposal/Price Quote,Teklif / Fiyat Teklifi
Associate,ortak
Please input all required Result Value(s),Lütfen gerekli tüm Sonuç Değerlerini girin
Purchase Order Item Supplied,Satınalma Siparişi Tedarik Edilen
Item {0} is not a serialized Item,{0} öğesi serileştirilmiş bir öğe değil
GoCardless Customer,GoCardless Müşteri
Leave Balance,Bakiye Bırak
Maintenance Schedule {0} exists against {1},{1} bakım çizelgesi {1} &#39;e karşı var
Supervisor Name,Danışman Adı
Campaign Naming By,Kampanya Adlandırma
Course Code,Kurs kodu
Aerospace,Uzay
Distribute Charges Based On,Masraflara Göre Ücretleri Dağıt
Supplier Scorecard Scoring Criteria,Tedarikçi Puan Kartı Puanlama Kriterleri
Stock,Stok
Receipt Document Type,Makbuz Türü
Classification of Customers by region,Müşterilerin bölgelere göre sınıflandırılması
Billable,Faturalandırılabilir
Government,hükümet
"Create Employee records to manage leaves, expense claims and payroll","İzinleri, harcama taleplerini ve bordroları yönetmek için Çalışan kayıtları oluşturun"
Point-of-Sale,Satış noktası
User {0} is already assigned to Healthcare Practitioner {1},{0} kullanıcısı zaten {1} Sağlık Hizmetleri Pratisyenine atandı
Standard Buying,Standart Alış
Apprentice,Çırak
Add Timesheets,Zaman Çizelgesi Ekle
"Number of new Account, it will be included in the account name as a prefix","Yeni Hesap Sayısı, önek olarak hesap adına dahil edilecektir"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Taşeronluk Satınalma Fişi için zorunlu Tedarikçi Deposu
Please enter Preferred Contact Email,Lütfen Tercih Edilen İletişim E-postasını girin
Normal,Normal
Customer POS Id,Müşteri POS No
Weight Per Unit,Birim Başına Ağırlık
Child nodes can be only created under 'Group' type nodes,Alt düğümler yalnızca &#39;Grup&#39; tür düğümleri altında oluşturulabilir
(including),(dahil olmak üzere)
Requested,Talep edilen
Item {0} is not a stock Item,{0} kalemi bir hisse senedi değildir
Multi Currency,Çoklu parabirim
Write Off Difference Amount,Fark Tutarı
Item {0} is disabled,{0} öğesi devre dışı
Last Completion Date,Son Tamamlanma Tarihi
Fulfillment,yerine getirme
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Görev, arka plan işi olarak yapıldı. Arka planda işleme konusunda herhangi bir sorun olması durumunda, sistem bu Stok Mutabakatı ile ilgili bir yorum ekler ve Taslak aşamasına geri döner"
Total Order Considered,Düşünülen Toplam Sipariş
Optimize Route,Rotayı Optimize Et
Discount Percentage can be applied either against a Price List or for all Price List.,"İndirim Yüzdesi, bir Fiyat Listesi&#39;ne veya tüm Fiyat Listesi&#39;ne uygulanabilir."
Trainer Email,Eğitimci E-postası
Get from Patient Encounter,Hasta Karşılaşmasından Alın
Software Developer,Yazılım geliştirici
Sample Collection,Örnek koleksiyon
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Lütfen geri bildiriminizi &quot;Eğitim Geri Bildirimi&quot; ve ardından &quot;Yeni&quot; ye tıklayarak eğitimle paylaşın
Connecting to QuickBooks,QuickBooks&#39;a Bağlanma
Enrolling student,Kayıt öğrenci
Claimed,İddia Edilen
Leaves,Yapraklar
Salary breakup based on Earning and Deduction.,Kazanç ve Kesinti Maaş Dağılımı.
Salary Structure Missing,Maaş Yapısı Eksik
Action Field,Eylem alanı
Quotation Trends,Teklif Eğilimleri
Connect Amazon with ERPNext,Amazon&#39;u ERPNext ile bağlayın
Response and Resolution Time,Tepki ve Çözünürlük Zamanı
Collection Tier,Koleksiyon Katmanı
Guardian Of ,Koruyucusu
Payment Gateway Details,Ödeme Ağ Geçidi Detayları
Staffing Plan {0} already exist for designation {1},"{0} Personel Planı, {1} tanımı için zaten mevcut."
Website Warehouse,Web sitesi deposu
Rate With Margin,Marjlı Oranı
Salary Structure must be submitted before submission of Tax Ememption Declaration,Vergi İstisnası Beyannamesi sunulmadan önce Maaş Yapısı ibraz edilmelidir
Add Leads,Talep ekle
Reserve Warehouse,Yedek Depo
Payment Term Name,Ödeme Dönemi Adı
No Permission,İzin yok
Select Company...,Şirket Seçiniz ...
Use Naming Series,Adlandırma Serisini Kullan
Formula,formül
Action if Accumulated Monthly Budget Exceeded on Actual,Gerçekleşen Aylık Bütçe Aşıldıysa Yapılacak İşlem
Allow Encashment,Eklemeye İzin Ver
Project activity / task.,Proje etkinliği / görevi.
Bank Statement Transaction Invoice Item,Hesap özeti işlem faturası kalemi
Total Operating Cost,Toplam İşletme Maliyeti
Employee Onboarding Template,Çalışan İşe Alma Şablonu
Same Item,Aynı ürün
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Tek bir işlem için tutar, izin verilen maksimum tutarı aşıyor, işlemleri bölerek ayrı bir ödeme talimatı oluşturun"
Salary Slips Created,Maaş Fişleri Oluşturuldu
Lab Test(s) ,Laboratuvar testleri)
Party Details,Parti Detayları
Cost of Purchased Items,Satın Alınan Kalemlerin Maliyeti
All communications including and above this shall be moved into the new Issue,Bunun da dahil olmak üzere tüm iletişimleri yeni sayıya taşınacaktır.
Material Consumption for Manufacture,İmalat İçin Malzeme Tüketimi
Table for Item that will be shown in Web Site,Web Sitesinde Gösterilecek Öğe Tablosu
Restaurant Menu,Restoran menüsü
Purpose,amaç
Salary Structure Assignment for Employee already exists,Çalışan için Maaş Yapısı Ataması zaten var
Service Unit,Servis Birimi
Identification Document Number,Kimlik Belge Numarası
Additional Costs,Ek masraflar
"Parent Course (Leave blank, if this isn't part of Parent Course)","Veli Kursu (Bu, Veli Kursunun bir parçası değilse boş bırakın)"
Employee Education,Çalışan Eğitimi
Number of positions cannot be less then current count of employees,Pozisyon sayısı mevcut çalışan sayısından az olamaz
All Customer Groups,Tüm Müşteri Grupları
Buying Price List,Alış Fiyat Listesi
Finished Good Item Code,Bitmiş iyi ürün kodu
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,{0} tarihi için birden fazla mali yıl var. Lütfen Mali Yılda şirket ayarlayın
Available for use date is required,Kullanılabilir tarih tarihi gereklidir
Training Date,Eğitim tarihi
Reading Uploaded File,Yüklenen Dosyayı Okumak
Material Request,Malzeme talebi
Total Allocated Amount (Company Currency),Tahsis Edilen Toplam Tutar (Şirket Para Birimi)
Restaurant Order Entry Item,Restoran Sipariş Giriş Öğesi
Distance,Mesafe
Get financial breakup of Taxes and charges data by Amazon ,Vergilerin finansal olarak ayrılmasını sağlayın
Mileage,Kilometre
"For an item {0}, quantity must be positive number",{0} maddesi için miktar pozitif sayı olmalı
Item Cart,Ürün Sepeti
