Pension Funds,Pensioenfonds
Tax on flexible benefit,Belasting op buigsame voordeel
This is based on the Time Sheets created against this project,Dit is gebaseer op die tydskrifte wat teen hierdie projek geskep is
Buying Rate,Koopkoers
Type of Sample,Soort monster
Budget Accounts,Begrotingsrekeninge
Serial No {0} quantity {1} cannot be a fraction,Rekordnommer {0} hoeveelheid {1} kan nie &#39;n breuk wees nie
Stock In Hand,Voorraad in die hand
Wages,lone
No leave record found for employee {0} for {1},Geen verlofrekord vir werknemer {0} vir {1} gevind nie
Accounts Receivable Unpaid Account,Rekeninge Ontvangbare Onbetaalde Rekening
SGST Account,SGST-rekening
Half Day Date should be in between Work From Date and Work End Date,Halfdag Datum moet tussen werk van datum en werk einddatum wees
Applicable in the case of Employee Onboarding,Toepaslik in die geval van werknemer aan boord
Specified BOM {0} does not exist for Item {1},Gespesifiseerde BOM {0} bestaan nie vir Item {1}
Company (not Customer or Supplier) master.,Maatskappy (nie kliënt of verskaffer) meester.
Sales Invoice Series,Verkoopfaktuurreeks
Asset Movement record {0} created,Batebewegingsrekord {0} geskep
Test Created,Toets geskep
Term Start Date,Termyn Begindatum
Appointment {0} and Sales Invoice {1} cancelled,Aanstelling {0} en Verkoopsfaktuur {1} gekanselleer
Vehicle Number,Voertuignommer
Your email address...,Jou eposadres...
Include Default Book Entries,Sluit standaard boekinskrywings in
Activity Type,Aktiwiteitstipe
Get Advances Paid,Kry vooruitbetalings betaal
Gain/Loss Account on Asset Disposal,Wins / Verliesrekening op Bateverkope
Voucher No,Voucher Nr
Reorder level based on Warehouse,Herbestel vlak gebaseer op Warehouse
"Stopped Work Order cannot be cancelled, Unstop it first to cancel",Gestopte werkbestelling kan nie gekanselleer word nie. Ontspan dit eers om te kanselleer
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Reeksnommers benodig vir Item {1}. U het {2} verskaf.
Customer Primary Contact,Kliënt Primêre Kontak
BOM Detail No,BOM Detail No
Cash In Hand,Kontant In Hand
The holiday on {0} is not between From Date and To Date,Die vakansie op {0} is nie tussen die datum en die datum nie
Lead must be set if Opportunity is made from Lead,Lood moet gestel word indien Geleentheid van Lood gemaak word
Account with existing transaction can not be converted to group.,Rekening met bestaande transaksie kan nie na groep omskep word nie.
Timesheet {0} is already completed or cancelled,Rooster {0} is reeds voltooi of gekanselleer
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standaard bepalings en voorwaardes wat by verkope en aankope gevoeg kan word. Voorbeelde: 1. Geldigheid van die aanbod. 1. Betalingsvoorwaardes (Vooraf, Op Krediet, Voorskotte, ens.). 1. Wat is ekstra (of betaalbaar deur die kliënt). 1. Veiligheid / gebruik waarskuwing. 1. Waarborg indien enige. 1. Retourbeleid. 1. Voorwaardes van verskeping, indien van toepassing. 1. Maniere om geskille, skadeloosstelling, aanspreeklikheid, ens. Aan te spreek. 1. Adres en kontak van u maatskappy."
Leave Status Notification,Verlofstatus kennisgewing
Designation Skill,Aanwysingsvaardigheid
Quantity required for Item {0} in row {1},Hoeveelheid benodig vir item {0} in ry {1}
"To filter based on Party, select Party Type first","Om te filter gebaseer op Party, kies Party Type eerste"
No Salary Structure assigned for Employee {0} on given date {1},Geen Salarisstruktuur toegeken vir Werknemer {0} op gegewe datum {1}
Number,aantal
Separate course based Group for every Batch,Afsonderlike kursusgebaseerde groep vir elke groep
Require Lab Test Approval,Vereis laboratoriumtoetsgoedkeuring
Update Clearance Date,Dateer Opruimingsdatum
Import Chart of Accounts from a csv file,Voer die grafiek van rekeninge van &#39;n CSV-lêer in
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Ondersteuning vir publieke artikels word verval. Stel asseblief &#39;n privaat program op, vir meer besonderhede, verwys gebruikershandleiding"
Signed,onderteken
Terms and Conditions1,Terme en Voorwaardes1
Please select Employee Record first.,Kies asseblief Werknemerrekord eerste.
Password policy for Salary Slips is not set,Wagwoordbeleid vir Salarisstrokies is nie ingestel nie
Result HTML,Resultaat HTML
Ignore holidays,Ignoreer vakansiedae
Linked Soil Texture,Gekoppelde Grond Tekstuur
This is based on logs against this Vehicle. See timeline below for details,Dit is gebaseer op logs teen hierdie Voertuig. Sien die tydlyn hieronder vir besonderhede
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Nood kontak
Authorization URL,Magtigings-URL
On Leave,Op verlof
Show a slideshow at the top of the page,Wys &#39;n skyfievertoning bo-aan die bladsy
Payer Settings,Betaler instellings
Set Tax Rule for shopping cart,Stel belastingreël vir inkopiesier
In Production,In produksie
Payment References,Betaling Verwysings
Valid Till,Geldig tot
{0}: From {0} of type {1},{0}: Vanaf {0} van tipe {1}
Project Name,Projek Naam
Stock Qty,Voorraad Aantal
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Kind Item moet nie &#39;n produkbond wees nie. Verwyder asseblief item `{0}` en stoor
Response Result Key Path,Reaksie Uitslag Sleutel Pad
Fully Sponsored,Volgeborg
Not permitted. Please disable the Service Unit Type,Nie toegelaat. Skakel asseblief die dienseenheidstipe uit
Offline POS Settings,Vanlyn POS-instellings
Calculations,berekeninge
Material Requested,Materiaal aangevra
Reference Row,Verwysingsreeks
Annual Allocation,Jaarlikse toekenning
Subcontract,subkontrak
Valuation type charges can not marked as Inclusive,Waardasietoelae kan nie as Inklusief gemerk word nie
Account {0}: Parent account {1} does not belong to company: {2},Rekening {0}: Ouerrekening {1} behoort nie aan maatskappy nie: {2}
Failed to login,Kon nie inteken nie
Items and Pricing,Items en pryse
Payment Terms Template,Betalingsvoorwaardes-sjabloon
Previous Work Experience,Vorige werkservaring
Program,program
Healthcare,Gesondheidssorg
Complaint,klagte
Restrict to Countries,Beperk tot lande
Item Manager,Itembestuurder
Currency of the Closing Account must be {0},Geld van die sluitingsrekening moet {0} wees
Opening Invoice Item,Invoer faktuur item oopmaak
Plan material for sub-assemblies,Beplan materiaal vir sub-gemeentes
Hardware,Hardware
Action if Annual Budget Exceeded on MR,Aksie as jaarlikse begroting oorskry op MR
Advance Amount,Voorskotbedrag
Against Sales Invoice Item,Teen Verkoopfaktuur Item
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Sluit Item in Vervaardiging in
Check in (group),Check in (groep)
Do not show any symbol like $ etc next to currencies.,Moenie enige simbool soos $ ens langs die geldeenhede wys nie.
Salary Component Type,Salaris Komponent Tipe
The shareholder does not belong to this company,Die aandeelhouer behoort nie aan hierdie maatskappy nie
Day(s) after the end of the invoice month,Dag (en) na die einde van die faktuur maand
Vehicle Type,Voertuigtipe
Healthcare Administrator,Gesondheidsorgadministrateur
Single Transaction Threshold,Enkel Transaksiedrempel
Broadcasting,uitsaai
Post Title Key,Pos Titel Sleutel
Customer Primary Address,Primêre adres van die kliënt
Please select batches for batched item ,Kies asseblief bondels vir batch item
Min Qty,Min hoeveelheid
Payment Deductions or Loss,Betaling aftrekkings of verlies
On Item Quantity,Op Item Hoeveelheid
Replace BOM and update latest price in all BOMs,Vervang BOM en verander nuutste prys in alle BOM&#39;s
Both Trial Period Start Date and Trial Period End Date must be set,Beide proefperiode begin datum en proeftydperk einddatum moet ingestel word
No time sheets,Geen tydskrifte nie
Statement Header Mapping,Statement Header Mapping
Mark Half Day,Merk Halfdag
Material Transfer for Manufacture,Materiaal Oordrag vir Vervaardiging
Block Supplier,Blokverskaffer
Please enter Woocommerce Server URL,Voer asseblief die Woocommerce-bediener-URL in
From Place,Van Plek
No contacts with email IDs found.,Geen kontakte met e-pos ID&#39;s gevind nie.
Consumption Invoiced,Verbruik gefaktureer
Requested Quantity,Gevraagde Hoeveelheid
Exit,uitgang
Dispatch Information,Versending Inligting
Basic Amount (Company Currency),Basiese Bedrag (Maatskappy Geld)
Selling Settings,Verkoop instellings
A question must have more than one options,&#39;N Vraag moet meer as een opsie hê
Please set the Date Of Joining for employee {0},Stel asseblief die datum van aansluiting vir werknemer {0}
About your company,Oor jou maatskappy
Fiscal Year {0} does not exist,Fiskale jaar {0} bestaan nie
Leave Application,Verlaat aansoek
Maintenance Log,Onderhoud Log
Invalid Posting Time,Ongeldige plasingstyd
Discount,afslag
Redeem Loyalty Points,Los lojaliteitspunte in
Quotation Series,Kwotasie Reeks
Occupation,Beroep
Opening Stock,Openingsvoorraad
Supplier Score,Verskaffer telling
Only show Items from these Item Groups,Wys slegs Items uit hierdie Itemgroepe
Time In Mins,Tyd in myne
Item {0} does not exist in the system or has expired,Item {0} bestaan nie in die stelsel nie of het verval
Price Discount Scheme,Prys afslagskema
Hyper,Hyper
What does it do?,Wat doen dit?
Sales Invoice Trends,Verkope faktuur neigings
Payment Entries,Betalingsinskrywings
Class / Percentage,Klas / Persentasie
Electronic Invoice Register,Elektroniese faktuurregister
Is Return (Credit Note),Is Teruggawe (Kredietnota)
Lab Test Sample,Lab Test Voorbeeld
status html,status html
"For e.g. 2012, 2012-13","Vir bv. 2012, 2012-13"
disabled user,gestremde gebruiker
ES,ES
Warehouse Type,Warehouse Type
Quick Journal Entry,Quick Journal Entry
Consumed Amount,Verbruik Bedrag
Already completed,Reeds afgehandel
Pending Amount,Hangende bedrag
Warn RFQs,Waarsku RFQs
Lab Prescription,Lab Voorskrif
USD,dollar
"Asset {0} cannot be scrapped, as it is already {1}","Bate {0} kan nie geskrap word nie, want dit is reeds {1}"
Departure Time,Vertrektyd
Donor Type,Skenker tipe
Monthly Sales Target,Maandelikse verkoopsdoel
Redemption Date,Aflossingsdatum
Approving User cannot be same as user the rule is Applicable To,Gebruiker kan nie dieselfde wees as gebruiker waarvan die reël van toepassing is op
Fee Schedule Student Group,Fooi Bylae Studentegroep
 From Date can not be greater than To Date,Vanaf datum kan nie groter wees as Datum
Please specify a {0},Spesifiseer asseblief &#39;n {0}
To GSTIN,GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Die Termyn Einddatum kan nie vroeër wees as die Termyn Begindatum nie. Korrigeer asseblief die datums en probeer weer.
No Employee Found,Geen werknemer gevind nie
Exemption Category,Vrystellingskategorie
Create Disbursement Entry,Skep Uitbetalingsinskrywing
Purpose must be one of {0},Doel moet een van {0} wees
Last Activity ,Laaste Aktiwiteit
A link to all the Locations in which the Crop is growing,&#39;N Skakel na al die plekke waar die gewas groei
Course Enrollment {0} does not exists,Kursusinskrywing {0} bestaan nie
Maximum leave allowed in the leave type {0} is {1},Maksimum verlof toegelaat in die verlof tipe {0} is {1}
Qty to Transfer,Hoeveelheid om te oordra
Please identify/create Account (Group) for type - {0},Identifiseer / skep rekening (Groep) vir tipe - {0}
Please set default customer group and territory in Selling Settings,Stel asseblief die standaardkliëntegroep en -gebied in Verkoopinstellings
There isn't any item variant for the selected item,Daar is geen item variant vir die gekose item nie
Contract Details,Kontrak Besonderhede
"Select, to make the customer searchable with these fields","Kies, om die kliënt soekbaar te maak met hierdie velde"
Total Actual,Totaal Werklik
Change Code,Verander kode
Planting Area,Plantarea
Employee Grade (optional),Werknemersgraad (opsioneel)
Cost Center For Item with Item Code ',Kostesentrum vir item met itemkode &#39;
Default Stock UOM,Standaard Voorraad UOM
Rent Cost,Huur koste
Training Result,Opleidingsresultaat
Work Order not created,Werkorde is nie geskep nie
Meter,meter
Hero Image,Hero Image
No Items to pack,Geen items om te pak nie
Delivery warehouse required for stock item {0},Afleweringspakhuis benodig vir voorraaditem {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Gereserveerde pakhuis is verpligtend vir Item {0} in Grondstowwe wat verskaf word
Target Location is required for the asset {0},Teiken Plek is nodig vir die bate {0}
SGST Amount,SGST Bedrag
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Rekeningbalans reeds in Krediet, jy mag nie &#39;Balans moet wees&#39; as &#39;Debiet&#39; stel nie."
GSTR 3B Report,GSTR 3B Verslag
Rate & Amount,Tarief en Bedrag
Debit To is required,Debiet aan is nodig
Item Name,Item naam
Cost of New Purchase,Koste van nuwe aankope
Additional information regarding the customer.,Bykomende inligting rakende die kliënt.
Wrong,Verkeerde
Batch Inventory,Batch Inventory
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Die salarisstrokie wat per e-pos aan die werknemer gestuur word, sal deur die wagwoord beskerm word. Die wagwoord sal gegenereer word op grond van die wagwoordbeleid."
Received Amount,Ontvangsbedrag
Is Sales Item,Is verkoopitem
Generate Text File,Genereer tekslêer
Variants,variante
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Koste sal proporsioneel verdeel word op grond van die hoeveelheid of hoeveelheid van die item, soos per u keuse"
Pending activities for today,Hangende aktiwiteite vir vandag
Student Batch,Studentejoernaal
Valuation Rate required for Item in row {0},Waardasietempo benodig vir item in ry {0}
Base Hour Rate(Company Currency),Basissuurkoers (Maatskappy Geld)
Printing Details,Drukbesonderhede
Manufacturing Manager,Vervaardiging Bestuurder
Job Card,Werkkaart
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.","Stelsel gebruiker (login) ID. As dit gestel word, word dit vir alle HR-vorms verstek."
All Item Groups,Alle Itemgroepe
Select Status,Kies Status
Fixed rate,Vaste koers
Airline,lugredery
Term Details,Termyn Besonderhede
Acquisition Date,Verkrygingsdatum
Send To,Stuur na
Average Rate,Gemiddelde koers
Set Qty in Transactions based on Serial No Input,Stel aantal in Transaksies gebaseer op Serial No Input
Advance account currency should be same as company currency {0},Vorderingsrekening geldeenheid moet dieselfde wees as maatskappy geldeenheid {0}
Customize Homepage Sections,Pas Tuisblad-afdelings aan
October,Oktober
Hide Customer's Tax Id from Sales Transactions,Versteek Kliënt se Belasting-ID van Verkoopstransaksies
Invalid GSTIN! A GSTIN must have 15 characters.,Ongeldige GSTIN! &#39;N GSTIN moet 15 karakters hê.
Pricing Rule {0} is updated,Prysreël {0} is opgedateer
Contract Fulfilment Checklist,Kontrak Vervulling Checklist
All Products,Alle produkte
Product Search,Produksoektog
Net Pay,Netto salaris
Total Invoiced Amt,Totaal gefaktureerde Amt
Consumables Invoice Separately,Verbruiksgoedere Faktuur Afsonderlik
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Begroting kan nie toegeken word teen Groeprekening {0}
Rate and Amount,Tarief en Bedrag
Check availability,Gaan beskikbaarheid
Cannot find Item with this barcode,Kan nie Item met hierdie strepieskode vind nie
Default Invoice Naming Series,Verstekfaktuur Naming Series
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","As u {0} {1} hoeveelhede van die item <b>{2}</b> , sal die skema <b>{3}</b> op die item toegepas word."
Student Siblings,Student broers en susters
Journal Entry {0} does not have account {1} or already matched against other voucher,Joernaalinskrywing {0} het nie rekening {1} of alreeds teen ander geskenkbewyse aangepas nie
Legal Expenses,Regskoste
Checkout,Uitteken
Membership Details,Lidmaatskapbesonderhede
Please set the Customer Address,Stel asseblief die Kliëntadres in
List your products or services that you buy or sell.,Lys jou produkte of dienste wat jy koop of verkoop.
Income,Inkomste
Rate at which this tax is applied,Koers waarteen hierdie belasting toegepas word
Payment Receipt Note,Betaling Ontvangst Nota
In Percentage,In Persentasie
Quotations received from Suppliers.,Aanhalings ontvang van verskaffers.
Reference Due Date,Verwysingsdatum
Lead Time Days,Leidyddae
Revision and Revised On,Hersiening en Hersien On
{0} against Purchase Order {1},{0} teen aankooporder {1}
Fee Records Created - {0},Fooi Rekords Geskep - {0}
Note: {0},Nota: {0}
Serial No {0} has already been received,Rekeningnommer {0} is reeds ontvang
Leave Settings,Verlaat instellings
Issue Credit Note,Uitgawe Kredietnota
Batch Item Expiry Status,Batch Item Vervaldatum
Stock Transactions,Voorraadtransaksies
Event Location,Gebeurtenis Plek
Motion Picture & Video,Motion Picture &amp; Video
Row Spacing,Ry Spacing
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Rekeningnommer vir rekening {0} is nie beskikbaar nie. <br> Stel asseblief u Kaart van Rekeninge korrek op.
Starting location from left edge,Begin plek vanaf linkerkant
HR Settings,HR instellings
Appointments,aanstellings
Asset {0} created,Bate {0} geskep
Please enter Planned Qty for Item {0} at row {1},Tik asseblief Beplande hoeveelheid vir item {0} by ry {1}
Select Batch,Kies &#39;n bondel
Item Description,Item Beskrywing
Account Name,Rekeningnaam
Please enter API Consumer Key,Voer asseblief die API Verbruikers Sleutel in
Products per Page,Produkte per bladsy
Duplicate {0} found in the table,Duplikaat {0} gevind in die tabel
Default Distance Unit,Standaard Afstands eenheid
Consume Stock,Verbruik Voorraad
Key Performance Area,Sleutelprestasie-area
S.O. No.,So nee
{0} not found for item {1},{0} nie gevind vir item {1}
Set Source Warehouse,Stel Source Warehouse
Out Patient Settings,Uit pasiënt instellings
Insurance End Date,Versekering Einddatum
Branch Code,Takkode
Time To Respond,Tyd om te reageer
User Forum,Gebruikers Forum
Landed Cost Item,Landed Koste Item
The seller and the buyer cannot be the same,Die verkoper en die koper kan nie dieselfde wees nie
Copied From,Gekopieer vanaf
Available,beskikbaar
Sales Person Targets,Verkope persoon teikens
BOM Operation,BOM Operasie
O-,O-
Interest Amount,Rente Bedrag
Origin,oorsprong
Add a new address,Voeg &#39;n nuwe adres by
Write Off Account,Skryf af Rekening
Proposal/Price Quote,Voorstel / prys kwotasie
Associate,Mede
Please input all required Result Value(s),Voer asseblief alle vereiste resultaatwaarde (s) in
Purchase Order Item Supplied,Aankoop bestelling Item verskaf
Item {0} is not a serialized Item,Item {0} is nie &#39;n seriële item nie
GoCardless Customer,GoCardless kliënt
Leave Balance,Verlofbalans
Maintenance Schedule {0} exists against {1},Onderhoudskedule {0} bestaan teen {1}
Supervisor Name,Toesighouer Naam
Campaign Naming By,Veldtog naam deur
Course Code,Kursuskode
Aerospace,Ruimte
Distribute Charges Based On,Versprei koste gebaseer op
Supplier Scorecard Scoring Criteria,Verskaffer Scorecard Scoring Criteria
Stock,Stock
Receipt Document Type,Kwitansie Dokument Tipe
Classification of Customers by region,Klassifikasie van kliënte volgens streek
Billable,factureerbare
Government,regering
"Create Employee records to manage leaves, expense claims and payroll","Skep werknemerrekords om blare, koste-eise en betaalstaat te bestuur"
Point-of-Sale,Punt van koop
User {0} is already assigned to Healthcare Practitioner {1},Gebruiker {0} is reeds aan Gesondheidsorgpraktisyn toegewys {1}
Standard Buying,Standaard koop
Apprentice,vakleerling
Add Timesheets,Voeg Timesheets by
"Number of new Account, it will be included in the account name as a prefix","Aantal nuwe rekeninge, dit sal as &#39;n voorvoegsel in die rekeningnaam ingesluit word"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Verskaffer Pakhuis verplig vir onderaanneming Aankoop Ontvangs
Please enter Preferred Contact Email,Voer asseblief voorkeur kontak e-pos in
Normal,Normaal
Customer POS Id,Kliënt Pos ID
Weight Per Unit,Gewig per eenheid
Child nodes can be only created under 'Group' type nodes,Kinder nodusse kan slegs geskep word onder &#39;Groep&#39; tipe nodusse
(including),(Insluitend)
Requested,versoek
Item {0} is not a stock Item,Item {0} is nie &#39;n voorraaditem nie
Multi Currency,Multi Geld
Write Off Difference Amount,Skryf af Verskilbedrag
Item {0} is disabled,Item {0} is gedeaktiveer
Last Completion Date,Laaste voltooiingsdatum
Fulfillment,vervulling
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Die taak is as agtergrondwerk beskou. As daar &#39;n probleem is met die verwerking in die agtergrond, sal die stelsel &#39;n kommentaar lewer oor die fout op hierdie Voorraadversoening en terugkeer na die Konsep stadium"
Total Order Considered,Totale bestelling oorweeg
Optimize Route,Optimeer roete
Discount Percentage can be applied either against a Price List or for all Price List.,Afslagpersentasie kan óf teen &#39;n Pryslys óf vir alle Pryslys toegepas word.
Trainer Email,Trainer E-pos
Get from Patient Encounter,Kry van Patient Encounter
Software Developer,Sagteware ontwikkelaar
Sample Collection,Voorbeeldinvordering
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Deel asseblief u terugvoering aan die opleiding deur te kliek op &#39;Training Feedback&#39; en dan &#39;New&#39;
Connecting to QuickBooks,Koppel aan QuickBooks
Enrolling student,Inskrywing van student
Claimed,beweer
Leaves,blare
Salary breakup based on Earning and Deduction.,Salarisuitval gebaseer op verdienste en aftrekking.
Salary Structure Missing,Salarisstruktuur ontbreek
Action Field,Aksie Veld
Quotation Trends,Aanhalingstendense
Connect Amazon with ERPNext,Koppel Amazon met ERPNext
Response and Resolution Time,Reaksie en Resolusie Tyd
Collection Tier,Collection Tier
Guardian Of ,Voog van
Payment Gateway Details,Betaling Gateway Besonderhede
Staffing Plan {0} already exist for designation {1},Personeelplan {0} bestaan reeds vir aanwysing {1}
Website Warehouse,Website Warehouse
Rate With Margin,Beoordeel Met Marge
Salary Structure must be submitted before submission of Tax Ememption Declaration,Salarisstruktuur moet ingedien word voor die indiening van belastingvrystelling verklaring
Add Leads,Voeg Leads by
Reserve Warehouse,Reserve Warehouse
Payment Term Name,Betaling Termyn Naam
No Permission,Geen toestemming nie
Select Company...,Kies Maatskappy ...
Use Naming Series,Gebruik Naming Series
Formula,formule
Action if Accumulated Monthly Budget Exceeded on Actual,Aksie indien geakkumuleerde maandelikse begroting oorskry op werklike
Allow Encashment,Laat Encashment toe
Project activity / task.,Projek aktiwiteit / taak.
Bank Statement Transaction Invoice Item,Bankstaat Transaksie Faktuur Item
Total Operating Cost,Totale bedryfskoste
Employee Onboarding Template,Werknemer Aan boord Sjabloon
Same Item,Dieselfde Item
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Bedrag vir &#39;n enkele transaksie oorskry die maksimum toegelate bedrag, skep &#39;n aparte betalingsbevel deur die transaksies te verdeel"
Salary Slips Created,Salarisstrokies geskep
Lab Test(s) ,Lab Test (s)
Party Details,Party Besonderhede
Cost of Purchased Items,Koste van gekoopte items
All communications including and above this shall be moved into the new Issue,Alle kommunikasie insluitend en hierbo sal in die nuwe uitgawe geskuif word
Material Consumption for Manufacture,Materiële Verbruik vir Vervaardiging
Table for Item that will be shown in Web Site,Tabel vir Item wat in die webwerf gewys word
Restaurant Menu,Restaurant Menu
Purpose,doel
Salary Structure Assignment for Employee already exists,Salarisstruktuuropdrag vir Werknemer bestaan reeds
Service Unit,Diens Eenheid
Identification Document Number,Identifikasienommer
Additional Costs,Bykomende koste
"Parent Course (Leave blank, if this isn't part of Parent Course)","Ouerkursus (los blanko, indien dit nie deel van die ouerkursus is nie)"
Employee Education,Werknemersonderwys
Number of positions cannot be less then current count of employees,Aantal posisies kan nie minder wees as die huidige telling van werknemers nie
All Customer Groups,Alle kliënte groepe
Buying Price List,Kooppryslys
Finished Good Item Code,Voltooide Goeie Item Kode
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Verskeie fiskale jare bestaan vir die datum {0}. Stel asseblief die maatskappy in die fiskale jaar
Available for use date is required,Beskikbaar vir gebruik datum is nodig
Training Date,Opleidingsdatum
Reading Uploaded File,Lees opgelaaide lêer
Material Request,Materiaal Versoek
Total Allocated Amount (Company Currency),Totale toegewysde bedrag (Maatskappy Geld)
Restaurant Order Entry Item,Restaurant bestellinginskrywing item
Distance,afstand
Get financial breakup of Taxes and charges data by Amazon ,Kry finansiële ontbinding van Belasting en koste data deur Amazon
Mileage,kilometers
"For an item {0}, quantity must be positive number",Vir &#39;n item {0} moet die hoeveelheid positief wees
Item Cart,Item winkelwagen
Payment Entries {0} are un-linked,Betalingsinskrywings {0} is nie gekoppel nie
Open Notifications,Maak kennisgewings oop
Successfully created payment entries,Suksesvolle betalinginskrywings geskep
Mg/K,Mg / K
Has Serial No,Het &#39;n serienummer
Manufacturing User,Vervaardigingsgebruiker
Ledger,grootboek
Loan,lening
Fuel UOM,Brandstof UOM
Support,ondersteuning
Invalid Company for Inter Company Transaction.,Ongeldige maatskappy vir intermaatskappytransaksie.
Fixed Asset Depreciation Settings,Vaste bate Waardevermindering instellings
Department and Grade,Departement en Graad
Cheques Required,Kontrole vereis
Do Not Contact,Moenie kontak maak nie
Update Billed Amount in Sales Order,Werk gefaktureerde bedrag in verkoopsbestelling op
Meal Preference,Maaltydvoorkeur
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Selfs as daar verskeie prysreëls met die hoogste prioriteit is, word die volgende interne prioriteite toegepas:"
Employee {0} is not active or does not exist,Werknemer {0} is nie aktief of bestaan nie
List of all share transactions,Lys van alle aandeel transaksies
Sales Defaults,Verkoopsvoorwaardes
Overlap in scoring between {0} and {1},Oorvleuel in die telling tussen {0} en {1}
Weightage,weightage
Create New Payment/Journal Entry,Skep Nuwe Betaling / Joernaal Inskrywing
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
