DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,یہ اس سپلائر خلاف لین دین کی بنیاد پر ہے. تفصیلات کے لئے نیچے ٹائم لائن ملاحظہ کریں
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,کام آرڈر کے لئے اضافی پیداوار کا فیصد
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,میٹ - ایل سی وی - .YYYY-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,قانونی
DocType: Sales Invoice,Transport Receipt Date,ٹرانسمیشن رسید تاریخ
DocType: Shopify Settings,Sales Order Series,سیلز آرڈر سیریز
DocType: Vital Signs,Tongue,زبان
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},اصل قسم ٹیکس صف میں شے کی درجہ بندی میں شامل نہیں کیا جا سکتا {0}
DocType: Allowed To Transact With,Allowed To Transact With,کے ساتھ منتقل کرنے کی اجازت ہے
DocType: Bank Guarantee,Customer,کسٹمر
DocType: Purchase Receipt Item,Required By,طرف سے کی ضرورت
DocType: Delivery Note,Return Against Delivery Note,ترسیل کے نوٹ خلاف واپسی
DocType: Asset Category,Finance Book Detail,فنانس کتاب کی تفصیل
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,تمام فرسودگی کو بک کیا گیا ہے۔
DocType: Purchase Order,% Billed,٪ بل
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,پے رول نمبر
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),زر مبادلہ کی شرح کے طور پر ایک ہی ہونا چاہیے {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA چھوٹ
DocType: Sales Invoice,Customer Name,گاہک کا نام
DocType: Vehicle,Natural Gas,قدرتی گیس
DocType: Project,Message will sent to users to get their status on the project,صارفین کو پروجیکٹ کی حیثیت حاصل کرنے کے ل Message پیغام بھیجا جائے گا۔
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},بینک اکاؤنٹ کے طور پر نامزد نہیں کیا جا سکتا {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,تنخواہ کی ساخت کے مطابق HRA
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,سربراہان (یا گروپ) جس کے خلاف اکاؤنٹنگ اندراجات بنا رہے ہیں اور توازن برقرار رکھا جاتا ہے.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),بقایا {0} نہیں ہو سکتا کے لئے صفر سے بھی کم ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,سروس سٹاپ کی تاریخ خدمت کی تاریخ سے پہلے نہیں ہوسکتی ہے
DocType: Manufacturing Settings,Default 10 mins,10 منٹس پہلے سے طے شدہ
DocType: Leave Type,Leave Type Name,قسم کا نام چھوڑ دو
apps/erpnext/erpnext/templates/pages/projects.js,Show open,کھلی دکھائیں
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,سیریز کو کامیابی سے حالیہ
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,اس کو دیکھو
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} قطار میں {1}
DocType: Asset Finance Book,Depreciation Start Date,قیمت کی قیمت کی قیمت
DocType: Pricing Rule,Apply On,پر لگائیں
DocType: Item Price,Multiple Item prices.,ایک سے زیادہ اشیاء کی قیمتوں.
,Purchase Order Items To Be Received,خریداری کے آرڈر اشیا موصول ہونے
DocType: SMS Center,All Supplier Contact,تمام سپلائر سے رابطہ
DocType: Support Settings,Support Settings,سپورٹ ترتیبات
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,جعلی اسناد
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),آئی ٹی سی دستیاب ہے (چاہے وہ پوری طرح سے ہو)
DocType: Amazon MWS Settings,Amazon MWS Settings,ایمیزون MWS ترتیبات
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,پروسیسنگ واؤچرز
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,صف # {0}: شرح کے طور پر ایک ہی ہونا چاہیے {1}: {2} ({3} / {4})
,Batch Item Expiry Status,بیچ آئٹم ختم ہونے کی حیثیت
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,بینک ڈرافٹ
DocType: Journal Entry,ACC-JV-.YYYY.-,اے اے اے جی وی- .YYYY-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,کل دیر سے اندراجات۔
DocType: Mode of Payment Account,Mode of Payment Account,ادائیگی اکاؤنٹ کے موڈ
apps/erpnext/erpnext/config/healthcare.py,Consultation,مشاورت
DocType: Accounts Settings,Show Payment Schedule in Print,پرنٹ میں ادائیگی شیڈول دکھائیں
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,آئٹم کے متغیرات کو اپ ڈیٹ کیا گیا۔
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,سیلز اور واپسی
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,دکھائیں متغیرات
DocType: Academic Term,Academic Term,تعلیمی مدت
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,ملازم ٹیکس چھوٹ ذیلی زمرہ
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',براہ کرم کمپنی &#39;٪ s&#39; پر ایک ایڈریس متعین کریں
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,مواد
DocType: Opening Invoice Creation Tool Item,Quantity,مقدار
,Customers Without Any Sales Transactions,گاہکوں کو کسی بھی سیلز کے تبادلے کے بغیر
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,میز اکاؤنٹس خالی نہیں رہ سکتی.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,تخمینی آمد کے اوقات کا حساب کرنے کے لئے گوگل میپس ڈائرکشن API کا استعمال کریں۔
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),قرضے (واجبات)
DocType: Patient Encounter,Encounter Time,وقت کا مقابلہ
DocType: Staffing Plan Detail,Total Estimated Cost,کل متوقع لاگت
DocType: Employee Education,Year of Passing,پاسنگ کا سال
DocType: Routing,Routing Name,روٹنگ کا نام
DocType: Item,Country of Origin,پیدائشی ملک
DocType: Soil Texture,Soil Texture Criteria,مٹی بنانا معیار
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,اسٹاک میں
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,بنیادی رابطے کی تفصیلات
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,کھولیں مسائل
DocType: Production Plan Item,Production Plan Item,پیداوار کی منصوبہ بندی آئٹم
DocType: Leave Ledger Entry,Leave Ledger Entry,لیجر انٹری چھوڑ دیں۔
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},صارف {0} پہلے ہی ملازم کو تفویض کیا جاتا ہے {1}
DocType: Lab Test Groups,Add new line,نئی لائن شامل کریں
apps/erpnext/erpnext/utilities/activation.py,Create Lead,لیڈ بنائیں۔
DocType: Production Plan,Projected Qty Formula,متوقع مقدار کا فارمولا۔
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,صحت کی دیکھ بھال
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),ادائیگی میں تاخیر (دن)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,ادائیگی شرائط سانچہ کی تفصیل
DocType: Hotel Room Reservation,Guest Name,مہمان کا نام
DocType: Delivery Note,Issue Credit Note,مسئلہ کریڈٹ نوٹ
DocType: Lab Prescription,Lab Prescription,لیب نسخہ
,Delay Days,تاخیر کے دن
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,سروس کے اخراجات
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},سیریل نمبر: {0} نے پہلے ہی فروخت انوائس میں محولہ ہے: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,انوائس
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,زیادہ سے زیادہ مستثنیٰ رقم
DocType: Purchase Invoice Item,Item Weight Details,آئٹم وزن کی تفصیلات
DocType: Asset Maintenance Log,Periodicity,مدت
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,مالی سال {0} کی ضرورت ہے
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,خالص منافع / نقصان
DocType: Employee Group Table,ERPNext User ID,ERPNext صارف ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,زیادہ سے زیادہ ترقی کے لئے پودوں کی صفوں کے درمیان کم از کم فاصلے
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,براہ کرم طے شدہ طریقہ کار حاصل کرنے کے لئے مریض کا انتخاب کریں۔
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,دفاع
DocType: Salary Component,Abbr,Abbr
DocType: Appraisal Goal,Score (0-5),اسکور (0-5)
DocType: Tally Migration,Tally Creditors Account,ٹیلی کے قرض دہندگان کا اکاؤنٹ۔
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},صف {0}: {1} {2} کے ساتھ مطابقت نہیں ہے {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,صف # {0}:
DocType: Timesheet,Total Costing Amount,کل لاگت رقم
DocType: Sales Invoice,Vehicle No,گاڑی نہیں
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,قیمت کی فہرست براہ مہربانی منتخب کریں
DocType: Accounts Settings,Currency Exchange Settings,کرنسی ایکسچینج کی ترتیبات
DocType: Work Order Operation,Work In Progress,کام جاری ہے
DocType: Leave Control Panel,Branch (optional),شاخ (اختیاری)
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,تاریخ منتخب کیجیے
DocType: Item Price,Minimum Qty ,کم از کم مقدار
DocType: Finance Book,Finance Book,فنانس کتاب
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC ENC-YYYY.-
DocType: Daily Work Summary Group,Holiday List,چھٹیوں فہرست
apps/erpnext/erpnext/config/quality_management.py,Review and Action,جائزہ اور ایکشن
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},اس ملازم کے پاس پہلے ہی ٹائم اسٹیمپ کے ساتھ لاگ ہے۔ {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,اکاؤنٹنٹ
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,قیمت کی فہرست فروخت
DocType: Patient,Tobacco Current Use,تمباکو موجودہ استعمال
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,فروخت کی شرح
DocType: Cost Center,Stock User,اسٹاک صارف
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + MG) / K
DocType: Delivery Stop,Contact Information,رابطے کی معلومات
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,کسی بھی چیز کی تلاش ...
DocType: Company,Phone No,فون نمبر
DocType: Delivery Trip,Initial Email Notification Sent,ابتدائی ای میل کی اطلاع بھیجا
DocType: Bank Statement Settings,Statement Header Mapping,بیان ہیڈر نقشہ جات
,Sales Partners Commission,سیلز شراکت دار کمیشن
DocType: Soil Texture,Sandy Clay Loam,سینڈی کلیے لوام
DocType: Purchase Invoice,Rounding Adjustment,راؤنڈنگ ایڈجسٹمنٹ
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,زیادہ سے زیادہ 5 حروف نہیں کر سکتے ہیں مخفف
DocType: Amazon MWS Settings,AU,اے
DocType: Payment Order,Payment Request,ادائیگی کی درخواست
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,گاہک کو تفویض وفادار پوائنٹس کے لاگ ان کو دیکھنے کے لئے.
DocType: Asset,Value After Depreciation,ہراس کے بعد ویلیو
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,متعلقہ
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,حاضری کی تاریخ ملازم کی میں شمولیت کی تاریخ سے کم نہیں ہو سکتا
DocType: Grading Scale,Grading Scale Name,گریڈنگ پیمانے نام
DocType: Employee Training,Training Date,تربیت کی تاریخ۔
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,صارفین کو مارکیٹ میں شامل کریں
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,یہ ایک جڑ اکاؤنٹ ہے اور میں ترمیم نہیں کیا جا سکتا.
DocType: POS Profile,Company Address,کمپنی ایڈریس
DocType: BOM,Operations,آپریشنز
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},کے لئے ڈسکاؤنٹ کی بنیاد پر اجازت مقرر نہیں کر سکتے ہیں {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,ای وے بل JSON ابھی سیلز ریٹرن کے لئے تیار نہیں کیا جاسکتا۔
DocType: Subscription,Subscription Start Date,سبسکرائب کریں شروع کی تاریخ
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,پہلے سے طے شدہ رسید کرنے والے اکاؤنٹس استعمال کرنے کے لئے مریضوں کو مقرر کرنے کے لئے تعیناتی چارجز کو لاگو نہیں کرتے.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name",دو کالموں، پرانے نام کے لئے ایک اور نئے نام کے لئے ایک کے ساتھ CSV فائل منسلک کریں
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,ایڈریس 2 سے
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,اعلامیہ سے تفصیلات حاصل کریں۔
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} میں کوئی فعال مالی سال نہیں.
DocType: Packed Item,Parent Detail docname,والدین تفصیل docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}",حوالہ: {0}، آئٹم کوڈ: {1} اور کسٹمر: {2}
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} والدین کی کمپنی میں موجود نہیں ہے
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,آزمائشی مدت کے اختتام تاریخ آزمائشی دورہ شروع ہونے سے پہلے نہیں ہوسکتی ہے
apps/erpnext/erpnext/utilities/user_progress.py,Kg,کلو
DocType: Tax Withholding Category,Tax Withholding Category,ٹیکس کو روکنے والے زمرہ
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV -YYYY-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},بوم ذیلی کنکریٹ کرنے والے آئٹم {0} کے لئے قطار {1} کے لئے مخصوص نہیں ہے.
DocType: Vital Signs,Reflexes,Reflexes
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} نتیجہ جمع کر دیا گیا
DocType: Item Attribute,Increment,اضافہ
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,کے لئے مدد کے نتائج
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,گودام منتخب کریں ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,ایڈورٹائزنگ
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,ایک ہی کمپنی ایک سے زیادہ بار داخل کیا جاتا ہے
DocType: Patient,Married,شادی
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},کی اجازت نہیں {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,سے اشیاء حاصل
DocType: Stock Entry,Send to Subcontractor,سب کنٹریکٹر کو بھیجیں۔
DocType: Purchase Invoice,Apply Tax Withholding Amount,ٹیکس کو ضائع کرنے کی رقم کا اطلاق
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,کل مکمل مقدار مقدار سے زیادہ نہیں ہوسکتی ہے۔
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},اسٹاک ترسیل کے نوٹ کے خلاف اپ ڈیٹ نہیں کیا جا سکتا {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,کریڈٹ کل رقم
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,کوئی آئٹم مندرج
DocType: Asset Repair,Error Description,خرابی کی تفصیل
DocType: Payment Reconciliation,Reconcile,مصالحت
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,گروسری
DocType: Quality Inspection Reading,Reading 1,1 پڑھنا
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,پنشن فنڈز
DocType: Exchange Rate Revaluation Account,Gain/Loss,فائدہ / نقصان
DocType: Crop,Perennial,پیدائش
DocType: Program,Is Published,شائع ہوا ہے۔
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,حوالگی کے نوٹ دکھائیں۔
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",اوور بلنگ کی اجازت دینے کے لئے ، اکاؤنٹس کی ترتیبات یا آئٹم میں &quot;اوور بلنگ الاؤنس&quot; کو اپ ڈیٹ کریں۔
DocType: Patient Appointment,Procedure,طریقہ کار
DocType: Accounts Settings,Use Custom Cash Flow Format,اپنی مرضی کیش فلو فارمیٹ استعمال کریں
DocType: SMS Center,All Sales Person,تمام فروخت شخص
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ماہانہ ڈسٹریبیوش ** آپ کو مہینوں بھر بجٹ / نشانے کی تقسیم سے آپ کو آپ کے کاروبار میں seasonality کے ہو تو میں مدد ملتی ہے.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,آئٹم نہیں ملا
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,تنخواہ ساخت لاپتہ
DocType: Lead,Person Name,شخص کا نام
,Supplier Ledger Summary,سپلائی لیجر کا خلاصہ۔
DocType: Sales Invoice Item,Sales Invoice Item,فروخت انوائس آئٹم
DocType: Quality Procedure Table,Quality Procedure Table,کوالٹی پروسیجر ٹیبل۔
DocType: Account,Credit,کریڈٹ
DocType: POS Profile,Write Off Cost Center,لاگت مرکز بند لکھیں
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",مثلا &quot;پرائمری سکول&quot; یا &quot;یونیورسٹی&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,اسٹاک کی رپورٹ
DocType: Warehouse,Warehouse Detail,گودام تفصیل
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,آخری کاربن چیک کی تاریخ آئندہ تاریخ نہیں ہوسکتی ہے۔
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,اصطلاح آخر تاریخ بعد میں جس چیز کی اصطلاح منسلک ہے کے تعلیمی سال کے سال آخر تاریخ سے زیادہ نہیں ہو سکتا ہے (تعلیمی سال {}). تاریخوں درست کریں اور دوبارہ کوشش کریں براہ مہربانی.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",&quot;فکسڈ اثاثہ ہے&quot; اثاثہ ریکارڈ کی شے کے خلاف موجود نہیں کے طور پر، انینترت ہو سکتا ہے
DocType: Delivery Trip,Departure Time,روانگی کا وقت
DocType: Vehicle Service,Brake Oil,وقفے تیل
DocType: Tax Rule,Tax Type,ٹیکس کی قسم
,Completed Work Orders,مکمل کام کے حکم
DocType: Support Settings,Forum Posts,فورم کے مراسلے
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",اس کام کو پس منظر کی نوکری کے طور پر ترتیب دیا گیا ہے۔ اگر پس منظر میں پروسیسنگ کے سلسلے میں کوئی مسئلہ پیش آرہا ہے تو ، یہ اسٹاک مفاہمت سے متعلق غلطی کے بارے میں کوئی تبصرہ شامل کرے گا اور مسودہ مرحلے میں واپس آجائے گا۔
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started",معذرت ، کوپن کوڈ کی توثیق شروع نہیں ہوئی ہے
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,قابل ٹیکس رقم
