DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Účet {0} sa pridal do podradenej spoločnosti {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Neplatné poverenia
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC k dispozícii (či už v plnej op časti)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Settings
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Spracovávajú sa poukazy
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,"Riadok # {0}: Cena musí byť rovnaké, ako {1}: {2} ({3} / {4})"
,Batch Item Expiry Status,Batch Item Zánik Status
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Návrh
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Celkový počet oneskorených zápisov
DocType: Mode of Payment Account,Mode of Payment Account,Způsob platby účtu
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konzultácia
DocType: Accounts Settings,Show Payment Schedule in Print,Zobraziť plán platieb v časti Tlač
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varianty položiek boli aktualizované
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Predaje a vrátenia
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Zobraziť Varianty
DocType: Academic Term,Academic Term,akademický Term
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Oslobodenie od dane pre zamestnancov
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Zadajte adresu spoločnosti &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Materiál
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Maximálny prínos zamestnanca {0} presahuje {1} sumou {2} zložky žiadosti o dávku v pomere k výške a predchádzajúce nárokovaná čiastka
DocType: Opening Invoice Creation Tool Item,Quantity,Množstvo
,Customers Without Any Sales Transactions,Zákazníci bez akýchkoľvek predajných transakcií
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Účty tabuľka nemôže byť prázdne.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Na výpočet odhadovaných časov príchodu použite rozhranie API služby Mapy Google
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Úvěry (závazky)
DocType: Patient Encounter,Encounter Time,Stretnutie s časom
DocType: Staffing Plan Detail,Total Estimated Cost,Celkové odhadované náklady
DocType: Employee Education,Year of Passing,Rok Passing
DocType: Routing,Routing Name,Názov smerovania
DocType: Item,Country of Origin,Krajina pôvodu
DocType: Soil Texture,Soil Texture Criteria,Kritériá textúry pôdy
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Na skladě
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Priame kontaktné údaje
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,otvorené problémy
DocType: Production Plan Item,Production Plan Item,Výrobní program Item
DocType: Leave Ledger Entry,Leave Ledger Entry,Opustiť zadanie knihy
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Uživatel {0} je již přiřazena k Employee {1}
DocType: Lab Test Groups,Add new line,Pridať nový riadok
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Vytvoriť potenciálneho zákazníka
DocType: Production Plan,Projected Qty Formula,Predpokladaný vzorec Qty
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Péče o zdraví
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Oneskorenie s platbou (dni)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Podrobné informácie o podmienkach platieb
DocType: Hotel Room Reservation,Guest Name,Meno hosťa
DocType: Delivery Note,Issue Credit Note,Vydanie kreditnej poznámky
DocType: Lab Prescription,Lab Prescription,Lab Prescription
,Delay Days,Oneskorené dni
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,service Expense
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Sériové číslo: {0} už je uvedené vo faktúre predaja: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Faktúra
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Maximálna oslobodená suma
DocType: Purchase Invoice Item,Item Weight Details,Podrobnosti o položke hmotnosti
DocType: Asset Maintenance Log,Periodicity,Periodicita
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Fiškálny rok {0} je vyžadovaná
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Čistý zisk / strata
DocType: Employee Group Table,ERPNext User ID,ERPĎalšie ID používateľa
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Minimálna vzdialenosť medzi radmi rastlín pre optimálny rast
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,"Ak chcete získať predpísaný postup, vyberte možnosť Pacient"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Obrana
DocType: Salary Component,Abbr,Zkr
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Účet veriteľov
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Řádek {0}: {1} {2} se neshoduje s {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Řádek # {0}:
DocType: Timesheet,Total Costing Amount,Celková kalkulácie Čiastka
DocType: Sales Invoice,Vehicle No,Vozidle
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,"Prosím, vyberte cenník"
DocType: Accounts Settings,Currency Exchange Settings,Nastavenia výmeny meny
DocType: Work Order Operation,Work In Progress,Work in Progress
DocType: Leave Control Panel,Branch (optional),Pobočka (voliteľné)
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,"Prosím, vyberte dátum"
DocType: Item Price,Minimum Qty ,Minimálny počet
DocType: Finance Book,Finance Book,Finančná kniha
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Dovolená Seznam
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Preskúmanie a konanie
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Tento zamestnanec už má denník s rovnakou časovou pečiatkou. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Účtovník
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Cenník predaja
DocType: Patient,Tobacco Current Use,Súčasné používanie tabaku
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Predajná sadzba
DocType: Cost Center,Stock User,Používateľ skladu
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Kontaktné informácie
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Vyhľadajte čokoľvek ...
DocType: Company,Phone No,Telefónne číslo
DocType: Delivery Trip,Initial Email Notification Sent,Odoslané pôvodné oznámenie o e-maile
DocType: Bank Statement Settings,Statement Header Mapping,Hlásenie hlavičky výkazu
,Sales Partners Commission,Obchodní partneři Komise
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Nastavenie zaokrúhľovania
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Skratka nesmie mať viac ako 5 znakov
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Platba Dopyt
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Zobrazenie denníkov vernostných bodov priradených zákazníkovi.
DocType: Asset,Value After Depreciation,Hodnota po odpisoch
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Nenašli sa prevedená položka {0} v objednávke {1}, položka nebola pridaná do položky zásob"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,príbuzný
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Dátum návštevnosť nemôže byť nižšia ako spojovacie dáta zamestnanca
DocType: Grading Scale,Grading Scale Name,Stupnica Name
DocType: Employee Training,Training Date,Dátum školenia
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Pridajte používateľov na trh
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,To je kořen účtu a nelze upravovat.
DocType: POS Profile,Company Address,Adresa spoločnosti
DocType: BOM,Operations,Operace
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Nelze nastavit oprávnění na základě Sleva pro {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,Účet e-Way Bill JSON už nie je možné vygenerovať pre návratnosť predaja
DocType: Subscription,Subscription Start Date,Dátum začiatku odberu
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Predvolené pohľadávky, ktoré sa majú použiť, ak nie sú nastavené v pacientoch na účtovanie poplatkov za schôdzku."
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Pripojiť CSV súbor s dvomi stĺpci, jeden pre starý názov a jeden pre nový názov"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Z adresy 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Získajte podrobnosti z vyhlásenia
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} žiadnym aktívnym fiškálny rok.
DocType: Packed Item,Parent Detail docname,Parent Detail docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Odkaz: {0}, Kód položky: {1} a zákazník: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} nie je v materskej spoločnosti
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Dátum ukončenia skúšobného obdobia nemôže byť pred začiatkom skúšobného obdobia
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Daňová kategória
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Najskôr zrušte záznam denníka {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-pInv-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},Kusovník nie je špecifikovaný pre subdodávateľskú položku {0} v riadku {1}
DocType: Vital Signs,Reflexes,reflexy
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Výsledok bol odoslaný
DocType: Item Attribute,Increment,Prírastok
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Výsledky pomoci pre
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Vyberte sklad ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Reklama
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Rovnaký Spoločnosť je zapísaná viac ako raz
DocType: Patient,Married,Ženatý
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Nepovolené pre {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Získať predmety z
DocType: Stock Entry,Send to Subcontractor,Odoslať subdodávateľovi
DocType: Purchase Invoice,Apply Tax Withholding Amount,Použiť čiastku zrážkovej dane
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Celkový počet dokončených nemôže byť vyšší ako množstvo
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Sklad nelze aktualizovat na dodací list {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Celková čiastka bola pripísaná
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Nie sú uvedené žiadne položky
DocType: Asset Repair,Error Description,Popis chyby
DocType: Payment Reconciliation,Reconcile,Zosúladiť
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Potraviny
DocType: Quality Inspection Reading,Reading 1,Čtení 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Penzijní fondy
DocType: Exchange Rate Revaluation Account,Gain/Loss,Zisk / strata
DocType: Crop,Perennial,trvalka
DocType: Program,Is Published,Publikované
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Zobraziť dodacie listy
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Ak chcete povoliť nadmernú fakturáciu, aktualizujte položku „Príspevok na fakturáciu“ v nastaveniach účtov alebo v položke."
DocType: Patient Appointment,Procedure,procedúra
DocType: Accounts Settings,Use Custom Cash Flow Format,Použiť formát vlastného toku peňazí
DocType: SMS Center,All Sales Person,Všichni obchodní zástupci
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mesačný Distribúcia ** umožňuje distribuovať Rozpočet / Target celé mesiace, ak máte sezónnosti vo vašej firme."
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,nenájdený položiek
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Plat Štruktúra Chýbajúce
DocType: Lead,Person Name,Osoba Meno
,Supplier Ledger Summary,Zhrnutie knihy dodávateľov
DocType: Sales Invoice Item,Sales Invoice Item,Položka odoslanej faktúry
DocType: Quality Procedure Table,Quality Procedure Table,Tabuľka kvality
DocType: Account,Credit,Úver
DocType: POS Profile,Write Off Cost Center,Odepsat nákladové středisko
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",napríklad &quot;Základná škola&quot; alebo &quot;univerzita&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Reporty o zásobách
DocType: Warehouse,Warehouse Detail,Sklad Detail
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Posledný dátum kontroly uhlíkom nemôže byť budúcim dátumom
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Termínovaný Dátum ukončenia nemôže byť neskôr ako v roku Dátum ukončenia akademického roka, ku ktorému termín je spojená (akademický rok {}). Opravte dáta a skúste to znova."
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Je Fixed Asset&quot; nemôže byť bez povšimnutia, pretože existuje Asset záznam proti položke"
DocType: Delivery Trip,Departure Time,Čas odchodu
DocType: Vehicle Service,Brake Oil,Brake Oil
DocType: Tax Rule,Tax Type,Typ dane
,Completed Work Orders,Dokončené pracovné príkazy
DocType: Support Settings,Forum Posts,Fórum príspevky
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",Úloha bola zadaná ako práca na pozadí. V prípade akýchkoľvek problémov so spracovaním na pozadí systém pridá komentár k chybe pri tomto zúčtovaní zásob a vráti sa do fázy Koncept.
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Ľutujeme, platnosť kódu kupónu sa nezačala"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Zdaniteľná čiastka
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Nejste oprávněni přidávat nebo aktualizovat údaje před {0}
DocType: Leave Policy,Leave Policy Details,Nechajte detaily pravidiel
DocType: BOM,Item Image (if not slideshow),Item Image (ne-li slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Riadok # {0}: Operácia {1} nie je dokončená pre {2} množstvo hotového tovaru v objednávke {3}. Aktualizujte prevádzkový stav prostredníctvom Job Card {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Hodina Rate / 60) * Skutočná Prevádzková doba
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Riadok # {0}: Typ referenčného dokumentu musí byť jeden z nárokov na výdaj alebo denníka
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,select BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,zvoniaci
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Náklady na dodané položky
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Dovolenka na {0} nie je medzi Dátum od a do dnešného dňa
DocType: Inpatient Record,Admission Scheduled,Prijatie naplánované
DocType: Student Log,Student Log,študent Log
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Šablóny poradia dodávateľov.
DocType: Lead,Interested,Zájemci
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Otvor
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Kopírovať z položkovej skupiny
DocType: Journal Entry,Opening Entry,Otvárací údaj
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Účet Pay Iba
DocType: Loan,Repay Over Number of Periods,Splatiť Over počet období
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Množstvo na výrobu nesmie byť menšie ako nula
DocType: Stock Entry,Additional Costs,Dodatočné náklady
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Účet s transakcemi nelze převést na skupinu.
