DocType: Accounting Period,Period Name,Periodo pavadinimas
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Rezultatas pateiktas
DocType: Item Attribute,Increment,prieaugis
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Pagalbos rezultatai
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Pasirinkite sandėlio ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,reklaminis
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Pati bendrovė yra įrašytas daugiau nei vieną kartą
DocType: Patient,Married,Vedęs
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Neleidžiama {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Gauk elementus iš
DocType: Stock Entry,Send to Subcontractor,Siųsti subrangovui
DocType: Purchase Invoice,Apply Tax Withholding Amount,Taikyti mokesčių sulaikymo sumą
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Bendras užpildytas kiekis negali būti didesnis nei kiekis
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},"Akcijų, negali būti atnaujintas prieš važtaraštyje {0}"
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Iš viso kredituota suma
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Nėra išvardytus punktus
DocType: Asset Repair,Error Description,Klaida Aprašymas
DocType: Payment Reconciliation,Reconcile,suderinti
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Maisto prekės
DocType: Quality Inspection Reading,Reading 1,Skaitymas 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,pensijų fondai
DocType: Exchange Rate Revaluation Account,Gain/Loss,Pelnas / nuostoliai
DocType: Crop,Perennial,Daugiametis
DocType: Program,Is Published,Skelbiama
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Rodyti pristatymo pastabas
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Jei norite leisti pateikti daugiau sąskaitų nei sąskaitoje, atnaujinkite skiltį „Sąskaitų nustatymai“ arba elementas „Permokos už viršytą atsiskaitymą“."
DocType: Patient Appointment,Procedure,Procedūra
DocType: Accounts Settings,Use Custom Cash Flow Format,Naudokite tinkintą pinigų srautų formatą
DocType: SMS Center,All Sales Person,Visi Pardavimų Vadybininkai
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mėnesio pasiskirstymas ** Jums padės platinti biudžeto / target visoje mėnesius, jei turite sezoniškumą savo verslą."
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Nerasta daiktai
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Darbo užmokesčio struktūrą Trūksta
DocType: Lead,Person Name,"asmens vardas, pavardė"
,Supplier Ledger Summary,Tiekėjo knygos suvestinė
DocType: Sales Invoice Item,Sales Invoice Item,Pardavimų sąskaita faktūra punktas
DocType: Quality Procedure Table,Quality Procedure Table,Kokybės procedūrų lentelė
DocType: Account,Credit,kreditas
DocType: POS Profile,Write Off Cost Center,Nurašyti išlaidų centrus
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",pvz &quot;pradinė mokykla&quot; arba &quot;Universitetas&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Akcijų ataskaitos
DocType: Warehouse,Warehouse Detail,Sandėlių detalės
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Paskutinė anglies dioksido kiekio tikrinimo data negali būti būsima data
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Kadencijos pabaigos data negali būti vėlesnė nei metų pabaigoje mokslo metų data, iki kurios terminas yra susijęs (akademiniai metai {}). Ištaisykite datas ir bandykite dar kartą."
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Yra Ilgalaikis turtas"" negali būti nepažymėtas, nes egzistuoja prieštaraujantis turto įrašas."
DocType: Delivery Trip,Departure Time,Išvykimo laikas
DocType: Vehicle Service,Brake Oil,stabdžių Nafta
DocType: Tax Rule,Tax Type,mokesčių tipas
,Completed Work Orders,Užbaigti darbo užsakymai
DocType: Support Settings,Forum Posts,Forumo žinutės
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Užduotis užkoduota kaip pagrindinė užduotis. Jei kiltų kokių nors problemų dėl tvarkymo fone, sistema pridės komentarą apie šio akcijų suderinimo klaidą ir grįš į juodraščio etapą."
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Deja, kupono kodo galiojimas neprasidėjo"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,apmokestinamoji vertė
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Jūs nesate įgaliotas pridėti ar atnaujinti įrašus prieš {0}
DocType: Leave Policy,Leave Policy Details,Išsaugokite informaciją apie politiką
DocType: BOM,Item Image (if not slideshow),Prekė vaizdas (jei ne skaidrių)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,"Nr. {0}: {1} operacija {1} neužbaigta, kai užsakytas {3} kiekis paruoštų prekių. Atnaujinkite operacijos būseną naudodamiesi darbo kortele {4}."
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Per valandą/ 60) * Tikrasis veikimo laikas
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Eilutė # {0}: standartinio dokumento tipas turi būti vienas iš išlaidų reikalavimo arba leidimo įrašo
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Pasirinkite BOM
DocType: SMS Log,SMS Log,SMS Prisijungti
DocType: Call Log,Ringing,Skambėjimas
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Išlaidos pristatyto objekto
