Pension Funds,Mirovinski fondovi
Change Code,Promijeni kôd
Planting Area,Područje sadnje
Employee Grade (optional),Ocjena zaposlenika (izborno)
Cost Center For Item with Item Code ',Mjesto troška za stavku s kôdom stavke &quot;
Default Stock UOM,Default Stock UOM
Rent Cost,Troškovi najma
Training Result,Rezultat treninga
Work Order not created,Radni nalog nije izrađen
Meter,Metar
Hero Image,Slika heroja
No Items to pack,Nema stavki za pakiranje
Delivery warehouse required for stock item {0},Potrebno skladište dostave za stavku zaliha {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Rezervirano skladište obvezno je za stavku {0} u dostavljenim sirovinama
Target Location is required for the asset {0},Ciljna lokacija potrebna je za snimku {0}
SGST Amount,SGST Iznos
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Stanje na računu već je u Kreditnom računu, ne smijete postaviti &quot;Stanje mora biti&quot; kao &quot;zaduženje&quot;"
GSTR 3B Report,GSTR 3B Izvješće
Rate & Amount,Ocijeni i iznos
Debit To is required,Obavezno je zaduženje
Item Name,Ime proizvoda
Cost of New Purchase,Trošak nove kupnje
Additional information regarding the customer.,Dodatne informacije o kupcu.
Wrong,pogrešno
Batch Inventory,Inventar serije
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Isplata plaće poslana zaposleniku će biti zaštićena lozinkom, lozinka će se generirati na temelju pravila o lozinkama."
Received Amount,Primljeni iznos
Is Sales Item,Je prodajna stavka
Generate Text File,Generirajte tekstualnu datoteku
Variants,varijante
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Troškovi će se distribuirati proporcionalno na temelju količine ili iznosa stavke, prema Vašem odabiru"
Pending activities for today,Aktivnosti na čekanju za danas
Student Batch,Studentska serija
Valuation Rate required for Item in row {0},Potrebna stopa procjene za stavku u retku {0}
Base Hour Rate(Company Currency),Osnovna stopa sata (valuta tvrtke)
Printing Details,Ispisivanje detalja
Manufacturing Manager,Voditelj proizvodnje
Job Card,Radna kartica
Prorate,proporcionalno podijeliti
"System User (login) ID. If set, it will become default for all HR forms.","ID sustava korisnika (prijava). Ako je postavljeno, postat će zadana za sve HR obrasce."
All Item Groups,Sve grupe stavki
Select Status,Odaberite Status
Fixed rate,Fiksna stopa
Airline,aviokompanija
Term Details,Pojedinosti termina
Acquisition Date,Datum prikupljanja
Send To,Pošalji na
Average Rate,Prosječna stopa
Set Qty in Transactions based on Serial No Input,Postavite količinu transakcija na temelju serijskog ulaza
Advance account currency should be same as company currency {0},Valuta računa unaprijed trebala bi biti ista kao i valuta tvrtke {0}
Customize Homepage Sections,Prilagodite odjeljke početne stranice
October,listopad
Hide Customer's Tax Id from Sales Transactions,Sakrij porezni ID klijenta iz transakcija prodaje
Invalid GSTIN! A GSTIN must have 15 characters.,Nevažeći GSTIN! GSTIN mora imati 15 znakova.
Pricing Rule {0} is updated,Pravilo određivanja cijena {0} je ažurirano
Contract Fulfilment Checklist,Kontrolni popis ispunjenja ugovora
All Products,Svi proizvodi
Product Search,Pretraživanje proizvoda
Net Pay,Neto plaća
Total Invoiced Amt,Ukupni fakturirani amt
Consumables Invoice Separately,Potrošna roba Faktura odvojeno
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Proračun se ne može dodijeliti grupi računa {0}
Rate and Amount,Stopa i iznos
Check availability,Provjera dostupnosti
Cannot find Item with this barcode,Stavka s ovim barkodom nije moguće pronaći
Default Invoice Naming Series,Zadana serija za imenovanje računa
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Ako {0} {1} količina stavke <b>{2}</b> , shema <b>{3}</b> će se primijeniti na stavku."
Student Siblings,Studentske braće i sestre
Journal Entry {0} does not have account {1} or already matched against other voucher,Unos dnevnika {0} nema račun {1} ili se već podudara s drugim vaučerima
Legal Expenses,Pravni troškovi
Checkout,Provjeri
Membership Details,Detalji o članstvu
Please set the Customer Address,Postavite adresu klijenta
List your products or services that you buy or sell.,Navedite svoje proizvode ili usluge koje kupujete ili prodajete.
Income,prihod
Rate at which this tax is applied,Stopa po kojoj se primjenjuje ovaj porez
Payment Receipt Note,Bilješka o primitku plaćanja
In Percentage,U postocima
Quotations received from Suppliers.,Ponude primljene od dobavljača.
Reference Due Date,Datum dospijeća reference
Lead Time Days,Dani vremena vođenja
Revision and Revised On,Revizija i Revidirano On
{0} against Purchase Order {1},{0} protiv narudžbenice za kupnju {1}
Fee Records Created - {0},Napravljeni zapisi o naknadama - {0}
Note: {0},Napomena: {0}
Serial No {0} has already been received,Serijski broj {0} je već primljen
Leave Settings,Napusti postavke
Issue Credit Note,Bilješka o izdanju
Batch Item Expiry Status,Status isteka skupne stavke
Stock Transactions,Transakcije dionica
Event Location,Mjesto događaja
Motion Picture & Video,Film i video
Row Spacing,Razmak između redova
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Broj računa za račun {0} nije dostupan. <br> Ispravno postavite svoj Kontni plan.
Starting location from left edge,Početna lokacija s lijevog ruba
HR Settings,HR postavke
Appointments,imenovanja
Asset {0} created,Stvoren je materijal {0}
Please enter Planned Qty for Item {0} at row {1},Unesite planiranu količinu za stavku {0} u retku {1}
Select Batch,Odaberite Paket
Item Description,Opis Predmeta
Account Name,Korisničko ime
Please enter API Consumer Key,Unesite API Consumer Key
Products per Page,Proizvodi po stranici
Duplicate {0} found in the table,Duplikat {0} pronađen u tablici
Default Distance Unit,Zadana jedinica udaljenosti
Consume Stock,Konzumirajte zalihe
Key Performance Area,Područje ključne izvedbe
S.O. No.,Pa ne.
{0} not found for item {1},{0} nije pronađen za stavku {1}
Set Source Warehouse,Postavite skladište izvora
Out Patient Settings,Postavke bolesnika
Insurance End Date,Datum završetka osiguranja
Branch Code,Kôd podružnice
Time To Respond,Vrijeme za odgovor
User Forum,Korisnički forum
Landed Cost Item,Stavka selenog troška
The seller and the buyer cannot be the same,Prodavatelj i kupac ne mogu biti isti
Copied From,Kopirano iz
Available,Dostupno
Sales Person Targets,Prodajni ciljevi
BOM Operation,Rad s BOM-om
O-,O-
Interest Amount,Iznos kamate
Origin,Podrijetlo
Add a new address,Dodaj novu adresu
Write Off Account,Napiši račun
Proposal/Price Quote,Ponuda / cijena ponude
Associate,Suradnik
Please input all required Result Value(s),Molimo unesite sve potrebne vrijednosti rezultata
Purchase Order Item Supplied,Isporučena stavka narudžbe
Item {0} is not a serialized Item,Stavka {0} nije serijalizirana stavka
GoCardless Customer,Korisnik GoCardless
Leave Balance,Ostavite ravnotežu
Maintenance Schedule {0} exists against {1},Raspored održavanja {0} postoji u odnosu na {1}
Supervisor Name,Ime nadzornika
Campaign Naming By,Imenovanje kampanje
Course Code,Šifra predmeta
Aerospace,zračno-kosmički prostor
Distribute Charges Based On,Distribuirajte na temelju naknada
Supplier Scorecard Scoring Criteria,Kriteriji za bodovanje dobavljača rezultata dobavljača
Stock,Zaliha
Receipt Document Type,Vrsta dokumenta primitka
Classification of Customers by region,Klasifikacija kupaca po regijama
Billable,naplative
Government,Vlada
"Create Employee records to manage leaves, expense claims and payroll","Napravite evidenciju zaposlenika za upravljanje lišćem, potraživanjem troškova i obračunom plaća"
Point-of-Sale,Prodajno mjesto
User {0} is already assigned to Healthcare Practitioner {1},Korisnik {0} već je dodijeljen zdravstvenom djelatniku {1}
Standard Buying,Standardna kupnja
Apprentice,Učenik
Add Timesheets,Dodajte timesheets
"Number of new Account, it will be included in the account name as a prefix","Broj novog računa, bit će uključen u naziv računa kao prefiks"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Skladište dobavljača obvezno za podugovornu potvrdu o kupnji
Please enter Preferred Contact Email,Unesite željenu e-poštu kontakta
Normal,normalan
Customer POS Id,ID klijenta za POS
Weight Per Unit,Težina po jedinici
Child nodes can be only created under 'Group' type nodes,Dječji čvorovi mogu se kreirati samo u čvorovima tipa grupe
(including),(uključujući)
Requested,Traženi
Item {0} is not a stock Item,Stavka {0} nije dionica
Multi Currency,Više valuta
Write Off Difference Amount,Otpusti razliku Iznos
Item {0} is disabled,Stavka {0} je onemogućena
Last Completion Date,Datum zadnjeg završetka
Fulfillment,Ispunjenje
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Zadatak je upakiran kao pozadinski posao. U slučaju bilo kakvog problema u obradi u pozadini, sustav će dodati komentar o pogrešci na ovom usklađivanju zaliha i vratiti se na fazu nacrta"
Total Order Considered,Ukupan broj narudžbi
Optimize Route,Optimiziraj rutu
Discount Percentage can be applied either against a Price List or for all Price List.,Postotak popusta može se primijeniti na cjenik ili na cjenik.
Trainer Email,E-mail trenera
Get from Patient Encounter,Dođi od susreta s pacijentom
Software Developer,Software Developer
Sample Collection,Uzorkovanje
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Podijelite svoje povratne informacije s obukom klikom na &quot;Povratne informacije o obuci&quot;, a zatim na &quot;Novo&quot;"
Connecting to QuickBooks,Povezivanje s QuickBooksima
Enrolling student,Upis studenta
Claimed,tvrdio
Leaves,lišće
Salary breakup based on Earning and Deduction.,Raspad plaća na temelju zarade i odbitka.
Salary Structure Missing,Nedostaje struktura plaća
Action Field,Polje djelovanja
Quotation Trends,Trendovi ponude
Connect Amazon with ERPNext,Povežite Amazon s ERPNext
Response and Resolution Time,Vrijeme odgovora i razlučivost
Collection Tier,Razina zbirke
Guardian Of ,Čuvar
Payment Gateway Details,Pojedinosti o pristupniku plaćanja
Staffing Plan {0} already exist for designation {1},Plan osoblja {0} već postoji za oznaku {1}
Website Warehouse,Skladište web-lokacije
Rate With Margin,Ocijenite s marginom
Salary Structure must be submitted before submission of Tax Ememption Declaration,Struktura plaća mora se podnijeti prije podnošenja Deklaracije o poreznoj olakšici
Add Leads,Dodaj vodi
Reserve Warehouse,Rezervno skladište
Payment Term Name,Naziv roka plaćanja
No Permission,Bez dozvole
Select Company...,Odaberite tvrtku ...
Use Naming Series,Upotrijebite Imenovanje serije
Formula,Formula
Action if Accumulated Monthly Budget Exceeded on Actual,Radnja ako je ukupni mjesečni proračun premašen na Stvarno
Allow Encashment,Dopusti osposobljavanje
Project activity / task.,Projektna aktivnost / zadatak.
Bank Statement Transaction Invoice Item,Stavka računa transakcijskog računa
Total Operating Cost,Ukupni operativni troškovi
Employee Onboarding Template,Predložak zaposlenika
Same Item,Ista stavka
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Iznos za jednu transakciju premašuje maksimalno dopušteni iznos, kreiranjem posebnog platnog naloga razdvajanjem transakcija"
Salary Slips Created,Stvorene su plaće
Lab Test(s) ,Laboratorijski testovi
Party Details,Detalji o partiji
Cost of Purchased Items,Trošak kupljenih artikala
All communications including and above this shall be moved into the new Issue,Sva komunikacija koja uključuje i iznad toga bit će premještena u novo izdanje
Material Consumption for Manufacture,Potrošnja materijala za proizvodnju
Table for Item that will be shown in Web Site,Tablica za stavku koja će biti prikazana na web-mjestu
Restaurant Menu,Izbornik restorana
Purpose,Svrha
Salary Structure Assignment for Employee already exists,Dodjela strukture plaća zaposleniku već postoji
Service Unit,Servisna jedinica
Identification Document Number,Broj identifikacijskog dokumenta
Additional Costs,Dodatni troškovi
"Parent Course (Leave blank, if this isn't part of Parent Course)","Roditeljski tečaj (ostavite prazno, ako to nije dio Parent Course)"
Employee Education,Obrazovanje zaposlenika
Number of positions cannot be less then current count of employees,Broj radnih mjesta ne može biti manji od trenutnog broja zaposlenih
All Customer Groups,Sve korisničke grupe
Buying Price List,Kupnja cjenika
Finished Good Item Code,Gotova šifra predmeta
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Postoji više fiskalnih godina za datum {0}. Postavite tvrtku u fiskalnoj godini
Available for use date is required,Potreban je datum dostupnosti za uporabu
Training Date,Datum treninga
Reading Uploaded File,Čitanje učitane datoteke
Material Request,Zahtjev materijala
Total Allocated Amount (Company Currency),Ukupni dodijeljeni iznos (valuta tvrtke)
Restaurant Order Entry Item,Stavka za narudžbu restorana
Distance,Udaljenost
Get financial breakup of Taxes and charges data by Amazon ,Dobijte financijski rascjep podataka o porezima i naplatama od strane Amazona
Mileage,Kilometraža
"For an item {0}, quantity must be positive number","Za stavku {0}, količina mora biti pozitivan broj"
Item Cart,Stavka Košarica
Payment Entries {0} are un-linked,Unosi za plaćanje {0} nisu povezani
Open Notifications,Otvori obavijesti
Successfully created payment entries,Unosi za plaćanje uspješno su izrađeni
Mg/K,Mg / K
Has Serial No,Ima serijski broj
Manufacturing User,Korisnik proizvodnje
Ledger,glavna knjiga
Loan,Zajam
Fuel UOM,UOM za gorivo
Support,podrška
Invalid Company for Inter Company Transaction.,Nevažeća tvrtka za međubankovnu transakciju.
Fixed Asset Depreciation Settings,Postavke amortizacije fiksnih sredstava
Department and Grade,Odjel i razred
Cheques Required,Potrebni su čekovi
Do Not Contact,Nemojte kontaktirati
Update Billed Amount in Sales Order,Ažurirajte naplaćeni iznos u prodajnom nalogu
Meal Preference,Prednost obroka
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Čak i ako postoji više pravila za određivanje cijena s najvišim prioritetom, primjenjuju se sljedeći interni prioriteti:"
Employee {0} is not active or does not exist,Zaposlenik {0} nije aktivan ili ne postoji
List of all share transactions,Popis svih transakcija dionica
Sales Defaults,Zadane postavke prodaje
Overlap in scoring between {0} and {1},Preklapanje u bodovanju između {0} i {1}
Weightage,weightage
Create New Payment/Journal Entry,Izradite novo plaćanje / unos dnevnika
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Ako se na temelju gore navedenih uvjeta utvrde dva ili više Pravila za određivanje cijena, primjenjuje se Prioritet. Prioritet je broj između 0 i 20, dok je zadana vrijednost nula (prazno). Veći broj znači da će imati prednost ako postoji više pravila za određivanje cijena s istim uvjetima."
Row {0}: Qty is mandatory,Redak {0}: Količina je obavezna
Against Income Account,Protiv računa prihoda
