DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Vehicle Service,Mileage,Απόσταση σε μίλια
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Θέλετε πραγματικά να καταργήσει αυτό το περιουσιακό στοιχείο;
DocType: Drug Prescription,Update Schedule,Ενημέρωση Προγραμματισμού
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Επιλέξτε Προεπιλογή Προμηθευτής
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Εμφάνιση υπαλλήλου
DocType: Payroll Period,Standard Tax Exemption Amount,Πρότυπο ποσό απαλλαγής από το φόρο
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Νέος συναλλαγματικός συντελεστής
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Το νόμισμα είναι απαραίτητο για τον τιμοκατάλογο {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Θα υπολογίζεται στη συναλλαγή.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Επικοινωνία Πελατών
DocType: Shift Type,Enable Auto Attendance,Ενεργοποίηση αυτόματης παρακολούθησης
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Πληκτρολογήστε την Αποθήκη και την ημερομηνία
DocType: Lost Reason Detail,Opportunity Lost Reason,Ευκαιρία χαμένος λόγος
DocType: Patient Appointment,Check availability,Ελέγξτε διαθεσιμότητα
DocType: Retention Bonus,Bonus Payment Date,Ημερομηνία πληρωμής μπόνους
DocType: Employee,Job Applicant,Αιτών εργασία
DocType: Job Card,Total Time in Mins,Συνολικός χρόνος σε λεπτά
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Αυτό βασίζεται σε πράξεις εναντίον αυτής της επιχείρησης. Δείτε χρονοδιάγραμμα παρακάτω για λεπτομέρειες
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Ποσοστό υπερπαραγωγής για παραγγελία εργασίας
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Νομικός
DocType: Sales Invoice,Transport Receipt Date,Ημερομηνία παραλαβής μεταφοράς
DocType: Shopify Settings,Sales Order Series,Σειρά παραγγελιών πωλήσεων
DocType: Vital Signs,Tongue,Γλώσσα
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Πραγματική φορολογική του τύπου δεν μπορεί να περιλαμβάνεται στην τιμή Θέση στη γραμμή {0}
DocType: Allowed To Transact With,Allowed To Transact With,Επιτρέπεται να γίνεται συναλλαγή με
DocType: Bank Guarantee,Customer,Πελάτης
DocType: Purchase Receipt Item,Required By,Απαιτείται από
DocType: Delivery Note,Return Against Delivery Note,Επιστροφή Ενάντια Δελτίο Αποστολής
DocType: Asset Category,Finance Book Detail,Λεπτομέρειες οικονομικού βιβλίου
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Όλες οι αποσβέσεις έχουν εγγραφεί
DocType: Purchase Order,% Billed,% που χρεώθηκε
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Αριθμός Μισθοδοσίας
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Ισοτιμία πρέπει να είναι ίδιο με το {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Εξαίρεση HRA
DocType: Sales Invoice,Customer Name,Όνομα πελάτη
DocType: Vehicle,Natural Gas,Φυσικό αέριο
DocType: Project,Message will sent to users to get their status on the project,Θα σταλεί μήνυμα στους χρήστες για να αποκτήσουν την κατάστασή τους στο έργο
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Ο τραπεζικός λογαριασμός δεν μπορεί να ονομαστεί ως {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA σύμφωνα με τη δομή μισθοδοσίας
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Κύριες εγγραφές (ή ομάδες) κατά τις οποίες δημιουργούνται λογιστικές εγγραφές διατηρούνται υπόλοιπα.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Η εκκρεμότητα για {0} δεν μπορεί να είναι μικρότερη από το μηδέν ( {1} )
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Η ημερομηνία διακοπής υπηρεσίας δεν μπορεί να είναι πριν από την Ημερομηνία Έναρξης Service
DocType: Manufacturing Settings,Default 10 mins,Προεπιλογή 10 λεπτά
DocType: Leave Type,Leave Type Name,Όνομα τύπου άδειας
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Εμφάνιση ανοιχτή
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Η σειρά ενημερώθηκε με επιτυχία
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Αποχώρηση
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} στη σειρά {1}
DocType: Asset Finance Book,Depreciation Start Date,Ημερομηνία έναρξης απόσβεσης
DocType: Pricing Rule,Apply On,Εφάρμοσε σε
DocType: Item Price,Multiple Item prices.,Πολλαπλές τιμές είδους.
,Purchase Order Items To Be Received,Είδη παραγγελίας αγοράς για παραλαβή
DocType: SMS Center,All Supplier Contact,Όλες οι επαφές προμηθευτή
DocType: Support Settings,Support Settings,Ρυθμίσεις υποστήριξη
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Ο λογαριασμός {0} προστίθεται στην παιδική εταιρεία {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Ακυρα διαπιστευτήρια
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Διαθέσιμο (είτε σε πλήρη op μέρος)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Ρυθμίσεις
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Επεξεργασία κουπονιών
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Σειρά # {0}: Βαθμολογία πρέπει να είναι ίδιο με το {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Παρτίδα Θέση λήξης Κατάσταση
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Τραπεζική επιταγή
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Συνολικές καθυστερημένες καταχωρίσεις
DocType: Mode of Payment Account,Mode of Payment Account,Λογαριασμός τρόπου πληρωμής
apps/erpnext/erpnext/config/healthcare.py,Consultation,Διαβούλευση
DocType: Accounts Settings,Show Payment Schedule in Print,Εμφάνιση χρονοδιαγράμματος πληρωμών στην εκτύπωση
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Οι παραλλαγές στοιχείων ενημερώθηκαν
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Πωλήσεις και επιστροφές
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Προβολή παραλλαγών
DocType: Academic Term,Academic Term,Ακαδημαϊκός Όρος
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Υποχρέωση απαλλαγής από φόρους εργαζομένων
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Ορίστε μια διεύθυνση στην εταιρία &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Υλικό
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Το μέγιστο όφελος του υπαλλήλου {0} υπερβαίνει {1} το άθροισμα {2} της συνιστώσας pro-rata της αίτησης παροχών \ ποσό και το προηγούμενο ποσό που ζητήθηκε
DocType: Opening Invoice Creation Tool Item,Quantity,Ποσότητα
,Customers Without Any Sales Transactions,Πελάτες χωρίς οποιεσδήποτε συναλλαγές πωλήσεων
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Λογαριασμοί πίνακας δεν μπορεί να είναι κενό.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Χρησιμοποιήστε το Google Maps Direction API για να υπολογίσετε τους εκτιμώμενους χρόνους άφιξης
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Δάνεια (παθητικό )
DocType: Patient Encounter,Encounter Time,Ώρα συνάντησης
DocType: Staffing Plan Detail,Total Estimated Cost,Συνολικό εκτιμώμενο κόστος
DocType: Employee Education,Year of Passing,Έτος περάσματος
DocType: Routing,Routing Name,Όνομα δρομολόγησης
DocType: Item,Country of Origin,Χώρα προέλευσης
DocType: Soil Texture,Soil Texture Criteria,Κριτήρια υφής εδάφους
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Σε Απόθεμα
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Κύρια στοιχεία επικοινωνίας
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Ανοιχτά Θέματα
DocType: Production Plan Item,Production Plan Item,Είδος σχεδίου παραγωγής
DocType: Leave Ledger Entry,Leave Ledger Entry,Αφήστε την είσοδο του Ledger
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Ο χρήστης {0} έχει ήδη ανατεθεί στον εργαζομένο {1}
DocType: Lab Test Groups,Add new line,Προσθέστε νέα γραμμή
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Δημιουργία μολύβδου
DocType: Production Plan,Projected Qty Formula,Προβλεπόμενος τύπος ποσότητας
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Υγειονομική περίθαλψη
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Καθυστέρηση στην πληρωμή (Ημέρες)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Όροι πληρωμής Λεπτομέρειες προτύπου
DocType: Hotel Room Reservation,Guest Name,Ονομα επισκέπτη
DocType: Delivery Note,Issue Credit Note,Έκδοση πιστωτικής σημείωσης
DocType: Lab Prescription,Lab Prescription,Lab Συνταγή
,Delay Days,Ημέρες καθυστέρησης
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Δαπάνη παροχής υπηρεσιών
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Σειριακός αριθμός: {0} αναφέρεται ήδη στο Τιμολόγιο Πωλήσεων: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Τιμολόγιο
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Μέγιστο ποσό απαλλαγής
DocType: Purchase Invoice Item,Item Weight Details,Λεπτομέρειες βάρους στοιχείου
DocType: Asset Maintenance Log,Periodicity,Περιοδικότητα
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Χρήσεως {0} απαιτείται
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Καθαρά κέρδη / ζημίες
DocType: Employee Group Table,ERPNext User ID,ERPNext User ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Η ελάχιστη απόσταση μεταξύ σειρών φυτών για βέλτιστη ανάπτυξη
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Επιλέξτε Ασθενή για να λάβετε προκαθορισμένη διαδικασία
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Άμυνα
DocType: Salary Component,Abbr,Συντ.
DocType: Appraisal Goal,Score (0-5),Αποτέλεσμα (0-5)
DocType: Tally Migration,Tally Creditors Account,Λογαριασμός πιστωτών Tally
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Γραμμή {0}: {1} {2} δεν ταιριάζει με το {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Γραμμή # {0}:
DocType: Timesheet,Total Costing Amount,Σύνολο Κοστολόγηση Ποσό
DocType: Sales Invoice,Vehicle No,Αρ. οχήματος
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Παρακαλώ επιλέξτε τιμοκατάλογο
DocType: Accounts Settings,Currency Exchange Settings,Ρυθμίσεις ανταλλαγής νομισμάτων
DocType: Work Order Operation,Work In Progress,Εργασία σε εξέλιξη
DocType: Leave Control Panel,Branch (optional),Υποκατάστημα (προαιρετικό)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Γραμμή {0}: ο χρήστης δεν έχει εφαρμόσει κανόνα <b>{1}</b> στο στοιχείο <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Παρακαλώ επιλέξτε ημερομηνία
DocType: Item Price,Minimum Qty ,Ελάχιστη ποσότητα
DocType: Finance Book,Finance Book,Οικονομικό βιβλίο
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Λίστα αργιών
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Ανασκόπηση και δράση
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Αυτός ο υπάλληλος έχει ήδη ένα αρχείο καταγραφής με την ίδια χρονική σήμανση. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Λογιστής
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Τιμοκατάλογος πώλησης
DocType: Patient,Tobacco Current Use,Καπνός τρέχουσα χρήση
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Πωλήσεις
DocType: Cost Center,Stock User,Χρήστης Αποθεματικού
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / Κ
DocType: Delivery Stop,Contact Information,Στοιχεία επικοινωνίας
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Αναζήτηση για οτιδήποτε ...
DocType: Company,Phone No,Αρ. Τηλεφώνου
DocType: Delivery Trip,Initial Email Notification Sent,Αρχική ειδοποίηση ηλεκτρονικού ταχυδρομείου που αποστέλλεται
DocType: Bank Statement Settings,Statement Header Mapping,Αντιστοίχιση επικεφαλίδας καταστάσεων
,Sales Partners Commission,Προμήθεια συνεργάτη πωλήσεων
DocType: Soil Texture,Sandy Clay Loam,Άμμος Πηλός Πηλού
DocType: Purchase Invoice,Rounding Adjustment,Προσαρμογή στρογγυλοποίησης
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Μια συντομογραφία δεν μπορεί να έχει περισσότερους από 5 χαρακτήρες
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Αίτημα πληρωμής
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Για να δείτε τα αρχεία καταγραφής των Σημείων Πίστης που έχουν εκχωρηθεί σε έναν Πελάτη.
DocType: Asset,Value After Depreciation,Αξία μετά την απόσβεση
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Δεν βρέθηκε μεταφερμένο στοιχείο {0} στην εντολή εργασίας {1}, το στοιχείο δεν προστέθηκε στην καταχώριση αποθέματος"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Συγγενεύων
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,ημερομηνία συμμετοχή δεν μπορεί να είναι μικρότερη από την ημερομηνία που ενώνει εργαζομένου
DocType: Grading Scale,Grading Scale Name,Κλίμακα βαθμολόγησης Όνομα
DocType: Employee Training,Training Date,Ημερομηνία εκπαίδευσης
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Προσθέστε χρήστες στο Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Αυτό είναι ένας κύριος λογαριασμός και δεν μπορεί να επεξεργαστεί.
DocType: POS Profile,Company Address,Διεύθυνση εταιρείας
DocType: BOM,Operations,Λειτουργίες
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Δεν είναι δυνατός ο ορισμός της άδειας με βάση την έκπτωση για {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,Το Bill JSON του e-Way δεν μπορεί να δημιουργηθεί για την επιστροφή πωλήσεων από τώρα
DocType: Subscription,Subscription Start Date,Ημερομηνία Έναρξης Συνδρομής
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Προκαθορισμένοι εισπρακτέοι λογαριασμοί που πρέπει να χρησιμοποιηθούν εάν δεν έχουν οριστεί στον Ασθενή για την κράτηση χρεώσεων διορισμού.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Επισυνάψτε αρχείο .csv με δύο στήλες, μία για το παλιό όνομα και μία για το νέο όνομα"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Από τη διεύθυνση 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Λάβετε στοιχεία από τη δήλωση
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} δεν είναι σε καμία ενεργή χρήση.
DocType: Packed Item,Parent Detail docname,Όνομα αρχείου γονικής λεπτομέρεια
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Αναφορά: {0}, Κωδικός είδους: {1} και Πελάτης: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} δεν υπάρχει στη μητρική εταιρεία
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Η ημερομηνία λήξης της δοκιμαστικής περιόδου δεν μπορεί να είναι πριν την ημερομηνία έναρξης της δοκιμαστικής περιόδου
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Κατηγορίες παρακράτησης φόρου
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Ακυρώστε πρώτα την καταχώριση του περιοδικού {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},Το BOM δεν έχει οριστεί για την υπεργολαβία του στοιχείου {0} στη σειρά {1}
DocType: Vital Signs,Reflexes,Αντανακλάσεις
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Αποτέλεσμα υποβολής
DocType: Item Attribute,Increment,Προσαύξηση
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Αποτελέσματα Βοήθειας για
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Επιλέξτε Αποθήκη ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Διαφήμιση
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Ίδια Εταιρεία καταχωρήθηκε περισσότερο από μία φορά
DocType: Patient,Married,Παντρεμένος
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Δεν επιτρέπεται η {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Πάρτε τα στοιχεία από
DocType: Stock Entry,Send to Subcontractor,Αποστολή σε υπεργολάβο
DocType: Purchase Invoice,Apply Tax Withholding Amount,Εφαρμόστε το ποσό παρακρατήσεως φόρου
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Η συνολική ποσότητα που έχει συμπληρωθεί δεν μπορεί να είναι μεγαλύτερη από την ποσότητα
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Το απόθεμα δεν μπορεί να ανανεωθεί σύμφωνα με το δελτίο αποστολής {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Συνολικό ποσό που πιστώνεται
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Δεν αναγράφονται στοιχεία
DocType: Asset Repair,Error Description,Περιγραφή σφάλματος
DocType: Payment Reconciliation,Reconcile,Συμφωνήστε
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Παντοπωλείο
DocType: Quality Inspection Reading,Reading 1,Μέτρηση 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Ιδιωτικά ταμεία συντάξεων
DocType: Exchange Rate Revaluation Account,Gain/Loss,Κέρδος / Απώλεια
DocType: Crop,Perennial,Αιωνόβιος
DocType: Program,Is Published,Δημοσιεύεται
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Εμφάνιση σημείων παραλαβής
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Για να επιτρέψετε την υπερβολική τιμολόγηση, ενημερώστε την &quot;Over Allowance Billing&quot; στις Ρυθμίσεις Λογαριασμών ή στο Στοιχείο."
DocType: Patient Appointment,Procedure,Διαδικασία
DocType: Accounts Settings,Use Custom Cash Flow Format,Χρησιμοποιήστε την προσαρμοσμένη μορφή ροής μετρητών
DocType: SMS Center,All Sales Person,Όλοι οι πωλητές
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Μηνιαία Κατανομή ** σας βοηθά να διανείμετε το Οικονομικό / Target σε όλη μήνες, αν έχετε την εποχικότητα στην επιχείρησή σας."
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Δεν βρέθηκαν στοιχεία
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Δομή του μισθού που λείπουν
DocType: Lead,Person Name,Όνομα Πρόσωπο
,Supplier Ledger Summary,Περίληψη προμηθευτή Ledger
DocType: Sales Invoice Item,Sales Invoice Item,Είδος τιμολογίου πώλησης
DocType: Quality Procedure Table,Quality Procedure Table,Πίνακας Διαδικασιών Ποιότητας
DocType: Account,Credit,Πίστωση
DocType: POS Profile,Write Off Cost Center,Κέντρου κόστους διαγραφής
