DocType: Accounting Period,Period Name,Název období
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Příbuzný
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Datum návštěvnost nemůže být nižší než spojovací data zaměstnance
DocType: Grading Scale,Grading Scale Name,Klasifikační stupnice Name
DocType: Employee Training,Training Date,Datum školení
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Přidejte uživatele do Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,To je kořen účtu a nelze upravovat.
DocType: POS Profile,Company Address,adresa společnosti
DocType: BOM,Operations,Operace
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Nelze nastavit oprávnění na základě Sleva pro {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,Účet e-Way Bill JSON již nelze vygenerovat pro vrácení prodeje
DocType: Subscription,Subscription Start Date,Datum zahájení předplatného
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Výchozí pohledávkové účty, které se použijí, pokud nejsou nastaveny v Pacientovi pro účtování poplatků za schůzku."
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Připojit CSV soubor se dvěma sloupci, jeden pro starý název a jeden pro nový název"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Z adresy 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Získejte podrobnosti z prohlášení
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} není v žádném aktivním fiskální rok.
DocType: Packed Item,Parent Detail docname,Parent Detail docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Odkaz: {0}, kód položky: {1} a zákazník: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} není v mateřské společnosti
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Datum ukončení zkušebního období nemůže být před datem zahájení zkušebního období
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Daňové zadržení kategorie
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Nejprve zrušte záznam žurnálu {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},Kusovník není zadán pro subdodavatelskou položku {0} na řádku {1}
DocType: Vital Signs,Reflexes,Reflexy
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Výsledek byl předložen
DocType: Item Attribute,Increment,Přírůstek
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Výsledky nápovědy pro
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Vyberte sklad ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Reklama
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Stejný Společnost je zapsána více než jednou
DocType: Patient,Married,Ženatý
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Není dovoleno {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Položka získaná z
DocType: Stock Entry,Send to Subcontractor,Odeslat subdodavateli
DocType: Purchase Invoice,Apply Tax Withholding Amount,Použijte částku s odečtením daně
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Celkový počet dokončených nemůže být větší než pro množství
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Sklad nelze aktualizovat na dodací list {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Celková částka připsána
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Žádné položky nejsou uvedeny
DocType: Asset Repair,Error Description,Popis chyby
DocType: Payment Reconciliation,Reconcile,Srovnat
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Potraviny
DocType: Quality Inspection Reading,Reading 1,Čtení 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Penzijní fondy
DocType: Exchange Rate Revaluation Account,Gain/Loss,Zisk / ztráta
DocType: Crop,Perennial,Trvalka
DocType: Program,Is Published,Je publikováno
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Zobrazit dodací listy
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Chcete-li povolit přeúčtování, aktualizujte položku „Příplatek za fakturaci“ v Nastavení účtů nebo v položce."
DocType: Patient Appointment,Procedure,Postup
DocType: Accounts Settings,Use Custom Cash Flow Format,Použijte formát vlastní peněžní toky
DocType: SMS Center,All Sales Person,Všichni obchodní zástupci
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Měsíční Distribuce ** umožňuje distribuovat Rozpočet / Target celé měsíce, pokud máte sezónnosti ve vaší firmě."
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Nebyl nalezen položek
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Plat Struktura Chybějící
DocType: Lead,Person Name,Osoba Jméno
,Supplier Ledger Summary,Shrnutí účetní knihy dodavatele
DocType: Sales Invoice Item,Sales Invoice Item,Položka prodejní faktury
DocType: Quality Procedure Table,Quality Procedure Table,Tabulka kvality
DocType: Account,Credit,Úvěr
DocType: POS Profile,Write Off Cost Center,Odepsat nákladové středisko
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",například &quot;Základní škola&quot; nebo &quot;univerzita&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Stock Reports
DocType: Warehouse,Warehouse Detail,Sklad Detail
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Datum poslední kontroly uhlíku nemůže být budoucí
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Termínovaný Datum ukončení nemůže být později než v roce Datum ukončení akademického roku, ke kterému termín je spojena (akademický rok {}). Opravte data a zkuste to znovu."
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Je dlouhodobý majetek"" nemůže být nezaškrtnutý protože existuje zápis aktiva oproti této položce"
DocType: Delivery Trip,Departure Time,Čas odjezdu
DocType: Vehicle Service,Brake Oil,Brake Oil
DocType: Tax Rule,Tax Type,Daňové Type
,Completed Work Orders,Dokončené pracovní příkazy
DocType: Support Settings,Forum Posts,Příspěvky ve fóru
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",Úkol byl označen jako úloha na pozadí. V případě jakéhokoli problému se zpracováním na pozadí přidá systém komentář k chybě v tomto smíření zásob a vrátí se do fáze konceptu.
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Litujeme, platnost kódu kupónu nezačala"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Zdanitelná částka
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Nejste oprávněni přidávat nebo aktualizovat údaje před {0}
DocType: Leave Policy,Leave Policy Details,Zanechat podrobnosti o zásadách
DocType: BOM,Item Image (if not slideshow),Item Image (ne-li slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Řádek # {0}: Operace {1} není dokončena pro {2} množství hotového zboží v objednávce {3}. Aktualizujte prosím provozní stav pomocí Job Card {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Hodinová sazba / 60) * Skutečný čas operace
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Řádek # {0}: Referenční typ dokumentu musí být jedním z nákladového tvrzení nebo záznamu v deníku
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Vybrat BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,Zvoní
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Náklady na dodávaných výrobků
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Dovolená na {0} není mezi Datum od a do dnešního dne
DocType: Inpatient Record,Admission Scheduled,Přijetí naplánováno
DocType: Student Log,Student Log,Student Log
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Šablony dodavatelů.
DocType: Lead,Interested,Zájemci
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Otvor
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Kopírovat z bodu Group
DocType: Journal Entry,Opening Entry,Otevření Entry
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Účet Pay Pouze
DocType: Loan,Repay Over Number of Periods,Splatit Over počet období
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Množství na výrobu nesmí být menší než nula
DocType: Stock Entry,Additional Costs,Dodatečné náklady
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Účet s transakcemi nelze převést na skupinu.
DocType: Lead,Product Enquiry,Dotaz Product
DocType: Education Settings,Validate Batch for Students in Student Group,Ověřit dávku pro studenty ve skupině studentů
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Žádný záznam volno nalezených pro zaměstnance {0} na {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Nerealizovaný účet zisku / ztráty na účtu Exchange
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,"Prosím, nejprave zadejte společnost"
