Pension Funds,年金基金
The holiday on {0} is not between From Date and To Date,{0}の休日は開始日と終了日の間ではありません
Lead must be set if Opportunity is made from Lead,商談が商談から行われる場合は、商談を設定する必要があります。
Account with existing transaction can not be converted to group.,既存の取引のある口座はグループに変換できません。
Timesheet {0} is already completed or cancelled,タイムシート{0}はすでに完了またはキャンセルされています
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.",Sales and Purchasesに追加できる標準の取引条件例：1.オファーの有効性1.支払条件（前払い、入金、一部前払いなど） 1.追加料金（またはお客様が支払う金額）とは何ですか。安全性/使用法に関する警告。 1.もしあれば保証。 1.返品ポリシー該当する場合は、出荷条件。 1.紛争、損害賠償、法的責任などに対処する方法。1.会社の対処および連絡先。
Leave Status Notification,ステータス通知を残す
Designation Skill,指定スキル
Quantity required for Item {0} in row {1},行{1}の商品{0}に必要な数量
"To filter based on Party, select Party Type first",パーティーに基づいてフィルタリングするには、最初にパーティータイプを選択します
No Salary Structure assigned for Employee {0} on given date {1},特定の日付{1}の従業員{0}に給与構造が割り当てられていません
Number,数
Separate course based Group for every Batch,バッチごとに個別のコースベースのグループ
Require Lab Test Approval,ラボテスト承認を要求する
Update Clearance Date,承認日を更新する
Import Chart of Accounts from a csv file,csvファイルから勘定科目表をインポート
"Support for public app is deprecated. Please setup private app, for more details refer user manual",公開アプリのサポートは廃止予定です。プライベートアプリを設定してください。詳細についてはユーザーマニュアルを参照してください。
Signed,署名済み
Terms and Conditions1,ご利用規約1
Please select Employee Record first.,最初に社員レコードを選択してください。
Password policy for Salary Slips is not set,給与明細のパスワードポリシーが設定されていません
Result HTML,結果のHTML
Ignore holidays,休日を無視する
Linked Soil Texture,リンク土壌テクスチャ
This is based on logs against this Vehicle. See timeline below for details,これはこの車両に対するログに基づいています。詳細は下記のタイムラインをご覧ください。
ACC-PAY-.YYYY.-,ACC-PAY-YYYY-
Emergency Contact,緊急連絡
Authorization URL,認証URL
On Leave,休暇中
Show a slideshow at the top of the page,ページ上部にスライドショーを表示する
Payer Settings,支払人の設定
Set Tax Rule for shopping cart,ショッピングカートの課税規則を設定する
In Production,生産中
Payment References,支払いの参照
Valid Till,まで有効
{0}: From {0} of type {1},{0}：タイプ{1}の{0}から
Project Name,プロジェクト名
Stock Qty,在庫数
Child Item should not be a Product Bundle. Please remove item `{0}` and save,子項目は製品バンドルにしないでください。アイテム「{0}」を削除して保存してください
Response Result Key Path,応答結果のキーパス
Fully Sponsored,十分に後援される
Not permitted. Please disable the Service Unit Type,許可されていません。サービスユニットの種類を無効にしてください
Offline POS Settings,オフラインPOS設定
Calculations,計算
Material Requested,要求された材料
Reference Row,参照行
Annual Allocation,年間配分
Subcontract,下請
Valuation type charges can not marked as Inclusive,評価タイプの料金は包括的としてマークすることはできません
Account {0}: Parent account {1} does not belong to company: {2},アカウント{0}：親アカウント{1}は会社に属していません：{2}
Failed to login,ログインに失敗しました
Items and Pricing,商品と価格
Payment Terms Template,支払条件テンプレート
Previous Work Experience,以前の仕事の経験
Program,プログラム
Healthcare,健康管理
Complaint,苦情
Restrict to Countries,国に制限する
Item Manager,アイテム管理
Currency of the Closing Account must be {0},決算口座の通貨は{0}である必要があります
Opening Invoice Item,請求書明細を開く
Plan material for sub-assemblies,部分組立品の計画品目
Hardware,ハードウェア
Action if Annual Budget Exceeded on MR,MRで年間予算を超えた場合の対応
Advance Amount,前払い額
Against Sales Invoice Item,売上請求明細に対する
HR-EXP-.YYYY.-,HR-EXP-YYYY-
Include Item In Manufacturing,製造に品目を含める
Check in (group),チェックイン（グループ）
Do not show any symbol like $ etc next to currencies.,通貨の横に$ etcのような記号を表示しないでください。
Salary Component Type,給与コンポーネントの種類
The shareholder does not belong to this company,株主はこの会社に属していません
Day(s) after the end of the invoice month,請求月の末日以降の日
Vehicle Type,車種
Healthcare Administrator,医療管理者
Single Transaction Threshold,単一トランザクションしきい値
Broadcasting,放送
Post Title Key,投稿タイトルキー
Customer Primary Address,顧客の主な住所
Please select batches for batched item ,バッチアイテムのバッチを選択してください
Min Qty,最小数量
Payment Deductions or Loss,支払い控除または損失
On Item Quantity,商品数量について
Replace BOM and update latest price in all BOMs,BOMを交換し、すべてのBOMの最新価格を更新する
Both Trial Period Start Date and Trial Period End Date must be set,試用期間の開始日と試用期間の終了日の両方を設定する必要があります
No time sheets,タイムシートなし
Statement Header Mapping,ステートメントヘッダーマッピング
Mark Half Day,マーク半日
Material Transfer for Manufacture,製造のための品目転送
Block Supplier,ブロックサプライヤー
Please enter Woocommerce Server URL,WoocommerceサーバーのURLを入力してください
From Place,場所から
No contacts with email IDs found.,電子メールIDを持つ連絡先が見つかりませんでした。
Consumption Invoiced,請求された消費
Requested Quantity,要求数量
Exit,出口
Dispatch Information,発送情報
Basic Amount (Company Currency),基本金額（会社通貨）
Selling Settings,販売設定
A question must have more than one options,質問には複数の選択肢が必要です
Please set the Date Of Joining for employee {0},従業員の加入日を設定してください{0}
About your company,あなたの会社について
Fiscal Year {0} does not exist,会計年度{0}は存在しません
Leave Application,申請を残す
Maintenance Log,メンテナンスログ
Invalid Posting Time,無効な投稿時間
Discount,ディスカウント
Redeem Loyalty Points,ロイヤリティポイントの交換
Quotation Series,見積シリーズ
Occupation,職業
Opening Stock,期首在庫
Supplier Score,サプライヤスコア
Only show Items from these Item Groups,これらの商品グループの商品のみを表示
Time In Mins,分の時間
Item {0} does not exist in the system or has expired,アイテム{0}がシステムに存在しないか期限切れです
Price Discount Scheme,価格割引スキーム
Hyper,ハイパー
What does it do?,それは何をするためのものか？
Sales Invoice Trends,販売請求書の傾向
Payment Entries,支払いエントリ
Class / Percentage,クラス/割合
Electronic Invoice Register,電子請求書レジスタ
Is Return (Credit Note),返品です（クレジットノート）
Lab Test Sample,ラボテストサンプル
status html,ステータスHTML
"For e.g. 2012, 2012-13",例：2012、2012〜13
disabled user,無効なユーザー
ES,ES
Warehouse Type,倉庫タイプ
Quick Journal Entry,クイックジャーナルエントリ
Consumed Amount,消費額
Already completed,既に完了している
Pending Amount,保留金額
Warn RFQs,RFQに警告する
Lab Prescription,ラボ処方
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,減価償却行{0}：次の減価償却日を使用可能日より前にすることはできません
USD,米ドル
"Asset {0} cannot be scrapped, as it is already {1}",資産{0}はすでに{1}であるため廃棄できません
Departure Time,出発時間
Donor Type,ドナーの種類
Monthly Sales Target,月間売上目標
Redemption Date,償還日
Approving User cannot be same as user the rule is Applicable To,承認ユーザーは、ルールが適用されるユーザーと同じにすることはできません。
Fee Schedule Student Group,料金表学生グループ
 From Date can not be greater than To Date,開始日は終了日より大きくすることはできません
Please specify a {0},{0}を指定してください
To GSTIN,GSTINへ
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,期間終了日を期間開始日より前にすることはできません。日付を修正してもう一度やり直してください。
No Employee Found,従業員が見つかりません
Exemption Category,免除カテゴリー
Create Disbursement Entry,支払いエントリの作成
Purpose must be one of {0},目的は{0}のいずれかでなければなりません
Last Activity ,最後の活動
A link to all the Locations in which the Crop is growing,作物が成長しているすべての場所へのリンク
Course Enrollment {0} does not exists,コース登録{0}が存在しません
Maximum leave allowed in the leave type {0} is {1},休暇タイプ{0}で許可される最高休暇は{1}です
Qty to Transfer,転送する数量
Please identify/create Account (Group) for type - {0},タイプ{0}のアカウント（グループ）を識別または作成してください
Please set default customer group and territory in Selling Settings,[販売設定]でデフォルトの顧客グループと地域を設定してください
There isn't any item variant for the selected item,選択された商品の商品バリエーションはありません
Contract Details,契約の詳細
"Select, to make the customer searchable with these fields",顧客をこれらのフィールドで検索できるようにするには、を選択します。
Total Actual,合計実績
Change Code,変更コード
Planting Area,植栽エリア
Employee Grade (optional),従業員グレード（オプション）
Cost Center For Item with Item Code ',品目コードのある品目の原価センタ &#39;
Default Stock UOM,デフォルト在庫単位
Rent Cost,家賃
Training Result,トレーニング結果
Work Order not created,作業指示が作成されていません
Meter,メーター
Hero Image,ヒーローイメージ
No Items to pack,パックする商品はありません
Delivery warehouse required for stock item {0},在庫品目{0}に必要な配送倉庫
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,供給された原材料の品目{0}には予約倉庫が必須です
Target Location is required for the asset {0},ターゲットロケーションは資産{0}に必要です
SGST Amount,SGST金額
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",アカウントの残高はすでに貸方になっています。[残高]を[借方]に設定することはできません
GSTR 3B Report,GSTR 3Bレポート
Rate & Amount,料金と金額
Debit To is required,引き落としが必要です
Item Name,項目名
Cost of New Purchase,新規購入の費用
Additional information regarding the customer.,顧客に関する追加情報。
Wrong,違う
Batch Inventory,バッチインベントリ
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.",従業員に電子メールで送られた給与明細はパスワードで保護され、パスワードはパスワードポリシーに基づいて生成されます。
Received Amount,受領額
Is Sales Item,販売品目です
Generate Text File,テキストファイルを生成
Variants,変種
"Charges will be distributed proportionately based on item qty or amount, as per your selection",選択した金額に従って、商品の数量または金額に応じて料金が分配されます。
Pending activities for today,今日の保留中のアクティビティ
Student Batch,学生バッチ
Valuation Rate required for Item in row {0},行{0}の品目に必要な評価率
Base Hour Rate(Company Currency),基本時間レート（会社の通貨）
Printing Details,印刷の詳細
Manufacturing Manager,製造マネージャ
Job Card,ジョブカード
Prorate,恵まれた
"System User (login) ID. If set, it will become default for all HR forms.",システムユーザー（ログイン）ID。設定すると、すべてのHRフォームでデフォルトになります。
All Item Groups,全明細グループ
Select Status,ステータスを選択
Fixed rate,固定レート
Airline,航空会社
Term Details,用語の詳細
Acquisition Date,取得日
Send To,に送る
Average Rate,平均レート
Set Qty in Transactions based on Serial No Input,シリアル番号なし入力に基づくトランザクションの数量の設定
Advance account currency should be same as company currency {0},前払いアカウントの通貨は会社の通貨と同じである必要があります{0}
Customize Homepage Sections,ホームページセクションをカスタマイズする
October,10月
Hide Customer's Tax Id from Sales Transactions,販売取引から顧客の納税者番号を隠す
Invalid GSTIN! A GSTIN must have 15 characters.,GSTINが無効です。 GSTINは15文字でなければなりません。
Pricing Rule {0} is updated,価格設定ルール{0}が更新されました
Contract Fulfilment Checklist,契約履行チェックリスト
All Products,すべての製品
Product Search,製品検索
Net Pay,給料
Total Invoiced Amt,合計請求金額
Consumables Invoice Separately,消耗品は別に請求します
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM
Budget cannot be assigned against Group Account {0},グループアカウント{0}に対して予算を割り当てることはできません
Rate and Amount,レートと金額
Check availability,空室状況をチェックする
Cannot find Item with this barcode,このバーコードの商品が見つかりません
Default Invoice Naming Series,デフォルトの請求書命名シリーズ
Student Siblings,学生の兄弟
Journal Entry {0} does not have account {1} or already matched against other voucher,仕訳入力{0}にアカウント{1}がないか、既に他の伝票と照合されています
Legal Expenses,法定費用
Checkout,チェックアウト
Membership Details,会員の詳細
Please set the Customer Address,カスタマーアドレスを設定してください
List your products or services that you buy or sell.,あなたが売買するあなたの製品やサービスをリストしてください。
Income,所得
Rate at which this tax is applied,この税が適用される税率
Payment Receipt Note,支払い受領書
In Percentage,パーセントで
Quotations received from Suppliers.,サプライヤーからの見積もり
Reference Due Date,参照期限
Lead Time Days,リードタイム日数
Revision and Revised On,改訂および改訂日
{0} against Purchase Order {1},発注書{1}に対する{0}
Fee Records Created - {0},作成した料金レコード -  {0}
Note: {0},注：{0}
Serial No {0} has already been received,シリアル番号{0}はすでに受信されています
Leave Settings,設定を残す
Issue Credit Note,クレジットノートを発行
Batch Item Expiry Status,バッチアイテムの有効期限ステータス
Stock Transactions,株式取引
Event Location,イベント開催地
Motion Picture & Video,映画とビデオ
Row Spacing,行間
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,アカウント{0}のアカウント番号は使用できません。 <br>勘定科目表を正しく設定してください。
Starting location from left edge,左端からの開始位置
HR Settings,人事設定
Appointments,予定
Asset {0} created,資産{0}が作成されました
Please enter Planned Qty for Item {0} at row {1},明細{0}の計画数量を行{1}に入力してください
Select Batch,バッチを選択
Item Description,アイテム説明
Account Name,アカウント名
Please enter API Consumer Key,APIコンシューマキーを入力してください
Products per Page,1ページあたりの商品数
Duplicate {0} found in the table,表に重複した{0}が見つかりました
Default Distance Unit,デフォルト距離単位
Consume Stock,在庫を消費する
Key Performance Area,主なパフォーマンス分野
S.O. No.,SO番号
{0} not found for item {1},アイテム{1}の{0}が見つかりません
Set Source Warehouse,ソース倉庫の設定
Out Patient Settings,患者設定
Insurance End Date,保険終了日
Branch Code,支店コード
Time To Respond,対応する時間
User Forum,ユーザーフォーラム
Landed Cost Item,着陸費用明細
The seller and the buyer cannot be the same,売り手と買い手は同じではいけません
Copied From,コピー元
Available,利用可能
Sales Person Targets,営業担当者のターゲット
BOM Operation,BOMオペレーション
O-,O-
Interest Amount,利息額
Origin,原点
Add a new address,新しいアドレスを追加
Write Off Account,アカウントを償却
Proposal/Price Quote,プロポーザル/価格見積
Associate,仲間
Please input all required Result Value(s),必要な結果値をすべて入力してください
Purchase Order Item Supplied,供給された購買発注明細
Item {0} is not a serialized Item,項目{0}は直列化された項目ではありません
GoCardless Customer,GoCardlessのお客様
Leave Balance,バランスを残す
Maintenance Schedule {0} exists against {1},メンテナンススケジュール{0}が{1}に対して存在します
Supervisor Name,スーパーバイザー名
Campaign Naming By,キャンペーンの命名
Course Code,コースコード
Aerospace,航空宇宙
Distribute Charges Based On,に基づいて料金を配賦する
Supplier Scorecard Scoring Criteria,サプライヤスコアカードの採点基準
Stock,株式
Receipt Document Type,領収書伝票タイプ
Classification of Customers by region,地域による顧客の分類
Billable,請求可能
Government,政府
"Create Employee records to manage leaves, expense claims and payroll",従業員レコードを作成して、休暇、経費請求、給与を管理する
Point-of-Sale,販売時点情報管理
User {0} is already assigned to Healthcare Practitioner {1},ユーザー{0}はすでに医療従事者{1}に割り当てられています
Standard Buying,標準購入
Apprentice,見習い
Add Timesheets,タイムシートを追加する
"Number of new Account, it will be included in the account name as a prefix",新しいアカウントの番号。アカウント名に接頭辞として含まれます。
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,外注購買入庫にはサプライヤ倉庫が必須
Please enter Preferred Contact Email,ご希望の連絡先メールアドレスを入力してください
Normal,普通
Customer POS Id,顧客POS ID
Weight Per Unit,単位当たりの重量
Child nodes can be only created under 'Group' type nodes,子ノードは &#39;Group&#39;タイプのノードの下にのみ作成できます
(including),（含む）
Requested,要求された
Item {0} is not a stock Item,商品{0}は在庫商品ではありません
Multi Currency,多通貨
Write Off Difference Amount,差額の償却
Item {0} is disabled,アイテム{0}は無効です
Last Completion Date,最終完了日
Fulfillment,フルフィルメント
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",タスクはバックグラウンドジョブとしてエンキューされました。バックグラウンドでの処理に問題がある場合は、この在庫調整にエラーに関するコメントが追加され、ドラフト段階に戻ります。
Total Order Considered,考慮された合計注文数
Optimize Route,ルートを最適化する
Discount Percentage can be applied either against a Price List or for all Price List.,割引率は、価格表に対して、またはすべての価格表に対して適用できます。
Trainer Email,トレーナーEメール
Get from Patient Encounter,Patient Encounterから取得します。
Software Developer,ソフトウェア開発者
Sample Collection,サンプル収集
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',「トレーニングのフィードバック」をクリックしてから「新規」をクリックして、トレーニングへのフィードバックを共有してください。
Connecting to QuickBooks,QuickBooksに接続する
Enrolling student,在籍中の学生
Claimed,申し立て済み
Leaves,葉
Salary breakup based on Earning and Deduction.,収益と控除に基づく給与の分割。
Salary Structure Missing,給与体系がありません
Action Field,アクションフィールド
Quotation Trends,見積トレンド
Connect Amazon with ERPNext,AmazonをERPNextに接続する
Response and Resolution Time,応答時間および解決時間
Collection Tier,コレクション層
Guardian Of ,の守護者
Payment Gateway Details,支払いゲートウェイの詳細
Staffing Plan {0} already exist for designation {1},指定{1}の人員配置計画{0}が既に存在します
Website Warehouse,ウェブサイト倉庫
Rate With Margin,マージンによる評価
Salary Structure must be submitted before submission of Tax Ememption Declaration,給与体系は、税控除宣言の提出前に提出しなければならない
Add Leads,見込み客を追加
Reserve Warehouse,倉庫を予約する
Payment Term Name,支払い期間名
No Permission,全く許可しません
Select Company...,会社を選択してください
Use Naming Series,命名シリーズを使用する
Formula,式
Action if Accumulated Monthly Budget Exceeded on Actual,月次累積予算が実績を超えた場合の対処
Allow Encashment,隠蔽を許可する
Project activity / task.,プロジェクト活動/タスク
Bank Statement Transaction Invoice Item,銀行取引明細書トランザクション請求明細
Total Operating Cost,総運用コスト
Employee Onboarding Template,従業員オンボーディングテンプレート
Same Item,同じアイテム
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions",単一取引の金額が最大許容金額を超えている場合は、取引を分割して別の支払指図を登録します。
Salary Slips Created,給与明細書の作成
Lab Test(s) ,ラボテスト
Party Details,パーティーの詳細
Cost of Purchased Items,購入品のコスト
All communications including and above this shall be moved into the new Issue,これ以上のすべての通信は、新しい号に移動されるものとします。
Material Consumption for Manufacture,製造のための原料消費
Table for Item that will be shown in Web Site,Webサイトに表示されるアイテムの表
Restaurant Menu,レストランメニュー
Purpose,目的
Salary Structure Assignment for Employee already exists,従業員の給与構造割当はすでに存在します
Service Unit,サービス部門
Identification Document Number,身分証明資料番号
Additional Costs,追加費用
"Parent Course (Leave blank, if this isn't part of Parent Course)",親コース（これが親コースの一部でない場合は空白のままにします）
Employee Education,従業員教育
Number of positions cannot be less then current count of employees,現在の従業員数を下回ることはできません
All Customer Groups,すべての顧客グループ
Buying Price List,購入価格表
Finished Good Item Code,完成品コード
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,日付{0}に複数の会計年度があります。会計年度に会社を設定してください
Available for use date is required,使用可能日が必要です
Training Date,トレーニング日
Reading Uploaded File,アップロードされたファイルを読む
Material Request,資料請求
Total Allocated Amount (Company Currency),割当合計金額（会社通貨）
Restaurant Order Entry Item,レストラン注文入力項目
Distance,距離
Get financial breakup of Taxes and charges data by Amazon ,Amazonによる税金と請求のデータの財務上の分割を取得する
Mileage,マイレージ
"For an item {0}, quantity must be positive number",品目{0}の場合、数量は正数でなければなりません
Item Cart,商品カート
Payment Entries {0} are un-linked,支払いエントリ{0}はリンクされていません
Open Notifications,公開通知
Successfully created payment entries,支払いエントリを作成しました
Mg/K,Mg / K
Has Serial No,シリアル番号あり
Manufacturing User,製造ユーザー
Ledger,元帳
Loan,ローン
Fuel UOM,燃料UOM
Support,サポート
Invalid Company for Inter Company Transaction.,会社間取引に無効な会社です。
Fixed Asset Depreciation Settings,固定資産減価償却設定
Department and Grade,学部と学年
Cheques Required,必要なチェック
Do Not Contact,連絡しない
Update Billed Amount in Sales Order,受注の請求金額の更新
Meal Preference,食事の好み
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",優先順位が最も高い価格設定ルールが複数ある場合でも、次の内部優先順位が適用されます。
Employee {0} is not active or does not exist,従業員{0}はアクティブではないか存在しません
List of all share transactions,全株式取引の一覧
Sales Defaults,販売デフォルト
Overlap in scoring between {0} and {1},{0}と{1}の間で得点が重複しています
Weightage,体重
Create New Payment/Journal Entry,新しい支払い/仕訳入力を作成する
HR-ATT-.YYYY.-,HR-ATT -YYYY-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",上記の条件に基づいて2つ以上の価格設定ルールが見つかった場合は、優先順位が適用されます。優先度は0から20までの数値で、デフォルト値はゼロ（空白）です。数値が大きいほど、同じ条件の価格設定ルールが複数ある場合に優先されます。
Row {0}: Qty is mandatory,行{0}：数量は必須です
Against Income Account,収入アカウントに対して
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},行＃{0}：既存の資産に対して購入請求書を作成できません{1}
UOM coversion factor required for UOM: {0} in Item: {1},UOMに必要なUOM変換係数：アイテム：{1}の{0}
Please enter quantity for Item {0},商品{0}の数量を入力してください
Electricity Cost,電気代
Vehicle Service,車両サービス
Making Stock Entries,在庫エントリの作成
Fixed Deposit Number,定期預金番号
Very Coated,コーティング済み
Initial Email Notification Sent,最初に送信された電子メール通知
For Warehouse,倉庫用
"{0}: Employee email not found, hence email not sent",{0}：従業員のEメールが見つからなかったため、Eメールが送信されませんでした
From Currency,通貨から
Return / Debit Note,返品/デビットノート
"Order in which sections should appear. 0 is first, 1 is second and so on.",セクションを表示する順序0が最初、1が2番目というように続きます。
Create Sales Orders to help you plan your work and deliver on-time,あなたの仕事を計画し、時間通りに配達するのを助けるように販売注文を作成しなさい
Something went wrong!,問題が発生しました。
Please select Healthcare Service,医療サービスを選択してください
Apply / Approve Leaves,葉の適用/承認
Applies to Company,会社に適用
Row {0}: Bill of Materials not found for the Item {1},行{0}：品目{1}の部品表が見つかりません
Account Info,アカウント情報
Abbreviation,略語
Purchase Orders to Bill,請求書の発注
Total Net Weight,総正味重量
Approving Role (above authorized value),承認ロール（認定値以上）
HR-EAD-.YYYY.-,HR-EAD-YYYY-
Resume Attachment,添付ファイルを再開
Agriculture Manager,農業部長
Batch Entries,バッチエントリ
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,発注書に適用可能および実際の費用の予約に適用可能を有効にしてください
Gain/Loss on Asset Disposal,資産処分損益
Total Payment,合計金額
Total Number of Depreciations,減価償却の総数
Fully Depreciated,全額減価償却
Creating Accounts,アカウントを作成する
Item Variant Settings,明細バリアント設定
Supplier Group Name,サプライヤグループ名
Sales Price List,販売価格表
How frequently?,どのくらいの頻度で？
Supplier Warehouse,サプライヤ倉庫
Only Tax Impact (Cannot Claim But Part of Taxable Income),税務上の影響のみ（請求できないが課税所得の一部）
Purchase Defaults,購入デフォルト
Contract Template,契約テンプレート
Serial No {0} does not belong to Batch {1},シリアル番号{0}はバッチ{1}に属していません
Pending Leaves,保留中の葉
Applied,適用済み
Consumption Details,消費の詳細
Loading Payment System,ローディングペイメントシステム
Maximum Assessment Score,最大評価スコア
Please set default template for Leave Status Notification in HR Settings.,人事管理設定で休暇通知のデフォルトテンプレートを設定してください。
Student Report Card,学生レポートカード
Nature Of Supplies,供給の性質
Last Sync Datetime,最終同期日時
Code {0} already exist,コード{0}は既に存在します
Based On Payment Terms,支払条件に基づく
This value is updated in the Default Sales Price List.,この値はデフォルト販売価格表で更新されます。
Special Test Template,特別テストテンプレート
Create Variants,バリアントを作成
Default Expense Account,デフォルトの費用アカウント
Please setup Students under Student Groups,生徒グループの下に生徒を設定してください
Taxable Amount,課税額
Lead Owner,リードオーナー
Transfer,転送
Search Item (Ctrl + i),検索項目（Ctrl + i）
{0} Result submittted,{0}送信された結果
Supplier of Goods or Services.,商品またはサービスの供給者。
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,新しいアカウントの名前注：顧客とサプライヤのアカウントを作成しないでください
Student Group or Course Schedule is mandatory,学生グループまたはコーススケジュールは必須です
Sales Tax Template,売上税テンプレート
Routing,ルーティング
Payment Reconciliation,支払い調整
Match non-linked Invoices and Payments.,リンクされていない請求書と支払いを照合します。
Opening Balances,期首残高
PAN,PAN
Operation Cost,運用コスト
Name of Beneficiary,受益者の名前
New Address,新しいアドレス
