Pension Funds,Fundusze emerytalne
Cash In Hand,Gotówka w dłoni
The holiday on {0} is not between From Date and To Date,Święto w dniu {0} nie jest pomiędzy datą od daty do daty
Lead must be set if Opportunity is made from Lead,"Ołów musi być ustawiony, jeśli Szansa pochodzi z Ołowiu"
Account with existing transaction can not be converted to group.,Konta z istniejącą transakcją nie można przekształcić w grupę.
Timesheet {0} is already completed or cancelled,Karta czasu pracy {0} jest już ukończona lub anulowana
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standardowe warunki i postanowienia, które można dodać do sprzedaży i zakupów. Przykłady: 1. Ważność oferty. 1. Warunki płatności (z wyprzedzeniem, na kredyt, zaliczki na części itp.). 1. Co jest dodatkowe (lub płatne przez klienta). 1. Ostrzeżenie dotyczące bezpieczeństwa / użytkowania. 1. Gwarancja, jeśli taka istnieje. 1. Zwraca zasady. 1. Warunki wysyłki, jeśli dotyczy. 1. Sposoby rozwiązywania sporów, odszkodowań, odpowiedzialności itp. 1. Adres i kontakt Twojej firmy."
Leave Status Notification,Pozostaw powiadomienie o statusie
Designation Skill,Umiejętność oznaczania
Quantity required for Item {0} in row {1},Wymagana ilość dla elementu {0} w wierszu {1}
"To filter based on Party, select Party Type first","Aby filtrować na podstawie Party, najpierw wybierz Party Type"
No Salary Structure assigned for Employee {0} on given date {1},Brak przypisanej struktury wynagrodzeń dla pracownika {0} w podanym dniu {1}
Number,Numer
Separate course based Group for every Batch,Oddzielna grupa oparta na kursie dla każdej partii
Require Lab Test Approval,Wymagaj zatwierdzenia testu laboratoryjnego
Update Clearance Date,Data aktualizacji aktualizacji
Import Chart of Accounts from a csv file,Importuj plan kont z pliku csv
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Obsługa aplikacji publicznych jest przestarzała. Proszę ustawić prywatną aplikację, aby uzyskać więcej informacji, patrz instrukcja obsługi"
Signed,Podpisano
Terms and Conditions1,Warunki i zasady1
Please select Employee Record first.,Wybierz najpierw rekord pracownika.
Password policy for Salary Slips is not set,Polityka haseł dla poświadczeń wynagrodzenia nie jest ustawiona
Result HTML,Wynikowy HTML
Ignore holidays,Ignoruj święta
Linked Soil Texture,Połączona tekstura gleby
This is based on logs against this Vehicle. See timeline below for details,Jest to oparte na logach przeciwko temu pojazdowi. Szczegółowe informacje można znaleźć poniżej
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Kontakt w nagłych wypadkach
Authorization URL,URL autoryzacji
On Leave,Na urlopie
Show a slideshow at the top of the page,Pokaż pokaz slajdów na górze strony
Payer Settings,Ustawienia płatnika
Set Tax Rule for shopping cart,Ustaw regułę podatku dla koszyka
In Production,W produkcji
Payment References,Referencje płatności
Valid Till,Obowiązuje do
{0}: From {0} of type {1},{0}: Od {0} typu {1}
Project Name,Nazwa Projektu
Stock Qty,Ilość towaru
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Element podrzędny nie powinien być pakietem produktów. Usuń element `{0}` i zapisz
Response Result Key Path,Ścieżka klucza wyniku odpowiedzi
Fully Sponsored,W pełni sponsorowane
Not permitted. Please disable the Service Unit Type,Nie dozwolone. Wyłącz typ jednostki serwisowej
Offline POS Settings,Ustawienia offline POS
Calculations,Obliczenia
Material Requested,Żądany materiał
Reference Row,Wiersz odniesienia
Annual Allocation,Przydział roczny
Subcontract,Podkontrakt
Valuation type charges can not marked as Inclusive,Opłaty za wycenę nie mogą być oznaczone jako Inclusive
Account {0}: Parent account {1} does not belong to company: {2},Konto {0}: konto nadrzędne {1} nie należy do firmy: {2}
Failed to login,Nie udało się zalogować
Items and Pricing,Przedmioty i ceny
Payment Terms Template,Szablon warunków płatności
Previous Work Experience,Poprzednie doświadczenie zawodowe
Program,Program
Healthcare,Opieka zdrowotna
Complaint,Skarga
Restrict to Countries,Ogranicz do krajów
Item Manager,Menedżer przedmiotów
Currency of the Closing Account must be {0},Waluta rachunku zamknięcia musi być {0}
Opening Invoice Item,Otwarcie pozycji faktury
Plan material for sub-assemblies,Zaplanuj materiał na podzespoły
Hardware,Sprzęt komputerowy
Action if Annual Budget Exceeded on MR,"Działanie, jeśli roczny budżet przekroczył MR"
Advance Amount,Zaliczka
Against Sales Invoice Item,Przeciwko pozycji faktury sprzedaży
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Dołącz przedmiot do produkcji
Check in (group),Przyjazd (grupa)
Do not show any symbol like $ etc next to currencies.,Nie pokazuj żadnych symboli takich jak $ etc obok walut.
Salary Component Type,Typ komponentu wynagrodzenia
The shareholder does not belong to this company,Akcjonariusz nie należy do tej spółki
Day(s) after the end of the invoice month,Dzień (dni) po zakończeniu miesiąca faktury
Vehicle Type,Typ pojazdu
Healthcare Administrator,Administrator opieki zdrowotnej
Single Transaction Threshold,Próg pojedynczej transakcji
Broadcasting,Nadawanie
Post Title Key,Klucz tytułu postu
Customer Primary Address,Główny adres klienta
Please select batches for batched item ,Wybierz partie dla partii towaru
Min Qty,Min. Ilość
Payment Deductions or Loss,Potrącenia lub straty płatności
On Item Quantity,Na ilość przedmiotu
Replace BOM and update latest price in all BOMs,Zastąp BOM i zaktualizuj najnowszą cenę we wszystkich LM
Both Trial Period Start Date and Trial Period End Date must be set,"Należy ustawić zarówno datę rozpoczęcia okresu próbnego, jak i datę zakończenia okresu próbnego"
No time sheets,Brak arkuszy czasu
Statement Header Mapping,Mapowanie nagłówka instrukcji
Mark Half Day,Oznacz pół dnia
Material Transfer for Manufacture,Transfer materiałów do produkcji
Block Supplier,Blokuj dostawcę
Please enter Woocommerce Server URL,Wprowadź adres URL serwera Woocommerce
From Place,Z miejsca
No contacts with email IDs found.,Nie znaleziono kontaktów z identyfikatorami e-mail.
Consumption Invoiced,Faktura zafakturowana
Requested Quantity,Wymagana ilość
Exit,Wyjście
Dispatch Information,Informacje o wysyłce
Basic Amount (Company Currency),Kwota podstawowa (waluta firmy)
Selling Settings,Ustawienia sprzedaży
A question must have more than one options,Pytanie musi mieć więcej niż jedną opcję
Please set the Date Of Joining for employee {0},Ustaw datę dołączenia dla pracownika {0}
About your company,O Twojej firmie
Fiscal Year {0} does not exist,Rok podatkowy {0} nie istnieje
Leave Application,Opuść aplikację
Maintenance Log,Dziennik konserwacji
Invalid Posting Time,Nieprawidłowy czas księgowania
Discount,Zniżka
Redeem Loyalty Points,Wykorzystaj punkty lojalnościowe
Quotation Series,Seria notowań
Occupation,Zawód
Opening Stock,Czas otwarcia
Supplier Score,Ocena dostawcy
Only show Items from these Item Groups,Pokazuj tylko przedmioty z tych grup przedmiotów
Time In Mins,Czas w minutach
Item {0} does not exist in the system or has expired,Pozycja {0} nie istnieje w systemie lub wygasła
Price Discount Scheme,System rabatów cenowych
Hyper,Hiper
What does it do?,Co to robi?
Sales Invoice Trends,Trendy faktur sprzedaży
Payment Entries,Wpisy płatności
Class / Percentage,Klasa / procent
Electronic Invoice Register,Rejestr faktur elektronicznych
Is Return (Credit Note),Czy powrót (uwaga kredytowa)
Lab Test Sample,Próbka laboratoryjna
status html,status html
"For e.g. 2012, 2012-13","Na przykład 2012, 2012-13"
disabled user,niepełnosprawny użytkownik
ES,ES
Warehouse Type,Typ magazynu
Quick Journal Entry,Szybki wpis do dziennika
Consumed Amount,Zużyta kwota
Already completed,Zakończone
Pending Amount,Oczekująca kwota
Warn RFQs,Ostrzegaj zapytania ofertowe
Lab Prescription,Recepta laboratoryjna
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Wiersz amortyzacji {0}: Następna data amortyzacji nie może być przed datą dostępną do użycia
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Zasób {0} nie może zostać złomowany, ponieważ jest już {1}"
Departure Time,Godzina odjazdu
Donor Type,Typ dawcy
Monthly Sales Target,Miesięczny cel sprzedaży
Redemption Date,Data wykupu
Approving User cannot be same as user the rule is Applicable To,Zatwierdzający użytkownik nie może być taki sam jak użytkownik. Reguła ma zastosowanie do
Fee Schedule Student Group,Harmonogram opłat Grupa studencka
 From Date can not be greater than To Date,Od daty nie może być większa niż data
Please specify a {0},Podaj {0}
To GSTIN,Do GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Termin zakończenia nie może być wcześniejszy niż data rozpoczęcia okresu. Popraw daty i spróbuj ponownie.
No Employee Found,Nie znaleziono pracownika
Exemption Category,Kategoria zwolnienia
Create Disbursement Entry,Utwórz wpis wypłaty
Purpose must be one of {0},Cel musi być jednym z {0}
Last Activity ,Ostatnia aktywność
A link to all the Locations in which the Crop is growing,"Łącze do wszystkich miejsc, w których rośnie uprawa"
Course Enrollment {0} does not exists,Rejestracja kursu {0} nie istnieje
Maximum leave allowed in the leave type {0} is {1},Maksymalny urlop dozwolony w typie urlopu {0} to {1}
Qty to Transfer,Ilość do przeniesienia
Please identify/create Account (Group) for type - {0},Określ / utwórz konto (grupę) dla typu - {0}
Please set default customer group and territory in Selling Settings,Ustaw domyślną grupę klientów i terytorium w Ustawieniach sprzedaży
There isn't any item variant for the selected item,Dla wybranego elementu nie ma żadnego wariantu przedmiotu
Contract Details,Szczegóły umowy
"Select, to make the customer searchable with these fields","Wybierz, aby klient mógł przeszukiwać te pola"
Total Actual,Total Actual
Change Code,Zmień kod
Planting Area,Obszar sadzenia
Employee Grade (optional),Stopień pracownika (opcjonalnie)
Cost Center For Item with Item Code ',Miejsce powstawania kosztów dla przedmiotu z kodem towaru ”
Default Stock UOM,Domyślna UOM zapasów
Rent Cost,Koszt wynajmu
Training Result,Wynik szkolenia
Work Order not created,Nie utworzono zlecenia pracy
Meter,Metr
Hero Image,Obraz bohatera
No Items to pack,Brak przedmiotów do spakowania
Delivery warehouse required for stock item {0},Wymagany magazyn dostawy dla pozycji magazynowej {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Magazyn zastrzeżony jest obowiązkowy dla przedmiotu {0} w dostarczanych surowcach
Target Location is required for the asset {0},Lokalizacja docelowa jest wymagana dla zasobu {0}
SGST Amount,Kwota SGST
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Saldo konta już w Kredycie, nie możesz ustawić „Bilans musi być” jako „Debet”"
GSTR 3B Report,Raport GSTR 3B
Rate & Amount,Stawka i kwota
Debit To is required,Wymagane jest polecenie zapłaty
Item Name,Nazwa przedmiotu
Cost of New Purchase,Koszt nowego zakupu
Additional information regarding the customer.,Dodatkowe informacje dotyczące klienta.
Wrong,Źle
Batch Inventory,Inwentaryzacja partii
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Ślad wynagrodzenia przesłany pocztą elektroniczną do pracownika będzie chroniony hasłem, hasło zostanie wygenerowane na podstawie polityki haseł."
Received Amount,Otrzymana ilość
Is Sales Item,Czy pozycja sprzedaży
Generate Text File,Wygeneruj plik tekstowy
Variants,Warianty
"Charges will be distributed proportionately based on item qty or amount, as per your selection","Opłaty będą rozdzielane proporcjonalnie na podstawie ilości lub kwoty przedmiotu, zgodnie z wyborem"
Pending activities for today,Oczekujące działania na dziś
Student Batch,Partia studencka
Valuation Rate required for Item in row {0},Wymagana stawka wyceny dla pozycji w rzędzie {0}
Base Hour Rate(Company Currency),Podstawowa stawka godzinowa (waluta firmy)
Printing Details,Drukowanie szczegółów
Manufacturing Manager,kierownik produkcji
Job Card,Karta pracy
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.","ID użytkownika systemu (login). Jeśli jest ustawiony, stanie się domyślny dla wszystkich formularzy HR."
All Item Groups,Wszystkie grupy przedmiotów
Select Status,Wybierz Status
Fixed rate,Stała stawka
Airline,Linia lotnicza
Term Details,Szczegóły terminu
Acquisition Date,Data nabycia
Send To,Wysłać do
Average Rate,Średnia stopa
Set Qty in Transactions based on Serial No Input,Ustaw ilość w transakcjach na podstawie seryjnego braku wejścia
Advance account currency should be same as company currency {0},Waluta konta zaliczkowego powinna być taka sama jak waluta firmy {0}
Customize Homepage Sections,Dostosuj sekcje strony głównej
October,październik
Hide Customer's Tax Id from Sales Transactions,Ukryj identyfikator podatkowy klienta z transakcji sprzedaży
Invalid GSTIN! A GSTIN must have 15 characters.,Nieprawidłowy GSTIN! GSTIN musi mieć 15 znaków.
Pricing Rule {0} is updated,Zaktualizowano regułę cenową {0}
Contract Fulfilment Checklist,Lista kontrolna realizacji umowy
All Products,Wszystkie produkty
Product Search,Wyszukiwarka produktów
Net Pay,Płaca netto
Total Invoiced Amt,Total Invoiced Amt
Consumables Invoice Separately,Faktura eksploatacyjna osobno
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
Budget cannot be assigned against Group Account {0},Budżetu nie można przypisać do konta grupowego {0}
Rate and Amount,Stawka i kwota
Check availability,Sprawdź dostępność
Cannot find Item with this barcode,Nie można znaleźć elementu z tym kodem kreskowym
Default Invoice Naming Series,Domyślna seria nazewnictwa faktur
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Jeśli {0} {1} ilość elementu <b>{2}</b> , schemat <b>{3}</b> zostanie zastosowany do elementu."
Student Siblings,Rodzeństwo ucznia
Journal Entry {0} does not have account {1} or already matched against other voucher,Zapis księgowy {0} nie ma konta {1} lub nie został już dopasowany do innego kuponu
Legal Expenses,Koszty prawne
Checkout,Sprawdzić
Membership Details,Szczegóły członkostwa
Please set the Customer Address,Ustaw adres klienta
List your products or services that you buy or sell.,"Wymień swoje produkty lub usługi, które kupujesz lub sprzedajesz."
Income,Dochód
Rate at which this tax is applied,"Stawka, po której stosuje się ten podatek"
Payment Receipt Note,Potwierdzenie płatności Uwaga
In Percentage,W procentach
Quotations received from Suppliers.,Oferty otrzymane od dostawców.
Reference Due Date,Data referencyjna
Lead Time Days,Dni czasu wiodącego
Revision and Revised On,Rewizja i poprawione na
{0} against Purchase Order {1},{0} przeciwko zamówieniu {1}
Fee Records Created - {0},Utworzono rekordy opłat - {0}
Note: {0},Uwaga: {0}
Serial No {0} has already been received,Numer seryjny {0} został już odebrany
Leave Settings,Opuść ustawienia
Issue Credit Note,Uwaga do wydania
Batch Item Expiry Status,Status wygaśnięcia pozycji partii
Stock Transactions,Transakcje na akcje
Event Location,Lokalizacja wydarzenia
Motion Picture & Video,Film i wideo
Row Spacing,Rozstaw wierszy
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Numer konta dla konta {0} nie jest dostępny. <br> Ustaw poprawnie swój Plan kont.
Starting location from left edge,Początkowa lokalizacja od lewej krawędzi
HR Settings,Ustawienia HR
Appointments,Spotkania
Asset {0} created,Utworzono zasób {0}
Please enter Planned Qty for Item {0} at row {1},Wprowadź planowaną ilość dla pozycji {0} w wierszu {1}
Select Batch,Wybierz opcję Partia
Item Description,opis przedmiotu
Account Name,Nazwa konta
Please enter API Consumer Key,Wprowadź klucz konsumenta API
Products per Page,Produkty na stronę
Duplicate {0} found in the table,Duplikat {0} znaleziony w tabeli
Default Distance Unit,Domyślna jednostka odległości
Consume Stock,Zużyj zapasy
Key Performance Area,Kluczowy obszar działania
S.O. No.,Więc nie.
{0} not found for item {1},{0} nie znaleziono dla elementu {1}
Set Source Warehouse,Ustaw magazyn źródłowy
Out Patient Settings,Out Ustawienia pacjenta
Insurance End Date,Data zakończenia ubezpieczenia
Branch Code,Kod oddziału
Time To Respond,Czas na odpowiedź
User Forum,Forum użytkowników
Landed Cost Item,Pozycja kosztów wyładowanych
The seller and the buyer cannot be the same,Sprzedający i kupujący nie mogą być tacy sami
Copied From,Skopiowano z
Available,Dostępny
Sales Person Targets,Cele osoby sprzedającej
BOM Operation,Operacja BOM
O-,O-
Interest Amount,Kwota odsetek
Origin,Pochodzenie
Add a new address,Dodaj nowy adres
Write Off Account,Zapisz konto
Proposal/Price Quote,Oferta / oferta cenowa
Associate,Współpracownik
Please input all required Result Value(s),Wprowadź wszystkie wymagane wartości wyników
Purchase Order Item Supplied,Dostarczony przedmiot zamówienia zakupu
Item {0} is not a serialized Item,Element {0} nie jest przedmiotem zserializowanym
GoCardless Customer,Klient GoCardless
Leave Balance,Zostaw saldo
Maintenance Schedule {0} exists against {1},Harmonogram konserwacji {0} istnieje przeciwko {1}
Supervisor Name,imię przełożonego
Campaign Naming By,Nazywanie kampanii według
Course Code,Kod kursu
Aerospace,Kosmonautyka
Distribute Charges Based On,Rozłóż opłaty na podstawie
Supplier Scorecard Scoring Criteria,Kryteria oceny karty wyników dostawcy
Stock,Zbiory
Receipt Document Type,Rodzaj dokumentu odbioru
Classification of Customers by region,Klasyfikacja klientów według regionu
Billable,Płatne
Government,Rząd
"Create Employee records to manage leaves, expense claims and payroll","Twórz rekordy pracowników, aby zarządzać urlopami, roszczeniami z tytułu wydatków i listą płac"
Point-of-Sale,Punkt sprzedaży
User {0} is already assigned to Healthcare Practitioner {1},Użytkownik {0} jest już przypisany do pracownika służby zdrowia {1}
Standard Buying,Kupno standardowe
Apprentice,Uczeń
Add Timesheets,Dodaj karty graficzne
"Number of new Account, it will be included in the account name as a prefix",Numer nowego konta zostanie dodany do nazwy konta jako prefiks
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Magazyn Dostawcy jest obowiązkowy dla podwykonawców Potwierdzenie zakupu
Please enter Preferred Contact Email,Wprowadź preferowany adres e-mail kontaktu
Normal,Normalna
Customer POS Id,Identyfikator klienta POS
Weight Per Unit,Waga na jednostkę
Child nodes can be only created under 'Group' type nodes,Węzły potomne można tworzyć tylko w węzłach typu „Grupa”
(including),(włącznie z)
Requested,Zażądano
Item {0} is not a stock Item,Pozycja {0} nie jest towarem
Multi Currency,Wielowalutowy
Write Off Difference Amount,Zapisz kwotę różnicy
Item {0} is disabled,Pozycja {0} jest wyłączona
Last Completion Date,Ostatnia data zakończenia
Fulfillment,Spełnienie
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Zadanie zostało zakolejkowane jako zadanie w tle. W przypadku jakichkolwiek problemów z przetwarzaniem w tle, system doda komentarz dotyczący błędu w tym uzgadnianiu i powróci do etapu wersji roboczej"
Total Order Considered,Całkowite zamówienie uwzględnione
Optimize Route,Optymalizuj trasę
Discount Percentage can be applied either against a Price List or for all Price List.,"Procent rabatu można zastosować albo w oparciu o cennik, albo w odniesieniu do wszystkich cenników."
Trainer Email,E-mail trenera
Get from Patient Encounter,Uzyskaj od Spotkania Pacjenta
Software Developer,Programista
Sample Collection,Kolekcja próbek
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Podziel się swoją opinią na temat szkolenia, klikając „Opinie szkoleniowe”, a następnie „Nowe”"
Connecting to QuickBooks,Łączenie z QuickBooks
Enrolling student,Zapisanie studenta
Claimed,Twierdził
Leaves,Odchodzi
Salary breakup based on Earning and Deduction.,Podział wynagrodzenia na podstawie zarobków i odliczeń.
Salary Structure Missing,Brak struktury wynagrodzeń
Action Field,Pole akcji
Quotation Trends,Trendy cytatowe
Connect Amazon with ERPNext,Połącz Amazon z ERPNext
Response and Resolution Time,Czas odpowiedzi i rozdzielczości
Collection Tier,Poziom zbierania
Guardian Of ,Strażnik
Payment Gateway Details,Szczegóły bramki płatności
Staffing Plan {0} already exist for designation {1},Plan zatrudnienia {0} już istnieje dla oznaczenia {1}
Website Warehouse,Magazyn internetowy
Rate With Margin,Stawka z marżą
Salary Structure must be submitted before submission of Tax Ememption Declaration,Struktura wynagrodzeń musi zostać złożona przed złożeniem deklaracji zwolnienia podatkowego
Add Leads,Dodaj potencjalnych klientów
Reserve Warehouse,Magazyn zapasowy
Payment Term Name,Nazwa terminu płatności
No Permission,Brak pozwolenia
Select Company...,Wybierz firmę ...
Use Naming Series,Użyj serii nazw
Formula,Formuła
Action if Accumulated Monthly Budget Exceeded on Actual,"Działanie, jeśli skumulowany miesięczny budżet przekroczył wartość rzeczywistą"
Allow Encashment,Zezwalaj na szyfrowanie
Project activity / task.,Działanie / zadanie projektu.
Bank Statement Transaction Invoice Item,Przedmiot faktury Transakcja wyciągu bankowego
Total Operating Cost,Całkowity koszt operacyjny
Employee Onboarding Template,Szablon dołączania pracowników
Same Item,Ten sam przedmiot
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","Kwota dla pojedynczej transakcji przekracza maksymalną dozwoloną kwotę, utwórz oddzielne zlecenie płatnicze, dzieląc transakcje"
Salary Slips Created,Utworzono pensje wynagrodzenia
Lab Test(s) ,Testy laboratoryjne
Party Details,Szczegóły imprezy
Cost of Purchased Items,Koszt zakupionych przedmiotów
All communications including and above this shall be moved into the new Issue,"Wszystkie komunikaty, w tym i powyżej tego, zostaną przeniesione do nowego wydania"
Material Consumption for Manufacture,Zużycie materiałów do produkcji
Table for Item that will be shown in Web Site,"Tabela dla przedmiotu, który zostanie pokazany na stronie internetowej"
Restaurant Menu,Menu restauracji
Purpose,"Cel, powód"
Salary Structure Assignment for Employee already exists,Przydział struktury wynagrodzeń dla pracownika już istnieje
Service Unit,Jednostka serwisowa
Identification Document Number,Numer dokumentu identyfikacyjnego
Additional Costs,Dodatkowe koszty
"Parent Course (Leave blank, if this isn't part of Parent Course)","Kurs dla rodziców (pozostaw puste, jeśli nie jest to część kursu dla rodziców)"
Employee Education,Edukacja pracowników
Number of positions cannot be less then current count of employees,Liczba pozycji nie może być mniejsza niż bieżąca liczba pracowników
All Customer Groups,Wszystkie grupy klientów
Buying Price List,Cennik zakupów
Finished Good Item Code,Gotowy kod dobrego towaru
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Istnieje wiele lat fiskalnych dla daty {0}. Proszę ustawić firmę w roku podatkowym
Available for use date is required,Wymagana jest data użycia
Training Date,Data szkolenia
Reading Uploaded File,Odczyt przesłanego pliku
Material Request,Zapytanie o Materiały
Total Allocated Amount (Company Currency),Łączna kwota przydzielona (waluta firmy)
Restaurant Order Entry Item,Pozycja zamówienia do restauracji
Distance,Dystans
Get financial breakup of Taxes and charges data by Amazon ,Uzyskaj rozbicie finansowe danych dotyczących podatków i opłat przez Amazon
Mileage,Przebieg
"For an item {0}, quantity must be positive number",Dla przedmiotu {0} ilość musi być liczbą dodatnią
Item Cart,Koszyk przedmiotów
Payment Entries {0} are un-linked,Wpisy płatności {0} nie są powiązane
Open Notifications,Otwórz powiadomienia
Successfully created payment entries,Pomyślnie utworzono wpisy płatności
Mg/K,Mg / K
Has Serial No,Ma numer seryjny
Manufacturing User,Użytkownik produkcyjny
Ledger,Księga główna
Loan,Pożyczka
Fuel UOM,Paliwo paliwa
Support,Wsparcie
Invalid Company for Inter Company Transaction.,Nieważna firma dla transakcji między przedsiębiorstwami.
Fixed Asset Depreciation Settings,Naprawiono ustawienia amortyzacji zasobów
Department and Grade,Wydział i klasa
Cheques Required,Wymagane czeki
Do Not Contact,Nie kontaktuj się
