Period Name,期間名稱
Trial Period End Date Cannot be before Trial Period Start Date,試用期結束日期不能在試用期開始日期之前
Kg,公斤
Tax Withholding Category,預扣稅類別
Cancel the journal entry {0} first,首先取消日記條目{0}
BOM is not specified for subcontracting item {0} at row {1},沒有為行{1}的轉包商品{0}指定BOM,
{0} Result submittted,{0}結果提交
Help Results for,幫助結果
Select Warehouse...,選擇倉庫...
Advertising,廣告
Same Company is entered more than once,同一家公司進入不止一次
Not permitted for {0},不允許{0}
Get items from,取得項目來源
Price Not UOM Dependant,價格不依賴於UOM,
Apply Tax Withholding Amount,申請預扣稅金額
Stock cannot be updated against Delivery Note {0},送貨單{0}不能更新庫存
Total Amount Credited,總金額
Product {0},產品{0}
No items listed,沒有列出項目
Error Description,錯誤說明
Reconcile,調和
Grocery,雜貨
Reading 1,閱讀1,
Pension Funds,養老基金
Gain/Loss,收益/損失
Use Custom Cash Flow Format,使用自定義現金流量格式
All Sales Person,所有的銷售人員
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**幫助你分配預算/目標跨越幾個月，如果你在你的業務有季節性。
Not items found,未找到項目
Person Name,人姓名
Sales Invoice Item,銷售發票項目
Credit,信用
Write Off Cost Center,沖銷成本中心
"e.g. ""Primary School"" or ""University""",如“小學”或“大學”
Stock Reports,庫存報告
Warehouse Detail,倉庫的詳細資訊
The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,該期限結束日期不能晚於學年年終日期到這個詞聯繫在一起（學年{}）。請更正日期，然後再試一次。
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",“是固定的資產”不能選中，作為資產記錄存在對項目
Departure Time,出發時間
Tax Type,稅收類型
Completed Work Orders,完成的工作訂單
Forum Posts,論壇帖子
Taxable Amount,應稅金額
You are not authorized to add or update entries before {0},你無權添加或更新{0}之前的條目
Item Image (if not slideshow),產品圖片（如果不是幻燈片）
(Hour Rate / 60) * Actual Operation Time,（工時率/ 60）*實際操作時間
Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,行＃{0}：參考文檔類型必須是費用索賠或日記帳分錄之一
Select BOM,選擇BOM,
SMS Log,短信日誌
Cost of Delivered Items,交付項目成本
The holiday on {0} is not between From Date and To Date,在{0}這個節日之間沒有從日期和結束日期
Admission Scheduled,入學時間表
Student Log,學生登錄
Templates of supplier standings.,供應商榜單。
Interested,有興趣
Opening,開盤
From {0} to {1},從{0} {1}
Failed to setup taxes,無法設置稅收
Copy From Item Group,從項目群組複製
Opening Entry,開放報名
Account Pay Only,科目只需支付
Additional Costs,額外費用
Account with existing transaction can not be converted to group.,科目與現有的交易不能被轉換到群組。
Product Enquiry,產品查詢
Validate Batch for Students in Student Group,驗證學生組學生的批次
No leave record found for employee {0} for {1},未找到員工的假期記錄{0} {1}
Unrealized Exchange Gain/Loss Account,未實現的匯兌收益/損失科目
Please enter company first,請先輸入公司
Please select Company first,請首先選擇公司
Under Graduate,根據研究生
Target On,目標在
Total Cost,總成本
Ca/K,鈣/ K,
Employee Loan,員工貸款
Send Payment Request Email,發送付款請求電子郵件
Item {0} does not exist in the system or has expired,項目{0}不存在於系統中或已過期
Leave blank if the Supplier is blocked indefinitely,如果供應商被無限期封鎖，請留空
Real Estate,房地產
Statement of Account,科目狀態
Pharmaceuticals,製藥
Is Fixed Asset,是固定的資產
"Available qty is {0}, you need {1}",可用數量是{0}，則需要{1}
Claim Amount,索賠金額
Work Order has been {0},工單已{0}
Applicable on Purchase Order,適用於採購訂單
Duplicate customer group found in the cutomer group table,在CUTOMER組表中找到重複的客戶群
Location Name,地點名稱
Asset Settings,資產設置
Grade,年級
No of Seats,座位數
Delivered By Supplier,交付供應商
Asset Maintenance Task,資產維護任務
All Contact,所有聯絡
Closing Fiscal Year,截止會計年度
{0} {1} is frozen,{0} {1}被凍結
Please select Existing Company for creating Chart of Accounts,請選擇現有的公司創建會計科目表
Stock Expenses,庫存費用
Select Target Warehouse,選擇目標倉庫
Select Target Warehouse,選擇目標倉庫
Please enter Preferred Contact Email,請輸入首選電子郵件聯繫
Contra Entry,魂斗羅進入
Credit in Company Currency,信用在公司貨幣
Lab Test UOM,實驗室測試UOM,
Installation Status,安裝狀態
Quality Inspection Template,質量檢驗模板
"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",你想更新考勤？ <br>現任：{0} \ <br>缺席：{1}
Accepted + Rejected Qty must be equal to Received quantity for Item {0},品項{0}的允收＋批退的數量必須等於收到量
Supply Raw Materials for Purchase,供應原料採購
"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",無法通過序列號確保交貨，因為\項目{0}是否添加了確保交貨\序列號
At least one mode of payment is required for POS invoice.,付款中的至少一個模式需要POS發票。
Bank Statement Transaction Invoice Item,銀行對賬單交易發票項目
Show Products as a List,產品展示作為一個列表
Item {0} is not active or end of life has been reached,項目{0}不活躍或生命的盡頭已經達到
Minimum Age,最低年齡
Example: Basic Mathematics,例如：基礎數學
Diff Qty,差異數量
Material Request Detail,材料請求詳情
Default Quotation Validity Days,默認報價有效天數
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",要包括稅款，行{0}項率，稅收行{1}也必須包括在內
Change Amount,變動金額
Certificate Received,已收到證書
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,設置B2C的發票值。 B2CL和B2CS根據此發票值計算。
New BOM,新的物料清單
Prescribed Procedures,規定程序
Show only POS,只顯示POS,
Supplier Group Name,供應商集團名稱
Driving License Categories,駕駛執照類別
Please enter Delivery Date,請輸入交貨日期
Make Depreciation Entry,計提折舊進入
Closed Document,關閉文件
Leave Settings,保留設置
Number of positions cannot be less then current count of employees,職位數量不能少於當前員工人數
Request Type,請求類型
Make Employee,使員工
Broadcasting,廣播
Setup mode of POS (Online / Offline),POS（在線/離線）的設置模式
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,禁止根據工作訂單創建時間日誌。不得根據工作指令跟踪操作
Execution,執行
Details of the operations carried out.,進行的作業細節。
Maintenance Status,維修狀態
Membership Details,會員資格
{0} {1}: Supplier is required against Payable account {2},{0} {1}：需要對供應商應付帳款{2}
Items and Pricing,項目和定價
Total hours: {0},總時間：{0}
From Date should be within the Fiscal Year. Assuming From Date = {0},從日期應該是在財政年度內。假設起始日期＝{0}
Interval,間隔
Preference,偏愛
Individual,個人
Academics User,學術界用戶
Amount In Figure,量圖
Plan for maintenance visits.,規劃維護訪問。
Supplier Scorecard Period,供應商記分卡期
Share Transfer,股份轉讓
Expiring Memberships,即將到期的會員
Customer Groups,客戶群
Financial Statements,財務報表
Students,學生們
Rules for applying pricing and discount.,規則適用的定價和折扣。
Time Slots,時隙
Price List must be applicable for Buying or Selling,價格表必須適用於購買或出售
Installation date cannot be before delivery date for Item {0},品項{0}的安裝日期不能早於交貨日期
Discount on Price List Rate (%),折扣價目表率（％）
Item Template,項目模板
Out Value,輸出值
Bank Statement Settings Item,銀行對賬單設置項目
Woocommerce Settings,Woocommerce設置
Sales Orders,銷售訂單
Multiple Loyalty Program found for the Customer. Please select manually.,為客戶找到多個忠誠度計劃。請手動選擇。
Valuation,計價
Purchase Order Trends,採購訂單趨勢
Go to Customers,轉到客戶
Late Checkin,延遲入住
The request for quotation can be accessed by clicking on the following link,報價請求可以通過點擊以下鏈接進行訪問
SG Creation Tool Course,SG創建工具課程
Payment Description,付款說明
Insufficient Stock,庫存不足
Disable Capacity Planning and Time Tracking,禁用產能規劃和時間跟踪
New Sales Orders,新的銷售訂單
Bank Account,銀行帳戶
You cannot delete Project Type 'External',您不能刪除項目類型“外部”
Select Alternate Item,選擇備用項目
Create User,創建用戶
Default Territory,預設地域
Television,電視
Updated via 'Time Log',經由“時間日誌”更新
Select the customer or supplier.,選擇客戶或供應商。
Advance amount cannot be greater than {0} {1},提前量不能大於{0} {1}
"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}",時隙滑動，時隙{0}到{1}與現有時隙{2}重疊到{3}
Enable Perpetual Inventory,啟用永久庫存
Charges Incurred,收費發生
Default Payroll Payable Account,默認情況下，應付職工薪酬帳戶
Update Email Group,更新電子郵件組
Is Opening Entry,是開放登錄
"If unchecked, the item wont be appear in Sales Invoice, but can be used in group test creation. ",如果取消選中，該項目不會出現在銷售發票中，但可用於創建組測試。
Mention if non-standard receivable account applicable,何況，如果不規範應收帳款適用
Instructor Name,導師姓名
Arrear Component,欠費組件
Criteria Setup,條件設置
For Warehouse is required before Submit,對於倉庫之前，需要提交
Medical Code,醫療代號
Connect Amazon with ERPNext,將Amazon與ERPNext連接起來
Please enter Company,請輸入公司名稱
Against Sales Invoice Item,對銷售發票項目
Linked Doctype,鏈接的文檔類型
Net Cash from Financing,從融資淨現金
"LocalStorage is full , did not save",localStorage的滿了，沒救
Address & Contact,地址及聯絡方式
Partner website,合作夥伴網站
Add Item,新增項目
Party Tax Withholding Config,黨的預扣稅配置
Custom Result,自定義結果
Contact Name,聯絡人姓名
Course Assessment Criteria,課程評價標準
Tax Id: ,稅號：
Student ID: ,學生卡：
POS Customer Group,POS客戶群
Practitioner Schedules,從業者時間表
Additional Details,額外細節
Request for purchase.,請求您的報價。
Collected Amount,收集金額
This is based on the Time Sheets created against this project,這是基於對這個項目產生的考勤表
Open Work Orders,打開工作訂單
Out Patient Consulting Charge Item,出患者諮詢費用項目
Credit Months,信貸月份
Fulfilled,達到
Discharge Scheduled,出院預定
Relieving Date must be greater than Date of Joining,解除日期必須大於加入的日期
Cashier,出納員
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,行{0}：請檢查'是進階'對科目{1}，如果這是一個進階條目。
Warehouse {0} does not belong to company {1},倉庫{0}不屬於公司{1}
Profit & Loss,收益與損失
Please setup Students under Student Groups,請設置學生組的學生
Item Website Specification,項目網站規格
Item {0} has reached its end of life on {1},項{0}已達到其壽命結束於{1}
Is Internal Customer,是內部客戶
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)",如果選中自動選擇，則客戶將自動與相關的忠誠度計劃鏈接（保存時）
Stock Reconciliation Item,庫存調整項目
Sales Invoice No,銷售發票號碼
Supply Type,供應類型
Min Order Qty,最小訂貨量
Student Group Creation Tool Course,學生組創建工具課程
Do Not Contact,不要聯絡
People who teach at your organisation,誰在您的組織教人
Software Developer,軟件開發人員
Minimum Order Qty,最低起訂量
Supplier Type,供應商類型
Course Start Date,課程開始日期
Student Batch-Wise Attendance,學生分批出席
Allow user to edit Rate,允許用戶編輯率
Publish in Hub,在發布中心
Student Admission,學生入學
Terretory,Terretory,
Item {0} is cancelled,項{0}將被取消
Depreciation Row {0}: Depreciation Start Date is entered as past date,折舊行{0}：折舊開始日期作為過去的日期輸入
Fulfilment Terms and Conditions,履行條款和條件
Material Request,物料需求
Update Clearance Date,更新日期間隙
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},項目{0}未發現“原材料提供&#39;表中的採購訂單{1}
Total Principal Amount,本金總額
Relation,關係
Mother,母親
Reservation End Time,預訂結束時間
Biennial,雙年展
BOM Variance Report,BOM差異報告
Confirmed orders from Customers.,確認客戶的訂單。
Rejected Quantity,拒絕數量
Payment request {0} created,已創建付款請求{0}
Admitted Datetime,承認日期時間
Backflush raw materials from work-in-progress warehouse,從在製品庫中反沖原料
Open Orders,開放訂單
Low Sensitivity,低靈敏度
Order rescheduled for sync,訂單重新安排同步
Suggestions,建議
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,在此地域設定跨群組項目間的預算。您還可以通過設定分配來包含季節性。
Payment Term Name,付款條款名稱
Create documents for sample collection,創建樣本收集文件
Payment against {0} {1} cannot be greater than Outstanding Amount {2},對支付{0} {1}不能大於未償還{2}
All Healthcare Service Units,所有醫療服務單位
Mobile No.,手機號碼
Generate Schedule,生成時間表
Expense Head,總支出
Please select Charge Type first,請先選擇付款類別
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ",你可以在這裡定義所有需要進行的作業。日場是用來提及任務需要執行的日子，1日是第一天等。
Student Group Student,學生組學生
Education Settings,教育設置
Balance In Base Currency,平衡基礎貨幣
Max Grade,最高等級
New Quotations,新報價
Attendance not submitted for {0} as {1} on leave.,在{0}上沒有針對{1}上的考勤出席。
Payment Order,付款單
Shipping County,航運縣
Learn,學習
Enable Deferred Expense,啟用延期費用
Next Depreciation Date,接下來折舊日期
Activity Cost per Employee,每個員工活動費用
Settings for Accounts,會計設定
Supplier Invoice No exists in Purchase Invoice {0},供應商發票不存在採購發票{0}
Manage Sales Person Tree.,管理銷售人員樹。
"Cannot process route, since Google Maps Settings is disabled.",由於禁用了Google地圖設置，因此無法處理路線。
Outstanding Cheques and Deposits to clear,傑出的支票及存款清除
Synced With Hub,同步轂
Fleet Manager,車隊經理
Row #{0}: {1} can not be negative for item {2},行＃{0}：{1}不能為負值對項{2}
Wrong Password,密碼錯誤
Variant Of,變種
Completed Qty can not be greater than 'Qty to Manufacture',完成數量不能大於“數量來製造”
Closing Account Head,關閉帳戶頭
External Work History,外部工作經歷
Circular Reference Error,循環引用錯誤
Student Report Card,學生報告卡
From Pin Code,來自Pin Code,
Guardian1 Name,Guardian1名稱
In Words (Export) will be visible once you save the Delivery Note.,送貨單一被儲存，(Export)就會顯示出來。
Distance from left edge,從左側邊緣的距離
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} [{1}]的單位（＃窗體/項目/ {1}）在[{2}]研究發現（＃窗體/倉儲/ {2}）
Industry,行業
Rate & Amount,價格和金額
Transfer Material Against Job Card,轉移材料反對工作卡
Notify by Email on creation of automatic Material Request,在建立自動材料需求時以電子郵件通知
Please set Hotel Room Rate on {},請在{}上設置酒店房價
Multi Currency,多幣種
Invoice Type,發票類型
Delivery Note,送貨單
Setting up Taxes,建立稅
Cost of Sold Asset,出售資產的成本
Payment Entry has been modified after you pulled it. Please pull it again.,付款項被修改，你把它之後。請重新拉。
New Student Batch,新學生批次
{0} entered twice in Item Tax,{0}輸入兩次項目稅
Summary for this week and pending activities,本週和待活動總結
Admitted,錄取
Amount After Depreciation,折舊金額後
Upcoming Calendar Events,即將到來的日曆事件
Variant Attributes,變量屬性
Please select month and year,請選擇年份和月份
Company Email,企業郵箱
Debit Amount in Account Currency,在科目幣種借記金額
Order Value,訂單價值
Order Value,訂單價值
Certified Consultant,認證顧問
Bank/Cash transactions against party or for internal transfer,銀行/現金對一方或內部轉讓交易
Valid for Countries,有效的國家
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,這個項目是一個模板，並且可以在交易不能使用。項目的屬性將被複製到變型，除非“不複製”設置
Grant Application,授予申請
Total Order Considered,總訂貨考慮
Not Certified,未認證
New Asset Value,新資產價值
Rate at which Customer Currency is converted to customer's base currency,公司貨幣被換算成客戶基礎貨幣的匯率
Course Scheduling Tool,排課工具
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},行＃{0}：採購發票不能對現有資產進行{1}
LInked Analysis,LInked分析
POS Closing Voucher,POS關閉憑證
Lapsed,失效
Tax Rate,稅率
Backflush Raw Materials of Subcontract Based On,基於CRM的分包合同反向原材料
Purchase Invoice {0} is already submitted,採購發票{0}已經提交
Row # {0}: Batch No must be same as {1} {2},行＃{0}：批號必須與{1} {2}
Material Request Plan Item,材料申請計劃項目
Convert to non-Group,轉換為非集團
Good/Steady,好/穩定
Invoice Date,發票日期
Debit Amount,借方金額
There can only be 1 Account per Company in {0} {1},只能有每公司1科目{0} {1}
Response Result Key Path,響應結果關鍵路徑
Inter Company Journal Entry,Inter公司日記帳分錄
For quantity {0} should not be grater than work order quantity {1},數量{0}不應超過工單數量{1}
Please see attachment,請參閱附件
% Received,％ 已收
Create Student Groups,創建挺起胸
Weekends,週末
Credit Note Amount,信用額度
Action Document,行動文件
Website URL,網站網址
Instructions,說明
Inspected By,檢查
Maintenance Type,維護類型
{0} - {1} is not enrolled in the Course {2},{0}  -  {1} 未在課程中註冊 {2}
Student Name: ,學生姓名：
Difference,區別
Delay between Delivery Stops,交貨停止之間的延遲
Serial No {0} does not belong to Delivery Note {1},序列號{0}不屬於送貨單{1}
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.",服務器的GoCardless配置似乎存在問題。別擔心，如果失敗，這筆款項將退還給您的帳戶。
Add Items,添加項目
Item Quality Inspection Parameter,產品質量檢驗參數
Schedule Date,排定日期
Packed Item,盒裝產品
Default settings for buying transactions.,採購交易的預設設定。
Activity Cost exists for Employee {0} against Activity Type - {1},存在活動費用為員工{0}對活動類型 -  {1}
Mandatory field - Get Students From,強制性領域 - 獲得學生
Mandatory field - Get Students From,強制性領域 - 獲得學生
Enrolled courses,入學課程
Enrolled courses,入學課程
Currency Exchange,外幣兌換
Item Name,項目名稱
Approving User  (above authorized value),批准的用戶（上述授權值）
Credit Balance,貸方餘額
Widowed,寡
Request for Quotation,詢價
Require Lab Test Approval,需要實驗室測試批准
Working Hours,工作時間
Total Outstanding,總計傑出
Change the starting / current sequence number of an existing series.,更改現有系列的開始/當前的序列號。
Strength,強度
Create a new Customer,創建一個新的客戶
Expiring On,即將到期
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.",如果有多個定價規則繼續有效，用戶將被要求手動設定優先順序來解決衝突。
Create Purchase Orders,創建採購訂單
Purchase Register,購買註冊
Rechedule,Rechedule,
Applicable Charges,相關費用
Vehicle Date,車日期
Reason for losing,原因丟失
Please select Drug,請選擇藥物
Lead Owner cannot be same as the Lead,主導所有人不能等同於主導者
Allocated amount can not greater than unadjusted amount,分配的金額不能超過未調整的量更大
Area UOM,區域UOM,
Workstation is closed on the following dates as per Holiday List: {0},工作站在以下日期關閉按假日列表：{0}
Opportunities,機會
Single,單
Total Loan Repayment,總貸款還款
Cost of Goods Sold,銷貨成本
Please enter Cost Center,請輸入成本中心
Dosage,劑量
Sales Order,銷售訂單
Avg. Selling Rate,平均。賣出價
Examiner Name,考官名稱
No Result,沒有結果
Quantity and Rate,數量和速率
% Installed,％已安裝
Classrooms/ Laboratories etc where lectures can be scheduled.,教室/實驗室等在那裡的演講可以預定。
Company currencies of both the companies should match for Inter Company Transactions.,兩家公司的公司貨幣應該符合Inter公司交易。
Please enter company name first,請先輸入公司名稱
Supplier Name,供應商名稱
Read the ERPNext Manual,閱讀ERPNext手冊
01-Sales Return,01-銷售退貨
Temporarily on Hold,暫時擱置
Is Group,是集團
Credit Note {0} has been created automatically,信用票據{0}已自動創建
Automatically Set Serial Nos based on FIFO,自動設置序列號的基礎上FIFO,
Check Supplier Invoice Number Uniqueness,檢查供應商發票編號唯一性
Primary Address Details,主要地址詳情
Asset Maintenance Log,資產維護日誌
'To Case No.' cannot be less than 'From Case No.',“至案件編號”不能少於'從案件編號“
Non Profit,非營利
Not Started,未啟動
Channel Partner,渠道合作夥伴
Old Parent,舊上級
Mandatory field - Academic Year,必修課 - 學年
Mandatory field - Academic Year,必修課 - 學年
{0} {1} is not associated with {2} {3},{0} {1} 未與 {2} {3} 關聯
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,自定義去作為郵件的一部分的介紹文字。每筆交易都有一個單獨的介紹性文字。
Row {0} : Operation is required against the raw material item {1},行{0}：對原材料項{1}需要操作
Please set default payable account for the company {0},請為公司{0}設置預設應付帳款
Transaction not allowed against stopped Work Order {0},不允許對停止的工單{0}進行交易
Min Doc Count,最小文件計數
Global settings for all manufacturing processes.,所有製造過程中的全域設定。
Accounts Frozen Upto,科目被凍結到
Sent On,發送於
Attribute {0} selected multiple times in Attributes Table,屬性{0}多次選擇在屬性表
Employee record is created using selected field. ,使用所選欄位創建員工記錄。
Not Applicable,不適用
UK,聯合王國
Opening Invoice Item,打開發票項目
Required Date,所需時間
Billing Address,帳單地址
Statement Headers,聲明標題
Billing County,開票縣
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果選中，稅額將被視為已包含在列印速率/列印數量
Message for Supplier,消息供應商
Work Order,工作指示
Total Qty,總數量
Guardian2 Email ID,Guardian2電子郵件ID,
Guardian2 Email ID,Guardian2電子郵件ID,
Show in Website (Variant),展網站（變體）
Health Concerns,健康問題
Select Payroll Period,選擇工資期
Reserved for sale,保留出售
From Package No.,從包裹編號
To Range,為了範圍
Securities and Deposits,證券及存款
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",不能改變估值方法，因為有一些項目沒有自己的估值方法的交易
Attended by Parents,由父母出席
Employee {0} has already applied for {1} on {2} : ,員工{0}已在{2}上申請{1}：
AB Positive,AB積極
Pending activities for today,今天待定活動
Applicable for external driver,適用於外部驅動器
Used for Production Plan,用於生產計劃
Cannot cancel transaction for Completed Work Order.,無法取消已完成工單的交易。
Time Between Operations (in mins),作業間隔時間（以分鐘計）
PO already created for all sales order items,已為所有銷售訂單項創建採購訂單
Occupied,佔據
{0} {1} is cancelled so the action cannot be completed,{0} {1} 被取消，因此無法完成操作
Buyer of Goods and Services.,買家商品和服務。
Accounts Payable,應付帳款
The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,此付款申請中設置的{0}金額與所有付款計劃的計算金額不同：{1}。在提交文檔之前確保這是正確的。
Allergies,過敏
The selected BOMs are not for the same item,所選的材料清單並不同樣項目
Change Item Code,更改物料代碼
Blood Pressure (systolic),血壓（收縮期）
Valid Upto,到...為止有效
Warn Purchase Orders,警告採購訂單
