DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varian Item diperbarui
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Penjualan dan Pengembalian
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Tampilkan Varian
DocType: Academic Term,Academic Term,Jangka Akademis
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Sub Bidang Pembebasan Pajak Pegawai
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Harap tetapkan Alamat di Perusahaan &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Bahan
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Manfaat maksimum karyawan {0} melebihi {1} dengan jumlah {2} dari aplikasi manfaat pro-rata komponen \ jumlah dan jumlah yang diklaim sebelumnya
DocType: Opening Invoice Creation Tool Item,Quantity,Kuantitas
,Customers Without Any Sales Transactions,Pelanggan Tanpa Transaksi Penjualan apa pun
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Tabel account tidak boleh kosong.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Gunakan Google Maps Direction API untuk menghitung perkiraan waktu kedatangan
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Kredit (Kewajiban)
DocType: Patient Encounter,Encounter Time,Waktu Pertemuan
DocType: Staffing Plan Detail,Total Estimated Cost,Total Estimasi Biaya
DocType: Employee Education,Year of Passing,Tahun Berjalan
DocType: Routing,Routing Name,Nama Routing
DocType: Item,Country of Origin,Negara Asal
DocType: Soil Texture,Soil Texture Criteria,Kriteria Tekstur Tanah
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Dalam Persediaan
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Rincian Kontak Utama
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,terbuka Isu
DocType: Production Plan Item,Production Plan Item,Rencana Produksi Stok Barang
DocType: Leave Ledger Entry,Leave Ledger Entry,Tinggalkan Entri Buku Besar
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Pengguna {0} sudah ditugaskan untuk Karyawan {1}
DocType: Lab Test Groups,Add new line,Tambahkan baris baru
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Buat Lead
DocType: Production Plan,Projected Qty Formula,Formula Qty yang Diproyeksikan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Kesehatan
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Keterlambatan pembayaran (Hari)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Rincian Syarat Pembayaran
DocType: Hotel Room Reservation,Guest Name,Nama tamu
DocType: Delivery Note,Issue Credit Note,Terbitkan Catatan Kredit
DocType: Lab Prescription,Lab Prescription,Resep Lab
,Delay Days,Tunda hari
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Beban layanan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Nomor Seri: {0} sudah dirujuk dalam Faktur Penjualan: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Faktur
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Jumlah Pembebasan Maksimum
DocType: Purchase Invoice Item,Item Weight Details,Rincian Berat Item
DocType: Asset Maintenance Log,Periodicity,Periode
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Tahun fiskal {0} diperlukan
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Laba / Rugi Bersih
DocType: Employee Group Table,ERPNext User ID,ID Pengguna ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Jarak minimum antara deretan tanaman untuk pertumbuhan optimum
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Silakan pilih Pasien untuk mendapatkan prosedur yang ditentukan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Pertahanan
DocType: Salary Component,Abbr,Singkatan
DocType: Appraisal Goal,Score (0-5),Skor (0-5)
DocType: Tally Migration,Tally Creditors Account,Akun Tally Kreditor
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Baris {0}: {1} {2} tidak cocok dengan {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Row # {0}:
DocType: Timesheet,Total Costing Amount,Jumlah Total Biaya
DocType: Sales Invoice,Vehicle No,Nomor Kendaraan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Silakan pilih Daftar Harga
DocType: Accounts Settings,Currency Exchange Settings,Pengaturan Pertukaran Mata Uang
DocType: Work Order Operation,Work In Progress,Pekerjaan dalam proses
DocType: Leave Control Panel,Branch (optional),Cabang (opsional)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Baris {0}: pengguna belum menerapkan aturan <b>{1}</b> pada item <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Silakan pilih tanggal
DocType: Item Price,Minimum Qty ,Minimum Qty
DocType: Finance Book,Finance Book,Buku Keuangan
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Daftar Hari Libur
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Ulasan dan Aksi
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Karyawan ini sudah memiliki log dengan stempel waktu yang sama. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Akuntan
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Daftar Harga Jual
DocType: Patient,Tobacco Current Use,Penggunaan Saat Ini Tembakau
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Tingkat penjualan
DocType: Cost Center,Stock User,Pengguna Persediaan
DocType: Soil Analysis,(Ca+Mg)/K,(Ca+Mg)/K
DocType: Delivery Stop,Contact Information,Kontak informasi
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Cari apa saja ...
DocType: Company,Phone No,No Telepon yang
DocType: Delivery Trip,Initial Email Notification Sent,Pemberitahuan email awal terkirim
DocType: Bank Statement Settings,Statement Header Mapping,Pemetaan Header Pernyataan
,Sales Partners Commission,Komisi Mitra Penjualan
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Penyesuaian Pembulatan
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Singkatan tidak boleh melebihi 5 karakter
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Permintaan pembayaran
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Untuk melihat log dari Poin Loyalitas yang ditugaskan kepada Pelanggan.
DocType: Asset,Value After Depreciation,Nilai Setelah Penyusutan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Tidak menemukan item yang ditransfer {0} di Work Order {1}, item tersebut tidak ditambahkan di Stock Entry"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,terkait
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,tanggal kehadiran tidak bisa kurang dari tanggal bergabung karyawan
DocType: Grading Scale,Grading Scale Name,Skala Grading Nama
DocType: Employee Training,Training Date,Tanggal Pelatihan
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Tambahkan Pengguna ke Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Ini adalah account root dan tidak dapat diedit.
DocType: POS Profile,Company Address,Alamat perusahaan
DocType: BOM,Operations,Operasi
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Tidak dapat mengatur otorisasi atas dasar Diskon untuk {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON tidak dapat dihasilkan untuk Pengembalian Penjualan seperti sekarang
DocType: Subscription,Subscription Start Date,Tanggal Mulai Berlangganan
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Rekening piutang standar yang akan digunakan jika tidak ditetapkan pada Pasien untuk memesan biaya Penunjukan.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Melampirkan file .csv dengan dua kolom, satu untuk nama lama dan satu untuk nama baru"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Dari Alamat 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Dapatkan Detail Dari Deklarasi
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} tidak dalam Tahun Anggaran aktif.
DocType: Packed Item,Parent Detail docname,Induk Detil docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Referensi: {0}, Kode Item: {1} dan Pelanggan: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} tidak ada di perusahaan induk
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Tanggal Akhir Periode Uji Coba Tidak boleh sebelum Tanggal Mulai Periode Uji Coba
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Kategori Pemotongan Pajak
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Batalkan entri jurnal {0} terlebih dahulu
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM belum ditentukan untuk subkontrak barang {0} pada baris {1}
DocType: Vital Signs,Reflexes,Refleks
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Hasil terkirim
DocType: Item Attribute,Increment,Kenaikan
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Hasil Bantuan untuk
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Pilih Gudang ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Iklan
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Perusahaan yang sama dimasukkan lebih dari sekali
DocType: Patient,Married,Menikah
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Tidak diizinkan untuk {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Mendapatkan Stok Barang-Stok Barang dari
DocType: Stock Entry,Send to Subcontractor,Kirim ke Subkontraktor
DocType: Purchase Invoice,Apply Tax Withholding Amount,Terapkan Pajak Pemotongan Amount
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Total yang diselesaikan qty tidak bisa lebih besar dari kuantitas
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Persediaan tidak dapat diperbarui terhadap Nota Pengiriman {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Jumlah Total Dikreditkan
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Tidak ada item yang terdaftar
DocType: Asset Repair,Error Description,Deskripsi kesalahan
DocType: Payment Reconciliation,Reconcile,Rekonsiliasi
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Toko Kelontongan
DocType: Quality Inspection Reading,Reading 1,Membaca 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Dana pensiun
DocType: Exchange Rate Revaluation Account,Gain/Loss,Merugi
DocType: Crop,Perennial,Abadi
DocType: Program,Is Published,Diterbitkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Tampilkan Catatan Pengiriman
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Untuk memungkinkan tagihan berlebih, perbarui &quot;Kelebihan Tagihan Penagihan&quot; di Pengaturan Akun atau Item."
DocType: Patient Appointment,Procedure,Prosedur
DocType: Accounts Settings,Use Custom Cash Flow Format,Gunakan Format Arus Kas Khusus
DocType: SMS Center,All Sales Person,Semua Salesmen
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Distribusi Bulanan ** membantu Anda mendistribusikan Anggaran / Target di antara bulan-bulan jika bisnis Anda memiliki musim.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Tidak item yang ditemukan
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Struktur Gaji Hilang
DocType: Lead,Person Name,Nama orang
,Supplier Ledger Summary,Ringkasan Buku Besar Pemasok
DocType: Sales Invoice Item,Sales Invoice Item,Faktur Penjualan Stok Barang
DocType: Quality Procedure Table,Quality Procedure Table,Tabel Prosedur Mutu
DocType: Account,Credit,Kredit
DocType: POS Profile,Write Off Cost Center,Write Off Biaya Pusat
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",misalnya &quot;Sekolah Dasar&quot; atau &quot;Universitas&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,Laporan Persediaan
DocType: Warehouse,Warehouse Detail,Detail Gudang
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Tanggal pemeriksaan karbon terakhir tidak bisa menjadi tanggal di masa depan
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Jangka Tanggal Akhir tidak bisa lebih lambat dari Akhir Tahun Tanggal Tahun Akademik yang istilah terkait (Tahun Akademik {}). Perbaiki tanggal dan coba lagi.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Aset Tetap"" tidak dapat tidak dicentang, karena ada data Asset terhadap barang"
DocType: Delivery Trip,Departure Time,Waktu keberangkatan
DocType: Vehicle Service,Brake Oil,Minyak Rem
DocType: Tax Rule,Tax Type,Jenis pajak
,Completed Work Orders,Perintah Kerja Selesai
DocType: Support Settings,Forum Posts,Kiriman Forum
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Tugas telah ditetapkan sebagai pekerjaan latar belakang. Jika ada masalah pada pemrosesan di latar belakang, sistem akan menambahkan komentar tentang kesalahan Rekonsiliasi Saham ini dan kembali ke tahap Konsep"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Maaf, validitas kode kupon belum dimulai"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Jumlah Kena Pajak
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Anda tidak diizinkan menambah atau memperbarui entri sebelum {0}
DocType: Leave Policy,Leave Policy Details,Tinggalkan Detail Kebijakan
DocType: BOM,Item Image (if not slideshow),Gambar Stok Barang (jika tidak slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Baris # {0}: Operasi {1} tidak selesai untuk {2} jumlah barang jadi dalam Perintah Kerja {3}. Harap perbarui status operasi melalui Kartu Pekerjaan {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Tarif per Jam / 60) * Masa Beroperasi Sebenarnya
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Baris # {0}: Jenis Dokumen Referensi harus menjadi salah satu Klaim Biaya atau Entri Jurnal
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Pilih BOM
DocType: SMS Log,SMS Log,SMS Log
DocType: Call Log,Ringing,Dering
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Biaya Produk Terkirim
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Liburan di {0} bukan antara Dari Tanggal dan To Date
DocType: Inpatient Record,Admission Scheduled,Pendaftaran Terjadwal
DocType: Student Log,Student Log,Mahasiswa Log
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Template dari klasemen pemasok.
DocType: Lead,Interested,Tertarik
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Pembukaan
