DocType: Accounting Period,Period Name,ຊື່ໄລຍະເວລາ
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,ບັນຊີ {0}: ບັນຊີຂອງພໍ່ແມ່ {1} ບໍ່ສາມາດແຍກປະເພດເປັນ
DocType: Item,Publish Item to hub.erpnext.com,ເຜີຍແຜ່ສິນຄ້າທີ່ຈະ hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,ບໍ່ສາມາດຊອກຫາກໍາໄລໄລຍະເວລາການເຄື່ອນໄຫວ
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,ການປະເມີນຜົນ
DocType: Item,Default Unit of Measure,ມາດຕະຖານ Unit of Measure
DocType: SMS Center,All Sales Partner Contact,ທັງຫມົດ Sales Partner ຕິດຕໍ່
DocType: Department,Leave Approvers,ອອກຈາກການອະນຸມັດ
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,ຄົ້ນຫາລາຍການ ...
DocType: Patient Encounter,Investigations,ການສືບສວນ
DocType: Restaurant Order Entry,Click Enter To Add,ກົດ Enter ເພື່ອຕື່ມ
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","ຂາດມູນຄ່າສໍາລັບ Password, API Key ຫຼື Shopify URL"
DocType: Employee,Rented,ເຊົ່າ
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,ບັນຊີທັງຫມົດ
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,ບໍ່ສາມາດຍົກເລີກພະນັກງານທີ່ມີສະຖານະພາບໄວ້
DocType: Vehicle Service,Mileage,mileage
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,ທ່ານກໍ່ຕ້ອງການທີ່ຈະ scrap ຊັບສິນນີ້?
DocType: Drug Prescription,Update Schedule,ປັບປຸງຕາຕະລາງ
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,ເລືອກຜູ້ຜະລິດມາດຕະຖານ
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,ສະແດງພະນັກງານ
DocType: Payroll Period,Standard Tax Exemption Amount,ຈຳ ນວນການຍົກເວັ້ນອາກອນມາດຕະຖານ
DocType: Exchange Rate Revaluation Account,New Exchange Rate,ອັດຕາແລກປ່ຽນໃຫມ່
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},ສະກຸນເງິນແມ່ນຕ້ອງການສໍາລັບລາຄາ {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* ຈະໄດ້ຮັບການຄິດໄລ່ໃນການໄດ້.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-YYYY.-
DocType: Purchase Order,Customer Contact,ຕິດຕໍ່ລູກຄ້າ
DocType: Shift Type,Enable Auto Attendance,ເປີດໃຊ້ງານອັດຕະໂນມັດການເຂົ້າຮ່ວມ
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,ກະລຸນາໃສ່ສາງແລະວັນທີ
DocType: Lost Reason Detail,Opportunity Lost Reason,ໂອກາດ ໝົດ ເຫດຜົນ
DocType: Patient Appointment,Check availability,ກວດເບິ່ງທີ່ມີຢູ່
DocType: Retention Bonus,Bonus Payment Date,ວັນຈ່າຍເງິນໂບນັດ
DocType: Employee,Job Applicant,ວຽກເຮັດງານທໍາສະຫມັກ
DocType: Job Card,Total Time in Mins,ເວລາທັງ ໝົດ ໃນ Mins
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,ນີ້ແມ່ນອີງໃສ່ການເຮັດທຸລະກໍາກັບຜູ້ນີ້. ເບິ່ງໄລຍະເວລາຂ້າງລຸ່ມນີ້ສໍາລັບລາຍລະອຽດ
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,ອັດຕາສ່ວນເກີນມູນຄ່າສໍາລັບຄໍາສັ່ງເຮັດວຽກ
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,ທາງດ້ານກົດຫມາຍ
DocType: Sales Invoice,Transport Receipt Date,ໃບຮັບສິນຄ້າວັນທີ
DocType: Shopify Settings,Sales Order Series,Sales Order Series
DocType: Vital Signs,Tongue,ພາສາ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},ພາສີປະເພດທີ່ແທ້ຈິງບໍ່ສາມາດລວມຢູ່ໃນລາຍການຕິດຕໍ່ກັນ {0}
DocType: Allowed To Transact With,Allowed To Transact With,ອະນຸຍາດໃຫ້ກັບການເຮັດວຽກດ້ວຍ
DocType: Bank Guarantee,Customer,ລູກຄ້າ
DocType: Purchase Receipt Item,Required By,ທີ່ກໍານົດໄວ້ໂດຍ
DocType: Delivery Note,Return Against Delivery Note,ກັບຄືນຕໍ່ການສົ່ງເງິນ
DocType: Asset Category,Finance Book Detail,Financial Book Detail
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,ຄ່າເສື່ອມລາຄາທັງ ໝົດ ຖືກຈອງແລ້ວ
DocType: Purchase Order,% Billed,% ບິນ
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,ເລກເງິນເດືອນ
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),ອັດຕາແລກປ່ຽນຈະຕ້ອງເປັນເຊັ່ນດຽວກັນກັບ {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA Exemption
DocType: Sales Invoice,Customer Name,ຊື່ຂອງລູກຄ້າ
DocType: Vehicle,Natural Gas,ອາຍແກັສທໍາມະຊາດ
DocType: Project,Message will sent to users to get their status on the project,ຂໍ້ຄວາມຈະຖືກສົ່ງໄປຫາຜູ້ໃຊ້ເພື່ອໃຫ້ໄດ້ສະຖານະພາບຂອງພວກເຂົາໃນໂຄງການ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},ບັນຊີທະນາຄານບໍ່ສາມາດໄດ້ຮັບການຕັ້ງຊື່ເປັນ {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA ຕາມແຜນການເງິນເດືອນ
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,ຫົວຫນ້າ (ຫຼືກຸ່ມ) ການຕໍ່ຕ້ານທີ່ Entries ບັນຊີທີ່ຜະລິດແລະຍອດຖືກຮັກສາໄວ້.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),ທີ່ຍັງຄ້າງຄາສໍາລັບ {0} ບໍ່ສາມາດຈະຫນ້ອຍກ່ວາສູນ ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,ວັນຢຸດການບໍລິການບໍ່ສາມາດຈະມາກ່ອນວັນເລີ່ມຕົ້ນຂອງບໍລິການ
DocType: Manufacturing Settings,Default 10 mins,ມາດຕະຖານ 10 ນາທີ
DocType: Leave Type,Leave Type Name,ອອກຈາກຊື່ປະເພດ
apps/erpnext/erpnext/templates/pages/projects.js,Show open,ສະແດງໃຫ້ເຫັນການເປີດ
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,ຊຸດອັບເດດຮຽບຮ້ອຍ
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,ກວດເບິ່ງ
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} ໃນແຖວ {1}
DocType: Asset Finance Book,Depreciation Start Date,ວັນເລີ່ມຕົ້ນຄ່າເສື່ອມລາຄາ
DocType: Pricing Rule,Apply On,ສະຫມັກຕໍາກ່ຽວກັບ
DocType: Item Price,Multiple Item prices.,ລາຄາສິນຄ້າທີ່ຫຼາກຫຼາຍ.
,Purchase Order Items To Be Received,ລາຍການສັ່ງຊື້ທີ່ຈະໄດ້ຮັບ
DocType: SMS Center,All Supplier Contact,ທັງຫມົດຂອງຜູ້ຕິດຕໍ່
DocType: Support Settings,Support Settings,ການຕັ້ງຄ່າສະຫນັບສະຫນູນ
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},ບັນຊີ {0} ແມ່ນຖືກເພີ່ມເຂົ້າໃນບໍລິສັດເດັກ {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,ຂໍ້ມູນປະ ຈຳ ບໍ່ຖືກຕ້ອງ
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ມີ ITC (ບໍ່ວ່າຈະຢູ່ໃນສ່ວນເຕັມ)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Settings
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,ການປຸງແຕ່ງບັດເຕີມເງິນ
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,"ຕິດຕໍ່ກັນ, {0}: ອັດຕາຈະຕ້ອງດຽວກັນເປັນ {1}: {2} ({3} / {4})"
,Batch Item Expiry Status,ຊຸດສິນຄ້າສະຖານະຫມົດອາຍຸ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,ຮ່າງຂອງທະນາຄານ
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,ການອອກສຽງຊ້າທັງ ໝົດ
DocType: Mode of Payment Account,Mode of Payment Account,ຮູບແບບຂອງບັນຊີຊໍາລະເງິນ
apps/erpnext/erpnext/config/healthcare.py,Consultation,ການປຶກສາຫາລື
DocType: Accounts Settings,Show Payment Schedule in Print,ສະແດງຕາຕະລາງການຊໍາລະເງິນໃນການພິມ
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,ການປັບປຸງສິນຄ້າ
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,ການຂາຍແລະການກັບຄືນ
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,ສະແດງໃຫ້ເຫັນທີ່ແຕກຕ່າງກັນ
DocType: Academic Term,Academic Term,ໄລຍະທາງວິຊາການ
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,ປະເພດການຍົກເວັ້ນພາສີຂອງພະນັກງານ
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',ກະລຸນາ ກຳ ນົດທີ່ຢູ່ຂອງບໍລິສັດ &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,ອຸປະກອນການ
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",ຜົນປະໂຫຍດສູງສຸດຂອງພະນັກງານ {0} ເກີນ {1} ໂດຍລວມ {2} ຂອງຜົນປະໂຫຍດສ່ວນປະກອບຫຼັກຊັບ pro-rata \ ແລະຈໍານວນເງິນທີ່ໄດ້ອ້າງໄວ້ກ່ອນຫນ້ານີ້
DocType: Opening Invoice Creation Tool Item,Quantity,ປະລິມານ
,Customers Without Any Sales Transactions,ລູກຄ້າໂດຍບໍ່ມີການຂາຍຂາຍໃດໆ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,ຕາຕະລາງບັນຊີບໍ່ສາມາດມີຊ່ອງຫວ່າງ.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,ໃຊ້ Google Maps Direction API ເພື່ອ ຄຳ ນວນເວລາທີ່ທ່ານຄາດຄະເນມາ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),ເງິນກູ້ຢືມ (ຫນີ້ສິນ)
DocType: Patient Encounter,Encounter Time,Encounter Time
DocType: Staffing Plan Detail,Total Estimated Cost,ຕົ້ນທຶນການຄາດຄະເນລວມ
DocType: Employee Education,Year of Passing,ປີທີ່ຜ່ານ
DocType: Routing,Routing Name,ຊື່ເສັ້ນທາງ
DocType: Item,Country of Origin,ປະເທດກໍາເນີດສິນຄ້າ
DocType: Soil Texture,Soil Texture Criteria,ຄຸນລັກສະນະຂອງໂຄງສ້າງດິນ
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,ໃນສາງ
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Primary Contact Details
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,ເປີດປະເດັນ
DocType: Production Plan Item,Production Plan Item,ການຜະລິດແຜນ Item
DocType: Leave Ledger Entry,Leave Ledger Entry,ອອກຈາກ Ledger Entry
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},ຜູ້ໃຊ້ {0} ແມ່ນກໍາຫນົດໃຫ້ກັບພະນັກງານ {1}
DocType: Lab Test Groups,Add new line,ເພີ່ມສາຍໃຫມ່
apps/erpnext/erpnext/utilities/activation.py,Create Lead,ສ້າງ Lead
DocType: Production Plan,Projected Qty Formula,ໂຄງການ Qty ສູດ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,ຮັກສາສຸຂະພາບ
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),ຄວາມຊັກຊ້າໃນການຈ່າຍເງິນ (ວັນ)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,ລາຍະລະອຽດການຊໍາລະເງິນແບບແມ່ແບບ
DocType: Hotel Room Reservation,Guest Name,Guest Name
DocType: Delivery Note,Issue Credit Note,ຫມາຍເຫດການປ່ອຍສິນເຊື່ອ
DocType: Lab Prescription,Lab Prescription,Lab Prescription
,Delay Days,Delay Days
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,ຄ່າໃຊ້ຈ່າຍໃນການບໍລິການ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Serial Number: {0} ອ້າງອິງແລ້ວໃນ Sales ໃບເກັບເງິນ: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,ໃບເກັບເງິນ
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,ຈຳ ນວນເງິນທີ່ຍົກເວັ້ນສູງສຸດ
DocType: Purchase Invoice Item,Item Weight Details,Item Weight Details
DocType: Asset Maintenance Log,Periodicity,ໄລຍະເວລາ
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,ປີງົບປະມານ {0} ຈໍາເປັນຕ້ອງມີ
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,ກຳ ໄລສຸດທິ / ການສູນເສຍ
DocType: Employee Group Table,ERPNext User ID,ລະຫັດຜູ້ໃຊ້ ERPNext
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,ໄລຍະທາງຕໍາ່ສຸດທີ່ລະຫວ່າງແຖວຂອງພືດສໍາລັບການເຕີບໂຕທີ່ດີທີ່ສຸດ
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,ກະລຸນາເລືອກຄົນເຈັບເພື່ອຮັບເອົາລະບຽບການ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,ປ້ອງກັນປະເທດ
DocType: Salary Component,Abbr,abbr
DocType: Appraisal Goal,Score (0-5),ຄະແນນ (0-5)
DocType: Tally Migration,Tally Creditors Account,ບັນຊີເຈົ້າຂອງ Tally
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},ຕິດຕໍ່ກັນ {0}: {1} {2} ບໍ່ກົງກັບ {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,"ຕິດຕໍ່ກັນ, {0}:"
DocType: Timesheet,Total Costing Amount,ຈໍານວນເງິນຕົ້ນທຶນທັງຫມົດ
DocType: Sales Invoice,Vehicle No,ຍານພາຫະນະບໍ່ມີ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,ກະລຸນາເລືອກລາຄາ
DocType: Accounts Settings,Currency Exchange Settings,ການຕັ້ງຄ່າແລກປ່ຽນສະກຸນເງິນ
DocType: Work Order Operation,Work In Progress,ກໍາລັງດໍາເນີນການ
DocType: Leave Control Panel,Branch (optional),ສາຂາ (ເປັນທາງເລືອກ)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,ແຖວ {0}: ຜູ້ໃຊ້ບໍ່ໄດ້ ນຳ ໃຊ້ກົດລະບຽບ <b>{1}</b> ກ່ຽວກັບສິນຄ້າ <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,ກະລຸນາເລືອກເອົາວັນທີ
DocType: Item Price,Minimum Qty ,Minimum Qty
DocType: Finance Book,Finance Book,Book Finance
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-YYYY.-
DocType: Daily Work Summary Group,Holiday List,ຊີວັນພັກ
apps/erpnext/erpnext/config/quality_management.py,Review and Action,ການທົບທວນແລະການກະ ທຳ
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},ພະນັກງານຄົນນີ້ມີບັນທຶກທີ່ມີເວລາດຽວກັນແລ້ວ. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,ບັນຊີ
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,ລາຄາຂາຍລາຄາ
DocType: Patient,Tobacco Current Use,Tobacco Current Use
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,ອັດຕາການຂາຍ
DocType: Cost Center,Stock User,User Stock
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,ຂໍ້ມູນຕິດຕໍ່
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,ຊອກຫາຫຍັງ ...
DocType: Company,Phone No,ໂທລະສັບທີ່ບໍ່ມີ
DocType: Delivery Trip,Initial Email Notification Sent,ການແຈ້ງເຕືອນເບື້ອງຕົ້ນຖືກສົ່ງມາ
DocType: Bank Statement Settings,Statement Header Mapping,Statement Header Mapping
,Sales Partners Commission,ຄະນະກໍາມະ Partners ຂາຍ
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,ການປັບຕໍາແຫນ່ງຮອບ
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,ຫຍໍ້ບໍ່ສາມາດມີຫຼາຍກ່ວາ 5 ລັກສະນະ
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,ຄໍາຂໍຊໍາລະ
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,ເພື່ອເບິ່ງບັນທຶກຂອງຈຸດທີ່ມີຄວາມສັດຊື່ຕໍ່ລູກຄ້າ.
DocType: Asset,Value After Depreciation,ມູນຄ່າຫຼັງຈາກຄ່າເສື່ອມລາຄາ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","ບໍ່ພົບລາຍການທີ່ໂອນຍ້າຍ {0} ໃນໃບສັ່ງຊື້ສິນຄ້າ {1}, ສິນຄ້າທີ່ຍັງບໍ່ໄດ້ເພີ່ມເຂົ້າໃນ Stock Entry"
DocType: Student,O+,O +
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,ທີ່ກ່ຽວຂ້ອງ
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,ວັນຜູ້ເຂົ້າຮ່ວມບໍ່ສາມາດຈະຫນ້ອຍກ່ວາວັນເຂົ້າຮ່ວມຂອງພະນັກງານ
DocType: Grading Scale,Grading Scale Name,ການຈັດລໍາດັບຊື່ Scale
DocType: Employee Training,Training Date,ວັນທີການຝຶກອົບຮົມ
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,ເພີ່ມຜູ້ໃຊ້ໃນຕະຫຼາດ
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,ນີ້ແມ່ນບັນຊີຮາກແລະບໍ່ສາມາດໄດ້ຮັບການແກ້ໄຂ.
DocType: POS Profile,Company Address,ທີ່ຢູ່ບໍລິສັດ
DocType: BOM,Operations,ການດໍາເນີນງານ
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},ບໍ່ສາມາດກໍານົດການອະນຸຍາດບົນພື້ນຖານຂອງການ Discount {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON ບໍ່ສາມາດຜະລິດ ສຳ ລັບການຂາຍສົ່ງຄືນໄດ້ໃນຕອນນີ້
DocType: Subscription,Subscription Start Date,ວັນທີເລີ່ມຕົ້ນສະມາຊິກ
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,ບັນຊີລູກຫນີ້ທີ່ຖືກຕ້ອງທີ່ຈະຖືກນໍາໃຊ້ຖ້າບໍ່ໄດ້ກໍານົດໄວ້ໃນຄົນເຈັບໃນການຈອງຄ່າບໍລິການແຕ່ງຕັ້ງ.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","ຄັດຕິດເອກະສານ .csv ມີສອງຖັນ, ຫນຶ່ງສໍາລັບຊື່ເກົ່າແລະຫນຶ່ງສໍາລັບຊື່ໃຫມ່"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,ຈາກທີ່ຢູ່ 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,ເອົາລາຍລະອຽດຈາກໃບປະກາດ
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} ບໍ່ໄດ້ຢູ່ໃນການເຄື່ອນໄຫວປີໃດງົບປະມານ.
DocType: Packed Item,Parent Detail docname,ພໍ່ແມ່ຂໍ້ docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","ອ້າງອິງ: {0}, ລະຫັດສິນຄ້າ: {1} ແລະລູກຄ້າ: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} ບໍ່ມີຢູ່ໃນບໍລິສັດແມ່
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,ວັນທີສິ້ນສຸດການທົດລອງບໍ່ສາມາດຢູ່ໃນໄລຍະເວລາທົດລອງໄດ້
apps/erpnext/erpnext/utilities/user_progress.py,Kg,ກິໂລກຣາມ
DocType: Tax Withholding Category,Tax Withholding Category,ປະເພດພາສີອາກອນ
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,ຍົກເລີກການເຂົ້າລະບົບ {0} ກ່ອນ
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM ບໍ່ໄດ້ລະບຸໄວ້ສໍາລັບລາຍການການຕິດຕໍ່ໃນ {0} ຢູ່ແຖວ {1}
DocType: Vital Signs,Reflexes,Reflexes
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} ຜົນໄດ້ຮັບສົ່ງ
DocType: Item Attribute,Increment,ການເພີ່ມຂຶ້ນ
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,ຜົນການຊ່ວຍເຫຼືອສໍາລັບ
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,ເລືອກ Warehouse ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,ການໂຄສະນາ
