Pension Funds,የጡረታ ፈንዶች
Applicable in the case of Employee Onboarding,በተቀጣሪ ሰራተኛ ተሳፋሪነት ላይ የሚውል
Specified BOM {0} does not exist for Item {1},የተጠቀሰው BOM {0} ለንጥል {1} የለም.
Company (not Customer or Supplier) master.,ኩባንያ (ደንበኛ ወይም አቅራቢ አይደለም) ጌታ.
Sales Invoice Series,የሽያጭ መጠየቂያ ቅደም ተከተሎች
Asset Movement record {0} created,የንብረት እንቅስቃሴ {0} ተፈጥሯል
Test Created,ሙከራ ተፈጥሯል
Term Start Date,የጊዜ መጀመሪያ ቀን
Appointment {0} and Sales Invoice {1} cancelled,ቀጠሮ {0} እና የሽያጭ ደረሰኝ {1} ተሰርዟል
Vehicle Number,የተሽከርካሪ ቁጥር
Your email address...,የኢሜይል አድራሻዎ ...
Include Default Book Entries,የነባሪ መጽሃፍ ገጾችን አካት
Activity Type,የእንቅስቃሴ አይነት
Get Advances Paid,ቅድሚያ ክፍያዎችን ያግኙ
Gain/Loss Account on Asset Disposal,በንብረት ማስወገጃ ገንዘብ ላይ / ንብረትን ማጣት
Voucher No,ቫውቸር ቁጥር
Reorder level based on Warehouse,በገበያ ላይ በመመስረት ደረጃን እንደገና ይደርድሩ
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","የተቋረጠው የሥራ ትዕዛዝ ሊተው አይችልም, መተው መጀመሪያ ይጥፉ"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} የግዢ ቁጥሮች ለንጥል {1} ያስፈልጋሉ. {2} ሰጥተሃል.
Customer Primary Contact,የደንበኛ ዋና ደረጃ ግንኙነት
BOM Detail No,የእጅ እቃ ዝርዝር
Cash In Hand,በእጅ የሚገኘው ገንዘብ
The holiday on {0} is not between From Date and To Date,በ {0} ላይ ያለው የበዓል ቀን ከ Date እና ወደ ቀን ውስጥ አይደለም
Lead must be set if Opportunity is made from Lead,አጋጣሚ ከ Lead ሊገኝ እንደሚችል መሪ ይካላል
Account with existing transaction can not be converted to group.,በነባር የገንዘብ ዝውውር መለያ ወደ ቡድን ሊቀየር አይችልም.
Timesheet {0} is already completed or cancelled,Timesheet {0} አስቀድሞ ተጠናቅቋል ወይም ተሰርዟል
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","ለሽያጭ እና ግዥዎች ሊታከሉ የሚችሉ መደበኛ ደረጃዎች እና ሁኔታዎች. ምሳሌዎች 1. የቅናሽ ዋጋው. 1. የክፍያ ውሎች (ቅድሚያ, ክሬዲት, ከፊል ቅድሚያ ወዘተ). 1. ተጨማሪ (ወይም በደንበኛው የሚከፍለው). 1. የደህንነት / የአጠቃቀም ማስጠንቀቂያ. 1. ዋስትና ካለ. 1. መመሪያዎችን ይመለሳል. 1. የመላኪያ ውል, አግባብነት ካለው. 1. ክርክሮችን, የካሳ ክፍያ, ተጠያቂነት, ወዘተ. የመፍትሄ መንገዶች 1. የኩባንያዎ አድራሻ እና አድራሻ."
Leave Status Notification,የአቋም መግለጫ ይተው
Designation Skill,የጥበብ ችሎታ
Quantity required for Item {0} in row {1},በ &lt;{0} ውስጥ በንጥል {0} ውስጥ ያለው ብዛት ይጠየቃል.
"To filter based on Party, select Party Type first",በፓርቲ ላይ ተጣርቶ ለማጣራት መጀመሪያ የፓርቲ አይነት ይምረጡ
Number,ቁጥር
Separate course based Group for every Batch,ለእያንዳንዱ ወጥመድ በቡድን የተመሰረተ
Require Lab Test Approval,የቤተሙከራ ፍቃድ ማፅደቅን ጠይቅ
Update Clearance Date,የዘመኑን የማሳደጊያ ቀን
Import Chart of Accounts from a csv file,ከሲኤስቪ ፋይል የመለያዎች ሰንጠረዥ አስመጣ
"Support for public app is deprecated. Please setup private app, for more details refer user manual",የወል መተግበሪያ ድጋፍ ተቋርጧል. የተጠቃሚ መመሪያን ለተጨማሪ ዝርዝሮች የግል መተግበሪያውን ያዋቅሩ
Signed,ተፈርሟል
Terms and Conditions1,የአገልግሎት ውሎች 1
Please select Employee Record first.,እባክዎ መጀመሪያ የተቀጣሪ መዝገብ ይምረጡ.
Password policy for Salary Slips is not set,የደመወዝ መቀበያ ፓሊሲ ፖሊሲ አልተዘጋጀም
Result HTML,ውጤት ኤች ቲ ኤም ኤል
Ignore holidays,በዓላትን ችላ ይበሉ
Linked Soil Texture,የተያያዥ የአፈር ስነጽር
This is based on logs against this Vehicle. See timeline below for details,ይህ በዚህ ተሽከርካሪ ላይ በምዝግብ ማስታወሻዎች ላይ የተመሰረተ ነው. ለዝርዝሮች ከታች ያለውን የጊዜ መስመር ይመልከቱ
ACC-PAY-.YYYY.-,ACC-PAY -YYYY.-
Emergency Contact,የአደጋ ጊዜ ግንኙነት
Authorization URL,የማረጋገጫ ዩ አር ኤል
On Leave,አረፍት ላይ
Show a slideshow at the top of the page,በገጹ አናት ላይ የተንሸራታች ትዕይንት አሳይ
Payer Settings,የክፍያ ቅንብሮች
Set Tax Rule for shopping cart,ለግዢ ጋሪ የግብር መመሪያ ያዘጋጁ
In Production,በምርት ውስጥ
Payment References,የክፍያ ማጣቀሻ
Valid Till,ልክ ያልኾነ
{0}: From {0} of type {1},{0}: ከ {0} አይነት {1}
Project Name,የፕሮጀክት ስም
Stock Qty,አክሲዮን ቁጥር
Child Item should not be a Product Bundle. Please remove item `{0}` and save,የልጆች ንጥል የምርት ጥቅል መሆን የለበትም. እባክዎ ንጥል `` {0} `ያስወግዱ እና ያስቀምጡ
Response Result Key Path,የምላሽ ውጤት ጎን ቁልፍ
Fully Sponsored,ሙሉ በሙሉ የተደገፈ
Not permitted. Please disable the Service Unit Type,አይፈቀድም. እባክዎ የአገልግሎት አይነቱን አይነት ያጥፉ
Offline POS Settings,ከመስመር ውጭ POS ቅንብሮች
Calculations,ስሌቶች
Material Requested,ቁሳዊ ነገር ተጠይቋል
Reference Row,የማጣቀሻ ረድፍ
Annual Allocation,ዓመታዊ ምደባ
Subcontract,የንዑስ ኮንትራት ውል
Valuation type charges can not marked as Inclusive,የግምገማ አይነት ዋጋ እንደ ተጠቃሽ የሚል ምልክት ሊደረግ አይችልም
Account {0}: Parent account {1} does not belong to company: {2},መለያ {0}: የወላጅ መለያ {1} የኩባንያ አይደለም: {2}
Failed to login,ለመግባት ተስኗል
Items and Pricing,ንጥሎች እና የዋጋ አሰጣጥ
Payment Terms Template,የክፍያ ውል አብነት
Previous Work Experience,የሥራ ልምድ
Program,ፕሮግራም
Healthcare,የጤና ጥበቃ
Complaint,ቅሬታ
Restrict to Countries,ለአገሮች እገዳ
Item Manager,የንጥል አቀናባሪ
Currency of the Closing Account must be {0},የመዝጊያ ሂሳብ ምንዛሬ {0} መሆን አለበት
Opening Invoice Item,የደረሰኝ መጠየቂያ ንጥል በመክፈቻ ላይ
Plan material for sub-assemblies,ለንዑስ ስብሰባዎች እቅድ ያቅዱ
Hardware,ሃርድ ዌር
Action if Annual Budget Exceeded on MR,ዓመታዊ በጀት በአማካይ ከታለ
Advance Amount,የቅድሚያ ክፍያ መጠን
Against Sales Invoice Item,ከሽያጭ ደረሰኝ ንጥል ጋር ተካሂዷል
HR-EXP-.YYYY.-,HR-EXP-yYYYY.-
Include Item In Manufacturing,ንጥል በምርት ስራ ውስጥ አካትት
Check in (group),ተመዝግበህ ግባ (ቡድን)
Do not show any symbol like $ etc next to currencies.,ከዋናዎቹ ቀጥሎ ያሉትን እንደ $ ወዘት ያሉ ምልክት አታሳይ.
Salary Component Type,የክፍያ አካል ዓይነት
The shareholder does not belong to this company,ባለአክሲዮኑ የዚህ ኩባንያ አይደለም
Day(s) after the end of the invoice month,የክፍያ መጠየቂያው ማብቂያ ከተጠናቀቀ በኋላ ቀን (ዎች)
Vehicle Type,የተሽከርካሪ ዓይነት
Healthcare Administrator,የጤና አጠባበቅ አስተዳዳሪ
Single Transaction Threshold,ነጠላ የግብይት ጣሪያ
Broadcasting,ብሮድካስት
Post Title Key,የልኡክ ጽሁፍ ርዕስ ቁልፍ
Customer Primary Address,የደንበኛ ዋና አድራሻ
Please select batches for batched item ,እባክዎ ለተዘረዘረው ንጥል ምድቦችን ይምረጡ
Min Qty,አነስተኛ ሂሳብ
Payment Deductions or Loss,የክፍያ ቅናሾች ወይም ኪሳራ
On Item Quantity,በዚህ እቃ ብዛት
Replace BOM and update latest price in all BOMs,BOM ን ይተኩ እና በሁሉም የ BOM ዎች ውስጥ አዲስ ዋጋን ያዘምኑ
Both Trial Period Start Date and Trial Period End Date must be set,ሁለቱም የፍርድ ሂደት የመጀመሪያ ቀን እና ሙከራ ክፍለ ጊዜ ማብቂያ ቀን መዘጋጀት አለበት
No time sheets,ምንም የጊዜ ሉሆች
Statement Header Mapping,መግለጫ ራስጌ ካርታ
Mark Half Day,ማርች ግማሽ ቀን ምልክት ያድርጉ
Material Transfer for Manufacture,ለምርት ማስተላለፊያ
Block Supplier,አቅራቢን አግድ
Please enter Woocommerce Server URL,እባክዎ የ Woocommerce አገልጋይ ዩ አር ኤል ያስገቡ
From Place,ከቦታ
No contacts with email IDs found.,ከኢሜይል መታወቂያዎች ጋር ምንም እውቂያዎች አልተገኙም.
Consumption Invoiced,የኃይል አጠቃቀምን ተሽሯል
Requested Quantity,የተጠየቀው ብዜት
Exit,ውጣ
Dispatch Information,የመልዕክት ልውውጥ
Basic Amount (Company Currency),መሰረታዊ መጠን (የኩባንያው የገንዘብ ምንዛሬ)
Selling Settings,የሽያጭ ቅንብሮች
A question must have more than one options,ጥያቄ ከአንድ በላይ አማራጮች ሊኖራቸው ይገባል
Please set the Date Of Joining for employee {0},እባክዎን ለሠራተኞች ቀን ማቀናበሪያውን ያዘጋጁ {0}
About your company,ስለ ድርጅትዎ
Fiscal Year {0} does not exist,የፊስካል ዓመት {0} አይገኝም
Leave Application,ማመልከቻ ትተው ይሂዱ
Maintenance Log,የጥገና መዝገብ
Invalid Posting Time,ልክ ያልሆነ የመለጠጫ ጊዜ
Discount,ቅናሽ
Redeem Loyalty Points,ታማኝ መሆንን ተከተሉ
Quotation Series,የዋጋ ዝርዝር
Occupation,ሥራ
Opening Stock,ክምችት በመክፈት ላይ
Supplier Score,የአቅራቢ ነጥብ ውጤት
Only show Items from these Item Groups,ከእነዚህ ንጥል ነገሮች ውስጥ ብቻ ንጥሎችን አሳይ
Time In Mins,ሰዓት በማይንስ
Item {0} does not exist in the system or has expired,ንጥል {0} በስርዓቱ ውስጥ የለም ወይም ጊዜው አልፎበታል
Price Discount Scheme,የዋጋ ቅናሽ ዕቅድ
Hyper,ከፍተኛ
What does it do?,ምን ያደርጋል?
Sales Invoice Trends,የሽያጭ ክፍያ መጠየቂያዎች አዝማሚያዎች
Payment Entries,የክፍያ ምዝገባዎች
Class / Percentage,ክፍል / መቶኛ
Electronic Invoice Register,ኤሌክትሮኒካዊ ደረሰኝ ምዝገባ
Is Return (Credit Note),ተመላሽ ነው (የብድር ማስታወሻ)
Lab Test Sample,የቤተ ሙከራ የሙከራ ናሙና
status html,ሁኔታ html
"For e.g. 2012, 2012-13","ምሳሌ 2012, 2012-13"
disabled user,የተሰናከለ ተጠቃሚ
ES,ES
Warehouse Type,የመጋዘን አይነት
Quick Journal Entry,ፈጣን ጆርናል መግቢያ
Consumed Amount,የተገመተ መጠን
Already completed,አስቀድሞ ተጠናቅቋል
Pending Amount,በመጠባበቅ ላይ ያለ መጠን
Warn RFQs,RFQs ይጠንቀቁ
Lab Prescription,ላብራቶሪ መድኃኒት
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,የዋጋ ቅደም ተከተልን {0}: የሚቀጥለው የአበሻ የማስወገጃ ቀን ከመደበኛ ጋር የሚውል ቀን ከመሆኑ በፊት ሊሆን አይችልም
USD,ዩኤስዶላር
"Asset {0} cannot be scrapped, as it is already {1}",እሴት {0} አስቀድሞ ስላልተለቀነ {1}
Departure Time,የመነሻ ሰዓት
Donor Type,የአሳሽ አይነት
Monthly Sales Target,ወርሃዊ የሽያጭ ዒላማ
Redemption Date,የመቤዠት ቀን
Approving User cannot be same as user the rule is Applicable To,ተጠቃሚን ማጽደቅ እንደ መመሪያ ተጠቃሚው ተመሳሳይ መሆን አይችልም
Fee Schedule Student Group,የክፍያ ሰንጠረዥ የተማሪ ሰደተኞች
 From Date can not be greater than To Date,ከቀን ወደ ቀን ከዚህ በላይ መሆን አይችልም
Please specify a {0},እባክዎ {0} ያብራሩ
To GSTIN,ወደ GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,የፍርድ ቀን ማለቂያ ቀን ከመደበኛ ቀን ቀን በፊት መሆን አይችልም. እባክዎ ቀኖቹን ያስተካክሉ እና እንደገና ይሞክሩ.
No Employee Found,ምንም ሰራተኛ አልተገኘም
Exemption Category,ነጻ የማድረግ ምድብ
Create Disbursement Entry,የክፍያ ምደባ ይፍጠሩ
Purpose must be one of {0},ዓላማ ከ {0} ውስጥ መሆን አለበት
Last Activity ,የመጨረሻ እንቅስቃሴ
A link to all the Locations in which the Crop is growing,ሰብል በሚገኝባቸው ሁሉም አካባቢዎች ላይ አገናኝ
Course Enrollment {0} does not exists,የኮርስ ምዝገባ {0} የለም
Maximum leave allowed in the leave type {0} is {1},በአለቀቀው አይነት {0} ውስጥ የሚፈቀድ የመጨረሻ ፍቃድ {1}
Qty to Transfer,ለማዛወር ብዛት
Please identify/create Account (Group) for type - {0},እባክዎ ለ &lt;...&gt; መለያ (ቡድን) ይለዩ ወይም ይፍጠሩ - {0}
Please set default customer group and territory in Selling Settings,እባክዎ በሽያጭ ቅንብሮች ውስጥ የነባሪ የደንበኛ ቡድን እና ግዛት ያዘጋጁ
There isn't any item variant for the selected item,ለተመረጠው ንጥል የተለያየ አይነት የለም
Contract Details,የውል ዝርዝሮች
"Select, to make the customer searchable with these fields",ደንበኞቹን በእነዚህ መስኮች እንዲፈለጉ ለማድረግ ይምረጡ
Total Actual,አጠቃላይ ጠቅላላ
Change Code,ኮድ ለውጥ
Planting Area,መትከል አካባቢ
Employee Grade (optional),የሰራተኛ ደረጃ (አማራጭ)
Cost Center For Item with Item Code ',ዋጋ ለክፍል እቃ &quot;
Default Stock UOM,ነባሪ የክምችት UOM
Rent Cost,የኪራይ ወጪ
Training Result,የሥልጠና ውጤት
Work Order not created,የሥራ ትዕዛዝ አልተፈጠረም
Meter,ሜትር
Hero Image,የሄር ምስል
No Items to pack,የሚሸጡ ንጥሎች የሉም
Delivery warehouse required for stock item {0},ለአክሲዮን ንጥል ማጓጓዣ መጋዘን ያስፈልጋል {0}
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,በንብረቶች ላይ የተገጠመ መጋዘን {0} ለፋርማሲው ግዴታ ነው
Target Location is required for the asset {0},የኢላማው ቦታ ለንብረቱ {0} ያስፈልጋል
SGST Amount,የ SGST መጠን
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",የሂሳብ ቀሪ ሂሳብ በቅደም ተከተል ውስጥ ቀደም ብሎ &#39;ሚዛናዊ መሆን አለበት&#39; እንደ &#39;ዲቢት&#39; እንዲያቀናጅ አልተፈቀደልዎትም.
GSTR 3B Report,GSTR3B ሪፖርት
Rate & Amount,ደረጃ እና ምን ያህል መጠን
Debit To is required,ዴቢት ለ አስፈላጊ ነው
Item Name,የንጥል ስም
Cost of New Purchase,የአዲስ ግዢ ወጪ
Additional information regarding the customer.,ስለ ደንበኛ ተጨማሪ መረጃ.
Wrong,ስህተት
Batch Inventory,Batch Inventory
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","ለሠራተኛው የተላከው የደመወዝ ወረቀት በይለፍ ቃል የተጠበቀ ነው, በይለፍ ቃል ፖሊሲው መሠረት የይለፍ ቃል ይወጣል."
Received Amount,የተቀበሉት መጠን
Is Sales Item,የሽያጭ እቃ ነው
Generate Text File,የጽሑፍ ፋይል ይፍጠሩ
Variants,ተለዋጮች
"Charges will be distributed proportionately based on item qty or amount, as per your selection",ክፍያዎች በመረጡት መሰረት እንደ ኳስ ወይም መጠን ይወሰናሉ
Pending activities for today,ለዛሬ ተግባራት በመጠባበቅ ላይ
Student Batch,የተማሪ ቁጥር
Base Hour Rate(Company Currency),ቤዝ ሰዓት ሂሳብ (የኩባንያው የገንዘብ ምንዛሬ)
Printing Details,የህትመት ዝርዝሮች
Manufacturing Manager,የማኑካክቸሪንግ ሥራ
Job Card,የስራ ካርድ
Prorate,Prorate
"System User (login) ID. If set, it will become default for all HR forms.",የስርዓት ተጠቃሚ (መግቢያ) መታወቂያ. ከተቀናበረ ለሁሉም የ HR ቅጾች ነባሪ ይሆናል.
All Item Groups,ሁሉም ንጥል ነገሮች
Select Status,ሁኔታን ይምረጡ
Fixed rate,ቋሚ ተመን
Airline,የአየር መንገድ
Term Details,የቃላት ዝርዝሮች
Acquisition Date,የመቀበያ ቀን
Send To,ወደ መላኩ
Average Rate,አማካይ ደረጃ
Set Qty in Transactions based on Serial No Input,በሲአርል ቁጥር ግብዓት ላይ ተመስርተው በቁጥር ውስጥ ያቀናብሩ
Advance account currency should be same as company currency {0},የቅድሚያ ሂሳብ ምንዛሬ እንደ የቢዝነስ ምንዛሬ መሆን አለበት {0}
Customize Homepage Sections,የመነሻ ገጽ ክፍሎችን አብጅ
October,ጥቅምት
Hide Customer's Tax Id from Sales Transactions,ከሽያጭ ትራንስፖርቶች የደንበኛ ግብር መታወቂያ ደብቅ
Invalid GSTIN! A GSTIN must have 15 characters.,ልክ ያልሆነ GSTIN! አንድ GSTIN 15 ቁምፊዎች ሊኖሩት ይገባል.
Pricing Rule {0} is updated,የዋጋ አሰጣጥ ደንብ {0} ዘምኗል
Contract Fulfilment Checklist,የውል ፍጻሜ ማረጋገጫ ዝርዝር
All Products,ሁሉም ምርቶች
Product Search,የምርት ፍለጋ
Net Pay,የተጣራ ክፍያ
Total Invoiced Amt,ጠቅላላ የተሞከረው ኤም
Consumables Invoice Separately,እቃዎች ደረሰኝ ለየብቻ
HR-APR-.YY.-.MM.,HR-APR-.YY.- .MM.
Budget cannot be assigned against Group Account {0},በጀት በቡድን መለያ ውስጥ አይመደብም {0}
Rate and Amount,ደረጃ እና ምን ያህል መጠን
Check availability,መኖሩን ያረጋግጡ
Cannot find Item with this barcode,በዚህ ባር ኮድ አማካኝነት ንጥል ማግኘት አይቻልም
Default Invoice Naming Series,ነባሪ የክፍያ ደረሰኝ ስያሜዎች ተከታታይ
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","እርስዎ {0} {1} የንጥል መጠን <b>{2} ካሉ</b> , መርሃግብሩ <b>{3}</b> በንጥል ላይ ይተገበራል."
Student Siblings,ተማሪ / እህት / እህት
Journal Entry {0} does not have account {1} or already matched against other voucher,የጆርናል ምዝገባ {0} መለያ {1} የለውም ወይም አስቀድሞ ከሌላ ቫውቸር ጋር አይዛመድም
Legal Expenses,የህግ ወጪዎች
Checkout,ጨርሰህ ውጣ
Membership Details,የአባልነት ዝርዝሮች
Please set the Customer Address,እባክዎ የደንበኛውን አድራሻ ያዘጋጁ
List your products or services that you buy or sell.,የምትገዙትንና የሚሸጧቸውን ምርቶች ወይም አገልግሎቶች ይዘርዝሩ.
Income,ገቢ
Rate at which this tax is applied,ይህ ግብር ጥቅም ላይ የሚውልበት ደረጃ
Payment Receipt Note,የክፍያ ደረሰኝ ማስታወሻ
In Percentage,በመቶኛ
Quotations received from Suppliers.,ከአቅራቢዎች የተቀበሉት የዋጋ ጥያቄዎች.
Reference Due Date,ማጣቀሻ ቀነ ገደብ
Lead Time Days,የሚመራ ጊዜ
Revision and Revised On,ክለሳ እና የተሻሻለው በ
{0} against Purchase Order {1},{0} ከግዢ ትዕዛዝ {1}
Fee Records Created - {0},የተከፈሉ የክፍያ ዝርዝሮች - {0}
Note: {0},ማስታወሻ: {0}
Serial No {0} has already been received,Serial No {0} ቀድሞውኑ ደርሷል
Leave Settings,በቅንብሮች ውጣ
Issue Credit Note,የችግር ብድር ማስታወሻ
Batch Item Expiry Status,የቦታ እቃ ነጥብ ጊዜ ሁኔታ
Stock Transactions,የክምችት ልውውጦች
Event Location,የክስተት ቦታ
Motion Picture & Video,ፎቶግራፍ እና ቪዲዮ
Row Spacing,ረድፍ ክፍተት
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,ለመለያ {0} የሂሳብ ቁጥር አይገኝም. <br> እባክዎ የመለያዎችዎን ሰንጠረዥ በትክክል ያዋቅሩ.
Starting location from left edge,አካባቢውን ከግራ ጫፍ መጀመር
HR Settings,የ HR ቅንጅቶች
Appointments,ቀጠሮዎች
Asset {0} created,ንብረት {0} ተፈጥሯል
Please enter Planned Qty for Item {0} at row {1},እባክዎ በቁጥር {1} ላይ ለክፍል {0} የታቀደን ቅናሽ ያስገቡ
Select Batch,ባች ይምረጡ
Item Description,የንጥል መግለጫ
Account Name,የአድራሻ ስም
Please enter API Consumer Key,እባክዎ የኤ.ፒ.አይ. ተጠቃሚውን ቁልፍ ያስገቡ
Products per Page,ምርቶች በአንድ ገጽ
Duplicate {0} found in the table,በሠንጠረዡ ውስጥ የተባዙ {0}
Default Distance Unit,ነባሪ የልቀት ርቀት
Consume Stock,አክሲዮን ይኑር
Key Performance Area,ቁልፍ የአፈፃፀም አካባቢ
S.O. No.,NO No.
{0} not found for item {1},{0} ለንጥል {1} አልተገኘም
Set Source Warehouse,የዝቅተኛ መደብር አዘጋጅ
Out Patient Settings,የታካሚ ትዕዛዞች ቅንብሮች
Insurance End Date,የኢንሹራንስ መጨረሻ ቀን
Branch Code,የቅርንጫፍ ኮድ
Time To Respond,ለመመለስ ጊዜ አለው
User Forum,የተጠቃሚ ፎረም
Landed Cost Item,በወደቁ የጉልበት ዋጋ
The seller and the buyer cannot be the same,ሻጩ እና ገዢው ተመሳሳይ መሆን አይችሉም
Copied From,ከ ተቀስቷል
Available,አለ
Sales Person Targets,የሽያጭ ሰው ዒላማዎች
BOM Operation,የቢሮ ሥራ
O-,O-
Interest Amount,የወለድ መጠን
Origin,ምንጭ
Add a new address,አዲስ አድራሻ ያክሉ
Write Off Account,ሂሳቡን ጻፍ
Proposal/Price Quote,እቅድ / ዋጋ ዋጋ
Associate,ተጓዳኝ
Please input all required Result Value(s),እባክዎ ሁሉንም የሚጠየቁ የዝግጅት ዋጋ (ዎች) ያስገቡ
Purchase Order Item Supplied,የግዢ ትዕዛዝ ንጥል ተጭኗል
Item {0} is not a serialized Item,እሴት {0} ተከታታይ ንጥል አይደለም
GoCardless Customer,GoCardless ደንበኛ
Leave Balance,ከደስታ ውጣ
Maintenance Schedule {0} exists against {1},የጥገና ሰዓት {0} በ {1} ላይ ይገኛል
Supervisor Name,ተቆጣጣሪ ስም
Campaign Naming By,የዘመቻ ስም መስጠት በ
Course Code,የኮርስ ኮድ
Aerospace,ኤሮስፔስ
Distribute Charges Based On,በስራ ላይ የዋሉ ክፍያዎች አሰራጭ
